[32.079] れいとろん: にちは〜
[13030.932] ぬるぼっと: おー
[13030.973] fliege1515: ｱｲｲｲ
[13031.136] さく_らば: ないすぅ！
[13031.675] ushbatesoro: まだ知らないだけでパリィとか投げ抜けの意識しているの偉すぎる
[13031.946] pakorepukins: うまい～
[13032.582] goose0914: うまーい
[13033.178] はむはむ_: ないすー
[13033.423] (S)鉄板: アイイイ
[13033.776] こすもどりっぷ: あいい
[13035.285] (S)港区ザンギエフ: 話にならねぇ！ぶっ潰す！
[13036.116] ポップマンです: うまーい！
[13037.572] ishiya007: 木の葉を潰す…！
[13038.823] (M)墾田永年私財砲: ﾊｲﾝ
[13038.841] noko_twch: うおあ
[13039.465] vungo_mr: ｗｗｗｗ
[13039.846] pawafu1_: ﾊｲｨ
[13040.098] BrokenJP: ﾊｨｨ…
[13040.383] (S)napo575: めっちゃインパクト擦ってくる
[13041.353] (S)hatimitsu32bee: アイイイ
[13041.574] katanantoka: ﾊｲｨ
[13041.972] liarawe: あいいい
[13042.192] vungo_mr: はいぃ・・・
[13043.734] さく_らば: ﾊｲｨ…
[13044.918] naryuhama: はぃぃ…
[13046.269] fliege1515: はいい・・
[13046.928] noko_twch: 投げれるえらい
[13047.500] mix_camp: あかりんも居ます
[13048.581] ryoichi_m: ﾊｲｨ
[13048.807] ポップマンです: ﾊｲｨ…
[13049.613] カラメルキッチュ遊撃隊: はぁいぃ…
[13049.863] (S)港区ザンギエフ: 俺の勝ちだ！俺のぉ！
[13053.121] はむはむ_: ﾊｨｨ...
[13053.932] (S)dodoi2: 野崎ですぅ･･･
[13055.426] nikuman416: 激ローのやす子
[13057.460] (S)美濃屋善兵衛: インパクト通るからね
[13059.076] kooooge: 対戦相手を幼稚園児だと思おう！
[13066.181] 地球最弱を継ぐもの: インパクトの量がすごいな
[13068.497] こすもどりっぷ: バーンアウトぉ
[13072.767] pakorepukins: どうだぁ！
[13073.475] amitakutt: お前を幼稚園児にしてやる
[13082.334] shamoa7: たのしーね
[13086.104] fliege1515: お
[13086.195] ushbatesoro: お
[13087.532] こすもどりっぷ: お？
[13087.869] naryuhama: おぉ
[13088.321] ふうかさぁ: 中アシストだとSA2でるんかな？
[13089.518] mix_camp: おおー
[13091.755] ポップマンです: お！？
[13092.481] (S)mukubado2: お？
[13097.766] こすもどりっぷ: 残るとはおもう
[13102.687] pakorepukins: おし～
[13103.202] 梱包場のシン: こくにい！
[13105.638] ushbatesoro: すごいなちゃんと考えながらプレイしてる
[13105.793] はむはむ_: おしーーー
[13106.484] katanantoka: おしい
[13107.309] ポップマンです: おしいいい
[13109.116] shamoa7: うわー
[13109.341] こすもどりっぷ: おしぃ
[13110.750] mix_camp: OC
[13113.754] yamadasrm610: 相手も投げ重ね上手いな
[13122.375] kooooge: 無敵技だね
[13123.885] mayotyon: 黄ばみ
[13124.016] pakorepukins: ノイズ
[13125.467] さく_らば: コンフュかもしれん
[13127.623] freedom_2231: 黄ばみアッパー
[13128.308] はむはむ_: ノイズ
[13128.428] vungo_mr: メダパニつうじず
[13129.891] ryoichi_m: ドラクエ知らんかったか
[13131.060] mix_camp: メダパニww
[13131.602] pkuzu: ドラクエ誰もがやってる世代じゃないんだよ？
[13132.853] (S)鉄板: いちいちおっさんなんよな
[13134.571] amitakutt: ドラクエやめてね
[13136.110] 変なコメ: 静かに
[13136.280] (S)hatimitsu32bee: メダパニはちょっと古いかも
[13137.007] tetsu_kaede: ﾒﾀﾞﾊﾟﾆ通じずｗ
[13137.581] lightning_baron99: さらにパニックにしていく
[13137.904] genba_kantoku: メダパニ通じんて
[13138.322] ほげほげさん: メダパニ通じるんかな？
[13138.410] (S)美濃屋善兵衛: BloodTrail
[13139.470] shamoa7: メダパニ知らんかーw
[13142.058] noko_twch: ドラクエおじさん 
[13142.285] (S)港区ザンギエフ: メダパニーマじゃないと通じんかぁ〜
[13144.170] (S)musi_namazu: 前必殺技かな
[13144.912] こすもどりっぷ: マホカンタされた
[13145.276] fliege1515: がんばってどぐにゃん･･･
[13146.064] ushbatesoro: すかし投げするのかと思ったｗ
[13146.076] (S)mukubado2: メダパニw
[13146.698] sannpann_twich: ふ〜ど「最近の若い人はFFの呪文伝わらない」
[13148.407] tetsu_kaede: コンフュっだっぺ
[13149.367] Christina_stlmix: ドラクエダメかw
[13149.434] pawafu1_: コツ掴めば勝てるようになりそうだけどね
[13149.855] (S)fure1101: 野イズ崎
[13150.736] (S)dodoi2: ふんどし！
[13151.869] 過労伝説: インパクト対策連携ほしいな
[13154.607] (S)港区ザンギエフ: メダパニダンスなら通じたかもね
[13159.884] さく_らば: ひなーのには効かないようだ…
[13160.757] thefrozensun_: モダンの入力がわからんw
[13170.673] 白のワニ: ドラクエハラスメント 
[13173.025] yakinikuu256: ジャンプ攻撃まだよく分かってないか
[13175.291] (S)コムコムぽん: エフエフもドラクエももう覇権ではないのか
[13176.626] ushbatesoro: うま
[13176.905] fliege1515: うおおお
[13177.084] 地球最弱を継ぐもの: 紐で落とせるのえらいね
[13177.921] さく_らば: ないすぅ！
[13178.542] (S)ありやんさん: ないすううう
[13178.958] naryuhama: えら！
[13179.768] Biruron: おおお
[13180.724] (S)ekiben_taro: これは天才
[13180.979] torpedoooooooo: おおおお
[13181.044] mix_camp: ないすー
[13181.339] shamoa7: ないすー！！
[13181.660] (S)napo575: 弾出したいけど焦って前押しちゃってるとか
[13182.430] icchy5tr: 良い紐だあ
[13182.629] shi_a__: おー
[13182.689] ふうかさぁ: ないすぅ！
[13183.116] pawafu1_: アシストでOD出すの忘れてるか
[13183.326] amitakutt: 全然てんたらふー
[13183.541] (S)港区ザンギエフ: おおうま
[13183.738] (S)鉄板: 良い勝ち方や
[13184.107] (S)美濃屋善兵衛: うめえ
[13187.281] noko_twch: うおー！
[13188.845] goose0914: 相手をよくみてるー
[13193.928] pkuzu: むかついたら出す技
[13196.392] (S)mukubado2: アイィィィィィ！
[13199.752] shamoa7: 見てから？
[13203.822] ushbatesoro: 紐出して投げ！紐出して投げ！
[13215.505] さく_らば: 投げさらっと抜けてるのほんとにすごい
[13217.495] haruki_0228: ２日目でグラップしてるの才能の塊すぎる
[13218.964] はむはむ_: あ
[13223.903] guscotu0: やばいよね、このレベルたいならあいて困りそう
[13226.604] kropt96: 起き攻めしたいね
[13226.973] pakorepukins: 最近のアイアンの人達うまいなぁ
[13233.338] INosYU: 「起き上がり」だと、相手が起きるとか、自分が起きるときか分からないです！
[13233.361] (S)musi_namazu: わからん殺しやなこれは
[13243.908] fliege1515: まじｗ
[13244.618] さく_らば: おおおおおお！
[13245.478] goose0914: おーーー
[13245.704] (S)ekiben_taro: 天才
[13246.787] pakorepukins: 天才！
[13246.850] pawafu1_: 完璧っす
[13246.941] shamoa7: でるー！！
[13248.551] Biruron: アイイイ
[13249.155] はむはむ_: 天才！？
[13249.354] こすもどりっぷ: ほぁぁあ！
[13249.801] icchy5tr: 偉すぎ
[13250.369] dagaxa4: えらすぎる
[13250.800] (S)美濃屋善兵衛: やるう
[13251.116] (S)エイティ: うおおおおおお
[13251.788] pakorepukins: エスパーだったか
[13252.302] (S)コムコムぽん: 天の才がある
[13252.342] cheeriol: 天才
[13252.355] kooooge: はい天才
[13253.371] ただのぶいすぽ好き: おおおおおお
[13253.728] (S)hatimitsu32bee: 天才
[13254.337] fbhjkl: PogChamp
[13254.377] zibaking: 見てから！！！
[13254.916] naryuhama: 読み合いを制した
[13255.168] ラージフォレスト: まじの天才
[13255.353] (S)杉林幹雄: 天才
[13256.354] haruki_0228: どぐにゃん超えた
[13257.764] 奇しき赫耀のせとみや: 師匠超えた
[13257.785] ポップマンです: 天才いたァ！
[13258.051] めしゅ麻呂: どぐら超えました
[13258.865] (S)ありやんさん: 格ゲー向いてる
[13259.835] 再度落選の大統領マルモリ: やはり・・・天才か
[13260.289] noko_twch: どぐにゃんよりえらい
[13260.875] はむはむ_: 偉すぎる
[13260.883] ふうかさぁ: 天才！！！
[13261.839] kemononeko: M同士だから読みあいで勝負できるの素晴らしいな
[13264.049] ポケットをふくらませて: 才能 才能
[13264.251] freedom_2231: 天才
[13264.480] makonari: 免許皆伝
[13264.902] さく_らば: 天才か？
[13265.476] SUGAKIYA: かなり予測してないと出ないタイミングだった
[13265.907] pkuzu: 読んでちゃんと押せるとは天才
[13266.597] ryoichi_m: どぐら超えです
[13275.138] (S)美濃屋善兵衛: やっぱモダンすげーな
[13283.020] ほげほげさん: 生ラッシュとか使うんだ相手
[13286.203] kuma2455: どぐらは返せない
[13287.107] (S)美濃屋善兵衛: 格ゲーになってるもんな
[13287.212] noko_twch: 読み合い回るからMはやっぱいいな
[13287.777] (S)hatimitsu32bee: 2日目にして師匠超えましたこれ
[13287.943] amitakutt: 大昇竜もでます
[13294.582] (S)ありやんさん: こういうの見るとモダンって素晴らしい
[13298.912] naryuhama: いきなり読み合い出来るんだもんな
[13300.138] pakorepukins: リバサいいね
[13310.330] ushbatesoro: 格ゲーで一番習得が難しいと言われている読み合いのセンスがある。
[13318.799] (S)美濃屋善兵衛: 一番楽しくてムカつく部分味わえる
[13322.996] pawafu1_: 勝てるよー
[13327.715] goose0914: 紐使うの上手いなー
[13329.477] さく_らば: ﾊｲ
[13336.909] はむはむ_: 2日目なんだよなぁ
[13338.525] fliege1515: 勝ちだぜ
[13341.641] さく_らば: ないすー
[13344.928] ふうかさぁ: 上手すぎ！
[13345.719] pakorepukins: ノイズをものともしない勝利
[13345.896] (S)ありやんさん: ナイスすぎる
[13348.838] (S)美濃屋善兵衛: 良い勝ち方
[13349.005] oreyuta: 大アシとOD昇竜をもっと感じろ！！
[13349.020] naryuhama: 非常ボタン全部押して勝った
[13350.691] katanantoka: ﾅﾝﾄｶﾅﾚｰ
[13355.346] corgi_green: ラッシュキルステ文明にすすめられるか
[13361.012] pawafu1_: まだわかってないけどかなり偉い
[13361.097] mix_camp: ボタンを押せるセンス
[13361.392] shi_a__: ないすー
[13361.459] ぬるぼっと: あれだけ画面端背負ってよく勝ったね
[13364.815] noko_twch: センスありあり
[13366.429] (S)dodoi2: エマージェンシーボタン
[13366.580] marmot0001: ここでリリーかｗ
[13367.874] SUGAKIYA: 危機感覚が優れてる
[13371.863] cheeriol: もしかして？
[13372.153] jaguarbee200: プレイがまーじで偉い
[13373.597] kooooge: ゲームうまいっす
[13374.857] 再度落選の大統領マルモリ: 君、もしかしてゲームうまい？
[13376.441] sakukushi: ひなーのうきうきなの
[13378.493] (S)港区ザンギエフ: ゲーム上手い！
[13379.554] SUGAKIYA: 普通に筋がいいよね
[13380.347] 白のワニ: 君もしかして格ゲー上手い？
[13380.561] ~MISSING_COMMENTER_INFO~: キルステップ教えないのは意図？
[13380.798] njpw2017: ほかは？
[13381.270] (S)ありやんさん: マジですごい
[13381.794] sasugani: これ
[13382.435] amitakutt: これは
[13383.195] mix_camp: これ？
[13383.225] goose0914: ひたすら弱連打 みたいのしないのすごい
[13383.902] hyperion0123: そうかもかわいい
[13384.865] naryuhama: ゲームが上手い人は、ゲームが上手いという特徴があります
[13384.959] ポケットをふくらませて: ゲームIQ高いか
[13385.376] さく_らば: ゲームがうまい
[13385.692] (S)コムコムぽん: ほめほめ
[13386.634] pkuzu: 若い人ゲームうめえなぁ
[13387.199] pakorepukins: 殺意の波導
[13387.396] ただのぶいすぽ好き: これ
[13388.275] freedom_2231: これは？
[13390.786] ushbatesoro: ゲームIQ高いよね
[13391.203] (S)うちま_: パニくらないでしっかり無敵やらアシスト大押せてるのは実際ゲーム上手い
[13391.339] ほげほげさん: ミニ本田
[13392.012] pawafu1_: 実質ほん、だ
[13394.421] kooooge: ひなーのうきうきの日なの
[13394.692] fliege1515: うまｗ
[13396.028] (S)港区ザンギエフ: キルステップなんて今知ったら頭パンクしてまう
[13396.694] jungle158: リトル本田
[13397.007] (S)美濃屋善兵衛: 相撲でごわす
[13397.257] (S)musi_namazu: Mリリーはこわいな
[13399.418] oreyuta: 3日目にキルステ教えてなんになるんやって話
[13399.452] shi_a__: 不味い可能性ｗ
[13400.793] pawafu1_: うっま
[13400.814] はむはむ_: 使用率わーすと、、、
[13400.997] icchy5tr: 知識さえあればまじで勝てる動きしてる
[13401.131] pakorepukins: かわいい本田
[13401.989] (S)杉林幹雄: あんなに投げきそうっておもって投げボタン押せない普通
[13403.476] amitakutt: 投げが渋い
[13404.150] p4seri: 対空マジで出る
[13404.564] marmot0001: 対空でる～
[13404.777] (S)港区ザンギエフ: プチ相撲
[13404.823] naryuhama: 重ねてるもんねぇ
[13405.355] seven_bluewave: えらーい
[13406.031] さく_らば: 飛ばせてアッパーで落とせてるなァ、すっごい
[13406.993] (S)napo575: たしかに
[13407.112] 地球最弱を継ぐもの: 褒めて格ゲー沼にひきこもう
[13411.031] (S)港区ザンギエフ: ちびっこすもう
[13411.895] haruki_0228: カウンター表示で投げ入ってるのすごい
[13413.834] SUGAKIYA: あーそっか テンパることがないからか
[13415.627] (S)美濃屋善兵衛: ネイティブ・アメリカン航空相撲
[13418.610] imamu25: ゴールドくらいはすぐいけそうだな
[13420.635] naryuhama: おおお
[13421.203] ushbatesoro: うっまｗ
[13421.724] amitakutt: サイコ柔道！？
[13421.953] (S)ありやんさん: 投げ重ねしばらく練習したわワイ
[13423.022] はむはむ_: ないすー
[13423.286] naryuhama: しぶっ
[13423.725] fliege1515: いい攻め
[13423.974] (S)田中脊髄剣田中: アイイイイ
[13425.090] ぬるぼっと: ないすー
[13425.267] pkuzu: 圧倒的
[13427.150] Biruron: 圧のかけかた！！
[13427.829] shamoa7: うまい！
[13428.276] brontttt: うまいね
[13428.779] (S)ekiben_taro: キルステからの投げもできますと
[13430.959] noko_twch: うまい
[13431.678] (S)エイティ: キルステ投げできてんのすごすぎる
[13431.685] seven_bluewave: キルステ投げ！？
[13432.228] SUGAKIYA: なんだこいつ！？
[13433.462] なこ助: そこで投げは上手すぎ！
[13436.329] kuma2455: 今サイコ柔道してた！？
[13440.754] mix_camp: 渋い投げきた
[13441.879] takahashi_migite: ２日目で、距離ごとに技つかいわけられてる
[13444.559] seven_bluewave: 小さい本田
[13446.720] katanantoka: かわいい本田
[13448.057] noko_twch: めちゃエドしてる
[13449.982] ぬるぼっと: うっまｗ
[13450.514] はむはむ_: うま
[13451.071] zonta184: うま
[13451.219] Biruron: やばｗ
[13451.237] fliege1515: 落とした･･･
[13452.275] (S)れすみず: ヤスオか？
[13452.517] pawafu1_: やば
[13452.945] (S)ekiben_taro: 天才
[13453.175] (S)musi_namazu: マジかｗｗｗ
[13453.520] SUGAKIYA: うお
[13454.396] marmot0001: やっば
[13454.518] (S)美濃屋善兵衛: まじか
[13455.483] さく_らば: うえぇ！？
[13455.762] atoy0: おとしたぁ
[13455.937] shamoa7: まじか！？
[13456.349] goose0914: 今の反応すご
[13457.012] democa003: 今のえぐｗ
[13457.532] (S)ありやんさん: ODスパイア落としただと
[13457.890] あちゃの: 見てから余裕でした
[13458.382] ushbatesoro: サイコ柔道覚えたらプラチナまで余裕やろな
[13459.682] eichaan_: うま
[13462.732] (S)hatimitsu32bee: 俺落とせないんだけど
[13467.046] cheeriol: うっま
[13467.245] (S)鉄板: アイイイイ
[13467.864] (S)toruki0129: 反応新生児か？
[13468.563] 白のワニ: うんま
[13468.702] (S)mukubado2: アイィィィィィ！
[13469.139] buryuringo: センス◎
[13469.236] SUGAKIYA: うまない？？
[13469.356] fliege1515: 勝ち～
[13470.181] (S)fure1101: フィジカル強者
[13470.264] pakorepukins: 赤ちゃんだった
[13470.661] pawafu1_: 天才っす
[13472.276] zibaking: はい勝ち
[13472.354] brontttt: 対空うま
[13473.405] atoy0: あらあらまぁまぁ
[13473.646] amitakutt: つ、つよい
[13474.607] さく_らば: 師匠超えられてません？
[13475.005] naryuhama: ピチピチの反射神経
[13475.230] (S)うちま_: これ10年に一人の才能っす
[13476.582] corgi_green: アィィィィ！
[13478.850] 三パチ: 反応いいー！
[13479.155] ash_ftg: やっぱ配信者ってうまいんやな
[13479.817] 猫夢たろ: 偉すぎ～
[13480.684] れんが: えぐくないかあの昇竜の反応
[13481.852] buryuringo: 今の落とすのえぐいな
[13482.626] ぬるぼっと: ファンボかよｗ
[13482.946] oreyuta: 反応1ケタ年齢
[13486.541] はむはむ_: つ、つよすぎ、、、
[13487.698] noko_twch: 今の手動コンボだ
[13487.795] のな: 橘さんの笑い方クセになる
[13490.345] (S)musi_namazu: マジで反応いい
[13491.596] ricknicols: 上手すぎる
[13492.766] ushbatesoro: ｗｗｗｗｗ
[13495.150] pakorepukins: ｗｗ
[13495.649] mix_camp: メナの生まれ変わりか？？
[13495.981] salvere_66: ゴールドはもうありそう
[13499.228] fliege1515: つってんの
[13499.361] ふうかさぁ: www
[13499.547] さく_らば: できてるって言ってんの！！！
[13499.810] (S)ありやんさん: まじでうまい
[13500.016] ポップマンです: 言ってんの！
[13500.204] naryuhama: 嫌味かキサマ！
[13500.453] kemononeko: むずいって言って出来てるならすごいやろ
[13501.382] katanantoka: いってんの！
[13502.599] えいす7: っていってんの！ｗ
[13503.137] marmot0001: また変なのきたｗ
[13503.447] (S)鉄板: もっと具体的に褒めて
[13503.533] pawafu1_: めんどくさいのきたｗ
[13504.298] (S)やぎう氏: 普通はできないって言ってんの！
[13504.806] (S)musi_namazu: あっ
[13505.128] shi_a__: ｗｗｗ
[13506.378] deepbronze2: ヨ、ガ
[13506.473] cheeriol: リリー分かってないのに対空出来てるの天才
[13508.284] seven_bluewave: 逃げた
[13508.646] fbhjkl: ScaredyCat
[13509.509] katanantoka: あ
[13509.566] ポップマンです: あっ
[13509.799] (S)美濃屋善兵衛: あー
[13509.822] ryoichi_m: 無理やねw
[13511.943] ushbatesoro: 再戦拒否安定です
[13513.856] ふうかさぁ: あっ
[13514.701] number321: 三銃士
[13515.228] ゆうぴぃ: 逃げるべ
[13515.651] ぬるぼっと: わからんキャラ代表
[13516.163] sasugani: ヨガ
[13516.308] ほげほげさん: レアキャラ多くない？
[13516.846] (S)napo575: ダルシムの投げがツボに入ってしまった
[13517.783] 猫夢たろ: ヨ、ガ
[13520.068] bbimanim: ダルシムなんかあたらんから気にせんでええ
[13523.773] naryuhama: 奇しくも同じ構え
[13523.931] (S)港区ザンギエフ: I Love ヨーガとガチくん…♡
[13526.196] 猫夢たろ: しかもCｗｗ
[13526.510] charcoal_jps: ツボってたね昨日ｗ
[13528.230] はむはむ_: インド人を右に
[13531.565] elese4869: 激臭
[13531.799] ふうかさぁ: うまい！
[13537.040] (S)港区ザンギエフ: しかもクラシック！？
[13542.154] SUGAKIYA: まぁまぁアイアン同士だしな
[13544.873] pawafu1_: このランク帯でＣダルシムは硬派すぎる
[13547.016] (S)musi_namazu: アイアン帯にダルシムいるんだなあ・・・
[13548.918] 地球最弱を継ぐもの: ちゃんと対空ボタン押すのえらいな
[13549.744] (S)港区ザンギエフ: 仙人の卵じゃん………
[13551.126] amitakutt: 裏投げ
[13555.706] さく_らば: ないすぅ！
[13556.414] ushbatesoro: ちゃんと投げも使い分けられるんだ…
[13558.464] モドキ: うまい
[13558.912] naryuhama: この世に新たなCダルシムが生まれようとしているのか
[13559.661] shamoa7: うまw
[13561.359] icchy5tr: 投げかさねうっま
[13561.602] imamu25: 重ね完璧やん
[13562.566] (S)dodoi2: ヨガアッチッチ
[13562.716] (S)ありやんさん: 投げ上手すぎひん
[13563.642] seven_bluewave: 入れ替えナイスゥー
[13563.709] (S)美濃屋善兵衛: 投げ偉いな
[13565.501] naryuhama: 柔道のセンス…
[13565.526] goose0914: 投げうまー
[13566.403] SUGAKIYA: フレーム感覚がある
[13567.059] jaguarbee200: 投げ重ねうーまい！
[13567.716] pawafu1_: 重ねるの上手いよね
[13569.666] ポップマンです: 重ね上手くないか？
[13569.788] tot1214: カウンターとれてます
[13570.081] fliege1515: それは普通にうまいな
[13571.274] ryoichi_m: 起き攻め知らんけどやってるの偉いわ
[13572.225] katanantoka: 投げ重ねを本能で
[13572.234] (S)杉林幹雄: なんで投げ重ねできんの？
[13573.310] cheeriol: 起きる瞬間に重ねるのがムズイんじゃい
[13573.764] oreyuta: やられたことから気が付くの天才
[13575.668] guscotu0: マディデ！？
[13576.354] ishiya007: 人が嫌がることは率先してやる
[13576.585] (S)港区ザンギエフ: えらい
[13576.912] はむはむ_: 小学生の頃、ヨガすると手は伸びるし、火は吹けると思ってました
[13577.142] tkgnotamago: それ、強いです！
[13577.436] 猫夢たろ: 最高っす
[13578.622] kooooge: あるいて投げるのうまい
[13580.357] ゆうぴぃ: 起きる瞬間重ねれるのアイアンじゃねえわ
[13586.663] (S)mukubado2: 投げ埋めれるの 
[13587.315] ぬるぼっと: 邪魔してない？ｗｗｗ
[13587.387] さく_らば: 撃つべし！うつべし！
[13589.714] pakorepukins: ノイズやめてね
[13590.564] bravoz825: ｗｗ
[13590.629] icchy5tr: 初心者は投げスカしてパニカンなげされるのあるあるなんだけどなあ
[13590.777] shamoa7: まじ初心者？
[13591.263] naryuhama: すぐ加齢臭でてくる
[13592.683] amitakutt: 古いえ
[13596.138] 白のワニ: つたわんないよｗ
[13596.262] fliege1515: ｷｭｯｷｭｯ
[13596.382] vra_oji: 天才だって言ってんの！
[13596.626] sasugani: ガハハ
[13597.171] toto3210119: シンクロ
[13597.207] noko_twch: ゴールドまで詰まらず行けそう
[13597.402] tkgnotamago: どおだぁーーっ！
[13597.656] ポップマンです: wwww
[13597.849] (S)wakameeeeee: ｗｗ
[13597.861] deepbronze2: いいね～ｗｗ
[13599.487] naryuhama: 微笑ましいｗｗｗｗ
[13601.098] アイネ_: シンクロ
[13601.635] 猫夢たろ: ｗｗｗｗｗ
[13602.013] (S)fure1101: たのしいねぇ！！
[13603.857] (S)やぎう氏: どぉーだぁー
[13604.126] (S)美濃屋善兵衛: 楽しいねえ！
[13604.494] (S)hatimitsu32bee: すーぐ古いの出ちゃう
[13604.640] corgi_green: ひまだから邪魔してんだろwwwwwww
[13605.261] freedom_2231: 老人虐待
[13605.362] acis012: 何やおこのおっさんｗｗ
[13605.564] motitya3: かわいww
[13605.884] cheeriol: こーれ集中力どっか行きました
[13607.022] nullnull_hjm: ターン制なのを感覚で理解してるっぽいから、時々差し合いまでしてんの草なんだ
[13607.044] sakukushi: 反応してくれるからおじさん何度でもコスる
[13607.248] naryuhama: かわヨｗｗｗ
[13609.149] はむはむ_: ないすー
[13610.795] さく_らば: どぉだぁ！
[13611.682] p4seri: なんなんマジでこれw
[13611.831] (S)wakameeeeee: 仲良しすぎんか
[13613.879] pawafu1_: アラフォーのエドおるって
[13613.978] ふうかさぁ: 親戚の家やんw
[13614.075] (S)napo575: たのしいねぇ！
[13616.216] fbhjkl: 上手
[13618.293] katanantoka: どぐにゃんバフ
[13619.718] deepbronze2: ひなーの楽しくなってきてるか
[13620.211] はむはむ_: 連勝ですやん
[13621.898] autout: エドのセリフ中毒性高い
[13623.496] (S)ekiben_taro: どんどんやったってや
[13623.586] pakorepukins: ごごごごごご
[13625.458] tot1214: ごごご
[13629.286] (S)ありやんさん: 今日中にゴールド行けそう
[13632.408] SUGAKIYA: どぐらとゲラ、混ぜるな危険
[13637.191] (S)dodoi2: ムーブ！ムーブ！
[13638.671] goose0914: てか相手クラシック化
[13642.330] pepo369: 良い伸び方してそう
[13648.095] (S)美濃屋善兵衛: ワンチャンプラチナあるか？
[13657.146] katanantoka: 代わりにね
[13663.429] (S)鉄板: ええて
[13665.953] (S)mukubado2: オタクきたー！
[13668.176] ポップマンです: ええて
[13669.822] (S)アンコモンたこやき: アグニの加護がどうたら
[13670.285] はむはむ_: そして火を吐く
[13670.607] pawafu1_: うんちくやめてね
[13671.659] (S)美濃屋善兵衛: お相手さんも偉いな
[13671.749] (S)コムコムぽん: 火の神アグニの力を借りた～
[13672.755] lennon_v66: イイ！
[13672.853] tetsu_kaede: 小話ええてｗｗ
[13673.478] あらぺしぇ: ノイズやめてね～
[13674.022] (S)さとチャ: 何はいてるん・・？
[13674.141] see_no547: ええて
[13674.798] さく_らば: ええて
[13674.800] shamoa7: いい飛び
[13675.355] メデス: イザナミか？
[13675.394] (S)napo575: ジャンプ攻撃が機能している
[13678.648] zibaking: 小噺きた
[13678.977] naryuhama: ｼｭｯｼｭｯｼｭ
[13679.073] haruki_0228: ノイズ
[13680.385] ほげほげさん: とび効いてきた
[13681.968] margarita_217: こんばんは、今日はガヤですか？
[13684.386] pakorepukins: ノイズやめてね
[13684.655] ishiya007: 酒は飲んでなくて薬湯だしヨガは幻影だし相撲は出禁だよ
[13684.854] seven_bluewave: 飛びええやん！
[13689.948] さく_らば: 初めに学んだ飛び攻撃がもう活きている
[13692.997] (S)港区ザンギエフ: 俺ぁまだまだいけるぜぇ？
[13693.404] cheeriol: 2の頃幻影で全身丸コゲやったんか
[13697.358] 0s0zai: ひなーのパット？？
[13701.993] ポップマンです: ヨガすると手が伸びるのはなんなのよ
[13702.357] katanantoka: 地上の牽制
[13703.453] amitakutt: 言う事ないからガヤしか出来ない
[13707.997] はむはむ_: 幻影の炎だったのか、、、
[13708.053] ushbatesoro: ちゃんとガードしてるの偉いな
[13720.974] さく_らば: ヨガするとテレポートできるようになるから通勤に便利
[13723.199] ぬるぼっと: 投げ抜け上手だなー
[13729.032] noko_twch: 紐から拾えるんだ
[13733.121] pawafu1_: うっまい！
[13733.577] さく_らば: ないすぅ！
[13735.385] (S)ekiben_taro: グッドリズム！グーーッドウィドゥム！！
[13735.580] naryuhama: 良いインパクト
[13735.956] (S)ノーススター: めっちゃ受けが上手
[13736.892] shamoa7: (」’ω’)」ｵｫｵｫｵ!!!ｳｳｩｩｱｱｫｵ!!!!!!
[13738.286] れんが: 偉すぎる
[13739.230] cheeriol: うますぎ
[13740.464] deepbronze2: 成長が止まらない
[13740.659] motitya3: ないす！！
[13741.578] (S)JustNei0: 天才か
[13742.314] katanantoka: インパクト先端距離
[13742.494] アイネ_: いまのインパクトのタイミングやば
[13743.536] (S)アンフォームドヴォイド: go1NICE
[13744.629] (S)やぎう氏: どぐにゃんバフ
[13747.373] (S)ありやんさん: ぐんぐんLP上がってく
[13748.711] pawafu1_: ほうダルシムを処理ですか・・・
[13748.787] akuseru_362: 天才
[13750.598] ゆうぴぃ: ブロンズレッツゴー！
[13750.622] bbimanim: ヨガとは
[13751.111] pakorepukins: もっとコンボ上手くなったら普通にめちゃめちゃ勝てるんじゃないか
[13752.305] ポップマンです: ヨガヨガヨォガァ！
[13752.960] (S)美濃屋善兵衛: ヨーガ
[13753.644] (S)mukubado2: ヨガビンタね
[13754.666] (S)港区ザンギエフ: ﾎﾞｯｺｶﾞｯｼﾎﾞｶｯ
[13755.813] (S)コムコムぽん: あの投げモーションはやめて欲しいｗ
[13756.042] see_no547: めちゃくちゃセンスあるなー、基礎しっかりしたら更に上行きそう
[13757.371] njpw2017: 何がヨガやねん
[13759.672] marmot0001: またリリーかｗ
[13759.960] (S)dodoi2: ヨガ折檻
[13759.989] ishiya007: あいつヨガやってるかんな
[13760.010] ほげほげさん: 違う理由やん
[13760.715] ぬるぼっと: ダルシム相手にはちゃんと前出るのよね。
[13762.656] sasugani: ヨガ
[13764.575] (S)港区ザンギエフ: ﾖｶﾞ!ﾖｶﾞ!ﾖｫｶﾞ!
[13764.622] さく_らば: ﾖｶﾞｧﾖｶﾞｧﾖｶﾞｧ
[13764.799] (S)musi_namazu: 普通ですね
[13765.848] varomu: ｗｗｗｗｗ
[13766.288] shi_a__: ヨガ！ヨガ！
[13766.593] はむはむ_: ヨーガヨガヨガヨガ
[13766.915] ポケットをふくらませて: ヨォガ～
[13768.496] 蟹右手: ヨガ～（断末魔）
[13769.058] varomu: ﾖｶﾞﾖｶﾞﾖｰｶﾞ
[13772.383] えむと: ヨガだし
[13777.126] boolean_opo: ヨガなら火吐けるしテレポできる
