[4.124] (S)sakusannyo: きたーー
[6822.597] 低楽: 簡単とは
[6822.621] ひのした: wwwww
[6823.489] (S)にわすずめ: 危ないwwww
[6824.967] mitoya_1115: 危うくだったぜ
[6825.250] 中原きょうか: てめぇ
[6825.704] このよのてんちょー: wwwwwww
[6826.644] merongo_1023: wwwwwwwww
[6827.117] 猫又01: メモリーがあんまりない
[6827.370] 北白: wwwwwww
[6828.540] toma_ruku_teacher: wwww
[6828.652] kawasemi2525: wwwwwwww
[6829.192] norara_tw: 一文字かよ
[6829.960] (S)tukky1208: ガラクタかな
[6832.555] (S)sora_mameee: wwwww
[6832.739] AkabaFanta: ^^^^
[6833.138] (S)nekodama2155: おお
[6833.780] amelia_joker: ポンコツはお前
[6834.542] たぴおか1267: wwwwwwwwww
[6835.477] つらりれ: !uptime
[6835.832] (M)Nightbot: らっだぁ が配信を始めてから 1 hour 54 minutes 2 seconds 経過しています。
[6836.957] Ruria00: 容量が...
[6839.488] そふぃ3: BAR？
[6839.742] (S)弾幕とスナは突然に: ガバガバやんけ
[6840.359] コア21: 君よりわ頭いいよ
[6840.619] 低楽: 下
[6841.258] 甘酒大好き: 感謝もろくに言えんのか
[6842.070] ryouranmaru: 可愛いぽんこつだな
[6842.912] ayunosioyaki0223: あ
[6843.405] merongo_1023: ぽんはお前
[6845.074] (S)白い米: いないいない
[6845.183] shilva_0: あ
[6846.244] mitoya_1115: wwwwwwww
[6847.380] (S)弾幕とスナは突然に: 婆？
[6848.327] るらま: あー
[6849.779] aotubakikuruminku: あ
[6850.195] riren_92: …wwwwww
[6850.719] kawasemi2525: あ
[6850.947] あるみ屋: おい
[6851.396] Ruria00: あ
[6852.161] nayu_d: 地上にあるよ
[6852.192] (S)キラキラボシ: wwwww
[6852.622] ちぃず太郎: あww
[6855.798] kotetsu_yuzu0108: あ
[6856.811] merongo_1023: あ
[6856.917] そふぃ3: 手癖やばwwww
[6857.027] たぴおか1267: あ
[6857.427] awayuri: オシャレも何もねぇだろ
[6858.093] るらま: おしゃれって知らないんだね
[6858.354] nobume0v0: すんごい跳ねるw
[6859.671] yukky88: 婆
[6859.902] このよのてんちょー: あ
[6860.344] rua0220: あ
[6860.881] mashiro0131: あ
[6861.099] (S)tukky1208: 頭突きなんよ
[6862.313] えんそ: あ
[6863.262] mo_coa: あ
[6864.071] タクトン: お前の頭も飛ばすぞ
[6864.320] nakihai556: あ
[6864.655] ちぃず太郎: お前のせい
[6864.859] bin2726: あ
[6865.103] (S)えりさ_: あ
[6865.862] maroooo_2525: どした？w
[6866.174] (S)にわすずめ: あ
[6866.812] akita_210: 職失ったか
[6867.530] mitoya_1115: あ
[6869.743] ニコ丸0429: 芸術点高いね
[6870.325] wpj575: あ
[6870.564] そふぃ3: あ
[6874.118] るらま: あ
[6876.526] (S)えりさ_: wwwwww
[6879.796] mitoya_1115: まさかの趣味
[6880.740] bunchaan: ええ
[6881.031] (S)弾幕とスナは突然に: 趣味かよ
[6881.627] nakihai556: wwwwwww
[6881.915] タピレモ: 映画泥棒？
[6882.001] ayunosioyaki0223: 娯楽なんだ
[6882.170] (S)にわすずめ: 遊び……wwww
[6882.442] tora25_22: そ、そっかぁ
[6882.474] 猫又01: wwwwww
[6882.934] このよのてんちょー: 仕事終わりのおっさん
[6883.401] maroooo_2525: え？
[6884.753] nobume0v0: あ、そーなの...
[6884.841] ruu_ha: wwww
[6884.871] (S)gakuto1007: wwwwww
[6886.131] sumikko_ai: 遊びw
[6886.346] mizusakura0326: wwwwww
[6886.468] 低楽: すげぇ趣味
[6886.561] mitoya_1115: wwwwwwww
[6887.344] くりおね90: 娯楽だったんだ
[6887.603] 中原きょうか: え
[6888.187] becpac: 闇深
[6888.768] そふぃ3: まさかの遊びwwwwwwww
[6889.118] (S)sora_mameee: 趣味かよ
[6889.126] tsuruka_: ｲｲﾄｵﾓｲﾏｽ
[6889.240] omoti1208: wwwwwww
[6890.615] akita_210: 趣味なんかい
[6890.873] Ruria00: 同じ趣味持ってんじゃん
[6890.922] merongo_1023: ヤバいやつか
[6891.614] mashiro0131: 遊びなんだwww
[6891.890] るらま: 趣味とかあるの？w
[6892.035] えんそ: 空きバケツでやれよ
[6893.403] suiha_7: radaoW
[6894.313] つのなんだが: ここでやんなやw
[6897.873] (M)Nightbot: YouTubeにクリップ集を投稿していきたいので、面白かったシーンなどを>>"タイトル"<<をつけてクリップ作成お願いします。画面の右下にクリップ作成ボタンがあります。>>"タイトル"<<を付けて作成してもらえると後でクリップを選出しやすくなります。よろしくね
[6898.096] (S)えりさ_: そう……
[6899.288] 甘酒大好き: 興味ないな
[6902.495] ちよび: 天気…？
[6902.788] ばなばなな: 趣味だったのかww
[6903.187] naguha23: キャッチボールみたいなものなのか…？
[6907.044] ぱるぱふ: !uptime
[6907.431] (M)Nightbot: らっだぁ が配信を始めてから 1 hour 55 minutes 14 seconds 経過しています。
[6908.553] えんそ: まだ拭いてるwww
[6909.464] nagosaku: あ
[6909.926] みりンゴ: あ
[6910.345] mitoya_1115: あ
[6911.080] れいるさん: 真似てるだけだからちゃんと分かってないのか？
[6911.315] riren_92: あ
[6911.908] きのここ: あ
[6912.281] bin2726: あ
[6912.539] aina___10812: あ
[6912.616] mo_coa: wwwwwwwww
[6912.777] ちぃず太郎: www
[6912.985] sumikko_ai: あ
[6913.408] そふぃ3: あっ
[6913.638] (S)えりさ_: あ
[6913.819] チャマチャマ: あ
[6913.855] (S)sora_mameee: まぁ人間の模倣自体遊びなのかな…
[6913.998] (S)tukky1208: あ
[6914.083] くろうるふ: あ
[6914.233] (S)if0990: あ
[6914.299] (S)hanadango823: あ
[6914.332] nobume0v0: あ
[6914.336] ayunosioyaki0223: あ
[6914.541] 猫又01: あ
[6914.981] (S)panno_mimi: あ
[6915.070] 抹茶の午後: あ
[6915.271] (S)gakuto1007: あ
[6915.313] あるみ屋: あ
[6915.486] maroooo_2525: あ
[6916.910] (S)sora_mameee: あ
[6917.450] yona_0724: あ
[6917.674] るらま: あ
[6917.708] bluepanda0603: あ
[6917.784] とまとかれー: あ
[6917.906] (S)弾幕とスナは突然に: 掃除してるのを見下ろすのが趣味ってこと？
[6918.575] nazu_7z: あ
[6918.633] 甘酒大好き: こｙ
[6918.639] (S)ももかっ: あ
[6918.648] nakihai556: あ
[6918.858] mimitabu_92: あ
[6919.041] aotubakikuruminku: あ
[6919.386] mo_coa: あ
[6919.612] えんそ: あ
[6920.835] omoti1208: あ
[6921.850] (S)えりさ_: おこです
[6922.079] kawasemi2525: あ
[6922.767] ゐゐは: あ
[6923.481] (S)さめはる: あ
[6923.640] (S)にわすずめ: あ
[6923.684] mirinann721: あ
[6923.766] 低楽: あ
[6924.132] merongo_1023: あ
[6924.862] mashiro0131: あ
[6925.336] furutoshi: 😠
[6925.771] (S)弾幕とスナは突然に: 許せ
[6925.878] mitoya_1115: おこだよ
[6926.806] smallkundesu: あ
[6927.293] チャマチャマ: おこ
[6927.331] suiha_7: radaoAngry
[6928.221] shilva_0: あ
[6928.781] YodoRa: そりゃ怒るwww
[6929.947] ar1_1220: あ
[6930.293] 中原きょうか: おこっとる
[6931.376] ちぃず太郎: また
[6932.515] kotetsu_yuzu0108: あ
[6933.969] gu_taranosuke: あ
[6934.586] mashiro0131: おこ
[6935.724] (S)sora_mameee: 謝れ
[6935.948] るらま: 怒られちゃった
[6937.062] こんにゃ: あ
[6938.056] (S)nekodama2155: あ
[6938.405] Amam1ya0000: 😡
[6938.420] main94: おこ
[6938.585] medo_710: radaoAngry
[6938.828] (S)yunoooa: あ
[6939.213] take117: そんな可愛い声出しても許してもらえない
[6939.620] ruin666_: 猫だから言いすぎだろ
[6939.634] (S)弾幕とスナは突然に: ガキなんや
[6940.102] 猫又01: おい
[6940.432] smallkundesu: あ〜あ
[6941.058] tora25_22: おい
[6941.288] okasi_tabetai: 許されないのはおかしい
[6941.425] (S)にょまれ: radaoAngry
[6941.529] aina___10812: おい
[6941.567] mitoya_1115: おい
[6941.731] mirinann721: おい
[6942.854] ちぃず太郎: おい
[6942.929] YodoRa: 激おこやん
[6942.954] 抹茶の午後: おい
[6943.384] (S)えりさ_: おい
[6943.593] (S)if0990: ガキというか猫というか
[6943.611] omoti08022: クソねこ、
[6944.054] 低楽: おい
[6944.212] akita_210: お前が元凶
[6944.293] bluepanda0603: おい
[6946.201] tsuruka_: ぽまえが謝るんだよ
[6946.263] そふぃ3: ん？
[6946.423] nachoa120057: らっだぁさいてい
[6946.617] suuuuun_666: おい
[6946.950] (S)つむじのきもち: おい
[6948.191] 摩自: 猫の仕事だから
[6948.755] えんそ: 足跡ついてたぞ？！
[6948.989] aotubakikuruminku: おい
[6949.469] yona_0724: おい
[6949.944] しああき: ？
[6950.178] tonn_donnnnn: ガキか
[6951.550] gu_taranosuke: おい
[6952.264] Ruria00: 😡😡😡
[6952.459] つのなんだが: 足跡かわい
[6953.812] チャマチャマ: 謝りなさい！！
[6953.983] sumikko_ai: 足跡がw
[6954.215] (S)にわすずめ: まぁあんなとこで投げたりする方も悪い
[6954.410] riren_92: おい
[6956.046] (S)弾幕とスナは突然に: さらに仕事増やすな
[6956.774] mashiro0131: おい
[6956.919] (S)kuronowa2525: radaoAngry
[6958.753] (S)sora_mameee: おい
[6961.536] 中原きょうか: 猫には怒ってないのか
[6963.020] akairokun11_11: ！uptime
[6970.456] mitoya_1115: wwwwwwww
[6970.681] rioapr03: www
[6971.352] (S)にわすずめ: wwww
[6971.583] (S)キラキラボシ: wwwww
[6971.913] medo_710: 故意だろ
[6972.012] sumikko_ai: www
[6972.135] maroooo_2525: wwwwwwwwwwwwwwww
[6972.291] そふぃ3: wwwwwwww
[6972.844] yona_0724: wwwww
[6973.642] akairokun11_11: !uptime
[6973.981] (M)Nightbot: らっだぁ が配信を始めてから 1 hour 56 minutes 20 seconds 経過しています。
[6974.250] ruu_ha: wwww
[6975.011] mikan_san: !uptime
[6975.583] mashiro0131: wwwwwww
[6976.771] ar1_1220: wwwwwwwww
[6976.799] gu_taranosuke: wwwwww
[6976.897] Ruria00: かわいそうw
[6977.117] このよのてんちょー: wwwwwwww
[6977.367] そふぃ3: 可哀想wwwwwwww
[6978.011] ayunosioyaki0223: www
[6980.102] 低楽: wwww
[6980.848] 大藤むぎ: ぽまえが趣味の後押しをした
[6982.059] 甘酒大好き: 自覚もないとはびっくりだ
[6982.306] aotubakikuruminku: wwwwwwwww
[6983.763] たぴおか1267: wwwwwwwwwwww
[6984.025] (S)novasilen4710: なんかないか漁らないの？
[6984.443] (S)oli_liriri: そうだな
[6984.876] merongo_1023: wwwwwwwwwwww
[6987.478] (S)tukky1208: 可哀想やなあ…
[6989.830] mirinann721: wwww
[7002.568] take117: 楽譜？
[7005.258] mitoya_1115: かわいーん
[7006.245] nazu_7z: かわいーん
[7007.529] rins_in_shanpoo: 楽譜は？
[7007.534] ちぃず太郎: 楽譜？
[7008.380] lemoncheesesource: かわいーん
[7008.453] そふぃ3: ミュージシャンとは
[7008.619] みりンゴ: かわいーん
[7008.652] nobume0v0: 楽譜見せたれよ
[7009.437] きのここ: 楽譜持ってなかったっけ？
[7009.822] ayunosioyaki0223: あらぁ
[7009.983] 猫又01: こいつ楽譜？
[7010.251] riren_92: かわいーん
[7010.462] あるみ屋: あらー
[7010.564] siragiku_nobaka: かわいーん
[7010.639] ik_u: 楽譜？
[7010.676] (S)1chigo_mochi: かわいーん
[7010.725] maroooo_2525: かわいーん
[7010.841] YodoRa: 休憩
[7011.023] sinasinasiterukarintou: かわいーん
[7011.294] nagosaku: かわいーん
[7011.816] sobayu120: radaoKawaiin
[7011.848] めがねおおかみー: 楽譜あげれば
[7011.887] チャマチャマ: かわいーん
[7011.891] sumikko_ai: あらァ〜
[7011.922] bin2726: かわいーん
[7012.072] mo_coa: かわいーん
[7012.262] bluepanda0603: わー
[7012.272] (S)yunoooa: あらぁ
[7012.359] awayuri: あらー
[7012.529] nakihai556: radaoKawaiin
[7012.594] aina___10812: かわいーん
[7012.818] tonn_donnnnn: 楽譜は？
[7013.244] とまとﾁｬﾝ: 楽譜？
[7013.357] medo_710: あら～＾
[7013.550] (S)tukky1208: かわいーん
[7014.207] 低楽: かわいーん
[7014.417] tora25_22: かわいーん
[7014.440] kou_tsuru: 楽譜見せろ
[7014.441] ゐゐは: かわいーん
[7014.567] (S)gakuto1007: radaoKawaiin
[7014.655] あるみ屋: かわいーん
[7014.664] そふぃ3: radaoKawaiin
[7014.747] 猫又01: かわよ
[7014.831] bluepanda0603: かわいん
[7014.849] aotubakikuruminku: あらぁ
[7015.150] えんそ: かわいーん
[7015.498] sunomono8: かわいーん
[7015.957] (S)さめはる: かわいーん
[7016.089] sayoina: かわーー
[7016.304] るらま: かわいーーーん
[7016.552] ちぃず太郎: radaoKawaiin
[7016.603] kawasemi2525: かわいーん
[7017.029] mitoya_1115: 楽譜は？
[7017.208] Ruria00: かわいーん
[7017.307] yumemiruneco: かわいーん
[7018.034] たぴおか1267: かわいーん
[7018.070] rairaaaaan: あらー
[7018.190] (S)バナナ民: radaoKawaiin
[7018.196] (S)oli_liriri: かわい〜〜〜ん
[7018.263] ナマコデリバリー: あら〜
[7018.266] 中原きょうか: 楽譜
[7018.859] (S)netawakukuran: radaoKawaiin
[7019.489] 抹茶の午後: radaoKawaiin
[7019.547] gu_taranosuke: かわいーん
[7019.732] merongo_1023: 楽譜は？
[7019.742] (S)にわすずめ: radaoKawaiin
[7019.876] mimitabu_92: あらー
[7020.160] tonn_donnnnn: 楽譜見せたら？
[7020.222] あらんえむかーびぃ: radaoKawaiin
[7020.786] mitoya_1115: かわいーん
[7021.221] mirinann721: かわいーん
[7021.289] awayuri: かわいーん
[7021.914] mikan_san: 似合うなぁ
[7021.934] (S)たけのこ派: 楽譜の使い道ってもしかしてこれ？
[7022.134] ゆきみ2: 楽譜あげよう
[7022.161] このよのてんちょー: かわいーん
[7023.808] riren_92: 楽譜
[7024.094] merongo_1023: かわいーん
[7024.369] (S)キラキラボシ: radaoKawaiin
[7025.147] tonn_donnnnn: 楽譜
[7026.039] (S)kuronowa2525: radaoKawaiin
[7026.565] mashuuuuuuu22: 楽譜見せれんのかな？
[7026.731] (S)sora_mameee: かわいーん
[7026.957] tsuruka_: 楽譜！
[7027.318] nazu_7z: お
[7027.383] るらま: 曲つくってくれそ
[7028.305] 中原きょうか: かわよ
[7028.362] mo_coa: 映画でありそう
[7029.254] (S)yunoooa: これで食っていける
[7029.259] gawrib: そこで楽譜よ〜
[7029.335] ちぃず太郎: 楽譜
[7029.625] wpj575: かわいーん
[7030.286] am_1685: かわいーん
[7030.845] yukky88: radaoKawaiin
[7031.125] (S)tukky1208: 楽譜は？
[7031.744] 大空白兎: radaoKawaiin radaoKawaiin radaoKawaiin
[7031.900] そふぃ3: radaoBikkuri
[7031.952] にゃん_ごろう: これがK・・・
[7033.632] あけくれ: でしょ？楽譜持ってる
[7034.081] (S)sora_mameee: radaoSleep
[7034.197] mikan_san: 通報した
[7034.319] smallkundesu: かわいーん
[7034.383] kapu_seru: 楽譜あったやん
[7034.581] (S)leisure1193: かわいーん
[7034.697] 低楽: ぐうぐういってるぅ
[7035.276] このよのてんちょー: 1匹欲しい
[7036.223] water_meron_: かわいーん
[7036.961] norara_tw: 道端見るわ
[7037.171] (S)oli_liriri: 通報した
[7037.267] (S)寝袋_: radaoKawaiin
[7037.413] (S)matoge_13: radaoPien
[7038.120] (S)nattttttumi: 楽譜見せよ？
[7038.542] masayose: Uptaim！
[7038.818] nemu2038: 楽譜？
[7038.855] nazu_7z: かわいーん
[7040.046] なのむーん: 楽譜
[7040.316] tonn_donnnnn: 楽譜見せたら？？？ 
[7040.745] main94: 楽譜持ってなかったっけ？
[7041.316] 猫又01: 楽譜渡したら？
[7041.540] laughter40: 楽譜！
[7042.898] (S)しろかすか: 楽譜あげたら？
[7043.101] awayuri: お
[7043.162] (S)leisure1193: radaoKawaiin
[7045.096] 2時半: 楽譜！
[7046.476] rioapr03: おお
[7046.707] Ruria00: お
[7046.926] にぼちぃ: グルグルいってるーーー
[7047.125] (S)えりさ_: お
[7049.352] mimizu_ikoi: 楽譜見せろや
[7049.920] moka_1311: !uptime
[7049.958] otenba_usagi: 楽譜もってるやろ
[7050.243] (M)Nightbot: らっだぁ が配信を始めてから 1 hour 57 minutes 37 seconds 経過しています。
[7050.749] bin2726: お
[7052.114] そふぃ3: お！？
[7052.369] (S)しろかすか: radaoKawaiin
[7053.699] suzuyayaya: !uptime
[7056.118] るらま: お？
[7057.654] このよのてんちょー: お？
[7060.539] (S)mea108: お？
[7061.404] nazu_7z: おお
[7061.609] mitoya_1115: お
[7061.621] きのここ: おおお
[7062.023] ゐゐは: お？
[7062.600] tora25_22: お
[7062.614] nakihai556: お
[7063.139] REN_sylph: こいつ足...
[7063.431] akita_210: おおお
[7063.654] (S)さめはる: お
[7063.750] 低楽: お？
[7063.860] mitoya_1115: お？
[7063.880] あらんえむかーびぃ: おおおお
[7064.140] awayuri: おおお
[7065.050] れぢくす: おおおお
[7065.097] (S)キラキラボシ: お
[7065.112] aina___10812: お
[7065.256] bin2726: おお
[7065.273] チャマチャマ: おおお
[7066.063] __あお: お
[7066.307] しちみー: お
[7066.734] ayunosioyaki0223: おおお
[7066.886] maroooo_2525: あおおおおおお！！
[7066.965] みどふぃ: おおお
[7067.438] take117: おお
[7067.474] nobume0v0: おおお
[7067.489] きのここ: おしゃん
[7067.952] (S)panno_mimi: お
[7068.383] るらま: おおおおおおお
[7068.876] 猫又01: おおお
[7069.069] mizusakura0326: おおおお
[7069.087] mashuuuuuuu22: おお
[7069.247] (S)tukky1208: おおおお
[7069.480] sumikko_ai: おおおおお
[7069.500] みりンゴ: おお
[7069.519] そふぃ3: おおおおおおおお
[7069.966] yumemiruneco: おおお
[7070.029] (S)えりさ_: おおおお
[7070.142] sunomono8: おおお
[7070.226] ゐゐは: おおお
[7070.795] (S)ももかっ: おおお
[7070.957] mo_coa: おおお
[7071.037] nachoa120057: おお！
[7071.284] あるみ屋: おお
[7071.891] えんそ: おおおおお
[7072.119] aja2525: おおおおおおお
[7072.256] mirinann721: おおおお
[7072.653] tiger_bay: 知らないだけだからな
[7072.909] (S)にわすずめ: おお
[7073.128] mitoya_1115: おしゃんじゃん
[7073.138] るらま: やったーーー
[7073.217] ちぃず太郎: おおお
[7073.981] (S)matoge_13: radaoGJ
[7074.531] ar1_1220: おおおお
[7075.355] bluepanda0603: おお
[7075.381] mitoya_1115: おおおおおおお
[7075.414] たぴおか1267: おおおおおお
[7075.530] (S)sora_mameee: おおおお
[7075.620] toma_ruku_teacher: おおお
[7075.687] yona_0724: おおおお
[7077.218] ちぃず太郎: radaoKawaiin
[7077.456] smallkundesu: お
[7078.083] れいるさん: エモ
[7078.175] つのなんだが: おおお
[7078.266] mimitabu_92: おおおおお
[7078.482] nazu_7z: いいね
[7078.503] rioapr03: おおお
[7078.547] tsuruka_: おおおおお
[7079.094] ゐゐは: おおおおおお
[7079.496] かにカマ: おおお
[7079.672] nobume0v0: いいね
[7079.741] このよのてんちょー: おお
[7079.793] (S)oli_liriri: いいね
[7079.860] 甘酒大好き: おしゃれ
[7079.991] (S)えりさ_: radaoKawaiin
[7080.229] mo_coa: 子守唄やん
[7080.238] norara_tw: ええやん
[7080.303] (S)tukky1208: いいね
[7080.451] kapu_seru: おおおお
[7080.584] nnamee8: おしゃ～
[7080.652] めろぱんまん: おおおお
[7080.930] わらびもち73: おおおお
[7081.350] __あお: かわいーん
[7081.417] (S)てぃやんでい: おおお
[7081.881] (S)baceneKo: radaoKawaiin
[7081.979] (S)zakuro0609: そうはならんやろ
[7082.120] tiger_bay: ちるい？これがちるってやつ？
[7082.138] そふぃ3: 曲を知らないだけで弾けるんだ
[7082.155] るらま: ねれそ？
[7082.356] すかあと: おおおお
[7082.924] motimotitree: k4senGuruguru
[7082.941] merongo_1023: おおお
[7083.622] suiha_7: radaoKawaiin
[7083.673] なるか3: おおお
[7083.828] am_1685: おおお
[7083.933] (S)ｸﾛﾈｺ: いいね
[7084.197] aotubakikuruminku: いいやん
[7084.400] main94: おおおおお
[7084.977] しあーー: かわいーん
[7085.102] sobayu120: え、めっちゃいい
[7085.198] 抹茶の午後: いいやん
[7085.227] (S)nekodama2155: おおおお
[7085.228] maruone: よい
[7085.337] aina___10812: えも
[7085.652] (S)てぃやんでい: かわいーん
[7085.970] (S)つむじのきもち: おお
[7086.929] (S)バナナ民: いいね
[7087.067] あけくれ: 他のも魅せよ
[7087.166] ゐゐは: いいね
[7087.456] motimotitree: k4senKoshihuri
[7087.487] medo_710: radaoTrain
[7088.410] rioapr03: かわいーん
[7088.458] awayuri: いいね
[7089.571] そふぃ3: 心が癒される
[7089.996] (S)gakuto1007: radaoKawaiin
[7090.464] tora25_22: 癒しタイムだ
[7090.679] pianin_096: かわいーん
[7091.448] たぴおか1267: いいね
[7091.583] nonoami0702: ちょっと不調和音やね
[7092.679] (S)えりさ_: いいね
[7092.701] (S)matoge_13: radaoDaisuke
[7092.742] とんぼむ: Chill
[7092.811] 中原きょうか: どう森でありそう
[7092.998] mizusakura0326: いいね
[7093.127] しちみー: えも
[7093.160] nemu2038: とたけけさん？
[7093.754] motimotitree: k4senKoshihuri
[7093.984] ここさんです: やじゃるん
[7094.245] Ruria00: エモォ
[7094.460] am_1685: 癒し
[7094.477] smallkundesu: お〜
[7095.039] yumemiruneco: 猫も歌ってる
[7095.207] 猫又01: かわいーん
[7095.535] あおみどろん: いいね
[7095.706] きのここ: 癒しの空間
[7095.767] (S)キラキラボシ: radaoKawaiin
[7096.159] ちよび: かわいーん
[7096.381] あるみ屋: かわいーん
[7096.588] otenba_usagi: radaoKawaiin
[7096.837] このよのてんちょー: かわいーん
[7097.140] (S)sora_mameee: 癒しタイム
[7098.097] lemoncheesesource: wwww
[7098.881] そふぃ3: とたけけwwww
[7099.121] (S)raguragu828: チューニングできてなさげ
[7099.462] mashuuuuuuu22: 楽譜知らんのに楽譜読めるのなんなん
[7099.525] (S)nekodama2155: www
[7099.678] corotorp: radaoKun
[7099.691] あるみ屋: wwww
[7099.812] みりンゴ: w
[7099.912] myura_egg: どうぶつの森を感じる
[7099.921] nachoa120057: えもえも
[7100.068] ayunosioyaki0223: radaoKawaiin
[7101.136] sumikko_ai: wwwww
[7101.476] (S)えりさ_: wwwwwwwww
[7102.187] 大藤むぎ: radaoKun
[7102.292] (S)norato041197: radaoSleep
[7102.424] yuzusou: かわいーん
[7102.698] sakamaki_reo: かわいーん
[7102.970] あめまう_: ちょっと不協和音なのがwww
[7103.828] ayunosioyaki0223: www
[7103.839] (S)gakuto1007: wwwwww
[7104.153] omoci__da: 癒し
[7104.168] __あお: wwwww
[7104.420] yukky88: radaoGJ
[7104.670] えんそ: wwwwww
[7104.865] まめもちあん: こんな生活したい
[7106.656] aotubakikuruminku: どう森かしら
[7106.696] るらま: 失礼
[7106.953] sakamaki_reo: www
[7107.363] arareruru: radaoKawaiin
[7107.732] (S)mea108: radaoSleep
[7107.959] aja2525: 音痴ｗ
[7109.939] yukai_2525: さっきまでのが嘘みたい
[7110.050] (S)つむじのきもち: radaoKasu
[7110.476] きのここ: お
[7110.702] このよのてんちょー: さっきまでのが嘘みたい
[7111.713] mitoya_1115: ちょっと音不安定なのがまたいい
[7113.480] m46ue: エンドロールが流れそう
[7119.572] (S)Toppishiki: !member
[7119.761] (M)Nightbot: [w/ ぐちつぼ まさのりch]
[7127.551] take117: 2進数？
[7128.570] tora25_22: 2進数かな
[7132.474] るらま: 是非とたけけに歌ってほしい
[7132.525] そふぃ3: 金庫にpass貼ることある？
[7133.786] ゐゐは: 2進数？
[7134.523] ニコ丸0429: 二進数？
[7140.346] きのここ: 8888888
[7141.348] (S)if0990: 2進数分かる？
[7142.484] るらま: ぱちぱち
[7142.759] awayuri: 88888
[7144.482] Ruria00: 2進数やな
[7144.699] (S)sora_mameee: 二進数か…
[7145.237] tora25_22: 888888
[7145.443] (S)if0990: 888888888888
[7146.343] そふぃ3: 8888888888
[7147.131] えんそ: 💙
[7147.145] nazu_7z: 88888
[7147.358] あびこお: radaoFight
[7147.616] (S)にわすずめ: 88888
[7148.013] (S)oli_liriri: ２進数だね
[7148.264] mitoya_1115: 888888888888
[7148.551] ruu_ha: 888888
[7148.778] Ruria00: 88888888888
[7149.066] 猫又01: 2進数ってこと？
[7149.203] (S)さめはる: ８８８８８８８８
[7149.308] (S)バナナ民: 8888
[7149.417] bin2726: ８８８８８８８８８８８
[7149.651] メルシィー: 8888888
[7149.864] YodoRa: 2進数
[7149.931] (S)つむじのきもち: 8888
[7150.638] (S)甘いゴーヤ: ２進数か
[7150.946] (S)gakuto1007: 88888888
[7152.936] かにカマ: ８８８８８
[7153.144] akita_210: 88888
[7153.194] nobume0v0: 8888888888
[7153.230] えんそ: 8888888888
[7153.432] shilva_0: 888888
[7153.441] 2時半: 二進数か
[7154.175] 低楽: 2進数
[7155.045] merongo_1023: 88888888
[7155.131] mo_coa: 888888
[7155.940] (S)つむじのきもち: りょ…
[7156.207] mikan_san: 888888888888
[7156.404] hisui_0805: 888888888888
[7157.720] (S)nekodama2155: 8888888888
[7157.894] maroooo_2525: だよね
[7158.513] m46ue: 888888888888
[7159.347] tsuruka_: 88888888
[7159.482] gekkabizin0420: 8888888888
[7159.929] nazu_7z: あ
[7160.145] タクトン: あ？
[7160.188] みりンゴ: あ
[7160.288] nakihai556: あ
[7160.388] きのここ: あ
[7160.665] しちみー: あｗ
[7160.890] mo_coa: あ
[7161.787] あびこお: radaoKawaiin
[7162.048] tsuruka_: あ
[7162.068] rioapr03: wwww
[7162.633] (S)キラキラボシ: あ
[7162.683] (S)さめはる: あ
[7162.724] yutiy_25: 88888
[7162.734] ちぃず太郎: あ
[7162.847] (S)if0990: あ
[7162.882] aina___10812: あ
[7162.934] ゐゐは: あ
[7163.108] えんそ: あ
[7163.217] 低楽: あw
[7163.287] tiger_bay: リトルナイトメア
[7163.308] (S)tukky1208: あ
[7163.333] あるみ屋: あ
[7163.475] nachoa120057: しってる
[7163.500] gu_taranosuke: あ
[7163.502] YodoRa: あ
[7163.514] るらま: あー
[7163.724] ayunosioyaki0223: あ
[7163.729] ニコ丸0429: あ
[7164.162] (S)oli_liriri: あ
[7164.163] sobayu120: 覚えてる？おじいちゃん？
[7164.168] (S)にょまれ: あ
[7164.407] rgwn27: wwww
[7164.449] lemoncheesesource: かわいーん
[7164.478] そふぃ3: wwww
[7164.837] kawasemi2525: あ
[7165.078] (S)gakuto1007: あ
[7165.151] aotubakikuruminku: あ
[7165.246] yumemiruneco: またwww
[7165.272] mizusakura0326: あ
[7165.302] riren_92: あwwww
[7165.478] kou_tsuru: 笑
[7165.554] tora25_22: www
[7165.662] メルシィー: あ
[7165.671] mashuuuuuuu22: それはお前
[7165.773] sumikko_ai: w
[7165.811] nobume0v0: あw
[7165.851] ちぃず太郎: wwwwww
[7165.893] (S)にわすずめ: あ
[7165.909] (S)ももかっ: wwww
[7166.281] nostalgic8451: 学歴ないもんね
[7166.339] 抹茶の午後: あ
[7166.669] tonn_donnnnn: だよな
[7166.740] (S)matoge_13: radaoOtu2
[7167.343] (S)sora_mameee: あ
[7167.585] (S)tukky1208: やるやる
[7168.310] たぴおか1267: あ
[7168.882] omoti08022: 猫でもらっだぁもわからんやろ
[7169.438] wpj575: あ
[7170.075] nakihai556: wwwwwwwww
[7170.301] Ruria00: かわいーん
[7170.477] norara_tw: w
[7170.633] 猫又01: 中身はじじいだろ
[7170.967] yuzusou: radaoW
[7171.221] suiha_7: radaoLimit
[7171.540] (S)if0990: お前は人間やろがい
[7171.902] awayuri: かわいーん
[7172.162] aotubakikuruminku: いつぞやの
[7173.772] ゐゐは: かわいーん
