[16.618] tsukikage_saga: ウメちゃんおはよう
[9386.128] (S)shir039: かせんさんと関さん家に招待しよ！
[9391.330] shomarusan: コマンドのほうが運べるし高いけどむずそう
[9393.584] guilegairu: やっぱりSFL出たいなーと言う気持ちは
[9395.147] 新ころりん: シュート いいこ ひぐち ふそん ささも いいこ ねもと せいじ
[9396.238] oleo0227: 相手が飛んできた距離による
[9399.536] (S)ponokakillme: ササモさんの入力方法練習しないの
[9403.992] merkava_mk2: マノンのことはマノン使いに聞いてケロ
[9407.357] yuu4242564: ありがとうございます
[9409.047] (S)deep_cross: こんにちは～
[9415.955] (S)gorogorogorn: 薬指に神経通していきましょう
[9420.781] (S)MYNK1981: 新しい企画の発表近いんだっけ？
[9425.813] 皇帝ルル: キャラ対部分はやっぱ複数人から話聞くのが早そうね
[9426.022] prisira: 大会終わった後ラストビーストランキングやろうぜうめちゃん
[9427.662] balthazar000: ササモアドバイスあったんか
[9427.777] えーひろ: ふーどがCRcupのチームメイト家に呼んでたのびっくりした
[9430.331] thescrb: スト6クロスレビューするとしたら何点ですか？
[9431.535] kaigaizei: スタヌがガイルに困ってるってコメがあったがあれはどうなったんだろ
[9432.239] jagajaga1943: ササモ式SAの練習はいらないですか？
[9433.285] MC1880: 指鍛える器具あるよ
[9433.372] (S)jeeeep35: jack_nicolas subscribed with Prime. 
[9436.485] 新ころりん: CRカップおわったら発表やで 楽しみにしてよう
[9442.147] pu_neko3: ヒトボでコマキャラに慣れずにガイルに行く未来を予想してたけどケン頑張ってくれてて嬉しい
[9447.418] (S)MYNK1981: 終わったらか楽しみやね
[9447.801] (S)なんやねん: 今日の晩ごはん中華かラーメンどちがいいですか？
[9449.262] zyaaaaaan: ウメハラさんの影響でスト6を初めて触り、ガイル使ってます！めっちゃ楽しいです！ありがとうございます 
[9455.663] 皇帝ルル: ふーど宅は良く人呼ぶ
[9455.769] nyanko_7: ケンのコンボ練楽しいですね！
[9455.812] (M)(S)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[9461.510] (S)ババシャツ: まだ困ってるね
[9464.182] prisira: チームＡは大会中コーチ呼ぶ？
[9474.166] Beyyy0nd: Did he walkthrow the World Tour?
[9485.190] mikazuki3150: いい音楽
[9485.329] (M)(S)Moobot: ～ 新ヘッドセット登場 ～ HyperX Cloud III → 空間オーディオの臨場感で楽しくゲーム出来てます https://hyperx.gg/42XVwOf
[9492.227] (S)super_fluo: 曲かっこいい
[9504.420] 泣き虫サクラ: 梅原大吾、本日（20230624）の予定 ***
[9505.316] lun__01: ビスチルに大須コーチ応援に来たら面白いな
[9506.819] (S)ガブリチュ: やっぱBGMいいな
[9508.478] あり0221: スト6の最後のトパチャンワールドのエンディング曲これになるのかなぁ
[9519.603] erisuk: めっちゃゲーム音うるさなったけどなにを切り替えたんやろ
[9522.034] たかちゃん06: チームAはコーチ陣のネームドは一位
[9532.326] prisira: 普通にゲーム音上げただけ
[9532.694] jagajaga1943: ササモ式CA安定しそうですか？
[9533.105] (S)一1990: 音ちょうどいい
[9544.299] kaigaizei: 音これぐらいがええな曲いいし
[9556.166] suzan_star: かっけえなBGM
[9557.063] (M)(S)gameinntwitch: OBSを寄りのシーンに
[9557.517] tanikou0928: 曲かっこええ
[9557.867] burisuke: ウメちゃんって速くて攻撃的な格ゲーのが好きだけど、向いてるのは待ちの格ゲーな気する。
[9563.328] karakuchisurume: こういうイベントなければ自分攻略していきたい方ですか？
[9567.067] 10orq: BGM良いよなぁ
[9567.971] icyblue1985: ナンカイイBGM
[9578.162] helmetcage: 昨日の練習試合、かるびが勝ってるの見てウメちゃんめっちゃ嬉しそうでほっこりしました
[9586.275] prisira: うめちゃん大会中とかコーチ呼ばない？
[9596.894] lun__01: 昨日シュートは泣きそうになってたな
[9602.294] balthazar000: へい
[9602.344] burisuke: いいですな～
[9603.810] 霧月むげつ: ウメちゃんコーチ制合いそうだよね
[9605.055] (S)ババシャツ: 企画終わったら別キャラ触るんかな
[9605.481] (S)maya_g01: おお
[9607.083] prisira: 体動かしていこう
[9607.116] 皇帝ルル: ( ´･∀･)ﾉ ハーィ
[9607.767] (S)けいしゃん: かるび明け方の5時くらいまで練習してたぞ
[9609.411] 黒猫くん: うい了解す
[9609.458] くまリンカ: へ
[9610.087] ayataka33: 遅いね
[9610.105] (S)chachachakoma: なるほど
[9610.753] jjjin031400: おお
[9611.871] (S)moko15: おそかねー
[9612.558] kabosutoran: 整えますか
[9612.858] (S)gorogorogorn: メリハリ大事
[9612.938] ぷりにゃん: プロはジムいくんだ
[9612.993] nomonomo11: 行ってらっしゃいませ
[9613.920] icyblue1985: 遅めなのか
[9614.740] omegazwalt: 遅いな
[9615.539] cubespin: 遅いのね
[9615.612] nikukuisugi333: りょうかい
[9616.248] 天然ベニテングダケ: あー、お仕事
[9616.730] (S)ババシャツ: ほい
[9618.196] (S)chachachakoma: っけい
[9618.388] tabibitox: 仮眠とったほうがいいな
[9618.612] jun_saikyou: じゅんいくわ
[9618.623] (S)hakuchi11: にじさんじ忙しいんだな
[9619.594] (S)sugata128: 運動で集中力アップや
[9619.781] momiji4431: 了解ですー
[9620.285] hanzou3: 寝た方がよい
[9620.440] (S)ヨコグシ: お疲れ様でした
[9620.593] yaminoiiii: すごい眠たくなってそうｗ
[9621.333] one596: みんな忙しいやな
[9621.546] (S)moyashi117: わかりやしたー
[9622.194] burisuke: 時間の有効活用よ
[9622.380] (S)You_nari: なるほど。それも良いかも
[9623.455] (S)mart_00_: 忙しそうやねー
[9623.486] (S)morinagasyuya: はーい
[9623.627] suzan_star: 整えてこ
[9624.413] nomonomo11: 忙しいからねあの二人
[9624.641] peperon17: みんな忙しい
[9625.060] (S)super_fluo: ほい
[9625.071] msyyy: 大人気Vtuberゆえ・・・
[9625.471] 泣き虫サクラ: そこんとこヨロシク。
[9627.004] prisira: 返事きたか
[9628.165] (S)playatlas: umeSalute
[9628.175] (S)chachachakoma: え
[9628.385] sonic_chop: お
[9628.427] (S)ヨコグシ: あ
[9628.455] aranami0: 疲れそうw
[9629.310] 天然ベニテングダケ: かまへんかまへん
[9629.567] 皇帝ルル: あら
[9631.600] teruharu_: お
[9631.629] みゃおお: まぁ人気者だからねぇ
[9632.013] (S)towai8: やる気勢
[9632.224] (S)ババシャツ: ww
[9632.395] (S)You_nari: ははww
[9632.535] くろーずど: あの二人は番組の収録あるもんな
[9632.789] erisuk: こんな早い時間から
[9632.878] ayataka33: まじかｗ
[9633.146] (S)jusankokuki: 捕まっちゃったｗｗ
[9635.325] (S)chachachakoma: やっとくか！
[9635.480] 黒猫くん: じゃあ鶏めし終わったらいこあ
[9635.804] kabosutoran: 売れっ子だなあ
[9638.135] lia12021: いいとこ見せよや
[9638.234] (S)maya_g01: うむ！
[9638.510] (S)ponokakillme: 今回はメンバーの人となりを知る会はある？
[9638.531] mike39cc: やったぜ
[9639.101] mentp: 売れっ子は忙しいんだなあ
[9639.223] gnm1616: さっき関さんがガイルに困ってるってコメントあったけど
[9639.241] 絵馬にょ: またこれは…
[9639.718] (S)~MISSING_COMMENTER_INFO~: CurseLit
[9641.218] 10orq: みんな忙しい中ほんと頑張ってる
[9642.401] あり0221: やったぜ
[9642.644] (S)ro5503: 鶏めしからのジム
[9644.289] (S)You_nari: じゃあその後ジムで
[9645.808] (S)jusankokuki: ありがたい
[9652.254] (S)mart_00_: ほんと努力してくれる人たちだね
[9653.985] teruharu_: 鶏めしさんありがとー
[9655.426] lun__01: 仕事時間以外格ゲーに使ってるから偉いよね
[9656.791] kinokaren: ジム前のヨガ
[9659.891] prisira: マゴうおおおおおおおおおおお
[9660.867] (S)gorogorogorn: ジム前の鶏めしは最高よ
[9661.537] 無心に: ダルジム
[9661.582] helmetcage: ジムでは何やってますか
[9663.297] illmatic_buddha: 鶏めし→ジム→リアル飯
[9664.047] tarako7016: ハードスケジュールやね
[9664.291] (S)箸くれ: スケジュールみっちみちやんけｗ
[9665.167] (S)deep_cross: おおー
[9665.375] くまリンカ: としめしさん研究会ラスト戦
[9666.348] tanikou0928: びっしりだ
[9667.122] mike39cc: 贅沢だなぁ
[9667.480] (S)chachachakoma: マゴしぃ
[9667.584] あり0221: マゴさんきたああああ
[9667.811] nanakusan793: 鶏めし食ってジム
[9668.711] tamayugek9: マゴ？！
[9668.852] みゃおお: アイハブ？！
[9669.070] teruharu_: めちゃくちゃやる
[9669.145] sistersguitarreplica: つまってます
[9669.303] kiton_taichi: みっちりやなぁ
[9669.819] (S)towai8: マゴさんつええぞー
[9670.698] (S)moyashi117: めっちゃやるね
[9672.114] dedede_d3: ハードすぎる
[9672.623] merkava_mk2: 忙しい
[9673.035] prisira: マゴはまじで楽しみ
[9673.103] Loytory: すごいスケジュール
[9673.483] icyblue1985: とんでもねえメンバー
[9673.556] 黒猫くん: めちゃくちゃ頑張るやんw
[9674.554] rt340: 忙しいねぇ
[9677.176] (S)You_nari: はーどだな
[9677.180] シミズム: マゴさん！
[9677.196] (S)ro5503: ふーどかずのこ対策かー
[9677.210] (S)haicro_zm: みちみちだね
[9678.588] えーひろ: リーガーですか？？www
[9678.830] takahashiseigi: マゴ、仮想かずのこですか
[9678.840] (S)morinagasyuya: ビッチリだ
[9679.516] (S)~MISSING_COMMENTER_INFO~: 横顔daigo
[9679.582] (S)蝉時雨: やる気感じる
[9679.647] ayataka33: まじでリーガーじゃんｗ
[9680.239] daizin0716: もにぃおかわりもありでは？
[9680.417] 32mame: すげーな
[9680.959] ukiyo55: プロの顔してる
[9681.089] moricocoa: もう明日本番やしな
[9681.220] balthazar000: チーム見てる時間無いねぇ
[9681.730] the_blow02: マゴさんいいね
[9682.464] lun__01: マゴさんなら心強い
[9682.697] よもぎです: 夜マゴ
[9684.081] (S)moyashi117: 頑張ってウメちゃん
[9685.423] nokekogann: SFLやん
[9686.395] (S)ryabegaming: ジムでプールですか？それともウエイトトレーニング？
[9687.949] kiton_taichi: 流石に10先はキツすぎ？
[9689.195] (S)しすてむえらー: SFLやんもう
[9689.335] gorilla_osaka: 負けると火が付く
[9689.799] (S)hakuchi11: 小路KOGってキャラなに使ってるんです？
[9690.387] (S)jusankokuki: ありがたやー
[9691.524] nomonomo11: リーダーとしていいとこ見せたいもんね
[9692.977] prisira: 伊予さんともやってほしさある
[9696.538] (S)mart_00_: アイハブマゴ
[9699.370] tibusa8: 去年のSFLばりの詰まり具合
[9699.388] (S)蝉時雨: リーグの時もっとやってたんやろな
[9700.997] lun__01: もうスパー内容がSFL
[9705.097] tarako7016: でも、ケンだいぶしあがってきてるよね
[9706.411] Botamoti1: KOGはDJ
[9709.784] 如月うづき: 演習あって良かったな
[9715.322] シミズム: 梅ちゃん戦の時のチームのガヤも楽しかった
[9716.270] nanakusan793: みんなのマゴさん
[9717.623] (S)towai8: もうあの頃のいかがにいはいない
[9726.122] (S)hakuchi11: @Botamoti1 DJか。ありがとうございます
[9738.471] あり0221: ささもまた名前変えたのかw
[9751.313] nomonomo11: しかし相手がかずのこ、どぐら、ふーどってガチすぎるなほんと
[9751.502] 猪の肉: 各コーチ陣に進捗聞いてますか？
[9758.505] bebebeeell: super turaiだった気が
[9763.177] takahashiseigi: 伊予さんとは、連絡ついたのかな…
[9770.841] lun__01: 叶はマリーザ対策で成果上げてたな
[9789.221] balthazar000: 知識授かったか
[9809.502] kaigaizei: 格ゲーマーの名前ウメハラしか知らんような層が見て昨日の負けでギョッとしてたわ
[9831.150] prisira: うめちゃんは努力型やからなぁ
[9831.998] (S)pyokom: Daigo samaaaaaa 
[9847.558] (S)そろもん1: 関さんリスナーとガイル戦50戦以上やってるｗ
[9848.581] りあ仮称: うめちゃんは強いにしても、必ず勝つわけではないしな
[9852.939] kaigaizei: 強いプロが大量にいることの宣伝にもなっていい大会やね
[9854.273] 歩歩歩: 昨日ももちの配信でコメントしてたのウメハラ本人だったの？
[9858.157] one596: ふ〜ど家にナウマンいたからケン戦ガッツリやってるやろな
[9866.550] ~MISSING_COMMENTER_INFO~: ｗｗｗｗｗ
[9869.796] showhey778: え？
[9871.432] (S)そろもん1: ｗｗｗｗｗｗ
[9873.170] prisira: ｗｗｗｗｗ
[9873.516] (S)johndoe6523rp: umeNirami
[9874.100] ~MISSING_COMMENTER_INFO~: なんであんな片言だったのｗ
[9874.899] kaigaizei: 粗品に混ざって？
[9875.179] あり0221: プロが誕生する前はそういうイメージで合ってたと思うけど、4からプロできて段々と全体のレベル上がってるからね
[9875.991] burisuke: かずのこ、ふ〜どは天才型よね。
[9876.918] (S)jusankokuki: 本人だったかｗ
[9876.944] (S)maya_g01: 翻訳みたいだったやつｗ
[9878.169] 503_win: そうだよ草
[9878.559] lun__01: 「あなたはDJ使いですよね？」
[9880.538] rindou_22: ウメちゃんコメントすることあるんだ
[9881.343] aztec_0: 可愛かった
[9882.992] 新ころりん: え、あの機械翻訳ぽいのガチで梅ちゃんだったのｗ
[9884.377] 墾田永年私財砲: （true）
[9886.385] 天然ベニテングダケ: 粗品に混ざってｗｗ
[9887.362] one596: ゴンタさん以外の配信でコメントするんだ
[9887.364] (S)pyokom: umeBoom
[9888.200] 黒猫くん: ガン無視されたから寝たん？
[9890.147] (S)mart_00_: ほんものｗｗｗ
[9892.638] オシュ: そういえばももちさんとスパーするんですか？
[9894.294] (S)super_fluo: ももちリスナーさんウメレイド迷惑そうで申し訳なかった
[9895.130] icyblue1985: ウメハラ（本人）
[9897.309] rt340: ウメちゃんも時には文字になる
[9899.046] 如月うづき: かずのこは昨日の試合ウメちゃんが隠してると思ったらしい
[9899.401] kaigaizei: 粗品の中にそんな上等なの混ざってきたらいかんよ
[9900.335] kishio__: これが本当のコメハラ
[9901.026] tarako7016: それはゲームに限らずそれはどんなスポーツでもそうじゃね？大谷だって毎日ホームランうってるわけじゃないし。
[9901.340] (S)そろもん1: 絶対偽物だとおもったｗ
[9903.716] erisuk: 外人が翻訳したコメント
[9906.466] (M)(S)gameinntwitch: ディスコする時はゲーム音邪魔になるかもしれないけど、独りの時はこれぐらいでも良いすな
[9915.710] showhey778: めんおじありがとー
[9936.608] mogu0621: メンオジ良いとおもう
[9938.289] 黒猫くん: ゲーム中ほぼ喋らんからありがたい
[9938.330] erisuk: 試合中の音効かないとなんとも
[9938.670] Nagare765: 端OD迅雷つかわないんすか？
[9939.190] teruharu_: ご新規さんを囲い込んで逃がすな
[9939.596] (S)moyashi117: いいっす
[9942.152] (S)エムクロ: めんおじこんちわ
[9942.314] (M)(S)Moobot: ＊＊新ヘッドセット登場＊＊ HyperX Cloud III -- ヘッドホンクッションが大きくて柔らかいので耳が痛くならないよ！ → https://hyperx.gg/42XVwOf
[9948.218] 無心に: 天才のメンオジさんだ
[9952.042] ekusuyam: 直近でなんか大会ないの？
[9953.855] 10orq: 今新規さん多いから音あった方が観戦楽しめますな
[9957.453] lun__01: メンおじ調整ナイスです
[9959.831] 天然ベニテングダケ: ゲーム音とボタン押す音が心地良いね…
[9969.799] まししま: スト6持ってなくて見てる自分はバカですか
[9970.735] (S)maya_g01: 音調整ありがとうございますー
[9974.095] だわさワサワサ: さっき教えてもらった早い迅雷入力練習する？
[9999.979] hurei2: @tarako7016 その時打てなかった事をガヤるのがベガ立ち勢や
[10004.106] niemalsaufgeben: ここ荒らされたら新規はきついと思うけどな。そこは考えんと
[10004.388] (M)(S)gameinntwitch: ささもくん来てスピーカーから出したからゲーム内音量上げたままなのです。本人の音量も上がってるけど気にならないんかな
[10022.107] saibabasan: 野球できなくてもプロ野球みるよね
[10023.596] tarako7016: 馬鹿じゃないけど、システムと技ぐらいは分かったほうが見てて面白いんじゃないかな？
[10024.098] kesigome: ももちさんのとこでジャンキャンほにゃらら説明してたけどケンで使いますか
[10024.828] 新ころりん: 見て楽しくなったら 手に入れればOK
[10028.766] nanakusan793: スト6買えば解決
[10043.485] (S)一1990: ブラインドコンボ
[10046.704] りあ仮称: 見て楽しみ、プレイして楽しむとええぞ
[10049.727] (S)宮本燈: コマなげ？
[10060.101] (S)エムクロ: スト6買おう
[10064.959] mogu0621: @アーウェン そんなことないよ～。自分も持ってないけど、プレイ見てるだけで楽しい！
[10070.988] lun__01: ゲーム買うのは応援にもなるよね
[10079.900] オワオワタ: スト6始めてから5000人くらいリスナー増えたよな
[10083.813] loopy000401: 俺なんてスト５も一回もしたことないけど見てるぞ
[10084.212] ~MISSING_COMMENTER_INFO~: 5からのエアプだ、年期が違う
[10087.627] あさつき教: あさつき教 subscribed with Prime. They've subscribed for 53 months! 
[10087.825] woodmud: ギャラリー大歓迎よ
[10088.876] まししま: 格ゲーいい奴多いな
[10092.208] niemalsaufgeben: スト6おもろいぞ
[10099.191] 天然ベニテングダケ: 見てるのも良いけど、やり始めるともっと楽しくなるぞ？
[10100.738] 泣き虫サクラ: ゲーム買わない自分を超えろ
[10101.451] hiro_chan: イツキダルシム今配信してて暇そうです
[10103.150] rufesu: スト6はまじで初心者だけど楽しい
[10109.549] 墾田永年私財砲: 買うならいまだぞ！
[10109.559] shichimi10: 散歩から入って、毎日見てる勢だよ
[10110.658] (S)mart_00_: 弱いけど楽しめるぞ
[10111.453] gorilla_osaka: 買ったほうが楽しいし買うなら今は最高のタイミングよ
[10114.232] りあ仮称: スト６はワールドツアーだけでもおもしろさはあるよ
[10117.546] あり0221: 見てるだけももちろん良いけど是非遊んで欲しいって思うわ。1人用ですら面白いし。
[10120.464] illmatic_buddha: 対戦はちょっとなぁって人もとりあえずワールドツアーやるだけでもなかなかおもろいよ
[10124.910] gnm1616: 鶏めしさんもう来そうだよ
[10125.505] 泣き虫サクラ: ササモバーガー作って帰って貰えば良かった
[10127.579] (S)You_nari: 食糧は大事
[10127.828] no_name__yet: Twitchの戻ったのも大きい
[10128.161] vespa127g: あの人はちょっと
[10131.339] オワオワタ: ワールドツアーだけでも元取れるレベル
[10133.095] bikibiki999: 飯や軽く食えるつまみみたいなのも買おう
[10137.704] one596: ゲーム買うとCFNで選手達の試合見れちまうんだぜ！
[10147.040] 天然ベニテングダケ: ワールドツアーは力士が空飛んでる姿も見れちゃう
[10149.995] saibabasan: apexもvaloもowもプレイしないけど競技シーン見るよ
[10153.790] だんごうお: 梅ちゃんの配信は特に動画勢多い気がする
[10156.189] lun__01: ワールドツアーは一人用のアクションRPGモード
[10164.446] tarako7016: これは囲碁や将棋もルール分かったほうが面白いのに通じるよね。どっちでも楽しめるけど
[10167.278] prisira: リーサル力あげたいよね
[10174.562] 泣き虫サクラ: やれば見ててすげーと思った事自分もできるんだぜ
[10179.549] あり0221: ハブで化物キャラクター引っさげて有名プレイヤーの周りうろつけるって祭りも参加できるw
[10184.884] mogu0621: 興味を持ってる人がいるだけで、格闘ゲーム業界に影響あると思うよ！ゲームの売り上げだけがすべてじゃない。広告収入のが大きいと思う。
[10185.174] あさつき教: プロと対戦出来るかもしれない
[10189.313] Nagare765: OD迅雷から迅雷のリフティングは？
[10191.900] (S)You_nari: たしかに、ワールドツアーもあるし興味のあるプロのリプレイを簡単に見られるしな
[10203.090] tw_numa: すーご
[10209.964] 天然ベニテングダケ: 第2回アバター品評会はあるんかな？
[10231.106] (S)宮本燈: ルール分かっても将棋は読み合いがわからなすぎて
[10235.652] woodmud: 格ゲーは見てるだけでもわかりやすいゲームだと思うんだ。だから見てくれるだけでも大歓迎よ
[10250.200] りあ仮称: 視聴者増えれば広告収入増えてもりあがるのはそうね
[10252.957] トトロボッチ: ふーどはアバターバトルのトナメもいつか開きたいって言ってたな
[10253.374] nanakusan793: モダンあるから新規でもマジでいける 叶もスト5では読みあいとか攻防の楽しさ知る前に挫折してスト6でようやく格ゲーの面白さがわかった言ってたし
[10256.137] mogu0621: 将棋は見てておもしろく感じるが、囲碁はまったくルールが分からんかった・・・
[10264.035] lun__01: キャラが戦ってゲージなくしたら勝ちは本当にわかりやすい
[10266.279] horikawa_r_i_k: 春麗にシミーで投げには２大p天昇には奮迅竜巻するのなかなかむずいです
[10266.461] (M)(S)Moobot: ～ 新ヘッドセット登場 ～ HyperX Cloud III → 空間オーディオの臨場感で楽しくゲーム出来てます https://hyperx.gg/42XVwOf
[10277.669] ぬまっち: @nanakusan793 ほんとにそれに尽きるよね
[10277.723] hiro_chan: 将棋は今や無料ソフトのAIがあるからね
[10279.333] tarako7016: 囲碁は陣取り合戦だからね
[10280.866] akinikuihuku: 囲碁のルール分かんなくてもヒカルの碁はおもしろい
[10289.797] (S)~MISSING_COMMENTER_INFO~: おひげハラ
[10294.020] sistersguitarreplica: 囲碁はまず陣地の見方がわからん
[10307.817] mogu0621: そそ、見てくれる、興味持ってくれる人がいるだけで、大きいから見るだけ勢もウェルカムだよ！
[10318.047] りあ仮称: 囲碁は派手さがね
[10332.852] zolajin: 元々スト２はゲーセンでふと画面を見た人がすぐ理解できるように作られてるからルール簡単だぞ。上の体力がなくなったら負けだ
[10336.656] nakao1976: 格ゲーはメーカーが動画勢も楽しませるつもりで作ってそうな気はしますね
[10366.847] ~MISSING_COMMENTER_INFO~: インパクト返しとか見栄えいいもんなぁ
[10367.674] lun__01: インパクト返しとかジャスパとかゲーム知らなくても見た目がわかりやすい
[10375.789] 天然ベニテングダケ: 味覚王や、Nの者から、人狼と雪山経由で来てもウェルカムだし
[10379.477] jtran408: HELLA DAMAGE! 6073
[10381.300] lunasolnars: 今何調べてるんだろ
[10393.612] rufesu: 今まで格ゲー難しそうってだけで敬遠してたけどスト6やってみたらクラシックやるくらいハマったわ
[10405.319] (M)(S)gameinntwitch: ディスコ始まってゲーム音邪魔になるようならゲーム内音量下げてもらってください(マスターだけでいいのにな…）。ではまた
[10407.205] wahaha7788: インパクト返しは簡単に気持ちよくなれる
[10415.867] りあ仮称: メンおじありがとー
[10422.808] あり0221: マゴさんとかvalo経由で知られて格ゲー本当に上手かったんだとか言われてたなw
[10424.413] mogu0621: キャラデザインもカッコよくなったし、演出もいいし、ビジュアル面は気合入ってるね。カップラーメンのパッケージに気合いれるのと一緒だ！
[10437.326] harukaze_pop: 逆新手 ココリコ
[10440.602] woodmud: ケンはコンボ多彩の極みだね
[10442.874] nakao1976: メンおじさんありがとう♪
[10450.441] mogu0621: めんおじありがと～
[10450.782] たあぼ0126: ささもくん帰った？
[10459.987] mogu0621: ささもくん、かえったよ～
[10461.309] 天然ベニテングダケ: もにぃは帰ったよ
[10461.312] りあ仮称: ささもは帰られた
[10462.367] mike39cc: 帰ったよ
[10465.697] erisuk: ウメちゃんには難しい行動
[10470.792] illmatic_buddha: マゴさんVCT Tokyoのカウントダウンパーティーにいたね
[10472.469] Beyyy0nd: how many HP has character? 5000?
[10478.318] たあぼ0126: ありがとーまた来て！
[10478.470] (M)(S)Moobot: Twitch Prime に登録すると無料でたくさんの特典があります → https://bit.ly/2YE2nLB
[10482.313] hiro_chan: 10000
[10492.839] Beyyy0nd: ty
[10496.423] りあ仮称: 今回でササモ君を応援したくなった
[10503.088] 苑田: 6のおかげでジュリずっと好きだったのに格ゲーやれなかったのがモダンで技が出るようになりしかもワールドツアーでキャラと会話もできて大満足です！
[10536.704] (S)ニューキングハナハナ: よかったなぁ。続けてくれ。
[10536.944] なまこすき: ジュリの同人誌多いよね
[10555.131] woodmud: ジュリめっちゃ人気よね。ルーキーでは１番人気だもんね
[10555.178] une3333: やっぱりモダンはいろんな人を救ってるんですね
[10561.671] hiro_chan: 喜多村英梨の配信も見てあげて
[10563.730] potocki1810: 椅子配信だー
[10568.027] mogu0621: ササモってプレイヤーがいることは知ってたけど、どんな人なのかは、今日のトークですごく分かった。めっちゃ面白いよねｗ
[10573.534] vermilion____: yall want some pizza?
[10577.096] (S)chachachakoma: 玉座配信
[10580.118] lun__01: ジュリの声優さんのジュリの演技すごい似てる
[10582.304] erisuk: ささもが気になったらユーチューブのりゅうせいのチャンネルにもでてるからそこもオススメ
[10584.442] (S)chocolat1234: 遊んでる暇はない🤔
[10587.459] hiro_chan: きゅうり
[10588.015] りあ仮称: せめてメーカー名が出れば
[10590.957] bikibiki999: キタエリのスト6配信消えたんじゃなかったか
[10594.372] lunasolnars: 今日のはこおし大盛況だったのか行きたかった
[10613.182] nanakusan793: CRと繋がりできたから逆にヴァロに格ゲー勢が呼ばれる日も来るかな
[10625.189] blackuma: ジュリ配信きえてたね
[10633.230] (S)箸くれ: ササモくんはどこに出しても安心だなぁ うまいし
[10644.556] intaisita: そらジュリやん
[10649.314] 苑田: モダンのおかげでウメハラさんの配信とかほかの格ゲー配信ででる技とか単語とかの解像度も上がったし、かなり6でたの大きいと自分はおもってます
[10650.415] 天然ベニテングダケ: ささも君の夢叶って欲しいよなぁ
[10663.251] 霧月むげつ: ささもくんトークと人柄は最高だからあとは見た目こざっぱりしたらめっちゃ人気出そう
[10667.634] hiro_chan: なんで消えたんやろ
[10675.409] たあぼ0126: ところでウメちゃんは何処？
[10678.597] あり0221: ずっと格ゲー見てたけど関のプレイスタイル面白くて逆影響でマノンにキャラ変した
[10698.689] hiro_chan: 見た目もイケメンだよ！
[10719.398] mogu0621: ささもにぃの体系も、キャラクターというか個性というか魅力なんだろうねｗ。だから誰も痩せる事勧めないｗ
[10757.390] だんごうお: ささもくん痩せたら城田優みたいにならんかな
[10764.977] (S)箸くれ: 体型が変わっても魅力は褪せない 本人がやりたいようにやれたらいいねぇ
[10766.118] lun__01: ダルシムスパーはふ～ど対策
[10768.299] hiro_chan: こく兄との10先でジョビン嵌めたの最高に面白かったササも君w
[10768.584] lunasolnars: 見た目は別に他人が口出さないでもええんちゃう？
[10769.100] potocki1810: がんばえー
[10770.593] mabo916: 見た目って体型じゃなくて髪型とかの話じゃなくて？
[10772.682] illmatic_buddha: ささもとYosiiiっていうValorantのプロがたまに一瞬見間違える
[10776.831] mogu0621: 仙人との修行や（・ω・）
[10781.615] ugandanscammer: 55k sim? monkaS
[10785.822] (S)箸くれ: LPｗｗｗｗｗｗ
[10789.781] Beyyy0nd: 55k
[10795.071] ランジェリーバード: 昨日の敗戦からDJとキャミィ対策はできたの？
[10797.939] 天然ベニテングダケ: LPがｗｗｗ
[10798.913] woodmud: ＬＰすげえな
[10801.050] lun__01: ウメちゃんより1万も多いw
[10802.621] (S)箸くれ: 暴力を極めたダルシム
[10803.284] teruharu_: 鶏めしさんと修行開始！LPどうして
[10811.474] あり0221: ミスクリに追いつきたいのかってくらいやってるな…
[10815.420] ishiwata1234: さすが鶏めしさんw
[10816.245] (S)2youyou2: ダルシム勢ってLPすごい人多いな
[10820.307] kei_srht: 昨日30連勝位してたよ
[10822.352] serge_aruni: 鶏めしさん流石すぎる
[10829.896] teruharu_: すごい
[10831.895] wasabi00009: どうすんだこれw
[10837.841] toki0823: ダルシム弱キャラってホント？
[10849.599] 喜歡水煮蛋的阿瑋: 今日も頑張って～
[10849.791] (M)(S)Moobot: ＊＊新ヘッドセット登場＊＊ HyperX Cloud III -- ヘッドホンクッションが大きくて柔らかいので耳が痛くならないよ！ → https://hyperx.gg/42XVwOf
[10850.236] umesecond: ウォーロード勢は違う
[10851.572] (S)箸くれ: やれるぜ！！
[10857.280] akiaki0612: すげえ
[10857.652] 日本海裂頭条虫: LPって永久的に積み上がってくのかな
[10859.628] nanakusan793: 追い詰めてボコすしかない
[10864.537] illmatic_buddha: 鶏めしさんってたしか温野菜で家吹っ飛んだ人だよね？
[10870.598] akiaki0612: そう
[10871.020] 霧月むげつ: LPはシーズンごとにリセットらしい
[10882.307] 日本海裂頭条虫: そうなんだ、ありがとう
[10885.119] punpunjp_: 反応はやいな
[10888.330] hiro_chan: シーズンて何ヶ月ごと？
[10889.899] erisuk: 現状はマダキャラの評価に困ると思うなダルシムは
[10895.573] umetyaahan: うま
[10909.667] lun__01: 基本的にシーズンは1年
[10914.220] あり0221: あいいい
[10915.271] Beyyy0nd: ezzz
[10916.040] 霧月むげつ: ズンパスが1年だから1年じゃないかな
