[1.846] (S)ひなづき0712: わだこら!!
[2778.182] (S)レロキャン: あ
[2778.664] haruru3896: えー？
[2778.697] nya_san0829: え
[2778.875] momojiri8: あ
[2779.114] sayorin25256: え
[2779.127] saya0808: あれ？
[2779.134] (S)あるみ屋: あ
[2779.179] mayupapepon: あ
[2779.184] suna0056: わこらだ
[2779.481] (S)セレちゃ: え
[2779.487] やぎめにゃっ豆: え
[2779.576] yuasee: wwwwww
[2779.714] sakuranoomoti: あ
[2779.740] ewokakou: wwww
[2780.062] ui_nemutai: あ
[2780.130] setsunananoda: 積んだ
[2780.189] (S)Ruria00: え
[2780.223] 心1203: あ
[2780.316] mizusakura0326: え
[2780.389] (S)kuugay0905: wwwwwwwwww
[2780.453] border_listener: あ
[2780.711] 青いアフロ: なにやっとるwwwwww
[2780.954] denou777: え
[2780.973] eichan_2470: え
[2781.048] yukari_sept: wwwwwww
[2781.169] オレオおおおおおお: あ
[2781.191] taakatuki1024: あ
[2781.195] 白玉のハルハル: www
[2781.311] えりさ_: wwwwwwwww
[2781.920] minto13579: wwwwww
[2782.070] saya0808: おお
[2782.076] shun____1006: ww
[2782.105] musipan62_14: あ
[2782.147] ruuga_1113: あ
[2782.454] (S)rimi0221: あ
[2782.637] neru_72: あ
[2783.136] rairai_0107: www
[2784.317] どあちゃさん: え？
[2784.429] 車海老姿焼き: 出られなくて草
[2784.623] mikan1185: なにしてる
[2784.785] batu_0009: wwwwww
[2785.350] 風鬼くん: お前詰んだw
[2785.946] musipan62_14: wwww
[2785.953] せらみるくてぃ: なに？w
[2786.247] (S)あのまの: またバグってるww
[2786.462] baceneKo: 何遊んでんだｗｗ
[2787.184] shin0_25: あ
[2787.488] (S)nobume0v0: あ
[2788.128] denou777: あ
[2788.163] (S)あかね0313: どうしたww
[2788.357] 心1203: あぶね
[2788.467] yuasee: あ
[2790.405] 愛の林檎: ちょくちょくスタックするやん
[2790.535] うぉ: あ
[2791.034] youcan1201: スタックしかけてるww
[2792.200] shi__409: あ
[2792.868] wpj575: あ
[2793.870] ui_nemutai: 血が
[2794.067] ewokakou: あ
[2794.085] sayorin25256: あ
[2794.204] 青いアフロ: あとひとり
[2794.454] haruru3896: あ
[2795.031] mayupapepon: 尾張
[2795.396] 低楽: w
[2795.492] (S)あるみ屋: ああ
[2797.076] ｱﾁｬﾓ: あ
[2799.324] 愛の林檎: あ
[2799.550] irukun113: 詰み
[2800.090] 脳内人格者タルパーちゃん: フォァァァァァァァァァァ！！！！
[2800.136] baceneKo: ｗｗｗｗｗ
[2800.182] mikan1185: あ
[2800.368] mayupapepon: ひとり
[2800.947] crow_0226: あ
[2801.230] haruru3896: はや
[2801.331] れむら: あ
[2802.227] saya0808: 尾張
[2802.324] halcloud: あ
[2802.537] やぎめにゃっ豆: paー
[2802.599] 愛の林檎: wwwwwwwwwwwwwwwww
[2802.722] hima_norita: wwwwww
[2802.768] (S)フュ: 次はお前だ
[2802.929] border_listener: wwwwwww
[2803.116] (S)yuuuu_2525: あ
[2803.184] waterdragon131: チョキ
[2803.211] sakuranoomoti: こわすぎ
[2803.236] sayorin25256: w
[2803.472] ayato_shinami: こっわ
[2803.711] mayupapepon: ないすう
[2803.899] setsunananoda: はっや
[2804.107] 青いアフロ: うまい
[2804.142] ura__5: wwwwww
[2804.382] nekomrnn930: wwwww
[2804.553] yuasee: はっや
[2804.936] rairai_0107: ﾊﾟｰ
[2804.995] romu_00: wwwww
[2805.241] (S)haruneo_s: ぱぁー
[2805.460] (S)あるみ屋: wwwwwwwwwwww
[2805.501] 和泉ぴけ: うまいのよ
[2805.685] (S)レロキャン: wwww
[2805.950] saya0808: wwwwwwww
[2806.052] yukari_sept: こわぁ
[2806.068] リライトパンダ: w
[2806.519] shi__409: ぱー
[2807.483] どあちゃさん: wwww
[2807.545] tori3_0414: wwwwwwww
[2807.754] baceneKo: パー！！！
[2808.040] 労い: 尾張
[2808.131] まだら25: はっや
[2808.600] ui_nemutai: ちょき
[2808.653] (S)なんどね: こっわ
[2808.793] オレオおおおおおお: wwwwwwwww
[2808.810] (S)sintara12: radaoOwari
[2809.034] musipan62_14: パー
[2809.060] ewokakou: こっy
[2809.220] border_listener: ちょき
[2809.242] (S)kuugay0905: はっや
[2809.455] 風鬼くん: うまw
[2809.680] (S)hanamaru_chan323: じゃんけん挑むな
[2809.711] ruuga_1113: 尾張
[2810.035] せらみるくてぃ: 終わったやんwww
[2810.659] 白玉のハルハル: ぱーーー
[2810.696] sakura6323: www
[2810.790] (S)nobume0v0: こわいて 
[2811.048] ginger_1202: wwww
[2811.202] rairai_0107: ww
[2811.461] 200720230106: めっちゃ叫ぶやん
[2811.635] amaria_tuyu: はっやwwwwww
[2811.853] ｱﾁｬﾓ: ぱーーーー
[2811.986] 格好いいよねロックマン: うわぁ
[2812.074] (S)Ruria00: はっや
[2812.900] tentoumus1: パァーwwww
[2812.928] わさびぬきで: なあ
[2813.242] 心1203: うまwwwwwwww
[2813.411] まだら25: こy
[2813.625] 海月4408: はっや
[2813.661] mayupapepon: むりやな
[2814.312] ca5151: ぱー
[2814.527] ofurosaboten: にげるのうまいwwww
[2814.586] dakadonn: はやすぎ
[2814.625] norato041197: ぱーーーー！！！！
[2815.971] つきあかり: www
[2816.273] 脳内人格者タルパーちゃん: どうしようもない
[2816.391] スーベニア: 逃げ足だけは早いｗ
[2816.829] いとりお: wwwwwwwww
[2817.041] gomabare_0502: よく分かるな
[2817.465] irukun113: 死なないのすごい
[2818.725] neru_72: パァァァww
[2818.740] (S)セレちゃ: パー
[2819.514] (S)あるみ屋: 脊髄反射並に早い
[2820.024] (S)霞ちゃん: ぱ～～～～！！！
[2820.731] shin0_25: うま
[2822.951] mikan1185: wwwwww
[2823.127] dakadonn: にげろ
[2825.037] わさびじる: radaoKomaku
[2827.041] hima_norita: うおおおおおお
[2827.649] 愛の林檎: wwwwwwwww
[2829.618] 青いアフロ: アイムレディー…？？
[2829.798] (S)haruneo_s: できるっ
[2830.952] 脳内人格者タルパーちゃん: お前には無理だ
[2831.385] 心春_: radaoKomaku
[2835.703] rtz3343dtm: radaoCry1
[2840.023] ayunosioyaki0223: くっら
[2840.563] 愛の林檎: 暗すぎる
[2844.021] わさびぬきで: You can do it
[2844.814] baceneKo: え
[2847.920] border_listener: I'm ready
[2848.463] 愛の林檎: え
[2849.114] sakuranoomoti: え
[2849.266] denou777: おおおおおおおおお
[2849.411] halcloud: え
[2849.504] mikan1185: 私は女
[2850.661] 魔神モマン: ええええ
[2850.670] oli_liriri: えええええ
[2850.736] crowsuke96: あたりｗｗｗｗｗｗｗ
[2851.295] ayato_shinami: すごい
[2851.307] sakuya0226: sakuya0226 subscribed with Prime. 
[2851.311] baceneKo: えぐｗｗ
[2851.563] sunomono8: おおおおおおお
[2851.603] hima_norita: え
[2851.794] ayunosioyaki0223: ええええええ
[2852.040] stella_1213: え
[2852.052] crow_0226: えええ
[2852.138] rioapr03: おおおおお
[2852.328] (S)sora_mameee: えええええええ
[2852.331] otux2_0205: eeeeeeeee
[2852.401] yuasee: おおー
[2852.575] みとまろ: て
[2852.584] taakatuki1024: この駐車場…なにか…いる
[2852.584] とまとかれー: おおおおお
[2852.655] やぎめにゃっ豆: おおおおおおお
[2852.665] れぢくす: おおおおおおおおおお
[2853.132] (S)抹茶の午後: おおおお
[2853.302] minto13579: おおおおおおおおおお
[2853.339] (S)わらびもち_11: おおおおお
[2853.350] (S)kuugay0905: おおおおおおお
[2853.517] drkotan: え
[2853.546] sakuranoomoti: えええええ
[2853.634] ichinomyo_taro: えええええ
[2853.637] (S)いちうら: ええええ
[2853.714] (S)hiragi_114514: wwwwwwwww
[2853.723] 愛の林檎: wwwwwwwwwwwwwwwwwwwwwwwwww
[2853.909] れむら: おおおお
[2854.068] 格好いいよねロックマン: えええええ
[2854.115] みとまろ: え
[2854.161] (S)sintara12: ぉぉおおおおおお
[2854.178] border_listener: え
[2854.285] (S)あるみ屋: おおおおお
[2854.294] (S)もあり: おおおおお
[2854.356] オレオおおおおおお: おおおお
[2854.557] ui_nemutai: おおおおおお
[2854.746] honehone_2: えええ
[2854.772] 和泉ぴけ: えええええ
[2854.777] eichan_2470: あたり
[2854.780] (S)nobume0v0: おおおおおお！！！
[2854.825] 風鬼くん: wwww
[2855.109] setsunananoda: うおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおお
[2855.151] tonkatsu_0920: おおおおおおおお
[2855.216] ｱﾁｬﾓ: おおおおおおお
[2855.313] ayn_112: www
[2855.417] えりさ_: おおおおお
[2855.453] 車海老姿焼き: www
[2855.458] (S)Ruria00: えええええええええええええ
[2855.570] 犬ﾚ: おおおおお
[2855.645] otux2_0205: えええええええええええ
[2855.683] ギンナン: radaoHi
[2855.732] nekomrnn930: ええええええええ
[2855.739] itoyu_62: えええええ
[2855.809] 魔神モマン: 運えぐいｗｗｗ
[2856.321] どあちゃさん: きた
[2856.341] kosei000: おおおおおお
[2856.384] kawaharaya: ええええええ
[2856.456] taakatuki1024: おお
[2856.473] nekotyan324: ええええ
[2856.532] リライトパンダ: おおおおおお！
[2856.576] (S)あーしゃん: おおおおおおお
[2856.587] Ishio_62113125: すげええええええwww
[2856.597] (S)haruneo_s: おー！！
[2856.610] alcoholsyodoku: えええええええええ
[2856.621] ひのした: おおおおおおお
[2856.675] mirumiru_h: おおおおおお
[2856.703] なぷなつ: えええええええええ
[2856.833] すいぺりあ: えええええ
[2857.183] kami0820: すこwww
[2857.238] wpj575: おお
[2857.248] ruuga_1113: おおおお
[2857.301] stella_1213: なんか今回運良くね？？？
[2857.416] くろざき: おおおおおおお
[2857.451] marimoko6231: おおおおおおお
[2857.456] 心1203: おおおおおおおあ
[2857.583] 青いアフロ: えっぐ
[2857.584] aina___10812: おおおおお
[2857.715] えりさ_: wwwwwwwww
[2857.761] sayorin25256: おおおおおおおおおおおおおお
[2857.800] rin5_3: えーー
[2857.835] (S)なんどね: おおおお
[2857.875] (S)レロキャン: おおおおおおお
[2858.304] まだら25: おおおおおおおおお
[2858.407] shi__409: お前強運やべぇよ
[2858.517] (S)hanamaru_chan323: おおおおおないすー
[2858.527] norato041197: 奇跡w
[2858.620] にゃんねね: えええええええ
[2858.663] _ヴォク: すげええええええええ
[2858.791] わさびじる: え
[2858.846] (S)あるみ屋: なんでやねんwwwwww
[2859.379] オレオおおおおおお: おおおおおおおおおお
[2859.380] hima_norita: マジでやるやんwwwwwwwww
[2859.433] t0_ukq: えええええ
[2859.442] 2004_raion: うおおおおお！！！！
[2859.486] mayupapepon: すごいいいいいい
[2859.507] rin5_3: すご
[2859.528] denou777: ナイス
[2859.533] natubatch: すごおおおおおwwww
[2859.560] (S)ちか___: えええええ
[2859.580] SIA00o: ええええええ
[2859.697] (S)きのここ: ないす
[2859.707] gakuto1007: おお
[2859.730] kaido_2525: ええええあて
[2859.747] わさびぬきで: あたりなんかい
[2859.929] yuya_kura: おおおおおおおおおお
[2860.415] irukun113: すげーー
[2860.732] (S)ドミノくん: www
[2860.844] 風鬼くん: すごすぎw
[2860.883] musipan62_14: ぉぉおお
[2860.884] ばむうまお: 運良
[2861.061] まだら25: えええええ
[2861.075] rairai_0107: すげえええ
[2861.087] ruuga_1113: ないすー
[2861.135] Misa33ss: すげえええええ
[2861.413] nekotyan324: おおおおおおお
[2861.443] sulapon58: すごｗ
[2861.463] ura__5: おおおおおお
[2861.602] ｱﾁｬﾓ: すげええ
[2861.642] setsunananoda: すげえええええええええええええええええええええええええええええええええええええええええ
[2861.746] sakuranoomoti: 豪運すぎんか
[2861.828] dakadonn: 当たりだー
[2862.015] (S)あのまの: ラッキーマンじゃん
[2862.022] jha2_: 運えぐ
[2862.130] halcloud: 運良すぎw
[2862.278] shiron0310: ええええwww
[2862.353] yukamuta: 配信者力
[2862.514] taakatuki1024: ナイス
[2862.539] akaihi: もってるな今日
[2862.615] toki047: おおおおおお
[2862.646] romu_00: えええええええええwww
[2862.750] せらみるくてぃ: つっよw
[2862.866] mayupapepon: すごすぎ
[2862.872] どあちゃさん: ないすー
[2863.077] batu_0009: ないす
[2863.100] yutaaaaaaa4737: うおおおおおおおおおおおお
[2863.312] kuromonnn: まじか！w
[2863.315] neru_72: すご
[2863.403] (S)rd_tami: やるやん
[2863.636] karikko2231: おおおおおお！！！
[2863.699] sasami_yeah: おおー
[2863.732] tawashida_3000: おおおおお
[2863.773] suiha_7: すげえええｗ
[2863.849] けむら: うおおおおおおおおお
[2863.869] すいぺりあ: すご
[2864.058] (S)rimi0221: ええええええええ
[2864.181] kanikamadesu: おおおおお
[2864.221] hendaizard: おおおお
[2864.312] 脳内人格者タルパーちゃん: うおぉぉぉぉぉぉぉ！！、
[2864.337] 愛の林檎: なんかわからんけど上手くいってるwwwwwwwww
[2864.554] _ゆずれもん: 運良すぎだろ
[2864.567] ばむうまお: えら
[2864.568] redooosannn: えええ
[2864.811] みりぃもち: すごwwww
[2864.849] nekomrnn930: 奇跡www
[2864.858] れぢくす: すげえええええ
[2865.049] 労い: 偉すぎ
[2865.198] やぎめにゃっ豆: ラッキーマンてわ草
[2865.249] オレオおおおおおお: ないす！！
[2865.445] aka_478sann: すげええええええ
[2865.454] utanpo0227: すっごw
[2865.493] mirumiru_h: 運良すぎだろ
[2865.538] 贄ﾁｬﾝ: 持ってる男すぎか?
[2865.655] (S)あるみ屋: すごwww
[2865.763] ｱﾁｬﾓ: えら！
[2865.782] ofurosaboten: 運良www
[2865.843] ayunosioyaki0223: お前配信者力すげぇな
[2865.920] remo_ne: すご
[2866.305] eichan_2470: 今日運いい
[2866.391] economic_cube3: すご
[2866.566] (S)haruneo_s: すごいー
[2866.577] 猫の髭: えええええええ
[2866.609] なぷなつ: 実況者補正すぎふ
[2867.216] こうちゃちゃちゃん: おおおおおおお！
[2867.216] rya_ya: 運よすぎだろお前！！
[2867.332] なめらかぷりん: すご！！！
[2867.520] ぬてーら: 運強い
[2867.556] (S)princess_aopi: radaoGJ
[2867.669] (S)hqll_dayo: うおおおおおおおおお
[2867.682] (S)レロキャン: えらい
[2867.742] 枯木です: すごい
[2867.810] mayupapepon: ないすううううううう
[2868.512] shin0_25: おおおおとおお
[2868.745] わさびぬきで: なんやかんやww
[2868.786] (S)yuuuu_2525: すげ
[2868.855] rairai_0107: ないす
[2869.025] kyuurinotyazuke: すごw
[2869.300] halu261524: すげぇぇぇぇ
[2869.335] (S)nobume0v0: さすが配信者さん
[2869.670] sakuranoomoti: 配信者力
[2869.893] (S)わらびもち_11: えらい
[2870.206] (S)Ruria00: ごり押すなw
[2870.428] 心1203: すげー！w
[2870.436] gomabare_0502: ボタン押せるのすげぇ
[2870.514] dayonn_112: ゆーきゃんどぅーいっと
[2870.873] (S)セレちゃ: おおおおお
[2871.085] mikan1185: おおおおお
[2871.119] yuasee: 運がいいｗ
[2871.144] もえもん: つよww
[2871.167] omoti0319: 運良w
[2872.469] (S)sora_mameee: 今のとこたまたまで全部進んでる
[2872.973] ichinomyo_taro: 持ってんなあ
[2873.207] (S)つむじのきもち: wwwwwww
[2873.208] jujush71: すげぇwww
[2873.533] otux2_0205: ｗｗｗｗｗｗ
[2873.809] 低楽: すっご
[2874.063] mayupapepon: さすが
[2874.064] saya0808: ボス戦wwwww
[2874.151] まだら25: すごwwww
[2874.309] mikan1185: すご
[2874.734] (S)いちうら: ｗｗｗ
[2874.933] みとまろ: 配信者すぎる
[2874.941] (S)itijiku_0605: つよ
[2875.201] yunchi_5648: 主人公補正やん
[2875.212] itoyu_62: www
[2875.256] yuasee: wwwwwwww
[2875.432] sonota_1: ここまで全部運www
[2875.474] 愛の林檎: wwwwwwwwwwwwwwwww
[2875.493] Ishio_62113125: BOSS戦？
[2875.613] (S)あるみ屋: wwwwwwwwwwww
[2876.080] 和泉ぴけ: お前ナニモンだよ
[2876.199] kosei000: wwww
[2876.307] shin0_25: さすが
[2876.338] dakadonn: えぐ
[2876.344] なびさん: プロ配信者
[2876.467] ui_nemutai: 持ってる
[2876.500] moruchan1: ないすぅー
[2877.006] (S)七蝉: マジで気合いやな
[2877.480] (S)フュ: 運ゲーしかしてないwww
[2877.703] レインカラー: ないすっ！！！
[2877.755] きのこのこぉ: wwwwww
[2877.886] rairai_0107: wwwww
[2877.891] あく____: タンクすげ
[2878.290] いとりお: すごーwww
[2879.153] honehone_2: 運だけは強い
[2879.171] nekomrnn930: wwww
[2880.087] root_1123: 主人公かよ
[2880.353] (S)レロキャン: wwwwwwww
[2880.476] yukamuta: 生命力がすごいｗ
[2880.834] mikan1185: 運よwww
[2882.795] (S)あぅら: www
[2882.935] 白玉のハルハル: お
[2883.039] denou777: あ
[2883.583] 心春_: 持ってんなーw
[2883.818] ばむうまお: 今ならなんでも出来そう
[2884.647] 愛の林檎: え
[2884.907] でにぃ: でにぃ subscribed with Prime. They've subscribed for 15 months! 
[2885.453] setsunananoda: お
[2885.762] shi__409: あ
[2887.672] ayunosioyaki0223: 道路
[2888.009] 白玉のハルハル: うわ
[2888.422] つきあかり: あ
[2888.855] batu_0009: お
[2889.026] tonkatsu_0920: 見た事ある
[2889.519] やぎめにゃっ豆: え
[2889.524] ichinomyo_taro: え
[2889.569] 2004_raion: まずい
[2889.622] saya0808: クリア？
[2890.189] ayunosioyaki0223: え
[2890.409] (S)あるみ屋: あ
[2890.663] mayupapepon: あ
[2890.663] 白玉のハルハル: お
[2891.146] こうちゃちゃちゃん: 配信者力すごい
[2891.206] border_listener: え
[2891.262] Ishio_62113125: あ
[2891.338] 青いアフロ: え
[2891.340] (S)Ruria00: あ
[2891.498] halcloud: あ
[2891.940] ~MISSING_COMMENTER_INFO~: あ
[2892.054] sayorin25256: あ
[2892.293] わさびぬきで: あれ
[2892.485] (S)sora_mameee: え
[2892.488] オレオおおおおおお: あ
[2892.502] mayupapepon: あれ
[2892.701] (S)あるみ屋: え
[2892.703] ｱﾁｬﾓ: あ
[2893.032] kawaharaya: え
[2893.291] (S)レロキャン: え
[2893.336] こうちゃちゃちゃん: お
[2893.341] まだら25: え
[2893.650] 風鬼くん: あ
[2893.851] mikan1185: え
[2893.906] ばむうまお: きたー！！
[2894.407] しゃろっく: え
[2894.506] setsunananoda: え
[2894.775] hima_norita: え
[2894.826] nya_san0829: え
[2894.853] osiruko25: え
[2894.949] batu_0009: フラグ？
[2894.965] (S)SHUUUUUNTAKA: まずい
[2894.986] kirishima_0x0_: あ
[2895.223] AyutayaZ: え
[2895.925] (S)ドミノくん: え
[2896.013] romu_00: e
[2896.574] うぉ: え
[2896.592] かげぬい: やばそう
[2896.647] 白玉のハルハル: え？
[2896.830] そふぃ3: お
[2896.844] saya0808: ん？
[2896.886] (S)nobume0v0: あ
[2897.098] 青いアフロ: こわい
[2897.161] ayato_shinami: LAN？
[2897.189] (S)あーしゃん: え
[2897.280] norato041197: え
[2897.318] (S)あのまの: まだあるよ
[2897.325] シキトさん: え？
[2897.402] くろざき: え
[2897.561] yuasee: こｙ
[2897.691] rioapr03: ああ
[2898.305] baceneKo: うわー
[2898.579] 脳内人格者タルパーちゃん: やっぱらっだぁはゴキブリ...
[2898.763] オレオおおおおおお: 動画で見たな
[2898.795] hiromi131: え
[2899.065] 愛の林檎: こわ
[2899.289] taakatuki1024: あかるーい
[2899.470] yukamuta: うわぁ
[2899.800] mayupapepon: きちゃー
[2901.076] こうちゃちゃちゃん: あ、
[2901.267] わさびぬきで: トンネルこy
[2902.163] なぷなつ: こっわ
[2902.498] (S)あるみ屋: うわー
[2903.268] (S)たまごガチアンチ: こわい
[2905.187] らいちぃ: radaoG
[2905.492] halcloud: ステージクリア
[2906.130] (S)sora_mameee: こｙ
[2907.119] denou777: ラン！？
[2907.340] (S)庶隷: Hub
[2907.610] batu_0009: こy
[2907.633] 低楽: トンネルだァ
[2908.553] ばむうまお: きちゃあ
[2910.467] waterdragon131: 延々トンネル？
[2912.368] dakadonn: さすがらっだぁ
[2914.282] いとりお: きちゃぁ
[2914.482] 脳内人格者タルパーちゃん: トンネル安心するっぴ
[2914.811] おっとり刀: えんえんトンネル
[2915.826] ha_dorio_o: The hubだ
[2916.057] re_orange814: えんえん
[2917.153] nurumayu73: えんえんトンネル
[2917.161] mayupapepon: すご
[2919.098] 愛の林檎: え
[2919.181] ばむうまお: たのしみ
[2922.418] yuasee: え？
[2922.433] 魔神モマン: サメ？
[2923.208] いとりお: え
[2924.111] ichinomyo_taro: のりこめー
[2924.199] (S)sora_mameee: メグ
[2924.293] Ishio_62113125: メグ？
[2924.386] (S)あるみ屋: のりこめー
[2924.818] baceneKo: え
[2925.455] 労い: めぐwww
[2925.666] mikan1185: メグ
[2925.749] itoyu_62: え
[2926.025] ayunosioyaki0223: え？
[2926.059] れむら: え
[2926.368] setsunananoda: メグ
[2926.611] 千鶴: え？
[2926.879] hima_norita: ！？
[2927.110] 和泉ぴけ: 目黒さん！？
[2927.120] saya0808: だれ？
[2927.139] (S)わらびもち_11: え
[2927.379] 愛の林檎: ！？
[2927.631] 白玉のハルハル: ？
[2928.283] nekomrnn930: え
[2928.407] (S)kuugay0905: え
[2929.166] (S)sora_mameee: ？？？？
[2929.357] dakadonn: トンネルこわ
[2929.556] itoido: え？
[2929.646] momojiri8: 元カノ？
[2929.760] 神崎立夏: はぇー
[2929.780] (S)あるみ屋: ！？
[2930.347] オレオおおおおおお: え
[2930.398] taakatuki1024: なに？
[2931.469] 犬ﾚ: radaoHatena2
[2931.723] alcoholsyodoku: ！？
[2931.831] どあちゃさん: ？！
[2932.343] (S)seillane: え
[2933.230] (S)あのまの: 同じの探すやつ
[2933.373] yunchi_5648: 戦闘機？
[2933.442] nurumayu73: ザモンスター
[2934.587] 愛の林檎: 文字ほっそ
[2934.771] apotokis: 誰よその女
[2934.962] すいぺりあ: ！？
[2935.248] わさびぬきで: ？！
[2935.618] setsunananoda: つぐのひ
[2936.215] ばむうまお: モンスターさん！？
[2936.946] neru_72: つぐのひ？
[2941.799] saya0808: アメリカ語wwwww
[2942.692] いとりお: めぐさん？？？
[2942.701] れむら: アメリカ語ｗｗｗ
[2944.267] irukun113: 難しい
[2944.457] (S)あるみ屋: アメリカ語でも無いぞ
[2944.582] 格好いいよねロックマン: つぐのひ？
[2945.193] nagumorei: 目黒さん！？
[2946.991] 脳内人格者タルパーちゃん: ボス戦って感じする
[2947.102] border_listener: アメリカ語www
[2947.762] (M)Nightbot: YouTubeにクリップ集を投稿していきたいので、面白かったシーンなどを>>"タイトル"<<をつけてクリップ作成お願いします。画面の右下にクリップ作成ボタンがあります。>>"タイトル"<<を付けて作成してもらえると後でクリップを選出しやすくなります。よろしくね
[2948.090] sakuranoomoti: アメリカ語
[2950.185] オレオおおおおおお: アメリカ語！？w
[2950.653] kurari_complex: 英な
[2954.225] alcoholsyodoku: 目黒さんじゃん
[2954.912] (S)Ruria00: 誰よその女！
[2956.779] setsunananoda: やってることＮＨＫやな
[2956.957] saya0808: アメリカ語てなんやねんww
[2961.759] noboriryuu0519: アメリカ語...
[2964.112] ayunosioyaki0223: それマイクラ
[2964.204] ebisukabuki: アメリカ語
[2964.780] mikan1185: 視えない壁
[2966.947] mayupapepon: アメリカ語wwwwww
[2968.047] わさびぬきで: アメリカ語www
[2968.272] 和泉ぴけ: バリアブロック
[2968.769] shi__409: マイクラ脳
[2969.496] (S)あるみ屋: マイクラじゃないのよ
[2970.135] あく____: アメリカ語www
[2971.767] 青いアフロ: バリアブロック…
[2972.020] wakakun_02: トンネル綺麗だな
[2973.690] yunchi_5648: マイクラなんよ
[2973.911] (S)ドミノくん: バリアブロックw
[2975.194] オレオおおおおおお: マイクラかよ
[2975.374] ばむうまお: バリアブロックおいてある
[2977.072] haruru3896: せんぱぁ〜い
[2977.489] yuasee: マイクラだｓったの
[2977.522] (S)あのまの: 囲われてるやつと同じのを探して押すやつだと思う
[2981.264] renkuwa0331: さすがコミュ賞
[2982.084] 愛の林檎: 謎解き？
[2982.470] baceneKo: お
[2982.869] いとりお: バリアブロックwww
[2983.432] mikan_san: え
[2983.654] ayunosioyaki0223: え
[2983.735] やぎめにゃっ豆: え
[2984.638] 愛の林檎: え
[2985.426] setsunananoda: お
[2986.017] (S)わらびもち_11: え
[2986.312] (S)emazkirin: え
[2986.763] (S)Ruria00: え
[2986.973] (S)kuugay0905: え
[2986.983] baceneKo: あー
[2987.220] nekomrnn930: え
[2988.091] いとりお: お
[2988.106] sumikko_ai: わこらだ
[2988.789] れむら: え
[2988.958] くろざき: え
[2989.019] まだら25: え
[2989.286] economic_cube3: お
[2989.777] hima_norita: え
[2991.275] setsunananoda: なんやねん
[2991.485] オレオおおおおおお: お
[2991.679] (S)あるみ屋: え
[2991.909] 脳内人格者タルパーちゃん: あ
[2992.917] 愛の林檎: なーんだ
[2993.014] わさびぬきで: おー
[2993.142] sakuebi_: お
[2993.165] utanpo0227: え
[2993.737] sakuranoomoti: え
[2993.764] rya_ya: お～
[2993.923] れむら: あ
[2994.148] aina___10812: え
[2994.384] うぉ: え
[2994.665] 心1203: え
[2994.804] mikan1185: お前豪運
[2994.915] woodm9o: あ
[2994.940] Ishio_62113125: あ
[2995.562] hima_norita: あっ
[2995.585] (S)ドミノくん: え
[2995.818] dakadonn: え
[2996.146] (S)きのここ: あ
[2996.316] yuasee: え
[2996.462] ふわみん_: え
[2996.566] border_listener: え
[2996.578] batu_0009: え
[2996.678] (S)hanamaru_chan323: あ
[2996.760] neru_72: あ
[2996.819] omoti_415: あ
[2997.067] (S)nobume0v0: あ
[2997.276] setsunananoda: あ
[2997.380] (S)Ruria00: あ
[2997.382] (S)つむじのきもち: w
[2997.889] 愛の林檎: wwwwwwwwwwwwwwwww
[2997.955] いとりお: あ
[2998.109] minamuro: 詰んだ
[2998.122] shi__409: え
[2998.124] SIA00o: え
[2998.241] れむら: おおお
[2998.720] mikan_san: あぶねー
[2998.944] (S)m_sakuta: あ
[2999.073] (S)yuuuu_2525: あ
[2999.155] (S)ドミノくん: www
[2999.171] (S)あぅら: あ
[2999.327] (S)rimi0221: あ
[2999.680] (S)kuugay0905: あ
[2999.954] mayupapepon: wwwwwwww
[3000.086] nya_san0829: えあ
[3000.172] uruma_1213: a
[3000.189] 青いアフロ: こわ
[3000.240] aina___10812: おお
[3000.397] koparu: ｗｗｗ
[3000.418] utanpo0227: w
[3001.096] ayato_shinami: 7 37 4 1  0
[3001.293] nekomrnn930: あ
[3002.074] (S)あぅら: おおwww
[3002.304] どあちゃさん: ww
[3002.470] まだら25: あ
[3002.515] batu_0009: お
[3003.275] (S)きのここ: あぶなw
[3003.537] dakadonn: あぶな
[3003.822] (S)haruneo_s: あぶな
[3004.453] (S)あるみ屋: あぶねーw
[3004.665] あく____: あぶねー
[3004.691] rin5_3: あぶねぇ
[3004.815] utanpo0227: あぶなw
[3006.776] minamuro: あぶねー
[3007.931] baceneKo: 詰みかけるのなんなんだｗｗ
[3010.334] (S)yuuuu_2525: らっだぁだけトラブル起こるのなんなん？
[3017.254] taakatuki1024: 今回ちょくちょく引っかかるね
[3018.020] 青いアフロ: 死にそー
[3024.103] (S)yuuuu_2525: www
[3027.516] 愛の林檎: 敵はいないんかな
[3032.828] saya0808: メグ姉さん好きww
[3032.871] 愛の林檎: 他力本願寺
[3036.810] チャマチャマ: わこらだ
[3038.891] Ishio_62113125: さすみど
[3039.491] border_listener: あ
[3042.082] batu_0009: あ
[3042.103] minamuro: あ
[3042.257] corocolo0310: corocolo0310 subscribed with Prime. They've subscribed for 9 months! 運営ホラゲよき！
[3042.673] baceneKo: え
[3043.451] ura__5: あ
[3046.409] オレオおおおおおお: あ
[3046.659] ayato_shinami: あ
[3047.245] (S)ドミノくん: あ
[3048.540] (S)emisuba0730: え
[3048.790] michupi_rapi: あ
