[13.787] (S)RFKage: umeCossack
[4210.249] erisuk: ガキのころはそんな奴いなかったけどな～
[4210.598] chin_56_: ☕️
[4211.165] tanu_p: つなげるな！
[4211.292] (S)おしるこ11: またコーヒー戻る
[4212.566] (S)rm_rf__: オレ、コーヒーやから...
[4212.737] pondenring0930: コーヒー大好き！
[4214.829] (S)ましゅダヨ: 昔からそういう人はそういう人なんだよなぁw
[4215.487] zyangara2: カトちゃんケンちゃんはオレンジジュース
[4221.262] chetra3000: тупые япошки)
[4221.589] neojapan01010: くだらないテレビでもドリフ派とひょーきん族派が
[4228.805] sn0wf0x3: 逆張りする人いるわw
[4230.064] daichan1200: ギター？おれベース
[4231.189] (S)sharks_up: すけべは流行ではないな
[4234.768] successmk2: 逆張りはナルシストっぽいね
[4236.909] fuan4444: 苦ければ苦ければ良いという浅い嗜好
[4242.243] 000105: マンデリン現象
[4248.595] (S)ましゅダヨ: wwww
[4248.743] やかた1010: ｗｗｗ
[4250.638] sublinear: wwww
[4252.090] (S)monpiipop: www
[4252.315] sn0wf0x3: wwww
[4252.775] dcdryuya404: でたわね
[4252.974] Maloneal: あたす？
[4253.054] ミジンコ隊長: あたす？
[4253.144] neojapan01010: ｗｗｗ
[4254.285] pondenring0930: けんいた？
[4254.360] zyangara2: アタスのことかい？
[4257.557] (S)rm_rf__: なんで志村けんみたいになってんだよw
[4258.604] (S)monpiipop: 裏拳が入ったなww
[4258.848] 闘劇のアルベルト: 志村いた？
[4259.239] lucentsnow: しむけんｗ
[4259.619] goozy009: あたす？
[4261.276] matsu_zalem: あたさ
[4262.546] evimayo88: あだす？
[4264.838] matsu_zalem: あたす
[4265.232] tama_zx61: 古いしｗ
[4268.531] (S)おしるこ11: あたす
[4272.168] (S)~MISSING_COMMENTER_INFO~: ｗｗｗｗｗｗ
[4274.949] (S)ましゅダヨ: あたす？
[4275.034] pondenring0930: ｗ
[4275.415] (S)demonbane_twosword: ｗｗｗｗ
[4275.597] やかた1010: wwww
[4276.118] tabibitox: あたす？
[4277.516] 5don: w
[4288.302] mame5rou: ひょうきん族見てる方がコーヒー感あった
[4289.718] 5don: あー
[4293.821] (S)ましゅダヨ: あー。なるほど。
[4297.422] (S)monpiipop: へぇー
[4301.758] chin_56_: φ(｀д´)ｶｷｶｷ
[4305.453] (S)sharks_up: 全部書くのはずるいとおもってた？
[4309.021] (S)noriyuki3: 書かないとだめだよw
[4321.470] 5don: はんざいしゃw
[4323.012] shougik: ｗｗｗ
[4325.612] tabibitox: まぁなｗ
[4325.752] sn0wf0x3: wwww
[4325.970] ミジンコ隊長: しゃーないｗ
[4326.626] 闘劇のアルベルト: でしょうねw
[4327.568] リク21: 何も書かないと闇の人ｗ
[4328.599] evimayo88: カタギじゃない
[4329.963] やあああ: 殺人級
[4329.975] (S)monpiipop: www
[4332.679] (S)rm_rf__: まあカタギには見えねえなw
[4335.636] sublinear: ただの肉まんの先っちょ殺人鬼や
[4345.504] taroumaruh: 当たり前w
[4346.390] lucentsnow: 見かけもいかつい
[4346.579] shougik: （塀の中でお勤めしてたんやろなあ・・・）
[4348.580] erisuk: 親が金持ちでニートやってましたでええやん
[4351.804] tanu_p: LUL
[4351.946] (S)おしるこ11: 20年は殺人なのよ
[4355.703] goozy009: Dこい
[4366.595] tabibitox: Dラストになりそうｗ
[4367.885] squall_2017: 意味はない
[4368.596] ミジンコ隊長: 置物Ｄ
[4369.707] neojapan01010: プロきたぞ
[4371.456] 5don: ガヤありがとー！
[4372.884] chin_56_: ｶﾞﾔｶﾞﾔ
[4375.113] (S)黒猫くん: 喋らないガヤ
[4375.829] erisuk: 存在感０
[4377.434] (S)おしるこ11: さらに赤くなってる
[4398.493] neojapan01010: ｗｗｗ
[4401.456] 闘劇のアルベルト: おっと
[4401.632] lucentsnow: あ
[4404.751] おじキッズ兄: メッタ
[4405.770] nikukuisugi333: いかんですよぉ
[4406.975] (S)rm_rf__: 良く言われてるやつね
[4408.114] (S)acehirotaka: ヤバイねた
[4408.950] sn0wf0x3: まずい
[4409.300] maddy2623: もう・・・取り消せないよ？
[4409.490] chin_56_: 💢💢💢
[4410.158] tanu_p: ノアはガチ
[4411.286] pondenring0930: エンタメ…
[4411.406] (M)(S)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[4411.527] 超パンダ: 八百長言ったのオレです
[4412.781] amadori3: よくある話
[4417.752] senseiabcd: タブー中のタブーに触れやがった
[4418.154] tabibitox: ショー
[4419.702] erisuk: プロレスは正直よくわからないなぜ勝ち負けがあるのか
[4419.878] カラメルキッチュ遊撃隊: エンターテイメントです
[4421.058] korekitwitch: エンタメでしょ
[4421.867] shougik: ｗｗｗｗｗｗｗｗ
[4422.659] (S)ましゅダヨ: あーそれねww
[4424.120] ミジンコ隊長: 実際どうなの？
[4424.970] sn0wf0x3: wwww
[4425.818] goozy009: プロレスはふぁんたじ〜
[4426.302] 5don: いまだにw
[4426.730] shibaponz: それはなんで用意してないんだよｗ
[4426.856] shiro_risu01: あ
[4426.879] shougik: そろそろ用意しとけよｗ
[4429.107] gokukeshi: 石井プロレス
[4431.078] chin_56_: ずっちーな
[4432.860] zyangara2: 八百長とエンタメは違う
[4433.759] njpw2017: もうプロレスファンはだいぶ昔に通り過ぎた質問ではある
[4433.887] 000105: 勝ち負けないよ？プロレス
[4435.731] (S)kosmos5567: 演劇みたいなもの
[4435.866] evimayo88: いい話題
[4436.940] pondenring0930: プロレスファン怒るあるある
[4444.264] adachikufgc: 総師範
[4446.948] おじキッズ兄: 小足見えるんですか？
[4450.129] korekitwitch: いつ引退するんですかでしょ？ｗ
[4450.241] カラメルキッチュ遊撃隊: プロレスが分からないやつはつまらない
[4454.556] squall_2017: 石井プロはさすがに用意しろよw
[4464.712] v_harumi_v: へー
[4466.153] senseiabcd: 石井プロ手ぶら過ぎるw
[4467.766] そらたま: いや！イケメンです
[4469.851] リク21: うざい質問だろうなーｗ
[4473.766] korekitwitch: 2位でも言われるもんねｗ
[4475.715] (S)sharks_up: 失礼やなｗ
[4475.782] Loytory: 結構失礼な質問だな
[4475.830] nishikawa_kun_: プロレスファンは怒らないよ 呆れて「お前はそれでいいや てめぇは？」って
[4480.490] ミジンコ隊長: できるまで
[4482.794] バーニングチャーハン: 嫌味にきこえるな
[4486.598] 5don: マシュマロでもお見かけした記憶
[4489.191] pondenring0930: ｗ
[4490.807] chin_56_: いわれそー
[4490.953] (S)ましゅダヨ: いわれるやつーーー
[4491.142] lucentsnow: あんな攻撃受けまくってるの見てると八百長でも命かけてるのわかるよ
[4491.615] ミジンコ隊長: ｗ
[4491.834] goozy009: www
[4492.321] v_harumi_v: そんなの決めて出来るものじゃない気がする
[4493.505] erisuk: 返してるわけねぇだろ
[4493.871] sirokurorabbit: 勝てなくなったらっていつも言ってない？
[4494.084] 5don: 何億ですか？は気になってる
[4495.362] tabibitox: 返してません
[4496.568] (S)acehirotaka: ふえてます
[4496.729] shibaponz: 答え用意してるだろそれはｗ
[4499.467] pondenring0930: 返す気は"ある"
[4503.547] amagigoe: 官報載ってるんですか
[4505.577] 5don: お金は用意してない
[4506.841] (S)sharks_up: その返しもおかしいｗ
[4514.770] tanu_p: お金を用意しろよ
[4515.514] zyangara2: もう返す意味が無い
[4515.980] senseiabcd: どんどん借金増えてる
[4516.709] nishikawa_kun_: 答え用意する前に
[4518.920] sengoku_cyber: 返さないのはずるくない？
[4519.785] ミジンコ隊長: うおおおおおおおおおおおおおおおおおお
[4519.852] nikukuisugi333: ｗ
[4520.009] (S)ましゅダヨ: えええ！？
[4520.161] v_harumi_v: こわいっ
[4520.346] korekitwitch: ｗｗ
[4520.699] shougik: えっぐｗｗｗ
[4520.887] astrogate_0: ｗｗｗｗ
[4522.298] レム__: 終わってるｗ
[4522.402] (S)rm_rf__: 嘘やんwww
[4522.528] (S)demonbane_twosword: 終わってる
[4522.879] 5don: 利息で500万www
[4523.784] (S)おしるこ11: もう時効でしょ
[4523.909] (S)noriyuki3: まじ？
[4524.001] sn0wf0x3: えぐ
[4525.597] 箸くれ: ひいっ
[4525.678] mohuryun: えぐ
[4525.986] lucentsnow: ！？
[4526.197] shiro_risu01: BibleThump
[4527.313] MisaMisa_12: 無理やんｗ
[4527.315] (S)monpiipop: やば
[4527.758] ミジンコ隊長: ＋ならなあｗ
[4531.009] gokukeshi: ずるじゃん
[4532.032] 反省済2: てかそう言うこと言っていいんだねw
[4532.237] (S)ましゅダヨ: どうすんの…こわい…
[4533.942] sh1zuku716: ずるくね？
[4534.928] ddb365: ｗｗ
[4535.144] (S)acehirotaka: よく生きてるな
[4535.874] おーとん: ずるいｗｗｗ
[4535.879] カラメルキッチュ遊撃隊: そうそうじゃねぇーよw
[4536.647] (S)nakao1976: KSKさんの、えーっとって指折り数える演技好きＷ
[4536.919] neojapan01010: ｗｗｗｗｗｗｗ
[4537.574] niwakanoppo187: どうやって生きてるのか不思議だわｗ
[4537.618] 5don: 食い逃げww
[4538.565] (S)~MISSING_COMMENTER_INFO~: おまえがずるいｗ
[4538.605] shibaponz: アインシュタインも福利が最強の法則だっていってる
[4538.935] korekitwitch: 複利は危険
[4539.351] dcdryuya404: LUL
[4539.782] sn0wf0x3: wwwww
[4541.008] tama_zx61: 利息はズル
[4541.067] kimanaka28: ｗｗｗ
[4541.240] おじキッズ兄: それはそう
[4541.419] sh1zuku716: 返さないのずるくね？
[4542.022] tabibitox: ズルいのは返してない奴や！
[4542.598] (S)monpiipop: wwww
[4542.945] (S)ツィッギー: 俺もプロレス好きなんだけど そう言われた時は、わざとプロレス技受けれますか？って言う そこで強さが分かるでしょって返してる
[4543.459] (S)~MISSING_COMMENTER_INFO~: 踏み倒そうとするな
[4544.590] (S)sharks_up: 放置ゲーやってるんか
[4544.906] amadori3: 複利ずるいよね
[4545.060] pondenring0930: ポットクリン
[4546.605] 闘劇のアルベルト: 金返せw
[4546.979] Hitode_noko: なんで返していない？ｗ
[4547.140] erisuk: 余裕でおかしいから弁護士でほとんどチャラになるよ
[4547.414] raurakd: ずるの権化やw
[4548.650] zyangara2: それでも生きていける日本社会に感謝しよう
[4552.922] (S)とも8はる: 一回弁護士に相談したら減りそう
[4554.228] shibaponz: こいつｗｗｗ
[4557.056] adachikufgc: 賽の河原
[4557.167] ミジンコ隊長: 無敵
[4563.113] gorogorogorn: 複利はいかん
[4563.891] chin_56_: きかーん
[4563.928] raurakd: そうねじゃねーw
[4564.334] tanu_p: 過払い金
[4565.269] (S)ましゅダヨ: いや返すべきもんなのよ
[4570.642] (S)sharks_up: デカすぎると取り立てもしない
[4570.703] goozy009: 自己破産しないのがすごい
[4570.870] 5don: 元本は何円ですか？は思う
[4570.903] sengoku_cyber: 開き直ってるもんなｗ
[4572.119] adachikufgc: 無敵の人
[4574.852] うしおとぬこ: 利息耐性１００％
[4577.289] shougik: 銀行システムの敗北
[4577.703] ミジンコ隊長: 行き過ぎたら無力
[4581.779] successmk2: 銀行からの借金やろ？サラ金とかじゃないぞ
[4587.054] (S)ましゅダヨ: どうしてだよ…
[4589.874] zyangara2: 自己破産できるの？
[4593.040] やあああ: それ気づかないとこでチェックしてる
[4594.727] (S)demonbane_twosword: ズッル
[4595.475] rias9121: あれやだよね
[4595.491] mamamamatsu: あったー！
[4600.653] sh1zuku716: kskカード作れるの？
[4600.700] chin_56_: 罠
[4601.100] tama_zx61: こわ
[4601.568] erisuk: リボはガチでずるい超えて犯罪
[4602.858] (S)sharks_up: ずるい
[4603.094] ミジンコ隊長: こわ
[4603.796] (S)ましゅダヨ: 延命処置か
[4605.543] lucentsnow: KSKの借金全部返してみた企画
[4607.160] 反省済2: naru04NHK
[4607.738] xxtidorixx: 某カードでそんな話あったな
[4608.313] おじキッズ兄: 何も気にしてない
[4608.403] dcdryuya404: ちょっと前にアニメのクレカが自動でリボ払いになってるって話題になってなかったっけ
[4608.698] ryuken_future: たしかに借金って数千万超えると現実味なくて効果薄れるって聞いたことあるな
[4611.889] 5don: さすが！
[4613.090] レム__: パっとね
[4615.031] tabibitox: 金持ち
[4620.536] shougik: ポンッと払ってくれたぜ
[4626.110] (S)ましゅダヨ: いやほんとに知らないって怖いよ、まじで気をつけるべきだよ
[4627.639] MisaMisa_12: リボは悪意あるよね
[4628.231] lucentsnow: 一括リボとかいうわけわからんやつ
[4628.363] shibaponz: 全部からまってるじゃんｗ
[4629.246] amadori3: 初期リボ設定はよくある
[4631.185] ミジンコ隊長: ずっちー！
[4631.407] 5don: メールマガジンの手口だ
[4632.999] erisuk: そもそもリボが犯罪だからなｗ
[4634.651] pondenring0930: そこ！？
[4635.247] (S)rm_rf__: 織田裕二きたw
[4636.047] (S)ましゅダヨ: それにはつかわんwwwww
[4636.781] sn0wf0x3: wwww
[4646.564] harusame1155: イオンカードとか最初からリボに設定されてるよな
[4647.306] うしおとぬこ: クレカってやたらリボとか進めてくるよね
[4649.687] sh1zuku716: リボといえばなるおの離婚思い出すｗ
[4650.710] adachikufgc: 吉本のずるい話
[4653.982] goozy009: サブスクとかも意外とずっち〜
[4654.001] taroumaruh: リボは困窮してて返す当てあれば便利だけど 金利終わってるよなぁ
[4657.679] (S)noriyuki3: でも世の中にはリボ利用してる多いんだよなぁ
[4658.021] mame5rou: 海外の支払いがせんぶリボに設定されてたマスターカード
[4660.358] (S)ましゅダヨ: そりゃそうだよw
[4663.162] 闘劇のアルベルト: ありそう
[4664.040] sengoku_cyber: 吉本のイメージだよね
[4664.868] zyangara2: ありそう
[4669.979] shibaponz: 草
[4672.384] chin_56_: 関西臭
[4675.332] neojapan01010: 今スマホ契約でカード作られて勝手にリボとかあるからね
[4682.961] (S)ましゅダヨ: 嘘なんだw
[4689.769] ミジンコ隊長: どっちでもいいｗ
[4693.540] 000105: 後輩泳がせてる
[4704.129] gokukeshi: ｗｗｗ
[4705.343] lucentsnow: リボ払い解除する設定がアプリになかったりするから闇
[4705.883] goozy009: そもそも
[4706.215] ミジンコ隊長: よく聞かれる奴
[4706.624] sn0wf0x3: wwwww
[4708.268] ryuken_future: d酔ってる？
[4709.293] adachikufgc: いじめw
[4711.920] (S)acehirotaka: みてる
[4712.726] shiro_risu01: ！？
[4714.800] sh1zuku716: 一切喋ってないよなｗ
[4715.585] erisuk: さっき言われただろｗｗｗｗｗ
[4716.982] (S)demonbane_twosword: えええ
[4718.799] ミジンコ隊長: ｗ
[4719.677] yattunohoo: www
[4720.386] neojapan01010: そんなにｗ
[4720.621] マイネームイズアキラックス: ｗｗｗ
[4721.338] 5don: そうなんだ！ ちょっと良い話
[4722.229] gorogorogorn: 催促してこれ？ｗ
[4725.180] pondenring0930: ねぇ、やんないの？
[4725.937] (S)monpiipop: かわいいなw
[4726.354] lobelia_c: 噛み締めてる
[4727.572] (S)noriyuki3: 視聴者代表
[4731.313] shiro_risu01: かわいい
[4731.689] gokukeshi: その結果がこれなの相当おもろい
[4733.405] おーとん: Dは聞き手だから
[4735.721] ddb365: 飲んでますか？ってよく聞かれてます
[4738.695] chin_56_: 何されてる方ですか？
[4742.129] tanu_p: 青春だねえ
[4742.260] goozy009: かわいい
[4742.372] 箸くれ: ｗｗｗ
[4742.654] ミジンコ隊長: Ｄの居場所
[4743.597] (S)rm_rf__: 噛み締めてんなw
[4744.259] squall_2017: BibleThump
[4746.042] (S)おしるこ11: これが居場所
[4746.444] (S)ましゅダヨ: 居場所wwwwww
[4749.226] njpw2017: 栄養を補給するだけして喋らないのはズルいでいいか
[4749.997] (S)monpiipop: ここが………
[4751.815] モギタマ: ここが居場所でいいのかｗ
[4752.892] tabibitox: 終の棲家
[4756.942] goozy009: 膣の中
[4760.571] (S)とも8はる: うらやましいなぁ
[4762.163] lucentsnow: BibleThump
[4762.491] ミジンコ隊長: あ
[4769.810] 5don: なんの話かな……？w
[4770.561] neojapan01010: 記憶が・・・
[4778.509] njpw2017: 記憶障害がね、
[4781.852] nihonsyu_: ｗｗｗｗｗｗｗｗｗｗｗｗｗ
[4782.232] 闘劇のアルベルト: BibleThump
[4782.754] (S)ましゅダヨ: ( ´•̥ ɷ •̥` )
[4782.884] chin_56_: 憐れみ
[4785.067] nishikawa_kun_: 消された人がふたりもいる
[4789.089] successmk2: アレは2人目のKSK、今は3人目のKSK
[4789.388] neojapan01010: ｗｗｗｗｗ
[4791.739] gabe_era: ｗｗｗｗｗｗｗｗ
[4793.714] evimayo88: 幸せだったかｗ
[4794.828] (S)monpiipop: wwwww
[4795.100] (S)Sunsun_the_Sunfish: うれし泣きｗ
[4795.471] kimanaka28: 不敗神話（笑）
[4796.656] shiro_risu01: BibleThump
[4800.536] (S)ましゅダヨ: 楽しくて泣けてくることあるよね……うっ
[4806.402] (S)demonbane_twosword: 居場所あったあ
[4808.407] tabibitox: 楽しいやろうなぁ
[4809.388] (S)~MISSING_COMMENTER_INFO~: ｗｗｗｗ
[4815.399] adachikufgc: じゃあ、次の対戦相手でw
[4823.355] (S)ましゅダヨ: 居場所を感じた時って、泣けるよな……
[4833.535] 5don: 本気のやつだ
[4834.597] ミジンコ隊長: その結果・・・
[4838.130] chin_56_: きづいた
[4840.030] tama_zx61: ｗｗ
[4840.228] 5don: はやいw
[4840.522] aranami0: ｗｗｗ
[4841.192] モギタマ: はやｗ
[4842.128] 箸くれ: ｗｗｗｗ
[4843.159] evimayo88: はええｗ
[4843.269] lucentsnow: ｗ
[4844.868] ryo913: ｗｗｗｗｗｗ
[4845.864] sn0wf0x3: wwww
[4847.484] (S)ましゅダヨ: だろうねwww
[4852.182] neojapan01010: あの負けっぷりはみごとだったよ
[4853.951] adachikufgc: 2-1で勝ってただろw
[4855.459] rias9121: ３試合で分からせ
[4858.253] gorogorogorn: あがけｗ
[4858.699] (S)monpiipop: 足りてないかぁ
[4860.105] njpw2017: よっさんといい勝負したのがアカンかったな
[4863.914] neojapan01010: 不敗神話（笑）
[4874.722] (S)acehirotaka: 長くなる
[4887.412] ミジンコ隊長: あっ
[4889.312] だいこん_: ｗｗｗ
[4889.401] 5don: ラストに！
[4889.595] adachikufgc: だんごだけに
[4890.360] tabibitox: 最後やｗ
[4890.905] lobelia_c: 不穏 不穏
[4891.152] goozy009: ラストw
[4891.915] ミジンコ隊長: しめだんご
[4892.042] (S)おしるこ11: 居場所だからな
[4892.645] neojapan01010: おおとり
[4893.672] (S)demonbane_twosword: 残りがちやーーｗｗ
[4894.143] (S)noriyuki3: トリかよw
[4899.921] のぞみくん: ラストかw
[4909.859] chin_56_: ✈️
[4909.985] (M)(S)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[4925.956] adachikufgc: あぶない
[4929.994] erisuk: 借金ある癖にこの
[4938.133] mako_oswald: てかKSKキャンプしろよ
[4938.867] aranami0: 億の借金してるやつが何言ってんだって感じもするｗ
[4940.632] 反省済2: 闇でもなんでもないけどいい話題だ
[4944.232] goozy009: Rの質問思い出すw
[4950.232] (S)ましゅダヨ: アナザースカイみたいだね
[4950.450] adachikufgc: フランス
[4954.317] daichan1200: ニューヨーク楽しかったなぁ
[4956.199] pondenring0930: また行きたいとか？
[4960.062] newriver824: 借金ある話のあとに旅行しようかなは笑っちまうよ
[4960.296] poteeeeen: 高跳びか？
[4960.737] 000105: 直近の青森強くね？
[4989.322] (S)ましゅダヨ: 江ノ島行ってみたい、
[5002.720] 勤務中: 歴史がちゃんとある
[5003.667] goozy009: 鎌倉はなんかよい
[5006.108] shougik: 鶴岡八幡宮
[5007.501] hinokihinoki: スラムダンクの坂もある
[5011.766] ryo913: 鎌倉は散歩すんのも楽しい
[5015.013] daichan1200: 浅草も好きだけど、人が多い
[5015.735] v_harumi_v: 鎌倉良いよね
[5020.703] yoshikawa_yo: 江ノ電すき
[5024.923] v_harumi_v: 江の島もなんか好き
[5026.087] sengoku_cyber: 鎌倉の人の多くない時期ね
[5030.358] 5don: あじさい有名だったり
[5034.650] adachikufgc: 龍が如くの街に住んでるksk
[5038.829] (S)ましゅダヨ: コアだねーwwwwww
[5044.784] neojapan01010: 鎌倉は武器屋があるのがいい
[5060.125] v_harumi_v: 武器屋あるの？気になる
[5061.507] aranami0: いいねぇ
[5061.632] (S)ましゅダヨ: 野沢温泉はゲレンデ最高ですよ
[5062.611] ミジンコ隊長: へー
[5062.953] クラシマ: 中野市の隣じゃん
[5070.679] カラメルキッチュ遊撃隊: 温泉なら黒川温泉よかったわ
[5076.908] adachikufgc: 野沢菜？
[5084.218] (S)ましゅダヨ: 冬への対策は完璧な場所
[5089.264] クラシマ: 野沢菜の発祥の地だね
[5102.778] lucentsnow: ウメちゃんかまいたちの夜のペンション行きたいとか昔言ってたな
[5112.618] ミジンコ隊長: え？
[5113.410] shiro_risu01: ！？
[5113.809] neojapan01010: ミートさん？
[5121.009] (S)ましゅダヨ: 野沢菜もおやきもみんなマズイって言うんだけど(涙目
[5121.442] ミジンコ隊長: こっわ
[5122.262] (S)ましゅダヨ: ！？
[5122.808] shougik: ｗｗｗ
[5123.233] 000105: メキシコはなぁｗ
[5123.647] 闘劇のアルベルト: あー
[5124.500] 5don: BibleThump
[5124.760] meshiuma3150: ｗ
[5125.897] sn0wf0x3: www
[5126.969] chin_56_: ミートにされかけた
[5128.569] tanu_p: いくかぁ
[5135.467] (S)ましゅダヨ: ひいい
[5137.219] v_harumi_v: こわい
[5138.132] ミジンコ隊長: こわすぎ
[5140.168] lucentsnow: こわい
[5141.320] (S)ましゅダヨ: 強盗か
[5141.883] erisuk: よくあるやつね
[5146.557] adachikufgc: ブラジルでもよくある
[5151.690] (S)ましゅダヨ: wwwww
[5152.552] chin_56_: やだ！
[5154.205] daichan1200: あぶな
[5154.693] ミジンコ隊長: おい！
[5157.880] methotrexate_aym: ひえー
[5157.982] 闘劇のアルベルト: おいおい
[5159.908] 反省済2: 空気読めないやつw
[5162.045] shougik: ｗｗｗｗｗｗｗ
[5162.876] (S)noriyuki3: www
[5164.021] ミジンコ隊長: ｗｗｗｗ
[5164.217] 5don: wwwwwww
[5164.272] aranami0: ｗｗｗｗｗ
[5165.052] だいこん_: ｗｗｗｗｗｗ
[5165.411] evimayo88: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[5165.641] (S)ましゅダヨ: それはそうwww
[5165.854] erisuk: 強盗される用の財布をもっとかないといけない
[5166.315] v_harumi_v: ＞＜ ｗ
[5167.169] squall_2017: kokuji3Hook
[5167.974] gorogorogorn: 道連れｗ
[5168.303] kame277: www
[5168.563] sn0wf0x3: wwww
[5168.886] shougik: それはそうｗ
[5169.825] shiro_risu01: www
[5170.353] lucentsnow: やべーよｗ
[5171.914] yoshikawa_yo: www
[5173.218] zyangara2: 向こう行くときは渡す用の財布用意しろって言われた事あるｗ
[5174.775] korekitwitch: それは面白いｗ
[5175.009] (S)ましゅダヨ: ( ߹ㅁ߹)
[5182.915] 5don: まさか…
[5188.424] ミジンコ隊長: ええええええええええ
[5188.639] (S)ましゅダヨ: うーーーーわ
[5194.581] (S)ましゅダヨ: 映画じゃんか
[5196.552] ミジンコ隊長: ききてー
[5198.835] chin_56_: アジト
[5199.790] 反省済2: 波瀾万丈すぎるw
[5201.456] erisuk: あらまぁ
[5204.131] (S)ツィッギー: クレイジージャニーしてるってｗ
[5205.643] evimayo88: 聞いたなこれｗ
[5206.676] 箸くれ: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[5207.333] 5don: ふたたびw
[5208.396] ミジンコ隊長: ｗｗｗ
[5208.863] v_harumi_v: まーた
[5209.322] neojapan01010: ｗｗｗｗ
[5209.610] (S)ましゅダヨ: wwwwww
[5211.646] 闘劇のアルベルト: またw
[5211.741] kame277: しにたがり！？
[5212.472] methotrexate_aym: 命知らずｗ
[5212.746] ミジンコ隊長: 勇気あるなあｗ
[5214.677] chin_56_: 強行動
[5215.371] aranami0: イカれてるｗ
[5215.396] (S)ましゅダヨ: ただもんじゃないやんww
[5217.269] daichan1200: 押し売りかぁ
[5218.044] shibaponz: 土地あんまり関係なくて草
[5223.979] shougik: 何に命賭けてるんだよｗ
[5224.716] shiro_risu01: 筋金入りの やだ
[5226.617] 5don: 二人分ねw
[5226.762] lucentsnow: 究極のずるいやめろ
[5229.670] erisuk: ふとっぱら
[5234.418] (S)Sunsun_the_Sunfish: 胆力あるなあ
[5235.312] daichan1200: それ本物の宝石なの？
[5237.197] (S)ましゅダヨ: これはずるいw
[5243.529] (S)noriyuki3: それは忘れられないな
[5246.935] ミジンコ隊長: ぜってーいかねーｗ
[5248.600] (S)ましゅダヨ: 行きたくねぇww
[5264.114] sindou_ume: ぜーったい行きたくない
[5265.606] (S)ましゅダヨ: いいっていってたもんねうめちゃん
[5269.870] nekositi: 前にも言ってたな
[5272.267] chin_56_: フランソワ
[5272.759] daichan1200: ヨーロッパは全部そうやで
[5274.068] daylami1994: フランスは治安がなあ...
[5274.743] v_harumi_v: 一度行ってみたい
[5274.809] shiro_risu01: おおー
[5279.572] (S)ましゅダヨ: それすごーい
[5280.663] ミジンコ隊長: すげー
[5283.340] sn0wf0x3: www
[5283.850] lucentsnow: 銀座ｗ
[5285.258] zyangara2: 都市が設計されてるよね
[5290.180] adachikufgc: でも飛行機乗り遅れさせられた
[5311.690] てべす1103: その分電車が時間通りに来なかったりするよね
[5311.810] (M)(S)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[5315.902] korekitwitch: パリだけ治安維持されてるんだっけ？
[5324.474] (S)ましゅダヨ: ディズニーリゾートもそうしようとしてるよね確か
[5328.264] kame277: んっ
[5330.627] ミジンコ隊長: ん？
[5330.935] adachikufgc: パリが一番スリいる
[5333.692] 5don: おや
[5337.729] chin_56_: 闇フランス
[5338.952] onore22: 特級呪物CDはフランスだっけ
[5340.084] kaban1192: フランスいってほしいな
[5342.458] (S)セルベリア: パリ散歩
[5343.115] neojapan01010: 闇旅行！？
[5349.564] lucentsnow: フランスでジャズ聞いてコーヒーのもう
[5351.220] njpw2017: 東南アジアじゃね？
[5363.006] yoshikawa_yo: 江ノ島でええやろ感の7人
[5363.589] adachikufgc: ラオスのゴールデントライアングル
[5372.777] shougik: ラオスは首都が日本の地方都市みたいな感じ
[5388.803] カラメルキッチュ遊撃隊: 僧侶とかめっちゃ多いんだっけ？
[5398.028] adachikufgc: 世界一の風俗街
[5406.221] lucentsnow: 三丁目の夕日
[5406.525] sindou_ume: トタン屋根？
[5417.451] kaban1192: 闇旅行ｗ
[5418.567] shibaponz: それはただの旅行提供なんよ
[5422.273] neojapan01010: おっかなすぎるｗ
[5433.808] chin_56_: 闇がね
[5433.811] 5don: そろそろ１年
[5436.486] そらたま: 戦国時代？
[5442.630] だいこん_: umeCossack
[5443.845] kame277: いいね
[5449.721] goozy009: 青森散歩
[5459.075] tabibitox: やめとけ
[5467.726] 勤務中: 電波少年や
[5468.822] (S)ましゅダヨ: いいねえー
[5473.494] ガチくんコス転売ヤー: ひろゆきがアフリカとか行ってたな
[5474.102] gorogorogorn: ダンゴ調査隊
[5474.517] 闘劇のアルベルト: オモロそうw
[5475.412] goozy009: 闇鍋より怖い
[5475.792] Maloneal: どうでしょうだな
[5477.721] squall_2017: このメンツで旅行はさすがにヤバすぎるw
[5478.567] evimayo88: 闇旅行いいなあｗ
[5480.257] sn0wf0x3: おもしろそう
[5480.744] マイネームイズアキラックス: どうでしょうやん
[5480.886] (S)demonbane_twosword: ｗｗｗ
[5481.009] zyangara2: 闇鍋ならぬ闇旅行
[5482.634] (S)ツィッギー: 水曜どうでしょう
[5483.456] adachikufgc: 水ダウやん
[5485.694] 反省済2: 福袋みたいでいいねw
[5489.005] neojapan01010: すっごい文句言われそうでやだｗ
[5489.953] shibaponz: 参加費でどこかわかりそう
[5491.850] amadori3: 闇旅行ｗ
