[47.743] ヒラマサさん: やっぴー
[19372.629] groovelivegroovelive: お、レールロードここでか
[19377.041] timiyonion: さっきのブリーフの奴もコーサーなの
[19427.537] groovelivegroovelive: そうそう
[19442.981] エントイ: 理解がはやい
[19472.472] onesolo52: ここの地下のバーにはもう行った？
[19480.224] toshiunk: ドラマ面白かったから、始めたの？
[19503.823] dj_now_: ramuzuNear
[19506.135] timiyonion: ここ何人か仲間がいる町
[19535.553] (S)mimimiumiu1: 金なしか
[19536.045] groovelivegroovelive: 50口径買っとけ
[19567.727] うしとら_: 入り口の方だっけ
[19568.865] こんすたんてぃん: 武器や入り口近くのロボット
[19585.061] groovelivegroovelive: ここの隣
[19640.167] ユウト7: ガンバレ～🍂
[19646.286] toshiunk: スタイルいいグール
[19666.032] うしとら_: ｗｗ
[19689.777] timiyonion: それめっちゃべんりやぞ！
[19693.807] groovelivegroovelive: 武器屋ここの隣だぞ
[19757.397] 1111_kou: 38口径そんなに要らなそう
[19823.212] groovelivegroovelive: 武器屋はロボがやってる
[19853.550] (S)mimimiumiu1: おねぇ感
[19855.975] うしとら_: クレオさん
[19862.603] groovelivegroovelive: セクシーすぎる
[19871.621] 1111_kou: スーパースレッジ北
[19897.769] 温泉まんぜう: ユニーク欲しいな
[19911.726] (S)mimimiumiu1: パーティのはじまりだぜﾋｬｯﾊｰ！ﾁｭﾄﾞｰﾝ
[19913.962] groovelivegroovelive: 注文票もあり
[19923.238] うしとら_: 10mm枯渇しがち
[19950.452] timiyonion: さっきの移動速度のあし世界変わる
[19969.849] groovelivegroovelive: 移動速度いいな
[19994.024] うしとら_: たっか
[19995.825] ダイナモカルパス: ラムちゃんがつける装備だよ
[19997.590] groovelivegroovelive: たっか
[20007.569] timiyonion: グールの店の方
[20020.657] ダイナモカルパス: ユニーク装備は高いのよ
[20060.044] ダイナモカルパス: それクソ便利
[20086.977] 1111_kou: さっきダンスが少し話たがってたよ
[20117.213] てんしちゃん極: ダンスなかなかナイスな髪型だな
[20137.961] (S)mimimiumiu1: 謎理論で足が速くなった
[20145.846] daiyankei: いまパンイチの上からパワーアーマー着てるのかダンス
[20160.446] groovelivegroovelive: あー、うーん、うーん
[20202.888] groovelivegroovelive: お、クエストか？
[20238.007] てんしちゃん極: 語るねぇ
[20245.708] timiyonion: まだ何も言ってないのに・・
[20250.140] dj_now_: 可愛いなあImTyping
[20284.279] donkoi_t: う〜ん
[20300.229] daiyankei: この辺の話は３やってるとあ～ってなる
[20305.083] groovelivegroovelive: マクレディ会っとく？
[20311.680] watcher_japan: はっや
[20313.240] timiyonion: どんなことがあったの？→うーん、うん
[20314.110] (S)mimimiumiu1: 草
[20321.682] うしとら_: 片想い
[20336.010] クレイロもちょもちょ: アダムス空軍基地はFallout3に出てくる
[20363.069] てんしちゃん極: い、いけ！
[20364.860] うしとら_: foすぐ時間溶けちゃう
[20367.353] groovelivegroovelive: バーにイケメンいるぞ？
[20369.177] (S)mimimiumiu1: いこうぜ
[20378.390] anon0529: ヒャッハー！
[20390.898] donkoi_t: 行こう
[20402.832] (S)mimimiumiu1: やめとくか
[20408.945] timiyonion: そもそも行ける？レベル的に
[20409.448] dszchi: なんかあったっけ？
[20412.556] daiyankei: そんなことないと思うけど
[20416.946] クレイロもちょもちょ: なかった気がする
[20425.607] 愛染愛染: いくべ
[20435.162] うしとら_: ワクワクしてきたぞ
[20443.563] 愛染愛染: やりたいよーにやるのが一番おもろい
[20445.610] てんしちゃん極: パワーアーマーきれば大丈夫だろ！
[20446.281] timiyonion: クエストがレベルで出るんだよ
[20453.324] groovelivegroovelive: ヌカワールドに行きたくてしかたねえ
[20453.894] うしとら_: ｗｗｗｗ
[20460.777] 愛染愛染: ？
[20461.381] (S)mimimiumiu1: wwww
[20467.098] (S)mimimiumiu1: え？
[20468.267] groovelivegroovelive: それ入口の施設な
[20478.572] oka_people_: 裏4
[20486.103] dszchi: なわけw
[20487.940] 愛染愛染: クエストはまだやろ
[20505.297] opennnnnnnn: 早くヌカの洗礼浴びてこい
[20506.590] てんしちゃん極: ダンス頼りになるね
[20510.635] (S)mimimiumiu1: ｶﾁｶﾁ
[20524.939] groovelivegroovelive: みみっちい
[20542.058] daiyankei: ２０日たつと常駐の敵は復活するよ
[20546.721] うしとら_: つんよ
[20551.522] 摩利支天尊: 一度でもエリアの制圧に成功すればクリアと書かれる
[20592.240] hirobrahman: ヌカワールド序盤は連邦に戻れなくなるからセーブした方がいいよ
[20603.925] timiyonion: レベル準拠でクエストが出るんだが、それがまだなんじゃないか
[20610.423] daiyankei: 地下鉄の入り口からいける
[20615.156] groovelivegroovelive: ここが駅じゃなかったっけ？
[20616.755] dszchi: クエストにヌカワのやつあるはず
[20642.308] (S)mimimiumiu1: お、重傷者
[20645.235] onesolo52: いい悲鳴が聞けそうだぜ・・・
[20648.588] 愛染愛染: 痛そう
[20651.502] watcher_japan: なんか始まったな
[20661.917] 木下ともお: ヌカワールドクリアするだけでも相当時間かかる
[20664.176] (S)mimimiumiu1: 生ガキを食べちまったんだ
[20720.139] groovelivegroovelive: やっちまえ
[20727.165] うしとら_: 腹痛ハーヴェイ
[20744.391] (S)mimimiumiu1: ﾇｶﾇｶしてるぅん
[20774.096] daiyankei: なんで受け取らないんだろうねぐへへ
[20791.585] groovelivegroovelive: 音でっか
[20820.493] (S)mimimiumiu1: ゆりかもめ
[20827.811] 愛染愛染: 今なんレべ
[20834.792] groovelivegroovelive: ひよるな
[20843.917] (S)mimimiumiu1: いける
[20844.282] 摩利支天尊: やべえと思ったら好きに戻れるよ別に
[20844.725] 木下ともお: ワールドで30以上になればいいんだ
[20845.678] 愛染愛染: いけるさ
[20847.309] うしとら_: いくべ！
[20857.163] daiyankei: いってからかんがえよう
[20870.146] groovelivegroovelive: 連邦のレイダーを代表して頑張れ
[20882.926] うしとら_: 夢の国ダァ
[20883.652] 1111_kou: www
[20927.123] groovelivegroovelive: ゲイジきたーー
[20931.096] daiyankei: 堀内賢雄きたあ
[20933.406] 愛染愛染: 罠かよ
[20935.800] taka8caso: そうだよ
[20941.514] うしとら_: ハーヴェイにやり
[20946.878] watcher_japan: gmばっかの世界
[20954.895] opennnnnnnn: ブラピか？
[20958.329] anon0529: ケロッグといいゲイジといいイケボだなぁ
[20967.739] (S)mimimiumiu1: 次見かけたらやりましょうや
[20969.536] groovelivegroovelive: ブラピの声やな
[20981.520] (S)mimimiumiu1: 新浦安到着
[21038.715] hbmh1122: ヌカワールドに来たのか
[21066.012] 愛染愛染: ダンスー？
[21080.241] (S)mimimiumiu1: タレット腹立つ〜
[21080.263] groovelivegroovelive: ワープしてこいダンス
[21081.738] 木下ともお: はぐれちゃった
[21081.804] 1111_kou: 締め出された
[21127.155] (S)mimimiumiu1: タレット自宅前に設置したくなるな
[21144.771] 愛染愛染: 指示厨ダンス
[21156.084] 木下ともお: 応援してくれてる
[21216.447] 愛染愛染: 周りでウロウロしてる
[21227.068] すねーく1_0: unkochanFever
[21228.116] 愛染愛染: ⁉
[21247.200] (S)mimimiumiu1: バカダンス
[21261.700] うしとら_: 温まってきた
[21269.082] dszchi: ロケットの噴射を耐えるんだからこの程度
[21308.164] (S)mimimiumiu1: はい
[21362.717] (S)mimimiumiu1: 割と余裕ですな
[21408.932] ディディ24: アーマーやばい
[21431.228] ディディ24: 修理しに行かなきゃ
[21444.049] (S)mimimiumiu1: ジワジワと落ちた
[21460.894] onesolo52: 全部の罠にかかるじゃん
[21476.088] (S)mimimiumiu1: あららら
[21478.053] 愛染愛染: アスレチック
[21480.746] 木下ともお: 柱ピョンピョン
[21506.567] (S)mimimiumiu1: ぬかつくうー
[21523.960] groovelivegroovelive: おお
[21587.970] groovelivegroovelive: メロも興奮してる
[21605.382] 愛染愛染: メロワロタ
[21617.700] うしとら_: ｱﾁﾁ
[21618.347] てんしちゃん極: 腕が！
[21623.554] groovelivegroovelive: 腕がとれたぞ
[21637.670] てんしちゃん極: ？
[21649.194] (S)mimimiumiu1: マリオRPG思い出した
[21706.879] groovelivegroovelive: 左腕アーマー破損
[21713.828] (S)mimimiumiu1: 40個あります
[21790.519] (S)mimimiumiu1: 我に返った
[21817.226] 愛染愛染: ダンスも帰りたがってる
[21826.276] 摩利支天尊: 普通に戻ればいい
[21918.357] (S)mimimiumiu1: 鍋のあと
[21933.313] marcobugenhagen: w
[21942.430] 木下ともお: ダンスー？
[21943.403] てんしちゃん極: ダンス蜂の巣でワロタ
[21943.655] 愛染愛染: ダンスさよなら
[21945.070] (S)mimimiumiu1: wwwww
[21949.628] うしとら_: ダンス蜂の巣
[21950.315] (S)mimimiumiu1: 蜂の巣
[21951.069] marcobugenhagen: おとり
[21951.126] 温泉まんぜう: くそわろた
[21960.052] groovelivegroovelive: ダンスで良かった
[21963.596] 愛染愛染: ダンスはいい加減ヘルメットかぶれ
[21970.988] marcobugenhagen: ダンスがやばい→逃げる
[22024.108] dorako27: マスターはもっとイライラするｗ
[22056.862] すねーく1_0: パキッ
[22121.463] てんしちゃん極: ダンスをいけにえにしよう
[22132.494] (S)mimimiumiu1: べびネズミ
[22170.963] groovelivegroovelive: 体重計トラップな
[22184.948] てんしちゃん極: 草
[22186.077] (S)mimimiumiu1: ﾀﾞｰｰｰﾝｽ!
[22196.139] groovelivegroovelive: ダンスが壁ににった
[22201.212] 木下ともお: とりあえずダンス突っ込ませて解除しよう
[22205.351] 1111_kou: 常にダンス先に歩かせれば解決
[22256.356] (S)mimimiumiu1: ｼﾞｮﾝｺｱ
[22294.811] groovelivegroovelive: 初見だとこえーな
[22312.751] kanaaaaaaaaaaa: ヘアピンなんてなんぼ折ってもいいですからね
[22332.150] groovelivegroovelive: 足アーマーも破損
[22335.499] 温泉まんぜう: FOは時間溶けるのはっやいよな
[22339.831] (S)mimimiumiu1: 翼の折れたエンジェル
[22367.215] groovelivegroovelive: 撃って壊していいぞ
[22367.428] fox_kova: 今日は結構やってるね。終盤か
[22370.691] kanaaaaaaaaaaa: ホアントホウシニツトメマス
[22431.795] mewmewmew123450: ここじゃタバコ吸えないですね！
[22462.950] うしとら_: この仕掛けうまいなｗ
[22469.016] 愛染愛染: トホホ
[22484.221] akazukin_san: ｗ
[22494.717] かじらぎ96: 後方腕組み彼氏
[22495.942] うしとら_: ダンスあとで説教
[22497.115] 木下ともお: 火は良いけど水はダメなんだろうな
[22498.038] 愛染愛染: ダンスは応援だけ
[22500.012] (S)mimimiumiu1: バカは可愛そうっていってたやろww
[22526.284] 愛染愛染: 安全になったから登場
[22592.393] (S)mimimiumiu1: パンがねぇもの
[22598.761] groovelivegroovelive: ドジっ子だな
[22601.086] kanaaaaaaaaaaa: クソじゃないが？
[22618.153] 1111_kou: セーブしておいてもいいかも
[22654.643] groovelivegroovelive: なんとか生きてる
[22678.248] groovelivegroovelive: バヨネットつおい
[22747.489] 木下ともお: コンソール
[22907.719] groovelivegroovelive: 序盤まあまあ長えな
[23021.093] akazukin_san: こっからが地獄
[23045.626] nobita18: あ
[23074.575] dorako27: 硬いな
[23099.804] groovelivegroovelive: お、きた
[23147.564] groovelivegroovelive: ここクリアすれば自由だぞ！
[23162.993] daiyankei: コルター、ダンスと声帯一緒なんよな
[23165.631] 愛染愛染: 勝てるさ
[23170.057] 1111_kou: ダンスと殴り合わせるか
[23239.774] groovelivegroovelive: 漁るのやめられねえよ
[23242.528] dorako27: 今の武器
[23289.110] うしとら_: インターコムがどうとか
[23374.505] すまーとうぉっち001: さあ勝てるかなぁ
[23377.744] groovelivegroovelive: 水鉄砲攻撃
[23379.803] opennnnnnnn: がんばれ
[23384.239] (S)mimimiumiu1: 赤い武器？拾ってたな
[23397.947] dorako27: いあそれ
[23401.977] akazukin_san: それ
[23403.315] (S)mimimiumiu1: それだ！
[23503.830] 摩利支天尊: コル ー  配
[23523.089] うしとら_: グレ大放出
[23564.883] すねーく1_0: ramuzuPi
[23620.368] (S)mimimiumiu1: 余裕ですな
[23623.161] ちゃも3: いいね
[23635.433] (S)NekoZaemon1: ramuzuMello
[23655.374] うしとら_: すんごい
[23657.189] dorako27: レア防具
[23658.655] (S)mimimiumiu1: いただきましょう
[23667.440] 愛染愛染: つよ
[23686.654] dszchi: DLCパワーです
[23703.903] opennnnnnnn: 戻しちゃったじゃん
[23740.202] うしとら_: ｽﾊﾞﾗｼｨ
[23819.146] akazukin_san: 酒持ってないの？
[23850.657] groovelivegroovelive: パワーフィストだ
[23882.475] 温泉まんぜう: ゲェジ
[23936.744] oootoaooo: ぬかワールドきた
[23943.925] akazukin_san: ここ出たら感動するぞ
[23997.241] dorako27: きちゃー
[24010.408] wolf_vltt: かわよ
[24047.760] h_e_ki: コカ・コーラはまずい
[24054.863] asimechan: ヌカじゃないとまずい
[24068.573] akazukin_san: かわいい
[24071.018] daiyankei: きた
[24078.599] うしとら_: まつげすごい
[24080.354] wolf_vltt: コーラだよニラだの
[24081.239] akazukin_san: ｗ
[24101.818] dorako27: ｗ
[24102.148] kokohan4: 怖い；；
[24111.607] h_e_ki: 悪党どものユーモアセンス謎にいいんだよねｗ
[24130.179] (S)mimimiumiu1: ぬかつく
[24167.078] うしとら_: ｗｗｗｗ
[24184.369] daiyankei: 機械に明るいレイダーがいたらしい
[24186.965] kokohan4: バトルロワイヤルみたいな？
[24207.318] (S)mimimiumiu1: おつかれした
[24207.666] daiyankei: それスリでとれるよ
[24211.265] kokohan4: お疲れ様でした
[24216.214] うしとら_: おつでした
[24216.313] dorako27: 終わりかー
[24217.812] 温泉まんぜう: おつした
[24249.552] dorako27: 飾っても
[24274.429] daiyankei: おれも飾ってる
[24280.960] kokohan4: パワーアーマーは飾り
[24284.422] すまーとうぉっち001: 俺も飾ってるｗｗ
[24293.120] 摩利支天尊: 新しいほうを気に入ったなら、ロマン性以外ではもう要らない
[24303.538] (S)mimimiumiu1: 側をパワーアーマーに着けて飾ってる
[24310.888] (S)mimimiumiu1: 襲撃されてるwwww
[24314.372] dorako27: ｗｗｗ
[24334.413] kokohan4: 襲撃してきたな
[24349.169] 濃厚魚介つけ麺: 村を武装しないとな
[24357.070] kryjpn: フォールアウトのアマプラの奴見ました？
[24378.779] dorako27: 村を強化しないと
[24384.457] daiyankei: 村人全員にミニガン持たせると面白い
[24414.531] (S)mimimiumiu1: 村人全員スタローン
[24446.077] dorako27: おつー
[24447.174] うしとら_: o2
[24454.286] donkoi_t: おつ
