[49.886] えたーなるぶるー: culonyanKonChadoumodoumo
[11022.587] (S)Bakobako1234: ２の発動の早さが生きた
[11030.958] 欠損: カゲの方がやり易そう
[11043.109] (S)naginagi99: 前はユリアンには意外とカゲいける、って言ってた気がするんだけど
[11044.097] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[11057.089] lyo0822: りゅうせいはカゲいけるはずなのにって言ってる
[11057.393] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[11057.916] (S)アベ0206: こんにちは りゅうせいのモチベすごいですな
[11061.720] (S)Bakobako1234: すごいなぁ
[11066.517] CryoSnake: nice
[11068.298] Armaeterna: どうしても前に出ないといけない分カゲ不利だと思うけどなぁ
[11070.210] (S)poki35: つえええ
[11072.659] umesecond: 柔道
[11074.388] damumeta: とうりゃあ
[11082.513] admjg23654: 提出された宿題に×印をつけて叩き返す
[11082.921] (S)osataro: 投げゲー
[11083.597] mmiiacha: りゅうせい君の対策が・・・・
[11087.207] _こぺ_: 正直プレイヤー性能だと思う。普通の人がやるとカゲクソきついと思うで
[11088.251] hs0313: カゲの投げた後の間合い近い
[11100.267] (S)Bakobako1234: ここまでカゲ戦やってるユリアンもいなさそう
[11105.497] 欠損: ソニック飛ばれて3段決められるダメージが、ガイルの方が痛い気持ちがある
[11107.022] berurusuko: クソきついはなくない
[11115.496] damumeta: ユリアンクソキツイよ。リーチ差えぐいからね
[11135.296] _こぺ_: 熱帯でカゲに困ったことがほとんどない
[11144.964] (S)Bakobako1234: PogChamp
[11150.594] (S)naginagi99: 通常技の振り合いはユリアンに分があるけど、エイジスから逃げる手段もってるカゲはトータルではありかも
[11150.605] diediedying: ガイルでも最近はずっと勝ってるよなりゅうせいユリアンに
[11155.409] (S)lesame: 読みあいにならずｗ
[11155.695] lyo0822: まぁエイジスここまで処理出来ないと始まらないか
[11159.842] (S)アベ0206: リーチ差あると思うんだけどなんで地上戦勝ててるんだろ・・・
[11187.520] kimie_white: 灼熱の使い方だな
[11200.771] (S)Candy_yu317: 自分がユリアン戦ヘタなの置いといても影使ってる身とすればユリアンゲロキツなんだがウメさん勝ってて混乱する
[11201.261] (S)titilrin: 灼熱で相手の意識を散らしてる感じ
[11210.214] (S)Bakobako1234: おしい
[11220.143] (S)lutz001: ニルバーナが・・・
[11228.201] hs0313: 今Vトリ使ってもKOできなかったか
[11229.742] fongsaiyuk_: is that ryusei?
[11248.891] 欠損: 距離外して飛び道具と置き打撃狩るのがリーチだけではだめなのでは？
[11249.395] Chunkydunky0: yes its his pc account @fongsaiyuk_
[11252.241] doumcono: キャラ相性とプレイヤー性能いっしょにして考えちゃうとね
[11253.390] berurusuko: カゲうめちゃんとサコさん結構強いって言ってたのにまだそんな認識なのね
[11253.828] (S)多抜深夜: やった
[11258.726] (S)tabibitox: やってない（やった）やっちまった（やった）
[11274.420] lyo0822: ｗｗ
[11276.403] (S)Bakobako1234: 失礼
[11277.121] (S)feel2525: 失礼
[11280.400] (S)Bakobako1234: MercyWing1
[11290.716] (S)poki35: でも勝つー
[11292.440] (S)lutz001: ご無礼チョップ
[11294.106] 宇佐見連コ: ﾁｮｯﾌﾟ
[11294.586] (S)鶴太郎: 失礼！
[11297.769] k4nkokuzin: 殺っちまった
[11297.993] yamayama0520: 拳骨
[11299.975] (S)Bakobako1234: つええ
[11306.874] doumcono: りゅうせい「格ゲーおじの中段だわ」
[11313.369] (S)thunderbolt0422: umeYung
[11315.739] みやもっさん: サコさんカゲBランクに置いてたようなw
[11316.008] (S)Candy_yu317: 影でのユリアン戦の意識教えてください！
[11325.458] (S)Bakobako1234: 負けないカゲ
[11326.631] 宇佐見連コ: りゅうせいって普段どこで配信してるの？
[11332.707] sin6994: YouTubeです
[11333.590] umesecond: りゅうせいワードセンスいつもあるなｗ
[11340.967] radi38: 誰かxxさんの連勝を止めてくれよ
[11341.264] 宇佐見連コ: ありがとー！
[11343.347] (S)アベ0206: ユリアンだけ当たる距離からかなり灼熱打ってるのと飛び絶対落とすマンがすごい
[11343.362] yomogi610: 今してるよぉ
[11347.014] falaoh: sakoさんはBランクやね
[11360.592] balthazar000: 負けないって事かぁ
[11369.408] blachijp: りゅうせいで２窓するか
[11378.572] (S)lutz001: 中距離の弱さがどうしても
[11384.283] (S)tabibitox: エンシェントアイテム
[11388.733] berurusuko: Bって言ってたけど弱いって言ってるわけじゃないからな
[11396.364] doumcono: り「この人Banルールとか関係ねーだろー」で草
[11398.922] (S)Bakobako1234: ウメちゃんのカゲは正直サブキャラの練度じゃない感じはある
[11400.646] 欠損: よく投げ抜け出来るなー
[11404.910] (S)Candy_yu317: ただ苦手キャラが多い
[11405.244] (S)thunderbolt0422: 影は火力上がったけど、地上ゲロキツなのはs4から変わらないよね
[11444.235] 欠損: 抜けの早さ敵に同時入力なのかな
[11454.991] (S)多抜深夜: カゲもあるよと匂わせるだけで相手ハガイルだけやてりゃいいとならなくなるので意味はある
[11504.611] (S)Bakobako1234: umeSalute
[11509.599] ましろン: このゲームの弱キャラって隆とアレクくらいだろ
[11517.016] あっと驚くイマイさん: 待って！なんか影は勝てないみたいな感じで話が進んでない？？
[11531.642] (S)Gordstorm: umeBoom
[11533.452] learning_2_play: kage 
[11549.280] damumeta: マスター以上のカゲの少なさで察して
[11568.027] (S)アベ0206: 勝率安定しないキャラだなとは思う
[11570.155] (S)Hitode_noko: カゲの上方修正を狙った高度な情報操作
[11573.719] (S)thunderbolt0422: s5は弱キャラいないよ
[11576.728] (S)ゴサク: 出せる相手いるならいいんじゃないの？
[11577.383] cashewnuts1273: ウメちゃんが強いのかカゲが強いのか
[11579.489] (S)lutz001: 波動さえ飛べば・・・
[11582.060] しまむら831: こんばんは、今日の本編はなんでしょうか？
[11588.711] berurusuko: うめちゃんが負けてるのはキャラが弱いからみたいなのはやめたほうがいいよね ここがきついはわかるけどね
[11589.842] hojihojidx: オフの大会が再開したとして、レバーとヒトボ二つ持ち歩くウメさんが想像できないｗ
[11594.496] (S)Bakobako1234: 使ってて楽しいキャラではある
[11596.987] Moyashi300: さすがにカゲよりガイルの方がユリアンいけると思うよ
[11604.648] librabird: 隆と合体して殺意に戻ればいい
[11611.100] _こぺ_: スト５が本編じゃろがい
[11617.992] (S)アベ0206: リュウがいれば・・・リュウどこ・・・
[11621.689] あっと驚くイマイさん: 真・殺意爆誕
[11622.983] (S)Bakobako1234: MercyWing1
[11625.862] TEIKETTO: 波動が是空の刻でもダメかね？
[11635.750] たあぼ0126: MercyWing1
[11639.367] pandascal: 20分くらいに戻ってきたけどむしろ勝ってるんちゃうの
[11639.687] adachikujin: mk出たね
[11640.563] (S)thunderbolt0422: umeYay
[11643.397] syoten: キエエエエエエエエエエエエエエエ
[11643.414] (S)inflamessx: umeSmoosh
[11645.721] (S)arigato_arigatou: ウメちゃんがこんなワクワクしてるのはホント珍しいからね
[11649.268] (S)Bakobako1234: たかしとカゲが一つに？
[11656.299] たあぼ0126: 夜中は何かするんですか？
[11659.528] (S)Hitode_noko: 殺意はよ
[11662.850] (S)多抜深夜: ガイル戦バッキバキに仕上げたユリアンはいっぱいいるだろうけど影も同じレベルで仕上げるユリアンは少ないだろう
[11663.581] (S)tabibitox: カゲがたかしを吸収すれば殺意になれる
[11668.147] Moyashi300: たかしとカゲが1つになるとリュウになるかもね
[11669.908] (S)総フロ: 別に弱いキャラじゃないよ 強いキャラでもないけどな
[11689.110] たあぼ0126: そして当て身が４つになる
[11693.844] kimie_white: ウル４殺意がつよすぎた
[11694.688] (S)lutz001: ピッコロも神様吸収して強くなったし隆も吸収しろ
[11703.150] あっと驚くイマイさん: どうして春麗は救われたのにリュウはだめだったんですか？
[11718.682] (S)thunderbolt0422: たかし だから...
[11719.972] (S)Candy_yu317: 影とリュウが合体して真隆に！？
[11725.805] (S)Bakobako1234: カゲも俺がオノレの強さと認めろって言ってるしな
[11728.499] librabird: 隆吸収してVT隆のになったら目も当てられないが
[11739.392] _こぺ_: リュウの影でケンもわりと救われてないような...
[11739.438] あっと驚くイマイさん: ここでリュウそんな弱くないだろまでがテンプレ
[11739.558] (S)lutz001: 小野がタカシを当身キャラだと思ってるから
[11749.623] (S)Hitode_noko: たかしは何故か当身技だけ増えていく
[11750.748] (S)arigato_arigatou: 隆が当身キャラになっちゃったのは背水逆転のせいもあると思う皮肉
[11758.490] ryo330: 師匠に近づいてるだけだから・・・
[11764.242] (S)多抜深夜: 排水はケン定期
[11766.773] daruma2597: 胴着が多すぎるのが１つかな
[11767.906] (S)Candy_yu317: 3rdの見栄えに引っ張られすぎたんや..
[11770.717] (S)てべす1103: それケンでは？
[11777.914] (S)Hitode_noko: 背水はたかしじゃ!...
[11778.246] (S)thunderbolt0422: 熱帯のリュウは当て身狙いのクソキャラ
[11781.675] teteton555: タカシって今強いの？
[11783.565] たあぼ0126: なら上波動覚えんかい！
[11786.168] (S)Bakobako1234: umeSnooze
[11797.574] Moyashi300: たかしは弱いよ
[11801.507] aimon2250: 背水って何年前なんゆ
[11802.536] あっと驚くイマイさん: 上位が強すぎるから結果弱いになってしまう
[11804.503] (S)naginagi99: 3rdのリュウも全然キャラダイヤ上じゃなかったやん・・・
[11805.351] hojihojidx: 実際パリィは盛り上がる
[11807.675] berurusuko: リュウの風評被害
[11809.249] (S)総フロ: あんなクソ当身で排水できるわけないだろ
[11814.719] (S)lutz001: 遊ぶ分には十分強い。大会では勝てない
[11827.980] (S)Hitode_noko: せめて1フレから発生にしろ
[11828.377] (S)新福菜館マン: ケンはケンで何故こんな感ある
[11832.435] (S)アベ0206: 波動あんだけうまいんだから斜めと暫空打てるやろがいと思っちゃう
[11843.595] (S)~MISSING_COMMENTER_INFO~: so kage and cammy game is 50-50
[11844.107] (S)てべす1103: 全1リュウ使いって誰かね
[11844.216] あっと驚くイマイさん: でもケンピさん強いやん？
[11851.808] radi38: ケンはミニえいたが多すぎて
[11857.141] とりあえずちさと: 全キャラ当身持ってる3rdと比べるのがまず間違い
[11859.082] berurusuko: いちおうリュウで背水の再現してるし狙ってるとは思うねカプコン
[11861.772] falaoh: 胴着使うなら豪鬼使えばいいのでは
[11882.218] Moyashi300: ケンもトナメ向きのキャラじゃないよね。ワンマッチならまだしも。
[11886.894] (S)thunderbolt0422: プロのキャラランクなんてパイロット全部アムロ前提のMS性能みたいなもんだから、キャラダイヤが一般には正解だよ
[11894.074] (S)arigato_arigatou: ウメがリュウを使って背水再現して盛り上がるとカプコンは思ったんじゃない？
[11912.750] (S)Bakobako1234: PogChamp
[11915.643] berurusuko: 実際リュウシーズンワン鬼強かったからな
[11917.235] aimon2250: 流石にそこまでカプコンもバカじゃないと思うが
[11918.221] (S)多抜深夜: 白い胴着？リュウやんけってなったんじゃない
[11923.527] (S)アベ0206: すり身だっけ当身の技名
[11924.346] (S)lutz001: 心眼はいいけど入り身がね・・・
[11927.346] (S)Hitode_noko: MSの性能を活かせぬまま死んでいくプレイヤーがほとんどだもの
[11931.749] あっと驚くイマイさん: 刺身だったかもしれない
[11946.848] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[11954.992] diediedying: 板z誕生日なの？
[11955.632] (S)Hitode_noko: 日和見だった気がする
[11976.145] (S)アベ0206: 役に立たねえｗ
[11977.087] (S)総フロ: あのクソ身は使いどころあんの？
[11981.834] (S)多抜深夜: ウメちゃんと板Zって誕生日めっちゃ近いんだね
[11983.203] (S)tabibitox: 板zはLv39になった
[11985.730] とりあえずちさと: アムロ前提で調整しないと大会上位で使えないゴミキャラが生まれるからパンピーに寄り過ぎるのも問題
[11989.494] damumeta: 強化ストライクに昇竜間に合うかね
[11996.897] (S)Bakobako1234: umeCatHope
[12000.468] hojihojidx: 画面端ずらした
[12000.920] (S)wikokihgrs: リュウとか最弱クラスでしょ
[12043.948] berurusuko: リュウが強いとめちゃくちゃイライラするのはシーズン１で学んだ
[12047.917] radi38: なんじゃぁ！
[12069.884] (S)thunderbolt0422: リュウはクソキャラ。ストレスやばい
[12072.839] _こぺ_: リュウのシャカシャカする動きがイライラする
[12080.178] Moyashi300: しかしウメちゃんグラ潰しうまいな
[12091.302] (S)Candy_yu317: なんだかんだリュウ人口多いし強くなったらリュウＶになりそうだしね
[12122.789] falaoh: リュウは弱くても使ってもらえるから弱くてもいいんだね
[12124.313] (S)アベ0206: みんな使うキャラが強すぎるとリュウ一本になるってのがねえ
[12125.321] youandmeitsnohomokk: CORONA VIRUS 
[12127.106] (S)ebithunder: キャミィも1の方がよさそう
[12145.856] (S)arigato_arigatou: ???「リュウは主人公なんだよ」
[12145.980] (S)thunderbolt0422: 変な動きするリュウがVT2だとイライラやばい
[12163.475] (S)lutz001: だからって追加のVシステムが二つとも当身は酷ない？
[12185.115] heihachi_edajima: 何故大足つかわないですか？
[12190.161] lyo0822: ガイルの出番？
[12191.262] radi38: ガイルの出番か
[12191.466] (S)ebithunder: さすがに疲れてきたかな
[12200.264] (S)tukumi07: 当身２つ追加は実際酷い
[12208.987] berurusuko: 今でさえランクマにリュウ多いからな
[12212.582] (S)wikokihgrs: ドMしか、リュウはできないと思うわ
[12226.360] cashewnuts1273: vs2がコーリン並みの当身だったらね...
[12236.714] (S)Hitode_noko: たかし使いはみんなリュウの夢を見る
[12242.622] woodmud: 5のリュウは確かにクソキャラだなｗシャカシャカして荒らすか、弾撃つしかしてこないもんな
[12262.796] _こぺ_: 今日熱帯に近大Kガードさせた後に必ずVT2するリュウ居てずっとカッコイイポーズしてた
[12262.964] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[12285.151] (S)thunderbolt0422: 熱帯たかしさん...
[12298.599] (S)総フロ: 弱くてもクソキャラ認定されるたかしかわいそう
[12301.550] (S)Hitode_noko: シキビさん強い
[12304.142] falaoh: 弱いリュウで勝つ俺カッコイイしたいん人が多いのか
[12308.439] cashewnuts1273: エイジス凌いだねえ
[12308.471] Moyashi300: このゲーム弾強くないからリュウは前ステで荒らすしかできない印象
[12317.316] takajackson: お疲れ様です！
[12322.081] (S)9211212a0105: リュウのシャカシャカ皆も嫌いなのかw
[12323.403] HeavyBogard: time to take a rest daigo
[12325.770] takajackson: 本日雪山あり？
[12335.022] (S)ndieol: バクステ擦るリュウほどはらたつもんはない
[12338.969] (S)thunderbolt0422: オンラインの弾は結構強い定義
[12348.307] HeavyBogard: your eyes are tired. go to sleep!
[12351.467] berurusuko: 球結構強いけどなあ
[12353.537] AtokJP: !device
[12364.561] (S)denden173: 次やるゲーム決めようぜー
[12366.045] (S)ebimayoo: 板ｚ生誕雪山
[12375.309] damumeta: 前ステに限らずリュウのモーションは変にキビキビしててビキるんだよなあ
[12377.906] ライデン: 雪山なみに大人数で遊べるゲームないの
[12378.119] _こぺ_: 波動拳自体は強いと思う
[12380.913] afg_piyoppia: 弾は開幕だけ強い相手のゲージが溜まるごとにもの凄い勢いで弱くなる
[12399.492] (S)neoneoko: 今日は雪山とかミルダムで何かするのでしょうか
[12409.131] _こぺ_: 決めてないって
[12410.742] (S)べーこん118: オンCPT決まったから他のゲームやんないんじゃないかなぁ
[12411.925] radi38: 予定は未定
[12413.677] berurusuko: 相手にたま抜け意識させられるだけ持ってるのが強い
[12416.021] (S)子亀の親分: 板Z誕生日なんか 
[12416.819] (S)neoneoko: ありがとう
[12425.390] ~MISSING_COMMENTER_INFO~: 前に言ってた１６人でできるかくれんぼって結局なくなったの？
[12427.124] cashewnuts1273: 玉はともかく本体もVTも弱いからなあ
[12432.835] (S)thunderbolt0422: ザンギが弾抜けするのが一番あかん
[12437.713] millioniwashi: スーパーチェリーがゲームくれるって言ってなかった？
[12439.460] (S)Hitode_noko: ウィッチイット？
[12440.800] (S)Candy_yu317: witch itは先生待ちじゃなかったか
[12454.940] (S)rockrockroock: チェリ太郎は昨日送ってたよ
[12472.504] (S)Hitode_noko: チェリ太郎は影廊送った
[12473.744] ~MISSING_COMMENTER_INFO~: そそwitch it
[12474.884] (S)ebimayoo: 16人全員とディスコ繋ぐわけにはいかんしな...
[12477.545] _こぺ_: そろそろ紙
[12488.944] hojihojidx: cptって本戦もオンなの？
[12525.572] (S)Hitode_noko: そりゃあねぇ
[12528.720] itijiku111: 股間アップ
[12529.246] (S)Gordstorm: 未定だったかと
[12531.654] _こぺ_: 半ズボンハラ
[12536.989] berurusuko: 国内大会はもっとオンラインでやってほしいな この状況でできるのがEスポーツの強みじゃんねえ
[12551.784] 浅草四郎: アメリカの収束の度合いによって変わりそう
[12555.694] harasora: うめちゃんちーす
[12558.953] (S)hayama01: umeCatHope
[12560.013] お灸: 雪山やるならナウマンのトレイター回は参加者みんな見るといいよね
[12560.385] oumachang: スト５のネット環境がよかったらね
[12566.843] (S)inflamessx: umeCatHope
[12567.949] (S)lutz001: ラグさえ何とかなればなあ
[12574.626] (S)Hitode_noko: 無観客は前提としてアメリカ次第だね
[12577.294] (S)thunderbolt0422: ネット環境がねぇ...
[12577.967] noppochan: オンラインは回線相性のせいで不平不満で溢れそうなのが難点だね
[12587.331] (S)titilrin: おじ4D2も久々にみたい
[12588.189] _こぺ_: どうしても渡航しないといけなくなるからオフは無いんじゃない？
[12592.465] lyo0822: くにおくんやろっか
[12594.978] (S)ジャンクばっち: ウメさん雪山の他にやりたいゲームまだあるのかな
[12596.290] eremin_39: こういう時JeSUってなんもしないんだな
[12596.600] shuhei5623: ウィッチイットやりませんか？
[12599.401] radi38: アークゲーはかなり安定してるのになぁ
[12604.418] kaituburi: 昨日のチェリ太郎の野良雪山面白かった
[12611.545] kusanagi0825: ガイルかな
[12612.457] sabimura99: 普通の人狼も見てみたい
[12615.379] (S)アベ0206: 海外行けるようになる日はいつになるやら
[12625.057] 再度落選の大統領マルモリ: オンでやってくれるだけでもありがたいと思ってるわ。オン環境がクソなのには不満あるけど
[12643.055] とりあえずちさと: ウメさん雪山のインターフェイス結構知らない部分あるからちょっとだけ知識入れない？
[12665.307] ライデン: 雪山はみんな銃つかいはじめたね
[12666.284] berurusuko: 回線トラブルは絶対起こるだろうけどそこ前提とした大会をやってほしいなあ なんかもっとできそうなんだけど
[12669.384] _こぺ_: 無茶苦茶してきたw
[12669.905] (S)アベ0206: 画面に表示されてる情報とか
[12672.379] (S)Candy_yu317: 画面の情報かな？
[12673.008] (S)Hitode_noko: 画面の見方
[12675.992] (S)wahaha7788: モノラルは治ったのかな
[12691.547] (S)titilrin: スト5でいうゲージとかラウンド情報みたいの
[12701.322] (S)Gordstorm: まーじか
[12703.321] (S)Candy_yu317: よかったよかった
[12710.494] 不渡哲也: よかったー
[12712.631] renoa0521: メンおじありがとー！
[12714.118] (S)アベ0206: ついに声の方向が・・・・わかる！
[12714.488] (S)rockrockroock: おぉ良かった
[12715.631] lun__01: 方向わからんときついしな
[12715.684] (S)poppicorn3: ナイスメンおじ
[12716.575] 何も知らないジョンスノウ: それは大きい
[12717.396] (S)wahaha7788: 大分ハンデだったからね
[12719.967] (S)maddy2623: とんでもないハンデだったしなぁモノラル
[12720.377] ememeume: さすおじ
[12729.237] (S)thunderbolt0422: メンおじありがとー
[12736.849] 浅草四郎: 雪山配信垂れ流して寝る事増えたせいでハイタニに殺される夢見てしまった…KSKは右手斬り落とされてた
[12742.002] radi38: スト5のゲージ溜まった音とかもモノラルだったの？
[12742.045] _こぺ_: 向こうの声は聞こえてるのにこっちの呼びかけが届いてないことが多々
[12745.220] (S)ebimayoo: 流石に雪山で方向わからんのキツイしな
[12746.582] たかぼう: 近くにいるのに探しながら離れる事多かったから・・・。
[12750.978] hoehoeR: マジでモノラルだったのか
[12751.803] sublinear: うつねえ
[12766.090] (S)アベ0206: 雪山で寝落ちわかる
[12779.486] daiki_the_beast: 眠そう
[12782.259] (S)lutz001: フレディVSハイタニできるな
[12782.340] seiji141141: そういえばマウスカーソルでアイテムとか体力とかの詳細見れるのは知ってる？たぶんパッドだと見る機会ほとんど無いよね
[12783.385] (S)ebimayoo: でもyoububeのは聞き分けられたんだよね？
[12787.129] (S)ebimayoo: なんでだろう
[12797.472] berurusuko: 今日の朝三太郎さんの声で起きたわ
[12800.525] une3333: メイリンに「モノラル...」って言われちゃうよ
[12808.162] (S)Hitode_noko: 一方的に声が届かないのは地形や高低差の影響定期
[12813.160] Negativityxd: daigo is my waifu 
[12818.684] とりあえずちさと: パッド操作ってマウスと併用できるんだっけ？
[12849.329] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[12858.858] radi38: 関白宣言海外おじ
[12859.959] (S)子亀の親分: ウメちゃんには回転斬り覚えて欲しいな
[12869.565] hiisan: ミルダムはえらそうなコメが多くてきちぃわ
[12872.587] hoehoeR: 銃使うようになったらおそらくパット不利だよね
[12876.400] (S)yytr42: 新規視聴者も増えてるし画面の見方おさらいあったら嬉しいな
[12877.768] jokusou: ウメちゃん白髪ある？
[12879.448] (S)べーこん118: ウメちゃんサッパリしたね
[12895.583] (S)Candy_yu317: パッドは銃難しいというか無理じゃないか
[12900.580] kitanotonkan: 昨日は何時までやってたんです？
[12910.856] umeharagodaigo: 3ji
[12932.786] ライデン: 雪山には飛びがないから銃強すぎる
[12933.562] (S)Hitode_noko: パッドでも全然当てれると思う。慣れれば
[12945.965] (S)ebimayoo: 21～27時？
[12982.721] (S)wahaha7788: 今年大会ほとんどないんだしネトゲ手出しちゃおう
[12984.151] renoa0521: 雪山でウメちゃんの弾撃ちみたい
[12985.951] たかぼう: 初心者同士だから楽しいのに、ミルダムは雪山ガチ勢も観てるからコメントが厳しいよね。
[13005.143] tomamo722: 今日も雪山ですか？
[13008.221] (S)ジャンクばっち: 顔細くなったわぁ
[13013.430] 不渡哲也: 雪山ガチ勢(笑)みたいなもんやろ
[13016.252] (S)ebimayoo: 雪山ガチ勢そんなにおるんか？
[13022.038] renoa0521: 視聴者多いと荒れやすいよね
[13024.399] (S)thunderbolt0422: メンバーが面白すぎてゲームなんでもいいわw
[13026.251] (S)strange_love00: ホットラインマイアミが上手い人は雪山強そう
[13029.440] umesecond: 横移動があればジャンプはいらない
[13031.865] (S)アベ0206: エアプの自分でも「あああああ・・・それはあかんて！」って思っちゃうことはあるｗ
[13034.174] konjac_0419: そろそろ小学生メインの沼雪山が見たい
[13036.730] diediedying: エアプが多い気する
[13040.369] たかぼう: ガチ勢というか、ガチ勢の配信を観てる人達かな。
[13047.699] (S)Hitode_noko: Q割五分エアプでしょ
[13049.132] nibiru_brave: 昨日sakoさん雪山終わってから個人配信でメッチャ雪山が気になってしょうがないって言ってたわｗ
[13050.206] _こぺ_: 誰かのコメントに乗って便乗勢が叩いてるようにしか見えない
[13052.813] (S)towatakun: ただの揚げ足取り勢
[13056.296] とりあえずちさと: 単純に武器使いこなして無双するウメさんが見てみたい
[13061.735] eremin_39: ミルダムの説教コメマジでうっとしいよな
[13063.328] (S)wahaha7788: 飛行機で漏らしそうになった話の動画のうめちゃんかっこよかった
[13067.001] udonsuki: りゅうせいまた来てますやん熱心な
[13072.543] (S)kaigaizei: sakoさんハマっとるなあ
[13074.968] (S)thunderbolt0422: umeGuile
[13076.297] trickerspkapka: リアルでキャンプ配信とかあのメンバー見てたい
[13078.371] (S)ジャンクばっち: sakoさんの罠ハメすごいもんね
[13083.434] balthazar000: ガチ勢は態々指摘しない。中級者か単なる知識のみの人がやる。
[13084.794] _こぺ_: 大体ブロックし終えたからわりと最近はスッキリしてる
[13085.128] ~MISSING_COMMENTER_INFO~: きょもguile
[13086.269] millioniwashi: 集まる人が面白いから人集まるゲームなら何でも良い
[13087.286] (S)ebimayoo: ミルダムはコメントに絡むコメントがウザい
[13087.888] mmiiacha: なつかしいね飛行機の話ｗ
[13096.408] (S)manot0012: umeYay
[13098.377] (S)アベ0206: 雪山きっかけで出てくるみんなの行動言動が本当におもしろい
[13121.240] royu916: ツイッチで雪山やってもコメントは荒れると思う
[13138.520] kaituburi: 感情移入すると、チームが勝って欲しくなって、無意識に説教ムーブになりやすい
[13138.773] (S)manot0012: ミルダムはヤフコメくらいの民度なイメージ
[13139.763] 無心に: 説教勢の生い立ちが気になる
[13143.663] ぴろぴろまる: 今日は雪山ある感じ？
[13146.372] umesecond: 雪山成長してて難易度上がりまくってる
[13153.248] (S)one596: 罠に関してはsakoさんと野田氏が抜けて上手い
[13157.222] matsu_zalem: 確かに最近血の気の多い方々けっこういますね。
[13157.657] hoehoeR: リスナー層たぶん同じよね ミルダムと
[13160.903] niemalsaufgeben: ずっと配信者叩いてるのはしょーもない
[13165.048] karinsama42: この中にも指示厨いるんだろうな
[13170.118] (S)157655: 復活のウメも面白かったしシーフ…うざくね？で袋叩きにあうKSKもよかった
[13174.144] yomogi610: 口だけ
[13175.291] (S)wahaha7788: ツイッチはもうブロックし終わってるからましに見えるだけだね
[13176.590] admjg23654: ↓中K当たっただけでエイジスから一気に
[13180.984] (S)ホナウド: ミルダムだからってのはあまり関係ない気がする
[13193.627] (S)アベ0206: ウメちゃん転生回はずっとニヤニヤしてたｗ
[13198.102] yamatetu: 夜中なのに声出して笑っちゃう
[13205.843] レオパ_: ちぇり太郎の雪山ありますか？
[13214.693] (S)新福菜館マン: 野球観てるおっさん現象やな。俺のほうが守備上手いみたいな
[13215.695] lapistaxx: ミルダムは個々の表記が英数羅列なのも余計に荒れる原因かと
[13220.072] berurusuko: そういう指摘コメントに対する指摘コメをするからコメント内での会話が始まってうるさいのよな 格ゲーみたいに画面ちゃんとみろと
[13228.814] nibiru_brave: ウメちゃんの雪山は下手なＴＶよりマジで面白いｗ
[13230.269] (S)Hitode_noko: うめちゃんとチェリ太郎が復活した回はどっちも好き
[13230.329] ぴろぴろまる: ちらっとサンの配信みたら太郎さんって呼ばれてて笑った
[13232.598] karinsama42: ウメちゃんウメちゃん言いながら命令してる奴本当に気持ち悪い
[13241.336] niemalsaufgeben: 昨日も面白い回結構あったね
[13246.430] (S)thunderbolt0422: がいる渋いなぁ。かっけ
[13247.911] kaituburi: ちぇり太郎は雪山の新しい楽しみ方を発掘してる
[13247.984] (S)65vr39: ウメにゃん
[13252.963] bmpxxfmxx: 30hit
[13253.745] (S)ebimayoo: ちぇり太郎「声かわいい」
[13259.316] (S)strange_love00: 「沼」連呼はちょっとね・・・て思っちゃう
[13264.649] udonsuki: ちぇりたろうてサン？
[13265.567] cqc2018: ミルダムは名前がデフォルトなのがニコ生とかの184みたいになって荒らしやすいんだと思う
[13267.887] (S)Gordstorm: だってウメがイルに命令できないし
[13280.728] kaituburi: ちぇり太郎、普通にチェリーボーイさん呼ばれてたw
[13282.783] umeharagodaigo: 沼ってなに
[13283.191] (S)ChopSticksG: ChopSticksG subscribed with Twitch Prime. They've subscribed for 4 months! ガイル❗
[13283.342] (M)Moobot: @CHOPSTICKSGさん、サブスク登録4ヶ月目！
[13287.822] yamatetu: 三太郎さんが女性配信者にレイドするのチェリ太郎のムーブとして100点満点で好き
[13292.512] (S)thunderbolt0422: 深いねぇ
[13296.036] (S)65vr39: 黒マナ出る土地
[13296.221] niemalsaufgeben: おお
[13297.260] 江戸シーラン: ちぇり太郎の野良はマジで覇権
[13298.227] de4dhe4d: goooo daigooo gooooo
[13298.607] radi38: 珍しいことを
[13300.485] admjg23654: リバサ！
[13303.265] (S)Hitode_noko: パナした
[13304.888] tarantarantaran: umeBoom
[13311.583] (S)wahaha7788: スペアリブ食べたい
[13320.261] たあぼ0126: チェリ太郎は破壊力ありすぎる
[13326.275] balthazar000: 箸さんか
[13329.623] onseisan521: 今日から迷子減るだろうし、コメ落ち着いてほしいな
[13330.053] niemalsaufgeben: チェリ太郎(40歳)
[13335.066] shirokenxx: チェリ太郎人気過ぎて笑う
[13335.660] (S)アベ0206: チェリ太郎爆誕の瞬間はさすがに深夜補正もあって声出して笑ってしまった
[13336.588] nibiru_brave: ウメちゃん雪山きっかけで毎日が楽しみなまである
