[24.304] alyncoo: k4sen5ban
[9661.132] mintia3x3: www
[9661.539] tooyama: ｗｗｗ
[9664.272] まよあん: ｗｗｗ
[9666.096] 梓樹: OW大学卒は真面目でえらい
[9677.920] ~MISSING_COMMENTER_INFO~: CODでまともに拠点のってるやつ見たことないぞ
[9681.243] いこます15: どっちも暴言はひどい
[9681.991] sh_yc: ｗｗｗｗｗ
[9682.262] iguni_ru: ｗｗｗｗ
[9682.600] geesez1: ｗｗｗｗ
[9682.740] 賽の瓦: www
[9682.980] ftchinbk: ｗ
[9683.186] aaeee9999: wwwwwwww
[9683.369] gavrosu: www
[9683.632] ma1pull_gg: wwww
[9684.079] sazanamijp: ｗｗｗｗｗ
[9684.703] tee_tqx: ｗｗｗ
[9684.898] olive2ti: きたきた！！！
[9685.040] yasutaka_000: チームCOD弱すぎるｗ
[9685.113] lovephantom0223: OW卒の方が優秀
[9685.407] tamamajidayo: 草
[9685.877] Natu_er: ｗｗｗｗ
[9686.055] とろとろサーモン: 味方www
[9686.590] iamive6: 張り合うのやめてね 
[9688.119] mintonll: wwww
[9690.314] jaqenfaceless: 乗れよエース
[9691.970] 虎の子七: ＯＷの3が出たって言ってたぞ
[9693.067] まだがスかる: 散ッ！
[9693.562] ma1pull_gg: 味方全員同じこと思ってます
[9693.862] NepNerd: cod民やっぱ民度悪いか
[9694.926] takenokoyarou_no2: チンパンジーcod卒
[9696.301] kiraran134525: 昔のボドドに、戻ってきた？
[9696.589] Natu_er: 香ばしくなってきた
[9697.712] vajilpasta: さすがcod卒www
[9698.011] sideslide555: cod卒はとりあえずキルしたいだけやからな
[9698.301] gavrosu: ow卒のほうが優秀なのか…？
[9698.820] まよあん: ほんと卒業できたんか？
[9698.844] tee_tqx: これだからＣｏｄ卒は...
[9702.629] valture_6969: COD卒は動物園卒
[9703.742] ロート: OW卒はエリート
[9704.113] sazanamijp: っぱVDKはこうでなきゃ
[9704.333] 賽の瓦: COD大学Ｆランかもしれん
[9704.859] joooss123: COD大学←Fラン 
[9710.915] ねるねるねるネ: 血ー騒がないで
[9711.000] aaeee9999: Cod卒さぁ…
[9711.166] Aoshi_404: あれ、味方批判もうしないって、、
[9712.195] lovephantom0223: Cod卒は死体撃ちに夢中
[9712.948] yuki_fps_jp: これはFラン
[9719.047] vajilpasta: ルール無視がcod民w
[9721.863] カバのおーじ: 迷彩解除とか無いのに
[9724.465] ~MISSING_COMMENTER_INFO~: CODなんてホイ卒だろ
[9727.590] Annoymouse: チームフォートレス民はおらんか
[9735.036] ftchinbk: ｗｗｗｗｗｗｗｗ
[9739.299] ftchinbk: ﾜﾗﾜﾗ
[9745.515] Annoymouse: 動きえぐいて
[9746.407] hako850: つよこれ
[9752.021] sideslide555: 動物園にルールなんてねえよ
[9752.525] まよあん: ｗｗｗ
[9754.537] iguni_ru: ｗｗｗ
[9755.236] (S)rushhikakinzz: rushhikakinzz subscribed with Prime. They've subscribed for 4 months! 
[9755.267] iamive6: wwwwwwww
[9756.113] ponyonosioyaki_: www
[9756.330] mintia3x3: wwwww
[9756.369] とろとろサーモン: wwww
[9757.663] NepNerd: wwwwww
[9759.746] valture_6969: わろた
[9760.609] 千原セージー: こんだけ待たされて神ゲー
[9766.007] ROBO_Head07: 味方にキレてきたなw
[9768.941] yasutaka_000: あのころのVDKが見れるのかもしかして
[9774.342] Natu_er: ｗｗ
[9775.542] ~MISSING_COMMENTER_INFO~: おわおわ
[9776.100] いこます15: まじでおもろそう
[9783.189] canta_GG: cod卒はフォーカスできないか
[9785.581] wakamechanbot: 両方cod卒説
[9789.331] ねるねるねるネ: ボドカが大人になってしまった
[9789.369] haatsuz: 1人で戦ってて笑う
[9792.466] yuki_fps_jp: ラインハルトいるw
[9792.939] joooss123: OW大学チームワーク意識高いな！
[9795.386] sh_yc: ｗｗｗｗ
[9795.486] iambetterthanaceu: the finalsの次はこれか、
[9799.226] geesez1: come back vdk
[9804.979] aaeee9999: Cod卒面構えがちげぇ
[9808.280] takenokoyarou_no2: wwwwwwwww
[9809.671] ftchinbk: ｗｗｗ
[9811.721] ~MISSING_COMMENTER_INFO~: ブーメランｗ
[9814.558] いこます15: 正解
[9815.941] NorisukeJP: CoD大学院まできっちり通ったんだろうな
[9816.159] lovephantom0223: Cod卒はチンパン
[9816.683] valture_6969: COD卒は統率というものを知りません 
[9816.705] gavrosu: 🐵
[9817.021] tee_tqx: そいつら中退だろ
[9817.121] olive2ti: BloodTrail
[9823.523] ftchinbk: ポイントが見えません！！！！
[9824.618] hirotama1122: ハードポイントみたいなモードってことであってる?
[9825.262] aaeee9999: 🐒？
[9826.193] wakamechanbot: がちおもろい
[9827.109] カバのおーじ: CoD卒、ハードポイントやってるはずなのに笑
[9828.101] takenokoyarou_no2: 王族のチンパンw
[9828.215] gavrosu: 本当に卒業してる？
[9829.412] haatsuz: 卒業できてない
[9836.237] とろとろサーモン: チンパンいるほうが負けます
[9836.331] 石田凱: 中退な
[9836.443] iambetterthanaceu: 現役でしょ
[9836.966] ponyonosioyaki_: まんまハーポやね
[9839.837] geesez1: 中台
[9842.763] geesez1: 中退
[9844.364] taruru000: キルもしてないと
[9846.326] iamive6: 留年してるでしょ
[9848.784] jaqenfaceless: CoD中退かもしらん
[9852.225] わたあめ___: cod民チーデスしかできません
[9852.750] 梓樹: 相手エリア取りもきっちりしてるやんｗ
[9857.173] hirotama1122: ありがと
[9860.763] NorisukeJP: おおスコア差がもう・・
[9862.156] 少しふぉくしーー: CODのハーポはキル稼ぎしかおらんでw
[9862.371] gogen_g: 回復にしろ
[9864.595] 千原セージー: エックスディファイアント部門いけるか
[9865.869] valture_6969: cod卒は死体撃ちに勤しんでます
[9866.631] ~MISSING_COMMENTER_INFO~: COD卒おわってる
[9873.350] ftchinbk: OW卒はスキルもうまいねぇ
[9881.669] yasutaka_000: これフルパとソロがマッチしたりはしないよね？
[9892.169] aaeee9999: 人類とゲームさせてくれ！
[9892.652] iguni_ru: チンパンジーも新作やってます
[9893.536] aki_c9: します
[9895.052] tee_tqx: チ、ンパン
[9897.459] hako850: 人なら考えれるもんな
[9898.222] 少しふぉくしーー: サイバティック生命体
[9902.872] takenokoyarou_no2: 暴言語彙が強すぎる
[9903.794] oreo_3150: 無理やw
[9912.387] iambetterthanaceu: これ勝ったら最強でしょ笑
[9914.867] sh_yc: 誰もおらんｗ
[9916.496] valture_6969: ニューボーン爆誕
[9917.444] ~MISSING_COMMENTER_INFO~: サンキューな
[9917.566] tee_tqx: ＧＧ
[9918.966] 賽の瓦: gg
[9919.108] joooss123: ボッコボコでわろた
[9920.558] karin_txt: 誰も入らんw
[9922.167] NepNerd: あぅ
[9925.248] aaeee9999: gg
[9925.282] あのがわ: 負け癖
[9925.504] sideslide555: ルール無視して迷彩解除に勤しむタイプの民
[9926.991] monoooo24: 大概にせぇよ！
[9927.212] Lacazet_9: フィーダーのリス管理
[9927.600] iambetterthanaceu: 煽られた
[9928.683] 石田凱: w
[9928.785] wakamechanbot: イライラしててワロタ
[9930.633] kokokokeko: BibleThump
[9933.856] まよあん: OWの勝ち～
[9935.680] リトリ: 神ゲーですか？？
[9935.724] valture_6969: ありがとう 
[9935.927] ドリペニ販売員: ぶ
[9938.459] 石田凱: これVCないの？
[9938.538] aaeee9999: 🐒?
[9939.329] 7tk4: free4sUpndown
[9940.671] まだがスかる: チンパン大vsOW義塾
[9940.737] ruandayo: ow
[9941.941] kluelessblue: 君の負け✌️
[9943.145] kiraran134525: 台パンしよ
[9943.369] 千原セージー: 大概うまい
[9944.136] さんちゅまきお: 敗北の北かわいい
[9944.867] ~MISSING_COMMENTER_INFO~: ６キルとかなにしてんねんｗ
[9947.316] ftchinbk: ｗ
[9947.773] 賽の瓦: めっちゃ乗ってるｗ
[9948.035] geesez1: VDKうまい
[9949.391] ruandayo: 15
[9950.426] まよあん: 15
[9951.806] takenokoyarou_no2: これはow卒
[9954.362] karin_txt: 15w
[9954.497] mintia3x3: うま
[9956.508] yasutaka_000: ちょっとレベル格差酷いか
[9956.883] avicii514: このゲームおもろい？
[9957.553] iguni_ru: 15のやつ大学院卒
[9958.575] sideslide555: 80０超えてる奴いて草
[9959.244] valture_6969: えぐw
[9966.410] カバのおーじ: 盾職使ってるのにエリア守らない笑
[9968.026] Baylessjj: これだからCOD卒は
[9970.366] takenokoyarou_no2: c9に命かけてる
[9971.001] iambetterthanaceu: 楽しかったらそれでいい
[9973.875] aaeee9999: チームワークえぐい
[9978.913] AxeIlfx: 敵のシールドキャラ3枚積みエグい
[9979.288] 邦子スペシャル: このゲームSBMM廃止されてるっぽいからマジで試合がおもろいことになる
[9980.995] 賽の瓦: CODでは絶対に見れない光景
[9981.007] tee_tqx: ow卒は就職につよい
[9982.409] ftchinbk: ポイント意識◎
[9988.723] あのがわ: これ内部レートcodと同じなら何も学んでないやん
[9996.711] valture_6969: ow卒はしっかり統率とれてたな
[9998.875] りゅーかす: COD卒ならせめて
[9999.288] iguni_ru: 武器ブースト使おう
[10000.984] いこます15: OW卒は面構えがチガウ
[10004.279] geesez1: SGは弱いの？
[10010.469] とろとろサーモン: チンパンいる方が負けるゲームか
[10014.681] (S)_ちょす_: 見てる側もおもろいよ
[10019.948] まよあん: 闇鍋
[10022.277] まだがスかる: チンパンガチャ
[10022.496] iguni_ru: SBMMね
[10027.452] uichan_uwu: チンパンもくる
[10027.477] yasutaka_000: うまければ無双できるってコト！？
[10028.186] 石田凱: ランクマッチみたいなのはない？
[10028.213] あのがわ: 神ゲーやん
[10029.022] ~MISSING_COMMENTER_INFO~: 猿ガチャ
[10029.342] 虎の子七: スナボド見れますか？
[10030.452] nuooooooooooooo: それわかってて切れてたのか
[10030.649] ねるねるねるネ: 雑魚狩りやめてね
[10032.903] iambetterthanaceu: 暴言vc chatの嵐だからね
[10033.131] 少しふぉくしーー: オブジェクト系来たらやりたいな
[10035.041] hirotama1122: ランクマとかあるの??
[10036.411] gallade160: このゲームはPADがいいですか？
[10039.688] vajilpasta: ロビランほしいww
[10042.051] lovephantom0223: ファイナルズより流行りそう
[10045.082] iambetterthanaceu: ふーん
[10045.722] oreo_3150: 味方ガチャ
[10049.278] まだがスかる: まーカジュアルやからね
[10052.418] Baylessjj: 同じ実力でやりたいならランクやろうねって感じ？
[10053.748] NepNerd: SBMMがない感じか
[10055.655] 賽の瓦: OW卒多かったのもそれか
[10056.269] Natu_er: ｗｗ
[10057.788] iambetterthanaceu: 笑笑
[10058.537] ホロウズ: ランクマあるけどまだ実装されてない
[10059.564] yasutaka_000: 懐かしすぎる
[10060.477] ~MISSING_COMMENTER_INFO~: 途中抜け上等
[10065.536] 低音ちゃん: SBMMはちょっと無双したらプロと当たるシステムになってるのがね
[10065.580] ひーはー: ちゃんとCOD民w
[10067.361] 邦子スペシャル: このゲーム、マウスはマウス、PADはPADでマッチ分けれるからデバイス気にしなくていいと思う
[10069.257] Aug_Leaf: カジュアルだしな
[10069.533] sideslide555: ランクはやってくれ
[10069.991] iambetterthanaceu: 勇気の切断ね
[10070.079] aaeee9999: 勝ち戦にしか参加しないスタイル
[10071.149] joooss123: カジュアルのSBMMないの好き
[10073.286] Natu_er: あまりにＣＯＤ
[10074.610] ジーエクスト: 砂どうですか？
[10082.033] カバのおーじ: 無料ゲーだから民度はお察し
[10084.625] vcklean73: このゲームはSteamだけですか？
[10089.246] lovephantom0223: ベクターいいな
[10091.458] iguni_ru: ACRでとるやん
[10091.985] hirotama1122: ランクまだなのか、ありがと
[10092.569] vqlva2525: Vector気になってた
[10098.671] 賽の瓦: ベクターすきだわ
[10098.714] yasutaka_000: 命軽い系FPSはワンちゃんもあるしSBMMなくても良い感じするね
[10098.832] Natu_er: なっつ
[10102.092] 低音ちゃん: いい銃揃ってるよね～
[10106.084] karin_txt: ベクター2丁持ちできるかな
[10106.328] ally_84: わかる
[10106.539] ホロウズ: steamじゃなくてubi conectです
[10108.465] mintia3x3: 絶対つよいやん
[10114.911] olive2ti: アイアンサイトが気に食わん
[10115.647] hako850: 実銃なんや
[10118.177] ~MISSING_COMMENTER_INFO~: BO2のベクターサプすき
[10124.423] AxeIlfx: ベクター近距離まじ負けない
[10137.643] 厚切りばーむ: 銃の豊富さは流石ubi
[10142.788] iambetterthanaceu: ハイパースケープthe finalsと何度も見た景色がここにある
[10143.770] yasutaka_000: 音気持ち良すぎだろ
[10145.125] vqlva2525: Vectorマジで脳汁出る音してる
[10147.911] ひーはー: ベクターめちゃくちゃいい武器だな
[10154.518] lovephantom0223: いいねぇ
[10155.674] valture_6969: やっぱ連射速度はんぱないな
[10158.526] Juicewisdom: axeumSip
[10160.505] vcklean73: @hollowz_fps   プレステではできない感じ？
[10161.020] vajilpasta: 見てて気持ちいい
[10162.956] 低音ちゃん: 尖ってて良いです
[10163.636] hako850: 気持ち良くなりたいなら間違いなく今だなこれ
[10165.023] 邦子スペシャル: M4中、遠距離いけるとかじゃなくてマジでただの豆鉄砲なんだよなぁ
[10172.295] ホロウズ: プレステありますよ！
[10175.931] Natu_er: わかる
[10176.789] takenokoyarou_no2: わかる
[10177.851] aaeee9999: かっけえ
[10179.374] lovephantom0223: 実銃もどきじゃなくてちゃんと名前出してくれてる
[10181.330] ねるねるねるネ: 普通におもろそう
[10182.720] geesez1: 確かに
[10185.997] hirotama1122: それかなりでかい
[10186.640] Natu_er: マジで熱い
[10188.499] iambetterthanaceu: うん
[10191.014] (S)_ちょす_: 版権あるんや
[10193.502] iguni_ru: 実銃でて無料なの熱い
[10195.169] NepNerd: 銃の名前もちゃんとしてるしね これは良ゲー
[10203.988] grave_ex2: 実銃と架空銃の区別できないキッズおる？
[10205.143] yasutaka_000: ○○っぽい銃が出てくるんだよね
[10207.585] ディスタンス津田: 実銃だと評価あんまりらしいけど形まじで好き
[10207.948] ~MISSING_COMMENTER_INFO~: ベクター気持ち良すぎる
[10212.336] vajilpasta: 拡張マガあったら強そう
[10214.697] しゃけの塩焼き: 大手の強み
[10216.196] 梓樹: 球数も少ないしな
[10216.562] 賽の瓦: 拡張ほしい
[10220.303] hako850: 久しぶりにこういうfpsやりたくなってきた
[10224.369] 4yies: 実銃はだいぶ硬派
[10226.210] w0r1: エイムで至近距離倒すと P90手に入るよボトカさん！！！！
[10230.204] w0r1: smgで
[10239.042] ホロウズ: p90ゲットしてました！
[10239.711] iguni_ru: P90もうでたよ
[10240.256] aaeee9999: ザファイナルより流行るかな
[10241.266] カバのおーじ: でも今回は味方が人間だ
[10247.571] valture_6969: P90も使っていきたいね
[10248.713] 邦子スペシャル: このゲーム地面から敵の武器パチって継戦するから結局いろんな銃打てる必要あるね
[10250.229] jobjob2sed: 見てる分にはおもろいね
[10253.131] w0r1: ステータスみたらmp7のが威力たかいのか
[10254.860] grave_ex2: ヴァンダルっていう銃は実際にはありませんｗｗｗ
[10258.233] ばしょーー: なんかえぐいバグあるって見たけどそうでもなさそう？
[10261.273] ホロウズ: ランクマ4vs4らしい
[10266.363] Natu_er: ハンドガンつよくね
[10269.562] w0r1: ロングショットむずくねARで ACRてにはいるけど課題がむずい・・・
[10271.448] とろとろサーモン: こういう接戦が1番楽しいやろな
[10279.123] Annoymouse: 対マン強い
[10292.207] ~MISSING_COMMENTER_INFO~: FPSはやっぱこういうのよ
[10299.930] iambetterthanaceu: ポイント三つあるんだ
[10302.918] aaeee9999: ガチでおもろそう
[10305.223] AxeIlfx: わおおおお
[10305.388] Annoymouse: 気持ちぃな~
[10313.242] lovephantom0223: 接戦
[10318.433] puri0213: 最初から解放されてたぞ
[10318.704] valture_6969: これスライディングはない？
[10322.849] N__nnsmr: CODでよくね感
[10327.511] るーぷす1: ある
[10329.966] sh_yc: ｗｗｗｗｗ
[10332.382] iambetterthanaceu: 分かる
[10337.108] hirotama1122: 今のは無理
[10337.244] 邦子スペシャル: この飛行機絶妙にうんち
[10337.818] valture_6969: おおーあるのね
[10344.903] iguni_ru: CODは高い
[10346.311] natu0713: ハセシンが好きそう
[10351.139] ice_raspberry: このゲームおもろくね？
[10351.235] そうぐら: 無料ってのがでかい
[10352.262] カバのおーじ: スキルが使えるCoDだから好みの問題
[10361.605] iambetterthanaceu: 無料なのか？！
[10363.574] lucis27: Cod買うならこれでいい感
[10364.262] olive2ti: ここ飛びまーす
[10371.168] ~MISSING_COMMENTER_INFO~: これ無料は神
[10371.557] manon4649: もうフルプライスのCoDきつい
[10377.436] (S)激ローメタモン: 無料です 
[10378.785] 邦子スペシャル: 高いし 容量食いすぎだしなぁ WARZONE日本人やってるやつ少ないし…
[10379.215] Annoymouse: いいね
[10380.396] めんどる: あれおもろそうじゃねこれ？
[10383.644] grave_ex2: 正直今のガキはcodやらんやろ
[10386.491] natu0713: これ無料なんか
[10395.510] NepNerd: 命が軽くなったbo4みたいでおもろそう
[10395.666] iambetterthanaceu: 結局ただが一番強いな
[10396.582] ホロウズ: 開発陣BO3に携わってた人だからねえ
[10401.976] そうぐら: みんな意外と有料と勘違いするほどのクオリティ
[10406.160] AxeIlfx: このウルトマジ強い
[10407.913] grave_ex2: 今のガキはエペヴァロやってるイメージ
[10409.184] aaeee9999: 無料強いね〜
[10414.504] mew3v: 最近のゲーム命重くて疲れるから助かる
[10414.511] valture_6969: 産業廃棄物のせいでcod民減ってる説
[10419.084] まだがスかる: これ無料なんすごいな〜
[10420.664] lovephantom0223: BO3は名作
[10432.149] glacia9: でこのゲームは人おんの？
[10434.269] きのみんぐ: Dropsの報酬ってなんの武器スキンですか？
[10436.137] yottando_o: 石丸市長はcodしてんぞ
[10439.259] yasutaka_000: フラッシュバン長いよね
[10443.615] ばしょーー: 顔めっちゃ白く光ってんのおもろい
[10444.524] そうぐら: めちゃくちゃすぐマッチングする
[10446.000] るーぷす1: bo4やな
[10446.408] iambetterthanaceu: これベーター版？
[10450.666] otyonan: ぼみはバッタゲー言われてたけどなんだかんだやってたな
[10450.898] ponyonosioyaki_: ハーポとドミネしか無いの？
[10454.903] ホロウズ: マッチングばかはやいっす
[10457.418] yuzpo_n: これ無料なんやーいいね
[10464.229] 腹痛うさぎ: サーチとかもあるのかな
[10472.432] 邦子スペシャル: 正式リリースっぽいよ ただ未実装項目多いね ランクマッチだったり射撃訓練場だったり
[10473.428] uichan_uwu: まだこのゲームダウンロードしてないやついるの?w
[10474.683] ホロウズ: さっき野良の人とvcしてたけどおもろかった
[10475.706] 低音ちゃん: ｗｗ
[10476.857] iguni_ru: ｗ
[10477.614] yasutaka_000: ｗｗｗ
[10477.816] ばしょーー: www
[10477.826] Aug_Leaf: w
[10478.083] 賽の瓦: ｗｗ
[10478.214] nisi_gg: w
[10479.586] aaeee9999: wwwwwwww
[10479.804] lovephantom0223: www
[10479.874] mintia3x3: wwwww
[10480.078] vajilpasta: wwww
[10480.300] ひーはー: wwwwww
[10480.959] NepNerd: www
[10481.416] れもねーど7: 名物
[10481.995] るーぷす1: PogChamp
[10483.092] joooss123: wwww
[10483.147] hirotama1122: SGイライラ
[10484.492] yuzpo_n: ｗｗｗ
[10485.390] ~MISSING_COMMENTER_INFO~: どの時代もSGはきもすぎる
[10488.860] ice_raspberry: 初日からSGえぐい
[10489.775] iambetterthanaceu: これからどんどん追加されていくって感じか
[10490.949] mew3v: 課金要素どんな？
[10491.026] manon4649: 伝統芸能
[10491.838] ~MISSING_COMMENTER_INFO~: く、くる
[10492.247] NepNerd: bo3してたときのボドカが蘇りそう
[10496.471] AxeIlfx: www
[10496.887] ワム: このリスの速さと自分のキルレ以外どうでもいい感じがCODだな
[10497.625] tamono2: 若返れるゲーム
[10502.154] aaeee9999: どのゲームでもSGはうぜぇ
[10510.299] valture_6969: あの頃のボドカが蘇る！？
[10511.984] そうぐら: マップがCOD意識しすぎてて逆にいい
[10513.319] ねるねるねるネ: トントントントンレミントン
[10515.399] iambetterthanaceu: 最盛期のボドカが見れるゲーム
[10525.100] kiraran134525: ボドの封印を、解いて欲しい
[10530.381] ice_raspberry: このマップキモいプレー強いから嫌いだわ
[10532.231] vajilpasta: グラビティスパイクなくて良かったですねw
[10537.991] Annoymouse: これは流行る
[10541.547] iguni_ru: パシュパシュｗ
[10541.869] あのがわ: お？
[10546.235] ~MISSING_COMMENTER_INFO~: 味方ばかがよ！
[10546.432] (S)激ローメタモン: 解放のドラムが... 
[10549.833] valture_6969: 封印解除……く、くる！？
[10550.680] iambetterthanaceu: もっと行こう
[10550.860] hako850: apex卒か？
[10551.613] yasutaka_000: 後ろでＤＭＲパスパスやめてね
[10552.671] mirumon73: やっぱりCODの血がしっかりながれてるのおもろｗｗｗ
[10564.660] tamono2: 惜敗！
[10564.964] 邦子スペシャル: このマップ、サイドにロングがあるせいで砂がそこに散ってメインの飛行機内に人が集まらん
[10566.303] るーぷす1: 惨敗
[10567.612] mq4lx: このゲームはDMR系統の武器とかもありますか?
[10568.395] TEBASAKI12: 惜敗！
[10570.213] ponyonosioyaki_: おしはい！
[10570.577] vqlva2525: みんな楽しんでる
[10571.145] kiraran134525: ふざけんのも、タイガイニせいよ！
[10571.251] 7tk4: BibleThump
[10571.317] ぜう太: どう？
[10571.535] ~MISSING_COMMENTER_INFO~: チンパンガチャ外れ
[10577.414] とろとろサーモン: 味方ガチャゲー
[10579.126] yuzpo_n: 惜敗！
[10579.665] tamono2: ガチャ失敗！
[10582.857] ワム: このゲームスナイパーはどうなん？
[10583.306] valture_6969: この顔腹立つ
[10588.045] (S)_ちょす_: ボドはようやってる
[10590.852] Annoymouse: これが野良の辛いとこね
[10592.340] カバのおーじ: 序盤は良かったのにB旗取られてから無理だったね
[10593.437] ぜう太: 何系？ow?
[10593.584] hirotama1122: これはGG
[10595.579] ホロウズ: パーティ組んだらおもろそう
[10596.087] ~MISSING_COMMENTER_INFO~: 3切るだの6キルだのむしろなにしてんだよｗ
[10597.195] yuzpo_n: キルレ２よい
[10598.521] yasutaka_000: 良いシステムやん
[10599.499] lovephantom0223: いいね
[10600.015] kiraran134525: ほどは頑張った
[10601.214] joooss123: BloodTrail
[10601.320] otyonan: 相手が偉かったんや
[10601.801] tamono2: うおおおおおおお
[10602.408] ice_raspberry: ACRに連射速度上げるやつおすすめ
[10603.932] hako850: へー
[10604.140] iambetterthanaceu: チーム内のボイスチャットとかはあるの？
[10605.117] NepNerd: フルパでしたらおもろそう
[10606.537] (S)_ちょす_: いいね
[10607.174] aaeee9999: DinoDance
[10607.196] toshikiiii: このゲームにはピネはいないんですか？
[10613.380] ホロウズ: vcありますよ
[10614.400] そうぐら: あるよ
[10615.058] valture_6969: ( -`ω-)b
[10619.675] 4yies: だ、んごう
[10619.728] iambetterthanaceu: いいねー
[10620.357] るーぷす1: 人数不利は基本勝てない
[10624.056] kakugari_san: !rank
[10624.186] (M)Nightbot: Apex: Gold4 // Valo: Diamond2
[10625.188] wakamechanbot: これみてcod感じないやつ沼だろw
[10628.156] takenokoyarou_no2: コンペおもろいんかな〜
[10628.378] lovephantom0223: 2on2やりたいな
[10631.084] ホロウズ: コンペ4vs4らしいです
[10635.538] iambetterthanaceu: 気になる
[10638.877] vqlva2525: グラビティスパイクありますか？？
[10639.089] isudaisuki0141: www
[10640.548] 低音ちゃん: 動画撮ってそう
[10643.386] yasutaka_000: ハセシンテンション爆上げしてそう
[10643.600] reishiki0413: 少しやったけどおもろかった!!
[10644.192] ~MISSING_COMMENTER_INFO~: ガチ武器きた
[10646.378] manon4649: 半年はハセシンこれこすって動画上げそう
[10649.456] そうぐら: 武器レベル300でゴールド迷彩だけどキツすぎんか？
[10649.564] イブキング: 実銃なのまじで最高
[10650.007] (S)_ちょす_: ハセボドワンチャンありますか？
[10650.780] mob0203: 神回！
[10650.989] olive2ti: らぶずっきゅんしてそうやな
[10652.986] c6erry: スパイクもどきはあるｗ
[10654.841] NepNerd: ハセシンまたcodを去るか
[10655.433] まだがスかる: 今頃1ヶ月分の動画撮ってるやろ
[10657.113] ankomochi99: 60キル神回
[10659.367] ひゅが21: 配信外で
[10662.356] iguni_ru: ACR連射速度あげるまで割と撃ち負けるんよな
[10662.587] hirotama1122: ハセシンは未だにApexやってます
[10665.556] Yuke_UC: 継続的にやってくれる有名配信者がいないときついやろうな...
[10665.573] kairuzz: UBIが出してるやつなのか
[10665.757] vqlva2525: あるんかよ笑笑
[10668.909] かーりーぷーす: 名前懐かしいやん
[10672.185] Alter_8: 稼ぎ時やなハセシンには
[10673.387] 邦子スペシャル: 解放は意識してればすぐだけど育成がCoDよりきつい
[10675.876] るーぷす1: あ
[10676.256] valture_6969: SR使ってくれ
[10676.437] i9iol: 好きな武器多くてうれしい
[10679.958] ワム: 世界最速 核
[10680.126] ~MISSING_COMMENTER_INFO~: ｗ
[10681.872] weeeeed: あ
[10682.759] ponyonosioyaki_: あ
[10684.721] iambetterthanaceu: apex実況者だよ
[10686.663] takenokoyarou_no2: ペクス実況
[10694.865] sideslide555: BibleThump
[10696.913] manon4649: RUSHの生きる道はそれしかない
[10696.946] カバのおーじ: 最近核チャレやってたけどね
[10700.943] aaeee9999: ペクソ配信者
[10704.681] vajilpasta: まじですごいと思うw
[10704.942] ねるねるねるネ: ニヤニヤすんな
[10708.687] るーぷす1: 殻を破ったのか
[10711.371] doddod_2: T up
[10712.742] そうぐら: なお核チャレンジには熱心に
[10713.363] NepNerd: エペやりだしたときcod一旦やめてエペ集中するっていうのまた動画化しそうw
[10713.374] iambetterthanaceu: ぺくすがみんなを救った
[10716.162] valture_6969: このコスチュームどっかで見たことあるなって思ったらやっぱスプリンターセルか
[10717.542] maaa_roku: でもcodのハセシンは忘れない
[10719.374] xoSOULox: でも動画に帰還！！！！とか動画名出してくるよ？
[10721.718] hirotama1122: そろそろ勝ってるとこみたいです
[10724.004] ice_raspberry: このゲームアイアンサイトでアタッチメント付けるのメタになりそう
[10725.033] doddod_2: Lock in chat
[10725.615] やけのはらしんのすけ: このゲームやっと出たんだ
[10733.472] otyonan: アイアンサイト見づら
[10735.023] doddod_2: vodkav2Angryvdk
[10738.752] 賽の瓦: みにくい
[10739.568] iguni_ru: アイアンgm
[10744.042] オムシロップ: 足速いのいいね
[10744.797] kaguyaintelia: アイアンサイトきも
[10745.857] kbb3939: アイアン見えん
[10748.111] valture_6969: 🐷
[10751.419] iambetterthanaceu: えっ
[10751.624] yasutaka_000: アイアンサイトキモすぎあるある
[10753.148] そうぐら: アイアン見ずらいの多い
[10754.479] yuzpo_n: デブサイト
[10755.176] isudaisuki0141: OSFrog
[10762.251] valture_6969: 🐷！？
[10764.616] isudaisuki0141: ストレイフしてただけやろ
[10766.071] maaa_roku: ストレイフかも
[10766.989] ワム: ジャンプうちオタク
[10773.275] Kabotya74: ストレイフみたいなのあるっす
[10773.706] ~MISSING_COMMENTER_INFO~: ダックジャンプ
[10774.567] iguni_ru: ストレイフできるよ
[10783.622] そうぐら: PADでもめちゃくちゃまがる
[10784.725] yagiri8: このゲーム空中で慣性変えられるよ
[10787.942] あのがわ: 後からダメージ喰らってる感ある
[10794.057] 邦子スペシャル: このゲーム、マッチ作成中とかに人間の顔（皮）がドアップになるとかいうエグいバグあるからvdkが喰らうのが楽しみです
[10796.924] NepNerd: このアイアンbf4のScar並に見にくいな
[10799.243] ~MISSING_COMMENTER_INFO~: ラグいか確認するために死体うっとこ
[10811.563] marlboro12_: lyr1cがストレイフしながらmp7で無双してた
[10815.398] lovephantom0223: スカー無いかな
[10817.990] valture_6969: bf4なついなぁ
[10838.221] ろぱ: 吸い付きすご
[10840.005] vqlva2525: なんか既視感のあるマップ
[10841.133] ~MISSING_COMMENTER_INFO~: ﾆﾁｬｧ
[10843.225] mintia3x3: wwwww
[10844.095] イブキング: めっちゃきもくてワロタ
[10845.013] yasutaka_000: 透明化SGキモすぎだろｗ
[10846.045] iambetterthanaceu: やっぱショットガンだよねー
[10846.988] joooss123: 透明ショットガンw
