[25.270] careful_crab: Oh 
[10575.081] yomogi0610: なげぇｗ
[10575.134] keikohiro: やったれー
[10575.137] aranami0: かかりすぎw
[10575.515] (S)junpei_11: 東京ラブストーリー完結
[10575.696] 大ﾗｲｽ: 感動
[10576.161] toripy55: きたねぇ
[10576.265] blackuma: 病気だろもう
[10576.333] tak1on_: 茶番長すぎだろｗ
[10576.908] yunyun_ada: 聖戦だーーー
[10577.294] (S)vegnavert: vegnavert subscribed with Prime. 
[10577.951] (S)monpiipop: もうほんとにこの人らはw
[10577.984] (S)izacro5e: 配信に人集めないとだからなｗ
[10578.442] magoichi_s: なっがw
[10578.685] sam21111: きたあああああああああ
[10578.873] カブトシロ: いや～引っ張りましたねぇ！
[10579.329] (S)moyashi117: 全米が泣いた
[10579.927] echa_pi: おもしろかったw
[10579.948] cringewolf: Lets goo justin
[10581.154] quwrof_sb: 上で何で分かんだよ
[10581.771] ryuukist: 何分かかってんだよｗ
[10582.617] pyamaaaa: 笑ったわ
[10582.683] maddy2623: 殺せーー！！
[10584.155] chahaaaaan: 始まった
[10584.767] ddb365: umeBlocking
[10585.634] kanegon7237: はあぁぁぁぁ😩
[10588.089] potocki1810: このゲーム出会うまでめっちゃたいへんなんだけどｗ
[10588.240] (S)tabibitox: 茶番がながすぎたｗ
[10590.267] sei_6: 獣道
[10591.303] saketyazu: いけーー！
[10592.245] erisuk: いってみましょおおおおおおおおお
[10593.595] suppappa: 間違えて順番待ちする人いないといいけど
[10595.438] もきち555: 出会うのが大変なゲーム
[10597.243] CARNO_JPN: ヌキさんのコメント欄が大荒れで草
[10601.440] もちもち芋: 黒めっちゃいい
[10603.552] magoichi_s: 3rdかな
[10604.417] quwrof_sb: 温まったな
[10607.490] ロミヲ: 聖戦きたあああああああ
[10607.987] prisira: うまい
[10610.731] (S)moyashi117: あの展開からガッツリバトルは草
[10612.797] kakutora_no_o: 唐突に始まるガチ対戦ww
[10618.326] (S)Opening_Runner: ヌキさん「このゲーム出会うまでがめっちゃ大変なんだけど」
[10619.341] ビフィダス: ヌキさんや
[10619.607] HirocoT: わ
[10619.608] (S)titilrin: やるじゃん
[10620.483] apacheconf: ヌキさんうめえ
[10621.579] (S)sai927: 仕上がりのヌキ
[10621.710] inuneko201: おお
[10622.575] erisuk: ハブってなん先になるんだっけ
[10622.754] lucia_morgan: ギャップｗｗｗ
[10624.263] くね君: ヌキさんガチだね
[10624.762] Papapadad: やーる
[10625.997] カブトシロ: つえー！
[10626.798] kuini__: はや
[10627.637] チョコミんト: ヌキさんw
[10627.806] mogu0621: Now! (daigo:Ken)０－０(oonuki:ChunLi)FT:10
[10628.610] (S)yuukida39: つよい
[10629.355] saketyazu: たーのしー！
[10629.539] 天然ベニテングダケ: ヌキさんつよない？
[10632.726] achamo1192: ん？
[10632.869] mifune1046: 「帝聖」
[10632.888] magoichi_s: ヌキさんの春麗マジでつよい
[10636.385] だいこん_: バトルハブは無限です
[10636.663] np2np: 回線相性もすごいいいじゃんねぇ
[10639.344] ビフィダス: わあ
[10644.039] pyamaaaa: お互いサードカラーか
[10644.641] genbakantokumbe: 3rd最強の男
[10651.518] tsukikage_saga: エモイ
[10652.258] (S)bikibiki999: 今のウメちゃん普通に負けてもおかしくない
[10652.355] ryokucha_: うんま
[10652.364] natoooji: 人おいからラグいって言ってるぞ
[10654.733] yousuke778: この色いいなあ
[10656.255] quwrof_sb: sakoチュン並か
[10656.667] potocki1810: ラグいかもだそうです
[10656.957] keikohiro: 一生食らってるやつ
[10663.140] ロミヲ: ヌキさんラグひどいってｗ
[10668.296] (S)kobetaf: ヌキさんらしいガン攻めで見てて面白い
[10668.546] tokiomari: あいいいいいい
[10669.100] heishosann: 多分ヌキさんのPCがダメ
[10674.245] のぞみくん: wwwwww
[10676.083] マジでラブ恋愛中: 観戦者多いとラグとかありそうｗ
[10678.716] johndoe6523rp: ｗｗｗｗｗｗｗｗｗｗｗｗ
[10680.332] prisira: うまい
[10683.641] Qtr1214: あ
[10685.322] keikohiro: おわた
[10685.398] mifune1046: カスタムいこう
[10685.584] mogu0621: おおおｗ
[10685.937] demonbane_twosword: おおお
[10687.186] ぢょごぢゃん: バトルハブだとらぐいんか
[10689.806] erisuk: やっぱカスタムいくか
[10691.073] poposuke: pingは問題なさそうだが
[10691.890] もきち555: いやーさすがに？
[10692.083] quwrof_sb: ヌキさんの画面カクカク
[10694.465] (S)yuukida39: うおおおお
[10694.874] edsonkaji: Xiliquentou
[10695.666] 10kio: さすがに言われてるぞ
[10695.900] (S)ハルキ10: ヌキサンっぽいけど
[10696.020] radoruf04: 重い？
[10696.260] sam21111: まーじか
[10696.660] くね君: PCによってはラグくなる
[10697.264] (S)Nagare765: ゲージケチった
[10698.816] pengetop: 観戦者多いのか なるほど
[10699.495] qty11: やばい格付けされる
[10699.582] melvin_1023: ヌキさんの実力は大須さんと五分くらいだよ
[10701.053] yuki_aion_aion: さすがに
[10701.870] HirocoT: ヌキさんものまねｗ
[10704.121] mogu0621: (daigo:Ken)０－１(oonuki:ChunLi)FT:10
[10704.223] ぢょごぢゃん: ラグいっていうか処理落ち
[10707.010] モーーーー牛: 大貫のPCが低スペだからだろ
[10707.239] (S)chainsawman4: 煽られてます
[10710.901] イガ: ヌキさんうめちゃんの真似してあおってるの草
[10716.146] ビフィダス: うっ
[10717.065] (S)kobetaf: ヌキさんたぶんエアコンのガス無くなってて冷房終わってるからPCに相当負荷かかってる
[10718.000] erisuk: ヌキさんのグラボあんまよくないんかな？
[10718.142] もちもち芋: ダイツいいな
[10725.323] johnnyppas: パナシ全部通るね
[10727.127] (S)junjamaica: さすがに言うてるなw
[10727.402] (S)axchuuu: エアコン…
[10728.461] beehive3: バトルハブは設定下げないときつい
[10732.280] (S)nnmdfs: 無言ってことは真剣モード？
[10732.721] magoichi_s: pingは安定やね
[10735.940] shibaponz: いったいどういうことや...
[10737.469] kuini__: 熱暴走かい
[10740.703] ranakw: つええ
[10741.470] (S)tama_zx61: つえぇ
[10741.715] mogu0621: つええ
[10742.777] excelboc: うんま
[10743.014] イエール: やりおる
[10743.589] 大ﾗｲｽ: つええ
[10744.725] maddy2623: ウメちゃんたのむよ
[10744.790] マジでラブ恋愛中: 御曹司なのに低スペｐｃなのか・・・
[10746.707] nikukuisugi333: つよ
[10747.427] foriqos: ヌキさん強いな
[10747.616] pyamaaaa: 上手い
[10748.834] bau80: エアコン止まってんの草
[10749.327] qty11: ボコボコだぁ…
[10749.789] erisuk: 設定下げりゃどうにかなるなら一旦抜けて下げてもらおう
[10755.000] カブトシロ: 脚長いなぁ。
[10755.997] apacheconf: ヌキさんの春麗マージでつよい
[10757.551] nyata1234: そういや新しいキャンセルラッシュ使ってるのかな
[10760.129] ビフィダス: ひぃ
[10760.653] LogicalDashGG: めっちゃ強い
[10761.660] johnnyppas: ヌキさんこんなに強かったのｗ
[10766.073] koudou3: 9msだから回線じゃなくてマシンスペックの問題っしょ
[10766.280] pandascal: カクってるの配信だからかと思ったけどバトルハブ重くなってるからか
[10769.999] noritchan: うっま
[10771.094] hisotensokuzei: くぐり！
[10771.644] イエール: はえーな
[10773.740] mogu0621: くぐり対空してない？？
[10774.153] ranakw: くぐりうま
[10776.181] johndoe6523rp: カスタムでやるか
[10777.461] heishosann: ヌキさん上手いわ
[10779.238] ledlight9413: オオヌキもリベンジ枠入りか？
[10779.366] keikohiro: まだラウンド取れてないなぁ
[10780.022] (S)monpiipop: おおぉーー
[10780.393] magoichi_s: やーる
[10780.577] prisira: ラグある感じ？
[10780.782] (S)nnmdfs: ウメちゃん？
[10780.798] saketyazu: うま
[10780.947] ryokucha_: うんま
[10781.613] kurare2020: あやー
[10781.889] Papapadad: つーよい
[10782.439] tesna_: つええ
[10782.803] hal0087: つんよ
[10783.128] erukima: えっ強い
[10783.181] (S)H_WILDE: RyuChamp
[10783.214] (S)nagasaki3662: ウメちゃん？
[10783.360] Gordstorm: あいいいいいい
[10784.428] momiji4431: ウメちゃん？
[10784.901] mogu0621: (daigo:Ken)０－２(oonuki:ChunLi)FT:10
[10785.404] qty11: ウメちゃん…？
[10785.871] Qtr1214: ん？
[10787.060] prosciu: ウメちゃんおじリーグ出れるよ
[10787.384] aran1637: アイイイイイイ
[10787.474] BigbossJP: CRカップからの新規の方へ、この対戦相手のオオヌキさんは梅ちゃんと同じレジェンドです
[10787.883] xxppkkee: ヌキ=春麗
[10788.121] ichi_gatsu: パナしがことごとく、、、
[10788.582] mariannnu: karubisGyo
[10790.038] (S)brutal9998: やるやん
[10790.105] genbakantokumbe: あいやー
[10791.154] demonbane_twosword: シンプルに負けてる
[10791.428] ぢょごぢゃん: つええ
[10791.668] セツリ: つよいなー
[10793.025] quwrof_sb: 仕上がってんな
[10793.144] (S)ハルキ10: おもしれー
[10793.222] blackuma: 無敵技の差がでとるね
[10793.295] マジでラブ恋愛中: うめちゃんどうして・・・
[10793.351] (S)yut7xot8: umeYay
[10794.207] kakutora_no_o: これは読まれとる
[10794.659] radoruf04: やっぱり５がアカンかったんやな
[10795.606] (S)buildingoodman: 大貫以下はさすがに
[10797.235] erisuk: ヌキさんこのままでいいのか
[10798.582] イエール: ウメちゃん......やりなさい......。
[10798.900] chanmipoin: 詐欺重ね
[10799.053] Rotten4x: FeelsWeirdMan
[10799.516] ビフィダス: あじゃぱー
[10800.855] (S)yuukida39: ウメちゃんがんばえー！
[10805.978] excelboc: 0-10ある？
[10808.186] dorainhsvv: 大丈夫？
[10808.746] ふしぎ3000: おじリーグ入りあるのか
[10809.175] Qtr1214: 無敵技あると出しちゃうから弱い
[10809.600] animarotta: それだけ・・・かよ！！！
[10812.659] bagooon20: ウメちゃんどうして...
[10815.192] (S)如月うづき: オオヌキは世界最強プレイヤーです
[10815.384] deli_marcy: damn
[10815.922] domontyan: ラグじゃない気がする 強い
[10816.316] quwrof_sb: 1億遠いか
[10818.974] ichi_gatsu: つえええええ
[10819.101] heishosann: ガードするねー
[10821.194] tk1021: んっ！！
[10821.421] momiji4431: パナシの読みあい全負けしてる
[10822.170] hisotensokuzei: パナしのガード率すごいな
[10822.827] torahanda: パナシ当たらん
[10823.239] nasi1129: 普通にうまい
[10823.895] inuneko201: カメラ止めろ
[10824.274] nemu_less: 読み負け過ぎてるからしゃーない
[10824.298] (S)tama_zx61: スピード違反
[10825.794] イエール: やべーなヌキンクス
[10825.809] BigbossJP: 大貫さんには一生勝てませんって言わされちゃう(T_T)
[10826.917] apacheconf: ヌキさんたしかevo行くんだっけ
[10828.112] prosciu: 全部読み負けてる
[10831.910] (S)hinhinpp: おめえな
[10833.576] (S)nnmdfs: 大貫さんのEVO優勝回数が増えちまうよ
[10835.448] イエール: ええパリィ
[10835.659] sugarsato_: もしかしてヌキさん1億見えてる？
[10838.611] (S)monpiipop: うま
[10842.436] kuini__: システムで濁しちゃえ
[10843.638] foriqos: スト６はオオヌキのゲームか
[10844.053] ledlight9413: シュートに10先かったあのウメケンに？
[10844.283] ~MISSING_COMMENTER_INFO~: ヌキさん普通に強いよ
[10845.467] justfogbr_pc: Sako_Noko?
[10845.926] (S)一1990: ０－１０
[10846.964] prisira: やーる
[10847.264] johnnyppas: ヌキさんおじリーグ面子でワイワイやってたのにクソ強いじゃん
[10850.113] sinkirou: 無敵技あるから弱い説？
[10852.566] ぢょごぢゃん: それみえん
[10854.155] (S)axchuuu: 招待受けられなかったのに‥強い
[10854.321] GG_sensay: no, nuki
[10854.565] ひばりたつお: 5神ヌキいたぁ
[10858.415] からあげくんレッド: 今度は打たんなーw
[10858.418] ima_son: ヌキさんのゲームか？
[10869.239] raginqdemon: チュンリーも喜んでる
[10870.144] BigbossJP: ヌキさんライバル属性持ちだから相手がウメちゃんだと強くなる
[10875.829] イエール: おー
[10878.836] excelboc: 30年近く二人とも似たレベルってすごいね
[10879.354] aranami0: ふいー
[10881.400] HirocoT: 属性ｗ
[10881.848] akira_s_: よ〜〜〜し
[10881.863] (S)ハルキ10: 流石に？
[10882.395] (S)オワオワタ: 三太郎さんより強そう
[10890.814] melvin_1023: ヌキさんと大須さんが五分。そのヌキさんに処理は流石に？
[10890.827] nyata1234: インパクトめっちゃ刺さりそうな技振りしてくるな
[10891.044] (M)Moobot: ＊＊新ヘッドセット登場＊＊ HyperX Cloud III -- ヘッドホンクッションが大きくて柔らかいので耳が痛くならないよ！ → https://hyperx.gg/42XVwOf
[10892.376] qty11: おじリーガーウメハラ
[10892.735] mogu0621: めっちゃ熱いな
[10894.204] keikohiro: 1で行けた未来あったかも？
[10894.730] (S)Nagare765: さすがに
[10898.642] (S)marvolo6: もしかしてこれヌキさんのゲーム？
[10898.880] johnnyppas: ウメちゃん初ラウンド
[10900.285] (S)kobetaf: 来年SFLで共闘見れる？
[10907.948] 隣の田代さん: もしかしてセイバー以来か？
[10908.381] (S)osarusan26: ヌキさんは本気の時分かりやすくて試合中一言も喋らなかったらガチでやってる
[10918.822] (S)成吉大: あっちの配信見てきたらヌキがめちゃめちゃスイッチ入っててワロタｗ
[10919.908] mogu0621: うまｗ
[10920.974] イガ: うま
[10921.374] nasi1129: うま
[10923.645] johndoe6523rp: うんま
[10924.713] mifune1046: 「帝聖」
[10924.954] heishosann: うめ
[10927.763] mogu0621: ああああああああああ
[10928.198] hisotensokuzei: おお
[10929.342] imakuni3: うまいやん
[10929.598] at37itadakiyasu: いまのやっばい
[10930.533] quwrof_sb: 苦手意識か
[10930.604] モーーーー牛: うま
[10930.781] ranakw: スピード違反
[10930.804] tosh_gamekids: 表裏だぁ
[10931.900] roytaly: 表裏多いなぁｗ
[10931.989] excelboc: んっ
[10932.684] monjirou1: 表裏か
[10932.963] (S)nagasaki3662: 強い
[10933.160] (S)yut7xot8: umeYay
[10933.298] (S)tama_zx61: 大貫！！！！！
[10933.480] magoichi_s: つえええ
[10933.903] potocki1810: つおいｗｗｗ
[10933.911] フェルナンドセギノール: 今の裏っぽい
[10934.091] sashiminohito: ヌキさんにはやっぱり春麗が似合うね
[10934.130] nyata1234: 今の表裏
[10934.594] foriqos: ヌキさんおかえり
[10935.536] aran1637: アイイイイイイ
[10936.776] mogu0621: (daigo:Ken)０－３(oonuki:ChunLi)FT:10
[10936.792] (S)nnmdfs: まずいまずいよ
[10937.141] HirocoT: はやうま
[10937.237] nikukuisugi333: まじか
[10938.045] 4sukaryo: まじつええ
[10938.259] (S)yuukida39: めっちゃ強い
[10938.861] be1surprise: おじリーグに出ちゃ駄目でしょこれ
[10939.931] blackuma: 普通に強くて草
[10940.037] gajpmwtdpw: 不遜が許される才
[10940.933] akira_s_: 10先だぞ まだまだよ
[10941.810] BigbossJP: ヌキさん取締
[10942.054] (S)成吉大: つええ
[10942.575] babaVulcan: やーる
[10942.992] demonbane_twosword: ３先なら負けてるぅ
[10944.608] kaban1192: ヌキさんには勝てません
[10946.092] チョコミんト: これが大貫かぁ〜
[10946.148] natoooji: EVOなら敗退
[10947.368] genbakantokumbe: DJってキャラが対策知らんとめちゃくちゃキツいからあんま対策詰めないヌキさんが五分るのも仕方ない
[10948.082] heishosann: やっぱヌキさん春麗似合ってるわ
[10949.190] umou_futon: ヌキさん6の新要素あんまり使わないな
[10949.446] イエール: ウメちゃん......すり潰しなさい......。
[10949.762] kakutora_no_o: うまいなぁ
[10950.460] (S)syouyuireppa: ヌキさんはシーズン1はかなり強い
[10951.494] erisuk: ヌキさん真剣なとき顔まーじで怖い
[10951.975] (S)mocchili_bt: アケコン三つ使ってるからなあ
[10954.425] imokun888: ヌキさんのセンスが出てるな
[10956.382] gajpmwtdpw: ヌキさんに勝てるビジョン見えんな
[10958.220] nihonsyu_: ヌキさんまったくしゃべってないわｗ
[10959.600] ぢょごぢゃん: 柔道
[10960.011] (S)Nagare765: ウメちゃん練習相手のキャラ偏りすぎる
[10962.518] (S)成吉大: 足浮いてないんじゃね？
[10962.583] prisira: ミスかなｗ
[10963.445] radoruf04: これは組めるなウメヌキで
[10966.625] keikohiro: ウメちゃんそろそろ
[10968.831] mifune1046: ヌキさんの春麗は“華”あります
[10973.239] イエール: これマジでウメヌキある
[10978.900] nyata1234: だいぶ噛み合ってたからここから
[10981.161] あり0221: わいの家のモニターもウメヌキのライブ試合が映って感涙。ええ時代や
[10982.277] potocki1810: ヌキさんしゃべらないの草なんだｗ
[10983.924] mogu0621: ヌキさんの攻め攻めチュンリええな
[10984.015] moricocoa: ウメちゃんGo1春麗には10先勝ってるし
[10988.338] imakuni3: ガン攻めやなあ
[10988.897] ビフィダス: インストール？
[10992.629] (S)ハルキ10: ヌキサン良い感じで嬉しい
[10993.555] ロミヲ: 突発でウメヌキとか反則だよお
[10993.920] ranakw: ヒット確認やばすぎ
[10995.222] (S)junpei_11: ヌキ無言で草
[10995.578] (S)nagasaki3662: 強い
[10996.502] viuneviune: 最後にはウメさんが勝つって思っちゃうんだよなぁ
[10996.545] (S)オワオワタ: いやヌキさんが強いんじゃね
[10996.990] mogu0621: まじかｗ
[10997.518] (S)moyashi117: つええ
[10997.702] magoichi_s: やっば
[10997.873] (S)sai927: つよｗ
[10997.969] HirocoT: わ
[10998.945] kakutora_no_o: つええ
[10999.627] 新ころりん: ヌキさんマジモードか
[10999.656] prosciu: 読み負け具合がすごい
[11001.034] (S)marvolo6: 普通に強いな
[11001.472] prisira: ヌキさん無言になってきたｗ
[11001.597] (S)hoshi_boshi_0: 強
[11001.666] keikohiro: 三太郎さんにも勝ってた
[11001.696] iwa1101: うめええ
[11002.195] イエール: つええーww
[11002.555] aran1637: アイイイイイイ
[11003.348] (S)成吉大: 強い
[11003.511] wananaki: あれ強い
[11005.033] Laino__77: ooof
[11005.264] at37itadakiyasu: 想像以上に強い
[11006.466] kb040307: 完全にスピード違反
[11006.647] (S)45tm83: これはセイヴァー以来
[11006.697] okara623: つんよ
[11007.963] quwrof_sb: ヌキ健在
[11011.454] takahashiseigi: 春麗の起き攻めは、ホント見えないよねえ
[11014.203] demonbane_twosword: うおおお
[11014.932] (S)junjamaica: これはアケコン足文鎮してるな
[11015.817] ビフィダス: ひぃ
[11016.509] (S)Nagare765: GO1の時はキャラ変えたばっかじゃね
[11022.531] yomogi0610: やるじゃない ニコ
[11024.250] (S)dcdryuya404: sekiChamp
[11024.754] wash4: なんでうめぬきやってるの？！！？？！
[11025.139] ~MISSING_COMMENTER_INFO~: china girl must pay the wedding
[11025.958] jjjmo: ヌキさん 仕上げてるか
[11026.203] foriqos: ガン攻め春麗ええな
[11027.472] nihonsyu_: もけより強い
[11028.184] (S)titilrin: ヌキさんに負けて燃えるうめちゃん見たさもある
[11028.245] askrra: ヌキ配信だとステージ違うんだね
[11029.649] (S)buildingoodman: ヌキさん大須以下だけど大丈夫？
[11029.693] keikohiro: 使うっしょ
[11031.284] (S)オワオワタ: チャンスだ
[11031.949] イエール: こーれはウメヌキ通り越して獣道か
[11034.818] (S)junpei_11: 五神健在
[11035.515] 新ころりん: みんなラシードばっかだから
[11038.340] buretan555: 豪傑もヌキさんと五分ってたし豪傑ｖｓ梅さんもあるのか？
[11040.681] log_zzz: ここでヌキが実力を出せば今後練習相手としてまた見れるかもしれん
[11044.621] animarotta: ほぼキャラ対関係ないガン攻め
[11049.278] mifune1046: アイイイイイイイ！！！！
[11052.418] prisira: 流石の反応
[11052.505] stopriverk: ヌキが真面目にやったらどうなる？
[11052.508] ひばりたつお: あいいいいい
[11052.820] mogu0621: ぬけるんか
[11053.050] イエール: やるー
[11053.282] heishosann: やるわ
[11054.385] 大ﾗｲｽ: うおお
[11056.484] sashiminohito: 見てるなー
[11056.782] (S)ハルキ10: やーる
[11058.743] ~MISSING_COMMENTER_INFO~: ヌキさん三太郎に勝ってんの？
[11060.332] at37itadakiyasu: いやいやいや
[11061.036] nyata1234: 絶対読めたやろ今のw
[11063.220] Qtr1214: スピード違反
[11063.962] ledlight9413: つよくね？
[11064.027] (S)Nagare765: ウメちゃん負けたらおじリーグ出場になるか？
[11064.118] imakuni3: ？？「今のは大貫を試した」
[11064.738] keikohiro: おわた
[11065.448] mogu0621: うめええ
[11065.698] teslacut: あるんかーい
[11066.846] もちもち芋: えええええええええええ
[11066.878] tesna_: うおお
[11068.008] tk1021: あれ？
[11068.085] BigbossJP: うまいｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[11068.102] nasi1129: つよ
[11068.117] ぢょごぢゃん: さすが
[11068.450] だいこん_: つええ
[11068.450] (S)nagasaki3662: まーじか
[11068.844] kurare2020: ぎゃー
[11068.968] hisotensokuzei: うわ
[11069.095] quwrof_sb: わーお
[11069.299] potocki1810: ｗｗｗｗｗｗｗ
[11069.350] tosh_gamekids: うまいわ
[11069.997] ねりまん: SAゲージ回しが上手い
[11070.033] nikukuisugi333: おおお
[11070.097] kb040307: うめえ
[11070.246] イエール: ハザン
[11070.372] チョコミんト: うんまー
[11070.398] 大ﾗｲｽ: つええええええ
[11070.501] akira_s_: 読まれてる
[11070.515] beehive3: ヌキさんつえー
[11070.667] くね君: まーじか
[11070.706] monjirou1: はっや
[11070.904] sashiminohito: まじかー
[11071.304] mako6912: うま！
[11071.432] toripy55: うまーい
[11071.478] gajpmwtdpw: うっまw
[11072.274] viuneviune: うーま！
[11072.725] (S)Hiclere: おー
[11072.807] Papapadad: つええええ
[11072.946] mogu0621: (daigo:Ken)０－４(oonuki:ChunLi)FT:10
[11073.309] demonbane_twosword: つええええええええ
[11073.311] johnnyppas: 今のとられるか
[11073.321] (S)yukke85: まじかーまくった
[11073.591] (S)hoshi_boshi_0: いやつよ〜
[11073.751] oleo0227: スピード違反だわ
[11074.027] (S)tama_zx61: まーーーじかｗｗｗ
[11074.214] shockj0ckey: つええ
[11074.313] カブトシロ: スゴイ！
[11074.429] aran1637: アイイイイイイ
[11074.488] wash4: おおおおお
[11075.114] (S)junpei_11: スピード違反
[11075.186] iwa1101: うめえw
[11075.614] masakintv365: ウメちゃん相手だと本気度ヤバいな
[11075.642] (S)bikibiki999: ふつうにめちゃくちゃうめえ
[11076.171] erukima: つよいｗ
[11076.347] radoruf04: ウメヌキうおおおおお
[11077.231] せいじゅん: つええ
[11077.324] (S)エムクロ: やるう
[11077.366] NekkyOne: tuyoww
[11077.466] ichi_gatsu: 波動もみられてる
[11078.349] abovebeyond7: ヌキさん！？
[11078.488] Ramen_soul: PogChamp
[11078.608] (S)ハルキ10: いいねーやるねー
[11079.077] 4sukaryo: かっけぇ
[11079.223] もきち555: うめちゃん？
[11079.235] sei_6: 天才
[11079.323] stopriverk: ヌキさん一億あるで！
[11079.352] gajpmwtdpw: ウメちゃん...？
[11079.356] pu_neko3: 流石に今の波動は甘えすぎでしょー
[11079.449] heishosann: 完全に読んでたなー
[11079.484] (S)syouyuireppa: 不遜きた
[11079.508] (S)nnmdfs: ヌキさんおかえり
[11080.832] mizzzzman: 大貫のゲームか？？？
[11080.876] bagooon20: 読まれたー
[11081.061] takahashiseigi: ヌキさんの攻めの押し付けは凄いな
[11082.084] log_zzz: スピード違反
[11082.709] (S)mm2351: ヌキさんめっちゃ叫んでるｗ
[11082.801] qty11: 嘘だろ…ウメちゃん…
[11082.960] keikohiro: 玉抜け見てたね
[11083.108] (S)tetete06: ぬきさんちゃんと強い。。。
[11083.190] ちぇんぷる: ヌキさん強すぎんか？？
[11083.412] kakutora_no_o: 完全に人読みww
[11083.914] tankbba146: ヌキさん帰って来たか
[11085.638] kaban1192: 50先だから余裕
[11085.688] lucia_morgan: ヌキさんノリノリだな
[11086.381] prosciu: 全部読まれてる
[11086.494] wmddgpt: スピード違反きたあああw
[11086.890] king_katsuhisa: ウメちゃん？
[11087.563] ビフィダス: ぎゃ
[11088.450] イエール: これには王も満足よ
[11089.933] quwrof_sb: 全盛期ヌキか
[11090.150] mifune1046: 「才」
[11090.294] at37itadakiyasu: これは動画あがりますは
[11090.545] ロミヲ: ウメちゃん試してそう・・
[11090.664] chicken_dumpling: who is this chun?
[11091.797] ビフィダス: やばやば
[11092.652] (S)Jam10505: ヌキさんが無言でやってるのこわい
[11095.764] イエール: Nuki
[11096.752] mogu0621: すご
[11097.208] (S)bikibiki999: ヌキさんライバル相手だとバフでもかかるんかな
[11099.793] potocki1810: ｗｗｗ
[11102.532] Ceciltaisa: 不遜
[11104.308] johndoe6523rp: 視聴者くそ増えたww
[11104.512] chicken_dumpling: thanks
[11105.747] ganmatiojisan: ヌキさんパチンコしかしてないのにマジつえーな
[11106.494] (S)オワオワタ: やっぱおじリーグなんかにいてはいけない人だよな
[11106.496] (S)tama_zx61: スピード違反や
[11109.317] (S)syouyuireppa: ヌキが強いのはなんだかんだいい
[11110.674] dorainhsvv: 大貫最強
[11110.690] hisotensokuzei: （3rd勢は対空がでないけど）出す
[11112.552] meran1235: もけも出せないのに
[11116.559] シャンウー: ヌキさんの配信で梅原さんコメでボロカス言われてて胸糞悪いわ
[11117.386] もちもち芋: また！！
[11117.737] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[11117.937] shoshoshow: GO1三太郎より苦戦してない？
[11121.517] (S)buildingoodman: このままじゃヌキさん気分良すぎてパチンコから帰らなくなる…
[11121.939] (S)gularain: ヌキさんウメちゃん相手だとバフかかるん？
[11122.990] (S)mm2351: ヌキさんが本格的戻ってきたらいい刺激になるなぁ
[11124.246] heishosann: なんでこの人がおじリーグ出てるんだ
[11125.574] nihonsyu_: ふーりあすはやくしろ
[11125.614] ロミヲ: ヌキさんも最初は技出なかったんだよ・・・
[11128.486] kaban1192: 即BO
[11130.679] (S)perfecttakahashi: やっぱ今のウメちゃんめちゃめちゃ弱いんじゃ…
[11132.273] ~MISSING_COMMENTER_INFO~: can tprotect in d air
[11141.397] moricocoa: 元キック-7Fだよウメちゃん 気づいて
[11145.117] yukinose01: SFLでヌキさん普通に見たいな
[11145.991] mogu0621: ふーーｗ
[11147.758] Dio55555: 春麗の大足はガードしても大足で確らないんだよなぁ
[11150.384] rump_momo: あっぶね
[11150.649] stopriverk: ヌキさんが真面目にやったら反則だから
[11151.959] gajpmwtdpw: あっぶ
[11152.701] (S)axchuuu: 平常心や、相手のコメなんて気にすんな
[11154.545] (S)ハルキ10: っけい
[11155.024] (S)marvolo6: -7だね
[11160.073] mifune1046: お互い2回ずつboしたw
[11160.444] ledlight9413: シュートに10先買ってたから今のウメちゃんは強いはず
[11162.680] カブトシロ: バーンアウトでも関係なく攻めるな。
[11166.359] (S)punpunjp_: ウメさんさすがに弱いな
[11169.884] roytaly: いや中パン
[11170.484] demonbane_twosword: 今回の調整かー
[11171.185] imakuni3: ウメヌキの差し合いが見れるだけで嬉しいよ俺は
[11171.649] akira_s_: コパンバリヤー
[11171.815] quwrof_sb: リジェクトにヌキ入れべ
[11172.196] gloomymario: ヌキさんがかえってきたぁ
[11176.218] mogu0621: コパンからＳＡつなげてるｗ
[11177.188] ちぇんぷる: ヌキさんが強いんじゃ
[11177.381] wananaki: 1日1つ強くなればいいねん
[11179.146] ~MISSING_COMMENTER_INFO~: cococombo
[11179.756] ~MISSING_COMMENTER_INFO~: ボンちゃんとも互角なのに弱い訳がないｗ
[11180.420] バージル4260: ウメちゃんはスロースターターだよ
[11180.734] kaban1192: けずれたー
[11181.671] (S)bikibiki999: ガン攻め
[11182.780] king_katsuhisa: ウメちゃんオジリーグいこっか
[11182.816] kuini__: 技つえんす
[11182.894] ranakw: やば
[11183.841] quwrof_sb: つ、つええ
[11184.626] foriqos: 気持ちいいぐらいガン攻めだな
[11185.021] inuneko201: 逆転したら良い切り抜き動画になりそう
[11185.640] mukimukipanda: 強ええ
[11185.746] gajpmwtdpw: うますぎ
[11187.049] ~MISSING_COMMENTER_INFO~: ウメヲ雑談なんぞやってる場合じゃねえ
[11187.210] のぞみくん: すげー
