[7.203] (S)はくまい_45: 何事？
[1662.899] (S)kuugay0905: うわ
[1662.971] あらんえむかーびぃ: うざ
[1663.001] rigore_napoli: うざ
[1663.007] あしゅ228: 直視できんくなるからやめて
[1663.059] (S)レロキャン: うわ
[1663.162] (S)inuyo: うわ
[1663.186] (S)muuuui7: うわ
[1663.402] suiha_7: うわ
[1663.486] (S)殴りちくわ: くっそ
[1663.580] (S)湊ソラ: ギアさんに渡そう
[1663.738] りゅい: は？？？
[1663.741] supulasuki: 怖
[1663.857] (S)あるみ屋: は？？？？
[1665.215] yozakuraaaaaaaaa: うわ
[1665.319] はるーかす: だる
[1665.333] tukky1208: 特定不可避
[1665.376] (S)buruburu6425: この格好はやりすぎじゃない？
[1665.382] らうま: うわ
[1665.411] bokugaraikunn: さいあく
[1665.443] cocoron2525: もう行かね
[1665.445] remo_ne: これはネタ確定‼️
[1665.460] mio28824: うわ
[1665.530] (S)かなでだよん: きもすぎね
[1665.555] もちモチ1111: 批判殺到だ
[1665.570] 花くらげ: これで街歩ける
[1665.619] ashioto_442: だる
[1665.647] evacoler: 覆面被って
[1665.959] amacha_r: 俺らも着てく
[1666.047] renkuwa0331: この着ぐるみ着てくるの？
[1666.148] 零時梟: うわぁ
[1666.151] (S)Ruria00: うわ
[1666.162] refurann: お前見つけるな
[1666.191] myorukana: 自慢になんない
[1666.345] ka_ka_3n: 絶対勝ち取ってやるからなあ！！！
[1666.369] (S)nyana_71530: うわ
[1666.465] (S)つむじのきもち: 目の前でらっだぁの服破り捨てるわ
[1666.564] soiyapppp: 普段から着よ
[1666.606] _みどまる_: 身バレ確定演出
[1666.700] あげのり: 全身青タイツ？
[1666.841] sayorin25256: うわー
[1666.843] ゆちちちち: うーわ
[1666.854] みんご1234: え？
[1666.877] mi__1106: きっつ
[1667.014] panndaman1: うざ
[1667.050] カナバ: リスナーとペアルックになるの？
[1667.055] potetireenu: うーわ
[1667.072] やえぎ: うっわぁ
[1667.266] charcy___: すぐバレるぞ
[1667.284] ルルちゃんブルー: 親泣くて
[1667.382] charlotte0ra: 百円玉置いとくわ
[1667.491] いちか1006: うーわ
[1667.590] kumo3389: ユミルの民じゃなくてらだおの民
[1667.716] pikumin___52: 自前で作ってく
[1668.507] えぬあい: radaoKasu
[1668.590] ニコチャソ: 自慢にならん
[1668.597] suzume522: 別に自慢になってねぇよ
[1668.638] (S)yuru_2222_: は？？
[1668.741] honekara: だる
[1668.786] すわんこふ: マウントやめ
[1668.822] りゅい: すぞ
[1668.828] 505015: サブスクライバー優先とかあるの？
[1668.899] hannari_3729: 追い剥ぎするから覚悟しろよ
[1669.044] koushi_kun: 虎の威を借る狐
[1669.183] (S)l_plus_minus_l: パンツ被るの？
[1669.217] ruchi_13: うーわ
[1669.309] せっきくん: 特定
[1669.443] okome_maan: ぽまえしか着ないから身バレするよ
[1669.527] many7575: パンツかぶってくるってマ？
[1669.991] ginger_1202: 絶対おそろにしてやるわ
[1670.132] usiuma: 今の画面の服装で行くの？
[1670.169] show_918: うわ
[1670.206] sunomon_o: 変態すぎる
[1670.279] sora602: 全身タイツ？
[1670.365] hitodenohoshi: 全身??
[1670.387] りゅい: …すご
[1670.431] gekka_tukika: パンツもはいたら完璧だねwww
[1670.455] タス乗り初心者: イベント行くの辞めます
[1670.627] (S)わらびもち_11: 不審者w
[1670.629] みんご1234: だるいてー
[1670.676] (S)セレちゃ: ？？？
[1670.867] osa_393: うわ
[1671.052] amuamora: 陰キャじゃなくなっちゃうよ？
[1671.131] hima_norita: それで渋谷歩いて
[1671.162] ひがし一: 迷惑極まりないって話
[1671.387] よわはと: うざ
[1671.681] (S)mimipaadesu0428: イベントやった～
[1671.885] (S)冷ユレ: マウント取んな
[1671.936] konhamu: マスク貫通してるように見えてきた笑笑
[1671.957] るっこらら: 湯気出しながらイベントしないで
[1672.092] ほのぼの: 剥ぎ取るぞ
[1672.118] rinka59: 電車乗って欲しいわ
[1672.166] せきつい: その頃には俺らも着てるんだぞ
[1672.711] レだん: じゃあ買うか、、
[1672.885] (S)すもやんやん: すもやんやん subscribed at Tier 1. They've subscribed for 6 months! 
[1672.930] りゅい: …すぞ
[1672.938] ふくうう: ボルトルームのサイトすごいよ！！、！、
[1673.257] otyaba_808: 粕
[1673.422] rin7331: 仮面つけたらまんまそれ
[1673.508] crow_0226: 全身青タイツ！？
[1673.704] れいまー: 街歩いてたら 不審者じゃん
[1673.757] syachoo_: じゃあイベントやってね
[1673.999] _みどまる_: うわ
[1674.018] (S)つむじのきもち: はいきもいー
[1675.212] maguro_sasimi: 何が出るんですか??
[1675.291] many7575: ふーん
[1675.457] annzu125: 直近でやるってこと？
[1675.512] amaikazitu: うわ剥ぎ取るぞ
[1675.838] 無限叉焼魚肉ソーセージ: radaoW
[1676.372] (S)itijiku_0605: リスナーも何人かは着てくよ
[1676.440] 悠斗0314: 盗撮してやる
[1676.444] もか__2282: ちゃんとパンツ被ってな
[1676.607] そふぃ3: は？？うざ
[1676.856] sachan_606: トレンド進撃の巨人おめでとう
[1676.947] suisamadazo: はい、身バレ
[1677.032] ururu_mimi329: 間に合ってるから𐤔𐤔𐤔𐤔𐤔𐤔
[1677.152] さとか: 街歩いてほしい
[1677.277] nemu2038: ら民の完成
[1677.384] (S)にわすずめ: うわ
[1677.472] (S)ドミノくん: うっわ
[1677.927] tukky1208: うざ
[1677.956] omizzu: お前のファン辞めるわ
[1678.000] huminnoko: 、…
[1678.099] (S)yuru_2222_: 全身タイツで十分だろ
[1678.101] soniakundesu: 実写の時のお面これがいいじゃん
[1678.125] みんご1234: パンツ被れよ
[1678.184] marble1121: www
[1678.287] (S)きのここ: うざ
[1678.539] annzu125: は？
[1678.594] yozakura874: 欲しいけどvaulutroomの服って一瞬で売りきれるんだよな,,,
[1678.733] しんじゅ01_81: 自慢されてもきもでおわるから
[1678.777] kamiyu0306: 相変わらずキモイな
[1678.802] okchan89: おそろいだぞ
[1678.909] (S)あるみ屋: 楽しやがって
[1678.927] (S)yuuma122: うわ
[1678.965] toyo_1127: パンツ被ってな
[1678.970] (S)lemon199y: みんなで着ようｗ
[1679.110] mbando55: きもすぎ
[1679.215] refurann: 絶対声かける
[1679.228] (S)haondayo: うわ
[1679.236] run7576: ｢ﾐｨｨﾃｪｪｪ｣っつて自慢してけ!!
[1679.243] mikan_san: 駆逐しなきゃ…
[1679.379] こだま15: うざい
[1679.469] きおるん: 追い剥ぎしにいくぞ
[1679.582] 無限叉焼魚肉ソーセージ: radaoKasu
[1679.749] ~MISSING_COMMENTER_INFO~: リスナーの気持ちって考えたことある？
[1679.912] mope716: マウントきっしょ
[1680.045] (S)つむじのきもち: はいきもいーーーー
[1680.106] Kos0418: wwww
[1680.109] tora25_22: 身バレじゃん
[1680.414] hima_norita: うざ
[1680.417] ゆのら: どういう気持ちで会いに行けばいいんだよ
[1680.455] コバルと: 近所で噂になるぞ
[1680.484] タス乗り初心者: 俺は恥ずかしいよ
[1680.650] 8分19秒: うわ
[1680.861] rapimu0903: 迷惑極まりないw
[1680.955] evacoler: 虎の威を借るらっだぁ
[1681.092] amuamora: wwwwwww
[1681.096] (S)凩_: うわ
[1681.243] らぺる_0728: どりみーとかももうやってたぜ
[1681.258] mi__1106: どうと言われても
[1681.342] charcy___: 今度のイベント？？
[1681.449] moris1013: さいてー
[1681.450] ｽﾄﾗﾄ: 仮面に白い部分かちゃってつけれるようにしようwww
[1681.540] pocobokei: うわ
[1681.567] yua__o0: うわ
[1681.589] (S)itayui5: うわ
[1681.635] ringo288: うわ
[1681.771] みりむ_423: うーわ
[1681.830] yousan_luck315: うわ
[1681.944] _みどまる_: 剥ぎ取るぞ
[1682.027] t0zo_: 中身もキモいな
[1682.036] テラン: 進撃バージョンのお面作ろう
[1682.072] potetireenu: やば
[1682.087] まチャチャ: だる
[1682.177] (S)Mi_zua0: どう？じゃねえよ
[1682.316] 床_: それで？
[1682.495] あらんえむかーびぃ: パーカー出るんですか？？？
[1682.681] 瑠壱: びっくりした
[1683.002] (S)haondayo: うざすぎ
[1683.045] ayunosioyaki0223: うざ
[1683.070] なゆーた: やな奴ー
[1683.189] りゅい: はいはい凄い凄い
[1683.231] みりンゴ: うざ
[1683.258] すわずし: うざ
[1683.415] mizusakura0326: うわ
[1683.440] (S)頭痛が痛いから寝る: radaoKasu
[1683.497] (S)なんどね: うざ
[1683.542] pa_lo_n: wwww
[1683.542] キリンです: 討伐しなきゃ
[1683.650] みんご1234: パンツやろ
[1683.684] (S)Ruria00: うなじ切るぞ
[1683.707] みりむ_423: きも
[1683.800] raime0905: マウントうざ
[1683.868] bokugaraikunn: はいはいすごいすごい
[1684.037] dilofo01: お、おう
[1684.055] nakihai556: マウントじゃん
[1684.110] tomatotto_: うざ
[1684.200] そふぃ3: だっる
[1684.477] てれぶーん: きんも
[1684.490] Ichigo_Strawberry15: きm
[1684.513] nya_san37: やばいw
[1684.654] グリシュ: うわ
[1684.686] あしゅ_1127_: うわ
[1684.701] mirumiru_h: はいはい
[1684.711] milk__lemon: 苦笑いで終わるわw
[1684.728] ferunora: 身バレ
[1684.799] dafukani_z: うわ マウント
[1684.878] wau_nk: うーん、
[1684.886] (S)しあん__: うわ
[1684.893] やえぎ: 100円納品
[1684.977] yu_rayui: くわっ
[1684.979] ウォルフ_: 特定されそう
[1685.070] せっきくん: 身バレ必須で草
[1685.071] sigma_rui: パンツ被ってるみたい
[1685.134] rapimu0903: うわ
[1685.295] (S)kasumi0205: 身バレおつ
[1685.399] if0990: パーカーなの？
[1685.623] (S)mikannn_0117: そうですか
[1685.843] くろざき: あっそ
[1685.848] drop6940532: パーカーなんですね
[1685.850] ぁきぃ: おまわりさんこの人です！
[1685.862] mayoi_baum: どいーらのおかげやろ
[1685.883] panndaman1: うわ
[1686.135] takuminminsan: ？？？
[1686.163] remiiiii_28: マウントとんな
[1686.377] いのりさん: うざ
[1686.379] ryoryo_23: うざ
[1686.429] sunomon_o: ホントにやれよ？
[1686.430] 嶺胡: ねえやめて
[1686.585] haruu_603: だる
[1686.604] (S)sarappi_0112: うわ
[1686.610] レだん: 身バレしてて草
[1686.627] こめしろ: うぜ
[1686.782] (S)cleam37564: 身バレ確定
[1686.787] ruchi_13: うざ
[1686.828] (S)にわすずめ: うざ
[1686.854] meruizu: どうってなんだよ
[1687.054] (S)tunamayo1234: うわ
[1687.064] omaru_ssr: それでこれが出てくるの？
[1687.084] show_918: うざ
[1687.120] えりさ_: きも
[1687.217] miya07016: うざ
[1687.258] りゅい: すごいねー
[1687.349] annzu125: うっざい
[1687.483] ひな団子: 知ってる
[1687.606] riku0572: うざ
[1687.666] manakaito: すごいね
[1687.732] otyaba_808: だる
[1687.776] (S)muuuui7: うざ
[1687.988] (S)ぺぱさん: なんて答えるのが正解なん？
[1688.029] (S)mimipaadesu0428: うざt
[1688.032] komitanara: しばき倒すぞ
[1688.209] kawaharaya: パーカー！？
[1688.438] mi__1106: はあ
[1688.446] sakiritu: パーカーなんだへぇ
[1688.456] (S)~MISSING_COMMENTER_INFO~: チャンネル登録解除しよーぜ
[1688.520] まだら25: うわ
[1688.648] chanmii29: いいよこいよ
[1688.675] iriss3535: うざ
[1688.675] yua__o0: どう？って何
[1688.761] (S)yuru_2222_: うわ
[1688.812] norato041197: パーカーなんだ
[1688.896] umino_p: うわ
[1689.158] かたつむり_11: え、うちもなんだけど（（
[1689.190] yuyuyu__1111: だる
[1689.203] rgwn27: パーカーなんですか！？
[1689.337] あわわわわわわわわわ: うっわ
[1689.388] marble1121: マウントやばwww
[1689.405] miyamiya138: うざ
[1689.434] yozakuraaaaaaaaa: 泣いてやるからな
[1689.486] 瑠壱: さすが！
[1689.547] mitora2916: 反応に困るわ
[1689.606] siondaifuku: うわ
[1689.721] サバンナのかに: だっさで終わり
[1689.745] もちモチ1111: うううわ
[1689.814] hinase01: 相手困るで
[1689.840] りったん_: パンツのくせに
[1689.865] やえぎ: うざ
[1690.251] るらま: オフ会来た子供たち泣くぞ
[1690.392] ずつうがいたい: 身バレだ
[1690.433] (S)にわすずめ: wwwwwwwwwwww
[1690.563] (S)まいえもん: 100円落としとくね
[1690.641] ruuuna6891: wwwwww
[1690.716] tokky0718: パーカーあるのねおっけ
[1690.845] (S)kuensa: よかったね
[1690.865] tommyy_0430: パーカーなんだ
[1691.060] minto13579: 間違ってないからなおムカつく
[1691.085] ゆちちちち: パーカーか
[1691.102] kagura_kiba: お前じゃなきゃな
[1691.114] キラキラボシ: パーカーなんだ
[1691.161] (S)yuru_2222_: うっざ
[1691.193] main94: マウントとるなよｗｗｗ
[1691.266] suiha_7: どいーーら 助けて＞＜
[1691.352] crowsuke96: ｗｗｗｗｗｗｗ
[1691.407] exia_182: うざ
[1691.605] (S)イモムシファザー: 正月親戚に自慢できるじゃん
[1691.653] umino_p: だっさ
[1691.740] (S)はっる坊: マウントきも
[1691.827] みんご1234: パンツ自慢いいです
[1691.842] ashioto_442: ぱんつ
[1691.871] 宇宙に浮かぶひつじ: うわ
[1691.871] りゅい: すごいねー(棒)
[1692.149] morry1063: うなじぶった斬るぞ
[1692.171] (S)セレちゃ: イベントやりなよ
[1692.208] rubychaaan: うなじ切り落とすぞ
[1692.222] ma_tsu_: wwww
[1692.344] moris1013: 4ね
[1692.382] にゃるぷ: パーカー
[1692.519] れいまー: こんな 巨人には絶対食べられたくないわ
[1692.575] mingo__sk: パーカー出るんだ
[1692.579] (S)sisui_golira: やば
[1692.690] chon0401: でもお前自身は小物じゃん
[1692.838] タス乗り初心者: うざ
[1693.375] mk_nabe: 全身タイツじゃないのか
[1693.401] なゆーた: 調子乗んなよ
[1693.471] あかいし: 羨ましくなくなる
[1693.566] rukuseburuku: よかったねー
[1693.610] (S)yuuma122: パーカーなんや
[1693.687] morte_420: パーカーなの？
[1693.736] myorukana: マウント厨だ
[1693.852] mbando55: ｗｗｗ
[1693.931] ふくうう: ボルトルームのサイトすごいよ！！！！！
[1694.117] mag_mag000: 最悪
[1694.358] remo_ne: でも、この顔が写ってるの着てたら…
[1694.407] nekodama2155: wwwwww
[1694.452] suisamadazo: ボルトルーム着たら身バレしそう「
[1694.490] (S)tsukimi529: ふーん
[1694.605] (S)なしのみ: うわー
[1694.617] ぎゃうすけ: きっしょ
[1694.857] きおるん: 追い剥ぎしに行くね
[1694.868] many7575: よかったねー
[1694.925] amuamora: すごいすごいねー
[1694.994] tugussiy: w.
[1695.121] (S)レロキャン: wwww
[1695.125] taco_tubo: なるほどパーカー
[1695.191] soku614: ｗｗｗ
[1695.255] (S)きのここ: wwwwwww
[1695.627] kuro111111111: 鼻で笑う
[1695.792] (S)kaomodi22: ｽｺﾞｲﾈｰ
[1695.908] (S)しょぼん0423: すごいね
[1695.934] yuasee: wwwww
[1696.016] えりさ_: www😃😃
[1696.019] (S)しあん__: パーカーなんだ
[1696.081] Nazuna_GI: パーカーなんだ
[1696.110] (S)sizuya: 友達無くすぞ？
[1696.165] よわはと: ばーかーなんまねあ
[1696.291] mi__1106: wwwwww
[1696.555] ruchi_13: ドヤ顔？
[1696.739] (S)にわすずめ: 赤さん？
[1696.776] panndaman1: パーカーなんだ
[1696.789] あげのり: うわ
[1696.793] charcy___: つまり…駆逐して…いいって事？？
[1696.833] (S)mrgrtpsr: 買わなくてよかったって言いたくなると思う
[1696.934] (S)らいるさく: うなじ削ぐぞ
[1696.974] (S)cleam37564: wwww
[1696.982] 77__46: そう....
[1697.003] ろみー: デザインによるなー
[1697.218] umino_p: ww
[1697.239] なっち: こっちも着るから相殺
[1697.484] Ishio_62113125: 進撃制作陣「グッズ化の責任を果たすんだ」 vaultroom「やるんだな！？今…！ここで！」
[1697.768] chanmii29: w
[1697.821] nobitade: はいはい
[1697.864] yousan_luck315: なかなか言えないセリフ
[1698.014] akaihi: それで100万いってないのある意味すごいよ
[1698.077] sayorin25256: Wwwwww
[1698.124] chippi_93: パーカー出るんか
[1698.249] レだん: wwwwwwwwww
[1698.351] omomo67: 思わずうなじを切りたくなる
[1698.487] sarusaru3636_z: www
[1698.501] sanya0911: ふーん
[1698.628] Soratandao: wwwwwwwww
[1698.664] (S)つむじのきもち: お前は小物だろ
[1698.682] pikumin___52: パーカーでるの？
[1698.684] mag_mag000: 似合わないよ
[1698.720] poruwo1212: 進撃の巨人の初コラボが……
[1698.734] タス乗り初心者: wwwww
[1698.782] rinnel0117: ww
[1699.005] maromaro332: わこらだなにこれ
[1699.055] wa_ko7: そっかそっかすごいねうん
[1699.133] sigma_rui: 変態仮面…
[1699.283] (S)ドミノくん: www
[1699.738] exia_182: wwww
[1699.886] まだら25: www
[1699.950] umino_p: 草
[1700.065] nanadefo: パーカーなんすねぇー
[1700.079] nemu2038: パーカーでるのか
[1700.297] ashioto_442: よかったねー
[1700.321] (S)hanadango823: すごーい
[1700.365] yuyuyu__1111: wx
[1700.606] (S)sarappi_0112: パーカーなるほど
[1700.620] そふぃ3: わ〜すごいねー(棒)
[1700.798] てれぶーん: www
[1700.814] らうま: そうだねーすごいねー
[1701.022] purupurupurin2021: なんかフリーザに見えてきた
[1701.040] karokaro23: 武勇伝語りたがるおじさんぢゃん
[1701.556] mizusakura0326: wwwwwwww
[1701.648] kana_0104: さすがに驚く
[1702.350] lumaguron: その巨人コスプレしていく
[1702.442] にゃるぷ: 完璧身バレ
[1702.450] (S)AoironoMalco: なんでパーカーにしたの？全身タイツの方が良くね
[1702.575] nerikondapan: 自称に見えてしまう
[1702.594] s_mayusan: すごーい
[1702.952] _みどまる_: うわ ~ きしょい ~ (
[1703.025] (S)冷ユレ: www
[1703.042] 黒猫缶: パンツでマウント取るのか…
[1703.205] ぎゃうすけ: よかったでちゅね
[1703.564] evacoler: でもおまえは小物やん
[1703.598] toyu315: パーカーなんだね
[1703.865] akatuki_1018: わこらだ
[1704.005] (S)yuru_2222_: その顔？
[1704.041] (S)arukas_1616: どりみーもってそう
[1704.412] mio28824: www
[1704.533] 100トン: 駆逐するぞ
[1704.581] 都さむらい: はいはい虎の威
[1704.727] すわずし: 人気ダダ落ち
[1704.786] ururu_mimi329: 変な自慢（？）
[1705.008] 宇宙に浮かぶひつじ: wwwwww
[1705.561] alpaka11ra: パーカーなん？
[1705.797] Amane__00: ふーんパーカーなんだ
[1705.858] remo_ne: かいてぇ
[1706.020] kyukun1765: wwwww
[1706.021] みんご1234: 変態仮面や
[1706.074] annzu125: そういうとこだよ？
[1706.141] momotyandayo: 顔面これにしてほしい
[1706.270] riku509864: グッツなの？
[1706.464] atsuki3026: パーカー出るんだ
[1706.507] 床_: すごーい
[1706.514] るおはゲーム下手: 立体機動装置持参しなきゃいけないな
[1706.648] natubatch: この絵だったら指差して笑ってやる
[1707.254] 14mugitha: らっだぁはすごいねー
[1707.384] mocupu: そうだねーすご〜いねー
[1707.652] mocomocyan: あしらわれてて草
[1707.712] zecky310: デザイン気になるね
[1708.296] yuyuyu__1111: おかんやん
[1708.374] kumada111: パーカーって言っちゃったやん
[1708.403] はこばら: 一瞬で身バレすんじゃん
[1708.406] tukky1208: よかったねー
[1709.007] jhonnymorimori: radaoHi
[1709.493] kujirai___: wwwwwwwwww
[1709.637] あらんえむかーびぃ: wwwwwwwwwwwwwwwww
[1709.691] (S)はくまい_45: www
[1709.844] (S)すもやんやん: ついに顔出ししたのか
[1710.104] miedaaaaa_0805: 目も白のコンタクト付けるん？
[1710.283] Ichigo_Strawberry15: wwwwwwwwwwww
[1710.549] sota978: ローラーブーツ仮面パーカーかぁなかなか奇抜だな
[1710.714] (S)にわすずめ: いいね〜wwwwwww
[1710.959] osigatooto: 着てたらいじめられそう
[1711.003] ハルマ: あ
[1711.052] こだま15: ｗｗｗ
[1711.211] (S)きのここ: wwwwwwwwww
[1711.584] crowsuke96: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[1711.830] karintooooo51: 全身タイツがいいな
[1711.832] (S)mrgrtpsr: wwwwwwwwwwww
[1711.921] nerikondapan: ww ww
[1712.254] (S)つむじのきもち: wwwwwwwwwwwwwwwwwwwwwwww
[1712.467] kawaharaya: wwwwww
[1712.492] sunomono8: wwwwwwwwwwww
[1712.525] (S)なんどね: wwwwww
[1712.648] (S)mimipaadesu0428: あ
[1712.701] oyazigarisan: 配ろう
[1712.703] みんご1234: 変態自慢か
[1712.725] (S)odangotiyan: パーカーネタバレ
[1712.735] (S)awayuri: wwwwwwww
[1712.908] (S)sora_mameee: ｗｗｗｗｗｗ
[1712.999] amuamora: wwwwwww
[1713.073] ruu_ha: wwwww
[1713.086] nasutyazuke: www
[1713.099] mitora2916: wwww
[1713.146] (S)猫の髭: wwwwwwwww
[1713.152] やえぎ: よかったねぇ（棒）
[1713.318] nakihai556: wwwwwwwwwww
[1713.350] kanoha_2525: とーちゃんだけにしとけ
[1713.444] remiiiii_28: wwwwwwwwww
[1713.627] (S)aiwei18028: わーすごーい(棒)
[1713.738] 紗弥0926: wwww
[1713.856] (S)yamamurame: wwwwwwwwwwww
[1714.037] rapimu0903: wwww
[1714.103] cabinet0604: え
[1714.173] kagura_kiba: wwwwwwwww
[1714.184] 無限叉焼魚肉ソーセージ: radaoW
[1714.240] drowsy__46: wwwwwwwwwwwwww
[1714.266] (S)レロキャン: wwwwwww
[1714.295] 8分19秒: きっしょ
[1714.308] (S)kuugay0905: wwwwwwwww
[1714.332] (S)ama_iro_: wwwwwww
[1714.464] うめた: あ
[1714.588] yu_rayui: wwwwwwwwwwwwww
[1714.600] mbando55: ｗｗｗｗｗ
[1714.722] マスクさん: あ
[1714.752] (S)sora_mameee: あ
[1714.790] ma_tsu_: wwwwwwww
[1714.795] rona0525: wwwwww
[1714.806] (S)ベニマル: wwwwwwwwww
[1714.911] そいる_: wwww
[1714.923] (S)Ruria00: wwwwwwwwwwwwww
[1715.957] nobume0v0: wwwww
[1715.979] (S)あるみ屋: wwwwwwwwwwww
[1716.082] (S)tanakanburitya: www
[1716.096] hima_norita: wwwwwwwww
[1716.190] そふぃ3: wwwwwwwwwwwwwww
[1716.191] ginger_1202: www
[1716.213] luno_snow: www
[1716.276] ほのぼの: wwwww
[1716.316] (S)yoimossessuuu: wwwwwwww
[1716.332] せきつい: wwwww
[1716.352] (S)waakari2003: w
[1716.371] (S)inuyo: あ
[1716.548] (S)Hinori0228: wwwwww
[1716.561] すわずし: wwwwwwwwww
[1716.579] nashu_noike: wwww
[1716.831] ゆちちちち: wwwwwwwww
[1716.841] ねここねる: wwwwww
[1716.869] piisuke0428: あ
[1716.886] (S)haondayo: あーwww
[1716.892] みりンゴ: wwwww
[1716.902] _りおん: wwwwww
[1718.978] タス乗り初心者: wwwwwwwwwww
[1719.131] mi_tyan562: wwwwww
[1719.142] いえねこ_: お前それ外出る時着ろよ
[1719.156] komitanara: いいねwww
[1719.210] Ru_iiii: wwwww
[1719.349] ryoryo_23: wwwwwwwwww
[1719.411] ayunosioyaki0223: wwwwwwwwwwww
[1719.435] もちモチ1111: wwwwww
[1719.440] ドらコアら: あ
[1719.444] 冷や茶: wwww
[1719.585] kana_0104: きもすぎ
[1719.639] runana_1123: wwwwwww
[1719.699] えりさ_: wwwwwwwwwww
[1719.826] melonmelo_: wwwwww
[1719.832] norato041197: www
[1719.881] _みどまる_: wwwwwwwww
[1719.887] カナバ: やめとけ潰されるぞ
[1719.957] sheep_pu: wwwww
[1720.036] たこわささん: 何年かかってもいいから受注が良い
[1720.052] (S)negishio___: wwwwwww
[1720.059] haruu_603: wwwwwww
[1720.116] キリンです: マジでいいな
[1720.162] (S)kasumi0205: ｗｗ
[1720.203] sota978: wwwww
[1720.284] kagura_kiba: おもろwww
[1720.377] (S)muuuui7: wwwwwww
[1720.450] many7575: あーあ
[1720.459] (S)hanadango823: wwww
[1720.792] sutolaba: wwwwwwww
[1720.827] otyaba_808: www
[1720.835] 夢現: うぜー
[1720.858] (S)ｻｧｻ: wwwwwww
[1720.887] (S)ドミノくん: wwwwwwww
[1720.915] cabinet0604: wwwwwwww
[1722.020] なっちゃちゃ: wwww
[1722.458] nya_san37: wwwwwwwwwwww
[1722.461] (S)kuuki1214: wwwwwwwwwww
[1722.526] 和泉ぴけ: 食われるぞ
[1722.565] amuamora: あららwwww
[1722.664] (S)あるみ屋: いいねwwwwww
[1722.759] (S)sumire408: sumire408 subscribed at Tier 1. They've subscribed for 3 months! 
[1722.912] suiha_7: アスパラでしばかれるぞ
[1723.116] chinorasuku_: 配信見ようと思ったらびっくりした
[1723.320] (S)yuru_2222_: wwwwww
[1723.338] くろざき: うーわwww
[1723.506] nobitade: 今日何時まで配信やりますかー
[1723.571] Ishio_62113125: あww
[1723.706] same__yu: www
[1723.811] ハルマ: radaoTENGU
[1723.846] mio28824: wwww
[1724.163] そいる_: 1番貰われたくない
[1724.393] 縮緬雑魚: でもギアさんって７０ｍあるらしいぞ
[1724.401] (S)ちゃモん: てことで、イベントよろ
[1724.719] (M)Nightbot: サブスクライブはこちら https://www.twitch.tv/products/raderaderader/ticket Primeの方は無料でスポンサー登録ができます→  https://twitch.amazon.com/prime
[1724.884] みえのえ: wwwwww
[1725.168] mirinko3: 191に勝ったのか
[1725.402] (S)buruburu6425: 見上げながら言うのね
[1725.485] 風奈: すごいねー（棒）
[1725.541] noa_hakobune: wwwwwwww
[1725.576] みゅう_818: ＯWはいつから？
[1725.582] suisamadazo: ほかの人で身バレしてる人いたよ
[1725.647] みんご1234: おっさきぃー！
[1725.691] keoke0: ひねりつぶされるぞ
[1725.706] (S)waakari2003: マウントとんなやw
[1726.093] ringo288: 嘘だぁ
[1726.103] wpj575: www
[1726.114] charlotte0ra: wwwwwwwwwwww
[1726.183] exia_182: wwwwww
[1726.205] そふぃ3: 反応に困りそうwwwwwwwwww
[1726.320] amaikazitu: wwwwww
[1726.335] やえぎ: やば
[1726.432] サバンナのかに: (奇行種)
[1726.471] waon_point: 倍あるもんな
[1726.562] えんそ: wwww
[1726.665] remo_ne: もう巨人にもなりました❗️ 
[1726.719] akita_210: wwwwwwwwwwww
[1726.754] mizusakura0326: うわwwwwwwwwwww
[1726.955] zecky310: 巨人マウント
[1727.690] (S)セレちゃ: うわ
[1727.843] うめた: ギアさんのが合ってるw
[1728.116] (S)なんどね: あぁwwwww
[1728.117] えむたろうさん: 嫌われるw
[1728.283] runana_1123: うっざw
[1728.383] もぐもぐわさび: 青い巨人だお
[1728.658] _みどまる_: マウントおじさん
[1728.889] レだん: うぜぇ
[1728.895] 小トロ: www
[1728.909] まチャチャ: リアル巨人にマウントとるな
[1729.007] きゅうりのピクルス: わこらだ
[1729.123] (S)とんぼむ: 鉄板ネタ増えたな
[1729.230] potetireenu: ｸﾞｲｰｰﾝﾝ
[1729.350] りゅい: アスパラで殴られてしまえ
[1729.429] marble1121: 調子乗ってると痛い目あうぞwww
[1729.438] (S)haondayo: 怒られろw
[1729.568] タス乗り初心者: うっっっざ
[1729.658] (S)イモムシファザー: 7mに潰されるぞ
[1730.195] やえぎ: wwwwwwww
[1730.432] sintara12: wwwwwwwwwwwwwwww
[1730.829] amuamora: wwwwwww
[1730.880] denou777: まだギアさんのほうがでかいよ
[1730.943] ゆきさば: 怒られろ
[1731.050] aika21: wwwwwww
[1731.103] mo_coa: つぼーらにも言わなきゃ
[1731.313] (S)hanadango823: うわぁ
[1731.634] (S)Ruria00: ひねり潰されてしまえ
[1731.734] mi__1106: wwwwwwwww
[1731.943] 暗黙の緑茶: ギアさん興味コーヒーだろ
[1731.983] many7575: 頭からムシャア
[1732.180] t_neko_t_: お前のものではないけどな
[1732.184] (S)yuru_2222_: マウントww
[1732.199] akaihi: でもギアさん60mあるよ
[1732.235] 256_kiri: ギアさんが巨人でぽ前は奇行種だろ
[1732.560] (S)gottumal: ギアさんの方が高くね？
[1732.705] (S)かなでだよん: でもギアさん100メートルぐらいなかったっけ？
