[18.565] ゆかりんりん: わこらだ！！！
[1541.071] おへそ: 生ぬりいよなぁ！？
[1541.245] mikan_san: 行くぞぉぉぉぉ！！！
[1543.172] ひかでぇーん: 戦闘狂だっでぃ
[1543.282] (S)なーぽん: ぎゃいん
[1543.646] あらんえむかーびぃ: あと20は欲しいなぁ！
[1544.862] karage210: 倍は欲しい
[1546.448] ogaoga7815: ぎゃいーーん
[1548.436] (S)panndaman1: ぎゃいーん
[1548.471] airicyann: MAXのうえとは
[1552.376] tasuke_: MAXの意味をご存知ない！？
[1553.176] sharu131: 爪痕いこう
[1553.188] ogi_3: ダイヤ帯でも同じこと言えるんか
[1554.103] shottomo: 足りてんだよな
[1554.734] (S)なーぽん: ぎゃいーんスタンプ追加はよ
[1554.737] (S)そおお: ぎゃいーん
[1557.568] みえのえ: ふむ、
[1559.188] てとてと: わこらだ
[1560.146] akaihi: MAXって知ってる?
[1562.949] おへそ: ナイス索敵
[1563.676] ruruyank: 死んだな
[1569.540] (S)taito001: あーあ
[1570.150] 贄ﾁｬﾝ: 気持ちよさそう
[1573.749] rin_0505: あ
[1576.013] (S)ameringoame: あ
[1577.104] (S)negishio___: あ
[1577.937] airicyann: やってんね
[1578.339] (S)なーぽん: おっとと
[1579.039] (S)netaiyo: あ
[1579.088] PEI_OwO_: あ
[1582.631] tyontyon: 調子乗った？
[1583.108] azuun1136: 久しぶりに配信見に来れた〜
[1584.752] karage210: 調子乗った？
[1586.115] だるまああ: だるまああ subscribed with Prime. They've subscribed for 20 months! 
[1586.786] 小トロ: あ
[1587.269] watchan_arm: はい
[1588.131] (S)ぜろんろ: w
[1588.288] ruu_ha: はい
[1589.269] (S)Ichigo_Strawberry15: はい
[1589.341] (S)taito001: あ
[1589.503] ogaoga7815: ピンチ？
[1589.700] (S)torikera0124: はい
[1589.915] 夜の星海: はい
[1589.921] (S)吾郎_: あ
[1590.832] (S)panndaman1: あ
[1590.974] world_kohaku: はい
[1591.525] sunomono8: はい
[1591.790] 五色椿: はい
[1591.863] (S)ゆう77: はい
[1592.016] (S)ぷ_る_た_ぶ: はい
[1592.315] mikomikoto0: あ
[1592.576] reo00000630: はい
[1592.806] PEI_OwO_: それ死ぬやつ
[1592.837] あらんえむかーびぃ: はい
[1592.986] (S)negishio___: はい
[1593.150] rei_0610: はい
[1593.453] おむりゃいす: あ
[1594.079] nattu__: はい
[1594.264] (S)Setiara: 相棒？
[1594.527] (S)an_do121: はい
[1594.707] debuff_o__: おー
[1595.126] ei_0322: はい
[1595.348] (S)なーぽん: あ
[1595.777] airicyann: ぽまえぼっちじゃん
[1595.979] bc_moimoi: はい
[1596.270] fuzi_inari: はい
[1600.639] koshiankoOUO: はい
[1600.723] (S)なーぽん: はい
[1601.713] リライトパンダ: ロジャーさん！？
[1601.909] (S)netaiyo: はい
[1602.163] nobume0v0: はい
[1602.902] (S)yusan913: はい
[1602.958] gaiantufan: はい
[1603.467] PEI_OwO_: はい
[1603.473] 贄ﾁｬﾝ: よし
[1603.622] ogaoga7815: はい
[1605.010] (S)ameringoame: はい
[1605.736] koshiankoOUO: 知ってた
[1605.988] itoido: わこらだ今北
[1606.359] (S)himikokichi_06: はい
[1607.679] スカイウリ: はい
[1611.660] haneko_zip: それ4ぬやつ
[1612.130] (S)minamo_ss: 作っちゃえ
[1614.721] yossii63: フェニキ持たない方が良くない？
[1614.937] shoo_0102: みかたにわたしとけ
[1615.739] KAKKO_7120: そういう時はだいたい無い
[1617.273] 魔神モマン: この最終安置きらい
[1621.609] (S)まここま: ？
[1622.034] (S)taka_0214: 草
[1622.132] 音夢: お前いつからロジャーになったん
[1622.166] mimoru_385: は？
[1622.313] 梨一: 読めや
[1622.412] (S)taito001: は？？？
[1622.575] (S)Ichigo_Strawberry15: おい
[1623.541] パッック: 俺の知ってるらっだぁおかえり
[1623.573] (S)Setiara: おい
[1623.596] りかお: は？
[1623.736] poteito: 読めや
[1623.808] あらんえむかーびぃ: はぁ
[1624.497] otux2_0205: ha?
[1624.624] (S)ruchi_13: 草
[1625.050] mikan_san: はぁ
[1625.283] いのりさん: 読めよ
[1625.972] いる1023: ？
[1626.039] (S)露木ロコ: ？
[1626.212] んさく: は？
[1626.437] 燐だよ: おい
[1626.602] ひかでぇーん: おい
[1626.806] せおりー: 努力しろ
[1627.281] (S)吾郎_: は？
[1627.358] 五色椿: ？？？
[1627.535] PEI_OwO_: おい
[1627.678] いる1023: 読むとは
[1628.868] nattu__: 予想しろや
[1629.190] ei_0322: はぁ
[1629.262] (S)ぜろんろ: 読むって知ってる？
[1629.361] sunomono8: ？
[1629.445] minmin2741: わからんのかああああーい
[1629.482] (S)torikera0124: わかんないねー
[1629.503] (S)yona_0724: はぁ
[1630.170] mukai__yade: 笑笑
[1630.301] watchan_arm: 読めよ
[1630.918] (S)みそギン: ？？？
[1631.894] itoido: なんやねん
[1632.089] (S)netaiyo: ？？？
[1632.093] (S)Setiara: せめて予想しようよw
[1633.371] yuity_: せめて読め
[1633.745] isikirimaru: 真面目にやって？
[1634.766] (S)ameringoame: ？
[1634.985] koshiankoOUO: よんだ？
[1634.991] (S)なーぽん: 読めや
[1635.122] azuun1136: w
[1635.151] kagimaru41: ？？？
[1635.554] (S)nin__zin202: 草
[1635.652] (S)ゆう77: 読むとは
[1635.823] (S)peroki0531: A
[1636.651] KinakoMochi_06: ？？？
[1636.818] るんるんだお: らっでぃ全然ジャンパ置かんね
[1636.902] enu_xo: ？？
[1637.109] mikan_san: 読む努力をしろ
[1637.376] torafuku59: 粕
[1637.817] gaiantufan: ？？？？
[1637.895] takenokoooo__: ？？？
[1638.019] syotokeeki: じゃあゆうな
[1639.399] rin_0505: は
[1639.655] 贄ﾁｬﾝ: わかんないんかーい
[1639.690] syumawok: ？？？
[1639.731] bc_moimoi: せめて予想しろ
[1639.736] (S)panndaman1: ？？
[1639.742] rei_0610: ？？
[1640.012] スカイウリ: 真面目にやって?
[1640.767] ayatakaayaya: 上側でしょ
[1641.473] reo00000630: なんだよ今の時間
[1641.896] (S)ほいほい511: 読みますとは？
[1642.178] ks203509: なんやねん
[1642.708] ryokiki: 読めてねぇやん
[1643.939] shiroa1019: やば
[1644.653] (S)negishio___: ？
[1644.763] kanadadao: ？？
[1645.978] mikankan693: 眠いの？
[1646.936] airicyann: 寝ろ
[1647.187] ogaoga7815: ヴァロはアンチないもんね
[1647.863] プラず: 見ただけやん
[1648.103] (S)tonkatsu_0413: 最初からわからないならそもそも言うな
[1648.288] akaihi: ??
[1648.852] 小トロ: 間違えてもいいから読めよ
[1650.133] tanuki_pan: どーゆう顔で言ってるの？
[1652.650] みずい1472: 次やったら左腕もらうからな
[1657.871] (S)コモてや: 読む気0
[1657.934] bakura1244: 予想だけでもしようか
[1658.342] PEI_OwO_: 読むふりだけは上手いんだから
[1658.879] 雪華0830: マップを見るクセをつけたらいいよ
[1659.393] akino77777: ALGSは見たん？
[1661.403] (S)Setiara: あ、ダメだ…
[1661.610] (S)peroki0531: algsのアンチ読み凄いよな
[1663.088] tarakobb: わこらだ
[1664.631] KawaiiOssan: ヴァロにはアンチが無いからそれでオッケー
[1664.753] (S)an_do121: やってない
[1665.884] raisiro: そんなんだからお前はまだらっだぁなんだよ
[1668.104] tyontyon: せめて読もうとはしろw
[1668.881] (S)よっしぃ37: みどりくんもあぺやってるけど誘わなくてもいいの？
[1669.970] debuff_o__: ww
[1670.069] airicyann: 別人格
[1672.415] ゆうがり: 平常運転
[1673.671] いる1023: じゃあ世の中の真面目はどうなるんだ
[1674.431] itoido: 真面目さを感じられないんだよ
[1674.935] syamoji_9: テンション凄いねなんか
[1675.143] おへそ: 早く爆弾設置しないと
[1675.267] tiger_bay: 余裕がある方が楽しい
[1675.360] akaihi: 注射器さして調べてこい
[1680.417] radodo26: ダブハンとるとこみたいなぁー
[1680.706] (S)縮緬雑魚: もうお前が分からん
[1681.184] (S)Setiara: らだ美出てる
[1682.098] (S)なーぽん: 今頃負けてると思う
[1685.152] shoo_0102: 平気で万引きしてそう
[1687.716] mo_mose: 眠くないの？
[1688.048] debuff_o__: いつも真面目に不真面目やってるもんな
[1688.328] toumyou_2525: かわせいまアペやってるよ
[1689.479] nana_om: たのしいわ
[1691.702] (S)Setiara: がしょーん
[1695.772] koshiankoOUO: あんたならやれる
[1697.517] (S)netaiyo: 強気でいけ
[1697.868] 五色椿: 真面目に不真面目か
[1698.901] (M)Nightbot: サブスクdiscordの入り方はこちら→https://twitter.com/rader2525/status/1167079316754067456
[1702.291] mid_koa: 謎の絆
[1703.175] (S)kobuta_pig: わこらだ
[1706.025] まりるー: お
[1706.527] いのりさん: ここプラチナ帯
[1707.863] 魔神モマン: お目やん
[1710.104] ちゃりんどう: いやプラチナじゃん
[1711.743] (S)Setiara: プラチナだろw
[1712.827] (S)unavele_nobu: じゃあうとう
[1713.975] (S)peroki0531: プラチナやん
[1715.129] 夢現: じゃあ撃て
[1715.813] (S)shi_n_tou: ならはよダイヤいこ
[1716.147] reo00000630: お前プラチナじゃん
[1716.596] おへそ: ソロマスターを目指す男
[1716.613] karage210: うんそうだね
[1716.625] airicyann: 引き大事
[1717.722] 夜の星海: プラチナだから撃っていいじゃん
[1717.981] nattu__: じゃあ撃たないと
[1718.289] (S)himikokichi_06: プラチナやん
[1719.186] けとせとら: それぽまえ
[1719.880] bc_moimoi: プラチナだろ
[1720.934] hoshizukiyo3227: ヘイト買わないようにな
[1721.296] ayatakaayaya: 本人しか壊せないよ
[1721.513] スカイウリ: ここプラチナ
[1722.568] えびぃん: 心はマスター
[1722.893] (S)ぷ_る_た_ぶ: プラチナおるな
[1723.131] mikankan693: おや
[1725.182] nobume0v0: 今プラチナ帯だよ？
[1727.038] (S)ゆう77: プラチナだから撃ってもいいよ
[1727.585] oo1016: プラチナ帯バカにしましたか？
[1729.233] (S)コモてや: じゃあ打と
[1730.784] はまこ0724: お前の心もプワチナ帯
[1732.422] nana_om: 人格が
[1735.994] itoido: プラチナをバカにしたか？
[1739.883] teriyaki_kotete: オクタンのジャンパらっだぁ以外壊せないよ
[1740.479] poteito: 過去の栄光
[1741.884] ogaoga7815: 密ですねぇ
[1742.902] noe_215: そこやばそう
[1743.032] 魔神モマン: 現実見ろカス
[1743.647] えびぃん: ブロンズ帯がよぉ
[1743.847] いる1023: そ
[1744.510] りかお: はぁ
[1744.544] yuity_: は？
[1745.215] (S)taito001: 意識だけはな
[1745.630] yuimo_1823: ほぉ
[1745.726] 夜の星海: 意識だけ高いだろ
[1747.661] kagimaru41: は？
[1748.587] (S)unavele_nobu: ？？？？
[1749.075] nattu__: 意識だけな
[1750.410] 44tou_: キャリーのダイヤ帯
[1751.473] kazutaka1177: !uptime
[1751.711] (M)Nightbot: らっだぁ が配信を始めてから 29 minutes 20 seconds 経過しています。
[1752.339] (S)himikokichi_06: ふーん
[1754.856] まりるー: ？？？
[1755.530] watchan_arm: 今日ダイヤまでやるってこと？
[1755.601] poteito: せめて踏んでから言え
[1755.779] kanadadao: プラチナバカにしたら後が怖いと思う
[1756.081] nehar_maki: せやな
[1756.774] (S)雪代: 現実見よ
[1756.777] 魔神モマン: コメデターとかわらん
[1756.825] yakuza_isi894: ふん！過去の栄光め
[1756.848] いのりさん: 地雷やん
[1756.921] 小トロ: ？？
[1757.062] raisiro: 意識高いならプレデターで行けよ
[1757.155] いる1023: 意識高い系は右のパーティも撃たないんだよ
[1757.263] KAKKO_7120: その心意気よし
[1757.279] (S)なーぽん: 気持ちプラチナ
[1757.288] airicyann: 寝ろ
[1757.396] みえのえ: ミサワきたね
[1757.472] なぎさん39: へぇ
[1757.532] gaiantufan: はぁ
[1757.583] otux2_0205: たちわる
[1757.682] (S)nin__zin202: え？
[1757.704] nobume0v0: ふーん
[1758.507] ogi_3: 0キルなのに？
[1758.616] 五色椿: 意識高い系人外さん？
[1758.689] (S)torikera0124: 意識から入るタイプ
[1758.877] dejitari: 地雷やん
[1758.933] (S)r1n_t: ？ｗ
[1759.254] (S)unavele_nobu: 害悪じゃん
[1759.580] りかお: ？？
[1760.106] mikomikoto0: マスターであれ
[1760.250] (S)さめちーず: くそ迷惑やん
[1760.574] (S)Ichigo_Strawberry15: コメデターかな？w
[1760.686] narooon7676: くるとこ間違ってるぞ
[1761.221] mikan_san: 心の中だけでもプレデターでいろよ
[1761.455] nattu__: 最悪なパターンじゃん
[1761.749] mire_mire_: ふん
[1761.847] 夢現: 経歴詐称は許されないぞ
[1762.107] (S)Setiara: かっこいいね
[1762.120] isikirimaru: じゃあ、早くマスターいって？
[1762.428] けとせとら: どこの世界線？
[1762.467] (S)ほいほい511: なんかうざ
[1763.337] (S)negishio___: ？？？
[1763.765] reo00000630: 自覚してるじゃん
[1763.825] ゆーしき: そっか
[1763.863] (S)ゆう77: 今ダイヤって言ったのに？
[1764.023] KawaiiOssan: 意識失え
[1764.400] debuff_o__: 意識だけ一流
[1764.603] せおりー: だっせぇだっせぇだっせぇわ
[1765.062] noe_215: 地雷じゃん
[1765.113] (S)ssnyzk: 意識と実力の反比例
[1765.212] おへそ: 意識だけ高い系じゃん
[1765.673] (S)なーぽん: える
[1766.134] PEI_OwO_: ？？
[1766.148] (S)ruchi_13: ？
[1766.361] (S)御膳: マスターでしょ？
[1766.362] itoido: 害悪やん
[1766.580] haaayatee: は？
[1766.688] (S)ぜろんろ: 意識高い系verじゃん
[1767.247] (S)星空くん: わこらだ
[1767.429] (S)peroki0531: ちょんちょんしてダブハン狙ってけ
[1767.597] minmin2741: 撃ったやん
[1768.220] (S)なーぽん: え？
[1768.645] hatakenohiryou: 自意識妥当
[1769.378] はまこ0724: けつげ
[1769.392] (S)縮緬雑魚: じゃあプラチナ
[1769.582] 贄ﾁｬﾝ: ダイヤじゃねぇのか
[1769.698] nattu__: 逆コナンね
[1770.109] (S)dia11313: 痛いわ
[1770.317] warabi_mochi_99: ？
[1770.982] mikomikoto0: ｗｗｗｗ
[1771.018] ありせ: ただの勘違いで草
[1771.111] tanuki_pan: 自分のこと可愛いと思ってるブスやん
[1771.505] aya3tori: ヤバいやつじゃん
[1772.131] えびぃん: じゃあマスターじゃん
[1772.291] shoo_0102: 1番害悪
[1772.358] nana_om: あー、心持ちは上にな？
[1772.408] mukai__yade: すげえ
[1773.120] ポメ太: それ要するに痛いやつってことでしょ？
[1773.166] (S)himikokichi_06: やばいやつやん
[1773.324] akaihi: 雑魚がいきがんな
[1773.343] (S)abokadooisii666: じゃあプラチナやん
[1773.544] ryokiki: タチ悪
[1773.588] (S)ぱんだぁぁぁ: www
[1773.607] sakiika0w0: いちばんやばいやつやん
[1773.926] mid_koa: それは精神異常者だぞ
[1773.945] スカイウリ: タチが悪い
[1774.153] ギンナン: 浮ついてる？
[1774.374] okasi_tabetai: ここマスターいく伏線
[1774.777] _イオ_: 自信過剰な
[1774.927] (S)sofutokurimu: どうかとおもう
[1775.199] sunomono8: wwwwww
[1775.581] りかお: wwwwww
[1775.825] mikan_san: wwww
[1775.943] クッキーボリボリ: はい、コメデター
[1776.653] んさく: wwww
[1776.867] ガミうさ: お荷物やん
[1776.874] ほわいたぁ: それ自惚れ
[1776.972] (S)ゆう77: wwww
[1777.570] (S)taito001: 結局撃つやん
[1778.306] (S)an_do121: あｗ
[1778.864] ogi_3: じゃなんでCRカップ0キルだったの？
[1779.083] (S)なーぽん: あたったwwww
[1779.219] (S)negishio___: wwwww
[1779.428] 五色椿: www
[1779.449] ボンレスキャベツ: つまり害悪
[1780.026] てらたく: ただのイキリ
[1781.324] (S)yusan913: あたるんか
[1781.506] ンンー: ならウィングマン使おう
[1782.229] itoido: wwwwwww
[1783.540] 五色椿: あーね？
[1784.383] 抹茶抹茶: わこらだ
[1785.730] PEI_OwO_: wwwwww
[1785.987] すいぺりあ: www
[1786.757] asaborake0408: wwww
[1787.744] syumawok: じゃあエペさぼるな
[1787.907] ruruyank: らっだぁ3スコじゃない方が弾当たってたくね？
[1788.582] hotallu_42: 効くねえ
[1791.675] nana_om: wwwwwwww
[1791.929] noe_215: 認めるな
[1791.937] (S)Setiara: よく当たるなぁ
[1792.427] gaiantufan: なるほどね
[1793.488] mire_mire_: 気分だけタイプ1番ダルやつやーん
[1793.669] おへそ: こういうやつがコメデターしてたのか…
[1794.533] suit_poteto: 知識は低いもんね
[1796.216] komeokun85: コメスター
[1798.064] ogaoga7815: 当たるねー
[1800.669] (S)よっしぃ37: リココンだけはマスターでいいよ
[1802.537] haneko_zip: 意識高い高い
[1804.807] tiger_bay: 弾薬も注意なー
[1807.649] ポメ太: 当たんないねw
[1808.994] nobume0v0: 今日のエイム◎
[1809.284] (S)ぷ_る_た_ぶ: あんだけ狙っても当たらんのかい
[1812.477] パッック: 言霊怖
[1813.917] 贄ﾁｬﾝ: うまい！
[1814.551] kagimaru41: 上手いなぁ
[1815.268] watchan_arm: いいとこ取れてる
[1815.493] いのりさん: 全部見えてるねえ
[1815.700] kazutaka1177: 0！
[1817.937] hoshizukiyo3227: 弾なくなるなー
[1818.898] (S)ほいほい511: おっけー0ヒット
[1818.981] itoido: 弾少ないな
[1819.654] みえのえ: ないす
[1820.862] (S)なーぽん: エイムバッチリだねらっでぃ
[1821.587] (M)Nightbot: らっだぁ切り抜きチャンネルはこちら→https://www.youtube.com/channel/UCh-qC7-Ru8a54apFdHnASsA/
[1824.138] (S)ameringoame: いいね
[1825.676] 五色椿: お
[1825.730] nana_om: 当たるねぇ
[1831.665] poteito: マジで入るじゃん
[1834.338] mikomikoto0: つよ
[1834.741] rin_0505: お
[1834.958] (S)Ichigo_Strawberry15: おおー！
[1835.994] 五色椿: 当たるねぇ
[1836.426] ogaoga7815: ポジ○かね
[1837.200] 夜の星海: 不正した？
[1837.547] (S)yona_0724: つよ
[1837.963] nana_om: 入るねぇ
[1838.174] (S)しかくのさんかく: うっま
[1838.253] fuzi_inari: おお
[1838.458] reo00000630: うま
[1838.481] (S)taito001: マジじゃん
[1838.527] (S)Setiara: うっま
[1838.952] (S)ぱんだぁぁぁ: ないすぅー
[1839.398] kazushan: おーー
[1839.446] watchan_arm: うま
[1839.690] (S)露木ロコ: ないすう
[1839.781] (S)nin__zin202: ！？
[1840.313] (S)ふむふる: おお
[1840.565] sunomono8: おお
[1841.041] world_kohaku: ハンマーないす
[1841.100] (S)an_do121: うま
[1841.336] (S)peroki0531: そこ強w
[1841.413] (S)yona_0724: うっま
[1842.289] fuzi_inari: うま
[1842.482] (S)Ichigo_Strawberry15: うま
[1842.737] ンンー: がんばえー
[1843.143] 五色椿: うっま
[1843.370] みえのえ: つっよ
[1843.468] おへそ: 安置読み男
[1843.529] mo_mose: ないす〜
[1843.595] mukai__yade: らっでぃほんとに上手い
[1843.703] (S)hanyuneko10: うっま
[1844.203] nobume0v0: つお
[1844.247] (S)mattyarate113: うますぎいける！！
[1844.323] 846chan: ポイントうまうまじゃん
[1845.121] いのりさん: これは勝ったのでは
[1845.522] taich35: うま
[1845.848] ponharu: うっま
[1846.153] (S)kobuta_pig: ないす
[1846.852] rei_0610: うっま
[1847.070] (S)himikokichi_06: ないす
[1847.096] (S)yusan913: すげ
[1847.272] gaiantufan: つっよ
[1847.296] まりるー: やりますねぇ
[1848.548] karage210: 予言師？
[1848.739] bc_moimoi: つっよ
[1849.311] (S)kaname07: サイコー
[1849.446] ひかでぇーん: うっま
[1850.592] PEI_OwO_: ナイスゥー
[1850.768] 6choco2: ないす
[1850.803] noe_215: これは強い
[1850.847] itoido: もうハンマーじゃん
[1850.886] debuff_o__: 強い
[1851.148] (S)negishio___: うっま
[1851.378] 橋本2887: やば！
[1851.398] kagimaru41: 上手すぎ！
[1851.512] スカイウリ: うっま
[1851.614] ギンナン: ないす
[1852.305] (S)ほいほい511: つんよ
[1852.525] (S)なーぽん: yummy
[1852.821] nobume0v0: ないすぅ
[1853.783] 6choco2: つっよ
[1855.182] ほのぼの: うま
[1855.353] 橋本2887: さいこう！！
[1856.060] murasaki_chan: おいc
[1856.279] odamame: うっま
[1856.409] asaborake0408: いいねぇ
[1858.602] karage210: ハンマーいった
[1859.052] (S)よっしぃ37: 運営と寝た？
[1860.319] (S)ぱんだぁぁぁ: え
[1860.805] hoshizukiyo3227: 単発にしとこ
[1861.229] (S)emitsubo723: 上取ってるの強いね
[1864.571] (S)ssnyzk: 棒たて物資おばさんやらないの？
[1865.140] t_kskw: 盛れてるねぇ
[1865.555] r_udhimaru: マジでつよい
[1866.177] IAMSUGIYAMA_jp: 3スコ301よく当てられるなあ
[1867.811] (S)taito001: www
[1868.586] mikan_san: 今気づいたけど名前微妙に変わってるね
[1868.855] アララギ: たまよけてる？うますぎる
[1870.822] nobume0v0: あさりいく？
[1871.468] watchan_arm: ジャンパあるし行けば？
[1872.769] (S)unavele_nobu: マックスじゃん
[1874.029] (S)なーぽん: あ
[1876.496] kuroe_0425: 今日のREALEっていう番組で前回のCRカップ特集やるって
[1876.671] (S)ruchi_13: 親方！空からキルポが！
[1879.329] utuyarou: わこらだ
[1880.102] しゃあろっく: 行くなら早め
[1880.144] (M)Nightbot: YouTubeにクリップ集を投稿していきたいので、面白かったシーンなどを>>"タイトル"<<をつけてクリップ作成お願いします。画面の右下にクリップ作成ボタンがあります。>>"タイトル"<<を付けて作成してもらえると後でクリップを選出しやすくなります。よろしくね
[1886.418] (S)kobuta_pig: 行くなら早めが良い
[1890.835] 夜の星海: たまなし
[1891.034] (S)なーぽん: リスキルいけぇ
[1892.292] (S)peroki0531: ローバだったらなおさら強かった
[1892.772] べクター: ｗｗ
[1893.011] 贄ﾁｬﾝ: 行ったら死にそうだけど
[1895.069] (S)Ichigo_Strawberry15: きちぃ
[1895.527] いのりさん: 弾なし
[1897.233] みな__: あ
[1898.120] (S)tonkatsu_0413: あ
[1900.031] (S)himikokichi_06: あ
[1900.674] (S)Setiara: あ
[1901.670] (S)negishio___: あ
[1902.340] 五色椿: あ
[1902.710] (S)netaiyo: あ
[1903.896] watchan_arm: 味方に聴いてみよ
[1903.970] nehar_maki: もらお
[1904.988] スカイウリ: あ
[1905.106] mikomikoto0: たまなし
[1905.271] bc_moimoi: あ
[1906.111] (S)hanyuneko10: あ
[1906.140] まりるー: きちぃなあ
[1907.345] 4nk06: CRカップどうだった？
[1907.658] PEI_OwO_: あ
[1908.960] rei_0610: あ
[1909.169] (S)taito001: サプライボックスは？
[1909.178] いる1023: 味方に
[1910.255] gaiantufan: あ
[1912.548] 五色椿: これはきつい
[1916.932] 846chan: 金ヘル草
[1917.260] (S)ruchi_13: やさしい
[1918.343] (S)ぱんだぁぁぁ: やさc
[1918.752] watchan_arm: やさC
[1919.703] (S)れなぽんぽん: らっでぃのおかげでアペ見るのめちゃめちゃ楽しい
[1920.113] (S)Ichigo_Strawberry15: やさc
[1920.133] 夜の星海: やさしいせかい
[1921.466] (S)Setiara: やさc
[1921.592] (S)mattyarate113: やさしい
[1921.954] (S)しかくのさんかく: やさｃ
[1922.342] いのりさん: やさc
[1923.353] みえのえ: やさc
[1923.735] rei_0610: やさc
[1924.258] (S)をぺ: やさc
[1924.894] パッック: ジャンパって壊せないんだっけ？
[1925.490] ひかでぇーん: やさC
[1925.720] bc_moimoi: やさまc
[1925.730] rin_0505: あ
[1925.739] ozuking: ちょっかいかけるときは単発で
[1925.911] (S)ぷ_る_た_ぶ: やさC
[1926.811] みな__: やさｃ
[1927.255] kazutaka1177: 金ヘルオクタンなわけないよな
[1927.260] kashiwa_ppz: やさc
[1927.292] itoido: やさc
[1928.042] kagimaru41: やさｃ
[1928.788] 五色椿: やさc
[1929.459] (S)kobuta_pig: やさc
[1930.506] (S)yusan913: やさc
[1931.262] ギンナン: やさc
[1931.270] (S)ameringoame: やさc
[1931.440] (S)なーぽん: やさし
[1931.785] torafuku59: やさいせいかつ
[1932.115] (S)ふむふる: やさC
[1932.778] hima_norita: やさc
[1933.292] (S)negishio___: やさc
[1934.145] (S)netaiyo: やさc
[1934.254] PEI_OwO_: やさいせいかつ
[1934.321] gaiantufan: やさc
[1935.215] いる1023: シールドまこ
[1935.217] 小トロ: やさc
[1935.816] nana_om: やさc
[1937.302] nobume0v0: やさいせいかつ
[1938.747] (S)taito001: やさいせいかつ
[1939.286] 846chan: 頭金ピカだけど大丈夫そ？
[1939.360] (S)negishio___: やさいせいかつ
[1941.681] ogaoga7815: よかったねぇ
[1942.457] koukoukoy: やさしーん
[1943.784] odamame: やさc
[1943.796] 五色椿: 我慢のしどころ
[1943.879] yukinakomochi: 金ヘルあげたら？
[1945.162] (S)Ichigo_Strawberry15: うま
[1945.792] (S)peroki0531: これは勝てるぞー
[1946.286] (S)雪代: 初手ちゃんぽん！！
[1952.752] ozuking: リスナーがいったこと聞かないもんねw
[1953.275] (S)れなぽんぽん: うっまぁ
[1953.315] 魔神モマン: 金ヘルオクタンwww
[1953.426] (S)ameringoame: 我慢だな〜
[1954.714] noe_215: つよい
[1955.980] musashipopo: わこらだ
[1956.354] もももとじ_: ダブハン?
[1959.693] syotokeeki: 強ポジだね
[1961.966] (S)チョコバナナ食べたいンゴ: うま
[1965.885] noe_215: たてはんいけるぞ
[1966.080] t_kskw: 金ヘルオクタンさん！？
[1966.892] (S)をぺ: がんばえ！
[1970.571] PEI_OwO_: いや上とってるのでけぇ
[1973.820] 五色椿: がんばれぇ！
[1976.445] なぎさん39: ダブハン耐久しよ
[1976.863] who_tawn: アンチ強すぎぃ
[1977.606] (S)露木ロコ: がんばえーーー
[1979.642] natubatch: 寝ますわおっつぅ〜
[1981.393] kagimaru41: 頑張れ！
[1981.994] nashu_noike: うっま
[1982.583] 梨一: おおおお
[1983.051] (S)なーぽん: がんばえ
[1983.294] noe_215: は？
[1986.692] (S)そおお: ２
[1987.460] koshiankoOUO: M？
[1987.736] rin_0505: アンチ神
[1988.670] (S)しかくのさんかく: み
[1988.846] (S)Setiara: うまいーん
[1988.913] watchan_arm: 2
[1990.087] いのりさん: 2
[1990.340] (S)torikera0124: 2
[1990.610] 五色椿: これはつよアンチ
[1990.745] (S)Ichigo_Strawberry15: 2w
[1991.599] (S)Setiara: 2
[1991.779] palwoken_ch: 2
[1993.056] まりるー: つえー
[1993.443] itoido: ２
[1994.018] (S)yona_0724: 2
[1994.674] みな__: ２
[1994.745] (S)negishio___: ２
[1995.788] 小トロ: 2
[1995.986] bc_moimoi: 2
[1996.391] (S)taito001: また弾が
[1996.494] tyamugi: わこらだー
[1997.782] karage210: 2
[1998.863] koukoukoy: おおー
[1999.382] (S)netaiyo: a
[1999.397] tanuki_pan: さっき実はアンチ読めてたの？？
[2001.129] (S)なーぽん: 2()
[2002.262] nobume0v0: 2
[2004.312] みどふぃ: おお
[2004.436] (S)peroki0531: まじでアンチ強すぎるやん
[2004.633] t_kskw: 2
[2005.188] 夜の星海: エリア強くね？
[2005.283] PEI_OwO_: wwww
[2005.306] watchan_arm: はさまれたね
[2005.436] tyontyon: 草
[2005.518] (S)Ichigo_Strawberry15: つよ
[2006.805] noe_215: たまなくなるぞ
[2006.993] nana_om: 2て
[2007.010] おへそ: 安置読みうっっっま
[2007.230] 橋本2887: あてるねえ
[2007.382] (S)Setiara: ほんとだw
[2008.097] (S)yona_0724: お
[2009.322] t_bit888: 今北
[2010.197] (S)himikokichi_06: まじか
[2010.913] komeokun85: いいぐれ（2）
[2012.455] (S)reitayuki: 天が味方してる
[2012.830] syotokeeki: 天才では？
[2014.140] (S)Setiara: 実は読めてたのか…
[2014.361] (S)kaname07: 勝てる
[2015.442] nobume0v0: アンチに好かれた？
[2016.629] IAMSUGIYAMA_jp: はさまれてるねえ
[2016.789] 橋本2887: さいきょう！！！
[2019.014] noe_215: ヘイト買いすぎてやばいかも
[2019.083] kanadadao: 2は草
[2020.538] (S)yusan913: 運良くない？
[2022.765] (S)ぱんだぁぁぁ: きっつ
