[3.967] 4444446666: 滑りすぎておわった
[1637.096] (S)tom236n236p: 極限状態でユーモアが開花されてきている・・・？
[1637.185] largsrn: この音が聞こえてきたら注意
[1638.790] にわごり: 奏でてるってわけよ
[1644.603] (S)rm_rf__: 絶対杖いらんよなw
[1645.220] 4jou_half: 外したくても外せない杖
[1647.865] 原子力塩太郎: なんなら摩擦で負荷かかってない？
[1647.937] てつのすけ_: がんばれがんばれ
[1648.199] (S)machakyuro: ゴシュゴシュしてるｗ
[1649.859] アンインストール: 梅さんこんだけ歩いてるのに飲み過ぎで痩せないのか
[1650.413] tabibitox: ウメちゃんいいテンポで杖ついてるな
[1650.644] kiton_taichi: ウメさんとの比較がおもろい
[1652.079] Hikaru_256: 昔の人類はこうやって歩いて大陸移動したんだよな
[1652.711] (S)shinobuchan4649: ぐにゃぐにゃしはじめたら黄信号
[1657.232] neon_d99: これは「近い」か
[1657.616] spica1987: ウメちゃんの杖の使い方の上手さが際立つな
[1658.658] weeep1: 折笠さんが破壊しただんこさんの杖
[1660.033] (S)foo_twitch: 杖の使い方を間違うというボケ
[1660.719] (S)tom236n236p: ハンサム団子の杖
[1669.144] porcupinepine: 棒だけになー
[1670.348] kitori_17: 左右でバランスとってる
[1670.782] folnarock: 呪いの装備
[1672.434] プーゴリちゃん: Dシミてきた？
[1677.015] emonga000: 杖を引きずる音が聞こえてきたら、俺がきたと思え
[1678.347] Mrk111: ピンクでかわいい～～
[1681.894] Phenomer: さざえさんの家みたい
[1681.983] ガチくんコス転売ヤー: 相棒
[1689.997] (S)dufushi: アール元気やなー
[1691.322] nosveral: まっすぐな足、良い歩き方の未来
[1713.905] (S)machakyuro: 二人でなんかのリズム刻んでるみたいになってるｗ
[1716.188] 戸愚呂妹: 杖貸したら呪われて返ってくるって怖すぎるw
[1719.578] ssGRiDM4N: 八幡平のどこがゴールなんだろ
[1731.024] porcupinepine: 集まるんやろなぁ
[1735.741] yoshikawa_yo: おもむき
[1736.348] ddb365: 17時で終わりもすごいｗ
[1748.443] 閃光の: さぞかし美味いんやろな
[1749.202] アンインストール: しかし雨よけてるねー
[1753.180] thescrb: あとどれくらいでゴールですか？
[1760.621] daruma2597: 盛岡から26キロぐらいだし大更あたり？
[1769.060] puertoescondidomota: 青森まで雨さけれそうだけどね
[1771.283] Mrk111: こっからさきはちょいちょい歩道が左右入れ替わるはず
[1774.400] もきち555: ドイツらへんじゃない？
[1775.613] 閃光の: Dにモチベあげて
[1778.421] (S)まとご: オーストリアの横だっけ？
[1779.603] porcupinepine: ルーマニアの近く
[1786.758] (S)kkshkk: ハンガリー民謡しか知らない
[1794.881] しいたけもぐもぐ: スロバニアのした
[1796.529] yut7xot8: Dが心配だ
[1800.625] Mrk111: ドリームキャストのゲーム
[1800.670] しいたけもぐもぐ: ドイツの右下
[1807.756] アンインストール: こういう田舎道歩いてると突然車道しか幅なくね？って所出るよね
[1808.564] ddb365: さすが
[1812.860] (S)hone253: さすがカフェさん
[1813.554] iwaisi: あるｗｗ
[1813.726] (S)闘劇のアルベルト: さすが旅人
[1815.567] largsrn: 逆にどこいってないんだよ
[1815.657] 4jou_half: ぜ～んぶある
[1816.856] spica1987: カフェ氏すげぇな
[1816.944] mogai555: あるんだなあ
[1816.994] umesecond: すごいな
[1817.108] しいたけもぐもぐ: イタリアの右上
[1817.577] (S)foo_twitch: あるんか
[1819.647] matsu_zalem: 旅人よ
[1819.647] kitori_17: カフェ氏〜
[1820.524] hosp1990: 南極は？
[1820.822] (S)tilia211: 行きまくりじゃんすご
[1823.014] (S)omochi1111: レッドブルの国
[1824.451] layla3: 何者なんだ？カフェ氏
[1824.626] x_abu_xx: あるんだなぁ
[1825.793] (S)shinobuchan4649: 金メダルはく奪されたやついなかったか
[1827.943] atsui319: さすカフェ
[1828.263] xxzoids: 普通に行ってる。
[1828.404] chachachakoma: カフェさんすげえなぁ
[1834.445] 閃光の: イギリス料理って不味いん？
[1836.238] tominaga0331: カフェ氏のいったことない国いったら負けのゲームしない?
[1836.493] mifune1046: めちゃくちゃ金持ち
[1836.688] nikorinko: ポテフってイメージ
[1837.261] jmyswrows: カツレツとかじゃなかったか
[1840.371] あんころーる: Ｄさんとcafeさんの事が全くわからない
[1841.930] beehive3: 豚肉とかか
[1844.448] erukima: 金持ちなんカフェさん
[1845.872] caltropman: カフェさんが行きたいのはマダガスカル
[1847.051] アンインストール: 🇭🇺ってベルギーのあたりか
[1854.767] izawa2001: クリーム使うイメージ
[1856.289] わい氏: KSKに味見してもらおう
[1856.899] neon_d99: チキン煮込みとピラフしかないらしいが
[1860.816] アンインストール: ほぼルーマニアか
[1864.254] (S)m1s4m0: カフェさんが時間がある理由は知りたい
[1866.899] しいたけもぐもぐ: フォアグラが有名らいし
[1867.171] Mrk111: ガソリン入れてこ
[1869.349] さっぽさんぽ: 大体ドイツと同じイメージ
[1872.417] hinokihinoki: デザートのtierは高そう
[1872.910] kitori_17: シュートは身体だいじょぶ？
[1872.951] taki5555: ハンガリーはフン族の国
[1891.973] (S)ys120: フランスのイメージだった
[1892.596] アンインストール: ポーランドとか
[1896.949] あんころーる: 今回の参加者みんなスト５プレイヤー？
[1905.216] spica1987: 若いと回復力高いな
[1906.512] のってる: カフェさんは職業金持ちだよ
[1911.228] 猫神寝猫: フォアグラって料理なの？食材かと思ってた
[1912.669] ddb365: 東ってイメージ
[1918.691] chin_56_: 真っ白だった
[1921.186] lclc98765: 参加者みんな格ゲー強いよ
[1921.345] LEE4646: 気圧のへんかの頭痛なんかもな
[1921.365] balthazar000: ウメさん絡みかな。スト５プレイヤーは多いけど。
[1921.510] (S)foo_twitch: 熱の予兆か
[1923.025] スクルドちゃん: 小太りの小さいおっさん誰
[1923.878] weeep1: バファにぃ
[1925.591] (S)uwamonq: 結局しゅーくんだけは無限に歩ける説ｗ
[1926.853] 閃光の: ようやっとる
[1932.394] (S)m1s4m0: バファにぃ
[1932.731] neon_d99: もうすぐチェックポイントかな
[1934.217] (S)ys120: 若いから身体が追いついたのかな
[1934.418] King_Fuudo: 折笠が脱落したの4日目だっけ
[1934.685] nosveral: he's not happy
[1936.942] largsrn: 迷惑ですよ
[1937.213] (S)kkshkk: w
[1937.516] tabibitox: 若さすげぇ
[1937.888] iwaisi: ｗｗｗｗｗｗ
[1937.895] (S)m1s4m0: ｗｗｗｗｗｗｗ
[1938.233] (S)afuring: ｗｗｗｗｗ
[1938.941] (S)闘劇のアルベルト: うっさ
[1939.036] nail06k: WutFace
[1939.288] (S)Hiclere: wwwwwwwwwww
[1939.531] ごまさんです: うっさ
[1939.967] xxxmach: ｗｗｗｗ
[1940.358] Coedawg: umeYay
[1940.413] バチ0628: うるさい
[1940.417] (S)ぬこごぼう: wwwwwwww
[1940.836] tama_zx61: wwwww
[1940.879] shifoncafe: うるせえｗ
[1941.461] (S)lljp: うっさ
[1941.508] ぐぐっす: ｗｗｗｗｗｗ
[1941.559] しいたけもぐもぐ: 元気かよ
[1941.562] chachachakoma: ｗｗｗｗｗ
[1941.601] bakedonion: ｗｗｗｗｗ
[1941.674] hanao_t: うるせえ
[1941.882] (S)machakyuro: うっせー
[1942.213] low_single: 今日死人出るな
[1942.296] バーバー谷口: ゆーちゅーばーだぁ
[1942.444] yoshikawa_yo: wwwww
[1942.519] 5don: !?
[1943.005] (S)shinobuchan4649: うるっせええ
[1943.141] べーこん118: 吟遊詩人
[1943.246] az1283: ｗｗｗｗｗｗｗｗ
[1943.271] mahiro_8: おまえかよw
[1943.306] forthemoment_elt: カラオケ開始
[1943.545] kitori_17: 静かにしてｗｗｗｗ
[1943.632] tenzu916: あれ？えいたは？
[1943.722] (S)chihaya0407: 怪鳥
[1944.416] (S)tilia211: やめろｗｗｗｗｗｗｗｗ
[1944.615] (S)hinemosu4: wwww
[1944.636] ~MISSING_COMMENTER_INFO~: ！？
[1944.658] LEE4646: えらい！
[1944.667] np2np: まじでうるさい
[1945.013] (S)LGA2011: だまれ
[1945.107] chin_56_: やめてくれない
[1945.180] goldexpepe: 声が不快
[1945.291] zero_ronin: LUL
[1945.301] mifune1046: 通報
[1945.467] spring__thief: スピード感w
[1945.560] ライム_: うるさい
[1945.658] bakedonion: えいたありがとうな
[1945.858] ロイヤルロッホ那賀: WutFace
[1945.893] (S)wankoro_moti: NotLikeThis
[1945.952] (S)pinkdark01: 歌詞がちょくちょく違う
[1946.226] milanor02: 4ね
[1946.230] ebikatsu39: うるさい
[1946.599] weeep1: 悲壮感出てるぞ
[1946.626] (S)しゅごいよ: うるせーー
[1946.734] (S)やあああ: うるさ
[1946.837] contacttt1t: wwww
[1947.151] (S)machakyuro: だまれｗ
[1947.290] enuemu3: うるせぇw
[1947.306] hosp1990: 近所の犬が吠えた
[1947.315] mozuk310: 通報されるぞｗ
[1947.336] もきち555: 頭痛くなっちゃうｗ
[1947.469] (S)憂う者の弟子: しぬぞ
[1947.476] (S)kkshkk: えいたお前すげえよ
[1947.670] アンインストール: すげえ元気
[1947.734] kaworuko19: くれないだあああああああああ
[1947.827] (S)むぎわら猫: びっくりした
[1947.960] mako6912: うるせー！
[1947.966] moscat0c7: うっさ
[1947.994] neon_d99: うるっさｗ
[1948.104] teruharu_: 真顔やめて
[1948.125] jo_a2: LUL
[1948.682] (S)m1s4m0: あたましんだぁ
[1948.784] tabibitox: BAN
[1948.788] danny_love_danny: 五月蝿ああああw
[1949.003] nekoneko393: やめて
[1949.068] 5don: X
[1949.247] (S)かちゅう: 若いってええなぁ
[1949.756] ananorechan: 下痢
[1950.052] tachibana29: ぶっぱやめろ
[1950.793] 閃光の: ナイストライ
[1950.852] yoshikawa_yo: 通報 通報
[1950.912] (S)hone253: 王の勅令wwww
[1951.391] sakula_n: ｗｗｗ
[1951.781] 水増し: 下痢
[1952.143] 新ころりん: また酸欠になるぞｗ
[1952.717] 谷部: うるせぇw
[1953.263] yamanashi_sp: ハンガリーは昔、ヨーロッパに攻め込んだフン族の国。フン族はモンゴル帝国から分かれた部族
[1953.717] bitbitas: マジでやめろ
[1954.099] あまる_333: ｗ
[1954.105] umesecond: だんごさんはストV知らんなぁ かふぇさんはかなり強いけど
[1954.261] nikorinko: ひいたｗ
[1954.392] shir039: スピード感すごい
[1954.592] (S)pung_pung_ouji: 瞬発力〇
[1954.771] balthazar000: なにこのジュークボックスw
[1954.929] takoistasty: X
[1954.952] あんころーる: 音量下げる時間くれ・・・
[1955.055] mememe10: 瞬発力がすごい
[1956.198] (S)まとご: いいねー
[1957.321] malionl: ひどいことするなぁ
[1958.157] 記入漏れ: 助かる
[1959.213] (S)tom236n236p: もしもしポリスメン？
[1959.753] lapistaxx: 急に振られてよーやるなｗ
[1960.088] (S)れく太: まじでやめろ
[1960.621] kitori_17: Aメロだよｗ
[1961.799] enuemu3: Aメロ
[1962.291] (S)shinobuchan4649: わなやん
[1962.514] (S)maya_g01: どこですかｗ
[1962.643] tama_zx61: ひっどいｗ
[1964.108] ddb365: 紅だぁああああから始めて！
[1964.388] potesaraudon: 1秒でアクセル踏めるのスゴ
[1964.467] wonderhit1: カフェさんの紅聴かせて
[1965.757] (S)kasimu0610: うるさ
[1965.840] (S)LGA2011: 耳が穢れた
[1967.069] (S)EDN3rd: カフェ氏お願い
[1968.504] neon_d99: いやわかるだろｗ
[1969.987] (S)m1s4m0: だんごさんもスト5やってるよーん
[1974.238] spring__thief: 歌ってくれない？からの早さが異常
[1976.190] YuzukiKaze: gachiBASS
[1979.635] yoshikawa_yo: カフェ氏の正解〜
[1980.205] danny_love_danny: カフェ氏の歌声聞きたい
[1980.229] しいたけもぐもぐ: 野田くん、ここにきて元気
[1980.339] daruma2597: なぐさめるハンサムはもう居ない
[1981.091] ofmary: 目が覚めちゃったじゃないかー
[1982.132] ddb365: カフェさんなら
[1983.670] 猫神寝猫: 穢れた人浄化してもろてwww
[1984.629] lambdaw2of: 盛岡市下田石羽根９９−７６
[1985.001] balthazar000: 壁がありますねぇ
[1985.522] (S)Nao_iwt222: えいた若くないんだから無理するな
[1985.882] neon_d99: 王の要求
[1987.098] tsurupikahagemaru_kun: 元気すぎる
[1988.808] kappa_no_sato: もう少しでチェックポイント
[1991.247] Hikaru_256: 視聴者数少し減ったｗ
[1991.371] kitori_17: すぐ歌うのえらい
[1992.908] kaomoji3: Xはらすてぃねいるでしょ！
[2000.145] caltropman: Aメロを歌うテンションがサビのそれ
[2001.375] 閃光の: お前はのとこまで聴きたかった
[2002.471] (S)ys120: アールさん突出してる
[2004.488] wonderhit1: シュートがんばってカフェさんに歌わせて
[2004.503] weeep1: えいたにやらせるから面白いんじゃん
[2006.323] (S)hone253: 黒カフェだああああああああ
[2006.382] にゃんぽこ__: 普通にびっくりした
[2007.129] (S)pung_pung_ouji: カフェさんは歌うまいからねぇ
[2010.923] neon_d99: ラスティネイルはカフェさんやから
[2013.012] mifune1046: カフェさん紅いける？
[2015.674] (S)gfy_twitch: カフェさんなら歌える
[2016.953] yut7xot8: シュート頑張ってーー！
[2020.128] kitori_17: Aメロむしろそんなキーの高さじゃないんじゃっていうｗ
[2022.848] lapistaxx: カフェさん、あらゆる面で無限の自由がある人っぽい
[2041.812] wonderhit1: じゃラスティーネイルで
[2042.504] (S)machakyuro: 紅ってもう30年とか前の曲なんだなｗ
[2042.792] usa451: ラスティネイルだね
[2045.374] tabibitox: シュートって歳のわりにけっこう古めの曲知ってるよね
[2045.442] yoshikawa_yo: 上手く のレベルがね
[2046.569] ~MISSING_COMMENTER_INFO~: カフェさんの十八番はなんですか？
[2050.167] weeep1: 忠誠心
[2051.751] iwaisi: ｗｗｗ
[2051.985] danny_love_danny: おお
[2052.460] (S)hone253: 忠誠心www
[2052.665] もきち555: 忠誠心
[2052.857] neon_d99: 忠臣
[2053.676] chamomile21: 忠誠心
[2053.676] (S)成吉大: 王
[2055.993] largsrn: 忠誠の悪魔
[2056.743] wonderhit1: ダイゴさーん
[2058.145] みんら: 令和の羽柴秀吉
[2058.275] kitori_17: ウメちゃん！！！ｗ
[2058.764] neon_d99: 忠臣歌
[2058.860] akaao123: すごいなw
[2059.181] (S)闘劇のアルベルト: 忠臣
[2060.905] mifune1046: 王
[2062.286] chachachakoma: さすカフェ
[2062.300] (S)hone253: 忠臣すぎるだろw
[2063.311] (S)ronamu22: 王は絶対
[2064.993] balthazar000: トリガーに指かけたか？
[2065.073] tsurupikahagemaru_kun: ども
[2066.848] もきち555: 食われながら歌って
[2067.092] yut7xot8: www
[2067.115] 閃光の: 赤穂浪士なんだよなー
[2072.283] sussy_int: クマVS紅
[2076.972] Coedawg: 囮にされてるやん
[2077.620] yappa_giants: 紅返し使われそう
[2077.918] (S)yukke85: アレクサと一緒
[2084.960] ve968: アールさんめっちゃ早くね？w
[2085.959] balthazar000: 忠誠心って減るんだよね、、、
[2087.180] spica1987: カフェさんってウメさん以外どう見てるんだろ？
[2088.248] mifune1046: アレクサwwww
[2089.003] vespa127g: 第二回カラオケ大会見てね カフェさんやばいよ
[2090.374] 戸愚呂妹: うわ熊だ！ 紅だああああ！
[2093.038] (S)gfy_twitch: ５年ぶりくらいのカフェ歌くるか
[2094.835] neon_d99: アールさん完全にゾーン入ってるｗ
[2095.603] 売れないバンドマン41: 旅のえいた結構面白い瞬間多いな
[2096.050] (S)tilia211: アールさんだけ凄い加速してる
[2096.649] yut7xot8: アールさんなんで？
[2098.006] pico_za: カフェさんが選ぶこの散歩にあう曲とは
[2100.364] yoshikawa_yo: アールさんどうしちゃったんだ
[2101.581] (S)まとご: おーい！あーるぅぅー
[2101.640] みんら: アールさんギアをあげてきたか？
[2102.326] caltropman: クマに紅に染められちまう
[2106.488] umesecond: アールさんすげえな
[2108.069] cochi5: これは早駆け
[2108.629] 猫神寝猫: 十八番で世代出そうでワクワクw
[2108.734] tsurupikahagemaru_kun: アールさん黙々と進んでく
[2108.885] daruma2597: 解脱が目的の人は違うな
[2109.864] アンインストール: アールさんは一人になりたくなった
[2111.470] weeep1: ギア上がってるね
[2117.236] 閃光の: ⚙をあげていくー
[2119.771] しいたけもぐもぐ: 野田くんだけ、先行させてみんな車で行こう
[2120.270] porcupinepine: 孤高のアール
[2120.570] yoshikawa_yo: アルーさんになっちゃったの
[2128.220] (S)kkshkk: ウメハラとDの会話は基本おもろい
[2128.273] ddb365: おー杖ってすごいんだね
[2130.031] danny_love_danny: 野田氏は先導頑張ってる
[2132.716] neon_d99: もうすぐチェックポイント見えそう？
[2144.471] towai8: 体力温存のために一定のペースで歩いてるんじゃない？
[2152.653] (S)成吉大: 杖あってよかったね
[2154.589] tsurupikahagemaru_kun: 田舎だな〜
[2171.341] _ピート_: 杖を引きずってるやん
[2176.242] porcupinepine: んっ抵抗
[2183.029] 猫神寝猫: 使ってる今だからこそ使わなかった理由が光るなぁw
[2202.393] しいたけもぐもぐ: 野田くんってなんで離れてるの？
[2205.209] vespa127g: ハンサムwithD も面白かった
[2213.278] neon_d99: きたー
[2214.406] chin_56_: ロソーン
[2214.924] Mrk111: 道路反対側か
[2217.028] yoshikawa_yo: うおお
[2220.078] (S)hiaaru: やったぜ。
[2222.915] largsrn: チェック
[2229.541] (S)成吉大: 軍隊でもこんなに歩かないよね・・・
[2230.239] べーこん118: NPCいるかなぁ
[2232.251] (S)lljp: 冷麺食ってたNPCがいる
[2234.901] しいたけもぐもぐ: 明日、いない可能性あるのか
[2241.768] danny_love_danny: 村人KSKいるー？
[2243.241] アンインストール: 軍行あるよ
[2249.181] mifune1046: 下り坂の方がキツいっ聞くけど本当ですか？
[2251.164] ssGRiDM4N: チェックポイントも小刻みになってきたな
[2255.019] (S)tilia211: NPCくるか
[2255.172] 000105: あのうざいNPCに紅被せて欲しい
[2256.460] (S)tilia211: あ
[2257.553] ddb365: あ
[2257.575] aranami0: え
[2257.700] balthazar000: おあー
[2257.859] (S)闘劇のアルベルト: あ
[2258.095] あんころーる: ん
[2258.561] chachachakoma: あ
[2258.908] kitori_17: あっ
[2258.974] Mrk111: あっ
[2259.276] (S)m1s4m0: ひん
[2259.714] neon_d99: あ
[2260.240] Coedawg: umeSalute
[2260.532] (S)hone253: お
[2260.611] danny_love_danny: ん？
[2260.672] akaao123: あ
[2260.673] momiji4431: え
[2260.680] matumatu777: あああ
[2260.722] chamomile21: え
[2260.908] dcdryuya404: あ
[2261.202] しいたけもぐもぐ: ふぁ
[2261.792] invisible_focus: 唐突すぎる
[2262.370] ビフィダス: よく歩くなあ
[2262.803] べーこん118: ｯｹｲ
[2263.272] アンインストール: Wi-Fiが！
[2263.476] largsrn: 電池切れの悪魔
[2263.871] (S)yui_tang0307: 山か？
[2264.230] hosp1990: えいたあああ
[2264.262] ランメルモールのルチア: およ
[2265.526] tsurupikahagemaru_kun: 電波〜
[2268.069] ohigekujira: 山
[2269.201] neon_d99: もどった
[2269.920] wonderhit1: やま
[2270.932] King_Fuudo: 復活ううううううううう
[2271.360] 13th_arcadia: あ
[2274.433] LEE4646: もどった
[2275.965] danny_love_danny: 電波がんばえー
[2276.609] (S)tilia211: 戻った
[2279.338] のってる: むしろ軍隊は重い荷物持たされるからもっとキツイ
