[5.572] (S)gogopimimi: ウメちゃん
[5680.454] (S)toshioj: どうしましょｗ
[5689.219] tujimen: スリープ？
[5690.095] ~MISSING_COMMENTER_INFO~: いやあ笑った
[5690.152] (S)nagilay1: 右から移動してきただけだろ、皆m
[5692.252] MazicMozaic: 性格悪くないと物語は作れないんよ
[5693.671] douguluskaien: 動かないと命令違反で人質は処刑！
[5698.143] (S)ミヤ0085: ウメさんトラキア終わったらティアサガやらない？加賀さんが任天堂抜けた後に作ったPS1のFEみたいなゲームだよ
[5699.145] (S)toshioj: これ攻略人によって違いそうで楽しみだねー
[5715.068] (S)nagilay1: タニアの楯
[5718.606] (S)metal_hellion: ティアサガは簡単すぎるでしょ
[5720.041] douguluskaien: 笑うしかない
[5724.027] (S)varoshi: うめちゃんの攻略がいる。ネタバレもなにもない。
[5725.890] tamaow: 全員動きましたが
[5727.595] ~MISSING_COMMENTER_INFO~: あーおもしれー
[5728.994] (S)motyatya: ＦＥ最新作も見てみたい
[5729.305] (S)zakkn: アクティブ！
[5731.783] (S)zyagamon: 前ステええ
[5732.775] nuka_cola_jp: 皆殺しだああああ
[5735.018] yukihiro3417: ティアサガはぬるすぎるでしょ
[5739.214] rm_rf__: 盤石の体制や
[5747.203] ばんび29: ゼーベイアなんだよなあ
[5748.533] (S)toshioj: しばらく神回が続きそうですね
[5753.659] (S)oheya36: フリージが混ざってるのも嫌らしい
[5763.506] ~MISSING_COMMENTER_INFO~: 一瞬ウメハラにも諦めがよぎる
[5767.801] (S)yoinio: ウメハラは諦めない
[5769.146] (S)zakkn: ハイメガランチャー撃ちたい
[5769.168] MazicMozaic: 稼ぎなしでティアサガで
[5770.294] しみてん: しかもこいつら再行動1持ってるから今の逃げ方だと計算狂うかも
[5773.301] (S)kurataro: 殺さない壁いるね
[5774.469] セルヴァラ: たぶんif暗夜はウメちゃん好きだと思う
[5779.384] (S)oheya36: これで左狙ったら笑う
[5780.379] (S)varoshi: このデータでクリアしたら神
[5795.636] ~MISSING_COMMENTER_INFO~: フラグの立て方が一級品すぎるｗ
[5796.770] kaeru100: ここ初見でゼーベイア説得した人0人と断言できるレベルで酷い
[5802.079] rm_rf__: よく考えられたマップやなぁ
[5811.053] balthazar000: 中央ガラガラに、、、
[5814.943] ~MISSING_COMMENTER_INFO~: 練りに練られた嫌がらせ
[5823.018] (S)toshioj: むしろ俺は考えてないでしょと言いたいねｗ
[5823.371] asayan1257: それぞれ対応した市民と会話させないといけないのが相当難しい
[5827.863] (S)クズ220: よく考えられたクソマップ
[5835.440] (S)kurataro: 市民は顔兵の家族なんだな
[5837.398] (S)山田たろう太郎: いらねーざー
[5837.403] (S)zakkn: ざー
[5837.947] (S)recycle4: いらねーざ
[5838.859] (S)yoinio: いらねえざあ
[5842.024] (S)山田たろう太郎: どこの人よｗ
[5846.995] ~MISSING_COMMENTER_INFO~: 説得した後もやばいんだよなあ
[5850.229] (S)toshioj: 足立弁出たな
[5851.192] (S)takeo_onakasuita: ねーざ
[5855.196] unachanmanz: いるざー
[5862.746] (S)zakkn: 出身がすけたね！
[5864.405] (S)zyagamon: 説得したあと他から攻撃とか、ある？
[5865.771] balthazar000: 足立区の言語は深い
[5867.696] MazicMozaic: 沖縄より南の訛りでたな
[5868.393] (S)recycle4: やめとけやめとけ
[5868.684] (S)icyblue1985: ねーざ
[5869.372] yukihiro3417: やめておけ
[5869.514] (S)nozomaro: 盗賊がめっちゃ体格よければ全員無力化して楽になるんだろうが
[5872.178] asayan1257: 右の仲間はワープとかレスキューで左側に移動させないときついかもね
[5876.432] douguluskaien: 中立になったあと攻撃されて死ぬ
[5876.745] ~MISSING_COMMENTER_INFO~: 他からっていうか自殺する
[5878.950] (S)あと1983: やめとけやめとけ
[5883.224] (S)zyagamon: 一人誘導して蓋とか？
[5912.359] balthazar000: マップ兵器で横薙ぎにしたい配置
[5914.287] (S)toshioj: 左行ったら笑う
[5915.642] tamaow: 開けたら地獄です
[5923.122] (S)テムおじ: メンバーカードも狙ってるのか？？？
[5924.549] (S)zyagamon: 左大丈夫？
[5926.670] 桃臼臼: 名無し始末したいね
[5931.904] rm_rf__: 地獄の釜が空いちまったよ
[5932.082] ~MISSING_COMMENTER_INFO~: カードは流石の諦め
[5938.256] (S)kurataro: 顔兵を牢屋に誘い込むか
[5939.434] (S)zakkn: プランBでいけ
[5941.342] (S)oheya36: 道が詰まりそうｗ
[5942.533] 桃臼臼: 名付きも子供攻撃するの？
[5942.875] kaeru100: 運でたまたまうまくいく可能性は絶対ないよ
[5943.664] balthazar000: こちらでございまーす！
[5947.969] (S)oinari6: 俺たちNO PLAN
[5948.659] (S)ruku16: またキラーランスってのが嫌らしいな
[5953.699] (S)テムおじ: カードは諦めて正解やね
[5964.759] tamaow: 市民が殺されることはほとんどないけど・・・
[5965.747] (S)クズ220: 右のマージからサンダー奪お
[5973.954] (S)zyagamon: 目的は全員仲間だから
[5988.010] (S)kurataro: さすがに兵士は市民を攻撃しないべ
[5998.238] (S)suzukigsan: マップ兵器使いたくなる密集具合だな
[6002.869] ~MISSING_COMMENTER_INFO~: サンダー２つくらいほしいな
[6007.245] (S)テムおじ: 顔つきレンスター兵は子供攻撃しないよ。混ざってるフリージ兵はやってくるけど
[6009.177] (S)zyagamon: サンダー取り放題じゃね？
[6025.307] ~MISSING_COMMENTER_INFO~: 混ざってるのが悪魔的に嫌らしい
[6028.462] yukihiro3417: 魔導書ぬすみまくってけ
[6038.110] KaLam1ty: LUL
[6038.473] (S)toshioj: ゆけ～～～～～～～～～～～～～～～～～～～いｗ
[6042.047] (S)zakkn: 特攻じゃー
[6043.819] (S)kurataro: 子供前ステはえええ
[6047.477] (S)zyagamon: そこの狭い通路で蓋すれば？
[6047.762] tamaow: 加賀「行きなさい！」
[6055.595] (S)oheya36: そこの横道を検問にするか
[6057.484] (S)山田たろう太郎: サンドイッチ
[6065.284] ~MISSING_COMMENTER_INFO~: 人の心を失くした加賀
[6066.665] (S)yoinio: 混ざってるのうぜえｗ
[6066.893] (M)Moobot: 音声別れてます。The audio in this channel is split. 「Left= English, 右＝日本語」 Playback Devices > Properties > Levels > Balance to change (or take out one earphone).
[6068.938] (S)toshioj: 倒せねえきゃらーｗ
[6070.511] (S)icyblue1985: わしゃあ
[6071.825] SawayakaFaraday: GivePLZ
[6072.764] 桃臼臼: 語尾キャラになってる…
[6074.768] tamaow: きゃらー
[6075.631] セルヴァラ: 人の心ナーフされたんだよね
[6080.175] balthazar000: ケンケンリュウケンケンリュウ
[6081.507] (S)takeo_onakasuita: 呂律が…
[6085.793] (S)テムおじ: タニアで壁するのがおすすめなんだけどおらんのか
[6087.142] (S)元気な変態おすぎ: 殺意の波動に目覚めた加賀
[6095.115] (S)kurataro: タニアは階段の上かな
[6098.334] (S)varoshi: 壁越しに魔法だろうね。
[6101.899] (S)toshioj: 攻略やめろ！
[6103.725] ~MISSING_COMMENTER_INFO~: 多分リセットだけどな・・・
[6104.466] (S)ぶっちゃ: 鬼ごっこ草
[6105.845] asayan1257: 市民のいる部屋から遠隔攻撃で余分な敵倒すといいかな
[6112.510] MazicMozaic: せいすいオルエン遠隔魔法で大半のフリージアーマーやれる
[6116.160] douguluskaien: リフィス連れてきて盗めばいいっぺ
[6122.830] (S)zakkn: 稼ぎがはかどるなあ！
[6124.082] kaeru100: サンダーのやばさ気づいたか
[6132.121] (S)zyagamon: リフィス体格あげんと
[6136.106] yukihiro3417: リフィスでぬすもうぜ
[6141.845] douguluskaien: シスターおわた
[6143.794] (S)元気な変態おすぎ: ｗｗｗｗｗ
[6144.826] (S)yoinio: ｗｗｗ
[6145.565] (S)oheya36: ｗｗｗｗ
[6146.288] ~MISSING_COMMENTER_INFO~: あ
[6148.380] (S)toshioj: 忘れてたのかよｗｗｗ
[6150.753] (S)テムおじ: リフィス体格１１あれば大体の剣盗める
[6151.744] rm_rf__: 絶対行くと思ってたw
[6155.347] (S)だるま屋ウィリー: 左きたw
[6156.111] (S)ruku16: シスター+エリートの経験値効率すごいな
[6156.250] KaLam1ty: FFFF
[6156.570] 東北のスロカス: いてぇよ・・・
[6156.595] (S)zakkn: やめろエダ丸！
[6157.424] (S)山田たろう太郎: umeYay
[6158.217] douguluskaien: 連続？
[6158.811] yukihiro3417: はあ？
[6159.770] PSI_Guy95: AAAA
[6160.263] (S)yoinio: そっち？ｗ
[6160.420] papami_typhoon: いてえよ・・・
[6160.820] (S)kurataro: エダ、おまえさあ
[6161.221] (S)toshioj: そのパターンは想定してなかったｗ
[6161.357] (S)punitaman: つええｗｗ
[6161.662] ~MISSING_COMMENTER_INFO~: アーマーに再攻撃ｗ
[6162.599] (S)zyagamon: まじエダゴミ
[6162.610] rm_rf__: その前にw
[6162.752] (S)motyatya: おかえり・・・
[6163.221] tololo86: もういいよ・・・・
[6163.376] JackNeko: おかえり
[6163.446] (S)元気な変態おすぎ: いてぇよ…
[6163.638] (S)テムおじ: おかえり・・・
[6164.422] yukaring: FeelsBadMan
[6164.938] (S)avmajvm: おかえり・・・
[6166.391] 桃臼臼: ちょっと市民の挙動調べてみる？
[6167.228] (S)toshioj: ケイトどこぉ・・
[6168.055] ぱーーまん: うわレンスター兵強い
[6169.298] SawayakaFaraday: BibleThump
[6169.302] (S)LeoLeo_123123: まさかのまくぎれ…
[6170.576] (S)zakkn: そっちｗ
[6170.877] rm_rf__: むっず
[6171.945] tyapa95: おかえり・・・・
[6173.096] (S)call49: シンプルにやられた
[6174.786] (S)kurataro: ひとまず1歩進んだ感じですか
[6175.307] (S)nanmi__: umeSad
[6175.308] MazicMozaic: 1
[6177.116] らじか: NotLikeThis
[6179.193] kaeru100: 一応説得の道筋見えるまでやった方がいいよ
[6179.617] grblkun: くっ殺
[6180.638] (S)avmajvm: うめちゃんおかえり・・・
[6180.842] (S)punitaman: 左上ｗｗ
[6181.114] (S)hachi_mitsu: 今北 問題の面っすね
[6182.089] (S)suzukigsan: ウメのけぞり
[6182.899] tujimen: エダよええええ
[6184.029] (S)zakkn: すと５やる？
[6185.059] tamaow: ケイトは城の外で待ってます
[6185.340] ~MISSING_COMMENTER_INFO~: 一応側近なだけはあるのか
[6186.030] MazicMozaic: おかえり
[6187.656] ばんび29: よわい
[6188.290] (S)zyagamon: あそこの蓋役はタフマン必要ね
[6189.082] (S)papipopon: 活路見えず
[6190.555] ぱーーまん: 取り合えず説得の練習しとこ
[6191.344] (S)call49: 左上が地獄
[6191.490] (S)~MISSING_COMMENTER_INFO~: トライ＆エラーですわ
[6193.869] (S)ruku16: ちょっと先もみておきたい
[6194.405] (S)山田たろう太郎: 加賀は悪魔
[6200.456] (S)zyagamon: 壊れた武器も必要か
[6200.955] (S)テムおじ: ままままテストプレイ続行しよう
[6205.247] ~MISSING_COMMENTER_INFO~: 悪魔のテーマ
[6206.015] (S)kurataro: その先を味見か
[6206.172] (S)toshioj: 仲間を犠牲にすることでうまくいくパターン、ありますよ！
[6207.472] (S)zakkn: テストプレイはええね
[6208.814] (S)nagilay1: えだとか育てなくていいぞ
[6210.578] (S)元気な変態おすぎ: 説得の要領は得といたほうがいいよねぇ
[6212.159] (S)zyagamon: 取り敢えずカンニングしましょ
[6212.305] yukihiro3417: どっちにしろシスターでつんでたなｗ
[6213.751] (S)icyblue1985: ウメ悶絶
[6217.764] ako484848: 加賀ぁぁぁ！！
[6218.629] (S)avmajvm: 長距離射程の魔法で狙いうつとか？
[6222.937] douguluskaien: どの市民とどのアーマーが知り合いがまずは覚えないと
[6226.614] ばんび29: 迫真の不利テーマ
[6227.080] MazicMozaic: もうだめだぁおしまいだぁ
[6233.881] (S)zakkn: ティナっち・・
[6234.144] 桃臼臼: 絶 望
[6234.600] (S)toshioj: ティナちゃあああああん
[6234.769] (S)kurataro: ティナしぼうｗ
[6235.955] 東北のスロカス: 終わってるｗ
[6236.025] papami_typhoon: w
[6236.255] ~MISSING_COMMENTER_INFO~: ぐへへ
[6238.960] (S)call49: 遅い来るアーマーナイト集団
[6243.138] (S)山田たろう太郎: 加賀「楽になりたいんだろ？」
[6243.470] セルヴァラ: ｗｗｗｗ
[6244.277] (S)avmajvm: どろぼうの末路
[6244.648] rm_rf__: 非力な女の子によぉ...
[6245.323] ぱーーまん: リワープが欲しくなる状況
[6245.740] asayan1257: 絶体絶命ってこういうことなんだなｗ
[6246.453] (S)toshioj: ひどいことするんでしょ
[6247.526] sinsin565: 祈ろう
[6247.796] (S)zakkn: ｳｽｲ本！
[6250.532] (S)kurataro: 薄い本
[6252.365] nohohon13: アレされる未来しか見えない
[6253.329] kaeru100: この部下達外道すぎない？
[6253.635] (S)クズ220: ティナがレイプされるぅ
[6253.790] (S)zyagamon: リワープで逃げる
[6256.018] MazicMozaic: 薄い本が
[6258.934] SawayakaFaraday: put orsin without weapons
[6260.488] (S)call49: 即誘拐
[6261.320] (S)ruku16: 捕らえられるな
[6261.759] balthazar000: ワープしよう
[6262.996] (S)kurataro: ぐへへ
[6264.538] (S)zakkn: 攫われたー
[6265.737] ~MISSING_COMMENTER_INFO~: 完全にそういうシチュ
[6265.748] papami_typhoon: あ
[6267.630] (S)toshioj: 迷いなく持ち帰る気だな
[6268.019] (S)zyagamon: 捕獲とはまた
[6268.536] セルヴァラ: お持ち帰り
[6270.610] (S)テムおじ: ここはレスキューとかワープある程度使っていった方がええぞ
[6275.810] (S)varoshi: そうそう、とりあえず説得
[6279.141] (S)call49: 太陽つえー
[6283.031] (S)テムおじ: いかりナンナ？
[6289.846] (S)toshioj: 家族がそこにいるんだぞ！！
[6299.078] セルヴァラ: レンスター兵を抹殺するカリオン
[6306.545] ぱーーまん: レンスター兵がﾋﾟﾛﾝｯするのがまたいやらしい
[6309.500] (S)call49: よくみてるな足踏み
[6310.286] nohohon13: 「お父さんが殺された・・・
[6310.817] rm_rf__: やらしい動きするなぁ
[6311.909] (S)avmajvm: 重いからすぐに止まれないんだよ
[6323.677] (S)ruku16: 家族のそばで、よりによってカリオンに
[6324.860] (S)kurataro: 右から行く意味なくね
[6325.224] (S)oheya36: ゼーベイア、いる？
[6330.987] MazicMozaic: 回避弓盾のタニアさんが重要ですね
[6331.085] (S)zakkn: みなごろしにしよ！
[6332.656] (S)toshioj: スキル凄いよ
[6332.698] kaeru100: 足踏みは多分家族との会話処理じゃないかな？勘だけど
[6333.554] ~MISSING_COMMENTER_INFO~: ゼーベイアに悪意しか感じねえ
[6333.632] yukihiro3417: かたいよ！
[6333.992] (S)テムおじ: 気づいてしまったか
[6335.102] (S)Kanquez05: 下段当てるチャンスうかがってるな
[6335.410] grblkun: いらない
[6336.692] douguluskaien: 指揮持ちだよ
[6341.692] (S)suzukigsan: ジェネラル（弱）
[6342.437] (S)ビフィダス: アルテマ
[6343.179] (S)varoshi: あきらめる？
[6345.042] (S)zakkn: 槍もつかえねーｋｓ！
[6345.903] ぱーーまん: ひげおじさん微妙に成長率は良かった気がする
[6346.065] (S)toshioj: こっちがいいｗ
[6346.282] 桃臼臼: 市民助けると同時に部屋に入って壁越しに始末？
[6348.648] (S)avmajvm: 速さ６とかゴミすぎない？
[6351.316] ~MISSING_COMMENTER_INFO~: グスタフの有能さが光る
[6351.727] (S)テムおじ: ほんとに全然いらないんだよなぁ
[6354.240] (S)call49: 玉座のやつはつよそうだ
[6361.230] ぱーーまん: グスタフ強すぎない？
[6361.746] (S)~MISSING_COMMENTER_INFO~: @SawayakaFaraday it works?
[6364.519] chinachinchin: よお
[6365.946] (S)ruku16: グスタフ仲間なら使ってた
[6370.251] セルヴァラ: ダグダとゴメスもゴメスの方がいいよね・・
[6371.844] ばんび29: いらないけどやらないと18章楽すぎるんだよな
[6375.748] ~MISSING_COMMENTER_INFO~: 多分生活苦しすぎて弱体化してるんだよ
[6376.301] (S)toshioj: 守備17の怒り持ちだから・・・当たんないけど
[6376.310] (S)zyagamon: 壊れた武器複数必要だね
[6387.081] ぱーーまん: 市民とアーマーの対応調べる方法が何かあった気がする
[6394.454] 桃臼臼: ﾔﾀﾞｧ
[6395.326] (S)zyagamon: こう見るとリーフよえ
[6397.265] (S)papipopon: やだ
[6397.327] (S)avmajvm: 壊れそうな武器全部売ったような・・・
[6398.874] ~MISSING_COMMENTER_INFO~: 草
[6400.173] ぱーーまん: やだー
[6400.345] (S)zakkn: もうやだ！
[6400.831] (S)kurataro: 駄々をこねておりますｗ
[6402.519] (S)avmajvm: かわいい
[6402.566] tololo86: ﾔﾀﾞｧ
[6403.018] (S)山田たろう太郎: 幼児退行しとるｗ
[6403.598] (S)zakkn: おうちかえる
[6403.801] (S)takuan55213: やだー
[6404.065] (S)LeoLeo_123123: 加賀に屈するか…
[6404.098] okojo1991: こんにちは
[6404.325] yukihiro3417: 実際全部無視すると18章すげー楽なんだよね
[6404.644] (S)テムおじ: ここはまーじ難しい
[6405.794] yukaring: atpSpiner
[6410.914] (S)クズ220: c(`Д´と⌒ｃ)つ彡 ﾔﾀﾞﾔﾀﾞ
[6411.958] (S)toshioj: ウメちゃんはまだこのステージの恐ろしさを知らない
[6412.253] (S)ruku16: とりあえず市民とぶつけてみようぜ
[6412.257] ~MISSING_COMMENTER_INFO~: ウメの心が折る悪魔
[6413.831] asayan1257: この面は攻略本見ながらでも難しい
[6415.689] balthazar000: やだー
[6415.782] (S)kurataro: ウメ、ゆかどん
[6418.437] (S)テムおじ: ゼーベイア諦めると凄い簡単な面になる
[6420.158] MazicMozaic: もうあきらめてベルサガやろうよ
[6420.266] okojo1991: きて早々ピンチっぽい
[6421.600] (S)avmajvm: 苦しいときは加賀の笑顔思い浮かべよ
[6426.023] ~MISSING_COMMENTER_INFO~: そう まだ真骨頂じゃないんだよなあ
[6429.200] douguluskaien: ゼーベイアは流石に諦めるか・・・
[6443.202] ~MISSING_COMMENTER_INFO~: どうせなら味わってほしい
[6446.027] (S)zakkn: リース様ウマカッタデス！
[6448.166] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[6453.258] ~MISSING_COMMENTER_INFO~: 対応覚えちゃうか～
[6454.057] asayan1257: そう市民はかつぐのが良い
[6469.823] (S)kurataro: 担いで降ろす、市民「え、だれ」顔兵「…」
[6471.146] sinsin565: 消えた
[6472.142] (S)zyagamon: まだ加賀の計残ってるのか
[6481.689] (S)toshioj: ここで稼いだりしとくとこんなんで一気にだめになるからなｗ
[6482.869] ~MISSING_COMMENTER_INFO~: ほんと草
[6490.109] onesolo52: 右の扉開けておびき寄せるとか
[6492.965] SawayakaFaraday: unable to mug orsin, cz body 16
[6495.487] (S)テムおじ: 壁越しにフリージ兵全員倒しておけば、レンスター兵と戦わないようにするだけで勝手に説得進むよ
[6499.407] 桃臼臼: 踊り子左に欲しくない？
[6500.075] MazicMozaic: オルエンとタニアが重要かな
[6518.985] asayan1257: 市民の部屋から余分なフリージ兵だけ倒していけばいい
[6524.772] tamaow: ゼーベイアには英霊になってもらえ
[6536.987] ばんび29: ウメちゃんの気付きに期待
[6538.631] (S)テムおじ: 気づき
[6544.635] (S)varoshi: そうだね。
[6546.117] (S)zyagamon: 蓋すれば最後でええやん
[6556.126] ~MISSING_COMMENTER_INFO~: 解に近づいている
[6557.214] Jaguar_kick: ゼーベイアがいないと仲間にできないやつはこの先いないから・・・
[6558.972] (S)kurataro: だれで蓋するべきか
[6559.544] MazicMozaic: トラキアにも並びかえがあればな
[6560.027] (S)テムおじ: たからのかぎで開けるか、最後にしたら
[6584.003] ~MISSING_COMMENTER_INFO~: 階段の挙動も見ておきたいなあ
[6585.116] yukihiro3417: 盗賊にこだわらずにとびらの鍵でもいいんやで
[6599.445] (S)ruku16: カリオンの体格なら素手でも捕獲されないんじゃない
[6612.770] ~MISSING_COMMENTER_INFO~: フリージ間引けば見た目は問題ない
[6612.826] (S)varoshi: だれとどの子が話するか、ノートしたら？
[6615.876] (S)toshioj: 見てけ見てけ
[6618.644] ~MISSING_COMMENTER_INFO~: なさそう
[6623.593] (S)kurataro: 壁寄りに並ぶやつを遠隔で倒せば
[6624.343] (S)zakkn: 確認していけ
[6631.024] tamaow: 攻撃はしなくても担ぎはするで
[6632.065] (S)suzukigsan: 人の良心を信じろ！
[6638.738] ぱーーまん: フリージ兵だって人間なんだ
[6640.667] ~MISSING_COMMENTER_INFO~: ウメちゃんも踊り子焼き切るから、まぁ・・・
[6644.162] MazicMozaic: ロナンさんで蓋する？w
[6652.004] (S)toshioj: 加賀に人の心はなくても
[6653.088] (S)zakkn: 信じることから始まるよなあ？
[6670.589] (S)varoshi: めんどくさい作業はいるぞ！
[6671.543] tamaow: 赤胴着のケン
[6676.308] jiaozijiaozi: なんのためのホワイトボードや
[6678.794] ばんび29: Pcにメモとろ
[6689.477] (S)toshioj: まーーーーーーーーじか
[6689.585] (S)サラバア: あずきちゃんと呼ぼう
[6691.590] nohohon13: 後で乱暴されます
[6693.036] ~MISSING_COMMENTER_INFO~: ほんとぉ？
[6696.861] kaeru100: 顔グラが同じヤツがいるんだよなー
[6698.188] 桃臼臼: でも取り返すために武器振るうと次のターン反撃で始末しない？
[6698.564] grblkun: まぁ続きやってみ地獄が見れる
[6704.516] (S)元気な変態おすぎ: フラグかな…？
[6709.549] (S)varoshi: お、かなりいいかんじ
[6713.700] (S)クズ220: どうやって取り返すつもり？
[6714.431] (S)zakkn: 見守ろう
[6722.587] ~MISSING_COMMENTER_INFO~: 子供を囮にトロン作戦
[6724.645] (S)toshioj: 顔グラ同じ奴がいるのむかつくよなｗ
[6725.210] (S)varoshi: その調子で
[6725.842] nohohon13: 子供ごと消し炭に・・・
[6727.019] (S)zyagamon: それええやん
[6732.528] herumesuwind: ２０００人規模配信でコメ返しうまいウメハラ見れるとか時代だなー
[6737.645] MazicMozaic: 間接攻撃いたっけ
[6737.904] (S)papipopon: そのやり方でいけそう
[6748.309] ぱーーまん: さよなら
[6754.705] ~MISSING_COMMENTER_INFO~: お持ち帰り
[6762.595] tamaow: お持ち帰りはやばい
[6763.015] (S)zyagamon: 慰み者
[6782.407] (S)ruku16: 渋滞してんな
[6783.125] ぱーーまん: ティナを連れて行ってどうするつもりなんでしょうね
[6783.568] (S)avmajvm: あ、これ対応してないと動きとまって壁になる感じだ
[6786.865] (S)zakkn: おやじー
[6788.880] ~MISSING_COMMENTER_INFO~: すまぬのう・・・
[6789.889] 東北のスロカス: ん？
[6791.622] grblkun: こっからなんだよなぁ詰まったぞ
[6792.132] (S)kurataro: じいさんとち茶髪
[6792.685] (S)zakkn: からのー
[6794.509] ぱーーまん: じじいとイケメン
[6796.037] yukihiro3417: 祭り始まったな
[6796.436] ~MISSING_COMMENTER_INFO~: からの
[6797.693] KaLam1ty: WOLOLO
[6798.286] 桃臼臼: 説得したジジイ消えないの！？
[6799.879] (S)zyagamon: 角待ちサンダーで行けんだろ
[6800.476] (S)kurataro: メモろう
[6801.982] (S)call49: むっじー
[6803.812] (S)varoshi: うめちゃん、メモしよ！
[6805.063] yukihiro3417: ここからなんだよな実際ｗ
[6806.597] ~MISSING_COMMENTER_INFO~: 見えてた悪意
[6806.598] nohohon13: これすぐ死ぬ奴ジャン
[6808.012] owa4gamer: これは無理だなｗ
[6808.151] (S)papipopon: 緑になるのか
[6808.234] (S)avmajvm: あれ？これ積み？ｗｗ
[6812.010] (S)kurataro: そいつ死ぬじゃん？
[6812.469] ryuka1983: ちなみにその緑が死のうとどうでもいい
[6821.190] (S)zyagamon: 気づきましたね
[6835.448] KaLam1ty: 1
[6840.777] nohohon13: 関係者じゃないと寝返らないとかまさかね・・・
[6843.954] (S)varoshi: 覚えられないよ、メモしとき。
[6845.440] asayan1257: 全員NPCにしたらゼーベイア説得できる
[6848.317] 東北のスロカス: ホワイトボードに絵描いてメモっとこ
[6853.355] tamaow: え、緑離脱させんでも良いのか
[6856.804] MazicMozaic: 説得さえしちまえばこっちのもん
[6865.392] (S)varoshi: そうそうホワイトボード活用しよ
[6868.312] (S)zyagamon: 担いだら逃げんのやばい
[6877.429] (S)kurataro: スマホにメモしよ
[6880.527] kaeru100: 部下「裏切りモノがいるぞ、○せ」
[6884.436] (S)avmajvm: おいｗｗｗ
[6884.518] KaLam1ty: LUL
[6885.048] ~MISSING_COMMENTER_INFO~: 何もかもが悪意に塗れてる
[6885.327] 桃臼臼: レンスターｖｓレンスター！
[6888.603] (S)varoshi: 注意項目も書いてさ
[6892.367] (S)call49: 同士討ちやべーなｗ
[6893.631] SawayakaFaraday: GivePLZ
[6894.625] (S)zakkn: コロシアエー
[6898.992] grblkun: 緑は死んでもいいけどその緑が赤殺すからな
[6899.307] hozu343: Oh no, the armours
[6903.818] (S)zyagamon: 遠隔で間引かないと無理だな
[6905.446] ぱーーまん: 緑アーマーがやられてもいいけど緑アーマーが反撃で説得前アーマーを倒しちゃう可能性はある
[6907.487] (S)avmajvm: 狭いところでやるの無理じゃん
[6907.924] (S)kurataro: 裏切り兵は死罪だからな
[6910.214] MazicMozaic: 似顔絵描いて覚えよう
[6917.000] yukihiro3417: 誰もが18章で一度は折られる
[6918.982] (S)toshioj: 武器がキラーランスとハンマーだよ？ｗ
[6924.879] ~MISSING_COMMENTER_INFO~: 挙動がｋｓすぎるｗｗｗ
[6930.841] (S)papipopon: バカ市民
[6934.142] (S)varoshi: そうそう
[6944.121] ばんび29: L OMEGALUL NST OMEGALUL R
[6945.773] (S)クズ220: だから担がないといかんのよ
[6947.673] (S)zyagamon: 緑は殺していいらしい
[6951.815] kaeru100: 一応動く順番自体は有情だったはず、♪で第無いしはあるけど
[6952.687] asayan1257: この面はかつぐが重要
[6955.628] (S)テムおじ: こうなったらかついで無理やり順番入れ替えるしかない
[6960.517] nohohon13: 死ぬまで待とうホトトギス
[6961.715] (S)toshioj: マーティの話題一色だな
[6971.821] ぱーーまん: 冷静に考えて頭おかしいマップ
[6972.020] (M)Moobot: 音声別れてます。The audio in this channel is split. 「Left= English, 右＝日本語」 Playback Devices > Properties > Levels > Balance to change (or take out one earphone).
[6987.684] (S)kurataro: 扉を開けると壁に寄ってたから、そこ狙うとか
[6987.819] MazicMozaic: せいすいサンスト
[6990.971] (S)クズ220: 聖水＋サンダーストーム
[6992.920] (S)テムおじ: サンストだとMアップかせいすいないと足りないんじゃないか
[6995.843] yukihiro3417: オルエンマジックリングぶっこみくるか
[7002.085] ~MISSING_COMMENTER_INFO~: よくここまで嫌がらせを詰め込んだなってマップ
[7011.877] 桃臼臼: 左上の階段対策も考えないと
[7023.356] (S)テムおじ: 今何ターン？？
[7026.569] MazicMozaic: 確実に殺しとき
[7041.802] tamaow: マリータの聖水にも使い道があるんだな
[7042.259] (S)たあぼ0126: ケイ
[7046.854] (S)oinari6: たまにはスト５もした
[7047.848] balthazar000: おつ
[7055.822] (S)ビフィダス: ストＶの近況知りたいです
[7057.809] (S)kurataro: レイジ楽しみー
[7064.375] (S)toshioj: 明日はないのか
[7065.766] (S)cheeseeater: おつ
[7066.416] (S)ryou7144: 試合か
[7068.933] (S)call49: ウメハラゴールド楽しみっすねー
[7069.547] (S)metal_hellion: 明日か
[7072.177] (S)テムおじ: あしたrageやん
[7075.006] (S)zakkn: もうなのかー
[7076.826] (S)call49: 組み合わせはでてたね
[7079.021] (S)prisira: 明日はときどでしょ？
[7080.219] (S)thefrozensun_: 明日はときどフレイムでしょ
[7081.575] (S)山田たろう太郎: 誰と当たるかはトパンガで出てたね
[7081.826] (S)あと1983: スケジュールはもうでてますね
[7083.811] kaeru100: 組み合わせはトパンガで言ってた
[7086.601] (S)zero4zero7: tokido氏でしょ
[7086.911] valerpizza: 日曜のも出てる
[7090.013] balthazar000: とき？
[7092.722] NagOutSide: umeBoom
[7097.048] ばんび29: ガイル？
[7098.304] (S)zyagamon: 収録だからときどは終わってる
[7098.584] (S)kurataro: さすがにガイルですか？
[7107.340] (S)metal_hellion: 勝算ある？
