[15.831] MUFIN46: よ
[6923.727] sen4rx: 70-3からこのスコアはそそる
[6944.868] nanasinogon: 👍
[6965.682] はるまき5966: やっぱ接戦が一番おもろい
[6986.259] neco_power: かせんさんとしてほしい
[6988.755] kiraran134525: kiraran134525 subscribed at Tier 1. They've subscribed for 18 months, currently on a 1 month streak! こんばんは、ボドド
[6994.014] kart2z: feed見たいっす兄貴
[6995.761] a8mahman: 無料だしもっと流行っていいと思うんだけどやっぱ日本じゃcod系はきついんかな？
[7015.490] milf1you: 地味にps4ないのがきつそう
[7026.725] dnkrss: ２倍のうちに育てときたい
[7042.046] kiraran134525: switchでプレイできるようになったら、流行るかも
[7044.728] kaki0000: codっぽいのやりたいやつはcodやってるしな
[7054.273] a8mahman: HP120とバリアが普通にうざい
[7069.653] neco_power: オツパイ？
[7072.497] きりみにき: オ〇〇パイ
[7074.934] a8mahman: えぐｗ
[7081.100] あれっくすたん: チーム全員ファントムで固めたらクソ強くね?
[7093.101] kiraran134525: 🥧🥧
[7095.529] a8mahman: バリアだす敵にはEMPか
[7112.479] ruki55_A: おいす
[7130.678] ふぁあああああああの音: ハックもおすすめ
[7135.524] a8mahman: このゲームフラッシュわりと強いよね
[7148.213] glk8sz: 敵が硬い
[7156.524] fuminifu: デッドセックがグレリキャストできるからアンチピック
[7198.119] kosaki61: これって案件？それともボドカがハマってるの？
[7201.448] valture_6969: 誰かぁ！
[7205.070] haise114777: W
[7215.337] ぐりーむ6: 試合毎っぽい
[7219.668] zasomaruu: このゲームプレイしたら結構おもろかった
[7221.359] はるまき5966: つっよ
[7236.270] yottando_o: XD
[7250.322] aoi0701m: この手のゲーム、スライディングいらんくね？
[7274.012] valture_6969: うっま
[7281.078] sen4rx: うっま
[7284.783] haise114777: 神フラグ
[7290.779] yottando_o: スライディング大事よ
[7331.311] dnkrss: スパイダーボットとセンサーマインだけは弱くしてくれ
[7347.124] valture_6969: ジブドームうぜー
[7358.744] a8mahman: AKならACRでいい感
[7360.675] minamov: センサーマインしゃがむだけでダメ抑えれるやん
[7371.024] はるまき5966: 今なんか死体打ちしてなかった？ｗ
[7371.857] GussanRR: AK弱いわ
[7372.033] glk8sz: おっと
[7372.795] kombu_oshaburi: バリ死体撃ちされてたなw
[7379.811] haise114777: 育てたら強いでっせ
[7381.646] yottando_o: 挨拶された
[7382.213] a8mahman: まあACRナーフもあり得るか
[7385.534] ふぁあああああああの音: 元気な奴いたな
[7409.611] realpizza2: シュパパパパ
[7424.566] haise114777: かわりやす
[7443.752] GussanRR: アタッチメント出るまでが苦行ではある
[7446.330] aoi0701m: もっさりしてんなぁスライディング
[7452.828] kz_desu_ne: これってハーポ？
[7462.244] haise114777: ファストマグ出るまでがながいです
[7466.627] yurayura7272: キルタイムもACRのが早い？
[7469.802] neomarxist2: なんか頭当たってるときはAKのほうが強い感じある
[7508.382] a8mahman: アサルトだとTTKはMDRが一番らしい
[7538.426] ふぁあああああああの音: なんかak集団率悪いんだよね
[7540.076] ひゅが21: チャットｗｗ
[7550.221] haise114777: レーザーサイトAKで命中あがりやす
[7552.197] yanperu11: m16やろうや
[7556.693] iguni_ru: AKこそアタッチメントないと感ある
[7559.311] ひゅが21: みかたよわいって
[7568.428] a8mahman: m16は当てたら強いよね
[7568.867] はるまき5966: みかたよわいらしい
[7569.925] mcdakyou0624: 結局どの武器が強いの？
[7574.246] dnkrss: ランクじゃないのにｗ
[7580.108] don_t0: don_t0 subscribed with Prime. They've subscribed for 24 months, currently on a 22 month streak! 
[7589.136] gohantaro4: 威力より命中率が正義な気がした
[7593.564] aoi0701m: このゲームランクあるん？
[7593.699] valture_6969: みかたよわい⇽お前も弱い 
[7594.685] penguinmaru4: アンランクで炊いてんの結構キツい
[7598.034] a8mahman: このゲームのチャット１回も気にして見たことないｗ
[7603.565] pointwow: 入力マッチ切れよ
[7604.959] haise114777: そうですよね笑
[7620.335] haise114777: クロームコートつよいです
[7623.593] ひゅが21: Vcで何に切れてるかわからん奴いました
[7625.715] gohantaro4: 死体撃ちは無視せず、やり返していいですか？
[7627.689] 鴨志田の金メダル: チャットで叩かれるのモチベ下がる
[7635.503] Jinx0009: ヘビーバレル強いって聞きますけどどうなんですかね
[7639.917] ぐか: 昨日アンレでバーカぶちぎれてるやついてまじでおもろかった
[7640.451] silva518: 見てるだけなのにこんな楽しそうなゲームも久々だな
[7640.738] きーだい: 普通に胴撃ちやったらTTK的にAKはACRの劣化版でしか無いと思う
[7653.232] haise114777: PEQでなかなかバランス良くなりますよ
[7655.676] ajifly9518: チャットする暇あるならスコープ覗いた方がいいですからねえ
[7657.233] valture_6969: まじチャットディスは士気が下がる
[7671.775] はるまき5966: 日本のマインド的にやばいやつは無視したほうがいいみたいなあるけど不愉快ではあるんよな
[7672.039] Juicewisdom: axeumBlush
[7684.525] からちゃんです: わいは最後の投票してくれないとお前引きこもりデブ認定なって言われた
[7694.846] a8mahman: バリアまじうざいな
[7700.983] haise114777: ここスナ楽しかったです
[7709.951] きーだい: ヘビーバレルが強いかは武器による、キル弾数1発減る武器は強いんじゃないかな
[7716.272] x9cer: xd@5 pc
[7718.634] かいえ_: このゲームのチャット気づかんｗ
[7720.493] ajifly9518: このマップ結構好き
[7746.557] aoi0701m: スキルつよ
[7749.124] a8mahman: ハセシンみたいにアタッチメント紹介してくれる人いないかな
[7752.733] きーだい: チャット小さくて色薄い
[7765.826] gohantaro4: 前、このゲームで一人ボイチャでずっと喋ってる奴おって笑った
[7771.514] GussanRR: 見づらいくらいでいいと思うけどね
[7772.931] haise114777: たしかに
[7783.925] Excusez_moi_Eiffel: 今のメタってなに？
[7791.310] mcdakyou0624: 強武器って何ですか？
[7801.551] haise114777: 育てないとノーアタッチ厳しいですこのゲーム
[7804.737] るーぷす1: 凸sr
[7819.446] きーだい: MP7.vector.ACR.AK.M16.マークスマン、砂
[7827.033] 月光の祈り: akのダストカバーついてないのはスキン？カスタム？
[7831.189] tabobo_h: mk20に炎のキャラ使ったらこれに勝てるやついなくなる
[7846.684] hide_0709: ライトマシンガンは強武器ですか？
[7850.845] ajifly9518: 弾抜けってまだ修正されてないんだっけ
[7856.869] k4wll_vl: このゲームsrアンチ多くて萎えた
[7863.323] valture_6969: 修正中
[7866.630] きりみにき: 旗内での撃ち合い多そうだからsmg良さげだけどどない
[7874.495] きーだい: LMGはM60だけTTKなかなか強い、それ以外はうんち
[7876.260] kz_desu_ne: このゲーム武器とかアタッチメント解放もcod形式ですか？
[7878.064] gohantaro4: srはどのゲームでもヘイト高いやろ
[7880.140] はるまき5966: 砂はどこでもアンチ多いぞ
[7887.842] oga1223: SG以外はどれも強いよ
[7888.417] るーぷす1: TTK長いもん
[7890.399] GussanRR: AKバフほしいよね
[7890.850] artificial_prayer: AK
[7893.833] Segata34ro: やっぱり好みの問題っすかねぇ
[7905.822] きーだい: アンチってかこのゲーム現場砂は壊れレベルの強さやからな、猿でもキル取れる
[7906.012] orange_y7626: unkochanYaa
[7928.951] らっき一ストライク前田: 🤖強武器使ったら負けないのにな
[7931.834] gekilo2ro: AK最初使ったときは感動したけどACR使うと戻れん
[7935.128] tabobo_h: 打たれらひるみでるアプデくるらしい
[7950.092] k4wll_vl: 確かにboで死体撃たれまくったの今思い出したわ。なんで記憶なくなってたんやろ
[7956.586] gohantaro4: てかもう明日、リドル大会か
[7958.618] pointwow: 頭ねらいなよ
[7968.606] artificial_prayer: AK反動どぎつい
[7976.562] (S)新人おじさん: それはある
[7976.606] きりみにき: ヒットフリンチ来たらAK実質強化か
[7979.225] a8mahman: 今弾抜けあるからそもそもレート高い方が強いよね
[7980.473] haise114777: Ｍ４はまじで弱かった
[7992.325] きーだい: 弾抜け酷すぎて、ヒット音アホほどなってんのに倒せんからなwww
[7999.645] るーぷす1: Vectorとか？
[8004.030] かいえ_: シールド鬼かてえんだよなｗｗ
[8012.856] jin2148: P90も弾数あるだけの豆鉄砲だったよ
[8020.226] Black__PamPers: エイムアイスといくつですか？
[8030.105] gohantaro4: マジ、EMPグレ必須
[8030.338] はるまき5966: 人間がプレイしてるってこと忘れずにな
[8033.995] haise114777: MP7も強いですよね
[8034.167] a8mahman: このゲームだいたいみんなぴょんぴょんだから頭きつい
[8039.597] いどあ: PADぴょんぴょんされるときつそう
[8040.689] きーだい: vectorマジで近距離だけは負けなし
[8043.322] ajifly9518: パッドでヘッド狙うの難しそう キーマウしかやったことないけど
[8049.492] ぐりーむ6: キーマウだときもち狙いやすい
[8052.958] dnkrss: ジャンプして頭に当たったらラッキー
[8063.936] しるねこ: ジャンプ撃ちと屈伸撃ちはナーフ予定だそうです
[8068.353] (S)新人おじさん: レートがなぁ
[8072.013] dokata0224: arはm16以外全部ざこ
[8073.713] ebitaro555: 今ピョンピョンエイム強いんだ
[8078.838] a8mahman: これAKはレート上げるアタッチメント必須かな？
[8083.085] kamiyan_p4g: ar使おう
[8088.257] gohantaro4: ナーフせんでもよくね？キャラコンおもろいのに
[8098.155] (S)ねくすとたいむ: vodkav2Amo
[8106.925] きーだい: まぁARは飛び抜けてM16が強いわな
[8112.382] るーぷす1: アンロックにとんでもない時間かかる
[8122.290] a8mahman: EMPか
[8128.041] きーだい: 正直このゲームアタッチメントでそこまで劇的な変化ないと思う
[8128.547] いどあ: え、ナーフ予定どこ情報？
[8129.639] a8mahman: あ
[8139.508] lime1228: はいれねぇ
[8144.260] ちーーーすけ: ジャンプ撃ちナーフされたらアタッチメントのメタ変わりそうやな
[8150.291] kimMegane23: 武器の経験値ってキルだけらしいね
[8162.466] artificial_prayer: 盾耐久か時間半分でよくねぇかとは思う
[8192.692] たっくん_3: 盾はEMPでおｋ
[8201.277] しるねこ: ゲームデザイナーのXです＞ナーフ情報
[8203.805] haise114777: ソナー強
[8208.060] きりみにき: 近距離メイン過ぎてAKみたいな中遠距離武器キツそう
[8224.169] るーぷす1: センサーマインもめちゃくちゃ強いと思うんだけどあんまヘイト向いてない？
[8242.056] takoyaking0531: このマップ高低差ありすぎてゴミ
[8244.687] 96nowa: ガチでm16強いな
[8255.685] お気にのワンピ: センサーマインってあんなもんじゃね
[8258.236] oga1223: EMPっていうカウンターが用意されてるのに使わないで盾に文句だけいうやつおおすぎ
[8269.238] artificial_prayer: NF
[8271.260] きーだい: SMGの射程が普通に10m以上あるから、中距離も普通に戦えちゃうのがな
[8274.712] haise114777: 体力回復回復も少し時間かかるから2枚目以降厳しいですよね
[8279.484] いどあ: ヘッショライン覚えなきゃ…
[8289.604] ちーーーすけ: MP7だけ壊れ
[8295.195] かいえ_: しゃがむやつよりジャンプする奴のがおおいから地雷ささるよｗ
[8304.277] きーだい: 意識してヘッショ狙うゲームじゃないでしょ
[8314.809] (S)新人おじさん: そうやね
[8327.881] a8mahman: 頭いれるより確実に削る方がいい
[8328.544] るーぷす1: smg
[8336.376] きりみにき: キャラコンえぐいしね
[8347.170] artificial_prayer: 狙ってもべしべし音全然鳴らん
[8362.424] ちーーーすけ: AKもカスタムのメタみたいなのあったな
[8371.131] きーだい: 今どの武器も反動制御は捨てて機動力に振りまくるのがメタみたいやね
[8373.501] a8mahman: AKレート遅いしありかも
[8374.084] haise114777: クロームコートほしいですね
[8379.175] (S)kaputinon777: マズルいいね
[8392.563] Segata34ro: 反動回復も大事かな？
[8395.817] きりみにき: なんかAK素の集弾率終わってそう
[8436.294] haise114777: ストック無し
[8444.439] いどあ: だいだいストック消しがち
[8447.911] neco_power: またおちゅぱい
[8448.410] a8mahman: スピードカスタムか？
[8448.707] ちーーーすけ: AKはおりたたみやね
[8458.462] いどあ: ダッシュ後エイム上がるからね
[8462.633] haise114777: つまりレベル次第です🥺
[8463.442] (S)peach___33: ちょくちょく遊んでたら落ちるんだけど同じ人いる？
[8470.221] きーだい: このゲーム猛者は大抵機動力全振りやからな、ストックはだいたい消える
[8490.187] a8mahman: 回復フィールド炊いてやがる
[8498.007] arlingtonnnnn: ストック無くしたらADSの速度上がるのかな
[8522.796] きーだい: 確かダッシュ後射撃速度爆盛りの移動速度ちょい盛りかな？
[8526.102] ひよこちゃんだよ: vodkav2Angryvdk
[8551.146] a8mahman: クモうざいな
[8565.329] pointwow: クモは格闘でこわせる
[8575.157] しるねこ: 腰撃ちの集団性終わってるのでADS時に早く動けるカスタムはアリかもですね
[8586.904] かいえ_: LMGはどうなんやろ
[8608.155] aoaokt: 武器のダメージと体力の割合あってなくない？
[8611.678] はがねのふっきん: vodkav2Angryvdk
[8612.398] (S)新人おじさん: アシストばかり積み上がっていく
[8630.866] kingdeb120: てきかた
[8643.226] きーだい: LMGはM60はなかなかのキルタイムやけど、雑魚狩り武器って感じ。ぴょんぴょんゴリ凸してくる猛者には話にならん
[8645.322] Segata34ro: 高威力が売りのはずなのにｗ
[8645.489] ひよこちゃんだよ: vodkav2Vodkka
[8649.134] a8mahman: AK使うならLMGのほうが強い説
[8654.226] きりみにき: 47とm4弱いの悲しいわ
[8656.401] (S)kazaha_zazazaxf: w
[8673.429] kingdeb120: このげーむなにがつよいんや
[8673.533] お気にのワンピ: めっちゃクモに好かれてるじゃんｗｗｗ
[8699.845] きーだい: AK威力高いって言ってもキルの必要弾数ACRと同じやから劣化版なんよなぁ
[8720.774] sen4rx: 今のウルト昔のcodでレールガン何発か撃てるやつ思い出したわ
[8721.793] jin2148: てかこのAKなんでレシーバー無いねん
[8732.112] ちーーーすけ: オキュパイは近距離戦闘多いからMP7やなぁ
[8734.947] a8mahman: アサルトの性能が抑え気味だよね
[8745.341] kingdeb120: アサルトすきだからかなしい
[8753.899] aoaokt: キャラによって体力変わるとかそういう感じ？
[8761.560] gekilo2ro: ｗ
[8761.725] (S)すけ7: !member
[8761.832] (M)Nightbot: solo
[8762.786] a8mahman: ACRも強いけどぶっ壊れって感じはしない
[8763.629] かいえ_: 今の死なんのかｗ
[8767.990] (S)新人おじさん: 盾だけ120ほか100
[8778.434] gekilo2ro: 今のえぐいけどこのゲームのＡＫあるあるｗ
[8810.665] きーだい: ACRは普通に強い武器だねってレベル、壊れレベルではない
[8816.718] かいえ_: ＭＰ７しか使ってないからＡＲ知らなかったｗ
[8821.937] a8mahman: 無難にSMGか
[8835.565] aka__kaeru: エックスディファイアント配信してる人の概要欄にっこにこでほっこりするXD
[8847.481] kou4645: このマップはSMGか
[8858.254] kbb3939: AK
[8866.173] きーだい: ぶっちゃけM16以外使うならMP7使った方が強い気はする
[8875.394] takapeanuts_017: AKSティアらしいけど絶対うそ
[8875.592] (S)新人おじさん: 倒せないと立ち回りも良くならないしなぁ
[8899.332] kbb3939: 使っててこれがSティアな感じはないんだよな
[8916.324] gekilo2ro: Sなわけないｗ
[8917.787] dlr0w: AGRより強く感じる
[8919.558] (S)kazaha_zazazaxf: 誰のティア？
[8931.181] きーだい: あれどうせCODプロとかが、明らかにやべぇM16とか避けててACRやAKばかり使ってるからやろ
[8934.280] haise114777: 合う合わないありますからね…。
[8934.591] (S)新人おじさん: 俺はAKよりM4の方がよほどキル稼いでるからそれはないｗ
[8942.971] (S)kaputinon777: やっぱHSなんか
[8942.988] ぐか: ティアとか信じてないわ～
[8944.727] leblol23: 使用デバイスによって武器のtierとか変わりそう
[8948.242] voxy00000: xdって面白いですか？
[8951.020] iguni_ru: アタッチメントがでてないだけでしょ
[8956.207] kingdeb120: くそうまいひとがゆってるだけやなくて
[8956.209] ~MISSING_COMMENTER_INFO~: また糞ゲー？
[8960.533] haise114777: AK57Lvまで使ってます😂
[8964.546] sen4rx: うーんw
[8970.452] まよらー007: おれはAKのほうがキルできるんよな
[8970.504] ぐか: AKはアイアンサイトで十分
[8970.950] kbb3939: アタッチメントで化けるかもしれん、個人的には微妙や
[8972.502] お気にのワンピ: でもおれもＳティアのやつ見たわ ＡＣＲがＡティアだった
[8977.956] Segata34ro: 広いマップでならワンチャン？
[8978.944] gekilo2ro: ＡＫ育てるのまじで苦痛なんやけどｗ
[8982.101] tamachan_a1: マウスだとAK強い気がしてたけどこんなに評価低かったんだ
[8987.620] 水橋ぱるむ: P90はどう？
[9002.961] きりみにき: ヘッド入れた時の確数だけで考えてそう
[9004.913] a8mahman: 見る奴によって変わるけどＡＫはＡが多かった
[9008.528] kou4645: 流石にAKよりACRじゃない？
[9018.926] yashu2244: ベータだとアタッチメント全開放されててAK強かったからかな
[9022.464] artificial_prayer: でもこの反動でHS狙える気しないんよな
[9026.807] ちーーーすけ: 個人的にACRは圧倒的にtire1やけどなぁ
[9027.518] たっくん_3: 個人的にM60がおすすめ 4発キルは正義
[9028.610] (S)soya2222: soya2222 subscribed with Prime. 
[9033.085] takapeanuts_017: ピストルグリップ出ると使いやすくなるけど、走り回るならMP7で良くね？と思う
[9035.410] orange_y7626: ひとそれぞれ
[9039.581] gekilo2ro: おいヴァンダルの方が性能良いぞ
[9041.030] シンラくん: MP7最強だから使って欲しい
[9045.526] dlr0w: 自分の体感はACRの方がttk遅く感じるw
[9066.042] formulqr: !drops
[9075.393] ただのともや: AKむずい
[9075.712] Segata34ro: 交戦距離の問題かねぇ
[9076.423] formulqr: !drop
[9094.070] (S)kaputinon777: 出会い頭の撃ち合いがなあ
[9104.582] kingdeb120: 先うちされたらつよいとか？
[9113.570] ひよこちゃんだよ: vodkav2YA
[9116.786] (S)kazaha_zazazaxf: おつかれ
[9117.147] artificial_prayer: おつかれさまー
[9118.307] ちーーーすけ: おつ
[9119.587] 96nowa: おつ
[9119.785] ただのともや: o2ds
[9121.752] orange_y7626: おつ
[9121.980] きりみにき: おむ
[9122.899] kingdeb120: おつかれさま
[9125.329] haise114777: おつ
[9128.052] qoop_s: おつかれ(*´ ³ `)ﾉ
