[7.670] もきち555: こんうめちゃん
[9905.440] y_proto: 攻めても強いガイル
[9906.796] ラリメモ: 被弾のヒビキさんぽく無い…コマ投げタイミングがちょっと悪い
[9907.099] (S)ちぇんぷる: うわー
[9907.250] takahashiseigi: さすが世界最強ガイル使い
[9908.445] monpiipop: うまうま……
[9908.585] 千葉県おっさん: これは荒らさないと無理そう
[9908.682] gyu_nyuu_pann: やば
[9909.600] kawasak1n: あちゃ
[9909.812] johndoe6523rp: ウメさんの優勝予想聞かせてください
[9910.008] 日本語かな: きちゅい
[9910.580] kasutadonshirokuma: がんばれひびき
[9911.700] junjamaica: ３指が言ってるなら間違いないｗ
[9912.724] suupu: さすがに強い
[9913.215] (S)firefly860130: うまいな
[9913.247] (S)黒猫くん: キツそうやなー
[9914.838] moricocoa: 端にいっても逆択で終わる
[9915.223] ryuken_future: ウメガイル待ってます
[9916.828] ピヨさん: エド1位の立川くん
[9917.380] ko23458: ウメちゃんガイル使いそう
[9920.221] ミジンコ隊長: ５－０は嫌だ５－０は嫌だ５－０は嫌だ
[9920.411] SleepShiva: ガイルガン有利にしか見えないな
[9920.850] shochann: キャラ差の現実つれえ
[9921.013] watasihamakotodesu: 対応できるか
[9921.188] momochan6: こりゃ厳しいか
[9922.063] ましゅダヨ: ちゃんと研究してた
[9923.219] yousuke778: SA1のあとも入れ替えよね
[9925.699] millioniwashi: タチは強いの見つけるの上手い
[9929.154] (S)vaio_95: タクシーで日本まで送られるのは嫌だ
[9929.928] np2np: ひびき曰く一番相性悪いのがガイルだからねー
[9933.164] monpiipop: 読んでるよねぇ…投げ避けるのうまい
[9935.850] zyangara2: ウメちゃんへのガイル促しが
[9937.120] kaomoji3: つええなぁ
[9937.777] sussy_int: タクシーは嫌だ！
[9949.431] maddy2623: 有利不利はわかんないけどナックルうますぎ
[9953.891] 江田島平八んぽこ: 恐怖のクシャポイシステム
[9960.704] wonderhit1: JPとガイルじゃなかったっけ
[9961.016] 日本語かな: じゃあダメじゃねぇかw
[9964.380] gyu_nyuu_pann: そうなんだ
[9968.664] (S)kakutora_no_o: あ，ヒビキ的にはそんなにきついのか
[9981.298] takahashiseigi: ふ〜どさんもガイルの練習したいとのこと
[9984.394] ミジンコ隊長: きつー
[9988.241] kaomoji3: やめて〜
[9989.695] ピヨさん: 容赦ねぇ・・・
[9990.400] thraximundaru: 溜めにくそうだもんな
[9994.493] kawasak1n: 苦しい
[9999.035] monpiipop: まじか
[9999.666] (S)kakutora_no_o: すんごい
[10000.933] demonbane_twosword: マジか
[10002.427] aranami0: きっつ
[10002.597] keiso_no_oto: きっつー
[10003.237] (S)ちぇんぷる: やっべえ
[10004.347] ピヨさん: 中断も刺さる
[10004.619] gyu_nyuu_pann: ひゃー
[10005.228] 1108044k: つえー
[10005.239] watasihamakotodesu: きついなー
[10007.784] gyu_nyuu_pann: きちい
[10007.938] sigano3123: ゲロいなこれ
[10008.335] UCNOVA: ニーバズきっつ
[10009.015] 梓樹: マジで辛そう
[10009.229] (S)nanakusan793: うーんうまい
[10009.365] ジャンクばっち: 強すぎるー
[10009.450] maddy2623: きついよぉ
[10010.032] mifune1046: 助けて…
[10011.234] momochan6: 端からでれねえ
[10011.692] degajun: うまいなぁ
[10012.283] someone0506: ５先じゃ余計無理だわ
[10012.403] junjamaica: かけちゃんと代わってあげて
[10013.349] shochann: 中段の狙い方上手だね
[10015.247] koiwai20: きつすぎ
[10028.946] gken8344: こんなんどうすりゃええんや
[10029.586] thraximundaru: 手前投げシケずるw
[10033.931] bec118_japan: ためれねぇー
[10036.997] (S)kakutora_no_o: がんばれぇー
[10037.096] ミジンコ隊長: きびしー😭
[10037.192] (S)ちぇんぷる: きびすぃー
[10037.889] moricocoa: OD風溜めほしいね
[10038.906] 日本語かな: アドバイスない？
[10042.496] manmosu16: おわってるなこれ笑
[10043.992] forseti1717: 溜めれんやん
[10044.360] ryuken_future: ラッシュで突進から下段中段択できる時点でやばいｗ
[10044.587] keiso_no_oto: 打ち放題じゃねぇか
[10044.598] maddy2623: ためらんねぇw
[10049.918] ピヨさん: 中段対応したか
[10051.655] teccha_tw: こするやん
[10054.621] mifune1046: カプコン見てるか？
[10055.056] demonbane_twosword: うーん
[10055.061] kasutadonshirokuma: 目から光が失われてしまう
[10056.493] mochii6262: 第二のアイドムになっちまう
[10057.094] 1108044k: まずいなぁ
[10058.819] (S)ちぇんぷる: わあああ
[10059.570] (S)kakutora_no_o: いやーー
[10060.473] kawasak1n: BibleThump
[10061.490] shochann: きついね
[10061.763] ましゅダヨ: いやー……
[10063.186] gorogorogorn: きちい
[10063.244] kamiyama_t: どうすんのこれｗ
[10066.819] (S)vaio_95: もう飛ぶしかない
[10067.195] (S)kakutora_no_o: がんばれーー
[10068.995] delinger723: つよすぎだろ
[10069.434] degajun: きっつい
[10070.393] (S)軽く捻るか: まずい
[10070.475] ピヨさん: クシャってされたくない；；
[10071.033] zyangara2: 風溜めれないか
[10071.124] sindou_ume: エグい
[10071.613] kanatazx: ジェイミーの酒と一緒かな
[10072.249] johndoe6523rp: トナメ運がねぇ…
[10074.035] prosciu: また高僧が
[10074.563] sndkzfm1: 相性差なんてあって当然だろ
[10076.471] yomenigeter: ガードで何も解決しないんだよなラッシュ中段
[10079.507] takahashiseigi: 冷たく処られてますね
[10079.794] chinkalahoi: ひびきがこれで終わるはつれえよ
[10081.839] aranami0: 結局飛びか
[10083.331] koiwai20: 毛抜きが
[10083.549] bec118_japan: ソニック飛ぶゲームするしか
[10083.831] junjamaica: まーた瀕死フェチのうめちゃんうずくぞｗ
[10085.662] ましゅダヨ: 見てて辛いぞ……
[10086.852] ymdmad: 初戦ガイル可哀想すぎるな...
[10088.604] bakuseiha: クールタイム入れた方がいいんじゃないか
[10088.814] abo_gorilla: よりによってガイルってのがきつい
[10096.735] maddy2623: じゃーんけーん！
[10097.525] (S)nen_100: タクシー乗せられちまう...
[10097.672] ミジンコ隊長: やでぇ
[10099.077] ピヨさん: ここから入れる保険が
[10099.384] (S)ちぇんぷる: ほんまあ？
[10099.607] watasihamakotodesu: こえー
[10101.710] (S)kakutora_no_o: あ
[10102.276] ミジンコ隊長: あ
[10102.831] gyu_nyuu_pann: やでぇ？
[10103.527] monpiipop: あ
[10103.650] 157655: あ
[10103.829] UCNOVA: あるのけ？
[10105.215] kamiyama_t: あ
[10105.924] kawasak1n: あんらー
[10105.943] gyu_nyuu_pann: あ
[10106.361] 0_mamama_0: あんらあ～
[10106.638] chinkalahoi: ラッシュ中段さぁ・・・
[10107.066] aranami0: えええええええ
[10107.293] 日本語かな: あ
[10107.818] (S)kakutora_no_o: あったあああああ
[10107.879] (S)ちぇんぷる: まーじか
[10109.895] おざなり: あてないで
[10110.025] (S)軽く捻るか: あああ
[10110.133] kaomoji3: ひどい話やで
[10110.220] moricocoa: 結局中段
[10110.297] ラリメモ: 多分２P側ラグきつそう…差し返し全く出来てない…
[10111.742] ピヨさん: あらら
[10111.784] kasutadonshirokuma: 悲しい
[10111.940] sigano3123: まじかあ、、、
[10112.262] teccha_tw: 中断祭り
[10112.445] forseti1717: きつい
[10112.463] 5don: ひびきちゃん、そこからあるで
[10113.398] momochan6: 中段通るなあ
[10113.748] gorogorogorn: ウメ預言
[10114.378] 千葉県おっさん: いい読み
[10114.471] shochann: そんな幹事した
[10116.501] (S)firefly860130: ないか...
[10116.691] 新ころりん: このゲームあるんだよなぁ・・・
[10118.272] ModernCurryRiceOOmori: じゃんけんさせて貰えん
[10118.464] np2np: 風ためられないのきちぃ
[10118.988] kamiyama_t: やはりおも中
[10119.744] (S)vaio_95: インパクト振らないのね、ひびきくん
[10121.509] takahashiseigi: 中段ヒット率何%だろうw
[10123.563] 1108044k: ガイルつよくね？
[10126.184] 流川棚: 緊張してるのか中段が刺さりすぎてる
[10126.596] sigano3123: ガイルに中段いる？
[10126.905] toki0823: これは精神的にくる
[10130.924] (S)nanakusan793: このゲームほんまこわい
[10131.442] (S)kakutora_no_o: 若さで立つんだぁ！
[10142.698] ko23458: ガイルがおれを使えと言っている
[10146.671] ミジンコ隊長: さんしぃ！
[10147.230] (S)ちぇんぷる: 使っちゃう？
[10147.830] maddy2623: 無理やり起き攻め通すしかねぇ
[10148.364] moricocoa: ウメちゃんの苦手キャラにもいける
[10150.935] pensador28: FamilyMan
[10152.099] 5don: 情報筋
[10153.367] teccha_tw: このままではタクシーニキに、、、
[10154.182] Fkdso555: 俺あるっす
[10154.639] sndkzfm1: 師匠！？
[10155.581] (S)kakutora_no_o: きっつ
[10155.873] ミジンコ隊長: あ
[10156.832] chinkalahoi: 一度キャンセルラッシュしたらそのゲージ二度と回復してないのどうしようもねえ
[10156.886] 千葉県おっさん: あ
[10158.013] (S)vaio_95: きちーー
[10158.551] ryuken_future: モダンガイルはリバスピとか中段使えなくなるからゴミ
[10158.783] kaomoji3: まぁ強いよねぇ
[10159.965] 0_mamama_0: やめちくり～
[10160.454] おざなり: やるきだ
[10162.189] (S)kakutora_no_o: そーれはやばい
[10164.878] 戦う山田: 「安全」
[10165.006] koiwai20: どうせ調整でお仕置きくらいそう
[10166.307] kamiyama_t: うわあｗ
[10166.394] ピヨさん: 久しぶりに聴いた三指
[10166.754] (S)kakutora_no_o: いやああああ
[10167.299] 日本語かな: うわー
[10167.529] takahashiseigi: JPが弱くなって、ガイルが目立つ2年目
[10168.833] maddy2623: 出なかった・・・
[10168.880] (S)軽く捻るか: あああ
[10169.902] kawasak1n: 絶望 
[10173.483] (S)ちぇんぷる: こっから5連勝します！
[10188.233] abo_gorilla: トップレベルの中ではやっぱリリーはきついか
[10190.736] shochann: 絶望
[10190.940] gyu_nyuu_pann: うま
[10191.053] momochan6: また5-0になっちゃうのか
[10191.728] 1108044k: ガイル大会勝ってないからねぇ
[10192.483] ryuken_future: 俺はウメガイルみたいよ
[10193.416] (S)kakutora_no_o: やばいタクシー送りになってまう
[10199.640] 那覇: ガイルっていうか弾が弱くなりそう
[10205.238] kamiyama_t: 無敵全部当たる
[10207.047] kabiyuki: リリーはやはり厳しいキャラなのか…？
[10210.437] degajun: ガイルそんな目立ってなさそう
[10210.663] 日本語かな: 5-0ばっかりになってしまう、
[10211.711] johndoe6523rp: 海外では発売初期はガイル最強って言われてたね
[10212.019] ミジンコ隊長: あ
[10212.242] ババシャツ: タクシーは嫌だ！タクシーは嫌だ！タクシーは嫌だ！
[10214.232] (S)kakutora_no_o: くるしぃーー
[10214.436] ピヨさん: 逆にリリーは何を貰えればガイルに勝てるだろうか
[10215.543] fahmy0825: Bro this looks harder for Hibiki than before
[10217.051] sndkzfm1: ウメガイルにはアンチもいるからなー
[10217.590] shochann: ひりたい放題
[10217.634] delinger723: やばすぎ
[10217.779] ましゅダヨ: BibleThump
[10219.012] zyangara2: JP落ちたら絶対ガイルがやばい
[10220.078] (S)kakutora_no_o: タクシーがああああ
[10220.426] demonbane_twosword: 前に行きたい気持ちを止められた…
[10220.864] (S)軽く捻るか: きびしい
[10221.037] kawasak1n: お迎えきちゃう
[10221.100] (S)ちぇんぷる: がんばえー 
[10223.037] ModernCurryRiceOOmori: システムに愛されてない
[10224.264] fahmy0825: *than Idom before
[10224.803] watasihamakotodesu: もう終わりそう
[10225.461] Hikaru_256: ここから５連勝したら会場沸きそうだ
[10225.672] ましゅダヨ: きちすぎる
[10226.116] (S)yoshida56: umeGuile
[10228.462] 8ma4ta: ウメガイルめっちゃみたい
[10229.821] kahaku91: 勝率ダイヤグラムで決めるっぽいけどね
[10230.239] suupu: ２連続５縦はまずくなーい？
[10232.838] ラリメモ: ハリケーンに無敵付いてるのもおかしな話よ…
[10240.092] karanzinn: ripbiki
[10242.791] gorogorogorn: ひびきも肩落ちちゃうのかなあ
[10243.078] maddy2623: 詐欺；；
[10243.634] kaomoji3: いってぇ
[10244.208] (S)木佐0079: 高僧になっちゃう...
[10244.676] kawasak1n: BibleThump
[10245.805] CKU_M: リリーのジャンプ軌道も相性悪そう
[10246.895] delinger723: JPは必要悪だったのかと思えてきた
[10246.931] moricocoa: じゃあダルシム弱体
[10247.965] 1108044k: ダイヤグラムで決めるならリュウは・・・
[10248.295] ましゅダヨ: えええ
[10250.097] koiwai20: リリー対策徹底してんなあ
[10250.421] sndkzfm1: ほんまかいな？
[10250.968] ライリー: ウメちゃんならどんなアドバイスする？
[10250.985] takahashiseigi: とんでもないお仕置き調整食らうのはDJ
[10252.324] yuzupikon: あかん
[10252.927] junjamaica: キャラ変まで考えるレベルだぞこれ
[10254.566] papapoppapa: 溜キャラ火力出る割に立ち回りが強いのよ
[10254.779] 日本語かな: 詰んでいる
[10256.537] Blueprintn: きっつ
[10256.593] 157655: ここまで露骨にキツイとは
[10257.717] yousuke778: じゃあガイル使いがんばって
[10258.358] shochann: スト2
[10258.360] bakuseiha: どこの情報だよ
[10258.660] momochan6: きつい
[10260.475] (S)Opening_Runner: まだあいどむ送り終えてないんじゃ…
[10260.487] gyu_nyuu_pann: きっつ
[10261.638] (S)ちぇんぷる: BibleThump
[10262.233] (S)kakutora_no_o: ああああああああああああ
[10262.377] kamiyama_t: つんどる
[10262.490] (S)軽く捻るか: あああ
[10263.208] ミジンコ隊長: ひどい😭
[10263.397] fuukaa1186: きっつ
[10263.956] (S)pinkevirob: あわわ
[10263.984] demonbane_twosword: つれーわ
[10264.018] teccha_tw: ああああああああああああ
[10264.622] (S)inari_tencho: なにもない
[10264.707] hirakenisnoob: 無理だ 
[10264.872] シャンウー: 古のスト
[10264.911] tabibitox: 完璧
[10265.264] watasihamakotodesu: 何もできなかったー
[10265.826] forseti1717: ひどい
[10265.907] kawasak1n: 悲しい
[10266.130] UCNOVA: ありえねえ
[10266.324] ash_ftg: そんな情報あった？
[10266.822] aranami0: 地獄だよぉ
[10266.885] fox09090: 中断全部食らったらそら勝てんわな
[10267.022] kaomoji3: タクシーいやあああ
[10267.802] (S)yougen1124: グロ
[10267.861] 5don: BibleThump
[10268.195] keiso_no_oto: つめてー
[10269.405] abo_gorilla: ガイルのソニックはやすぎんだよ
[10269.430] puriokun1915: しょうもな
[10270.187] ゆきがら: つめてぇ
[10270.266] manmosu16: つまんな
[10270.421] sigano3123: なにこれぇ
[10270.691] 新ころりん: 空港までタクシーがでちまう
[10271.912] ミジンコ隊長: クシャらないでえええええええ
[10272.284] teccha_tw: タクシーニキ
[10272.518] sindou_ume: キツすぎるぅ
[10272.678] np2np: 第二のアイドムに
[10272.800] chinkalahoi: これでブタ箱きつすんぎ
[10273.152] まるたにこふ: ひびきリリーが5.0とかなるのかぁ
[10273.403] kamiyama_t: 紙クシャされちゃう
[10273.936] y_proto: ガイルはなぁ
[10274.579] ピヨさん: ；；
[10274.800] (S)vaio_95: 5−0連続かー
[10274.933] ほらきゃ: こんな問答せぇっ中年
[10275.555] abo_gorilla: つまんね
[10275.740] ModernCurryRiceOOmori: なんもできんて
[10275.881] (S)nen_100: ヒビキ、タクシーに乗れ。
[10275.942] 5don: タクシー
[10275.947] kabiyuki: ひびき、タクシーですか
[10276.101] (S)kakutora_no_o: ナックルつんえぇぇ
[10276.165] zan_k9: リリー....
[10276.413] 千葉県おっさん: 処理されたな
[10276.713] kurchin: きっちぃいいい
[10277.879] prosciu: また高僧
[10278.951] johndoe6523rp: 運がねぇ。しゃあなし
[10279.153] yomenigeter: くどぅの勝ち～
[10279.410] (S)yoshida56: 二試合連続ストレートか
[10280.539] kasutadonshirokuma: 悲壮感は無いな
[10281.244] yuzupikon: ガイルだなあ
[10281.764] 新ころりん: 虚無顔になっちまった・・・
[10282.319] degajun: ついてないなぁ
[10282.529] (S)黒猫くん: ここまでボコられるひびきはなかなか見ないから相当キツいんやろなw
[10283.068] kanatazx: ジェイミーはガイルきついですか？
[10283.908] 梓樹: 2試合連続5－0マジか
[10284.442] stnidic: くにへかえるんだな
[10284.499] delinger723: 冷てえ試合だ
[10284.527] junjamaica: タクシーイジメはじまる
[10284.971] だいこん_: umeGuile
[10285.637] ymdmad: マジで可哀想だわ
[10285.767] kosmos5567: 明確にきついキャラがいるとねぇ
[10286.528] ryuken_future: ひびき招待されてせっかくのチャンスだったのに・・・
[10287.294] manmosu16: この組み合わせつまんな
[10287.530] ヤブちゃん: アイドン顔面真似しろー！
[10289.117] wonderhit1: 遠くから来たのに
[10289.719] kamiyama_t: はじまらねえ
[10289.830] UCNOVA: もう少し見たかったわひびき
[10290.017] Haro022: 虚無い
[10290.281] buri1365743: 何もさせてもらえなかった…
[10290.443] 超パンダ: 爪跡残したかっただろうなぁ…
[10291.357] (S)winkyface_009: how ever guile plays from low to high rank lol
[10292.052] mifune1046: βで許されたガイル、βで許されなかったキンバリー
[10292.257] fahmy0825: Bruh...
[10292.355] Nishi_Poteto: ここは地獄か…
[10292.937] ましゅダヨ: うん……
[10294.041] 1108044k: あれほど日本じゃ勝ってたのに・・・
[10294.171] (S)nanakusan793: まさに「くにへかえるんだな」状態
[10295.082] aiukake: 読み合いに持ち込むのすら厳しい
[10295.945] ko23458: ガイルの詰ませえぐい
[10296.177] takahashiseigi: 中段も100％食らってましたかね
[10296.993] (S)yoshida56: umeGuile
[10297.185] takemiso0331: 司会の人ルパン三世と同じ服装やん
[10297.227] melonpan16: デスタクシー
[10300.356] sigurenigame: ひたすらシューティングされてしまった
[10300.730] SleepShiva: アメリカまでこれをやりに…
[10300.756] toki0823: 魂抜かれるんか？
[10300.960] sussy_int: タクシー乗ろうね…
[10301.044] (S)ちぇんぷる: 組み合わせが悪かったねえ
[10301.888] maddy2623: 徹底的にDリバしてたし風ためれないし
[10302.291] feliscatus77: こーれ７：３？
[10303.007] moricocoa: 常にDリバされるゲージ余ってたしなんもおきなかったな
[10303.617] teccha_tw: ドナドナ
[10305.020] gettyozi: リリーってきついんだな
[10305.634] 157655: ポカモガンすら届かない
[10306.032] kawasak1n: へいタクシー
[10307.085] zyangara2: ただただガイルに付き合わされてた
[10307.097] relux7: 何してんだ笑笑
[10307.893] tabibitox: 最初の読み合いで全負けしたのが痛かったな
[10309.011] tmtm84: 2連5-0誰が予想できた？ｗ
[10309.082] ヤブちゃん: ひびきアイドン顔面なってない？
[10309.379] shochann: コマ投げ使い専用タクシーになってる
[10311.589] monpiipop: ガイルさぁ
[10315.150] 日本語かな: 精霊の声が聞こえまない
[10319.084] abo_gorilla: キャラ替え必須
[10321.754] junjamaica: あのタクシーやめてあげてくれ
[10323.479] sndkzfm1: ポカモガンの代わりに斧持て
[10324.567] 無心に: ガイルが本気だしたらこうなる
[10324.783] ボディーラ: アジア選手ってヒビキだけ？
[10326.086] (S)firefly860130: 最悪の組み合わせ
[10326.313] (S)MYNK1981: 肩溶けちまうよ…
[10326.485] ryuken_future: ps5でやってるっぽいし中段いつもより強いかもね
[10327.045] まけイヌ: 冷酷なDリバ
[10327.175] takakurataito: おはよー、見にきた
[10327.518] bakuseiha: 司会の服どこで売ってんの
[10332.225] manmosu16: これを機にキャラ増えそう
[10338.056] 俺は大貫信者: ガイルがきついキャラってJP以外誰がいるんだ？
[10341.804] fox09090: 中堅１キャラの弊害でたね
[10342.463] ババシャツ: 去年も5-0何回かなかったっけ？
[10346.087] aaa11652334: リリー1キャラだときついんかな？
[10346.125] ピヨさん: カード・・・
[10346.381] 千葉県おっさん: 風の精霊はガイルのソニックに吸われた
[10348.075] てべす1103: CRカップの時のタクシー運ちゃんならまだマシだった…
[10349.256] no_name_0521: うめちゃん？
[10350.381] (S)kakutora_no_o: ナックルほんま強いんよ…
[10352.470] nisikorigay: ルパンみたいな服
[10355.375] johndoe6523rp: ダルシムじゃね？知らんけど
[10357.967] bec118_japan: かわいそう
[10358.037] kawasak1n: BibleThump
[10364.458] kaomoji3: 悲しみ
[10365.143] avareinu: これつら
[10365.754] junjamaica: ひぐちこれ見て何思う
[10366.413] だいこん_: JPよりガイルの方が相手してて嫌
[10366.937] ラリメモ: 今の明らかに２P側ラグ多かっただろ…
[10367.074] yousuke778: でもリリー強化も嫌だよなあ
[10367.676] aranami0: これ見るのつれえよ
[10370.224] momochan6: こっから長いんだよなあｗ
[10371.190] pyonpyonstyle: 泣くな、よく頑張った
[10374.042] abo_gorilla: かわいそう以外何もない
[10377.681] ましゅダヨ: あら、やさしい
[10377.867] shochann: 敗北者はタクシー
[10381.355] gorogorogorn: ひびき小さくなった？
[10383.150] (S)軽く捻るか: ８８８８
[10383.816] 5don: ザ・ビー！！！
[10384.955] 戦う山田: 死体蹴りタイム
[10387.667] sigurenigame: けっこう優しいやん
[10390.182] gularain: あいどむよりなんかちょっとやさしさある？
[10391.274] (S)marton_ss: thebeastつけんといてｗ
[10391.659] maddy2623: RobTVやさしい
[10392.440] zan_k9: ガイル増えないことを祈るばかりだわ
[10392.452] sndkzfm1: 死体蹴りタイム
[10392.893] tga_r_r: BibleThump
[10393.855] monpiipop: クシャァタイムが…
[10394.436] aiukake: タクシーw
[10395.579] dosukebeboy: これは悔しいなぁ
[10395.672] だいこん_: BibleThump
[10397.341] teccha_tw: かなC
[10398.304] takahashiseigi: 残酷な時間だ
[10398.404] (S)firefly860130: :(
[10401.689] watasihamakotodesu: クシャされちゃう
[10402.302] ましゅダヨ: ここで
[10404.997] hiaaru: ｸｼｬﾎﾟｲ
[10405.093] mifune1046: ダ・ビーストはかっけー
[10405.099] abo_gorilla: 処刑台への階段を上ってるわけか…
[10405.300] aiukake: でもこれｗ
[10405.820] gularain: BibleThump
[10407.562] junjamaica: トラウマタイム
[10407.766] (S)kakutora_no_o: タクシーされちゃう
[10409.100] (S)nen_100: ヒビキ、首の太さが柔道家
[10410.268] ko23458: idomよりは光がある
[10412.480] demonbane_twosword: ﾎﾟｲ
[10415.479] ピヨさん: クシャッ
[10416.639] Haro022: 試合より茶番のほうが長いじゃねーか
[10416.919] (S)MYNK1981: クシャッ無し
[10417.189] aranami0: やめてくれよ 
[10417.313] シャンウー: がっくり
[10417.393] ましゅダヨ: ふえぇん
[10418.142] ヤブちゃん: 顔面はアイドンが一番おもしろいなやりなおし
[10418.888] 新ころりん: まだ優しい
[10419.142] bakuseiha: 渡航費節約出来る
[10419.324] TheLazyD: LOL
[10419.646] るぶさん: 草
[10420.926] monpiipop: クシャしなかった！
[10421.925] zyangara2: ウメちゃんがガイルメインにしたら5みたいにガイルまみれになるよ
[10421.948] UCNOVA: クチャﾎﾟｲｯ
[10422.378] 俺は大貫信者: ﾎﾟｲｯ
[10424.218] abo_gorilla: go to taxi
[10424.575] kahaku91: ノリでつけたビーストが大会でｗ
[10425.679] aiukake: クシャポイ
[10425.755] 5don: インタビューどうなるんだろ
[10426.277] gb_niconico: 日本まで運んでくれ
[10426.741] watasihamakotodesu: ﾎﾟｲ
[10426.977] gtinferno666: joe satriani
[10428.368] chinnen1: 不謹慎にもガチくんとボンちゃんの負けたあとの去り方が見たくてしょうがないｗｗｗ
[10430.592] teccha_tw: ２人目のタクシーニキ
[10433.335] 5don: ww
[10433.372] sigurenigame: 海外勢はタクシーじゃなくて飛行機に乗せてさしあげろ
[10434.952] fahmy0825: bruh redbull really making these player felt worse after losing
[10435.553] Blueprintn: タクシーなんなんだ
[10436.726] fahmy0825: lol
[10436.862] wonderhit1: ケンやってない？
[10436.928] ましゅダヨ: さすがにまだ若いしなあ
[10443.588] KrustyDeClown: @fahmy0825 lmao
[10444.059] 新ころりん: 環七はムリやろｗｗｗ
[10444.934] 日本語かな: BibleThump
[10447.257] narisuduu: これ結果論でも勝ち筋ないと思っちゃうんだけどこうしてれば勝てたポイントある?
[10452.546] (S)winkyface_009: @fahmy0825 for real hahahahah
[10464.555] (S)MYNK1981: ５縦同士が次当たるのも面白いか
[10465.779] yomenigeter: 日本人何人残ってる？
[10468.767] demonbane_twosword: この選手のイラスト？いいな
[10473.386] abo_gorilla: ランクマ上位になってることは忘れてキャラ変えよう
[10474.615] (S)hoshi_boshi_0: 不利だと思ってるキャラに最初に当たるのは運なかったなーー
[10475.688] ピヨさん: あと3人？
[10476.220] kaomoji3: こんなにストレート続くぅ？
[10480.510] zan_k9: @zyangara2 そうなったら、諦めてガイル使います
[10482.354] teccha_tw: ガチくんみたいけど眠たい、、
[10483.214] 日本語かな: ガチボン
[10485.013] hojihojidx: シングルだと5先でもキャラ相性厳しいと安定しないね
[10489.577] ましゅダヨ: そっか、すごいなあの人
[10492.344] 5don: topang1Tokido1
[10492.534] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[10493.822] bec118_japan: もっと飛んでソニック減らさすとかすんのかな
[10494.101] gb_niconico: 今日のこの3人も時間的な感じかラフだな
[10495.964] johndoe6523rp: 5先で1番きついキャラとやらされるのはきちぃ
[10499.636] koiwai20: ガイルに行けるキャラの方が少ないよなあ
[10501.625] ましゅダヨ: うん、飲まれた感もありそう
[10503.661] sindou_ume: 日本語出来るんだw
[10516.263] hiisan: ！？！？
[10518.940] ましゅダヨ: 悔しそう
[10524.034] Nishi_Poteto: やめろやめてくれ
[10524.789] (S)puertoescondidomota: 日本の若手爪痕のこせなかったな悔しさ噛みしめて頑張れ−
[10524.988] (S)MYNK1981: 悲しそう
[10525.182] avareinu: あーいう状況だと2先とかの方がまだ荒らしてワンチャンあったかも
[10525.775] hiaaru: otaniPien
[10526.046] ピヨさん: 辛い
[10526.827] 5don: 日本語対応ありがとー！
[10528.106] thraximundaru: 結果論&ミクロの話ならミス有ることは有るだろうけど5先は結局無理そう
[10529.017] maddy2623: 悲しい
[10531.542] takemiso0331: ガイルが不利なキャラのほうがおおいイメージ
[10532.074] ko23458: zhi二回言うとるやん
[10533.819] gyu_nyuu_pann: 悲しい
[10534.945] (S)コムコムぽん: ビースト…
[10536.446] ババシャツ: BibleThump
[10537.681] kawasak1n: 次、次
[10538.847] buri1365743: これは悔しいなあ
[10548.158] monpiipop: wwww
[10549.084] ましゅダヨ: wwwwwww
[10549.327] 日本語かな: 怖いw
[10550.748] 5don: ww
[10551.315] watasihamakotodesu: ｗ
[10551.517] kawasak1n: ｗｗｗ
[10551.781] maddy2623: ｗｗｗ
[10552.016] (S)hoshi_boshi_0: wwwwwwww
[10552.370] 千葉県おっさん: ｗｗｗ
[10552.561] gyu_nyuu_pann: wwwwww
[10553.009] (S)kakutora_no_o: wwwww
[10553.420] shochann: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[10553.842] 無心に: 誰のためのコーナー？
[10554.603] (S)ひじきもち: ｗｗｗｗｗ
[10554.980] hiisan: ！？
[10555.031] hirakenisnoob: wwww
[10555.376] UCNOVA: まじめか
[10555.833] navyblue314685: ｗｗｗｗｗｗ
[10556.005] おやすみ_: くさ
[10556.020] (S)pinkevirob: wwwww
[10560.253] sindou_ume: 草🌱
[10560.838] ~MISSING_COMMENTER_INFO~: wwwwwww
[10560.939] shochann: シュールｗｗ
[10561.511] olivemocomichi: RareParrot
[10561.881] gorogorogorn: ざっくりやなあｗ
[10564.828] ましゅダヨ: いわせんなやwwww
[10565.607] monpiipop: いい返しだったわww
[10567.871] sigek1: わろえるて
[10568.677] np2np: わらってるやんｗ
[10572.020] watasihamakotodesu: お笑い〇
[10573.637] (S)hoshi_boshi_0: 帰ります
[10576.316] sindou_ume: タクシーで日本だぜ！
[10577.374] (S)kakutora_no_o: 返しがwww
[10584.043] kawasak1n: アメリカっぽくていい
[10584.785] 5don: なるほどね
[10586.591] ましゅダヨ: いや、よくやったw
[10595.747] junjamaica: 残したなｗ
[10602.046] ましゅダヨ: wwwww
[10605.308] ~MISSING_COMMENTER_INFO~: タクシーで日本に帰らせようとする鬼畜
[10616.460] kasutadonshirokuma: うおおおおお
[10616.858] (S)pinkevirob: kita
[10617.616] demonbane_twosword: うおぉおおおおおおおおお
[10617.821] 日本語かな: うおおおお
[10618.741] レム__: ！？
[10618.922] monpiipop: おっ
