[14.222] (S)mimoru_385: wako
[6112.089] sakasuzusakana: その意識邪念だからなｗ
[6112.320] (S)冷や茶: 頑張れー！
[6113.270] あいむやで: 頑張れば行けるぞ
[6113.484] gaiantufan: おc
[6113.720] (S)mazirou: いいとこまだいくんだけどね～
[6114.237] nekomrnn930: おc
[6114.722] hatti_m_t: アンチャーテッドのカニフラグここで回収するのか
[6114.822] (S)しおなみ: がんばえ～
[6115.366] buruburu6425: 公式サイト見たけどまだまだ先長そうだぞ
[6116.629] (S)sully0283: sully0283 subscribed with Prime. They've subscribed for 10 months! がんばれー
[6116.694] otose_10: むずい〜
[6118.851] itoido: がんばれー
[6119.023] emitsubo723: がんばれー
[6119.274] かにカマ: がんばえー
[6119.692] ryo_ngz: 壺よりむずそう
[6119.856] _紺碧_: がんばえー
[6120.079] (S)yoneto_: がんばれー
[6120.939] aoao_0217: ；；；；
[6121.105] ric67724338: ぽまえならいける
[6121.119] nekomrnn930: がんばえー！！
[6121.373] ケーブル接続: おいらっだぁ。リスナー達が催眠から目覚め始めてるぞ。
[6121.914] appledddw: がんばえわ
[6121.923] t_fugu_0116: むずいー
[6122.026] ほしまち05: 今のは練習ですか？
[6122.355] Disco_11: 集中力馬鹿使う
[6122.446] ゐゐは: がんばれ！
[6122.572] soko_99: テスト前なのに何見せられてんの。
[6122.988] みるきぃ014: カニも苦労してんだな……
[6124.093] remona1: 諦めないの?
[6125.879] badrai_: これクリア出来たら赤飯炊こうか
[6127.057] KinakoMochi_06: ？
[6127.260] (S)sjindoa: がんばえー
[6128.416] osato9654: がんばえー！
[6129.762] souta0712likeblue: がんばれー
[6130.411] rara_2024: おc
[6130.545] れいるさん: 行けてる人ランプの後ろ通ってた
[6131.301] kimiga_disuki: 200円でうまい棒何本買えると思ってんだ
[6132.195] siroheiho: がんばー
[6134.451] zenryona_egg: がんばえー
[6134.574] rui_0728: がんばえー！！
[6134.660] riin_2020: がんばえ
[6135.041] ranturn2735: 頑張れー
[6135.258] goririnn_: 難しいを超えた難しいだな
[6135.658] きゅうりのピクルス: 見てる側にはわからないむずかしさがあるんだなｗ
[6136.916] gatowat: がんばれー
[6137.125] なぁゆ: がんばえ！
[6140.907] Disco_11: がんば
[6141.078] rara_2024: がんばって
[6143.269] rihohori: どうしてもっ意識しちゃうのっ
[6143.697] reontannau: がんばって！！
[6144.115] ゐゐは: がんがれー
[6145.148] (S)みるきい: 普通に操作難しそう
[6146.274] めりすま: このリスナー側からは何もわからない感じ最高に好き
[6147.397] aoao_0217: 諦めてないのえらい
[6147.453] ケーブル接続: 明日…テスト…勉強せずに見てる配信…何……これ
[6147.490] コミヤ: がんばるのよらだお、、
[6147.589] あいむやで: クリア出来たらご馳走やろw
[6147.657] ric67724338: 200円楽しいですね
[6148.371] pepelonteeno: ガンバレ
[6150.050] riu_o3x: がんばえ！！！
[6150.391] cocona_1111: がんばって
[6151.578] nanashi_1368: がんばってることは分かった
[6153.067] 咲良ただのおたくちゃん: お風呂からただいままだやってたのね
[6153.114] (S)hime_ki: こんなん一人でやったら気狂うわ
[6158.475] ケーブル接続: クリアできたら蟹食べようぜ
[6160.709] tyokotippu1234: がんばえー
[6161.964] きゅうりのピクルス: にげれる？
[6163.979] 04sb29: がんばえ！
[6165.555] (S)しおなみ: 冷静にいこう
[6166.825] (S)ろろの: 観察するか
[6167.081] (S)冷や茶: 観察するか
[6168.311] ケーブル接続: がんばえ！
[6170.499] rioapr03: 正気を保て
[6170.749] ric67724338: スピードある
[6172.389] kurono1627: 観察しよう
[6172.488] リムア: カニご飯
[6172.618] nanohanao: フェイントいれる？
[6173.398] (S)sjindoa: 左壁よる？
[6173.893] あいむやで: クリア出来たらご馳走！
[6174.654] (S)si_o_r: 奥行きは？
[6175.658] (S)duruduru911: 避けるじゃない？
[6178.217] Disco_11: 観察大事
[6180.088] aoao_0217: そうだな
[6180.115] yuui01: 男の人がなんなんかね
[6181.573] sabakanu: ほんとぅ？
[6182.693] nekomrnn930: 観察しよ
[6184.759] きゅうりのピクルス: 回転でかつ
[6194.529] きゅうりのピクルス: oops
[6196.574] ケーブル接続: お！
[6196.775] ちきんはーと: そこで右回転
[6198.702] gyqgngkg884: ライトの下
[6200.572] otose_10: 行け！
[6200.969] (S)~MISSING_COMMENTER_INFO~: スピードがあれば通り抜けれる
[6203.667] nanohanao: 左に寄れば？
[6205.244] れいるさん: 頭奥にしたらランタンの後ろ通れるっぽい
[6206.077] reimeidesu_: わこらだ
[6217.268] ~MISSING_COMMENTER_INFO~: みながらめっちゃ息のんじゃう
[6222.531] (S)sjindoa: 左よってみれば？
[6223.968] mirumiru_h: まじ？
[6227.598] (S)karume1203: ？
[6228.619] ケーブル接続: やばい息出来なくなる
[6229.238] ぴーやぽう: 高さの概念？
[6229.453] piisuke0428: まじ？
[6230.339] どなつ: そんな裏技あんの？
[6230.445] (S)らたき: まじか
[6230.658] (S)has_461: 無理だろ
[6230.815] ryo_ngz: ほう
[6232.204] KinakoMochi_06: まじ？
[6233.033] (S)hime_ki: 奥行きあるん？？
[6233.788] (S)ろろの: さっきやった人外姿勢？
[6234.186] piisuke0428: ｗｗｗｗｗ
[6234.435] badrai_: 汚い
[6234.905] ~MISSING_COMMENTER_INFO~: 奥行きの概念あるんだ
[6235.164] ケーブル接続: 言ったな？
[6235.490] ruu_ha: まじ？
[6235.721] (S)えりさ_: ？
[6236.550] (S)らたき: すごすぎないか
[6236.867] きゅうりのピクルス: むっずｗ
[6237.831] (S)しおなみ: ここで奥行き要素でてくるのか
[6237.896] nazu_7z: 180度回転?
[6238.013] (S)yoneto_: ってこと？
[6238.568] yochiyochi510: ？
[6239.060] (S)sapichaaan: wwwwww
[6241.247] ケーブル接続: ？
[6241.303] なぁゆ: むずw
[6243.391] toubun__: 初見殺しやんwwww
[6243.514] goririnn_: 胎児やん
[6243.629] 469646: ？
[6244.791] aoao_0217: プロがいるwwww
[6245.365] piisuke0428: えええええええ
[6245.547] mirumiru_h: あ
[6245.939] ぱんだぁぁぁ: ええええええええ
[6245.941] 梨一: ｗｗｗｗｗｗ
[6245.970] oyazigarisan: がちむずだ
[6246.228] リムア: ありそー
[6246.687] omuraisu0806: むずw
[6246.901] アステール: 化け物で草
[6246.918] (S)nakihai556: えええええ
[6246.922] atuono: どゆこと？
[6247.434] nishina___: ！？！？？？
[6247.778] hima_norita: ！？！？
[6248.106] 燐だよ: 嘘かもしれない
[6248.328] yoy0077: むっずw
[6248.363] (S)sapichaaan: ！？
[6248.569] harukio33o: Z軸避け！？
[6248.821] たくみやき: どういう神経したらこんなん出来んだよ
[6248.907] minto13579: えええええええええ
[6249.084] sunomono8: えええええええええ
[6249.089] (S)ナラ抹茶: ええええ
[6249.107] (S)sjindoa: おおおおおお
[6249.263] んさく: ええええ
[6249.283] あいむやで: ええええええええ
[6249.526] (S)ルディナ: eeeeeeeeeeeeeee
[6249.614] necosisyamo: ええええええ
[6249.638] ~MISSING_COMMENTER_INFO~: うえー－－
[6249.649] imittu: ありそうw
[6249.880] ayunosioyaki0223: え
[6249.906] sasasa_kama: 姿勢キモ
[6249.942] 梨一: ｗｗｗｗｗｗｗｗｗｗ
[6250.101] (S)ごみぱ: 無言で回転するの無理ww
[6250.105] (S)みるきい: どゆことw
[6250.138] ケーブル接続: 素直にやるんだな
[6250.391] gatowat: ええええええ
[6250.575] nanaori77: ええええええ
[6250.650] きゅうりのピクルス: えｗ
[6250.701] piisuke0428: ｗｗｗｗｗｗｗｗｗ
[6250.813] acerolaaa3: えええええええええ
[6250.910] 2jqtpja: えええええ
[6250.969] 贄ﾁｬﾝ: wwwwwwwwwwwww
[6251.024] ruu_ha: えええええええ
[6251.278] (S)has_461: ！？
[6251.387] aya0021: wwww
[6251.491] (S)fuyuki_noa: えーーーーーー
[6251.498] asaborake0408: ！？
[6251.919] nekomrnn930: ええ
[6251.976] mofumofu30: えええ！？
[6251.992] shavuto3: プロw
[6252.029] コミヤ: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[6252.167] まみまる: wwww
[6252.176] tzumuzumu: ええええ
[6252.204] omoti1208: えええ
[6252.364] (S)rigore_napoli: やばｗｗｗ
[6252.588] (S)ろろの: うわああああ
[6252.758] (S)nashu_noike: ええええええええええええ
[6252.765] (S)roy_rag: wwwwww
[6252.805] (S)myo_kuma: ！？！？！？
[6252.840] 鯖の味噌煮焼き: ええええあ
[6252.844] 夢現: ｗｗｗｗｗ
[6252.872] rascal_techonol: ｗｗｗ
[6252.985] (S)しおなみ: wwwwwwwwwww
[6253.028] mirumiru_h: えええええええ
[6253.049] (S)karume1203: ｗｗｗｗｗ
[6253.266] sabakanu: 革命
[6253.372] yoy0077: ！？！？
[6253.461] zenryona_egg: えええええ
[6253.817] ぱんだぁぁぁ: なんやねーんｗｗｗｗｗｗｗ
[6253.942] ごんのすけ: えええｗｗ
[6253.972] ケーブル接続: ？
[6254.099] イモムシファザー: ええええええ
[6254.137] (S)sjindoa: wwwwwwwwwwwwwwwwww
[6254.241] どなつ: ええええええええ
[6254.250] (S)ちゃつう: ｗｗｗｗｗ
[6254.310] sunomono8: wwwwwwwwww
[6254.378] yu_rrr0409: ええええええ
[6254.502] (S)みりむ_423: ええええええ
[6254.523] 足し湯: wwwww
[6254.781] connozi: えええええええええ
[6254.793] (S)si_o_r: wwww
[6254.884] gatowat: wwww
[6255.200] em21__: えｗｗｗｗｗｗ
[6255.296] リムア: ん
[6255.411] (S)hime_ki: えええええええええええ
[6255.443] 夢川海月: 判定があたまってと？
[6255.524] a__res: やばすぎ
[6255.661] 燐だよ: wwwwww
[6255.701] nazu_7z: うわｗｗｗｗｗｗ
[6255.721] 哀れな人の子: radaoMasuo
[6255.732] itoido: ｗｗｗｗｗｗｗ
[6256.048] shiroiro1011: ええええええ
[6256.090] gyqgngkg884: おしー
[6256.284] ムラさん: えええええええ
[6256.420] あっすー_: えええ！？
[6256.475] mizusiba: ええええええええ
[6256.509] rona0525: wwwwww
[6256.963] hima_norita: wwwwww
[6257.098] とろとろトロリ: えええええええ！？
[6257.250] gu_1212: ええええええ
[6257.440] arashihiroshi: wwww
[6257.677] (S)nakihai556: やっばwwwwww
[6257.809] (S)yoneto_: ほんまやw
[6257.918] (S)has_461: wwwwwww
[6257.926] きゅうりのピクルス: 越えてきたｗ
[6257.944] ひのした: ええええええええ
[6258.065] tyokotippu1234: えええええ
[6258.124] (S)MORIYA_37: えええええええええ
[6258.572] goririnn_: 何があったんだか
[6258.718] koyaren: wwwwww
[6258.774] かにカマ: ｗｗｗｗ
[6258.789] あるみ屋: wwwwwww
[6258.893] (S)who_tawn: だめじゃん
[6259.104] (S)らたき: wwwwww
[6259.151] コミヤ: ランタンだけ、とｗｗ
[6259.371] omuraisu0806: ええええ
[6259.597] ミニミニ: 当たるんかい
[6259.610] KinakoMochi_06: wwwwww
[6259.917] Disco_11: すごーーー
[6260.022] piisuke0428: 革命だwww
[6260.143] リムア: ええええ
[6260.274] 蛍_: えええええ！？
[6260.365] toubun__: wwwwwww
[6260.848] あいむやで: wwwwwww
[6260.947] pirarucu_0701: えええええええ
[6261.072] (S)うがら: ええwww
[6261.186] ぱんだぁぁぁ: いけるんかよｗｗｗｗｗｗｗｗ
[6261.263] sakasuzusakana: はぁ？何それ
[6261.391] (S)karume1203: わかるかよｗｗｗｗ
[6261.692] Libra_2010: わこらだ
[6262.166] かかおしてます: えええええええ
[6262.247] Ragu__1878: ええええ
[6262.399] なみっぴ: ！？！？！？！？
[6262.423] huku_mm: wwwwwwww
[6262.493] morinotami213: wwwwwwwww
[6262.504] zenryona_egg: wwwwww
[6262.637] nanaori77: radaoCry2
[6262.784] (S)sapichaaan: wwwww
[6262.890] (S)rigore_napoli: それでスピードつけていくのか
[6263.310] rihohori: まじかよ
[6263.377] gyqgngkg884: いい感じ(๑•̀ㅂ•́)و✧
[6263.518] ドらコアら: それで左を駆け抜けるってこと？？？
[6263.598] tunotaro: ええええええええええ
[6263.767] gaiantufan: ええええw
[6263.917] (S)kiba_1129: わかるわけないやんw
[6264.021] (S)えりさ_: radaoMasuo
[6264.034] roron_23: wwww
[6264.151] cul1071: えええええええええええええええええ
[6264.383] (S)nagi_fomu: おっさんに当たってきたw
[6264.383] (S)waremono_dayo: えええええええwwwwww
[6264.632] 無睦月: 革命起きたな
[6264.755] mizusiba: すんげー
[6264.880] nanohanao: 津よっっっっっｗ
[6264.996] ひのした: wwwww
[6265.264] waroro27: ええ
[6265.303] (S)torikera0124: wwwww
[6265.587] (S)ほのぼの: ぇぇええ
[6265.772] Ragu__1878: wwww
[6265.866] (S)冷や茶: 奥行あんじゃん！？
[6266.515] なぁゆ: ええぇぇwww
[6266.656] 燐だよ: まじやんwwwwww
[6266.720] まみまる: radaoMasuo
[6266.883] nekomrnn930: ええええええ
[6267.101] (S)glasswift: wwwww
[6267.105] t_fugu_0116: www
[6267.171] 鯖の味噌煮焼き: あたるんかーーい
[6267.269] oyazigarisan: えええええ
[6267.275] (S)みるきい: wwwwww
[6267.309] (S)らたき: ランタンは行けるのな
[6267.422] (S)リキムトヂキレル: radaoMasuo
[6267.491] NaNaBeFuTeKi: 脱法？？？
[6267.744] nunnun_tgatrd: ええええええて
[6267.829] remiiiii_28: wwwwww
[6267.872] (S)ayano02390: ええええええええ
[6267.914] aoao_0217: きめぇw
[6268.096] yuui01: 板は当たるらしいね
[6268.113] nanashi_1368: wwww
[6268.188] ayunosioyaki0223: radaoMasuo
[6268.272] (S)yufu3636: えええええ
[6268.955] (S)kosuke25252: 革命 
[6269.011] suibotu_: wwwwwww
[6269.012] souta0712likeblue: ええええええ
[6269.070] ケーブル接続: えええ
[6269.157] ryo_ngz: 頭が判定なんか
[6269.191] kurono1627: ええええ
[6269.229] sakamaki_reo: www
[6269.364] shavuto3: つんよ
[6269.444] harukio33o: wwwww
[6269.698] (S)haru_anura: ええ
[6270.038] nekomrnn930: wwwww
[6270.149] (S)yufu3636: www
[6270.215] reontannau: えあええ…
[6270.280] gakuto1007: 今北、わこらだ
[6270.516] リムア: ええええええええええええ
[6271.023] natinatinomori: えええええ
[6271.044] ~MISSING_COMMENTER_INFO~: 革命だろ
[6271.072] buruburu6425: ええええええ
[6271.239] リューン: やば
[6271.449] shavuto3: wwww
[6272.028] minto13579: 革命起きたな
[6272.213] ome_mui: すり抜け
[6272.248] kanikuchan: えええ！
[6272.427] ふたぎ: ええええ
[6272.441] tunamayo1234: wwe
[6273.400] atuono: wwwwww
[6273.483] yochiyochi510: すご
[6273.492] (S)shiroinuno_roa: wwwwww
[6274.119] (S)yoneto_: radaoMasuo
[6274.939] なぁゆ: 当たるのかよw
[6275.062] yoy0077: えええええ？！
[6275.416] (S)hime_ki: むっずwwwwwww
[6275.519] (S)haineozZ2: えええええ
[6275.652] あいむやで: 物は試しって事やな！
[6275.653] t_fugu_0116: ええええええ
[6275.859] スカイウリ: ええええええ
[6275.976] きゅうりのピクルス: これがツボ男か
[6276.089] harusame55: えええええええええ
[6276.140] どなつ: じゃあけつ向けるだけでいいんか
[6276.946] ケーブル接続: リスナー有能
[6277.269] (S)らたき: radaoMasuo
[6277.662] otose_10: サイレン？ww
[6277.902] ai0902: 錯覚か
[6278.320] aoao_0217: 何でだよwwww
[6278.910] (S)ぱけ: 奥行きの概念えっぐ
[6279.071] (S)yuu_1010: まじかよ
[6279.416] becpac: 何でそこまで知ってるやつがいるんだよ
[6279.719] neu_rose: 革命きちゃー！
[6279.721] 0chako: radaoMasuo
[6280.160] ラムネ味: www
[6280.746] あっすー_: 左のランタン通れるのでは！？
[6281.040] (S)Butta_SoS: radaoMasuo
[6281.050] 469646: ああぁぁぁ！！？
[6281.266] けとせとら: 奥行ゲーミングだった
[6281.270] ばなばなな: しぬんかい
[6282.594] siroheiho: いける！！
[6282.900] にぃぃぃ: radaoMasuo
[6284.792] nazu_7z: ^ら^すおさん!?
[6284.903] toubun__: すげーー
[6285.138] 佐ネ田: さすリス
[6285.356] (S)nagi_fomu: 自機狙いじゃねぇか！！！！！！
[6285.462] remona1: むず過ぎこのゲームww
[6287.182] ome_mui: 奥行がミソ
[6288.111] (S)magaos_753: radaoMasuo
[6288.312] (S)ogapaka: radaoMasuo
[6288.373] oryzaea: 最初から奥通り続ければいいってこと！？
[6288.628] 04sb29: 次回らだお○す
[6289.148] (S)タクトン: 新たな道開かれる
[6289.393] (S)fuyuki_noa: 革命だったな
[6289.451] oshinagaking: ここ全部それで行けるってこと？！
[6289.830] oyazigarisan: むずかしいねえ
[6290.980] (S)yufu3636: えぐいな
[6291.222] (S)ナラ抹茶: さすりす
[6291.305] simerike0109: radaoMasuo
[6291.547] リムア: 苦労はどこへ
[6291.556] Disco_11: これが革命
[6291.881] connozi: なんだこのゲーム...ｗ
[6292.236] aoao_0217: リスナーにプロがいるwwww
[6293.608] asaborake0408: このゲームやり込み勢いるのか…
[6293.896] (S)who_tawn: 視聴者にプレデターおるわ
[6293.993] (S)らたき: you know
[6295.522] きゅうりのピクルス: 速さ対策してる神ゲー
[6296.531] buruburu6425: 最初の奥行き死の伏線回収か
[6298.886] dokokara_dokomade: まじか
[6299.605] becpac: プロゲーマーがいるじゃん
[6300.230] yoy0077: ま〇おさん？！
[6300.415] (S)sapichaaan: みんなやったことあるの？wwww
[6301.207] nanohanao: 正規なん？
[6302.197] ~MISSING_COMMENTER_INFO~: ここで奥行きが生きるんだ
[6302.268] yochiyochi510: 有識者おるw
[6302.943] (M)Nightbot: サブスクライブはこちら https://www.twitch.tv/products/raderaderader/ticket Primeの方は無料でスポンサー登録ができます→  https://twitch.amazon.com/prime
[6305.018] nari_0602: 回転の軸どこなんだろうねｗｗｗｗ
[6305.847] llama_no1: 尻が中心に回転してるからか
[6306.632] エイさん: 注目すべきはZ軸だったか
[6308.875] mizusiba: もしやプレイしたリスナー？！
[6309.688] (S)えるりん: わろた
[6309.928] ちきんはーと: これが3DSか…
[6310.013] ケーブル接続: 天才リスナー。誇れ。自分の有能さを
[6310.051] (S)~MISSING_COMMENTER_INFO~: 200円の力
[6311.214] harukio33o: カニゲーじゃなかった…
[6312.666] ric67724338: いろいろ見てきたけどこれ300円やん
[6317.793] minto13579: でも結局どうやって板避けるんだ？w
[6319.965] ケーブル接続: 三百かよ
[6321.022] piisuke0428: ？
[6321.074] (S)えるりん: 奥行マスター
[6321.525] (S)kiba_1129: これで食ってるやついるってw
[6321.653] 田伐まい: ｗ
[6322.637] nazu_7z: ちょーんｗｗ
[6323.404] (S)sjindoa: wwww
[6324.087] きゅうりのピクルス: ここゼミでやってないとこだわ
[6324.178] エイさん: は？
[6324.787] gatowat: wwww
[6325.315] acerolaaa3: ？
[6325.750] (S)らたき: おいw
[6325.906] mizusiba: どうしたwwwww
[6326.511] hima_norita: ちょーん
[6326.672] (S)ちゃつう: タラちゃん！？
[6326.851] 或ト: ？
[6327.424] minto13579: 新種のセミ？
[6328.715] (S)si_o_r: ちょーんw
[6329.649] arashihiroshi: 二度漬け禁止やぞ
[6329.837] Disco_11: ちょーーん
[6329.974] zenryona_egg: ちょーん
[6330.067] (S)yufu3636: ？？
[6330.654] nazu_7z: せやな
[6332.565] remona1: ここのセーブなかったららっだぁしんでたな
[6333.025] nanashi_1368: ちょんちょん
[6334.060] どなつ: せやね
[6334.734] Ragu__1878: ちょーーん
[6335.361] (S)えりさ_: wwww
[6336.236] (S)yufu3636: ちょーん
[6336.961] ケーブル接続: 気色悪りぃセミだな
[6337.326] sabakanu: テンサイ
[6339.821] nekomrnn930: ちょーん
[6341.772] リムア: ちょーん
[6342.314] aoao_0217: ？？？？？？？
[6343.352] soko_99: こんなん配信でやんな。
[6343.555] appledddw: ちょーーん
[6343.811] ranturn2735: ちょーん
[6346.787] (S)who_tawn: ずっと股間見せられんのか俺らは
[6350.274] Ragu__1878: きもいな
[6351.411] (S)しおなみ: きついね
[6352.212] nazu_7z: きｍ
[6353.389] rui_0728: ちょーん
[6353.617] ayunosioyaki0223: うん
[6353.705] 俺だよおれ: ブラックホール
[6353.966] mizusiba: ケツ割れてるみたい
[6354.379] (S)えるりん: 何回もやだな
[6354.648] たくみやき: ケツちっせ
[6354.909] ranturn2735: きm
[6356.132] ~MISSING_COMMENTER_INFO~: けつの存在か
[6356.378] nanaori77: お前みたい
[6356.762] (S)si_o_r: きもい
[6356.824] さいのめ: エロい？
[6358.911] 須夜咲ノア: 虫ね
[6359.127] rara_2024: きm
[6359.325] (S)sapichaaan: きm
[6359.912] きゅうりのピクルス: 腹減るは（？）
[6360.524] goririnn_: この続きは動画出てることを願ってますね(*^^*)また会いましょう！
[6360.616] gyqgngkg884: そんな事言わないであげてw
[6360.718] nanashi_1368: おい絵面
[6361.499] 469646: ずっと左いく？
[6361.507] (S)えるりん: なんかやだな
[6361.531] ケーブル接続: 野郎の股間見たくねぇよ
[6361.689] リムア: きも
[6361.759] どなつ: www
[6363.630] aoao_0217: 穴空いてるw
[6363.817] ぱんだぁぁぁ: ちょっとね
[6363.940] (S)yufu3636: きm
[6364.971] arashihiroshi: 誰も求めてないサービスショット
[6365.197] t_fugu_0116: www
[6365.412] siroNozyutan: こいつ尻ある？
[6366.083] 無睦月: 絶対人じゃない
[6368.230] aki_kaii: どうなってんねん
[6368.362] あいむやで: おっさんの股間見るんかこれから…
[6368.417] takoyaki01414: えっろ
[6368.873] tyokotippu1234: きm
[6369.015] vivid_men: けつ見せつけんなや
[6370.925] yoy0077: ( ´;ﾟ;ё;ﾟ;)ｵｯｴｪｪｪｪｪｪ
[6371.181] ~MISSING_COMMENTER_INFO~: きっも
[6371.433] きゅうりのピクルス: きｍ
[6371.455] さいのめ: えっろ
[6372.728] sebangou45: らっだぁみたい
[6372.752] (S)hime_ki: この人股関節硬いね
[6372.788] ranturn2735: kmsg
[6372.983] (S)しおなみ: やめてくれん？
[6373.622] Ragu__1878: 地味に顔見えんの嫌
[6373.835] atuono: おけつが
[6373.879] (S)のい___: やだー
[6374.487] (S)rigore_napoli: 虚無空間
[6375.082] shilva_0: うわ
[6375.136] 須夜咲ノア: 下からは虫
[6375.658] remona1: 絶対イヤ
[6376.326] (S)らたき: ぐろい
[6376.383] hima_norita: おっさんの穴
[6376.517] neu_rose: ウェイト調整ちゃんとしとらんw
[6377.075] ryo_ngz: ブラックホールかな
[6378.021] maru_aoi: うわ
[6378.049] リムア: こんなんもとめてねぇ
[6378.280] mizusiba: ブラックホールみたいな
[6378.440] ruu_ha: ブラックホールかな
[6378.619] arashihiroshi: ブラックホール
[6381.695] 我楽多屋: ずっと尻をみてなきゃいけないの
[6382.153] (S)sapichaaan: 何見せられてるんや...
[6382.778] shavuto3: wwww
[6382.844] nanashi_1368: やめとけ
[6382.968] siroheiho: 🦀の裏側
[6384.401] アラル海: なんかやだ
[6384.619] aki_kaii: くそ要らんファンサやな
[6384.654] ケーブル接続: どういう構造なん？
[6384.770] nanohanao: ばぐっとるだろ股間
[6384.878] natsu_ren: きたない
[6386.281] maru_aoi: ハンバーグ？
[6386.657] (S)usiuma: 絶対領域ってやつね
[6388.160] appledddw: きm
[6388.396] リムア: きもい
[6390.516] ケーブル接続: 痩せてんね
[6390.826] nazu_7z: がんばえー!
[6391.032] t_fugu_0116: きたな
[6391.645] (S)who_tawn: 言い方なんとかして
[6391.912] vivid_men: 足どこから生えてんだよ
[6393.910] (S)nanami_nati1008: え
[6394.582] (S)pirunn: 手が
[6394.602] ama_iro_: シンプルにやだ
[6394.808] natsu_ren: やめて
[6395.329] (S)nakihai556: そこもいけるのか
[6395.505] siroNozyutan: 便器の穴の形
[6396.098] アラル海: www
[6396.679] あいむやで: ファンサがきm
[6396.855] elmyr_56: なんで股が二つあんだよ
[6397.803] しああき: GTA
[6399.743] (S)haineozZ2: 形がガブリアス
[6400.227] (S)らたき: がんばってくれ
[6400.596] otose_10: おいw
[6400.659] asaborake0408: 吸い込まれてしまえ
[6400.922] どなつ: これ、全部のランタンの後ろ通れんのか？
[6401.057] arashihiroshi: ハンバーーーグ！
[6401.395] 4waiyo: 壁にあたったな
[6401.600] 夢川海月: まじできしょ
[6401.898] リムア: ん？
[6402.051] (S)yufu3636: 体どうなっとるんや
[6402.166] suzuya_watanabe: radaoKuuun
[6402.743] nari_0602: これランタンよけなくてよくなったのでは？
[6402.874] (S)Beechan_0911: まじできm
[6403.262] nanaori77: ランタンのフックは当たり判定あるのかな？
[6403.969] oyazigarisan: あたまあたってたんじゃね
[6404.768] きゅうりのピクルス: いつもきょーさんのまたかいでるもんな
[6408.927] natsu_ren: なーん
[6409.128] Daruta_star: 手やね
[6409.163] rara_2024: あー
[6409.449] 須夜咲ノア: がんばれ
[6409.466] (S)kosuke25252: 他のとこもいけるんか
[6409.824] かにカマ: ちょっとおっさんの顔みえてて草
[6411.920] yoy0077: はんばなー？！
[6413.781] gold_fax: もしかしてランプ全部奥行きで抜ける？
[6415.459] (S)~MISSING_COMMENTER_INFO~: 逃げようぜ
[6416.171] nazu_7z: ないよ
[6416.283] shavuto3: ランタンよけんくてよくて？
[6416.925] (S)えるりん: 一旦冷静になろ
[6417.112] oryzaea: 最初からその体制で奥側通っていけば？
[6417.930] neu_rose: てか足の先が触れたか？
[6417.973] harukio33o: ランタン避けなくてよくね？
[6418.271] 角角家: がんばえー
[6419.025] (S)nanami_nati1008: やだぁ♡
[6421.193] ric67724338: 奥行き使えばいける
[6424.079] どなつ: 奥行き行けそうじゃない？
[6425.889] (S)rigore_napoli: 尻どうなってん
[6425.957] 469646: きもいー
[6426.481] natsu_ren: がんばえ、、、、
[6426.693] 無睦月: 縦になってから考えよう
[6427.997] あいむやで: 無理だな頑張れ☆
[6428.135] もふてか: (///ω///)ﾎﾞｯ
[6430.594] (S)Beechan_0911: 判定ムズすぎ
[6432.858] mone0418: 今来てどうなってるんだ？って理解に苦しんだ
[6435.531] えすおくん: ケツ薄すぎない？
[6436.480] ケーブル接続: 頑張れ。
[6436.615] 電球ニキ: こわすぎ
[6437.156] ねこすけ25: 気合
[6442.076] root__05: とんでもないゲーム見つけてきたなあw
[6442.588] oryzaea: 最初からランタンの向こう通ってけ
[6444.086] ~MISSING_COMMENTER_INFO~: なにこの角度
[6444.185] mizusiba: なんだろう。プロになるのやめてもらっていいですか？
[6444.980] mozukun523: 自分が盾になる
[6446.950] nanohanao: 奥行き〇
[6449.538] あいむやで: しーらね
[6453.437] oshinagaking: 最初からランタンの裏いけるくね
[6454.284] uchichan_p: なんかグロい
[6454.433] (S)si_o_r: 知らん
[6454.998] ぶな_しめじ: もんもんw
[6455.752] (S)Beechan_0911: さすがに無理なのでは
[6455.936] いのりさん: 悶々とするな
[6458.115] nanaori77: どした？
[6458.633] harusan_nh3: くまモン？
[6459.154] kii_mofu: kii_mofu subscribed at Tier 1. They've subscribed for 21 months, currently on a 21 month streak! 
[6459.937] sabakanu: もんもんもん
[6459.975] (S)karume1203: 壁には当たっちゃだめだと思うよ
[6459.989] ちきんはーと: 発作
[6460.060] あいむやで: も☆
[6460.142] きゅうりのピクルス: ＭＯＮＭＯＮＭＯＮ
[6460.307] (S)otux2_0205: もんもんするな
[6461.305] 電球ニキ: もんもんもんもん
[6461.335] becpac: 悶々とするな
[6461.533] もふてか: www
[6462.281] suzuya_watanabe: もんもん
[6463.253] yuui01: 左じゃね？
[6464.105] (S)sapichaaan: 邪念
[6464.777] (S)yufu3636: もんもん
[6466.341] appledddw: がんばえー
[6466.666] しああき: くーま〇ん
[6467.018] ケーブル接続: どこまで奥行けるかね
[6467.240] 2jqtpja: 当たるの板だけじゃないの？
[6467.328] nazu_7z: とりあえずさっきのままで行ったら?
[6467.401] (S)らたき: 邪心捨てよ
[6467.576] nanashi_1368: がんばえー
[6467.631] hima_norita: 悶々すな
[6467.645] リムア: あんれ
