[9.939] king_katsuhisa: ん
[1627.413] sora_neko09: 目的地には充電器あるのかい？
[1627.668] (S)山田たろう太郎: まあらしいね
[1629.003] (S)icyblue1985: 人生初の失態ｗ
[1629.475] (S)nbtk_san: ｗｗｗ
[1629.755] (S)takeiteasy55: はい、ということで
[1630.797] (S)shiotama: 家にあるならコンビニで買うほどでもないしねぇ…
[1631.518] (S)桜風かなた: 忘れ物するなんて人生初だね
[1632.365] rm_rf__: 思い返したなぁw
[1633.075] (S)かげでん: umeSalute
[1634.385] (S)cubgasukidesu: パイナポー見てるか・充電器
[1634.767] may0nn_aaaisee: ベテラン配信者の道は遠いのだ
[1636.950] (S)uncle_yam: 電池使い切って迷ったら詰まねです？
[1637.049] Linkuya: ummm based.
[1639.792] efmaniac_jp: まままま
[1641.241] borkh3js: 思い返せるだけまだ大丈夫！
[1643.255] gehenax: 講演「充電器の必要性」
[1645.749] (S)ememeume: ない
[1645.884] (S)harahara02: umeBoom
[1646.101] (S)kurataro: ファンボ、充電器を届けるのだ
[1646.591] umechin7: 充電器置いてる店とかたまにあるよね？無料で
[1647.894] (S)tamachan0530: らしいっちゃらしいけどｗ
[1648.396] (S)chinkalahoi: 近くのファンボーイ、仕事やぞ
[1649.427] (S)山田たろう太郎: パスポートじゃなくてよかった
[1649.893] (S)nanmi__: 人生初の失態
[1650.404] momonga2223: アルツハイマーだな
[1650.741] (S)エリ_10: ファンボ届けて
[1651.297] peperon1233: oo
[1651.396] (S)takeo_onakasuita: タイムリミット配信
[1651.738] Linkuya: ummmm yea this is based.
[1659.622] 000105: ファンボーイおらず？
[1660.377] mugixxmugi: パイナポーが届けてくれる
[1662.351] Scivir: I'm thinking this is based.
[1662.755] (S)ememeume: 平日だったら近くにいるから届けてあげられたのに！
[1663.252] (S)kurataro: 画面端配信
[1664.595] tk3333: 講演のネタできたなー
[1665.922] (S)サラバア: 宿題忘れたいいわけみたい
[1670.125] kousitekou: えっ終わるん？
[1671.687] kireboshibasyato: ハイタニがプテラノドン乗って充電器届けてくれる
[1675.791] gehenax: 走ってくるﾊﾟｲﾅﾎﾟｰ
[1675.885] (S)coolkatsu: この道は左側映してほしい
[1676.596] ~MISSING_COMMENTER_INFO~: IRL Diago 
[1677.691] ~MISSING_COMMENTER_INFO~: パイナポーいまこそダッシュイーグルで飛んでこい
[1683.397] peperon1233: 格ゲー界ってなんで真面目なやつ嫌いなの？答えてウメちゃん。
[1684.083] Linkuya: i like this 240p quality dude keep it up
[1685.275] (S)kurataro: プテロウは、もう…
[1687.833] mugixxmugi: コンビニで充電器買おう
[1691.607] PolymoZZ: かわいいバッグ
[1692.394] (S)ilm0806: バーディ対策しないの？
[1693.210] (S)かげでん: PanicVis
[1693.833] Linkuya: tomorrow is finally 2007
[1693.991] (S)wombatsf: パイナポー柄
[1695.532] fina_thankyou: ウメちゃんこういう失敗に対してどう反省してる？
[1698.584] (S)orange88: 走れパイナポー
[1698.890] sora_neko09: プテラノドンで届ける前にティラノサウルスで３回は死ぬよ，ハイタニは
[1699.889] (S)ememeume: お弁当のバッグかな
[1704.158] hachikun99: 折笠さん元気ですか？
[1705.262] (S)oinari6: うめちゃん可愛いかばん使ってるね
[1706.783] (S)ememeume: 筋トレ
[1709.574] れく太: 最近折笠の立ち位置パイナポーに取られてない？
[1711.451] (S)エリ_10: お弁当バッグ可愛いね
[1711.984] (S)kumatedd: はあ、寒いのう
[1712.188] peperon1233: 格ゲー界ってなんで真面目なやつ嫌いなの？答えてウメちゃん.
[1713.451] recycle4: 寒々しい
[1715.000] (S)junichitanaka: 講演内容、「梅原とは」から話を広げてもいいんでない？
[1718.133] hadogamosenpai: 寒いですか？
[1719.061] montre0001: 法政大か
[1720.991] (S)kumatedd: 折笠さんって仕事あるの？大丈夫？
[1721.089] twitwitwich17: ボアソナードやん
[1721.760] (S)ememeume: 梅がもう咲いてました
[1727.568] (S)ilm0806: ときど真面目じゃん
[1728.320] pcdopaulolives: When are you going to start playing with blanka?
[1729.132] helicom: 手寒くない？
[1730.397] (S)ememeume: 法政大学ね
[1733.099] woodmud: ワイの母校か
[1740.528] donchan012345: Fランかー
[1743.782] (S)kurataro: 3.10なのか
[1743.792] ~MISSING_COMMENTER_INFO~: ウメちゃんもうトラキアやらなくていいよ。スト5やって
[1747.465] (S)ilm0806: 言い訳でたあああああああ
[1753.762] (S)kumatedd: トラキアやってる場合じゃねえな…哀しいけど
[1753.829] (S)ememeume: 気合い入れて大阪行くか！
[1756.404] (S)かげでん: 大阪の話しとけば喜んでくれるんでは
[1757.531] (S)takeiteasy55: トラキアの進捗は進まんわなぁ
[1757.563] may0nn_aaaisee: rooFeels
[1757.951] (S)jony_avion: しゃーなし
[1760.639] (S)headless_ototake: ジンバルから充電できない？
[1761.041] _こぺ_: トラキアで学んだことを話していけ
[1761.198] (S)chinkalahoi: ゼーベイアから逃げるな
[1761.683] (S)shiotama: それでトラキアも減ってるのかな
[1762.726] (S)ememeume: トラキア、、
[1763.843] (S)ttp_hayato: もうトラキアのこと話せばよくね？
[1764.430] rm_rf__: トラキアの鬼門どうするんや
[1765.557] fina_thankyou: 引っ越しは被らないの？
[1766.684] (S)球根: 真面目だなー
[1767.675] (S)wombatsf: トラキアァァァ
[1767.690] (S)onoeserika7: ダイエットとは
[1770.227] (S)tamachan0530: しかたないよ
[1771.101] inaninnja: トラキアの話すればいいじゃない
[1773.512] gehenax: トラキア…
[1773.802] (S)rotyokoro: ゼーベイアのことまでまわらんか
[1776.511] goejglsdf: ゲームしながら講演考えればいいだけのこと
[1777.129] helicom: 講演でトラキアやればOK
[1777.522] sora_neko09: トラキアについて語る講演にするしかないな
[1778.433] (S)jony_avion: 首洗って待ってろゼーベイア
[1779.125] kooooge: 酒飲んでる時、配信してくれればいいよ
[1781.359] (S)takeo_onakasuita: さすがにちょっと前は配信の鬼すぎたね
[1782.433] (S)gomeeeeeeen: 最近の頻度が異常だった
[1784.118] taru9999: ちゃんと話にヲチつけないと大阪人怒るで
[1784.470] higan1983: 日本でもウメちゃんくらいかゲームと講演って
[1785.431] (S)kumatedd: トラキアに絡めて困難な人生について話そう
[1786.097] (S)junichitanaka: じゃ講演キャンセルして配信増やそ
[1786.986] (S)かげでん: アブね
[1788.473] woodmud: トラキア配信する講演ｗ
[1788.945] (S)ememeume: 酒飲み配信見たいなー
[1790.723] tk3333: トラキアの良さについて講演しましょう
[1796.355] (S)kumatedd: ファンボーイ！早く充電器をお届けしろ！！
[1805.535] gehenax: 生トラキア講演
[1806.160] twitwitwich17: 市ヶ谷に向かう
[1807.317] (S)サラバア: 第18章外伝「講演」
[1807.346] (S)kurataro: 「トラキアはリセット出来ても、人生は出来ません」で
[1811.002] 先日助けてもらった鶴です: トラキアで学んだこと 任天堂は性格が悪い
[1811.393] (S)山田たろう太郎: おつー
[1814.842] (S)cccyd: おつー
[1814.956] efmaniac_jp: おつおつ
[1816.486] LT123456: はい
[1817.695] optedout731: おつー
[1817.774] _こぺ_: おつおつ
[1818.017] (S)orange88: うぃうぃ～
[1818.570] highspeedwarakia: お疲れ様です～
[1819.346] (S)kumatedd: おつです
[1821.140] (S)桜風かなた: トラキアから学んだことを講演だなー
[1821.160] gehenax: おつかれです
[1821.489] (S)nanmi__: umeSalute
[1821.713] nuka_cola_jp: 待ってるよ！
[1821.838] (S)ilm0806: プロとしてあり方を、もう一度伝えるのが良いのかと
[1822.353] hadogamosenpai: chiCry
[1822.479] (S)えーひろ: 乙なり
[1822.600] (S)shiotama: お疲れ様ー
[1822.702] (S)takeo_onakasuita: はいー
[1824.605] mizuhiro1224: おつ
[1826.434] borkh3js: おつかれちゃーん
[1827.135] (S)ememeume: 了解しました！
[1829.864] mugixxmugi: おつー
[1829.922] 東北のスロカス: 夜期待してるわ おつ
[1830.240] (M)(S)blankey3104: 待ってる！
[1830.310] (S)takeo_onakasuita: やったぜ！
[1832.067] (S)pompombomb: おつかれっす！
[1833.390] goodriser: そのパターンで今までやったことあったっけw
[1833.673] (S)エリ_10: はーい
[1834.500] (S)ememeume: 嬉しい！！
[1836.069] ~MISSING_COMMENTER_INFO~: ファミ通部屋向かってるの？
[1839.317] (S)gomeeeeeeen: おつ
[1839.321] may0nn_aaaisee: 乙でした
[1839.679] げろげろまる: 来たら終わりかいな
[1839.762] (S)takeiteasy55: おっつー
[1839.985] (S)ttp_hayato: 夜待ってます！
[1840.625] (S)Mayumix1025: 待ってます
[1842.061] (S)kouyamanodanna: umeBoom
[1842.476] montre0001: 配信しよう！
[1842.639] (S)ememeume: でも無理しないでー
[1842.774] (S)桜風かなた: おつかれさまぁ
[1842.851] umechin7: おつヌキ
[1843.069] (S)icyblue1985: おつでしたー
[1843.196] kireboshibasyato: おつー
[1843.523] (S)kurataro: おつかれさまー
[1844.012] (S)iakira777: おつです
[1844.411] _こぺ_: おつー
[1845.116] fapfapjpn: HeyGuys
[1845.129] (S)tamachan0530: おつかれさまー
[1845.600] (S)uncle_yam: おつかれさまでしたー
[1846.157] shichousha72: おつ
[1846.397] sora_neko09: お疲れ様でした。
[1847.457] higan1983: おつ
[1847.812] LT123456: おつ
[1848.603] matuzawa826: トパンガないもんね
[1848.882] (S)wombatsf: 梅ちゃんありがとう。良い三連休最終日だった
[1849.383] (M)(S)blankey3104: おつ
[1849.519] (S)ememeume: 本人確認！
[1849.798] (S)えーひろ: ばい
[1849.844] (S)takeo_onakasuita: おつです
[1850.952] (S)junichitanaka: 家用とカバン入れとく用で持っとくと忘れない
[1853.783] (S)かげでん: オオニキー
[1854.101] (S)kurataro: 35分で終わっちゃったぜｗ
[1857.752] fina_thankyou: おつ
