[27.069] pettan_omochi: かっこいいの着てるねぇ
[4367.472] (S)seirosu: 毒はけどSFL中だよね
[4368.068] tw_numa: ダイナミックakiki
[4369.344] (S)raurakd: あききw
[4369.492] kaigaizei: 秋に追加されるAKI
[4369.684] かわと: sakoさんが使うんかなｗ
[4369.753] dufushi: AKIKIは妻
[4370.014] gettyozi: あききさんきたら笑うｗ
[4370.774] 太鼓のヒマジン: あきき？！
[4370.852] Fux7722: 昔からのキャラが好きだよね
[4371.798] ymdmad: 毒ざます
[4374.551] gajpmwtdpw: てか基本的に女キャラ興味ないでしょ
[4374.634] taroumaruh: sako嫁参戦は草
[4375.315] showhey778: sakoAkiki
[4376.189] kanegon7237: ガイ出してほしかった
[4377.301] 吉田じんぎ: ハメですよ！
[4377.486] kanie_sa1: 日本の国技は相撲です
[4379.083] prototypeie: ダイナミックakikiの圧やばいな
[4380.270] (S)brutal9998: kiをひとつ増やさないでw
[4380.856] (S)vungo_mr: 削りがないから本田あんまり楽しくなさそう？
[4381.116] imabaritowel: ケンやってほしいです
[4382.369] triskeal: わしはもう使われないでごわすか？
[4382.390] kihiro_bq: ハメやで
[4383.161] masarin763: リリーは無敵昇竜ないけど、SAコマ投げが打撃コンに組み込めるのは強そう
[4385.794] 松本_: こんにちわー
[4386.727] (S)low_single: 爪もあったからバルログテイストもあるのかな
[4389.231] megmilkman: ジェイミーは相当いい
[4390.633] ビフィダス: アキちゃん
[4395.399] kasumi_0730: akiki a.k.i
[4396.331] tw_numa: マリーザあるか
[4396.338] chin_56_: マリーザ、、
[4399.451] zyangara2: 自分を投影できないって気持ちわかる
[4407.445] jmyswrows: マゴさん曰くジェイミーは微妙確定らしいよ
[4407.770] potocki1810: 豪鬼はどですか？
[4411.153] Fux7722: 女キャラを使わないのはヌキさんに遠慮してるのでは？
[4412.034] prototypeie: JPは難しそうだったぞ
[4412.333] tarako7016: マゴさんは玉ナシしか使わないって言ってたな
[4413.394] kaomoji3: ファイナルファイト枠来るの遅いね、毎回絶対あるし
[4414.758] sphere0315: 無限ブルサーバー
[4416.233] 吉田じんぎ: 強そうなジジイ
[4417.051] akiaki0612: どのキャラに落ち着くか全くわからん
[4418.398] aranami0: ジェイミーのカッコよさは異常
[4419.340] ビフィダス: ウメちゃん珍しくワイシャツ着てるね
[4419.504] (S)1108044k: ジェイミーはβぶっちぎり最弱だったし強くなってれば良いけど
[4421.050] ひろみつー: 今日珍しい格好してるね
[4421.939] 松本_: 本命はやっぱリュウですか？
[4424.163] kuniyoshi8: JPも強そうだよね
[4424.309] kanie_sa1: 本田も酔っ払ったらワンチャンありますか？
[4425.043] megmilkman: マリーザは人気ありすぎて冷めたw
[4426.053] usizura: カワノがマノン使いそうな気がする手足長いから
[4427.261] akiaki0612: JPウメなさそう
[4427.954] (S)tetsuwoskt: レッドブル水w
[4428.180] kaigaizei: JPはアナカリスっぽいトリッキーさになってるな
[4429.193] (S)vungo_mr: マリーザの動画みたけど女花山薫でしたわ
[4430.796] (S)残り8万: どういう基準でキャラ選ぼますか?
[4430.973] imabaritowel: ｊｐはネモさん向け
[4431.701] takahashiseigi: ウメさんの女性キャラ、カプエスくらいか
[4432.427] tabibitox: JPはかなり悪い事できそうなキャラやね。中段の弾とか
[4433.252] balthazar000: JPが遠距離中段あるとかで
[4435.354] (S)熱田神宮: ウメさんの女キャラ始めてみる
[4436.282] (S)katuo3_: それコップなんかーいｗ
[4438.323] masarin763: JPはブレイブルーとかの臭いがする
[4439.750] ライデン: 出てくるのは水
[4443.310] ~MISSING_COMMENTER_INFO~: 薬飲むシステム面白いから強くしてほしいね
[4443.716] taroumaruh: プロ勢がなに使うか楽しみだ
[4444.024] akiaki0612: JPはサコさん枠な気がする
[4444.197] おりっち: JPなのに日本人じゃないんでしょ？
[4447.984] 吉田じんぎ: レッドブルだよ
[4448.071] sh1zuku716: 流石にリュウ飽きない？
[4449.276] hojihojidx: 本田の選考落ち理由は？
[4453.276] njpw2017: マリーザは構えが花山薫そのまんま
[4453.536] minimini3223: sakoさんはjp絶対好きそう
[4455.646] hiaaru: レッドブルが無限に湧くタンク
[4456.171] ビフィダス: JP、ジャパンなのかな
[4457.082] hanzou3: リュウにこだわってる時間はない
[4457.112] kasumi_0730: 人気あると冷めるのはわかる
[4459.017] imabaritowel: ルークばかりになりそう
[4460.542] zyangara2: 水じゃないよ、レッドブルが無限にでてくるんだよ
[4461.747] (S)tonyudx2025: アレックス使いの僕、マリーダから同じ気配を感じる
[4463.056] horikawa_r_i_k: スト６玉弱くない？
[4463.845] (S)ノア1844: ダルシムも普通に強そうみたいですねｗ
[4464.095] sphere0315: 一番使用人口少ないのは誰だろうね
[4464.439] mugi_yu: リュウ強くしづらいんだよねぇ
[4465.078] kaomoji3: リュウは白米よ
[4468.733] (S)ハルキ10: かなしみ
[4470.138] (S)wangjinrei1138: まーたたかしなんか…
[4470.898] yuki_aion_aion: ルーク最強っす
[4473.272] フルバーナ: あれレッドブルがでてくるんかすげえ
[4473.864] yuino5810: ふ～どはリリーかダルシムか引退って言ってたねｗ
[4473.878] yochibi2525: もう新しい動画はみた？
[4474.064] jigokunonekomatu: ワールドツアークリアすると開放されるキャラとかあったらおもしろい
[4476.444] imabaritowel: マゴさんがリュウ弱いって
[4476.460] tetete06: そうしてほしい
[4476.627] AtomPeter: 結局たかしのままか
[4481.843] akiaki0612: ザンギか
[4483.000] nekodogneko: 弾は必須ではない？
[4484.529] sh1zuku716: ルーク興味無いのは何故なんですか？
[4484.641] kuniyoshi8: 抜けて強くはないだろうね
[4484.830] (S)seirosu: モダンザンギを使うウメちゃんあるで
[4484.938] zyangara2: 最強キャラを迷わず選んで欲しい
[4487.320] gajpmwtdpw: ザンギエフ強かったら使う？
[4488.774] (S)brutal9998: リュウは強くあって欲しいけどなあ
[4490.894] right_8: 勝たなきゃだし、キャラの強さ優先ですね
[4495.401] jmyswrows: ルークでよくね？？ex派生あるしおもろいっしょ
[4495.958] (S)wangjinrei1138: リュウは最強でいいよね
[4498.915] megmilkman: ジェイミーはベータから相当調整入れてると信じてる
[4501.593] 吉田じんぎ: ウメちゃんの口を通ったものは全部レッドブル
[4503.365] (S)カンダ: βのときはリュウゴリラかなと思いましたけど、残りのキャラがどうくるか。
[4504.327] おりっち: ザンギはキチパがヤバそう
[4508.678] mabo916: 5で十分苦しんだ
[4509.312] ーおろー: シーズン2あたりで弱体化くらいそうだし、隆
[4513.439] (S)osarusan26: ルークの弾はけっこう使いようなるんだけど波動拳はねぇ・・
[4513.661] (S)残り8万: ザンギ強かったらザンギ使いますか?
[4514.760] (S)bec118_japan: 6は5と比べて複数キャラ扱いやすいですか？
[4519.111] ライデン: リュウ既に弱そう
[4519.175] カブトシロ: 最終的に誰をメインに選ぶか楽しみだね。
[4519.592] (S)ハルキ10: ウメザンギあるで！
[4522.194] odoreminv2: ５と同じ流れか
[4523.033] tarantarantaran: ahh 
[4523.454] goozy009: 来年、豪鬼出たら検討しますか？
[4524.727] tarako7016: 常に集中してくれれば・・・
[4526.223] imabaritowel: ケンは？
[4526.269] ootsukemono: 結局器用貧乏か…
[4529.683] zyangara2: パリィできないルークの弾くらい無いとね
[4531.376] tw_numa: やはりタカシなのか
[4533.378] hojihojidx: バーンアウトは弾あった方が凌ぎやすそうだけど
[4534.793] (S)wangjinrei1138: ５は最後まで最弱だったから強くしてほしいわ
[4535.229] masarin763: ルーク、リュウ、ケンは普通に楽しそう
[4536.079] (S)taku_yzfr1: なんか新しいステージに入ってるぽいねストリートファイター
[4539.862] ビフィダス: 個性
[4541.861] (S)gugugu5432: つべで昨日発表された動画いっぱいあるよ
[4542.776] kihiro_bq: 優しいですよ
[4546.257] esutark: 時代が変わっても、スパークリングはとりあえず水派くんですか
[4546.504] sh1zuku716: 低ランク帯はモダンザンギは猛威ふるいそうｗ
[4548.510] kanie_sa1: キャラごとの味付けは濃い方が楽しい
[4548.586] (S)でかい_犬: umeCossack
[4550.606] ~MISSING_COMMENTER_INFO~: SFLどんな感じになると思う？キャラとか仕上がりとか
[4550.651] (S)ハルキ10: 確かに
[4550.874] ビフィダス: 「くだらねーな」っていう個性、これまでの格ゲーにあった？
[4552.028] yuino5810: 5もリュウ最初強かったけど弱体化されたし
[4552.658] はるかぜ3263: 集中の隙はもう少し少なくてもいい気がする
[4552.936] (S)taku_yzfr1: ふんふん
[4553.538] nekodogneko: 劣化〇〇みたいなの多いね
[4553.613] zyangara2: 上位互換おおすぎ
[4556.137] kaigaizei: 今回のザンギは性能が振り切れてて面白そうだわ
[4557.574] masarin763: キャラ別のシステムも多いよね
[4557.834] tw_numa: 常に集中してろタカシって言われる未来
[4559.777] ひろみつー: 発売したらすぐ色んな人呼んで練習するの？
[4564.150] tabibitox: ６も増えたらそうなりそうだけどね
[4564.210] nibiru_brave: まぁまだ出てないんだから考えるのは出てからやな
[4564.494] tamujiro: 興味無いキャラが強キャラだった場合はどうしますか？
[4567.953] 墾田永年私財砲: まぁ5は展開中に色々システム増やしていったしね
[4573.034] 墾田永年私財砲: 集中！
[4575.854] (S)kani7321: カゲでないかな〜6のカゲめっちゃカッコ良さそう
[4577.416] kirakiraname: どのキャラでもプレイヤーの個性が出そう
[4582.179] tarako7016: 30年も修行してなんで集中できないの？
[4585.217] (S)ハルキ10: 集中！
[4588.527] tw_numa: 集中力なさすぎんタカシ
[4588.701] potocki1810: 集中しすぎた 
[4588.796] megmilkman: 6は底が見えないわ、他ジャンルから集まりそう
[4590.427] 墾田永年私財砲: あからさまに狙えるのスタンした時くらいよね
[4593.088] kinakobuta: あの波動は強いんだけどね〜
[4593.366] sengoku_cyber: 強キャラが出たら興味沸くのよ
[4593.960] sakana_twi: 小Ｐ強すぎる気がするけどどう？
[4595.604] ちょうど良いです: ジェイミーの酒も起き攻め捨てないといけないのがなぁ
[4596.861] (S)1108044k: ジェイミーも酒飲みでそれがある
[4598.151] jigokunonekomatu: Gぐらいの強化ならね
[4600.890] (S)latenight000: 起き攻めしない方が強いとバイソン状態になる
[4601.769] (S)katuo3_: スト6は見た目がキレイなキャラしか居ないのがチョット寂しい
[4602.318] odoreminv2: JPの弾コマ投げと打撃をセリフで聞き分けるっぽいけど既に苦しめられそう
[4606.737] niwakanoppo187: 本田ブランカとかが最強だったらヤバいっしょ
[4607.834] (S)brutal9998: 集中無い時点でルークの方が強くない？
[4609.531] (S)sistersguitarreplica: 集中が一回の波動で切れる隆
[4609.691] (S)kazukitaiga: えいたもキンバリーは使わない
[4610.939] ライデン: マノン何がそんなダメなんだ
[4611.696] chin_56_: ナナフシみたいよな
[4615.122] ko_008: キャラクターは多いほうが嬉しいですか？
[4619.730] カブトシロ: やっぱ見た目は大事。
[4621.949] 墾田永年私財砲: ジェイミーはコンボの間にSA2仕込める時もあるし
[4624.078] tarako7016: 集中力つづかなすぎやん
[4624.294] tw_numa: マノン…あと一歩かわいさがあれば
[4624.551] (S)ハルキ10: マノンはしゃがみが…
[4626.426] 松本_: マリーザ最強は使う可能性はあるってことですかね？
[4627.479] (S)gugugu5432: 体力みんな一緒なんだっけ今回
[4627.738] megmilkman: ジェイミーが弱いのは萎える
[4628.101] nekodogneko: ジェイミー酒飲まなきゃ弱すぎるのが弱い
[4629.935] sphere0315: ウメちゃん一応キャラの見た目も重視するんですね
[4633.899] kinakobuta: リリーも風まとうのあるね
[4636.241] butubatu: マノンのモーションはもっと柔道に寄ってほしかった
[4638.748] imabaritowel: 投げキャラデカキャラは嫌なんですね
[4640.237] piyopiyomaru555: ネカリ使いは何使ったらいいと思いますか？ジェイミー？
[4646.076] (S)tonyudx2025: マリーザはカッコいい
[4646.171] 墾田永年私財砲: おなつ最強
[4650.753] blackcoffee0821: 2年目3年目ってシステム増えるんかな
[4651.075] hanzou3: ウメ DJだな
[4652.359] (S)sistersguitarreplica: おなつやめろ
[4652.383] nail06k: キャミィびみょ？
[4655.595] nano294773: リリーは絶対やばい
[4657.848] usizura: ストシリーズ変なビジュアルのキャラ多いのにウメちゃん正統派キャラがすきだよなｗ
[4658.182] yuino5810: ジェイミーは念入りに弱くされてる感じよね
[4658.887] tw_numa: 柔道とバレエを組み合わせた全く新しい格闘技
[4659.119] (S)ハルキ10: マリーザウメちゃん
[4659.189] scottiever06: マリーザはかっこいいな
[4659.299] sh1zuku716: おなつｗ
[4660.586] megmilkman: そりゃするわw
[4661.840] balthazar000: マリーザのどの辺が良い感じ？
[4662.003] (S)taku_yzfr1: そりゃあゲームやし
[4662.367] ちょうど良いです: ジェイミーは離れたときに酒飲めば相手から近づいてくるの何気においしいよね
[4667.924] 黒鼓ぜろ: 見た目はモチベの一つよ
[4670.168] potocki1810: 髪長いよ
[4670.289] kobi3070: マリハラ
[4670.779] はるかぜ3263: 風まといみたいに集中も3つ溜められればいいのに
[4670.992] zyangara2: ウメジェイミーいいなぁウメユンを思い出す
[4672.592] njpw2017: 変身するという一点でジェイミーでいこう
[4676.388] kokushitan: リュウが日本人ぽくないことは気になりませんか？
[4678.865] tabibitox: JPが地震ぽいのもってる
[4681.023] (S)brutal9998: 誰だおなつとか言ってるやつはw
[4682.591] takahashiseigi: プロ的には、キャラの見た目や見栄えも、重要？
[4683.606] ライデン: ウメキャミィはないのか
[4685.263] おりっち: ウメーザ
[4689.738] gjthbkhtd_: おじリーグ観ますか？
[4692.257] scottiever06: DJ強そうだったな
[4692.491] ~MISSING_COMMENTER_INFO~: 最強って発売一か月でおおよそわかりますか？
[4692.813] jmyswrows: ジュリは？
[4694.972] odoreminv2: JP使う梅ちゃんとかすごくラスボスっぽい
[4696.910] sphere0315: kskもマリーザ使いたがってた
[4699.788] masarin763: モチベーションのはなしよね
[4705.304] (S)taku_yzfr1: 一ユーザーとしてか
[4705.782] ロンロ: テンション上がらんしな
[4706.030] tw_numa: ジュリは強いと聞いた
[4706.467] (S)seirosu: モチベよね
[4710.217] nibiru_brave: 今回キャミィは咬ませ犬になりそうだわ
[4710.383] (S)gugugu5432: ゴウキがいいキャラだったらいいなぁ
[4711.743] (S)残り8万: ジェイミーみたいなバフ、デバフキャラって好きですか?
[4718.251] ichi_gatsu: 気分を上げる
[4718.290] kanie_sa1: 結局新作出るたびにリストラされるキャラいるからスト2キャラしか使わなくなったわ
[4719.869] tw_numa: ウメ豪鬼あるか
[4720.020] (S)taku_yzfr1: その姿を妄想できるかどうか
[4723.121] 墾田永年私財砲: オロ使ってても強ければ盛り上がるからそこは大丈夫だ
[4724.416] njpw2017: 生活の大半、そいつを操作するからモチベを失うキャラはキツそう
[4725.398] showhey778: マリーザ勝ったらかっけぇもんねぇ
[4725.858] niwakanoppo187: キャミィ今回かなりかわいいからコス売れ優遇強キャラの道見えてる
[4726.955] (S)tonyudx2025: キャラのカッコよさはモチベーションにつながる
[4729.082] kaigaizei: 対戦してるDJ意外にかっこいいし面白そうだったよ
[4731.114] nekodogneko: 体力1000の豪鬼とかどうなるんだろうな
[4732.935] tarakopasuta_tabetai4: 初コメです。ウメさんって胴着みたいな飛ばせて落とすシンプルなキャラなイメージありました
[4733.245] megmilkman: AKIは気になるなあほんと
[4737.241] (S)Maloneal: その服脇の下あいてるんですね
[4737.872] カブトシロ: 好きなキャラで勝ち名乗りうけたいよね。
[4739.038] (S)1108044k: 考える余地がほしい感じですかね
[4742.146] yuki_aion_aion: 豪鬼で瞬獄殺して〜
[4742.397] (S)bec118_japan: 気持ちがないと人知を越えたやり込みは出来ないだろうし
[4748.308] ひろみつー: ウメちゃんは設置キャラ好きだからJPやりたいの？
[4766.364] kabicha000: 6でも1キャラに絞るんですか？それとも他キャラ使いに目覚める可能性ありますか？
[4767.350] (S)nihonsyu_: えいたくんが、またウメちゃんちにくる口実のためにアケコン忘れて帰ったってホント？
[4771.246] zyangara2: 弾っていうエンドコンテンツの攻略が必要
[4774.056] tarako7016: なんかブランカがローリングに確定がなくなってそうでゆっちょ復活できるかもとのこと。
[4775.564] (S)sistersguitarreplica: 見た目はシンプル故に深い的な?
[4786.732] ootsukemono: へぇ〜
[4788.544] 墾田永年私財砲: かりんとかですか
[4788.803] (S)brutal9998: もう飛ばして落とすっていうだけで成立しないでしょ？
[4790.303] imabaritowel: キャミイとかか
[4793.612] (S)ハルキ10: 弾って深いのか…
[4795.408] はるかぜ3263: 弾撃つのめっちゃ難しいよ
[4807.654] kihiro_bq: リスキーですよね
[4809.885] nano294773: 弾キャラが強すぎると初心者やめそう
[4810.671] masarin763: 弾無敵突進
[4816.679] aranami0: 弾キャラ使えない
[4817.243] カブトシロ: 弾の撃ち合い好きよ。
[4828.075] saibabasan: 弾は最適解がないから難しい
[4841.199] (S)1108044k: なんならかりん最強時代は確認できなくてもかりん勝ってた
[4842.705] はるかぜ3263: たしかに
[4843.636] ~MISSING_COMMENTER_INFO~: スト6のキャラ選びで注目する強いポイントはどこですか？
[4844.803] imabaritowel: ドライブゲージの使い方で差が出そう
[4851.478] ブラッドリンク: トレンドにモダンザンギ入ってましたけど、ウメハラさん的にはヤバそうですか？？？
[4854.334] (S)taku_yzfr1: なるほどな確かに
[4855.785] sannpann_twich: 話がとぶんですけどyoutubeの公式チャンネルのスーパーサンクスの設定の予定はありますか？
[4856.720] kanie_sa1: 弾強いとドライブの駆け引きがね
[4857.429] yuki_aion_aion: よし！弾なしキャラや！
[4859.008] megmilkman: マゴさんは弾弱くていい、ウメハラに合わせなくていいって言ってたわw
[4862.576] potocki1810: ルークｇ最後のカプコンカップとったのは、メナがさくらを使ってた経験が生きたって感じしました
[4867.504] sagantosu0719: 春麗強くなきゃやだ！！
[4867.757] (S)taku_yzfr1: 弾一つで全部ひっくり返るのはね
[4868.507] (S)ハルキ10: みるとこ多い
[4869.909] ~MISSING_COMMENTER_INFO~: i cant
[4872.714] (S)gugugu5432: プロシーンはどの機種になるんだろ
[4873.087] tarantarantaran: umeCossack
[4877.243] sphere0315: スパチャ
[4879.643] おりっち: 体力もうちょい増やしてもいいような
[4879.743] umesecond: 波動拳より物理蹴り
[4882.631] horikawa_r_i_k: 小ワザ暴れ強すぎて萎えるんですけどどうですか？
[4888.348] cac_gwd: スーパーサンクスは動画版スパチャみたいなものですね
[4889.742] ひろみつー: 投げ銭
[4891.078] 墾田永年私財砲: スーパーサンタロウならわかる
[4893.867] kkkfdf: ここでいいじゃん
[4895.038] ロンロ: ライブやらんからね
[4895.947] (S)seirosu: 動画のコメントにスパチャみたいなやつができる
[4897.011] caruvi: すぱちゃ？
[4898.756] tabibitox: 動画への投げ銭やね
[4902.377] suginaka56: サークルkスーパーサンクス
[4905.106] medamaoyabun: でもモダンあるから展開動かせたほうが良くないの？
[4905.699] ライデン: ザンギめっちゃ強くても過疎りそう
[4910.315] zettai_reid: ラッシュ止め用の技置きに対して弾がある、ってすくみなのか～って思ってたんですが、弾ないほうが良い派なんすね
[4919.003] hojihojidx: いまのとこ６で一番気に入ってるポイントってなに？
[4929.308] sannpann_twich: 課金コメントです（スーパーサンクス）
[4938.574] zyangara2: 体力ドットになった時に小技暴れを咎められない・・・
[4941.823] sphere0315: モダン拒否とかで荒れそう
[4945.545] horikawa_r_i_k: 絶対小ワザラッシュ仕込みゲーになると思う。やめてほしい
[4946.998] odoreminv2: 攻めにゲージ吐いてうっかり後ろ投げとか食らうとゲロ吐くからゲージ管理難しい
[4948.343] gyumao: ストクロ2作りやすそう？
[4949.508] カブトシロ: 人を殴りたい。
[4951.306] ve968: スト6、今のとこ見た目が1番好きなの誰ですか？
[4951.612] chin_56_: ５みたいに対戦予定組んで練習する？
[4952.787] (S)taku_yzfr1: 弾はキッカケにすぎないてこと？
[4958.418] tarako7016: システムに愛されたキャラを使いたい
[4960.504] (S)1108044k: 最後まで弾が飛ぶから通常技弱くしますねはね
[4965.284] masarin763: スト系で体力均一っていつ以来ですかね？
[4971.083] potocki1810: ほえー
[4971.757] 黒鼓ぜろ: 弾はコンボパーツとか追撃用で立ち回りが強いではない感じがする
[4972.762] aranami0: ガイルかっけーからなぁ
[4973.321] tabibitox: バーンアウト後は強いけどね。SA１とかの反撃もキャンセル弾で潰されるし
[4973.416] kobi3070: umeGuile
[4975.646] thunderbolt0422: ６のガイル渋くていいですよね
[4983.149] usizura: ザンギがつよかったら弾あった方がよくない？
[4990.408] hakujin1231: モダンの初心者に負けるの悔しいよ
[4993.437] megmilkman: スト2のキャラでベータしてほしくないですか？
[4993.875] potocki1810: ガイルの迷彩服バージョンめちゃ良かったです
[5004.839] kinakobuta: ジェイミー髪下ろした時カッコいい
[5007.171] (S)brutal9998: そもそも弾なくてもゲームが動くよねって事？スト6
[5007.726] kaigaizei: 投げループしないしな
[5010.209] ブラッドリンク: ステージ狭くないですか？？ウメさんの対戦見てたら画面端がすぐそこ過ぎて…
[5016.302] (S)ハルキ10: ウメちゃん何使うんだろうなぁ
[5017.433] (S)残り8万: ザンギ最強になったらどれぐらいのプロがザンギ使いそうですか?
[5020.390] kihiro_bq: 大丈夫ですよ 左手薬指折れてますからガチで
[5020.709] tarako7016: 今回、体力も全員同じだしね。
[5029.279] (S)sistersguitarreplica: むしろザンギに弾つけて欲しい
[5030.602] (S)1108044k: パニカンコマ投げがCAみたいに減ってた
[5035.795] tarakopasuta_tabetai4: ウメさんのキャラシンプルとか言ってすみませんでした。失礼でした。
[5047.344] jigokunonekomatu: ダイナミックのキッズに負けたらおじさん泣いちゃう
[5048.113] kahaku91: ザンギ通常時も動きが早いと思った
[5049.189] maddy2623: ザンギのCA後、なんとEXスクリュー間合い内でした
[5052.076] 墾田永年私財砲: コーリンだよね
[5055.858] (S)kazukitaiga: 小技はドライブキャンセルかかんなくていいな
[5059.869] yuki_aion_aion: だめだめ、もう流行っちゃってる
[5064.033] potocki1810: ペチッ
[5065.636] ムエタイ: 小技置きゲー
[5068.870] horikawa_r_i_k: ルークの小パンどうすんねんつまてなるわ
[5069.346] hojihojidx: 小技にラッシュキャンセルかからなくて良いってこと？
[5071.222] goozy009: 過去のダッシュ、ターボみたいに早くなっていったらどう思いますか？
[5072.922] masarin763: KOF味
[5073.537] saibabasan: 小技っていうのは発生早いけどつなぐのは不可能に近いぐらいのほうが好き
[5077.706] megmilkman: リスク負わない動き大体嫌いじゃないっすか？
[5079.850] salifuas: 中山さん松本さんって話した事ある？
[5087.426] (S)ハルキ10: ピッピ
[5088.724] netinhothundeer: Um grande abraço do seu fã do Brasil, mestre Daigo!!
[5091.553] chin_56_: ぺちぺち
[5093.564] TEIKETTO: 弾関係なくザンギの地上弱い姿が想像つかない
[5094.525] kihiro_bq: あと1ヶ月で治ります
[5097.999] tatsumi2025: 低リスクからデカいリターンが出るとそれだけやってりゃ良くなりますからね
[5100.154] (S)choco_mint6: ぺちっ
[5100.154] ライデン: 小技小技CAとかはいいの？
[5101.238] kahaku91: 北斗の拳になっちゃう
[5101.611] 黒鼓ぜろ: ラッシュ仕込んどけば置き得よね
[5107.217] icyblue1985: コパンピッピ
[5107.741] (S)1108044k: しかも技強度なくなってるしね
[5107.857] (S)kazukitaiga: そうそうリターンがね
[5109.181] toriziant: セビキャンみたいなのが理想ですか？
[5117.039] (S)taku_yzfr1: フェアじゃないよね、てことか
[5120.075] hojihojidx: 小技始動だと補正大きいらしいけど
[5124.275] (S)gameinntwitch: 小技EXの浮かせ技も大概ヤバそう
[5128.814] (S)brutal9998: ローリスクハイリターンならみんな小技ばっかり振るよね
[5133.261] (S)tetsuwoskt: 小ワザ3発刻みもなあ
[5144.332] odoreminv2: ペチッ、シュバッ、ベチベチズドーン
[5148.907] tw_numa: 最後は真昇龍
[5149.040] (S)ハルキ10: そうね
[5154.692] (S)kazukitaiga: SA3ただでさえ減るしな
[5156.984] potocki1810: 近づけないｗ 
[5157.325] きょうたろ: 今も小技トリガーからあるじゃんね
[5159.151] Graphtana: ボタンダッシュつけて小技からのラッシュコンボ無くす方向でいこう
[5160.755] v_harumi_v: なるほどね
[5166.561] tabibitox: せめて技強度復活させたほうがよさそう
[5167.304] (S)sistersguitarreplica: 俺はいいよ?
[5175.023] (S)熱田神宮: ペチペチが始まる
[5176.171] masarin763: ラッシュ仕込み得？
[5176.537] はるかぜ3263: 北斗状態
[5178.117] tw_numa: 強度はあった方が良さそうね
[5179.054] thunderbolt0422: 中足が差し返せるような硬直だし、リーサル見えたら小技ラッシュ使いますよね...
[5179.672] (S)perfecttakahashi: 技強技強度によってラッシュキャンセルのゲージ量変えた方が良さそう
[5180.089] (S)ハルキ10: 待っちゃうもんな
[5183.024] (S)taku_yzfr1: 尊敬はされないよ、て
[5184.722] (S)osarusan26: ぺちぺちKO
[5185.575] yuki_aion_aion: 北斗最高やな
[5186.545] feikasso: そのうち消えるんじゃねｗ
[5191.685] (S)残り8万: またぺちぺちか
[5194.859] (S)brutal9998: でもZERO3って小足からスパコンとかだったんじゃ？
[5201.709] balthazar000: ラシードが特に印象強い
[5206.597] tw_numa: よくできてるねぇ
[5207.974] オシュ: 補正が弱中強のどれでキャンセルしたかで重くするとかどうかな
[5210.748] cac_gwd: 変なバリア・・・
[5211.766] hikky722: コパン対空もｗ
[5216.337] megmilkman: あー確かに
[5224.057] (S)latenight000: それで勝ってもお前強いねって尊敬してもらえない可能性があるのか
[5231.649] potocki1810: vtuberの方も、技でないーどうしたら、からのペチッで勝ってましたｗ
[5232.375] hojihojidx: 技強度復活すれば小技ラッシュも許容範囲？
[5233.459] (S)ハルキ10: 絶対そう
[5234.325] keihakukyou: 小技がストVよりだいぶ判定弱から、それでどうにかパニッシュしてねってことだと思ってはいる
[5235.237] たあぼ0126: せや
[5239.174] (S)sistersguitarreplica: 小技で死ぬわけないもんなぁ
[5240.498] thunderbolt0422: 間違いない
[5242.852] sh1zuku716: コパン無くてもいい気が？
[5244.731] v_harumi_v: そうかも
[5246.527] nibiru_brave: マジでゼロ３は簡単にごまかせない
[5247.710] ムエタイ: 確かに昔の格ゲーって立ち回りで小技ピッピしない気がする
[5247.926] (S)1108044k: 判定狙いの格闘技とかもまじつまんない
[5249.372] はるかぜ3263: スマブラはそんな感じ
[5251.126] tarako7016: 動画勢的にも小技で固めるゲームは見た目みてて面白くない
[5251.435] ~MISSING_COMMENTER_INFO~: new games hurt my eyes 
[5253.788] matsuyani4426: ウメさんZERO3の練習とかってしてるの？
[5253.979] disheart: 前ステをコパンで止めるのつまんなかった
[5254.584] saibabasan: 小技は絶対つながっちゃダメだよ
[5257.291] usizura: パリィかリバサが小技へのアンサーにならんかな
[5271.552] maddy2623: ダウンさせないとラウンド取れないみたいなのはどうでしょう スマブラだとふっ飛ばさないと勝てないみたいな
[5272.769] (S)latenight000: 小技はすでに用途が確立されてるのにね
[5273.544] tw_numa: 火力まで出るのはね
[5276.315] oinari6: 小技から繋がるようになったの4から？
[5276.840] (S)kazukitaiga: リーチもまあまああったりするんだよな
[5277.137] goozy009: 確かに
[5279.942] (S)perfecttakahashi: 確かに小技がいちばん強いな
[5281.399] masarin763: まぁ、バーアウトさせれば削りあるし...
[5299.805] tw_numa: 3も、わ
[5302.978] 小次郎_: ４はコパ大パンですね
[5303.068] (S)れく太: コパアッパー
[5305.431] (S)jin0073: ゲージ見てヒット確認するゲームは面白いかどうかね
[5307.123] nagilay1: コアコパ昇竜からセビキャンが
[5308.984] (S)kazukitaiga: 4はコアコパ祭りじゃなかった
[5311.718] niwakanoppo187: エレナのしゃがコパ・・・
[5314.844] sh1zuku716: ４ってこぱ異常に繋がらない？
[5319.489] iori_jj: 整備士みたいな恰好してるね
[5319.643] tarako7016: コアコパァ…
[5324.382] (S)1108044k: もしかして小技からの期待値が高いキャラが強いみたいになっちゃう？
[5325.008] (S)pung_pung_ouji: コーディが一生コパンにラフィアン仕込んでたの覚えてる
[5326.135] 黒鼓ぜろ: コアコパ中できたからなぁ
[5329.917] hojihojidx: スト４のイベントでモリカワさんと話してる時から言ってるよね。小技
