[12.660] ねこざけ: おｋ
[5153.267] vector_56: じゅんぺー
[5155.288] (S)johndoe6523rp: 目の前でｗw
[5164.387] (S)chachachakoma: でるぅ
[5165.866] bunbun0880: 出るー
[5166.658] おにゃにん: まあ最近は質の良い無線もあるとか聞いたり聞かなかったり、あれ本当なのかね
[5167.647] thescrb: 意外とラグはないのかな
[5172.998] ~MISSING_COMMENTER_INFO~: >>ゲーム音が小さい人へ iphoneで聞いたら音普通だったけど、なぜかPCだとほぼ聞こえない webサイト側の何か問題かも
[5175.992] 川上さん: かっさ subscribed with Prime. 
[5180.633] tabibitox: 無線は遅いわけじゃなく不安定
[5186.768] (S)echizen2000: 今のウィーフィーは大丈夫っしょ
[5187.396] (S)こたのすけ: 今ものによっては有線と変わらないぐらい早い無線あるしな
[5194.341] ｷｬｯｷｬ: 異常にラグが出るとか無ければ無線でもいいさ
[5196.388] (S)y_proto: まだ無線はどうやってもラグる
[5197.832] 戸愚呂妹: 戸愚呂妹 subscribed with Prime. They've subscribed for 14 months, currently on a 4 month streak! 俺も獲らせたかった
[5197.936] titilrin: 昨日のりこちのキャラ対完璧だったね
[5200.754] かりせん: 今日勝ち確SAコンボしたら2回連続で切断されて萎えた
[5209.679] berurusuko: 無線でも気にならないほうがほとんどだけどたまにひどい人いる
[5211.763] (S)chachachakoma: っけい！
[5213.679] (S)ナベさん: 正直WIFI6以上は無線でも良いわ
[5221.507] 黒鼓ぜろ: pingは低いからラグは感じないだろうけどひどい人は止まるのよ
[5222.106] (S)hiro_chan: りこちは歌だけは上手い
[5222.234] (S)はるかぜ3263: JPは色んな偽名使ってるけど全部イニシャルがJP 今はヨハン・ペトロヴィッチを名乗ってる
[5222.842] ぽんせいくん: 対人は有線繋いでほしい
[5223.740] OKG_TWIN: 実際に無線勢と対戦しても、特に問題なく対戦できることの方が多いんよな
[5225.662] yakinikudragon: JPは遠距離のくせにガタイが良すぎる
[5244.726] jidanfigo424: 今のwifiはすごいんやな
[5245.407] ちぇんぷる: ありゃま
[5247.399] 墾田永年私財砲: 6は大丈夫だけど無理なゲームは無理だから熱帯は有線でやってほしいなあと思う
[5248.343] かりせん: 優先でもラグい人いるしな
[5249.372] Nanafushi_san: 無線でも正直問題ない
[5250.729] (S)echizen2000: 容赦ねぇ
[5253.776] doanobu00000: ムチムチおじさん
[5253.871] OKG_TWIN: 確かに酷い人いるけど、スト５のときと比べたら少ないよ
[5257.928] 黒猫くん: 無線絶対に許さんマンはまだまだ多いな
[5258.604] (S)タビビト: スト6はラグ感じることが少ない
[5262.324] titilrin: wifiでマスターはヘイト買うなあ
[5262.620] sinsin565: ラグった時自分のせいにされるから有線のがいいよ
[5263.838] あさつき教: 削り酷いｗ
[5269.217] (S)gold_power1969: 無線はスピードじゃなく安定しないのが怖いのよ
[5275.300] (S)chachachakoma: でるんです
[5279.442] naginagi99: スト５のときほど無線で酷い動きにならんから、６はすごいわ
[5282.830] doanobu00000: ラグかったらグラフィック落とすのも手だし
[5285.186] (S)aurith: スポーツカー乗ってても赤信号になると止まるってのが無線
[5286.337] x_abu_xx: スト6はネットコードのできが良いですね
[5287.371] 地球最弱を継ぐもの: いくら今の無線は安定言われてもお断りだなあ
[5292.544] ちぇんぷる: 昇竜拳でるねえ
[5302.185] syrup9000g: 攻めた～
[5302.496] OKG_TWIN: そう、無線＝全員だめってなわけじゃないよなスト6は
[5302.839] (S)chachachakoma: かっけえ
[5304.196] anminpsychopass: かっこいいー
[5308.095] (S)タビビト: スト5の時はかなりラグいことあったのに…改善具合がすごい
[5310.007] (S)kinpbro: umeCossack
[5314.879] (S)オワオワタ: 無線でもアンテナ1本でも問題なく対戦できる神ゲー
[5315.129] titilrin: wifiは仕組み上どうしても途切れが出てしまうからね
[5315.636] ~MISSING_COMMENTER_INFO~: 昨日相手の切断で初めてのイエロー貰ってやる気なくなった
[5316.353] 墾田永年私財砲: 処理能力面のラグと通信の不安定性は別のものだからできれば有線がいいよ でもスト６はかなり不安に思うこと少ない
[5317.430] shinji_chan: Get that bullshit out of here lol
[5318.276] (S)Ai_Ingu: umeCossack
[5319.819] 墾田永年私財砲: すごい
[5329.576] yakinikudragon: 今月は町内のお祭りがあります。もう夏ですね。
[5329.837] (S)ナベさん: 将来的に有線＆WIFI表示は消されると思うわ
[5332.306] tabibitox: JPJPダル
[5334.742] 黒鼓ぜろ: 無線も対戦出来てることはプレイしてる人はわかる
[5339.015] (S)fahmy0825: Here comes the sim
[5349.943] かりせん: 相手が切断してイエローってあるんか？されたことないけど
[5350.614] (S)DAMMMw: umeCossack
[5354.019] (S)echizen2000: ちなみにソフトバンクAirみたいな機械に有線で筐体に繋いだらどう表示されるの？
[5358.499] naginagi99: 同期に必要なパケット数がだんちなんだろうな、５と６じゃ
[5360.734] x_abu_xx: たまにラグがどばっとくることはありますね
[5362.618] OKG_TWIN: 有線５本表示でもラグい人はおるしな・・・
[5364.776] 黒鼓ぜろ: 消す必要はないでしょ
[5367.808] tambo567: まあ許容するかしないか各々選べばいいんだし、判別出来るようになったのは英断よね
[5380.408] (S)オワオワタ: ラグい人はいるけどワープする人とは当たったことないわ
[5382.781] jidanfigo424: ランクマならWi-Fiでええな
[5390.643] 墾田永年私財砲: いいという訳ではない
[5394.165] yakinikudragon: 暴力ヨガ
[5397.522] OKG_TWIN: まぁ流石に無線３以下の人は避けてるけど、それは有線でも同じやから
[5398.808] kumihachan: おかわり
[5400.819] (S)こたのすけ: ダルシムマッチ率低すぎて未だに分からんころしされるわ
[5401.693] (S)luaetoile: おおお
[5407.186] muck_339: ダルシムはいつ見てもインパクト確定がどこなのかよく分からない……
[5415.380] (S)すれいまん: ジャスパ取るとそれできるんだ
[5416.468] niemalsaufgeben: うっま
[5441.332] OKG_TWIN: Dゲージが
[5447.321] yakinikudragon: ゴムゴムの実
[5452.584] titilrin: ダルの大スラのフレーム
[5455.513] 墾田永年私財砲: ｱﾊﾞｰｯ
[5456.394] AkikunnFenrir: スト6も全体的にダメージ下げたら、くそげーになるのかな
[5462.315] (S)SeventyTwo_7: 昇竜でかわせるのか・・・
[5466.552] 戸愚呂妹: 三ちゃんとメイキョーさん決まった時の掛け合いめっちゃ良かったわ。格ゲー版ブレイキングダウン期待！
[5471.110] prisira: ダメージ下げるのだけはやめた方がいい
[5482.825] niemalsaufgeben: インパクト打つ人
[5483.727] (S)fahmy0825: yogayogayogayoga
[5489.089] OKG_TWIN: 爽快感なくなるし、無駄に試合時間伸びるしでいいことないよ今より下げるのは
[5500.155] (S)オワオワタ: オールスターバトルみたいになってしまう
[5503.094] berurusuko: ダメージ下のやつと上のやつの差が激しすぎるんだよなあスト6は
[5503.295] AkikunnFenrir: なるほどーやっぱそういうもんですか
[5504.228] goozy009: ダメージ下げたらディフェンシブになるしダルくなる
[5505.056] dukewargames1990: daigo try to spam haduken more often!
[5507.520] yakinikudragon: なんだいまの！
[5508.995] prisira: 高すぎる一部だけ下げるはあるかもだけど全体は絶対にだめだね
[5509.032] meronpan1121: おお
[5509.494] 墾田永年私財砲: キャラ相性も強く出るだろうしね
[5509.816] tabibitox: インパクトしてパリィ
[5511.879] naginagi99: スト６はずっとこの試合テンポ感でいってほしいな。ダメージもこれでいい
[5520.817] micco_nami: bro where is he lol
[5522.161] titilrin: ダメージと展開の速さはスト2っぽい
[5526.074] 墾田永年私財砲: 跳ねる跳ねる
[5527.527] bebebebebebeebe: 別にクソゲーになるとまでは思わないけど初心者はやめそう
[5529.855] syrup9000g: セーフ
[5535.293] あり0221: ディフェンシブなゲームは勤勉な人しか勝てない
[5543.562] bunbun0880: 一戦早い方が疲れづらいしね
[5544.511] OKG_TWIN: そうそう、試合テンポ大事よね。今のテンポなら時間と体力あるかぎり無限に対戦できる
[5549.705] kiton_taichi: ガード困難連携ぽかった
[5555.164] berurusuko: 正直ダメージでかいほどどっちも動きにくくなると思うけどな
[5557.378] radi38: テンポはこれでいいから大会は3先にしてほしいなぁ
[5559.685] かりせん: 賽銭早いのまじでいいわ
[5564.250] x_abu_xx: スト5の倍位の時間で試合終わりますからね
[5570.109] 蓮華プロデューサー: こうやってプロのプレイを見てるとこのゲームが丁寧に作られているのが実感できる
[5570.697] naginagi99: 少なくともモダンにすればコンボしやすくなって、初心者でも結構楽しくやれること多いし
[5572.027] goozy009: モダン勢が完全にやる気なくしそうw
[5572.066] bebebebebebeebe: ダルシム面白そうや
[5576.769] yakinikudragon: 同キャラモダンにボコられると心折れそうになる
[5577.387] masakintv365: 鉄拳も爽快感無くなってやらなくなったわ
[5592.267] (S)すれいまん: 少しはクソゲー要素ないとあんま面白くないゲームになる
[5598.504] (S)オワオワタ: 俺を獲れも10先にしたのはこのゲームスピードだからだろうな
[5602.767] (S)johndoe6523rp: 格ゲーに限らず１試合が長いゲームはやだな
[5602.925] x_abu_xx: 鉄拳8はどうなるんですかねー
[5610.303] (S)SeventyTwo_7: スト５テンポ悪いのに負けたらLPくっそ減ってたしな
[5614.572] (S)おかめ王: なんかゲームスピード遅く見えるな
[5618.632] AkikunnFenrir: せめてＴＯＰ６４あたりから3先で、１６からは5先とかでもいいかもでえすねー
[5619.806] (S)sakusakuman225: 長いのは見るのもやるのもだれる
[5625.228] ランディハニー: 鉄拳はステステ文化がある限り初心者は入れない
[5626.140] muck_339: スト６の１０先は正直観てる分には苦にならないよね
[5626.711] かりせん: うま
[5633.984] bobonchuaaaa: 弱リュウビで寄るのって微妙ですか？
[5635.743] stren_jp: んでtsってだれ？
[5637.820] Syu03: インパクト貫くのすげぇ
[5639.798] mecroboxy: えぐうま
[5643.871] ggotsu: 全部昇竜でええやん
[5644.774] OKG_TWIN: このゲーム実際に対戦してると、動画で見てるときよりもゲーム速度早く感じるのよな
[5645.218] goozy009: スト6'が出たら個人的に嬉しいw
[5646.243] aheahemaru: ウメスレチェック
[5648.140] (S)luaetoile: 凄い
[5651.285] takuemon44: うますぎる
[5653.623] (S)thanksformatching: thanksformatching subscribed with Prime. 
[5654.229] ちぇんぷる: インパクトってああやって割れるんや
[5654.890] yakinikudragon: またウメちゃんの男塾見たい
[5661.788] CeroBlast: こんばんは、daigoさん @DaigoTheBeasTV
[5663.240] (S)Ai_Ingu: ken would win
[5663.777] (S)chachachakoma: ダルシム戦かなり詰めてきてる感じがあるなぁ
[5664.076] mitchyboo1: I want to see Daigo vs Musclenoob
[5666.426] (S)はるかぜ3263: 128先ができるのもこのゲームスピードならではだな
[5667.819] bebebebebebeebe: 同キャラや
[5676.823] no_name__yet: 大会が基本3先になるなら、ダメージは今のままでいいかな。２先だとはかない
[5685.346] melvin_1023: オフで五先はきつそう
[5690.484] (S)すれいまん: 龍尾は強とOD以外使い道ないと思うよ。やられ判定バカデカいから
[5691.710] OKG_TWIN: バトルハブで普通に50戦の連戦やれちまうんだ
[5692.400] Syu03: 画面恥への運びすごいか
[5701.629] yakinikudragon: コパン！！！
[5703.414] (S)chachachakoma: かのえさんもこの間配信でずっとスト６やってたね
[5706.561] 戸愚呂妹: who is musclenoob
[5713.610] (S)オワオワタ: ただこのゲームは集中力必要だから100先は相当疲れそう
[5718.303] kotobuk: 俺をとれのアーカイブってないの？
[5718.957] titilrin: サンちゃんがウメさんと108先やりたがってたなあ
[5728.818] bunbun0880: がめんはじ だいご
[5732.337] (S)thanksformatching: umeCatGlare
[5735.107] goozy009: 2先で十分だよ、進行が楽になるし、トパンガチャリティなんかサクサク行きそうで安心だもの
[5736.277] dxgenre: nice
[5737.672] necomuraneco: セロブラみてるんか
[5738.843] (S)Ai_Ingu: P
[5741.201] (S)luaetoile: p
[5743.472] OKG_TWIN: 集中してるときは大丈夫なんよ。ゲーム終わったら疲れがどっとくる。スト５の比じゃない
[5745.185] (S)chachachakoma: Ｐ
[5752.319] heijitusan: ケンって運び凄いのに柔道あるのなんで？ｗ
[5755.080] (S)すれいまん: スト4の突発ウメとき100戦とか懐かしいな
[5760.164] (S)tomodaachii: @戸愚呂妹 an awesome ken player
[5765.190] xyz1648: 三太郎さんがEVO優勝したら128先おもろそう
[5769.894] (S)chachachakoma: スト５が遅すぎたと思う
[5771.071] yakinikudragon: 関さんと葛葉は128先してたな
[5775.262] (S)muteking510: sakoさんはストリートファイターは休憩って言ってた
[5776.253] berurusuko: スト6はストレスすごい それがアドレナリンになってるんだなって感じる
[5781.640] naginagi99: 柔道つええｗ
[5785.352] bobonchuaaaa: コウセイ、ノーブル早くみてえなー。
[5788.276] (S)kinpbro: PogChamp
[5792.319] goozy009: sakoさんは、、、、
[5792.635] (S)すれいまん: 反応速すぎるんよ
[5792.984] (S)luaetoile: すげー
[5796.087] yakinikudragon: RyuChamp
[5796.932] (S)chachachakoma: 関さん釈迦さんともかなり長く対戦してた
[5797.828] kumihachan: モダンやん
[5799.204] xyz1648: ストレスと快感のバランスが良い
[5801.524] OKG_TWIN: スト２がゲーセンにしかなかったころ、これぐらいの試合テンポで５０円溶けていってたなぁそういえば。
[5801.553] 戸愚呂妹: @tomodaachii thx! I will watch later
[5805.374] 4444446666: ウメハラだのイワカタだの
[5809.686] syrup9000g: じょろろ
[5813.527] (S)echizen2000: チョロロロロｒ
[5813.557] tabibitox: 氷にぃ
[5814.131] Syu03: 偶然マッチしたら、この動き本物！？とかなるんかな。
[5819.370] (S)chachachakoma: 氷！
[5820.896] ukiyo55: 関さんマスター行きそうですげえよ
[5827.370] niemalsaufgeben: 基本、柔道ある。ないのが一部のコマ投げもち
[5832.695] あり0221: 新規もだけど過去作、他格ゲーマーも6で合流してるのが最高にエモい
[5833.974] AkikunnFenrir: 三角飛び春麗にすでにあるけど、ラシード来た時どうなるんだろーてか三角飛びっているん？
[5840.964] OKG_TWIN: ツイッターみたいに公式認証マークあればいいんだけどね。偽物防止にもなる。
[5843.855] x_abu_xx: バーチャ2はマジ5秒でリングアウトできるゲームで1クレ100円でしたね…
[5844.068] yakinikudragon: 結局ずっとやってるの関さんだけだもんな
[5844.537] syrup9000g: ｯｹｲ
[5844.572] (S)50kata: 50kata subscribed at Tier 1. They've subscribed for 2 months! 
[5848.258] market_fujisaki: おー
[5848.400] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[5848.813] (S)johndoe6523rp: マスターに行ったらリュウをやるとか
[5849.849] ちぇんぷる: うおおお
[5851.450] goozy009: 関さんマスター行ったら一区切り付きそうで怖い
[5851.825] (S)chachachakoma: うまいぃ
[5852.114] syrup9000g: umeCossack
[5852.444] ruku_246: うおお
[5852.858] echa_pi: ぴーす
[5853.332] (S)ice_cociee: うめぇ
[5854.501] (S)Ai_Ingu: ken wins
[5861.481] のりゆき0125: スマブラの桜井さんも、ゲームは『ストレスと開放』言ってたやん
[5861.807] (S)かど: umeCossack
[5865.178] roro_gc: 柔道ないのは本田春のみ
[5869.120] (S)すれいまん: 関さん結局プロ目指すん？
[5869.593] xyz1648: LPとユーザーコードで本物示せるから問題ないでしょ
[5876.398] berurusuko: 葛葉さんのほうがスト6やってるよ 配信ではやらないけどフォローしてればわかる
[5876.489] syrup9000g: 高いのきたな
[5877.392] あり0221: 関さんはマスター行ったらリュウやること決定してるよ。
[5878.902] kazuxeno: リニアきた
[5881.260] easter19xx: リーグ始まったらみんなカスタムだからいきなり聖戦始まることもないのか
[5881.364] (S)Ai_Ingu: 68k DJ
[5881.902] King_Fuudo: ラシード使いDJとかあなたさぁ～
[5884.361] nellright: 関さんは格ゲープロ目指すんじゃないの？シュートみたく
[5885.602] OKG_TWIN: あそこまで沼に浸かり切ってしまった人間が「一区切りついたから・・」って辞められるわけがないｗ
[5890.055] pettan_omochi: かるびもまだやってるよ
[5890.326] takarasann: DJの人
[5891.189] (S)chachachakoma: さささんはジェイミー使いだして、さらにかるびに色々教えてたな
[5893.349] yakinikudragon: 強そうなdeejayきた
[5894.837] ダルおじ: ガチくん強いな
[5895.519] naginagi99: ラシード待ちのDJ
[5900.980] titilrin: 他のキャラでマスター目指したらええんや
[5902.400] (S)johndoe6523rp: 関さんは半分冗談だよ
[5908.857] ukiyo55: 釈迦さんもやってるよスト6
[5915.650] tanakabakuhatu: LPすごい
[5917.104] bebebebebebeebe: 減る
[5922.095] (S)chachachakoma: 火力ｗ
[5922.680] ggotsu: 半分本当なのが関優太の凄いところ
[5925.887] (S)こたのすけ: マスター到達者向けの次の目標も欲しいところではある
[5926.281] OKG_TWIN: 名前でわらう
[5927.289] booby_one: なんだかんだ結構みんなやってるの俺嬉しいよ
[5931.052] xyz1648: 関さんのは切り抜き動画のせいで誤解が増えた
[5931.191] (M)Moobot: ＊＊新ヘッドセット登場＊＊ HyperX Cloud III -- ヘッドホンクッションが大きくて柔らかいので耳が痛くならないよ！ → https://hyperx.gg/42XVwOf
[5932.882] MaouOreo: oooo
[5934.043] (S)tilia211: ラシードを待ってる男もいます
[5935.185] bebebebebebeebe: やる
[5937.997] (S)Ai_Ingu: WOW
[5939.651] nellright: ZETAに格ゲーチーム要望出してたよね
[5939.703] roro_gc: 釈迦さんもダイヤ行きそうよね
[5939.952] (S)chachachakoma: おお
[5941.187] (S)すれいまん: 状況判断すご
[5941.305] naginagi99: なんだかんだ続けてくれてるし、CRカップで興味もったビギナー層も楽しい言うてる人けっこう見る
[5944.962] (S)muteking510: にじさんじの配信ゲームは案件ガチガチなんでしょ
[5946.921] yakinikudragon: じょすくーる
[5950.630] OKG_TWIN: てか、名前で大喜利してる人めっさ増えたねｗ
[5952.509] dai920: 続けてくれるの嬉しいよね
[5957.326] titilrin: 正直カルビはすぐやめると思ってたから見直した
[5963.481] 墾田永年私財砲: 今作簡単に名前変えられるからね
[5964.145] chanmipoin: ア○ル氏って例の騒動でオレトレの司会から外された感じ？
[5966.906] goozy009: それもこれも、釈迦とこく兄の出会いから始まったところはある
[5971.471] yakinikudragon: おおおおおおおおお
[5971.717] one596: やり続けるって別に毎日配信しろじゃないからな、たまにやってくれるだけでもありがてぇ
[5976.287] (S)tilia211: 有名Vは仕事ギチギチだろうな
[5976.760] iwasyi_k: うますぎwwwww
[5979.296] wave731: つええ
[5979.550] ggotsu: マスターの後のランクって追加されるのかな
[5979.671] pettan_omochi: 個人じゃないVは好き勝手出来ないからしゃーないよね
[5982.132] (S)Ai_Ingu: tsuyoi!
[5982.413] (S)kinpbro: umeCossack
[5985.737] echa_pi: わふー
[5988.269] (S)chachachakoma: つんよい
[5990.174] OKG_TWIN: このゲーム毎日やるの止められなくなったらある意味やばいよｗ
[5992.065] Lazylink88: Use an ice clone 🧊
[5996.545] xyz1648: なんだかんだいろんなパイプ作ったこく兄はすげえよ
[5996.750] (M)Moobot: ＊＊新ヘッドセット登場＊＊ HyperX Cloud III -- ヘッドホンクッションが大きくて柔らかいので耳が痛くならないよ！ → https://hyperx.gg/42XVwOf
[5998.099] (S)Nagare765: そこに〇付けるのやめろ
[5999.649] nellright: かるびはED使うまではやるのでは？
[6000.743] Fumimaru_Rx: たまに配信者同士で戦うだけでも全然おもろい
[6001.072] AkikunnFenrir: ＫＯＧさんが逆ハマりしてるのわらうｗ
[6002.241] sinsin565: 今はやるゲームないだけでやりたいゲームあったら他いくでストリーマーは
[6005.127] 小嬰霊: GivePLZ
[6006.858] easter19xx: 対空が
[6007.463] gondawaragon: そういえば何も話さない対戦垂れ流し配信についても話題になってたねｗ
[6013.477] kimi_3_: 関さんは今日もトレモに篭ってるんだろうな
[6015.132] (S)もちづきたろうさん: 葛葉は裏でもスト6やってるみたい
[6016.068] heijitusan: 葛葉さんと叶さんのビックリマンチョコ売ってたなｗ
[6020.317] takuemon44: もともと配信してたゲームや案件とかいろいろ忙しそうやし
[6036.836] OKG_TWIN: それでいいんだよ、今まで「やるゲームないからやってる」ってのさえなかったんだからさ
[6044.625] yakinikudragon: 熊本の田舎のスーパーにも撃ってるからすごいよな
[6048.715] yukke85: いまディアブロとかFFとか結構やるゲームある
[6051.364] yakinikudragon: 売ってる
[6052.565] ukiyo55: FPS勢はタルコフワイプきたら忙しいだろうな
[6055.240] OKG_TWIN: スト５見向きもしないストリーマーが大半だった
[6057.070] naginagi99: １ゲームが長いゲームじゃないから、スト６はちょいちょいやりやすい気はするけどな
[6057.542] (S)chachachakoma: おっしい
[6066.208] (S)echizen2000: ねばり慣れてるね
[6072.510] yakinikudragon: うめええええええ
[6073.257] bebebebebebeebe: あつよる
[6076.712] xyz1648: 今期のタルコフワイプはでかいのなさそうだし、やる人多いかわからん 年末の方が多そう
[6078.254] (S)chachachakoma: あつよるぅ
[6080.099] (S)fahmy0825: holy damage
[6080.191] berurusuko: 葛葉さんとか釈迦さんとか関さんは元々5触ってる
[6080.332] あり0221: 全体はもっと増えて欲しいけど普段の配信はあまり人多すぎない方が個人的には嬉しいかな。流れ早すぎるの苦手。
[6080.671] booby_one: マッサージ
[6081.009] 酒樽仙人: てぃぷ伍長 subscribed at Tier 1. 
[6081.936] goozy009: ま◯さんが、対戦相手いない時のつまらなさを語っていた時のやつ思い出した。
[6082.599] (S)ましゅダヨ: FFより格ゲーのが今配信多いのすごくない？？
[6082.974] hodanonn: うめこんばんちわ
[6083.266] pettan_omochi: 関さんはディアブロのCM出てたのにスト6ばっかやってるよねｗ
[6084.345] roro_gc: あつよるのパンチ気持ちよさそう
[6087.875] yakinikudragon: チャカ！！！！！！！
[6093.026] 墾田永年私財砲: ホロの人が全然関係ない配信やってる時でもV仲間をスト6に誘ってるところ見たよ モダンの気軽に誘える力ありがてえ
[6093.107] (S)johndoe6523rp: エグゾプライマルやるんじゃないか
[6101.070] OKG_TWIN: 問題はスト６、やり始めたら止まらなくなることなんだよな 気づいたら再戦押してまう
[6103.601] (S)ましゅダヨ: www関さんディアブロやってないなあwwww
[6103.865] かりせん: DJつええな
[6112.862] (S)chachachakoma: 端こええ
[6114.593] yakinikudragon: リニア
[6122.213] one596: ラシード来たらどうなっちまうんだこのDJ使いのひとw
[6130.641] okistay: リニアはええ
[6131.221] (S)chachachakoma: リニアｗ
[6133.090] pettan_omochi: CMで使ってた斧だけはワイプに映ってるｗ
[6133.585] (S)ましゅダヨ: DJボイス好きww
[6135.466] yukke85: レジェ掘ってあんなにテンション上げてた関さんどこ・・・
[6136.047] yakinikudragon: 置石しよう
[6140.965] OKG_TWIN: バッタ→リニア→置き石→チャカ
[6141.127] ごまむぎちゃ: そろそろやめるかで間違えて再戦押しちゃってマッチ速すぎてしょうがないからもっかいやるかまでテンプレになってる
[6143.214] (S)tilia211: Diabloは今じゃなくてもいいからな
[6144.004] Sgt_Pincell: rbmotJefinAproves
[6145.875] サメカツ1999: DJ使いのラシード使いになりそう
[6147.879] hodanonn: 圧が
[6149.563] goozy009: リニアはガチで磁力無くなると無敵無いしそこが怖い
[6153.233] muck_339: こうしてみるとやっぱ無敵昇竜はリスクあるけど色々便利だなぁ ザンギにも欲しいなあ
[6153.802] niemalsaufgeben: 発売してすぐやしいい時期でしょ
[6157.911] hato_pizza: すげえ
[6160.320] (S)luaetoile: わーお
[6163.584] (S)chachachakoma: 間合いがすごいｗ
[6166.372] okistay: オギャア!
[6171.363] kimi_3_: 磁力切れたあ
[6172.076] tabibitox: ザンギに無敵なんて許されるわけがないｗ
[6173.265] Fumimaru_Rx: 間違えて再戦押しちゃうと、満更でもなくなるよね
[6178.592] heijitusan: このゲーム無敵ないとやｔってらんよなｗ
[6183.354] yakinikudragon: がに股怖いんだよな
[6184.300] OKG_TWIN: ランクマまじでマッチング早いよね。試合終わって１０秒たたないうちに次見つかるもん
[6189.729] 二丁目: ザンギにアムネジアつけて皆キレさせよう
[6196.921] (S)johndoe6523rp: ラシードも無敵なしでお願いします
[6198.025] (S)てべす1103: フレーム体感消費精度めっちゃ高いな
[6199.849] kamiya1979: ザンギダブラリめくり対応欲しい
[6200.861] (S)chachachakoma: もうリニア普通にとめてるんだよなぁ
[6208.456] (S)tilia211: スト６はゲームとして早いから再戦押しても、ままええかってなる
[6208.504] bebebebebebeebe: ザンギにリニア付けるか
[6208.513] hodanonn: 歩くー
[6209.915] OKG_TWIN: ザンギ使いはSA3をODアムネジアでとられて切れてる人がたまにいる
[6209.949] (S)すれいまん: なんで中足当たった時だけDラッシュ出してるの
[6211.474] MaouOreo: Clap
[6211.585] (S)hsbcbcc: Niceeee
[6211.741] yakinikudragon: シルバー帯にDJはあんまりいない
[6213.035] booby_one: ラシードに無敵あったらキンちゃんの立場が…
[6213.616] okistay: 置き石
[6214.722] (S)chachachakoma: すげえｗ
[6215.361] ironia_: わお
[6215.531] kireisuki21: うまー
[6215.834] revjet: ラッシュに中KTCいいよね
[6216.476] (S)Ai_Ingu: 8888
[6216.579] muck_339: そうねザンギのダブラリめくりくらいは欲しい
[6220.092] (S)Nagare765: 180美味しい
[6224.593] pettan_omochi: マッチング止めるのにもたもたしてるとすぐ止めれなくなる
[6224.932] (S)chachachakoma: 置き石を常においているウメちゃん
[6225.923] goozy009: 次回スト7にマリーザとザンギの子供が誕生しネモが全力で政治をはじめる
[6226.267] AggressionJV: +180 
[6229.252] (S)ましゅダヨ: 関さんは案件より断然スト6やりたいのわかっちゃうからなあ、案件減りそうでそれはそれで心配
[6231.747] tullut: ジャンプアウトに対して、ドラゴンパンチの代わりにEXドラゴンラッシュは機能するか？
[6232.352] iwasyi_k: LP高い人はちゃんと強いな
[6232.534] ロケッティア: このリニア各停か？
[6234.381] OKG_TWIN: マッチングはっやｗｗｗ
[6238.823] hato_pizza: リュウた
[6239.483] サメカツ1999: リュウ！
[6242.067] doka_ta: さすがの昇竜筋
[6244.019] inpma555: ラシード無敵あるかまだわかんあいよね
[6245.072] (S)chachachakoma: すぐｗ
[6246.042] 伸手娘: ✌
[6247.664] (S)Nagare765: お母さんかよ
[6249.687] niemalsaufgeben: 今ならアムネジアがいいか無敵昇龍がいいかJP使いならどう答えるだろ
[6251.956] muck_339: 道着対決はいつ見ても楽しい
[6254.156] (S)ましゅダヨ: リュウケンじゃーん
[6254.316] echa_pi: たかし
[6254.608] yakinikudragon: あ
[6259.784] xyz1648: マリーザザンギの子どもってもうたかしはファイターできない時代に
[6266.776] あり0221: ラシードが強い、不快度指数高いは朝日が昇ることと同じように確定している
[6277.673] kireisuki21: 格ゲーやったことないけど、ウメちゃんの見てたらケンが最強にみえる😆
[6280.350] muck_339: マリーザザンギミカでまず三角関係作らないと
[6286.432] 墾田永年私財砲: 格ゲーやれっ
[6288.257] berurusuko: リュウはちょっと触る分には火力あるし簡単で楽しい
[6293.865] one596: ラシード使いはオイルマネーを信じている
[6295.033] porukaoruka: なんか５ｃｈ吹っ飛んだらしいｗ
[6295.848] OKG_TWIN: 剛拳「せやな」
[6297.108] booby_one: ワールドツアーやりなー？
[6297.924] 二丁目: ラシードは弱かったら弱かったで次シーズンに化け物みたいに強化される
[6298.430] matchforest: なんて絵面がいいんだ
[6298.592] vungo_mr: たかしは電刃もってて端で大足刀パニカンさせれば6700減らせるんだ！
[6299.344] prototypeie: リュウ使いやすいしすき
[6302.423] 鷹村: ^_^
[6307.383] 蓮華プロデューサー: 圧倒してるなぁ
[6309.188] (S)guest324438: C使用率78％おじさん
[6309.742] enden7777: リリィ使いの人たちはラシードに対してヘイトすごそう(偏見)
[6322.219] (S)johndoe6523rp: ラシードはEVO前に来ますか？
[6323.568] (S)tilia211: でもラシードは嵐だから・・・
[6325.978] (S)ましゅダヨ: 使いやすいって割とみんな言うよねリュウは
[6328.274] (S)chachachakoma: はやいｗ
[6328.416] ロケッティア: お前もケンにならないか？
[6328.842] hodanonn: つらい
[6329.348] berurusuko: リュウはシミーで大k当てるとマジで火力やばくて笑える
[6330.017] (S)meat114kg: たかし・・・
[6330.326] 二丁目: おじしか使ってないキャラ
[6331.161] niemalsaufgeben: いいね
[6333.520] (S)luaetoile: つええ
[6333.929] kireisuki21: 👏👏👏👏
