[35.791] tarantarantaran: umeYay
[4956.529] ~MISSING_COMMENTER_INFO~: あと封筒６つ回収や！
[4956.955] kame277: 封筒は体の一番近いところに
[4956.962] rm_rf__: あれ？封筒は持ってきてない？じゃあ...
[4957.929] thunderbolt0422: 封筒ほんまおもろいｗｗｗ
[4959.831] shumatsu623: 古来から封筒使い
[4961.584] sengoku_cyber: おふだ集めクエストよ
[4962.103] NekoPunchKick: なんで最近黄色好きなの
[4965.295] sdy_hs: 最低六枚だもんな
[4969.361] laponta: 車だと地味にめんどいな
[4971.394] kokusairengou: あそこも車止められるかなあ
[4971.424] millioniwashi: 封筒に肩たたき券入ってたらどうするよ
[4974.819] 顔面ユッケ: お見舞いだからね
[4979.387] morinagasyuya: 新装オープンしたばかりのメイト
[4981.055] ishiwata1234: 封筒は用意するのが大変だからね
[4981.970] tomitakun: ガソリンへいき？
[4984.102] kokusairengou: 無敵家の方から行くんじゃないかな
[4984.727] suginaka56: あと何件
[4988.300] fat_design: 1人目がいい流れ作った
[4990.779] dohyaaaa: これどういう企画ｗｗ
[4992.759] 黒猫くん: 無理すんなよ封筒は絶対に必要じゃないんやでw
[4993.392] tondemonaiyo: 封筒より面白お土産のがいいじゃん？
[4996.866] chanmipoin: この配信すげーな
[4999.516] junjamaica: 一つの事故から始まった物語
[4999.616] EDN3rd: 封筒渡さなきゃいけないような流れは良くないね
[5000.235] sasakumadrops: 無類の封筒愛好家
[5001.076] jacofrost: なんか受け子みたいだなｗ
[5001.864] hotokemax: 別に封筒を用意しなきゃいけないわけじゃねえからさw
[5008.061] ~MISSING_COMMENTER_INFO~: 封筒が一番うれしいです
[5008.592] kkshkk: 切手も好きだよね
[5009.703] puertoescondidomota: 一人目が封筒くれたから
[5010.577] laponta: あー無敵屋ね
[5010.665] suginaka56: 1人目見て封筒用意する流れになってるのなw
[5013.200] kimie_white: 事前に車停車する場所はさすがに下調べきつか
[5013.627] hoehoeR: 受け子ｗ
[5013.890] ーおろー: 封筒の中身チェックは？
[5015.571] あらぐまん: 封筒は急に準備できない人もいるだろ
[5019.833] millioniwashi: いまコンビニで封筒買ってるかもわからん
[5021.638] potocki1810: うけこw
[5026.127] fat_design: 優しいカツアゲ
[5026.549] kaigaizei: 星矢のほう普通に価値高そうだしな
[5029.091] kame277: 封筒はえいたにあげようぜ。ただの紙だし
[5031.921] chin_56_: もう郵送してもらおう
[5034.232] toropuni: 封筒にファンレター入ってたらキレちゃいそう
[5036.845] buretan555: むしろ最初の人は用意できなくて封筒だった希ガス
[5037.250] 万年プラチナ: 今流行りの受け子
[5040.619] suzan_star: 完全に手押し
[5042.561] どみのん: 封筒セットじゃないと笑顔が見れないw
[5042.826] super_misokatu_jijii: 池袋だ！
[5048.269] yuuubin: 最初のド直球封筒は笑ったね
[5051.021] 1678923482: 封筒に裏切られた時のkskの顔が見たいねえ
[5059.948] lunanexus360: これハリアー？いいクルマ持ってるね
[5064.326] いぬみみ: 西口ついたｗ
[5065.025] tosshy_type89: レターパックで現金送れ
[5066.772] ユ一キャン: 大丈夫？私服警官とか覆面パトにつけられてない？
[5069.175] rm_rf__: 封筒で誰かボケ仕込んで欲しいなぁ
[5074.589] baibai29: 甲
[5075.188] laponta: ミートさんがいる建物映ってた
[5076.256] 万年プラチナ: 出し子もいれば受け子もいるか
[5077.184] balthazar000: 妙な流れ出来ちゃった
[5077.468] gorugoru123: 飛び入りからの封筒とかいう
[5080.573] sengoku_cyber: 就職活動面接のスーツじゃなくていい程度の封筒不要
[5081.392] thunderbolt0422: あれもらった瞬間最高の笑顔でたのが最高だったｗ
[5081.993] kame277: 封筒マニア、封筒に目がない
[5083.005] ビフィダス: www
[5084.131] gajonaori: 逆ウーバーで封筒よこせは全て詐欺です
[5084.872] hodanonn: すべては封筒からはじまった
[5084.960] gorogorogorn: 飛び入りは仕方ないよｗ
[5085.228] feel2525: 初手封筒のパワー
[5093.525] ooooo38: さっきデカい人映ったけどBAN平気？
[5095.577] amaterasdesign: 封筒で一段企画が跳ねたよね
[5096.204] junjamaica: 封筒物語
[5098.247] hotokemax: 国税にご注意を
[5098.259] kokusairengou: この右斜め前にミートいるぞ警戒しろ
[5101.950] yano_mokuzu: そこら辺のウサギの焼肉の店オススメです
[5104.007] buretan555: 顔出しNGでミートさんが札束持ってきたら笑うわ
[5104.110] bufuagi: サンシャイン通りの近くのアニメイトかな？
[5108.959] sistersguitarreplica: あぶなw
[5109.381] squall_2017: KSKさんが一番大好きな封筒
[5115.617] toro0524: 風水
[5115.914] feel2525: ミートはやまるなよ
[5119.199] 157655: 風水かな
[5119.215] NekoPunchKick: 方角もBAB？
[5119.399] gorugoru123: 「いる」
[5120.261] ビフィダス: 配信で聞く名前の人が次々
[5120.873] Coedawg: yucchoNaku
[5120.900] mukade3: ミートレーダー常備したほうがいい
[5121.595] shibaponz: 鬼門か何か？
[5122.328] baibai29: 方角ｗ
[5123.517] twitwitwich17: 直球エンベロープ
[5123.682] suginaka56: 映ったらbanか
[5124.412] DACKT711: ミートさんは、ここでなにしてんの？
[5125.502] thunderbolt0422: 鬼門
[5125.878] kame277: ミートってツイッチでなんかしたの？w
[5127.668] momochan6: どんだけ警戒してんのよｗ
[5130.615] Norsest: 映せない人
[5132.638] kaigaizei: ミートinからのBAN
[5133.252] junjamaica: 配信見たら拗ねるだろうなたけし
[5134.301] hotokemax: 今映らなかった？？
[5135.292] EDN3rd: 封筒は絶対じゃないと言ってあげて
[5135.767] gorogorogorn: 奏でる音もバンなのかな
[5139.947] rm_rf__: 封筒ってワードがちょっとおもろいもんなぁ
[5144.557] tomitakun: 混み混み
[5145.057] piyopiyomaru555: ムーミン谷の氷姫だから
[5145.086] 黒猫くん: パァン
[5145.215] sengoku_cyber: ニュータイプはお互いの存在が分かるのよ
[5151.233] thunderbolt0422: なるおでも永ＢＡＮならないのに、ミートさんは一発だからな
[5152.407] kaomoji3: ドラゴンレーダーの如くミートレーダー欲しいね
[5153.140] 遼は肉が好き: もし映り込んだらモザイクだねw
[5156.295] triton11519: triton11519 subscribed at Tier 1. They've subscribed for 50 months! 
[5156.356] (M)Moobot: @TRITON11519さん、50ヶ月目のサブスク登録更新！ありがとうございます！
[5175.301] junjamaica: 逆にリスナーが封筒儀式を止めていこうｗ
[5179.366] 000105: スクウェアのトムソーヤのふこうむしみたいだな ミートさんｗ
[5183.386] super_misokatu_jijii: 信号長くない？
[5186.827] kame277: 封筒おさらいも最後にしてね
[5188.860] millioniwashi: いま金おろしてるかもわからん
[5191.246] twitchyarutch: 映った判定どうやってするのかな？
[5197.208] triton11519: 今日寒くない？
[5203.073] twitwitwich17: 封筒はお年玉だよ
[5205.743] kagaff11: 風邪ひかないように
[5206.998] イゼット: 封筒orBAN
[5210.923] low_single: 存在がBANされることある？
[5212.062] DACKT711: えいたのＤＭにも音沙汰ないの？
[5221.529] ooooo38: 封筒渡さなきゃいけない風潮
[5223.254] 遼は肉が好き: 写せない人、惜しい人だったねー
[5226.885] kokusairengou: マルイが消えてる…
[5229.155] hotokemax: 逆ミート方向だな。これで安心だ。
[5235.725] madahaya: ミートさんの封筒めっちゃ凄そう
[5237.595] redbull_daisuki: ハンサムをSOSゴールに導きKSKを封筒に導くDのナビ
[5247.744] ちぇげばら: おいおい
[5248.465] kame277: へぇー
[5249.075] tonpon53: 消えた
[5254.021] ちぇげばら: って読んでた
[5255.580] twitchyarutch: おいおい
[5256.189] wankoro_moti: ｗ
[5256.944] thunderbolt0422: 今こんなんなってるのか
[5257.824] iguchiill: 呪いか
[5258.805] momochan6: 丸井もなくなる時代か
[5258.853] kaomoji3: 建物消えるとビビるよなぁ
[5259.031] cielcloudy248: だから潰れた
[5260.243] sistersguitarreplica: あるあるやね
[5260.827] HirocoT: ；；
[5265.262] 遼は肉が好き: クレカwww
[5266.986] うきね: ｗｗｗ
[5268.029] suzan_star: 悪魔的だ
[5269.527] thunderbolt0422: ｗｗｗ
[5269.589] NekoPunchKick: かかわられただけで・・
[5269.601] tansan_cola: 封筒で新しいバイク変えるのかな？
[5270.256] triton11519: そのクレカどうなった？
[5270.629] gomeeen: 最初の限度額
[5271.510] myaaaaaa123: ミートさんに封筒貰いにいこっか
[5271.676] kkshkk: 信用がまだあった時代
[5272.286] kame277: けーすけ所縁の地なの？
[5272.452] 泣き虫サクラ: 逆にミートに何か貰いに行こう
[5274.050] shumatsu623: 「一番初めに作ったクレカ」
[5275.207] chin_56_: 今やもう作れない
[5275.678] kokusairengou: 草
[5275.958] (S)エメドラ: クレカはもう使えないんかな
[5279.203] triton11519: キャッシング今井
[5280.481] gorugoru123: 今はもう・・・
[5280.941] kiku1133: まだ借りてみたい！
[5281.569] junjamaica: マイナスストーリー
[5286.496] hodanonn: あはぁ
[5286.587] kame277: 草
[5289.257] millioniwashi: 今はもらうと事をしってしまった
[5291.794] rm_rf__: 借りすぎたw
[5291.946] triton11519: まだ借りたい
[5292.041] suzan_star: 自転車人生
[5293.529] Coedawg: yucchoNaku
[5294.062] sistersguitarreplica: KSKさんっていまクレカないの?
[5296.320] 157655: まだ借り入れたい
[5296.917] potocki1810: www
[5297.647] kaigaizei: なんなら今も増えてるし
[5297.978] buretan555: 官報載っちゃってるからなぁ
[5299.240] thunderbolt0422: 6000万を3億にした男
[5299.887] ooooo38: ウメちゃん西武池袋のじゃんがら行ったことある？
[5300.801] (S)dufushi: 借り過ぎたんだ…腐ってやがる
[5307.995] DACKT711: ﾏﾀﾞｶﾘﾃｲﾀｲ
[5315.010] kiku1133: EPOSカード
[5323.557] triton11519: KSKさんって楽天カードの審査落ちたんでしょ？
[5327.530] hotokemax: 田舎から出て初めて見たときに「オイオイ」と読むのは、田舎者あるある
[5332.640] yuzubox: ｗｗｗｗ
[5335.393] sistersguitarreplica: 草
[5335.802] momochan6: 真ん中で止まるなｗ
[5339.786] ooooo38: 内カメにしなきゃ！！
[5341.709] いぬみみ: ｗｗｗ
[5344.014] ながしめん: ここの信号ね
[5350.101] bajjio1976: 確かにwなんだここの信号
[5351.409] kokusairengou: ドラレコ配信
[5353.234] kiku1133: 東京は怖い
[5355.358] thunderbolt0422: 初狩りか？
[5369.077] gomeeen: 矢印でんがや
[5370.128] kimie_white: こんな都会のど真ん中きついな
[5372.068] momochan6: 信号やべえな
[5372.868] chin_56_: きまじー
[5376.428] laponta: 東京マジで初狩り多い
[5376.538] burisuke: 東京怖くて走れない
[5381.235] kagaff11: じゃまｗ
[5381.883] lg99632: 西池袋の五差路?
[5383.337] gorugoru123: ハメじゃんねぇ
[5384.194] くういぽ: ごめんやで
[5384.376] buretan555: 長いな
[5384.659] triton11519: 池袋は特にゴミゴミしてる
[5387.668] thunderbolt0422: すまんな
[5388.755] どみのん: 慌てて封筒買いにいってそう
[5391.770] metalmomonja: 東京とか絶対走りたくねー
[5393.695] kiku1133: 気まずい
[5394.909] 憂う者の弟子: なんだこの田舎門はあああ
[5395.740] cielcloudy248: 右折車からの視線が痛い…
[5396.833] junjamaica: 同業者いっぱい通る
[5400.872] Ryotatata: こんなん初見じゃ絶対分からん
[5402.122] kame277: 運転したくないねぇ
[5405.212] wakky1114el: 初見に厳しい
[5405.284] 泣き虫サクラ: 超シノギタイム！
[5407.518] amaterasdesign: タクシーも多いな
[5407.841] gomeeen: めちゃくちゃ交差点内で待つやん
[5409.122] donder112: 澁谷から六本木一生たどり着けなくて草だった
[5421.125] simple_geek: simple_geek subscribed with Prime. They've subscribed for 30 months, currently on a 1 month streak! 
[5421.227] (M)Moobot: @SIMPLE_GEEKさん、30ヶ月目のサブスク登録更新！ありがとうございます！
[5435.126] kkshkk: 海老名スルーはきつい
[5440.172] miseumo: 何時までかかるんだろ？
[5443.241] ジャラ: 海老名勢みてますよ！！
[5444.433] kiku1133: 寝ちゃった☆
[5445.310] kimie_white: 海老名PAでかいぞ
[5446.658] kaigaizei: 到着は明日
[5453.114] feel2525: SAで食事できるね
[5453.285] piyopiyomaru555: これテッペンいきそう
[5460.377] nikukuisugi333: なんだかんだいい時間だな
[5460.515] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[5463.404] Ryotatata: 真面目に日回っちゃいそうやな
[5465.733] komine58: シノギも大変だよ
[5466.258] kokusairengou: でも何時になるか分からん不安ありそう
[5468.143] gomeeen: 今です！
[5468.551] hahin44: まだ目黒きてない？大丈夫ならいきたい・・
[5470.419] chin_56_: うおおお
[5470.772] HirocoT: ｗｗｗ
[5471.055] millioniwashi: 草
[5471.070] いぬみみ: ｗｗ
[5472.680] peperon17: これやばいっしょ
[5472.847] thunderbolt0422: ｗｗｗｗｗ
[5473.021] gesona: はやっ
[5473.531] NekoPunchKick: 3秒ｗ
[5473.812] yuzubox: ひでえｗ
[5475.009] クラクラ777: はめやんｗ
[5475.061] harvestea: 信号おわってるｗ
[5475.125] wakky1114el: ｗｗｗ
[5475.701] Coedawg: naru04Nltu
[5476.489] (S)dorayann: ｗｗｗｗ
[5476.629] あらぐまん: はやｗｗｗｗｗ
[5476.822] amaterasdesign: っっっっっw
[5477.718] buretan555: あんだけ待ったのにｗ
[5477.789] momochan6: えぐいなあｗ
[5478.744] aranami0: ｗｗｗｗ
[5478.822] kiku1133: ひどいよ
[5479.255] morinagasyuya: ！？
[5479.804] enuemu3: エグいて
[5480.272] sarah_0519: wwww
[5480.299] inkgran: 早過ぎんだろｗ
[5481.271] wankoro_moti: ｗｗｗ
[5481.958] ekusu00x: wwwwww
[5483.043] mevius003: なんだよこのp信号ｗｗ
[5484.095] kebiisi: ハメw
[5484.277] クラウ07: w
[5485.321] 憂う者の弟子: ほぼ右折禁止
[5485.377] gorogorogorn: アクションゲームやんｗ
[5485.832] gomeeen: ２F
[5485.862] Ryotatata: 信号の意味ないやん
[5486.293] peperon17: はよアプデしろ
[5487.625] Nishi_Poteto: バグっとる
[5489.817] thunderbolt0422: ハメじゃんねぇ
[5491.781] iguchiill: 初狩りやな
[5492.428] komine58: 信号とはｗ
[5493.031] enuemu3: アプデはよ
[5493.236] junjamaica: テント募集しとく
[5494.435] kame277: 4フレ！？？
[5495.082] hotokemax: マジで終わってる
[5495.254] mizu0525: 東京の道路まーじ走りたくねーｗ
[5496.640] millioniwashi: 納得性が低い
[5496.795] suzan_star: 5分に1回3秒
[5497.047] potocki1810: はややwww
[5497.847] chin_56_: いじわるかよ
[5498.432] ながしめん: 昔ウメさんとこのへんで握手してもらったわ
[5499.466] ナターシャ0083: ぶっ壊れてんっだろｗ
[5500.366] triton11519: 早すぎて俺じゃ無きゃ気付けなかった
[5501.059] HirocoT: 右折は台数限定ｗ
[5501.121] cielcloudy248: ゲーマー信号機
[5502.284] low_single: シムシティなら不満出まくるよｗ
[5504.746] komine58: wwww
[5505.173] kimie_white: あｗ
[5505.463] 157655: 別世界への入り口レベルのシビアさ
[5506.772] もきち555: いそいで
[5507.265] feel2525: これが東京か
[5508.013] Ryotatata: ほんま恐ろしいわ
[5508.701] underground0714: これはアカン
[5509.559] thunderbolt0422: ＫＳＫじゃなきゃ見逃しちゃうね
[5509.951] kaomoji3: 国土交通省に言えばええんか
[5510.864] dohyaaaa: あと何件逆UBERするの？
[5513.320] gesona: 停止線がないｗ
[5513.396] くういぽ: 気まずいよー
[5513.427] komine58: さっきのが停止線かｗ
[5514.034] kokusairengou: 右手交番ですが
[5514.680] peperon17: 東京で車ってこういうことかあ
[5515.489] NekoPunchKick: 車不利なんだねー
[5516.039] cafe_gondo: 都会は恐ろしいのう
[5516.836] balthazar000: 中心部はやばいねぇ
[5517.392] momochan6: 都会こわいよー
[5518.356] triton11519: 道路濡れてると停止線みにくい
[5519.034] (S)エメドラ: 待ち合わせすごいとこにしたなｗ
[5519.700] reganfa: 土曜日だしなぁ
[5519.942] tsubame0614: こんなとこマジで運転できんわ
[5522.343] hodanonn: すごい人込み
[5522.434] laponta: 交差点内じゃないここｗ
[5524.369] nagilay1: 東京の初狩りほんま終わってる
[5526.389] hotokemax: あと6件？？
[5527.901] bufuagi: アニメイト付近車入れるんかな
[5528.907] やあああ: ウーバーだ
[5529.722] kaigaizei: 今夜勝ちたい池袋
[5532.231] rm_rf__: もう車めんどくせえって感じるなこれは
[5533.034] miseumo: サファリ時代は自転車だっけ？
[5534.088] komine58: すごいとこに呼んだな
[5534.245] cielcloudy248: 自転車ｻｲｯｷｮ
[5534.470] kagaff11: しかも交番前
[5538.029] kimie_white: 停止線オーバー
[5541.836] donder112: 歩行者も多いからねー
[5543.102] gorogorogorn: ロサ付近かな
[5543.335] piyopiyomaru555: 車じゃ来ないないなぁ
[5543.530] thunderbolt0422: 都内で運転したくねぇな
[5543.895] hodanonn: ウーバーいた
[5544.769] onesolo52: しかもハリアーデカいしｗ
[5545.007] (S)エメドラ: これでだれもいなかったら悲しい
[5545.587] metalmomonja: 田舎とのキャラ差やばいなー
[5545.714] lg99632: 池袋は西口は結構魔境
[5546.018] mevius003: 同業者
[5546.702] Ryotatata: 警察気を付けてな
[5548.322] triton11519: 都心で車は無理ゲー
[5549.674] ノア1844: 普通に入れるのに駐禁とかもありますからね
[5550.169] hotokemax: 池袋さあ、そんな勝ちたいんだあ？？？
[5554.043] komine58: wwww
[5555.851] kagaff11: あぶねええｗｗ
[5558.339] ガチくんコス転売ヤー: なんだ今の
[5558.823] gomeeen: ゲェジ
[5559.560] peperon17: こっわ
[5559.912] yukke85: こえええｗ
[5560.097] suzan_star: おっぶぇ
[5560.577] tonpon53: こええよｗ
[5562.012] もきち555: やべえ
[5563.569] やあああ: 東京あるある
[5563.700] gesona: こわ
[5564.438] kiku1133: え？
[5564.763] thunderbolt0422: ゲェジ
[5564.840] kokusairengou: これが東京のタクシー
[5566.317] showsbsp: 強引なドリブル
[5566.573] kkshkk: w
[5566.884] rm_rf__: イニシャルDやん
[5567.197] (S)エメドラ: クラクション案件
[5567.513] yuzubox: ｗｗｗｗ
[5567.584] ~MISSING_COMMENTER_INFO~: 都内のタクシーやばいよね
[5567.836] mako6912: あぶねぇ
[5568.039] heterotopia3: 東京こわい
[5568.082] harvestea: 接触してもおかしくなかった
[5569.679] kame277: しの…
[5570.195] komine58: シノギチャンスｗ
[5570.690] ekusu00x: えぐ
[5571.508] peperon17: ｗｗｗ
[5572.003] triton11519: シノッ
[5572.275] (S)dorayann: ｗｗｗ
[5572.613] thunderbolt0422: シノギチャンス！
[5572.766] oimo: ｗｗｗ
[5573.285] nikukuisugi333: シノギ多すぎ
[5573.337] れく太: あーいててててて
[5573.338] tomitakun: なにこれ
[5573.738] 顔面ユッケ: 「治安」
[5574.186] inkgran: シノギチャンス
[5574.302] underground0714: シノギズム
[5574.652] mevius003: んっ！
[5574.659] 憂う者の弟子: しの！？
[5574.797] リンダマンさん: ｗｗｗｗ
[5574.926] millioniwashi: シノチャン
[5575.208] suzan_star: ｗｗｗ
[5575.701] momochan6: 当たれええええ
[5576.145] くういぽ: Www
[5576.277] kebiisi: シノ…
[5576.396] cielcloudy248: 都会のタクシー荒いねぇ
[5577.913] kiku1133: シノさん
[5577.930] low_single: シノ…！？
[5579.396] ナターシャ0083: しのしのしてきたｗ
[5579.448] gesona: クビがー
[5579.503] junjamaica: しのげる？
[5579.637] もきち555: シノシノしてきた
[5580.138] nitamago33: シノギズム
[5580.484] hiruanndonn: ｗ
[5580.624] buretan555: クリップ撮って送ったれｗ
[5580.720] ながしめん: haitani30
[5580.847] toro0524: ピンチはシノギｗ
[5580.994] gorogorogorn: シノシノしてきたｗ
[5581.999] potocki1810: わくわくさんw
[5582.070] NekoPunchKick: バックしてくｒ・・
[5582.194] tosshy_type89: SNG|KSK
[5582.354] chin_56_: シノシノ〜
[5582.601] peperon17: 配信までしてるしな
[5582.794] showsbsp: どられこ完備！
[5584.481] kame277: ｶﾞﾝｯ!
[5584.798] ~MISSING_COMMENTER_INFO~: シノシノしてきたぁｗｗｗ
[5585.799] fescap110: しのさん！？
[5587.955] クラウ07: 深くw
[5588.144] porcupinepine: もうひとシノギ
[5588.568] tabibitox: 差し込んできたぁ
[5590.074] donder112: 都内のタクシーはゴミ
[5590.087] gorugoru123: あとは流れでお願いします
[5590.633] hodanonn: 東京こわい
[5590.990] kaomoji3: 都会の運転はこええ
[5591.890] baibai29: シノギｗｗｗ
[5592.233] yusan090: しのる
[5592.973] (S)tibusa8: ！バックしてこい
[5593.373] suzan_star: シノギと撮れ高と
[5594.505] hotokemax: 無法地帯
[5595.197] komine58: シノさん
[5596.987] kokusairengou: ナンバーもバッチリ
[5597.091] wakky1114el: ドラレコ
[5598.200] ebibadi: レンタカーでシノギするのやば過ぎる
[5598.772] S4K4S4K4S: どこも実車中のタクシーは運転荒いなぁ
[5600.778] gomeeen: 何かに当たったが人だとは思わなかった
[5601.031] celsior_chan: 北口のあたりか
[5603.569] triton11519: 3年前はタクシーでしのいだKSK
[5606.568] thunderbolt0422: ｗｗｗ
[5607.368] ぐのたお: シノギチャンス
[5607.838] lg99632: 交差点内で止まってるから10-0は無理
[5608.587] shibaponz: 当身キャラかよ
[5609.257] cielcloudy248: 映像確認されると封筒も明るみになるという
[5609.997] nitamago33: レンタカーでシノギはバケモンだよｗ
[5610.148] kimie_white: あー首いてえー＾＾
[5611.664] Nishi_Poteto: 不便やな
[5611.880] いぬみみ: わんちゃん会社にナンバーも伝えてクレーム入れた方がいいレベルｗ
[5614.502] dohyaaaa: 都内はタクシーが一番マナー悪いしほんと運転下手
[5615.697] junjamaica: 配信中でもシノギる
[5615.795] rm_rf__: タクシーと事故ると勝てない言うけどあれでも勝てないのかなぁ
[5616.093] bufuagi: アニメイト前歩行者天国になってる
[5620.054] triton11519: タクシーは無茶するよ
[5620.420] porcupinepine: バックしてきても過失出るよ
[5622.781] low_single: 撮られてると思わんだろうなぁｗ
[5624.062] tonycrust: Bro that's Ikebukuro are you going to Safari Arcade]
[5626.514] donder112: ここ無理やりいかない通れないよ
[5630.023] puertoescondidomota: 人多いな
[5631.694] twitwitwich17: しかも同乗者はウメハラ！
[5633.278] ガチくんコス転売ヤー: ここ信号機ないのすごいな
[5635.031] cafe_gondo: 都会名物一生通れないやつ
[5635.570] reganfa: こういう中にさらっとミートさんいたら面白いw
[5636.196] suzan_star: 急ブレーキで首痛めたことにしない？
[5642.560] komine58: 道やばすぎだろ
[5643.851] gorilla_osaka: こい、しのぎ、こい
[5645.705] porcupinepine: ドラレコ全盛のご時世に
[5653.931] onesolo52: これは都民は車持たんわなｗ
[5655.043] twitwitwich17: アニメイトは移転した
[5655.403] wakky1114el: これ北口のとこか
[5655.419] あさつき教: 他の人のマナーに助けられてるんだろうな
[5659.426] chin_56_: どいつでしのごうかな〜
[5662.338] thunderbolt0422: 激熱地域ｗｗｗｗｗ
[5662.629] komine58: 封筒もらえるよ
[5662.777] 1108044k: まじこわい
[5664.262] ntctxtct: ぜってぇ運転したくないこんなとこ
[5667.109] aranami0: しのチャンス！
[5667.818] リンダマンさん: 熱いねここ
[5668.256] kaomoji3: ミートチャンスもある
[5668.952] underground0714: シノチャン
[5669.013] BobyMario: 激熱
[5669.985] 泣き虫サクラ: ここグルグルするだけでいい
[5670.182] kiku1133: ここグルグル回ろうか
[5671.418] momochan6: 逆に当たりやくるかもよｗ
[5672.036] komine58: 封筒寄越せー！！！
[5672.422] gomeeen: ミサイル当たれぇー
[5672.939] enuemu3: wwwww
[5674.316] peperon17: こーれ折れてます
[5674.587] hodanonn: ネクストしのぎ
[5675.159] どみのん: 激アツ地域ww
[5676.293] thunderbolt0422: 西成のヤバイやつ
[5676.684] nitamago33: ｗｗｗ
[5677.207] low_single: シノギーランド
[5677.351] いぬみみ: 池袋北口は893多いからねｗ
[5677.570] millioniwashi: これ金だろ！
[5677.856] kokusairengou: 北口はアッチ系の人いるから気をつけてなｗ
[5678.982] tonycrust: Go to the Muscle Girl Bar Daigo please DAIGO!!!
[5679.000] kimie_white: いだいいだいいだい
[5679.626] 157655: ３むち打ちぐらいいくぞ
[5679.823] クラウ07: やばw
[5680.997] lg99632: 無敵の人にぶつけられたら回収できないから気をつけて
[5681.071] porcupinepine: 折れた折れた折れた！
[5681.538] kame277: 池袋はしのぎの名地…
[5681.861] kagaff11: 北口ホテル街
[5682.185] reganfa: 実際ぶつけて真顔KSKさん出てきたら怖いわw
[5684.159] hotokemax: ワンチャンミート
[5684.622] moscat0c7: シノギポイント
[5684.968] ユ一キャン: ワンチャン加害もあるで
[5685.007] (S)tibusa8: シノギフトが
[5685.107] tama_zx61: ここでもシノゲるな
[5685.749] ~MISSING_COMMENTER_INFO~: シノギタウン
[5686.532] junjamaica: 逆にtopプロも多いかも
[5686.854] kiku1133: いたたたたたたたた
[5687.863] thunderbolt0422: ｗｗｗｗｗｗｗ
[5688.589] taroumaruh: 俺この前ひかれたばっかなのにーーー！
[5691.418] nitamago33: まだシノギたい
[5691.739] komine58: シノギガチャｗｗ
[5693.415] 憂う者の弟子: 頸椎捻挫チャンス
[5694.763] gorugoru123: シノギ配信
[5695.860] millioniwashi: しのぎRTA
[5696.819] tonycrust: WHo is driving
[5697.853] triton11519: 結局三ちゃん骨に異常なかったし、兄貴のシノギ力見せてやれ
[5698.068] cielcloudy248: 中国で停車中の車にシノぐ映像まじ笑う
[5698.823] もきち555: シノギ配信やめてw
[5700.723] toro0524: シノギ待ち熱い
[5701.110] BobyMario: チャンスゾーン
[5701.353] れく太: 宝は砂浜じゃなくて路上にあったな
[5701.910] gomeeen: 割りと早くしのげそう
[5702.123] バーニングチャーハン: 足立区
[5706.775] junjamaica: さんちゃん立ってない？
[5708.450] ユ一キャン: 迷惑系配信者ksk
[5710.099] amaterasdesign: ハメやでw
[5710.432] porcupinepine: しのぐかしのがれるか
[5712.619] kame277: しのがれるの草
[5714.671] balthazar000: ウーバーで池袋第一優先にするか
[5715.064] NekoPunchKick: バックしちゃだめだよー
[5715.149] iguchiill: 弱肉強食
[5715.953] 泣き虫サクラ: 相手もまたシノギをしているのだ
[5719.727] feel2525: シノギストの集まり
[5720.115] komine58: シノギリセマラｗ
[5720.670] low_single: 街が車を排除する作りしてる
[5721.611] tonycrust: DAIGO PLEASE NO DRUNK DRIVING
[5723.298] potocki1810: あいてもまたしのいでくるw
[5724.419] mako_oswald: 当たられた瞬間フリーズ引いたーーって言うの？
[5725.976] chin_56_: あれしのげそうじゃない
[5729.191] gorogorogorn: 深淵のシノギｗ
[5729.338] sistersguitarreplica: Sflにシノギズムでれない?
[5733.684] kame277: 道ぐっちゃぐちゃだぁ
[5735.519] puertoescondidomota: 道難しいな
[5738.931] kiichip: 大量の封筒バレたらまずい
[5740.393] もきち555: 東京は運転したくないなー
[5741.765] ユ一キャン: シノごうとする時、相手もまたシノごうとしているんやで
[5742.641] どみのん: ここは他にもシノギいそうだねぇ
[5744.522] gomeeen: こういう奴のツラみたいねんなー
[5744.720] low_single: シノゲッチュ
[5745.131] ~MISSING_COMMENTER_INFO~: チャンスゾーン
[5746.259] kokusairengou: 飲酒運転ダメだよって言われてて草
[5748.533] komine58: 絶対運転したくね
[5750.296] junjamaica: さんちゃん差し込み待機してるかもだから注意よ
[5750.635] tako2525: 懐かしい。池袋東口から西口に車で移動する際に何故か目白通ったもんなー
[5752.192] (S)tibusa8: 指詰め師も待機してるかも
[5752.497] erukima: 東京は路駐もやばいよね
[5753.740] kkshkk: 新宿は楽
[5754.155] nakao1976: ありがとうございました！ はぁ緊張した。。。
[5757.462] enuemu3: 東京こわいな
[5758.669] suzan_star: 新宿は走りやすいよ
[5759.483] mako6912: 運転したくないわ
[5760.631] simple_geek: 新宿はちゃんと区画わかれててわかりやすい
[5761.601] hodanonn: もう暗い
[5762.263] miseumo: 新宿は立体構造が分かりにくい
[5762.888] komine58: いかに整理して作られてないかが分かる
[5764.764] hotokemax: 道に悪意がある
