[10.796] あかの: キター
[11073.783] Papapadad: お
[11074.948] おにゃにん: 屈大キャンセルからのライコウかな？
[11076.231] masapaka: 光だ
[11081.382] ryan75315: i always say true
[11082.443] (S)uomm00551: おかえりんこ
[11082.656] おにゃにん: おかえりなさい
[11086.602] ryan75315: 竹島の領有権に関する日本の一貫した立場 竹島は，歴史的事実に照らしても，かつ国際法上も明らかに日本固有の領土です。  韓国による竹島の占拠は，国際法上何ら根拠がないまま行われている不法占拠であり，韓国がこのような不法占拠に基づいて竹島に対して行ういかなる措置も法的な正当性を有するものではありません。  日本は竹島の領有権を巡る問題について，国際法にのっとり，冷静かつ平和的に紛争を解決する考えです。  (注)韓国側からは，日本が竹島を実効的に支配し，領有権を再確認した1905年より前に，韓国が同島を実効的に支配していたことを示す明確な根拠は提示されていません。
[11086.869] kirsch_jing: この世界に光が
[11088.938] (S)イエール: おかえりなさいませ！
[11091.199] (S)ゆっくり2121: umeCatHope
[11091.747] 5don: 光あれ
[11092.352] ~MISSING_COMMENTER_INFO~: 怖い空だな
[11093.928] セツリ: ぐは
[11094.458] inkgran: 助かった＾＾
[11101.171] masapaka: ちゃんとお尻ふいたかな
[11101.621] shiro_risu01: umeCat
[11104.954] nagisasaan00: お
[11106.424] ryan75315: 竹島の領有権に関する日本の一貫した立場 竹島は，歴史的事実に照らしても，かつ国際法上も明らかに日本固有の領土です。  韓国による竹島の占拠は，国際法上何ら根拠がないまま行われている不法占拠であり，韓国がこのような不法占拠に基づいて竹島に対して行ういかなる措置も法的な正当性を有するものではありません。  日本は竹島の領有権を巡る問題について，国際法にのっとり，冷静かつ平和的に紛争を解決する考えです。  (注)韓国側からは，日本が竹島を実効的に支配し，領有権を再確認した1905年より前に，韓国が同島を実効的に支配していたことを示す明確な根拠は提示されていません,,,,
[11113.166] たあぼ0126: 王の帰還
[11113.283] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[11114.753] ~MISSING_COMMENTER_INFO~: 臭うねぇ
[11116.591] sza_lay: umeWhat
[11122.284] みそらの: おかえりなさ～い
[11125.645] 5don: 自撮り助かる
[11132.355] おにゃにん: ローソンのトイレでしたか
[11142.147] cho_mu: umeYay
[11144.923] esoracrow: umeBoom
[11148.384] domontyan: うわあああ
[11155.900] ~MISSING_COMMENTER_INFO~: 凸者？
[11157.756] (S)ゆっくり2121: 音入った！
[11157.986] sza_lay: お？？？？？
[11160.977] Heitaso: どうだった？
[11161.977] ohigekujira: 世界に色と音が戻った
[11164.912] (S)uomm00551: スタビライザー優秀か！
[11167.548] (S)イエール: umeSalute
[11167.847] ジャンクばっち: おかえり
[11175.472] sza_lay: 焼き芋はじめました
[11179.022] Papapadad: 喧噪が心地よい
[11183.438] NekoPunchKick: 肉まん食べてました？
[11185.535] orihei: ウメさんはトイレだけ借りるの申し訳なくて何か買っちゃう派ですか？
[11189.243] よもぎです: 明治学院大学ですね
[11189.673] (S)BaTiTi6969: 再開GlitchCat
[11197.856] kitori_17: 明治学院大学です
[11199.001] songbenheming: 大学です
[11212.628] クラクラ777: 名門じゃん
[11216.251] ジャンクばっち: へー明治学院大かー
[11222.275] nagisasaan00: 明治学院って明治？
[11222.415] よもぎです: きれいですねー
[11222.800] songbenheming: 渡らない方がいいです
[11226.580] セツリ: ゴンタのTwitterでコードネーム発表あった メンバーは敬称略で梅、おしの、折笠、ミート、祐、大須、しゅーと、ゴンタです！
[11232.413] (S)yuki201709: ディスコードの設定で接続は出来たけどdiscord入れない教えて下さい 
[11237.042] nagisasaan00: シュート！
[11242.612] ~MISSING_COMMENTER_INFO~: おじのなかにシュート…
[11250.654] ddb365: 今日ですか？
[11254.804] (S)BaTiTi6969: お！シュートくん！
[11258.870] よもぎです: 明治と明治学院は別物とおもわれ
[11263.154] 5don: @yuki201709 アカウントを接続（連携）できたら、その欄の右端にある「参加」を押す
[11275.579] kitori_17: 明大と明学大は別ですね
[11276.781] クラクラ777: いいねぇ
[11278.892] monti370: ゴンちゃんありがとーっ
[11281.133] セツリ: 23じ！
[11282.276] nagisasaan00: シュートはレイドされたときにコードネーム誘いたいって言ってた♪
[11288.552] x_abu_xx: シュートは楽しみ
[11296.517] chinnen1: ミートさんはSFL中、指くわえて寂しそうだったよ
[11297.483] ジャンクばっち: おしのさん久しぶりー
[11297.598] meron: 明治と明治学院って別だったのかｗ
[11304.999] セツリ: １９：３３
[11307.677] ~MISSING_COMMENTER_INFO~: 勝ちたがりTVまで後1時間半
[11308.612] funacchi15: 7時半
[11313.587] chocolat1234: 19：33
[11320.010] nagisasaan00: べつなんだ
[11329.424] daizin0716: 家帰って一息つくなら1時間半前くらいには引き上げたいすね
[11336.326] クラクラ777: いいかんじですね
[11341.532] (S)ゆっくり2121: 9時くらいには自由が丘つきそー
[11348.590] songbenheming: ９時にはつきそう
[11353.836] よもぎです: もうかなり近いです
[11353.939] 1108044k: 下り坂の方が足腰への負担多いっていうけどウメちゃん的にはどう？
[11355.529] そるてぃ: あと１時間半ぐらいやない？
[11360.060] (S)matomona: 30分じゃつかないのでは、、
[11360.350] ~MISSING_COMMENTER_INFO~: まだ一時間半もかかるの？！w
[11373.880] songbenheming: 目黒通り出たら、ひたすらまっすぐ
[11391.141] Artemis_Reinhold: sakoKUROeddie
[11395.596] kitori_17: まだ山手線内なのでまだまだかかるかと
[11399.774] クラクラ777: うめちゃんのトークなら１時間半くらいギューーンよ
[11401.350] nagisasaan00: 坂にクロックスはきつそう
[11414.703] ~MISSING_COMMENTER_INFO~: そうですね
[11415.178] gomeeen: この脚、至高やねえ
[11438.705] daizin0716: 自由が丘から副都心で渋谷にでればいいすよ
[11443.432] (S)matomona: Googleマップ経路徒歩だと1時間30分と出てます
[11444.537] songbenheming: 東急大井町線
[11448.249] domontyan: ウメちゃん今は朝のトレモでもガイルって触ってないんですか？
[11452.293] ~MISSING_COMMENTER_INFO~: そんなかかるんだ
[11458.353] 1108044k: トパチャリルーク？
[11479.988] kingdom_sato: そのうちプロゲーマゆかりの地元めぐりとかやってほしいわ
[11496.700] domontyan: 満喫しますね～
[11498.661] みそらの: でも、ウメさんはグーグルマップの表示より早いですよね。 今までの経験上
[11498.927] reganfa: sakoさんもトパチャリルークらしいですね
[11498.960] nagisasaan00: ガイルがバケーションしてる
[11504.674] songbenheming: 帰りは大井町線で京浜東北線じゃないですか？
[11505.936] brutal9998: 同じ質問結構出るね
[11511.214] trickcheatfraudlie: kotaka vs yuvega fufufu vs sps whats next
[11521.340] 1108044k: ルークが本妻になる可能性あるの？
[11530.010] daizin0716: もしくは東急大井町で帰るかすわ
[11530.234] ~MISSING_COMMENTER_INFO~: 海外勢も獣道楽しみにしてるんだなー
[11533.519] taisa0131: ○○とは長いことやってないけどまたやって欲しいな
[11534.626] scarlet_cell: 右側の建物何？
[11539.155] scarlet_cell: 学校？
[11549.093] okamasa456: 秋葉原に帰るの？
[11549.222] (M)Moobot: ワイヤレスヘッドセット Cloud ll Wireless 発売！ http://hyperx.gg/3i5czYA
[11555.826] rankaster: こんばんは初見ですこれ街ブラ配信ですか？
[11557.716] ジャンクばっち: ドドンパチめっちゃ楽しみだー
[11561.935] domontyan: 小学校？
[11562.341] nagisasaan00: 昨日の人狼めっちゃおもしろかった
[11564.786] songbenheming: 結婚式場じゃない？
[11571.952] そるてぃ: 白金小学校じゃない？
[11580.736] kitori_17: これは小学校だったかな
[11584.390] 1108044k: 学校っぽい
[11588.059] brutal9998: 学校でしょ
[11589.056] nagisasaan00: 窓が小学校ぽい
[11589.743] mmiiacha: 学校ぽいねぇ
[11590.932] Heitaso: 簡素すぎるね
[11594.761] ジャンクばっち: チャペルっぽくはないな
[11597.181] domontyan: 病院＿？
[11597.300] okamasa456: 学校でしょｗ
[11599.095] songbenheming: これは違う
[11610.148] ker_pc: 寒いか？
[11612.368] songbenheming: もうちょっと先でした、結婚式場
[11613.012] (S)ゆっくり2121: 嫁も泣く
[11616.103] kitori_17: もう少し先に八芳園があります、そこが結婚式場
[11617.083] 1108044k: 硬派
[11618.223] nagisasaan00: 中だけ豪華みたいな？ｗ
[11621.335] クラクラ777: チャペルならクリスマスイルミネーションしてる
[11622.313] t_tarcy: もうすぐ駅かな
[11627.716] みかずきーん: 無骨やな
[11627.962] rankaster: ウメハラさん最近は筋トレやってないんですか？
[11640.190] そるてぃ: しろかねだい
[11646.044] t_tarcy: 白金台
[11656.802] scarlet_cell: この辺原チャリでノーヘルで捕まった所やわ
[11659.062] Areca129: ウォーキングって痩せないんですか？
[11662.154] gullboy_bdo: こんばんは～
[11663.706] songbenheming: この前配信で歩いたとこです
[11665.178] みゆ39: 三井倶楽部みたいなやつかな？
[11670.587] (S)matomona: 小学校ですねたぶん
[11675.366] suesue: 高尾山のぼりませんか
[11688.177] (S)uomm00551: 白金高輪と白金台かな
[11688.820] matsu_zalem: そうすね
[11689.897] (S)イエール: umeCatHope
[11690.387] qin_liangyu: ウメちゃんがデブみたいな言い方やめな？
[11693.133] ~MISSING_COMMENTER_INFO~: こんなに脚力あるのに登山は嫌いなのが面白い
[11698.303] どらです: ドンキあったとこだっけ
[11702.885] kaigaizei: サナダオフにしては食いすぎなんよ
[11703.144] 1108044k: 坂だしね
[11703.686] gomeeen: 歩くだめだよ 食べちゃうもん
[11706.884] nagisasaan00: 飲むんでね？
[11708.722] hiroyaga: 人で括ったね今
[11712.645] kitori_17: 人はね
[11714.651] ohigekujira: 人類は食べる
[11714.659] Papapadad: 富士登山配信で滑落した人いたね
[11714.914] aranami0: 人はっていうかウメちゃんがね
[11716.427] ~MISSING_COMMENTER_INFO~: サナダがないとな
[11719.106] taisa0131: 高尾山かなり携帯の電波入った気がする
[11719.332] (S)matomona: そこが目黒通りか
[11723.593] クラクラ777: サナダオンしちゃう？？株分けしてもらって
[11731.117] brutal9998: サナダがいてもあれ
[11734.284] nagisasaan00: ウメちゃんがサナダ飼ったらやせるのかなー
[11735.993] orihei: 今まで出席した結婚式で1番印象に残っているのはどなたでしょうか？
[11738.688] 1108044k: これだけ歩いて痩せないって相当カロリーとってるよねｗ
[11739.382] kaigaizei: サナダオンでみるみる痩せる
[11739.745] セツリ: サナダってお尻から出てくるんじゃなかった？
[11740.685] scarlet_cell: ぶっちゃけ縄跳びが一番カロリー消費しそうだよね。重力に抗うのが一番効率いい気がする。
[11741.882] へたろう: 左です
[11742.236] suginaka56: 街並みを見るのが好きなんだ
[11743.517] そるてぃ: ひだり
[11748.715] よもぎです: 左です
[11754.117] hiroyaga: 食べない人はほんと食べないから不思議なもんだ
[11756.132] songbenheming: 左です
[11757.378] west_dogs: west_dogs subscribed with Prime. They've subscribed for 12 months, currently on a 1 month streak! 
[11757.444] (M)Moobot: Thanks @WEST_DOGS with the 1 year subscription!
[11758.902] ddb365: 三太郎さんも食う量多いからサナダオンか？
[11765.216] (S)matomona: 左
[11767.706] (S)uomm00551: もうずっと真っ直ぐ、こっから長いっすよ
[11773.665] songbenheming: もうひたすらまっすぐです
[11773.674] 1108044k: 屈伸いいらしいけど
[11774.298] gullboy_bdo: 獣道って時間天井きまってるんですか？
[11774.698] domontyan: １７じ
[11775.227] rankaster: !uptime
[11777.052] セツリ: 3時間16分経過
[11778.500] クラクラ777: ３時間前
[11779.811] okamasa456: 16時
[11785.284] kitori_17: ここから直進行軍です
[11788.528] ~MISSING_COMMENTER_INFO~: mori_punisuke subscribed with Prime. 
[11788.649] (M)Moobot: @MORI_PUNISUKE with the Prime sub!
[11803.089] クラクラ777: 青天井だ！！！
[11806.990] NekoPunchKick: 南側で流星群流れてますね
[11813.533] okamasa456: さすがに遠いよ
[11816.988] bbb14231: WutFace
[11817.172] クラクラ777: ここええ道やな
[11828.146] nagisasaan00: 明るすぎるかな
[11829.960] t_tarcy: サライ流れそう
[11835.061] matsu_zalem: 目黒通り？
[11836.768] kitori_17: まもなく左にプラチナドンキ
[11839.087] クラクラ777: そらそうよｗ
[11842.640] scarlet_cell: 井上尚弥のボクシングは見ないですか？
[11853.949] ファンけん: 今度、どこ住むの？
[11858.846] みそらの: 1日で最高何時間歩いたことありますか？
[11869.665] 1108044k: 今日じゃなかったっけ
[11871.363] ビフィダス: 今きました まさか自由が丘まであるくの！？
[11876.820] (S)~MISSING_COMMENTER_INFO~: すげー
[11896.535] scarlet_cell: 今日だよ。試合。
[11897.506] rindou_22: え、また引っ越すの
[11899.493] tokogonish: さすがに痩せるっしょ
[11919.299] balthazar000: 歩くねぇ
[11933.328] domontyan: 勝つ？
[11934.026] (S)matomona: そのうち高速の下くぐる、そのあと坂登り下り結構あります、目黒駅周辺
[11942.937] 1108044k: 井上尚哉とジョビンが戦うなら見る？
[11943.784] gomeeen: 不遜
[11949.951] ぼんじゅ: ぼんじゅ subscribed with Prime. They've subscribed for 10 months, currently on a 1 month streak! 
[11950.084] (M)Moobot: @BONJU7さん、サブスク登録10ヶ月目！
[11954.775] rankaster: 鉄拳界への進出１０年くらい待ってますｗ
[11958.787] scarlet_cell: 井上は勝つよ。負けるわけない
[11959.536] (S)~MISSING_COMMENTER_INFO~: Jと体重差がすごそう
[11962.227] okamasa456: 相手も大したことない
[11965.671] herumesuwind: 寒そうだなー北海道？
[11969.385] peperon17: 普通に勝つでしょ
[11982.117] 何も知らないジョンスノウ: もうどんな勝ち方するかしかないよねw
[11983.396] ほっきょく: あれ？大崎？？？
[11987.091] piyopiyomaru555: うめちゃん歩くスピードは遅そうだな
[11988.243] brutal9998: 強過ぎるのも考えもの
[11990.184] nagisasaan00: ひろくてきれー
[11995.605] どらです: 大一番が観たいのね
[12000.488] 1108044k: もう井上の相手いないよね
[12002.936] shiro_risu01: おー道ひろい
[12010.826] tokogonish: 悶絶ボディで終わりかな
[12015.818] ぼんじゅ: ウメちゃんって歩く速さどんなもんです？
[12015.965] (M)Moobot: レッドブルがアマゾンで買えるよ Get your Red Bull on Amazon! https://amzn.to/3oP9Fcp
[12016.693] どくたけ: 歩道広！
[12027.449] ほっきょく: どぐらとネモさんがどっちが強いのか解らん
[12032.786] scarlet_cell: ウメハラさんってボクシングとか似合いそう
[12036.467] Papapadad: まさかのってのもあるからね
[12036.499] ポンポン: 今日ゴンタさんのコードネームメンバーの梅ってウメちゃんですか？
[12048.177] herumesuwind: ここ10年ぐらいで広くなったね歩道
[12055.919] (S)katuo3_: 散歩は昼と夜、どちらが好きだったりしますか？
[12074.974] grrrrrapevine: 東京も寒そうや
[12079.352] (S)~MISSING_COMMENTER_INFO~: 同じ質問に答えるの優しい
[12080.001] matsu_zalem: ウメさんは昔、習い事は全くしてなかったすか？
[12080.771] brutal9998: 何回目だw
[12090.543] どくたけ: 平日SFL無いのが噓みたいだ…。
[12090.715] junjamaica: ふ～どはマゴとのリアルファイトを希望してる！
[12094.935] t_tarcy: 質問がループしてる
[12097.441] みそらの: まぁ新しく来た人は前の方の質問知らないからねｗ
[12100.799] tora6666: 家族でご飯食べながら配信見てます。
[12103.341] HirocoT: なぜか今日多い質問ｗ
[12109.808] kaigaizei: 「タイトルのやねせんってなんですか？」の再来
[12121.711] lucia_morgan: 昨日もる兄が東方の配信してたの知ってます？
[12125.744] peperon17: ゴンタの書き方がわかりにくいんだよｗ
[12127.406] Kanquez05: せやねんってなんですか
[12129.657] ビフィダス: 格ゲーマーでリアル殴り合いマッチするなら誰と誰の試合が見たいですか？
[12135.117] nagisasaan00: 人狼コードネームラジオ・・・いそがしい
[12135.978] domontyan: 同じ質問だけど配信みにくる人が入れ替わりってのはあるからなー 同じ人が同じ質問してるならわかるけど
[12137.609] athleticalnerd: genki desuka
[12138.088] rankaster: 街ブラ配信楽しいです
[12139.687] 1108044k: リーグの日程がもっと過酷な方向に行ったら耐えられる？
[12140.672] lucia_morgan: めっちゃうまかった
[12152.834] mmiiacha: もるにぃシューティングもいけるんか
[12152.984] (M)Moobot: ワイヤレスヘッドセット Cloud ll Wireless 発売！ http://hyperx.gg/3i5czYA
[12153.563] ポンポン: お茶の間ウメちゃん
[12158.404] piyopiyomaru555: 次の調整でリュウ強くなったら使いますか？くらい良くある質問
[12160.161] baki_the_gamer: ロンドンからこんばんは
[12169.584] tora6666: 今、パパのコメント読んでくれたよと妻が子供に説明しています。
[12173.419] nagisasaan00: 餅さんもシューティングの人だよね
[12173.530] (S)~MISSING_COMMENTER_INFO~: もるにぃなんでもできるんだな
[12180.735] 1108044k: ガイル弱くなっら～
[12185.244] chjichji: 街ブラしながら配信見てます
[12187.221] chinnen1: もうたかしは見捨てよう
[12188.966] HirocoT: あーｗ
[12191.698] peperon17: 本田はもう使わないんですかも
[12193.788] Kanquez05: カゲの波動が～
[12196.524] latenight000: あれすごいよな、今まで一度も聞いたこと無いからする質問なんだろうし
[12199.115] クラクラ777: 概要欄にはっておこうｗ
[12200.383] balthazar000: 定型文にしておこう
[12200.577] 桜風かなた: リーチが10倍になったら使うっしょ
[12201.828] nagisasaan00: ホンダは・・・
[12202.441] domontyan: ぱぱ～～～～～
[12202.576] totatake: 最近のアジおいしかったですか？くらいよくきく
[12204.728] brutal9998: リュウもカゲもどうせ何も入らねえよ！
[12205.331] どくたけ: 真４またやりますか？
[12205.546] たるさん: うちも晩御飯たべながらみんなで見てるよ
[12206.823] gnm1616: カールが良くする質問な
[12210.705] 5don: あたらしい視聴者が増えているという、喜ばしい一面も？
[12214.170] クラクラ777: カールｗ
[12214.300] Areca129: FAQ必要
[12216.191] 1108044k: リバスピ弱くなったらどうしますか
[12216.352] gomeeen: アメリカのリュウで我慢しなさい
[12217.612] orihei: 先輩が宅配の仕事で行った家が偶然井上尚哉の自宅でビックリしたらしいオーラが凄いとのこと
[12218.636] ねこざけ: メガテンしませんか？
[12220.221] nagisasaan00: いい教育だなぁｗ
[12220.729] ポンポン: 子供ちっちゃいんかな
[12221.816] jangfuran: 背水の逆転劇について教えてください
[12225.351] kaigaizei: 肉厚でした
[12228.297] balthazar000: 本田人口爆上がりしたのは面白かった
[12229.022] okamasa456: 本田ファンは多いよねえ
[12230.216] goldexpepe: スト４の時のリュウの感動が強烈だったｗ
[12230.816] fukinjp: スト6に望むことは何ですかも多そう
[12232.646] nagisasaan00: 愛されてる
[12236.910] Papapadad: あきらかに新規リスナーは増えてるよね
[12244.281] きめらたくや: てか東京はこんな暗いのか・・・まだこっち夕日落ちてないんだけど
[12249.461] おにゃにん: ギルティギアは青リロが最後ですか？(xrdを除く
[12254.133] nagisasaan00: アジは6か月待たされてるからｗ
[12255.466] despera_lk: 同じ質問が来ても嫌な顔一つしない配信界の鏡
[12262.254] ねこざけ: 無限湧き
[12263.475] 1108044k: リーグもりあがりまくったもんね
[12268.038] brutal9998: なにで新規増えてるんだろうね今
[12268.829] shiro_risu01: さっきの初見さんまだいるかなぁ
[12272.496] balthazar000: 切り抜きからの割合が多いんかね
[12276.509] mmiiacha: ウメちゃんの配信は格ゲー配信の入口になる事多いしねぇ
[12285.081] どくたけ: CSだけどスカパーでやってたのもでかいのかな。
[12286.172] ohigekujira: アジのゲージ溜まってたんだ
[12288.643] usa451: 闘神激突！
[12292.802] ほっきょく: コレ目黒通りかぁ
[12293.181] 1108044k: リーグだと思うけどなぁ
[12293.897] peperon17: ミルダムで女性はほんと増えたよね
[12296.352] サラバア: マイクラからSFL見たって人もいたよ
[12299.407] nikukuisugi333: アジよりブルゲイなんだよなぁ
[12301.595] 何も知らないジョンスノウ: ミルダム移って色々なゲームやったのはでかいね
[12303.083] (S)~MISSING_COMMENTER_INFO~: 人狼はありそうですね
[12303.447] taroumaruh: ボンちゃんオフの新規さんは格ゲー人狼ではじめた人多いって言ってたね
[12310.207] トルコ石: ボンちゃんオフで人狼見て格ゲーはじめましたって人いたみたいです
[12312.702] peperon17: やっぱ他ゲーやるのも大事だね
[12314.399] pascal171012: ウメちゃんのジョビンのモノマネ好きなんですけど、いつからモノマネ上手くなったんですか？
[12316.548] nagisasaan00: へー
[12317.060] chinnen1: 三太郎の功績もでかい
[12320.131] じゃむじゃむお: 鎌倉に美味しい唐揚げ出す店ありますよ 「灯り（あかり）」って店 いかがですか？
[12321.376] mmiiacha: こくの功績でかいねぇ
[12323.370] fukinjp: 切り抜きのコメでしのさんて誰？とか多くてびっくりした。新規いっぱいいる
[12324.983] nagisasaan00: 人狼からだよー
[12326.036] ポンポン: ウメちゃんの切り抜き
[12331.036] brutal9998: 一時期のナリで増えたのも多かったもんね
[12331.159] kaindre3: UNO
[12331.593] okamasa456: ナリくんは？ｗ
[12333.442] cruseaguar: 有意義 おしり だうご
[12335.059] reganfa: こくじんさんの人狼から入ってスト５買うまでに至りましたw
[12342.987] みそらの: ストVの女性配信者は、プロが突撃してお勧めで始めたって人おおいですね
[12343.157] ポンポン: こくすげぇな
[12360.088] paleman_voice: それはこく喜びそう
[12365.252] nagisasaan00: 人狼好きな人に、スト5のゲーム性は刺さる
[12365.704] tenpoint_jp: コードネーム間に合うんですか
[12366.033] scarlet_cell: ウメハラさんはサードのケンで知ったかも
[12366.532] kaigaizei: 人狼となりくんの貢献度異常だよ
[12369.027] taroumaruh: こく”にい”ってわけ
[12375.785] cook_5921: こくにいすごいな
[12380.915] (S)chankoi: コロナ生還回から見始めました
[12381.528] mmiiacha: 格ゲー以外にも色んな事を配信でやる意味があるねぇ
[12383.250] (S)ゆっくり2121: 1日ひとつだけ強くなる講演から入りました〜
[12384.241] junjamaica: うめちゃんのコロナニュースの影響もあるみたいよ！
[12384.401] みそらの: みーとさんとか歌兄も多そう
[12388.490] まキびシ: 俺の格ゲー全くやったことない友達も「ウメなりの切り抜きは見たことある」とは言ってた
[12390.525] shiro_risu01: 最初教えてくれる人おらんと厳しいかもなぁ
[12393.252] chinnen1: なりくん最近ぜんぜんストやってるの見ない･･･
[12393.295] tanikame: さすが友達
[12396.812] okamasa456: 切り抜きはでかいな
[12399.516] Artemis_Reinhold: move a parking cone? just a few feet
[12400.133] 5don: Twitterトレンドの He is Daigo も好きでした
[12411.388] brutal9998: 意外と貢献しているナリ
[12416.768] nagisasaan00: 麻雀プロも人狼番組もってるくらいだからね。
[12418.323] squall_2017: そういうゲームじゃねーからこれ！ってこくにいの煽りで知りました
[12418.720] ほっきょく: 立川とキレるデブがミルダムの女性配信に現れるイメージ
[12419.818] songbenheming: 本で梅原さんの事知りました
[12421.274] mmiiacha: そういや獣道4の記事ヤフーニュースになってたね
[12422.359] oimo: 味覚王おらず
[12423.001] かずやじ: YouTubeで配信やってるの知った
[12426.767] despera_lk: ナリくん今どうしてるのかな
[12433.973] reganfa: こくじんさんの人狼→ウメハラさんにハマる→→ウメハラさんの大会を追うようになる→切り抜きで他の格ゲープロも知る→スト５購入こんな感じです
[12438.222] みそらの: あ～でも自分もプロの配信見始めたのってウメさんのコロナのニュースが切っ掛けかも
[12446.706] taroumaruh: ナリくんはマジで格ゲーやらないゲーマーの知名度高い
[12449.017] (S)dj0d4y4k4: 20年ウメちゃん見てるけどほんと最近は新規多いなと感慨深い
[12449.572] kaigaizei: なりくんはロードトリップで活躍してたんじゃないか
[12454.683] 桜風かなた: ナリくん、人狼直後のなるおと3先かなにかしてたよ
[12455.863] ddb365: ウメなりはなんでそんなにバズったんだろう 原因が知りたい
[12459.806] tangarami1122: 昔は電波実況か背水の逆転劇だったよね。
[12463.764] latenight000: ついさっきやんけぇ
[12465.240] okamasa456: 新規多いねえ
[12466.488] ライム_: 投資勢の中で勝ち続ける意志力が一部で流行ってるってのは聞いた
[12468.288] ハトポポ: ボンちゃんのイベント参加してたよナリ君
[12470.233] orihei: ナリくんとはもう絡まないのかなー
[12470.504] qin_liangyu: ウメちゃんコロナ倒してるからすげえよな
[12470.968] nagisasaan00: 格ゲーはわりと眺めてるだけでも、勝った負けたはわかるから見続けられる
[12478.431] たるさん: ガマの油さんの実況で知った
[12482.438] kaigaizei: コロナ前まで誰もそんなに配信してなかったから
[12482.452] tkcu8811: ストVやり始めて知りました。
[12485.574] scarlet_cell: スト3の背水で知ったなぁ
[12486.863] よもぎです: 友人がゲーマーといえばウメハラだって教えてくれた
[12487.996] (S)ゆっくり2121: でもミルダムインストールしても、梅原大吾で検索かけて出てこなくて、初狩りされた。
[12490.803] ilm0806: うめなりは、煽りのおかげじゃないかな
[12491.499] どくたけ: 丁度新規増えたタイミングで獣道、いいタイミング。
[12492.224] despera_lk: 昔はyoutubeのアーカイブだけ見てたな確か
[12492.574] taroumaruh: プロゲーマーがコロナに ってまとめとかに載ってたからかな
[12492.937] どらです: FPSの釈迦さんも気絶事件後人増えたみたいだし怪我の功名もあるっぽい
[12499.093] 1108044k: ウメちゃんがルークのクソダサコスなりくん用つったらナリくんそのコス使ってて笑った
[12500.013] keroggu1: ナリくんはもう味しない
[12504.983] peperon17: ニコ動で知ったなあ
[12505.038] おにゃにん: うんうん、知ったの2006年頃で次の年の闘劇のライブ配信でスト2にウメハラさんが出てたなあ
[12507.198] takastoz: メストで知りました…
[12509.512] dorodoropo: またならないでほしい
[12511.660] ハジメちゃん: よわよわよわよわよわの切り抜きwww
[12513.905] pascal171012: ニコニコをへて、twitchの海外遠征ロケは集客あったと思うわ
[12516.474] grrrrrapevine: コロナで配信見る習慣付いたかな
[12523.168] erukima: ウメハラMAD
[12524.550] okamasa456: ウメインフィルのFT10からかな
[12525.913] chjichji: ウメ散歩から来ました
[12527.516] rankaster: 鉄拳勢だけどウメハラさんと板ザンさんは常に見てます
[12529.302] (S)nijiojisan: なりくんの10秒チャレンジおもしろかったけどな
[12529.869] トルコ石: 昔のアーカイブもたくさん面白いのあるから見てほしいって思う
[12534.248] nagisasaan00: ウメさんの人柄が魅力的なのもあるよ
[12534.462] (S)yogyogsothoth: 大会以外のゲーマー個々の配信を熱心に観るようになったきっかけはナリ君との切り抜きからだった
[12535.549] despera_lk: 確かにこんなに配信見てなかったな前は
[12536.824] chinnen1: スト5新規でやるとおじリーグのレベルの高さにびびりそう
[12542.604] HirocoT: はい
[12543.718] tanikame: ゲマビとの対戦動画も貢献してそう
[12545.856] orihei: 自分がコロナの時ニュースになってたとは想像つかないですよね？
[12550.039] usa451: 豪傑もコードネームやるっぽいな
[12557.914] shiro_risu01: コロナ始まった頃の不安な期間ほんと助かりました
[12559.289] taroumaruh: 今もそうだけどコロナ禍でストリーマーバブルって感じだったもんなぁ
[12560.706] サラバア: トラキア懐かしい…
[12561.716] pascal171012: ゲマビへの昇竜はたまに見るわ
[12564.016] ViniozbomGamer: cd os street fight pô
[12564.402] 1108044k: おじリーグのメンツって過去にちゃんと強かった人たちがほとんどだしなぁ
[12564.726] nagisasaan00: 仕事しながら見れるのがいいねー
[12574.560] おにゃにん: 闘劇07だかのハイパースト2のインタビュー受けてて「それなりのやり込みだったんで負けました」とかニコニコしながら答えてたのが印象に残ってます
[12580.676] okamasa456: ゲマビキレてたなあ
[12580.964] Artemis_Reinhold: i used to ollie over parking cones. so would that put me in 23 days?
[12582.011] junjamaica: ゲーメスト愛読してたから、うめちゃんは否が応でも知ることとなる
[12584.208] セツリ: うん
[12586.527] 1108044k: 全然大丈夫
[12587.367] brutal9998: 大丈夫
[12587.490] ohigekujira: 大丈夫です
[12587.978] (S)~MISSING_COMMENTER_INFO~: オーケーです
[12589.235] おにゃにん: 問題なしです
[12590.564] 何も知らないジョンスノウ: 大丈夫
[12591.220] HirocoT: はい
[12595.228] (S)v_harumi_v: 大丈夫ですよー
[12596.011] peperon17: 全然問題なし
[12597.833] (S)イエール: 良い感じっす
[12599.645] scarlet_cell: ゲーメストw懐かしい。アルカディアとか。
[12600.677] taroumaruh: この前は海風がやばすぎた
[12611.147] pascal171012: ゲマビっていうか、ときどの旗持ちがおもろかったわ、カメラマンやんｗｗ
[12612.659] tkcu8811: 散歩しているときに考え事とかしますか❓
[12614.479] トルコ石: そういえば怒首領蜂の人ゲマ日に似てない？
[12615.951] oimo: いい感じ
