[16.631] Aelynoth: lirikA
[18871.580] maddy2623: へー、りゅうせいがももち誘ったんだ
[18883.831] kaigaizei: ジャスティンの認識草
[18886.915] fujimike: ときどはメナとふ～どに連敗したらふ～どワンチャンあるのか
[18897.301] hifumi_poyo: 「子」は草
[18899.144] のってる: 子というかおじだけどね
[18904.168] au0724: ももちは誘われ待ち
[18904.677] njpw2017: ジャスティンに子っていくつだよ
[18906.625] UnReaL_CL: videla1Chun
[18917.654] (S)tilia211: おじいちゃんやろなぁ
[18918.349] (S)melvin_1023: ウメもも二枚抜きしないと大画面に帰還できない
[18926.087] ぺそしか: それ香港の子じゃない？
[18935.524] usizura: ももちは読んだら来ると分かったのは収穫だった
[18936.654] maddy2623: 子擦りやめろｗｗ
[18967.158] au0724: 反応えぐ
[18984.576] prisira: ジャスティンは鳳翼扇打って死んだ子だよ
[18993.752] kaomoji3: そんなジャスティンも今では家庭を持ってだな
[19018.707] usizura: すばらしいじゃスパ
[19021.358] takahashiseigi: シノビ、やるー
[19034.086] njpw2017: この前zero3のイベントにも来てた子がジャスティン
[19034.364] クラクラ777: ももち・・・やるやん
[19039.650] のってる: 安直な重ねは取られる
[19048.446] kaigaizei: エンディングウォーカーが主人公にキャラ替えした
[19055.460] jin0073: スカイの店長やる
[19064.272] peko0816: エンディングアレク
[19067.239] (S)tilia211: ディゲンヌ！
[19072.119] takahashiseigi: 攻めのパリィだね
[19089.809] njpw2017: なんで苦しくなったらアレクなん？
[19090.176] ekusuyam: ももち最適化されてるな〜
[19090.414] au0724: つんよ
[19090.462] kiton_taichi: つえええ
[19147.114] prisira: みんな心にどぐらを持ってるんやで
[19153.862] yomogi0610: おお
[19157.023] takahashiseigi: ようやくGO1より強いルークがやってきた
[19162.229] sukosukodaisuko: うおお
[19165.206] au0724: ダブルＫＯ
[19166.276] jin0073: ねー、メインでやりません？
[19172.974] PHYDGE: ダブルKOなんてあるんか
[19184.225] usizura: ももちすごい反応のＥＸでバーンアウトというおもしろすぎる試合
[19191.125] meron: みんな仕上がってきてておもろい
[19201.129] 記入漏れ: 今回攻撃レベルでつぶれるがないから起こる確率上がってるよ～
[19216.254] maddy2623: まだ発売してないのにおかしいね
[19218.506] Jupiter1207: ももちちょっとずつ画面端に消えていってるな
[19218.614] gorilla_osaka: 製品版が待ちきれない
[19221.638] au0724: 倒し切れると思ったら残ってBOなるとヤバいよね
[19233.722] tabibitox: 中段ｗ
[19244.172] sukosukodaisuko: 見切れち
[19245.010] maddy2623: りゅうせいももち倒してきて
[19245.133] (S)tilia211: 製品版出たら皆色んなキャラ使うだろうからワクワクだね
[19252.182] yomogi0610: 楽しみだねぇ
[19254.790] (S)gorogorogorn: 隠れ蓑術かあ
[19255.061] takahashiseigi: メインでは、水派がやはり強すぎる
[19255.719] ekusuyam: ももち門番すぎる
[19258.404] Sonic73131: とりあえずウメちゃんが一回メインに行けば
[19259.954] jin0073: momochocoSunechi
[19292.752] kent_8791: ももち見てるとほんとにパリィの判断が早い
[19296.697] une3333: ずっとチラ見えのももちさんｗ
[19314.806] tei_tei_tei_tei: サブの勝者がメインにいくシステムにすればいいのでは？
[19347.722] hifumi_poyo: そうしよう！と言った所でw
[19352.736] megmilkman: ときどだけ全勝でしかも全試合余裕なんだが
[19364.338] 記入漏れ: 相手が返してきてもバーンアウト状況のインパクトの価値がどこまでなのかなぁ
[19373.451] GoGoNEKOMAJINsuper: スト6でどうなる、ときど
[19377.043] kaigaizei: サブがあいたときにメインがあいてると限らないから入れ替えできんのよな
[19384.153] maddy2623: 水派おつ～
[19384.321] Sonic73131: え？
[19387.093] yomogi0610: おつー
[19394.571] (S)gorogorogorn: 水派きゅんおつかれー
[19396.503] takashi726: お疲れ様
[19403.022] bluesummer114: ももちそろそろ誰か討伐してメイン台に連れてきて
[19404.440] une3333: 水派くんさらばー
[19404.925] v_harumi_v: 水派さん、お疲れ様でしたー。お気をつけて。
[19414.640] ry0444: 水派強いねー
[19423.007] jin0073: スカイの店長どきそうにない
[19425.445] wasabi00009: ときどは普通に強いだろ6
[19430.093] たかちゃん06: もうかえります
[19430.460] (S)hamuko179862: 水派さんお疲れ様でしたーノシ
[19433.835] au0724: ももち水派は一回だけだったかぁ もっと見たかったな
[19448.649] kent_8791: 水派君またきてね
[19448.912] くまリンカ: おいす
[19452.109] balthazar000: おつ
[19452.510] (S)hamuko179862: お疲れ様ですー
[19454.113] 何も知らないジョンスノウ: おつおつ
[19462.562] (S)tilia211: おつ～
[19466.730] megmilkman: 製品版始まってもゲーセン閉じないでくれよな
[19481.446] (S)gorogorogorn: うめちゃーん
[19489.509] hitosyura1: 閉店？
[19489.550] maddy2623: ウメちゃん「３」って何？
[19490.354] balthazar000: 昨日はなぜG8部屋へ？
[19490.661] 記入漏れ: オンラインがあの快適さで出来ちゃうとねぇ
[19491.122] hifumi_poyo: 手ふって
[19491.355] kaigaizei: トパチャンときどで決まりっぽいねウメちゃん
[19500.119] v_harumi_v: 3の謎
[19502.623] balthazar000: hyperX
[19503.797] imotarou1126: 閉店まで1週間
[19509.759] v_harumi_v: 3ってポーズして写真撮ってましたね
[19512.523] ~MISSING_COMMENTER_INFO~: ツイッターの奴か
[19513.382] (S)hamuko179862: ハイパーエックスの
[19514.678] prisira: hyperxのツイッターか
[19521.197] _こぺ_: _こぺ_ is gifting 5 Tier 1 Subs to DaigoTheBeasTV's community! They've gifted a total of 420 in the channel! 
[19521.641] maddy2623: ３ってツイートしてる
[19521.865] _こぺ_: _こぺ_ gifted a Tier 1 sub to 96wver! 
[19521.969] _こぺ_: _こぺ_ gifted a Tier 1 sub to sulwaole! 
[19521.980] _こぺ_: _こぺ_ gifted a Tier 1 sub to __鹿__! 
[19521.986] _こぺ_: _こぺ_ gifted a Tier 1 sub to aliyome! 
[19521.995] _こぺ_: _こぺ_ gifted a Tier 1 sub to hassakun! 
[19524.404] ddsato316: ３とは
[19526.714] tabibitox: 3ってポーズを依頼されただけでウメちゃんは知らない説
[19528.132] yomogi0610: ほうほう
[19529.375] (S)Jasminexxx2525: wayaNaisabu
[19529.773] クラクラ777: ないぎふ
[19530.097] prisira: まぁまだ言えないでしょｗ
[19532.243] hifumi_poyo: ナイサブ
[19534.911] もけたわけ: 発売したらオフしなそう?
[19535.894] ~MISSING_COMMENTER_INFO~: ええｗ
[19537.312] (S)カイロさん: 石油王ないす
[19538.041] (S)hamuko179862: あらw
[19538.652] tabibitox: ですよねーーｗ
[19539.593] Sasakure3: 3かあ
[19539.694] balthazar000: G8部屋どうでした？
[19539.866] eremin_39: ３太郎
[19539.915] (S)dorayann: ｗｗｗ
[19540.233] kurare2020: ３ｗ
[19541.103] (S)Jasminexxx2525: なるほど？
[19541.141] 者うどんこ: ないすう
[19541.587] (S)tilia211: ３ と は
[19541.873] kaigaizei: 三太郎加入ってことだよね？
[19541.957] v_harumi_v: お楽しみですね
[19543.486] maddy2623: 本人知らず
[19544.223] (S)gazesd: わかってねー！
[19544.497] shigepedia: スリーピース！じゃない？
[19547.382] pastagohan: 本当の謎じゃん
[19549.416] サメカツ1999: 「ウメさん３お願いします」
[19549.638] ポンポン: うめさんの３だな
[19550.662] (S)gorogorogorn: ３太郎ビースト入りか
[19551.667] fujimike: 三太郎さん？
[19554.096] megmilkman: 3マンって格ゲーキャラいたような
[19556.917] tei_tei_tei_tei: 匂わせ
[19558.561] yomogi0610: 発売してもオフ見たいなぁ
[19558.650] balthazar000: eスク再開は喜ばしいですね
[19562.556] hojihojidx: オフしても配信は無し？
[19563.969] ry0444: しばらくオン対戦やったらオフもやるのでは
[19564.495] ビフィダス: 三太郎さん笑
[19565.664] しぶやひろし: ３０日まであと3日
[19567.080] leleira: いつもうめさん配信ありがとう
[19567.650] kaigaizei: 三太郎さん喜ぶだろうなあ！なあ？
[19574.592] takahashiseigi: あのときのGO1ルークより、ももちルークは強いですか？
[19576.103] 000105: 今日ヌキさんパチスロの抽選3番だったよね
[19576.850] eremin_39: つえ
[19582.303] sdy_hs: さんちゃん加入はおもろい
[19585.225] one596: ハイパーXが三太郎さんスポンサードする理由無さすぎて草
[19590.715] kent_8791: 三太郎はミルダム止めたらトラックの運ちゃんでもやるかっつってたのに
[19591.139] hifumi_poyo: 皆ゲーセン開けてほしそう
[19594.595] (S)Jasminexxx2525: ウメハラさん今日も配信有難うございます。ウメももち最高でした…！
[19604.592] maddy2623: ヌキさんは月イチでおじリーグメンバーで集まりたいねーって言ってたからもう「あっち側」
[19610.704] balthazar000: ももちルーク攻略出来そうですか？
[19636.471] megmilkman: いっそオンライン機能捨てようか
[19637.057] BATAKE21: 新鮮味って極上のスパイスよな
[19638.616] yomogi0610: 王の誘い
[19639.570] v_harumi_v: わーい。ありがとー
[19641.914] debuchocobo: やっと移動きたｗ
[19646.358] rt340: きたー！
[19646.489] ポンポン: うめちだー
[19646.932] 1up_kinoko: やっとメインに来た
[19650.186] よたーん: いーや、ももちさんはウメハウスに来たいって内心思ってるよ
[19652.182] tei_tei_tei_tei: 俺の隣来いよ
[19653.644] yomogi0610: これで勝つる
[19654.113] eremin_39: 先生
[19654.920] au0724: ももち先生
[19661.276] 者うどんこ: ナンパ
[19662.269] saitama_da: 聖戦
[19662.619] balthazar000: 頭一か月はオン一辺倒かな？
[19669.885] jtopnbsd: 10先頼むよ
[19671.551] くろき: 王VSオーナーきたああああああ
[19672.892] ludic__: RyuChamp
[19678.606] 96wver: @_こぺ_さん、ありがとー！
[19685.553] bluesummer114: ももち先生移動助かる
[19687.435] 503_win: 泉湧いてる
[19687.911] saitama_da: このまま殺意リュウとケンで７先やって♡
[19690.679] v_harumi_v: コペさん、サブスクギフトありがとー
[19691.374] balthazar000: おい、座れよ的な
[19703.128] (S)gorogorogorn: シュートの後輩じゃん
[19708.079] natu_sann: 871
[19708.250] (M)Moobot: Twitch Prime に登録すると無料でたくさんの特典が得られます → https://bit.ly/2YE2nLB
[19710.138] balthazar000: 福島言うて広いよね
[19712.010] bunbun0880: 今残ってるのってももちやないりゅうせい？
[19719.801] naien3: xregionx343 subscribed with Prime. They've subscribed for 10 months! 
[19721.536] (S)Fkdso555: シュートも福島だっけか
[19726.129] balthazar000: 名古屋かぁ、、、強いプレイヤー排出しまくりですね
[19728.898] v401: うお！ももちおるんかい！トパンガ見てたわ
[19739.009] ~MISSING_COMMENTER_INFO~: お、メインにきたのか
[19739.287] nuka_cola_jp: ももちは若手
[19740.925] (S)melvin_1023: 25才もスト6終わるころには立派なおじ
[19741.136] jin0073: momochocoSunechi
[19756.486] aru_0928: 今日の戦績は？
[19764.402] wahaha7788: スト6終わるころにはウメちゃんも50歳
[19765.076] balthazar000: シノビも設立して結構経つよね
[19773.050] natu_sann: 文化が成熟しすぎでおじが強すぎる
[19773.391] (S)brutal9998: この2人はスト6終わる頃なんて呼ばれることになるんだろ
[19777.126] yuuubin: いや50代になったこの二人がまだ35歳を若手って言ってるかも
[19782.080] takahashiseigi: ももちパチンコ海物語は有名…
[19782.822] hifumi_poyo: バチバチバシバシ
[19790.342] hifumi_poyo: 音よ
[19797.322] tyapa95: momochocoHaaa
[19800.955] kiton_taichi: ワンミスで命取り
[19812.754] ekusuyam: マジメに地上戦やるとルークだな
[19825.920] don_kusao: ももウメどっちが勝ってますか？
[19833.514] kaigaizei: ももち
[19840.600] au0724: ももちが大分勝ってます
[19848.049] 者うどんこ: だいぶももち
[19848.180] ポンポン: ももちつえーな
[19848.515] yomogi0610: ウメさん分からせて欲しい言ってたから良かったねぇｗ
[19855.582] のってる: 中足と大足以外リーチ負けしてるからなぁ
[19857.126] くろき: momochocoMomoji
[19859.230] レム__: 分からせられてる
[19866.813] aritoru106: やない君もこの対戦、目に焼き付けておいて
[19867.947] ポンポン: これでウメちゃんはまたつよくなる
[19868.938] easter19xx: クラシックなのに全対応してくるんですけどー
[19882.175] johnnyppas: ウメの望み通りの展開ってわけ
[19883.211] _ちとせ_: あんな詐欺とびあるのか
[19886.100] hifumi_poyo: 音w
[19889.663] (S)yut7xot8: ももちがわからせてる感じ？？
[19891.627] 豆の木ジャック: シャトルランみたいな往復
[19891.866] jin0073: momochocoMOMOCHI
[19892.006] ~MISSING_COMMENTER_INFO~: スタートダッシュ自信無いとか言ってたのに
[19893.286] サメカツ1999: オーナー仕上がってるな
[19894.007] tentough: モモ様
[19894.586] takahashiseigi: 猛烈な攻めだなw
[19895.367] ry0444: 試合はえー
[19895.450] saitama_da: 強くない？
[19895.702] buretan555: 大画面に戻ってきたか
[19896.141] pondenring0930: ６はゆうすけのゲームだったか
[19898.035] (S)dorayann: 強すぎるだろ
[19899.591] (S)latenight000: 反応の良いクラシックに、モダンはどうやって勝てばいいのw？
[19901.230] rt340: うおw
[19901.372] 96wver: 96wver is continuing the Gift Sub they got from _こぺ_! 
[19908.520] ツツーラ裏: そんなパリィあるか
[19909.976] aru_0928: 化け物やん
[19912.805] (S)カイロさん: 何してもももちには効かない感
[19914.903] kahaku91: topang1Firedup
[19916.402] レム__: 反応のいいモダンで対抗する
[19919.242] megmilkman: ももちはルークで通して欲しいな最初の調整まで
[19919.473] kinakobuta: ウメちゃんこれでパリィやらないはないぞ
[19923.895] kurone_2022: 別の筐体にいく
[19925.106] tentough: モモ様 モモ様
[19927.665] stopriverk: HypeCool
[19936.426] easter19xx: ウメちゃんもそろそろパリィ詰めよう
[19937.936] au0724: でも 最初に比べて 大分いい勝負になってます お互いに勝ち負け
[19939.444] yking0122: 相手を信用してるパリィだねｗ
[19940.544] donekofg: まだまだシステム使ってないからこれから変わって行くんだろうな
[19940.672] 豆の木ジャック: ルークはやっぱり運び性能が凄いなぁ
[19940.749] (S)jigokunonekomatu: umeCat2
[19940.794] eonsoul24: momochi sugoii
[19941.729] ~MISSING_COMMENTER_INFO~: つか5000人オーバーってすごいな，ドンドン増えてるぞ
[19943.141] furu13: こっちもやっとるねぇ
[19943.735] maddy2623: 先生待ち
[19945.756] mogera: トパンガから徒歩で
[19949.176] donekofg: トパチャンおわったからね
[19951.685] tamanegi30: 徒歩で来ました
[19952.342] ry0444: このレベル気にするほど強いモダンいる？
[19958.080] tw_numa: 徒歩で
[19958.952] gomesu: gomesu is gifting 5 Tier 1 Subs to DaigoTheBeasTV's community! They've gifted a total of 388 in the channel! 
[19959.394] gomesu: gomesu gifted a Tier 1 sub to buretan555! 
[19959.407] gomesu: gomesu gifted a Tier 1 sub to senzu_1996! 
[19959.423] gomesu: gomesu gifted a Tier 1 sub to drfunkmama! 
[19959.451] gomesu: gomesu gifted a Tier 1 sub to micron_guard! 
[19959.483] gomesu: gomesu gifted a Tier 1 sub to kuropyonn! 
[19959.676] aritoru106: 打音すごいｗ
[19960.406] (S)一1990: さっきは７０００人いた
[19963.739] wankoro_moti: 徒歩で
[19964.171] (S)latenight000: リスナーはずっとパリィ詰めろってアドバイスしてたんだけどねぇ
[19964.600] x_abu_xx: トパンガが終わったので…
[19967.384] おしるちゃん: ときどのゲームから
[19967.959] 豆の木ジャック: すーごい
[19969.547] hifumi_poyo: ナイサブ
[19969.899] bec118_japan: 7300いたよな
[19970.187] Dawn_Hika: monkaS
[19970.349] ishiwata1234: 二人きり？
[19974.310] (S)buretan555: @gomesuさん、サブスクギフトをありがとう！
[19975.040] easter19xx: トパンガから移動してる
[19975.794] (S)drfunkmama: @gomesuさん、サブスクギフトをありがとう！
[19979.277] お兄ちゃんお姉ちゃん: 石油王ありがとーー
[19982.498] prisira: リスナーにパリィやれって言ってやるわけないじゃんねぇ
[19984.202] au0724: さっきまでの方が人数多かったね
[19984.668] pianoniisan: ももち圧勝って感じ？
[19984.942] Sonic73131: 多分今は6-10？
[19986.044] jagajaga1943: パリィは発売後にやるって言ってたでしょ
[19987.059] myaaaaaa123: EW君が速攻野試合をときどとやっているのが最高すぎるな
[19989.237] (S)jigokunonekomatu: ヌキさんのスロットも終わったしな
[19989.412] mu_chan: ウメハラに指示するのもやばい
[19990.621] tei_tei_tei_tei: お互い情報開示しあってるのが気持ちいい
[19993.092] yuuubin: gomesu兄ぃサブスクさっきもらったみたいでありがとー！
[19995.926] (S)yut7xot8: りゅうせい帰ったの？？
[19996.946] nikkou18: トパチャン終わって身に来たらももちまだおるんかｗ
[20005.682] のってる: 対戦で実感しないと流石にね
[20005.941] tondemonaiyo: 結構まくってきてる
[20007.657] vanity1571: リスナーのアドバイス（笑）
[20007.679] ツツーラ裏: リスナーはって恥ずかしいからやめてやｗ
[20008.575] au0724: 6-12くらい？
[20008.850] なるかみ_: ももちはこの瞬間を待っていた
[20014.410] toyplastics: ふたりっきりなん？
[20015.235] yousuke778: 他帰ったの？
[20016.261] twitchyarutch: まあ製品版出てからっしょ
[20020.547] mogera: 桜の木の下で梅モモ対決か
[20020.736] moyoroy: ときんすが海外勢わからせてる
[20024.965] (S)buretan555: １２時間は軽く居そう
[20026.012] gajonaori: ウメちゃんは実感がないとダメ。リスナーは、てｗ
[20027.371] yoshikawa_yo: パリィはまだ伸びるだろし 情報出揃ってからでもいいわな
[20027.902] hukohuko: 釈迦に説法だな
[20028.071] stopriverk: 空気がいつもと違うウメハウス
[20031.905] クラクラ777: どきっ
[20033.772] tentough: おいウメ俺らのアドバイスを聞けってこと？？
[20041.367] fujimike: ももち強すぎる
[20045.155] (S)jigokunonekomatu: ももちの告り待ち
[20046.888] nameless510: 数字すぐ出てくるなｗ
[20047.896] (S)latenight000: 実際、アドバイスされてたよねw パリィw
[20049.068] クラクラ777: 二人だけの世界
[20049.602] pianoniisan: 体験版で空気重すぎん？この配信
[20049.642] kamonohasi77: ウメもも二人きり？
[20054.980] himeguma_ma: ももち先生反応がはやすぎ
[20055.174] (S)osarusan26: マゴさんが「視聴者が〇〇強いからしろ！ってよく言うけどなんでもかんでもすぐ取り入れればいいってもんじゃない、順番がある』って言ったけどまさにそれよ
[20055.467] Goodwisp: ブロンズの田中ならいいよ？
[20055.834] donekofg: なんかアドバイスコメとか久しぶりな気がするw
[20056.288] 56ne5656: すでになんでも答える人になってるゆうすけ
[20056.551] mynsh: これは百地
[20057.665] Sonic73131: 6-12かー最初負けまくったのに追いついてきた
[20059.737] tamanegi30: バッチバチ
[20060.256] chrisf_22: chrisf_22 subscribed with Prime. 
[20061.298] akimasa1977: 発売日前に体験版でトナメして欲しい
[20062.588] (S)jigokunonekomatu: ドキドキするね
[20064.061] nikkou18: ヤナイくんがさっきちらっと映った
[20064.356] balthazar000: 今回システム多いから切り口沢山あるもんね～
[20068.814] しぶやひろし: ゲーセン破りのももち
[20069.622] ツツーラ裏: なぜか知識の泉ももち
[20070.261] ishiwata1234: ブロンズの田中w
[20072.071] one596: 麻雀見てアレ切れば良かったって結果論言ってる奴と一緒で草
[20072.729] kimanaka28: ももち前評判通りの強さか
[20073.892] のってる: そのアドバイスしてるやつが実際プレイしてるか怪しいしな
[20073.927] (S)micron_guard: ギフトありがとー 
[20075.234] takahashiseigi: いや、この二人は拳で語り合えば良いのよ
[20076.397] クラクラ777: これにはゆっちょもドキドキ
[20076.884] 墾田永年私財砲: 文字「もっと投げ押さないと」ウメ「はい！」を思い出す
[20077.882] tyapa95: MrDestructoid
[20079.530] TB2117: 二人の世界ｗ
[20080.249] bluesummer114: ウメハウスにおじが二人きり・・・何も起きないはずがなく・・・
[20082.298] レム__: ブロンズの田中見てるか？
[20083.637] ynwa_8_stevieg: ここはここですげえ頂上決戦してんなあおい
[20084.867] ロミヲ: 水派帰った？
[20085.779] bboy_k_handhopper: 空気重すぎん？笑ったw
[20086.857] bec118_japan: うめちゃんはトレモやってないからな
[20087.023] (S)buretan555: ももちGPT
[20087.601] twitchyarutch: やりたい事やったもんがち
[20092.270] donekofg: コメントの名人様好きよw
[20093.041] ~MISSING_COMMENTER_INFO~: うめちゃんにすらそういうの湧くならプロじゃない人にはそら大量に湧くわ
[20093.895] hifumi_poyo: ブロンズ田中だけな
[20097.559] Sonic73131: 水派は帰った
[20097.712] mogera: どっち優勢ですか？
[20104.099] (S)latenight000: ももちは別の配信でパリィ使ってるよ～（チラッチラッ
[20108.712] tentough: コメランズこわいイィぃぃぃ
[20109.957] ishiwata1234: りゅうせいくんいたぁ
[20110.715] tw_numa: がさがさ
[20112.288] ~MISSING_COMMENTER_INFO~: じゃじいの魂
[20112.568] rararai1411: 空気重くない？
[20113.023] (S)chicken_dumpling: ryusei making noise
[20114.403] ファーペン: こんなに喋らん事ある？w
[20115.891] prisira: コメントはいつでも名人よ
[20116.102] (S)jigokunonekomatu: ブランズ田中ってどこまでランク上がったんかな？
[20116.321] noritchan: どっちが白百合お嬢様なん？
[20117.440] サメカツ1999: テストを経た男と体験し続けてる男
[20120.107] tamanegi30: もぐもぐ…
[20122.612] Jupiter1207: ももち今日たくさん友達出来たな…
[20123.571] yoshikawa_yo: 空気に耐えきれないりゅうせいのおやつ
[20124.256] stopriverk: モグモグタイム
[20124.682] だわさワサワサ: ボタン音すごいな
[20127.094] neon_d99: ウメちゃんがちょっとまけるとすぐ喧嘩しようとするのやめよｗ
[20129.319] balthazar000: ももちが勝ってるイメージ。いうて練習だから。
[20131.008] tw_numa: おやつー
[20131.391] なるかみ_: 二人きりの間に入ってきたりゅうせい 第２シーズン
[20132.281] (S)abeteru: 立ち見
[20132.406] megmilkman: このピリつきがまたいいのよ
[20133.342] LGA2011: なるお助けて
[20134.237] hifumi_poyo: 唯一無二のブロンズ田中
[20137.592] TB2117: ガチ空気ｗ
[20138.382] rt340: これが体験版という事実に震えるわw
[20149.878] tentough: 子亀喧嘩
[20150.064] stopriverk: ひりついてるな
[20151.080] ekusu00x: ヤナイくん上のワイプの左下にいたのねw
[20151.882] kamonohasi77: 空気がすごい
[20152.343] tamanegi30: これがまだ発売前のゲーム
[20156.767] サメカツ1999: えいたかなるおがいたら
[20157.547] yuuubin: 色んな世代がこの対戦見てると思うと熱いな
[20160.695] megmilkman: この2人はこのキャラで通しそうだ
[20161.915] Sonic73131: これでウメ6-13ももらしい
[20164.300] hifumi_poyo: 体験版をガチるってのがいいよね
[20168.261] tabibitox: CAへっる
[20171.628] effector_shop: 最後昇竜じゃないんだ
[20172.477] yoshikawa_yo: 楽しいー！
[20172.488] のってる: ただパリィ使えってのがアドバイスとしては不十分過ぎなんよ。具体性なさすぎて
[20172.670] クラクラ777: もぐもぐ
[20173.473] twitchyarutch: 今は負けたほうが得るものがでかい
[20175.319] balthazar000: ももち見てる～
[20176.744] tw_numa: このゲーム激しい
[20177.369] noritchan: カプコンもここまでは想定してない
[20177.711] jtopnbsd: ももちちょっとレベチだね
[20177.780] fujimike: ダブルスコアか
[20178.855] kusatarooo: ウメハラゲームセンターで軽食を食べる りゅうせい
[20179.864] donekofg: 体験しすぎ勢
[20180.484] TB2117: でも表情かっこいいねプロだわ
[20181.250] Sorachan1144: 閉店何時なの
[20182.758] サメカツ1999: 今日の店長移動多いね
[20184.010] johnnyppas: 6-13なんだかなり差ついてるな
[20184.079] sly_igozei: ダブルスコアか
[20185.856] prosciu: 何か食べてる
[20185.901] tei_tei_tei_tei: １Pと２Pで椅子の格差えぐいな
[20186.574] しぶやひろし: まだ見たかったけどルールかー
[20188.442] kugennsya: ももちは対ウメハラ以外の勝率も異常
[20188.559] ぢょごぢゃん: ここまでうめさん負けてるの初めて見た
[20189.262] prisira: 閉店は気分次第
[20189.888] persona777: GO１は後半まくられたけど、ももちすごいな
[20193.795] chin_56_: モグモグGOMBO
[20194.744] rt340: ももち仕上がってるなー
[20197.886] balthazar000: ｗ
[20198.430] bboy_k_handhopper: 販促としては最高よな
[20199.639] お兄ちゃんお姉ちゃん: お腹が空いたら閉店
[20199.925] ツツーラ裏: ゲーセンウメハラの神になった
[20201.097] mogera: なるほど…あとでアーカイブみるか
[20201.821] momiji4431: ｗｗｗ
[20202.403] balthazar000: ストッパーかぁ？
[20202.550] (S)latenight000: 「ウメ、いい加減パリィ詰めよう」って言いたくない？ドヤァって
[20202.791] yoshikawa_yo: ww
[20203.315] x_abu_xx: レアち
[20203.476] okitakai: ももち組手
[20203.545] noritchan: ももちパリィうますぎる
[20205.532] kamonohasi77: ももち仕上がってるな
[20205.652] ~MISSING_COMMENTER_INFO~: レアキャラ
[20205.927] 球根: レア
[20206.494] zyangara2: 逆にここまでルークに勝ってるリュウもまたいないらしい
[20206.502] tentough: あ
[20206.827] maddy2623: レアち
[20207.520] (S)gazesd: ももち分身しろ！
[20208.428] ddsato316: SSRだからなぁ
[20210.464] mynsh: 指導
[20211.579] BATAKE21: え、まじ？
[20211.833] ~MISSING_COMMENTER_INFO~: がちくん！？
[20211.870] (S)takuwangko: ももち強いっす
[20211.934] (S)puertoescondidomota: これでいてルーク使わないんだからももち
[20212.409] kaworuko19: 解説終わったからｗ
[20213.058] (S)melvin_1023: トパンガ上がりで
[20213.174] bagooon20: SSRももち
[20213.481] クラクラ777: がちがこちらをみている
[20213.775] tamanegi30: ガチくんハシゴ？
[20214.184] rt340: ガチくん！！！
[20215.352] tondemonaiyo: ガチくん？
[20215.633] ぢょごぢゃん: ガチくん解説後に来るのは笑う
[20215.640] ekusu00x: ガチくんくるの！？
[20215.648] tabibitox: つねｗ
[20216.657] maddy2623: おぉ、ガチくん
[20217.110] spring__thief: トパチャン終わりで来るのかw
[20218.347] ~MISSING_COMMENTER_INFO~: え、がちくんﾄﾊﾟにいたのにｗ
[20218.578] yoshikawa_yo: ガチくん中野からか
[20218.795] balthazar000: 間に合うか？
[20218.980] 皇帝ルル: ガチくんカモン！
[20219.194] uncledoon: これから？マジか
[20219.305] jin0073: いまから！？
[20219.428] Sorachan1144: さすがにｗ
[20219.455] roa_silk: トパチャン終わりで来るのかｗ
[20219.474] toyplastics: ガチくんスフィアからくるんか
[20219.770] prisira: ガチ君さっきまでスフィアいたのにｗ
[20219.794] サメカツ1999: 解説終わってすぐラインｗ
[20220.177] ~MISSING_COMMENTER_INFO~: とぱんがおわったしね
[20220.682] はらくだり: 激アツやん
[20220.766] takechanman123: トパンガ上がりで最速駆けつけｗｗ
[20220.811] x_abu_xx: とパンが終わりのガチくんw
[20221.092] (S)taketin0109: ガチくん解説の後その足でウメハウス来るんかww
[20221.278] (S)melvin_1023: ガチくんほんとはこっちに・・
[20221.301] sengoku_iori: TOPANGA解説終わったようなので来るんか？
[20221.516] tyapa95: やる気勢
[20222.366] okitakai: モチベあるねえ
[20222.898] (S)abeteru: ハシゴ ハシゴ
[20222.920] akimasa1977: ウメハラパイプ椅子偉い👏
[20224.180] ぱんたに: 解説終わりのガチさんw
[20224.357] (S)マンゴスチン: ガチくん！？
[20224.478] kamonohasi77: ガチくん！？
[20225.491] kimanaka28: トパンガから梯子ｗ
[20225.995] (S)カイロさん: ガチくんTOPANGA終わったばっかやんｗ
[20226.092] debuchocobo: レアポケモン狙いに来てる
[20226.209] meeememe: 店長めっちゃくるやん
[20226.254] (S)jigokunonekomatu: wayaDaininki
[20226.424] zyangara2: ガチくんはしごｗ
[20226.464] BATAKE21: トパチャン終わりのゲーセンあっちいｗｗ
[20226.568] Natsuri_k: やる気勢
[20227.118] neon_d99: トパンガ終わってすぐくんのかよｗ
[20227.288] kusatarooo: ウメハラゲームセンターえぐい
[20227.894] yuuubin: そりゃあこのメンツ見たら追いたいよな
[20228.042] rlbread: モチベたっけぇ
[20228.372] balthazar000: HUBっちゃう？
[20228.545] くろき: ｗｗｗ
[20228.711] レム__: クラック！？
[20228.879] rt340: またさらにレベルが
[20228.988] BrokenJP: クラックｗｗｗ
[20230.321] (S)ガヤン0521: ガチくん来なー
[20230.435] nappamatei: トラボ！?
[20230.841] tentough: スト5  からの6
[20230.856] LGA2011: どんだけ来たいのw
[20230.938] ロミヲ: りゅーせいもももちに勝ったりしてる
[20231.259] maddy2623: クラち
[20231.394] akinikuihuku: ガチ君すごいな
[20232.016] prisira: りゅうせいやったか？
