[65.005] (S)kobayan86BRZ: きたああああ
[14883.240] (S)きゃんたマンモス西: カラシゴロシ？？？
[14885.849] lucentsnow: シュレディンガーの猫
[14891.558] kumatedd: 生死の瀬戸際だな
[14896.705] (S)~MISSING_COMMENTER_INFO~: googleの負け
[14900.158] fdsfdddd: シュレディンガーのウメキャット
[14900.408] freeloop012: カリンコス、かわいい
[14900.812] LT123456: 牛おじに夢中で対戦見れない
[14904.411] らみはい: 読み応えがありすぎる怪文書
[14907.434] nozomaro: しかしこの配信あったかすぎだろこんな怪文書が受け入れられるなんて
[14912.784] レム__: （まだ）の言い回しがいいね
[14916.251] pandascal: おもろうてやがてダメージに語感が似ているのでゴチンコ師匠の可能性がある
[14935.704] ArmyRemiX: its daigo birthday?
[14942.329] kirsch_jing: yes
[14945.211] orange016: む、むつかしい話…
[14946.295] imfrom2080: VPNde
[14948.738] ArmyRemiX: no wonder i woke up feeling so good
[14950.762] 爷独自存活: 驚かせます！ある所は近いうちにいっしょに世間をぞっとさせる殺人事件が発生して、1人の独りぼっちの老人は家事の農期で数人の強盗に家の中に突入させられて、ある物果実を請求した後に意外にもそれを残忍に首をはねて殺害します！法の網が非常に広大で、なんじを怠って抜かさないで、これらの暴徒はきっと法律の制裁を受けます！
[14955.563] (S)llflyingfish: yes daigo birthday
[14960.896] prototypeie: あっ
[14966.234] ArmyRemiX: happy birthday daigo
[14966.620] (S)ぼんじゅ: 飛びがないと地上戦に集中したカリンは相当脅威
[14967.419] みえけん: マジレス
[14969.948] h2hiroyuki: よく人が死ぬ怪文書だ
[14971.488] (S)kurataro: 急なバイオレンス
[14972.950] leere1017: ニュースになった
[14975.561] Fazh: tomreoREKT
[14976.228] FuToDoKiMoNo: 夕飯から戻ってきたらまだ牛おじいて草
[14976.729] 不渡哲也: 牛おじ でたらめにハンサムに続くパワーワードはなかなか出てこないな
[14977.252] (S)zakkn: 暴徒
[14979.041] (S)エリ_10: 怖
[14979.911] neon_d99: やっぱ地上だけで行くのは本当にきついんだな
[14980.620] spring__thief: 何がおもろいねん
[14981.727] kombatjunkee: happy birthday daigo 🍰💓
[14983.392] (S)domontyan: じいちゃん首はねてころしたのか
[14984.732] fdsfdddd: 謎の告発を始めた
[14985.695] kirsch_jing: ウメちゃん、誕生日おめでとうって。
[14986.815] (S)すぐそれ: 法の鋼
[14987.331] lucentsnow: モーコンの話か？
[14987.607] gengoro1198: 荒らしなのかな？ この長文。
[14987.841] balthazar000: 英語ニキからも祝福されてますね
[14994.121] shochann: かりんってベガの女版でしょ
[14996.837] 爷独自存活: 复仇者联盟4
[14999.593] 爷独自存活: 灭霸
[15001.806] orange016: 宗教かな？ンー、わからん
[15002.489] h2hiroyuki: ここまで読んでもなおストーリーが全くわからん
[15006.103] 爷独自存活: 你们没看懂吗
[15007.104] (S)v401: おいくつになったんですか？
[15010.081] tarantarantaran: umeBoom
[15011.012] yuyu09250925: かりんつよいー
[15013.340] kumanobed: 38
[15014.907] (S)tenten2156: ３８
[15015.522] (S)kaworuko19: 38
[15016.548] (S)myruju: トリガー中サマソの着地２Fくらいにならんかな
[15017.371] king_katsuhisa: umeCat2
[15017.657] (S)すぐそれ: サンパチ
[15017.909] freeloop012: 世界から、誕生日お祝いくるね、おめでとう
[15020.430] blackuma: うめちゃんおめでとうやで
[15021.841] LT123456: 嵐じゃないよ、みんな楽しんてる
[15021.913] fukuzawa1manyen: おじじゃん
[15024.336] (S)zakkn: おじだねー
[15024.344] jony_avion: おじやのう
[15026.877] neon_d99: 本人よりリスナーが知ってる
[15028.041] user81023: ウメG
[15031.141] (S)domontyan: ひさびさにウメ猫みたいんだｇ
[15031.333] prototypeie: ウメちゃん おうし座か
[15032.447] (S)tenten2156: おめでとー
[15033.365] (S)ぼんじゅ: いっそのことpunkには豪鬼被せた方が早いかもしれん
[15033.518] (S)ソルダ: あと２年で初老だね
[15033.617] tikamachan: うめちゃん おめでとう
[15036.929] kamisimeru: うそおお
[15037.290] lovinfoot: 食べ盛りだねぇ
[15037.745] レム__: 年齢一緒だ
[15043.037] fdsfdddd: 多分日本語翻訳再開してからの話は牛おじとは別の話でしょ
[15043.495] leere1017: 豪鬼にも↑出るぞアイツ
[15043.906] みえけん: まさか40までゲ０－ムやってるとはねー
[15044.354] mohusann: 結婚おめでとう。
[15048.550] (S)papipopon: ウメ老
[15054.295] harahara02: 肩が上がらなくなってくる年だな
[15054.453] lucentsnow: ウメキャットおらず
[15055.586] Fazh: 1980?
[15056.166] (S)小室友里: ウメちゃん寿命の記録更新するのか、じゃあ俺もまだ頑張って生きるわ
[15056.299] dspread: cheer100 cheer100 cheer100
[15056.340] ~MISSING_COMMENTER_INFO~: SAKOさんが４１になるんだっけ
[15056.641] leere1017: え
[15056.906] xdfwjfpf: マジ？
[15058.455] kirsch_jing: ときど対策で豪鬼練習してるんじゃない？
[15059.174] (S)kurataro: カタカタカタｗ
[15061.843] fdsfdddd: ええ
[15063.377] imfrom2080: HolidayPresent
[15063.380] momochan6: ほんとに？
[15065.330] (S)margareta1111: 世界最強では？
[15066.960] phantavision: 100歳になっても格ゲーやっててほしい
[15068.328] ryokutya3: よく反応できるね
[15068.697] (S)sora_neko09: sakoさんは今年で40歳
[15068.704] 爷独自存活: 回が帰省して下痢をして大きいサイズにしゃがむあって、便所あのような、次に肥だめを蓄えるので、たばこを注文して少し気晴らしをして、1口最後を引き出し終わって、ついでに穴の中でへなくします…“ばん！” その日の日光が美しくて、夕日がちょうど良くて、私はお尻を折っていて、祖母の押エの水道管は私にキクの花に突き進みをあげて、また美しい朝焼けの光も私のその時のあわて恐れるのを拭いていけません…
[15069.945] prototypeie: スト5のキャラだと誰と同じ？
[15072.898] kumanobed: sakoさんは今年40歳
[15074.460] (S)kaworuko19: アルデバランについてどう思った？
[15074.489] (S)すぐそれ: ゲマビ４２？
[15078.138] お灸: アラフォーがトップにいられる業界っていいな
[15078.564] kirsch_jing: 下痢かー
[15082.089] pandascal: まず入力の早さがおかしい
[15084.923] (S)kurataro: 菊の花はアカンやろ
[15087.053] (S)~MISSING_COMMENTER_INFO~: お尻を折るな
[15087.540] kirsch_jing: お尻を祈る
[15088.433] kumanobed: ゲマビは40歳
[15089.674] (S)sora_neko09: ゲマビも今年40歳
[15090.046] lovinfoot: 牛おじも喜んでる
[15090.570] xenys3: おじ強いな
[15090.974] (S)oguricapg1: ばん！
[15091.921] ~MISSING_COMMENTER_INFO~: 40かあらためてすげーな
[15096.192] ~MISSING_COMMENTER_INFO~: おめでと〜
[15097.294] (S)shomarusan: ７０才くらいでも大会で上位に言っててほしいわ
[15099.314] kendokozi: この謎の呪文は何w
[15104.022] LT123456: お尻を折る
[15104.393] (S)すぐそれ: あ、sakoゲマビ４０か
[15107.489] ebismine47: お尻を折ってるらしい
[15108.021] 爷独自存活: 菊花，尻
[15108.498] momochan6: 拭いていけない
[15111.489] (S)zakkn: まーじか
[15111.571] torstenvorderlaichen: ist this real?
[15122.295] 爷独自存活: fake
[15128.610] torstenvorderlaichen: thx
[15132.205] (S)kou967904: アールさんも40歳
[15132.312] 爷独自存活: just funny joke
[15137.009] fdsfdddd: お尻を折るはしゃがむみたいな感じかな？
[15138.043] あけち002: アレおじって何歳？
[15148.434] freeloop012: おじ祭り
[15155.267] みえけん: バックドロップ叔父さ
[15157.366] neon_d99: アレおじ最年長？
[15159.411] (S)gomeeeeeeen: 意外とおじやないな
[15161.651] user81023: アレックスおじ
[15161.874] balthazar000: sakoさんと同じくらいなんすね
[15162.735] (S)canon_203: もっと上だと思ってた
[15163.677] (S)tenten2156: へー
[15167.565] imfrom2080: もっと上かと思ってた
[15168.806] sh1zuku716: まだ41なんだ
[15172.666] harahara02: ちょいおじやね
[15173.885] (S)sora_neko09: アレックスヴァイエは41歳
[15174.764] みえけん: ヌキって何歳なの？
[15175.660] LT123456: 最年長ってゲマビ？
[15177.316] あけち002: ほー４１歳なんだ もっと上かとｗ
[15178.154] freeloop012: アレおじww
[15179.769] gowest2018: 意外と若かったアレおじ
[15180.486] ﾃﾄﾗﾝ: みんな50歳まで続けてるのかねー
[15180.819] prototypeie: アレおじ ダンディーだよな
[15180.826] (S)potato198504: 昔はハンサムだったよね
[15183.394] fdsfdddd: チョイボーイは今いくつだろ
[15183.960] pandascal: 昔のアレおじもすげー痩せてたんだよなぁ…
[15185.445] (S)kaworuko19: アレおじ渋すぎ
[15186.785] balthazar000: ZERO3の時の映像みるともっとさがあるように見えた
[15197.630] sh1zuku716: 41にしては渋すぎるな
[15197.682] gengoro1198: ヌキさんは一つ上だから39
[15197.927] hanpamon: ヌキさんは39かな
[15199.363] lovinfoot: 今の30台が老人になる頃はゲーマー老人で溢れかえりシルバー向けゲームが一大市場になる
[15201.875] (S)Kanquez05: ツイッターみてるとフィリピーノマンが昨日誕生日だったっぽい
[15201.889] oinari6: アレ叔父とエラく長い付き合いになったもんだね
[15202.924] みえけん: ZEROんときかっこいいよな
[15214.407] nozomaro: zzero3の世界大会のとき２０だったもんねアレおじ
[15222.540] neon_d99: アレおじハッピまだ持ってるのかな
[15223.622] (S)syrup9000g: 大貫 オオヌキ
[15224.694] sh1zuku716: 番長オオヌキ
[15233.493] Truth_function: ヌキさん39って若いね〜
[15235.955] balthazar000: そういやそうっすね
[15238.480] user81023: ヴぁいえい君！
[15240.021] とりあえずちさと: あのころめっちゃゴツかった
[15240.550] harahara02: ぬきさんまだ10代じゃなかったのか
[15240.994] infamous2ndgg: 私たちが、尊敬される老人は有望な若者たちをどのように訓練するかを知りたがっています。
[15241.041] LT123456: くんから、おじへ
[15241.247] momochan6: 動画見るとクソ若い
[15244.301] neon_d99: ウメちゃんZERO３の時のブレザーまだ持ってる？
[15244.995] 爷独自存活: 単身の女の子があってか、私はあなたを起きさせるの、あなたに付き添ってチャットして、毎日あなたにおはようございますを言って、おやすみなさい。もしもあなたはあなたのその人に出会って、互いに削除します。もしも私達は感情があって、私をあなたに付き添って生き残った命を行き終わらせます、王女はあなたにただ、だけを抱きます。土の味の睦言、ただあなただけにあげます。
[15247.871] (S)syrup9000g: 細かった
[15252.186] みえけん: 子供ビルおじさん
[15254.507] imfrom2080: alex valle kun
[15260.488] taroumaruh: WutFace
[15260.576] kumatedd: 若手育成の話題
[15262.264] sh1zuku716: もう長文腹いっぱい
[15269.970] ttp_hayato: これって肩のへん見てるの？
[15270.024] ebismine47: ウメに愛を囁いてるな
[15272.399] Nikogel360: '81：ウメ板ザン '80:大貫 ’79:sakoアール大須
[15280.122] Nikogel360: (敬称略
[15281.257] sheepgodm: ヒットボックスて一部キャラで異常なクオリティ出せるってわかったら大会で規制とかされんのかな？
[15287.750] freeloop012: ビルおじ、ヌキさん
[15288.574] 爷独自存活: not草，is 卧槽
[15289.393] らみはい: この文体で長編小説書いて
[15293.935] ttp_hayato: 後ろなのか
[15294.186] あけち002: 長文読んでも 意味がわからｎ
[15296.353] bojka: mika 
[15296.720] (S)syrup9000g: 今まで規制なかったのに今更？
[15301.245] (S)sasadeer: cheer100 たんおめ！
[15301.805] (S)るぅの: Zさんもタメか
[15311.200] gowest2018: やや足の広げ方が違うような。足元全体をぼやっと見る感じでしょうか
[15313.424] leere1017: 規制されるのもおかしな話だと思うが
[15314.264] user81023: タン塩！
[15314.774] neon_d99: されたらされたで勝てるというスタンスで初
[15326.339] (S)triton11519: もうヒットボックスでCPT参加してる人居るんだけど
[15328.394] 爷独自存活: 卧槽 is i fucking
[15328.756] sh1zuku716: 大会連続優勝くらいしないと規制されなそうだけど
[15330.810] harahara02: 規制始めたら純正パッド以外だめになっちゃいそう
[15331.081] Joker_plus237: そしたらパッドも対象になるじゃん
[15336.264] hanpamon: 一部キャラの問題ならむしろアプデで直すんじゃないの
[15337.625] (S)すぐそれ: 一石投じる
[15338.772] leere1017: そもそもアケコン禁止
[15340.596] pandascal: 龍も40であの紫スーツ着てるのか…
[15340.892] Mossarish: ちょいラグそうだな
[15343.971] (S)sei_6: 昔からあるから大丈夫でしょ
[15347.086] gt_26_t: 結果として規制されてもまあ不利ってわけじゃあないしなあ
[15350.292] (S)kurataro: no f-word pls
[15350.508] (S)myyah0999: ガフロ風穴開けたか
[15351.597] とりあえずちさと: アレ
[15351.716] spring__thief: 毎度この話しててみんな飽きないね
[15356.713] (S)syrup9000g: わっかんねー
[15357.263] (S)une3333: 龍はもうあのスーツは着ないんだ...
[15358.586] (S)hituji__: へる
[15361.409] xdfwjfpf: 野田さんウメの２こも上なのか
[15365.299] (S)gomeeeeeeen: ヒット確認！
[15366.240] (S)syrup9000g: ｯｹｲ
[15366.688] (S)shomarusan: これで見当違いなガイル弱体きたら相当萎えそうやな
[15368.412] Admiralshiroryu: what a mix up
[15368.682] h2hiroyuki: キーボードとか規制しだすとデバイス業界敵に回しちゃうし、そもそもその流れはもう何年も前に業界でやってる
[15372.499] pandascal: 練習の成果でたな
[15375.200] xenys3: パッドも禁止とかなったらパンクとかナックル辞めちゃうしヒットボックスだけ規制は出来ない
[15375.969] sh1zuku716: 正直パンクのパッドの方がやばいしな
[15376.629] (S)potato198504: 減るな
[15377.041] (S)たあぼ0126: 確認ばっちし
[15380.731] (S)radi38: 中足トリガー発動精度やばない？
[15382.238] (S)snowblack515: オリンピックですら日本人が活躍した途端ルール変更とかあるくらいだよ
[15384.702] prototypeie: むしろ規制される程勝てたら、ウメちゃんすごいよ
[15385.742] kagiyoshi: コマテク全否定になっちゃうから流石に？
[15389.191] user81023: すばらしい
[15397.099] neon_d99: ガフロコンで使ってる基盤だけ規制することはまあできそうだけどね
[15397.527] (S)二丁目: 人がやる以上公平にはならない
[15398.475] (S)syrup9000g: そうしましょう
[15398.489] aubergine101: パッド否定はPS4否定に
[15398.795] xdfwjfpf: まぁ文句言ってもね
[15398.886] あと1983: ふ～どイズム
[15399.364] (S)tenten2156: いいね
[15400.221] (S)山田たろう太郎: 唯一神が
[15400.470] (S)domontyan: そりゃそうだわ
[15401.658] (S)une3333: さすが
[15402.628] (S)きゃんたマンモス西: グッバイ小野
[15403.308] (S)margareta1111: 本当それ
[15403.914] (S)canon_203: ガイルハイ
[15405.111] h2hiroyuki: ふ～ど式、あるもので闘うスタイル
[15405.386] レム__: さすがプロ
[15405.408] may0nn_aaaisee: 漢だねぇ
[15405.765] k_roid: ヒットボックス規制したら純正コンだってつかえなくなっちまうぞ
[15406.032] Casablancar: どのゲームでもいえることだね
[15406.239] (S)ぼんじゅ: 一生強い豪鬼とかね
[15406.597] (S)zakkn: 人は変えられない！
[15406.668] (S)hituji__: 勝ち続ける意志力
[15412.132] sinkirou: リュウは酷かった
[15412.345] moscat0c7: 何してるかわからないオンラインなんかおわりだな
[15414.226] Truth_function: かこいい
[15414.784] (S)shomarusan: 小野への期待はもうやめた
[15415.192] Papapadad: しかし新キャラも調整も一切こないな
[15415.253] balthazar000: むしろ期待出来ないっす、、、
[15415.395] (S)gomeeeeeeen: 開発は”敵”
[15418.757] (S)るぅの: キャラ差は埋まらないよね
[15418.866] roytaly: 弱いキャラを頑なに強化しない理由ってなんなんすかね？
[15419.897] momochan6: アレックス(´;ω;`)ﾌﾞﾜｯ
[15420.747] (S)une3333: はいっ！議論終わり！
[15420.941] xdfwjfpf: この世の摂理
[15421.598] ryo330: もう調整には期待できない
[15421.776] kumatedd: なるほど・・・
[15424.851] (S)canon_203: ベイビー
[15425.633] fourper212: 小野聞いてるか？
[15426.878] (S)domontyan: 豪鬼はずっと強いままずっと最強のまま ナーフはされない
[15428.081] tralalad1ngdong: is daigo going to use that hitbox at tournaments?
[15429.312] fl0kis: 公平な調整なんて格ゲー史上あっただろうか？いや無い
[15430.042] fatchen10291: Jab to victory
[15430.218] (S)超アンディー: 2012という神ゲーからからウル4とかいう闇のアイテム作り出す奴らだぞ
[15433.561] 爷独自存活: 夜に賃貸を開いて、上がってきて1人の人事不省になった女の子、彼女の熟睡した顔を見ていて、私は来たのに安くてむだに占めないのを占めないのを送ると心の中で考えます。それから林の方向へ運転していきます…彼女に目が覚めるように待って、一定は発見することはでき(ありえ)ないです……私は回り道をして多く彼女の20元を受け取ります！ハハハ……
[15433.603] harahara02: バランス良くなりすぎたら絶対つまらないよね
[15433.728] LT123456: 開発は期待できない
[15434.739] prototypeie: 変えられるものは変えていけ
[15435.900] lucentsnow: カプコンこういうの遅そう
[15436.810] montre0001: むしろもう調整は来ないんじゃないの
[15437.213] あと1983: ウメジャスティスきた
[15438.607] hadogamosenpai: 長文もういいよ 
[15439.373] げろげろまる: 1キャラしかない格ゲーなら公平
[15445.475] (S)sora_neko09: 人に何かを期待するのってストレスだからね
[15446.115] Giancarlos20: hello!
[15446.466] northernpike777: プロはそれでいいね エンジョイはやめてくが
[15448.929] 157655: 小野この言葉を聞け
[15448.976] suke2365: 低LPの俺には十分強く見えるんだがまだ全然だめなのか？
[15452.783] sinkirou: eスポーツやるなら調整なしで新技追加だけにしよう
[15455.250] レム__: （ありえ）ないです
[15456.037] lutz001: 小野いいのか！プレイヤーにこんなこと言わせて！
[15459.260] sh1zuku716: 何時まで長文張ってるんだ
[15459.449] (S)hosp1990: うおおお
[15461.818] tokorozawabeast: ヒットボックス出てからウメさんの開発モチベめちゃくちゃ上がりましたよね。
[15462.652] あけち002: はやく６出してほしいけどなぁ
[15463.107] (S)shomarusan: インストール８０％
[15463.604] user81023: みえる！
[15465.762] ぐらんと: もう長文ブロックした
[15467.675] ebismine47: ハハハ！
[15467.802] fapfapjpn: Jebaited
[15469.961] leere1017: 期の所為だった
[15470.061] ~MISSING_COMMENTER_INFO~: ほんとだよ 
[15470.726] (S)gomeeeeeeen: 前ジャンプは見送るだけなの
[15471.428] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[15473.301] gamechanger_f: アケコンレバー辞めてヒットボックスするの勇気いりませんでした？
[15474.133] tk1021: 6いつ出るの？
[15478.482] sinkirou: 投げとか全体の調整ならいいんだけどねー
[15484.810] (S)domontyan: むずすぎる
[15490.003] harahara02: そもそもいま結構バランスいいんじゃないの？
[15491.449] sinkirou: 6は5年後
[15493.096] LT123456: 特にパワーワード出てこないし飽きてきたな
[15494.036] (S)きゃんたマンモス西: スト４アプデして６として出してくれ
[15494.242] xdfwjfpf: なるほど
[15498.590] tk1021: 五年後・・・
[15501.606] (S)une3333: いや俺にも全然強く見えるんだけど、レバーに変えたらレバー方がやっぱり強いんだよね、不思議なんだけど。
[15502.939] leere1017: 今はバランス自体良い筈よ5
[15503.101] (S)gomeeeeeeen: 順番か
[15507.983] jspennst: でもさ、キャラに個性がある限り強弱はつくよ（苦笑）
[15508.110] ta98a: レコーディングで最初に一回ジャンプするのは、レコーディングの開始を分かりやすくする工夫ですか？
[15509.633] (S)zakkn: ひとつひとつ
[15514.193] balthazar000: 背伸びしない か
[15514.440] (S)超アンディー: いくらアプデしても新キャラとディレイは消えないんだよなあ・・・
[15514.685] tokorozawabeast: これレバーに戻しても一次元上がってるなぁ・・
[15515.508] ふ菓子: ふ菓子 subscribed with Twitch Prime. They've subscribed for 13 months, currently on a 13 month streak! お誕生日、おめでとうございます〜！
[15515.776] とりあえずちさと: スト５って画面の上下動が大きいから着地直後余計見づらい
[15517.623] sinkirou: まだスーパーとウルトラが出ます
[15520.079] (S)shomarusan: ウルVとかにならんのかな？
[15522.122] あけち002: ５がまだ続くって小野が最近発言しやから、６は・・・
[15523.252] 爷独自存活: 以前学校をサボって父に捕まえられました!彼はベルトを持って容赦なく私を引き出します!私は突然父の心の中の一定が過ごしにくいのを意識します!先生が言ったことがあって多く必ず両親に関心を持たなければならないをの思い出します!私と父は言います:お父さんはあなたは食事をしていませんか？
[15524.118] (S)山田たろう太郎: マゴさんも似たようなこと言ってた
[15526.114] lutz001: 次のプレミアはレバーなんでしょ？
[15529.446] (S)山田たろう太郎: 牛！！！
[15531.779] (S)excelboc: 藤崎瑞希 subscribed with Twitch Prime. 
[15533.393] (S)トモヒロ配信チャンネル: ものすごい勉強になる🎮
[15535.637] (S)すぐそれ: 昇竜セビキャン滅波動動画思い出した
[15539.271] (S)zakkn: まーーじか
[15539.903] hadogamosenpai: @1163352983 
[15540.071] user81023: やったあ！
[15540.700] xdfwjfpf: いけそう
[15542.202] shochann: マジ？
[15542.534] かけ男: これこのまま練習続けてたら普通にできるようになるん？
[15542.678] (S)margareta1111: 楽しみ
[15543.269] roytaly: いいね！
[15543.882] aubergine101: ストロクというと助六みたいな
[15544.155] (S)sei_6: そうしよう
[15544.534] fl0kis: いっちゃいましょう
[15544.593] mikan_otoko: 普通対空したくなるけど その辺コツコツなのすげーわ
[15544.951] (S)nhhhe: まーじか
[15545.529] kumatedd: めっちゃワクワクしますやん
[15547.701] (S)canon_203: ついにプレミアデビュー
[15548.183] h2hiroyuki: なんというチャレンジ精神
[15548.396] レム__: おお
[15549.220] lutz001: まーじか！
[15550.199] blackuma: 海外でニュースになりそうやね
[15551.721] Gordstorm: いっちゃおっかなー
[15553.508] (S)shomarusan: 対戦会しだいです
[15555.424] (S)une3333: え、マジ！？
[15555.661] suke2365: 負けてもいいからHBでいってほしいなあ
[15555.854] (S)hituji__: 早いもんがちだし
[15556.605] gratinu: 中段見てからサマーをみせていく
[15557.682] Hujimakitaichi: おぉ
[15557.853] (S)radi38: そういえばサマー出なくなる問題は大丈夫？
[15560.368] (S)domontyan: 楽しみとはいうけど、勝率どうなのよ・・・・
[15560.494] prototypeie: まーーーーじか
[15562.040] (S)きゃんたマンモス西: いってみないと現状わからんしなあ
[15564.281] 爷独自存活: @hadogamosenpai cute
[15564.933] gamechanger_f: レバーで練習もしてるの？
[15566.876] krtwitch2013: まじで？？？？？
[15570.721] sinkirou: コンボブレーカー勝ってほしい
[15570.970] lucentsnow: ふ～どはどうすんのかな
[15575.234] lutz001: そうなるとマシントラブルが心配やな
[15575.786] (S)papipopon: 持っていくならちゃんと整備してね
[15576.781] kamisimeru: 少なくても野試合で見せびらかしてブームにしてほしい
[15576.826] prototypeie: 早期実践投入
[15577.045] LT123456: 次は何出るの？プレミアCEO？
[15578.328] k_roid: 勧めたふ～どより実戦投入早いのは草
[15578.653] krtwitch2013: 流石に練習部屋それまでに行くよね？？？
[15578.894] leere1017: 地道にコツコツ
[15580.131] xdfwjfpf: 深いなぁ
[15582.454] TARAKOJPN: 藤崎瑞希って懐かしいなｗｗ 何年前や
[15584.683] harahara02: アークゲーとかはバランスどうなのかなやったことないからわからんけど
[15586.472] leere1017: 来週コンブレ
[15588.240] (S)shomarusan: つぎはコンボブレイカーに出ます
[15589.135] moyoroy: ランキング大会でいいのでは
[15591.349] (S)hosp1990: やっぱそのへんはしっかりしてんね
[15591.888] tokorozawabeast: ローマは一日してならず。
[15594.984] hadogamosenpai: @1163352983 fxxk
[15595.588] yuyu09250925: ボタンの位置カスタムしないの？
[15601.521] leere1017: 野試合目的でもでかい大会のが良い
[15604.210] (S)るぅの: ウメちゃん強くなるなら何でもよい
[15609.600] LT123456: コンボブレイカーかー
[15609.625] StrongToshimichi: いちいち長文に反応してる奴なんなの？
[15613.485] (S)shomarusan: 梅ちゃんは努力型
[15617.670] (S)たあぼ0126: だから俺紅蓮旋風で玉抜け出来なかったのか
[15620.149] ttp_hayato: 努力はチート
[15620.436] (S)syrup9000g: 花山薫ありがとー
[15621.192] sh1zuku716: 明言 努力はチート
[15630.103] user81023: 体重×握力？
[15630.291] (S)une3333: 「努力はチート」
[15630.913] leere1017: しない奴が悪いやろってのは無しなんかｗ
[15632.607] gt_26_t: 努力は卑怯か
[15634.063] lutz001: 努力はチート
[15637.431] sakuya122: 名言頂きました
[15639.264] Hujimakitaichi: 名言でた
[15641.539] balthazar000: 不遜vs努力
[15644.088] (S)papipopon: 最近刃牙読んでる？
[15646.171] mimi09: 努力すること自体が女々しい
[15646.233] (S)hituji__: ｇ
[15647.928] (S)gomeeeeeeen: これがGだよ！
[15650.079] (S)zakkn: あるえ
[15651.139] (S)une3333: 当たったろ今w
[15655.057] h2hiroyuki: Gはいいキャラだはほんと
[15655.999] (S)shomarusan: オオヌキは才能に溺れた？
[15658.999] コックローチ: 花山薫タイプの格ゲーマーはいないのか。何もしなくても強い
[15660.973] suke2365: さすがダーティ うまいけど
[15661.349] あと1983: ゆうえんちはおもしろいよ
[15661.652] (S)zakkn: スモウ編？
[15669.772] naoppe: 刃牙の関取の話つまんない
[15675.542] (S)une3333: 最近のバキはね...w
[15677.353] (S)hituji__: ネモはG使えばいいのに
[15678.881] sh1zuku716: オオヌキ「努力は女々しい」
[15680.785] (S)A135alfa: 相撲編はどうなんだアレ
[15682.027] gratinu: 握力で相手のパット壊すプレイヤー
[15685.008] みえけん: 使ってるよ
[15686.374] 爷独自存活: 刃牙没什么意思
[15686.720] (S)domontyan: 努力しなくても上手くいく奴なんておらんでしょ
[15690.800] ぶっちゃ: 実を結ぶかは別問題だけどな
[15693.017] レム__: ヌキさんはただ努力が苦手なだけっしょ
[15694.052] hanpamon: ネモ最近使ってるでしょ
[15698.585] pandascal: ？？「俺とウメハラはムック読んじゃダメ」
[15698.836] nozomaro: 俺ヌキだから練習しなくていいでしょ
[15702.400] 爷独自存活: 最近日漫没什么能让我觉得有意思的了
[15704.146] ttp_hayato: オリバの肋骨コナゴナから見てない？
[15705.147] (S)zakkn: しんだあ
[15705.262] (S)une3333: ネモGは確かやってたはず
[15705.350] みえけん: つんよ
[15706.154] (S)gomeeeeeeen: 流石のグラマスG
[15709.726] oinari6: ウメちゃんキン肉マンは読んでないの？
[15709.876] (S)sora_neko09: 努力ができる環境ってのがチートやな
[15710.670] 爷独自存活: 一拳超人还可以
[15711.534] leere1017: Gは慣れの問題かどっちなんかｗ
[15715.655] (S)syrup9000g: やられたねー
[15716.468] aubergine101: つんよい
[15718.505] ryo330: トリガー使ったら一瞬だな
[15720.818] shochann: 歩きコパ
[15721.273] (S)une3333: 俺もオリバの肋骨バッキバキから見てないな
[15723.958] neon_d99: 801戦やばない？
[15725.095] kirsch_jing: G対策は必要
[15727.888] (S)sora_neko09: ヒットボックスをFAV部屋かよしもと練習場で試さないんですか？
[15728.319] mao6601: Gうま
[15732.822] prototypeie: ヌキさんが努力したらヌキさんじゃないでしょ
[15733.090] (S)gomeeeeeeen: 対空が出るG強い
[15733.170] kamisimeru: G需要
[15737.144] (S)pepsi888a: m9
[15738.975] ~MISSING_COMMENTER_INFO~: 台湾だね
[15740.018] shochann: 歩きコパ、パクろ
[15742.827] infamous2ndgg: ねかり奏者の小倉さんのような若者をオフラインイベントで集めると孤立することがあります。あなたは家でどのように感じますか？
[15744.445] sh1zuku716: その辺ｗ
[15744.509] (S)A135alfa: オリバは自滅だし
[15747.710] LT123456: Gと言えば801と日本人の対戦みたいな
[15749.080] (S)kaworuko19: 久保G
[15750.106] pandascal: Gでアルマス前だし
[15752.572] fl0kis: これももちさんだわ
[15753.978] レム__: 努力を嫌った結果、過去にすがるようになったヌキさん
[15758.858] (S)shomarusan: 対戦会でヒットボックス試してからプレミアで使うかは決めるって言ってたよ
[15763.938] user81023: ラグ
[15774.090] (S)うえち: うえち subscribed with Twitch Prime. 
[15777.491] (S)Kurosora: 台湾のひと
[15780.083] sh1zuku716: 台湾ってラグくない？
[15798.213] 爷独自存活: その日に私が強くクラスに口づけをしたのが派手で、クラスが派手で彼の彼氏を探して便所に来て私に詰まって、彼の彼氏は3人を言って、私はやはり(それとも)私のその日の壮挙を忘れられないで、俺様のモップは大便をつけて呂布に似通って世にいて、まったく天上の神は1v4下界に下ります！
[15804.713] ebismine47: G使ってみて対策進んだ？
[15807.318] ~MISSING_COMMENTER_INFO~: 香港はラグいっしょ。BeasTV杯大丈夫かな
[15809.924] (S)ayataka33: w
[15811.576] sanshosansho: 大便
[15811.579] sh1zuku716: 隙あらば怪文書ｗ
[15815.672] pandascal: NLとかはかなりラグ無いような
