[6.497] 5don: uyuyuyuWww
[850.132] tentough: D足首爆発END
[850.301] daruma2597: Dけっこう必死だ
[850.871] forthemoment_elt: Dがふにゃふにゃしてきた
[859.979] redbull_daisuki: hs001D
[860.208] nonsandayo: これもっと暗くなるのかな
[860.214] Hitode_noko: Dはもうイソギンチャクみたいになってるな
[863.747] 猫神寝猫: D氏口数少ない所じゃないなwww
[866.105] taiyaki_ltd: ブラッシュアップライフ見たほうがいいねw
[868.140] gajonaori: Dは軟体動物
[868.440] neon_d99: もうすぐそこだな
[870.656] アベ0206: Dさん最後までもつかなあ・・・
[870.971] yut7xot8: Dは明日やばそうだね
[871.371] (S)gyu_nyuu_pann: 設定追加
[876.539] さっぽさんぽ: end
[877.889] neon_d99: あ
[877.968] (S)yukke85: ｗｗ
[878.023] aranami0: あ
[878.641] gajonaori: おっと
[878.778] (S)mogetasan: あ
[878.869] のぞみくん: あ
[879.125] taiyaki_ltd: あ
[879.494] poposuke: Kreygasm
[879.871] (S)hone253: あ
[879.875] HirocoT: あ
[879.920] Coedawg: umeSalute
[879.967] ddb365: あ
[880.005] (S)やすぽこ: おういえ
[880.124] nonsandayo: あ
[880.576] eremin_39: でいいいいいいいいい
[880.636] (S)闘劇のアルベルト: あ
[880.637] (S)~MISSING_COMMENTER_INFO~: 突然の４
[880.994] (S)tilia211: あ
[881.245] (S)gyu_nyuu_pann: あっ
[881.514] れんぞね: あ
[881.580] matumatu777: あああああ
[881.634] icyblue1985: なんだろなぁ
[881.647] cook_5921: あれ
[881.928] Mrk111: 突然の死
[882.288] kame277: あ
[882.381] ohyoi2002: LUL
[882.574] tentough: あ
[882.867] (S)黒光り肉の: 転生した
[883.201] (S)shinobuchan4649: このあと亡くなったんだよね・・
[883.304] エグバート: 当然視
[883.399] (S)m1s4m0: あ
[883.468] (S)Maloneal: タイムリープした？
[883.533] syugi3: ん
[883.545] (S)mart_00_: wwww
[883.842] アベ0206: ありゃ
[884.816] balthazar000: Dはユーモア枯れた
[885.731] nanaadhd: タイムリープした
[885.884] 何も知らないジョンスノウ: 聞けないw
[886.073] (S)gyu_nyuu_pann: なんだろうなぁー
[886.127] アンインストール: あ！遭難だー！
[886.198] (S)まぜお: あ
[886.375] sam21111: ふぁ
[886.517] (S)takashi726: リセット
[887.054] のらねこさん: 人
[887.097] (S)hone253: 気になるところでw
[887.347] や8: あ
[887.361] LEE4646: いいところで切れるｗ
[887.422] ebifuryai: あとちょっとなのに
[888.063] ヨコグシ: あ
[888.226] masarin763: ----おしまい---
[888.446] nipopo2682: 生まれ変わるのか
[888.487] (S)やあああ: なんだろう・・
[888.991] だいこん_: umeYay
[889.605] lun__01: 設定追加
[889.783] (S)raurakd: いいところでw
[889.818] porcupinepine: 山
[889.828] ohigekujira: せまりくる山
