[11.762] (S)~MISSING_COMMENTER_INFO~: ｷﾀ━(ﾟ∀ﾟ)━!
[12640.134] Ruria00: え？！
[12640.312] isaco135: www
[12640.376] (S)るでぃにあ: あ
[12640.596] わさびじる: wwww
[12640.702] (S)syamuneb: FF多すぎwwwwwwwwwwwwww
[12640.712] hatiti88: wwww
[12640.727] おが0428: おっと？？
[12640.792] hannrei46: あれ
[12640.819] れもんちぃ0: wwwwwwwwwwwwwwwwwwwwww
[12640.913] (S)saraniron: wwwwww
[12641.015] an_do121: 裏切り多くない？w
[12641.111] にわすずめ: wwwwwwwwww
[12641.134] ゆうくん2727: ふわっち〜！
[12641.201] ayunosioyaki0223: えwww
[12641.296] (S)ラウド25: radaoW
[12641.375] (S)ｼｷ_: まっずwwww
[12641.650] (S)suzunone_: まずい
[12641.873] のらごま: お
[12642.011] (S)ura__5: wwwww
[12642.124] 46_ika: wwwwwwwwww
[12642.163] raiz2331: 急にやばい
[12642.238] kurageru: ｗｗｗｗｗｗｗｗｗｗ
[12642.346] akayayee2: wwwwwwww
[12642.387] harou_momiji: えｗｗｗ
[12642.444] ドミノくん: あ
[12642.448] エンデラ: 兄弟ｗｗｗｗ
[12643.021] カイソウデラックス: 連射できるの？
[12644.067] aina___10812: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[12644.084] seillane: wwっww
[12644.097] kuro_300: あかんｗ
[12644.132] (S)夏吉: あwwwwww
[12644.468] 00kurosuke: まずーーーい
[12644.903] りゅい: あれ？
[12645.123] oruka_kun: GTAに慣れすぎて単発でしか打てなくなってる
[12645.501] akane_iroirosuki: やばww
[12645.569] (S)funyoi_2241: www
[12645.641] nastumigitya: まっずいｗｗｗｗｗ
[12645.955] many7575: www
[12646.069] (S)らいちょむ: wwwwwww
[12646.145] fuga_334: FF多いってwwww
[12646.158] (S)usakanono1030: まずい？？
[12646.289] (S)ぱわ一: wwwwww
[12646.381] nobume0v0: wwwwwwww
[12646.719] (S)halcloud: wwwww
[12647.081] koorogi07: wwwww
[12647.116] ruu_ha: wwwwww
[12647.148] てんてん0407: あれ
[12647.568] (S)おはおはお: radaoW
[12647.639] (S)yamato333kaki: ふわぺんｗｗｗｗ
[12647.659] 877kuskus: ちょっとwwww
[12647.861] 橙紺: wwwwwwwww
[12648.399] harou_momiji: うますぎｗｗ
[12648.600] yume_1103: しすー！
[12648.772] (S)ウルトラ戦士: wwwwwww
[12649.017] seruta0822: あれ？雲行きがw
[12649.481] あらんえむかーびぃ: ｗｗｗｗｗｗｗｗｗｗｗｗｗ
[12649.545] (S)chokemimi: wwwwwwww
[12650.065] seillane: wwwwwww
[12650.097] ゆずシフォン: wwww
[12650.195] しゃわしゃわかれー: おーいww
[12650.364] (S)うぷしろ: バーサーカーすぎるwww
[12650.375] tororodonnmaji: ギャングのボスが弱くたっていい
[12650.462] (S)hakurin12: 嘘やんwww
[12650.580] sayorin25256: Wwwwww
[12650.670] Halu0401: 無理無理無理w
[12651.146] (S)tabasukomothi: ｗｗｗｗｗｗｗ
[12651.191] ﾅﾏﾁｬ: wwwwww
[12651.366] gawrib: wwwww
[12651.870] あるみ屋: wwwwwwwwwwwwwwwwwwwwwwwwwww
[12652.099] 00kurosuke: 数的有利が…
[12652.211] mayoeru0116: wwwwwwww
[12652.688] おが0428: むりむりwww
[12652.737] む_むちゃ: www
[12652.789] 銀河ポテト: wwwww
[12653.027] のらごま: wwwwwwwwwwwww
[12653.040] ayunosioyaki0223: wwwwww
[12653.311] Ichigo_Strawberry15: wwwwww
[12653.444] (S)enemyacc: wwwwww
[12653.603] raiz2331: wwwww
[12653.723] (S)おはおはお: wwwwww
[12653.747] (S)ねるなよ: wwwwwwww
[12653.755] mizumoti_42: wwwww
[12653.843] 雨傘ライ: wwwwww
[12654.094] (S)tabasukomothi: あーあｗ
[12654.372] (S)syamuneb: 無理wwwwwww
[12654.758] (S)ｼｷ_: wwwwwwwwwwwwwww
[12655.056] のらごま: 無理wwwww
[12655.180] (S)fukut403: wwwwww
[12655.276] あるみ屋: むりむりむりww
[12655.465] タクトン: radaoW
[12655.502] りゅい: wwwwww
[12655.696] しゃわしゃわかれー: 不破ペンw
[12655.696] (S)ura__5: wwwwww
[12655.931] わらびもち_11: wwwwww
[12656.129] lemondaifuku: wwwww
[12656.343] ばのさん: むりwww
[12656.531] seillane: うっま
[12656.688] yume_1103: wwwwww
[12656.921] 877kuskus: 無理無理無理wwww
[12657.223] (S)八坂乃宮: ゆぐどら自爆多いw
[12657.430] (S)tatuo252: 無理無理www
[12657.836] same__15: うま
[12658.036] (S)TaichiTakedaJPN: ｗｗｗｗｗｗｗｗｗｗｗ
[12658.058] すいそさん: www
[12658.112] 逢碧はる: むりw
[12658.235] もすぱー: wwwwww
[12658.267] (S)ねるなよ: 無理草
[12658.366] sora_mameee: うまｗｗ
[12658.376] (S)ぱわ一: むりwwww
[12658.643] MORIYA_37: www
[12658.823] (S)syamuneb: うま
[12659.054] (S)マロン_: おお
[12659.326] jun08081031: 青春アミーゴffえぐいwwwww
[12659.570] oshousantotanbo: www
[12659.618] (S)さわタイ焼き: うっま
[12659.744] (S)s_solleil: wwwwww
[12659.781] (S)黒ごまソフト: うっま
[12660.011] リッック: らっだぁ銃の使い方まちがえてね？
[12660.213] gawrib: 頑張れ！！
[12660.260] akane_iroirosuki: いけいけ!!
[12660.434] yume_1103: うまい！
[12660.634] れもんちぃ0: しすwww
[12660.739] (S)kuro_kuro03: ｗｗｗｗ
[12660.886] (S)ni_ha218: wwwwww
[12660.906] のらごま: うま
[12660.944] raiz2331: お
[12661.198] てんてん0407: ゆぐどらすぎてゆぐどら
[12662.285] あるみ屋: うまいwww
[12662.343] (S)らいちょむ: wwww
[12662.727] りゅい: うっま！？
[12662.955] (S)るでぃにあ: むりむりむり
[12663.434] fuga_334: ちょっと空気悪いか
[12664.314] みよく: らっだぁ連射してない？
[12664.536] seillane: あああああああ
[12664.574] (S)syamuneb: ガチだwwwwwww
[12664.589] 雨傘ライ: wwww
[12664.624] (S)rain_less: ちゃんとやってるwww
[12665.013] himikokichi_06: おっし
[12665.199] (S)hanada_2: シフトww
[12665.498] many7575: 足音消してるwww
[12665.679] 橙紺: 青春アミーゴえぐいww
[12665.695] akane_iroirosuki: あー！！
[12665.773] (S)ラウド25: radaoW
[12665.889] Halu0401: あーwww
[12665.918] sora_mameee: ああああああ
[12665.967] あらんえむかーびぃ: ああああああああああああああ
[12666.043] tukky1208: あああああ
[12666.100] 877kuskus: あああ
[12666.104] れもんちぃ0: おｃ
[12666.187] (S)halcloud: あああああ
[12666.282] nastumigitya: あ
[12666.741] same__15: おしー！
[12666.824] (S)yunyun7171: あ〜
[12666.938] (S)MIKU_J0311: おっし
[12666.952] (S)ねるなよ: あああああ
[12666.958] nekodama2155: ああああああああああああ
[12667.042] rikuya114: ガチすぎw
[12667.055] harou_momiji: おしいいいいいいいいいいいい
[12667.359] (S)ame_sui_ryu_8150: 惜しい
[12667.378] ゆき2525: うわーーわ
[12667.462] Ichigo_Strawberry15: うわああああ
[12667.507] (S)arisa_184: おしいいいいい
[12667.533] (S)komatuna_pipipi: おしいいい
[12667.628] (S)きなこ117: おしいいいい
[12667.678] aina___10812: おっしー！！！！！
[12667.680] にわすずめ: おしいいいいいいいい
[12667.705] (S)かやふー: ああああああ
[12667.730] (S)星映天下: wwwwww
[12667.924] (S)syamuneb: うわああああああああ
[12667.982] kurageru: あああああああああ
[12668.113] (S)tabasukomothi: おっしいいい
[12668.156] (S)suzunone_: あー！
[12668.164] 紗弥0926: おしい！
[12668.231] roy_rag: おc
[12668.322] いぬ科: ああああ
[12668.339] (S)kuro_kuro03: おしーーーー
[12668.352] (S)ｼｷ_: ああああああああ
[12668.504] (S)tomako_0309: おｃｃ
[12668.536] スペルタン: ああああ
[12668.586] kuro_300: あああ
[12668.608] darkmoca331: radaoCry1
[12668.709] ui_nagaseui: あああ
[12668.834] TT_13_4: おｃ
[12668.860] ゆき2525: おしい！！
[12668.923] (S)黒ごまソフト: おっしいいいい
[12669.982] (S)らぺん: wwwwwwwww
[12669.994] goriie1222: おしいいい
[12670.039] (S)hakurin12: おっしーーーー！
[12670.185] (S)ねるなよ: おしいいいいいい
[12670.220] (S)Rimon_sky: ああああああ
[12670.247] ~MISSING_COMMENTER_INFO~: おしー！！！！
[12670.301] しめざめ: ああああ
[12670.319] reo_014: ああ
[12670.322] ベニマル: おっしいいいい
[12670.401] murasaki_chan: あああああああ
[12670.420] kuugay0905: おc
[12670.515] ばにら0115: ああああああ
[12670.551] koko_chan55: おc
[12670.652] (S)さわタイ焼き: おc
[12670.709] みさお婆ちゃん: おっしい！
[12670.743] エンデラ: おっしい
[12670.757] 雨傘ライ: おc
[12670.836] 877kuskus: おっしー
[12670.872] nobume0v0: おしいいいいい
[12671.292] (S)うぷしろ: おしいいい
[12671.292] 猫又01: おっしい
[12671.306] (S)ｼｷ_: おしいいいい！！
[12671.345] (S)ウルトラ戦士: おしいいいい
[12671.374] (S)syamuneb: おしいいいいいいいい
[12671.490] key_1950: おｃ
[12671.493] (S)おはおはお: おしいいいい
[12671.494] (S)suuchaaa: おしいー！！！
[12671.594] ayunosioyaki0223: おcc
[12671.685] ぴあす: ああああああ
[12671.707] ザシュン: おしー
[12671.708] isaco135: おc
[12671.733] わらびもち_11: おしいい
[12671.799] (S)reiki_1220: おc
[12671.859] suiha_7: radaoBigcry
[12671.915] sayorin25256: あああああ
[12671.942] (S)saraniron: おc
[12673.041] sora_mameee: おっしいいいい
[12673.248] nekoneshi: おしい！
[12673.271] kon0703: おっっしーーーーー!!!
[12673.301] (S)tabasukomothi: radaoG
[12673.478] seillane: おしいいいいいいい
[12673.569] many7575: nt
[12673.702] sunomono8: おc
[12673.703] chi_ta_ra: おしいいい
[12673.715] strawberry_7_2: おc
[12673.734] (S)ラウド25: radaoOtaku
[12673.817] (S)yumesawa: おしいいいいい
[12673.889] おが0428: おっしぃぃぃぃぃぃ
[12673.932] (S)しゃおりんです: radaoCry1
[12674.083] Reeslack: かいちょーw
[12674.177] (S)TaichiTakedaJPN: おしいいいいい
[12674.322] (S)otooto_: おっしー！
[12674.401] miyamiya138: おcccc
[12674.401] ゆずシフォン: おc
[12674.439] みえのえ: おc
[12674.456] 6002ao: おしいいいい
[12674.517] salted_Wani: radaoBigcry
[12674.713] oshousantotanbo: あああああ
[12674.746] kazamillion: おしいいい
[12674.761] honekara: おc
[12674.886] haineozZ2: おc
[12674.924] nyaru_nyarusan: おしい！！
[12674.937] sjindoa: nt
[12674.998] bucket_niwatori: おしいいいいいいい
[12675.107] (S)rukan_x3: おc
[12675.149] ごんのすけ: いい勝負だな
[12675.197] 逢碧はる: 惜しい！！
[12675.352] 和泉ぴけ: ？
[12675.376] noboriryuu0519: おc
[12675.394] gurouren: おｃ
[12675.493] 北のまりも: いい勝負すぎるｗｗ
[12675.619] Hana_305: おc
[12675.839] ザシュン: おc
[12676.067] seillane: ww
[12676.123] raiz2331: おしい
[12676.251] (S)るでぃにあ: おしいいいいい
[12676.254] チョコミルクティ: おc
[12676.305] (S)kokone0927: あっつ！
[12676.309] yuki_empty: おしい！
[12676.387] Ichigo_Strawberry15: radaoG
[12676.562] くろざき: おc
[12676.769] (S)pomhono: おしー
[12677.177] (S)yutankonasu: radaoG
[12677.410] にわすずめ: radaoG
[12677.453] nasube8: おしいー！！！
[12677.629] りゅい: 惜しい！！！！！！
[12677.642] 00kurosuke: radaoG
[12677.682] (S)らいちょむ: うわあああああああ
[12677.682] あるみ屋: radaoG
[12677.915] リムヲ: おまいう
[12677.990] re0mi1283: おc
[12678.110] (S)usakanono1030: おしーーー！！、
[12678.203] おが0428: ボス？？？？
[12678.384] harou_momiji: radaoCry1
[12678.395] 猫又01: おい
[12678.485] (S)fu2yu: おしいいい
[12678.486] (S)enemyacc: おっしいいいい
[12678.580] seillane: wwwwww
[12678.810] ムラさん: おc
[12678.888] t0r0ten: おc
[12679.049] ft2828: おc
[12679.217] sosko3260: おい
[12679.230] suiha_7: radaoBigcry
[12679.276] nqta_coconut: あー
[12679.373] tmkhawk: ？？？
[12679.446] (S)ぱわ一: ボス？
[12679.486] (S)かやふー: は
[12679.602] nastumigitya: おっしーーーーー
[12679.914] 紗弥0926: お前は何してた？？？
[12680.057] riren_92: おccc
[12680.132] kuro_300: radaoG
[12680.156] (S)マロン_: radaoG
[12680.231] ユキウサギ0425: おしいいい
[12680.286] shira623: おしい！！
[12680.371] ドミノくん: いい勝負すぎ
[12680.395] (S)rukan_x3: radaoG
[12680.398] sora_mameee: wwwwwwww
[12680.623] nonoami0702: おい
[12680.775] ばにら0115: おい
[12680.853] (S)syamuneb: radaoG
[12680.865] raayu_raamen: radaoCry1
[12681.042] ichi__go: ？
[12681.082] kurageru: ｗｗｗ
[12681.137] sjindoa: wwwwww
[12681.567] (S)みやた23: radaoG
[12681.600] harou_momiji: radaoG
[12681.733] 猫の髭: wwwwwwwwwwww
[12681.768] (S)suzunone_: おい
[12681.790] sayorin25256: おc
[12681.818] honekara: ボス？？？？
[12681.889] (S)ウルトラ戦士: radaoG
[12681.894] 雨傘ライ: おい
[12681.966] (S)asahi__s: ？？？
[12681.976] (S)ゆう1151: あ
[12681.990] (S)たかなしはな: wwwwww
[12682.048] tarabaaaa: ｗｗｗｗｗｗｗｗ
[12682.092] yume_1103: おc
[12682.403] (S)ritoxx12: ｗｗｗｗ
[12682.466] (S)meaurora23: radaoG
[12682.501] Halu0401: どこにいたwww
[12682.531] ゆうくん2727: おc〜！！
[12682.729] suuuuun_666: www
[12682.786] (S)そら_1907: ぼしゅ？
[12682.838] あるみ屋: ？？？
[12682.840] 逢碧はる: wwwwwww
[12682.845] (S)yamato333kaki: ボスなんかした？
[12683.129] 銀河ポテト: wwwwwwww
[12683.160] のらごま: wwwwwwwwww
[12683.329] (S)ぽちゃぽちゃにゃんこ: radaoG
[12683.336] an_do121: お前だけは言うな
[12683.347] (S)reiki_1220: おい
[12683.403] (S)ゆう1151: ｗｗｗｗｗｗｗ
[12683.463] (S)syamuneb: wwwwwwwwwwwwww
[12683.538] (S)kodada85: radaoG
[12683.542] (S)ベスプラ: wwwwww
[12683.599] (S)akai_tani: 0キルさん！？
[12683.739] yoneto_: radaoG
[12683.749] (S)ラウド25: radaoG
[12683.765] ばにら0115: radaoG
[12683.866] raiz2331: お前が言うな
[12683.901] しゃわしゃわかれー: あーーーーー
[12684.076] siro_wara: ｗｗｗｗｗｗ
[12684.175] (S)TaichiTakedaJPN: おい
[12684.231] yume_1103: wwwwww
[12684.278] nonoami0702: wwwww
[12684.278] (S)yashinawaretai_syatiku: ？
[12684.453] yurun_62: wwwwww
[12684.462] ~MISSING_COMMENTER_INFO~: radaoG
[12684.474] rikuya114: おまいう
[12684.498] (S)かやふー: wwwwwwwwww
[12684.638] 雨傘ライ: wwwww
[12684.769] (S)Rimon_sky: wwwww
[12684.882] おが0428: おい
[12684.901] tanuki_pan: radaoG
[12684.910] ゆゆま_: ww
[12686.141] (S)黒ごまソフト: ほんでボスは
[12686.319] many7575: www
[12686.346] ばにら0115: radaoKasu
[12686.373] sayorin25256: Wwwwww
[12686.479] もすぱー: ???
[12686.558] テトりる: は？
[12686.614] しゃわしゃわかれー: おしーーーい
[12686.656] suwabeyuki: wwwwwwwwwwwwwwwwwww
[12686.672] (S)らう57: おｃ
[12686.895] __あお: wwww
[12687.195] (S)ai0902: radaoG
[12687.222] (S)hakurin12: ボス？？？？？
[12687.258] (S)よわいごりら: おまいう？
[12687.331] key_1950: おまいう
[12687.416] りゅい: ボスどこにいた？
[12687.758] kir1mi_343: 0キル？？
[12687.861] にわすずめ: 0キル？
[12688.025] にこにこなんだ: ????
[12688.036] (S)ame_sui_ryu_8150: 8キルｗｗｗ
[12688.044] ~MISSING_COMMENTER_INFO~: ボス？？？？？？？？
[12688.084] 877kuskus: おまいう
[12688.086] (S)きなこ117: radaoKasu
[12688.113] (S)otooto_: wwwwww
[12688.235] (S)nasu_nameko: は？
[12688.246] syau798: wwww
[12688.268] (S)momonokko: radaoHatena2
[12688.346] (S)enemyacc: wwwww
[12688.515] (S)るでぃにあ: 味方殺しいるよね？
[12688.528] suiha_7: radaoG
[12688.748] (S)ni_ha218: radaoG
[12688.836] meramymine: www
[12688.970] (S)ねこねこお嬢: radaoHatena2
[12688.975] (S)Rimon_sky: どこにいたwwww
[12689.064] チョコミルクティ: 0キルさん⁇
[12689.290] (S)MIKU_J0311: nt
[12689.309] おが0428: ボスこら？？？
[12689.327] (S)halcloud: お前が言うな
[12689.356] m044: ｗｗｗｗｗｗ
[12689.459] 紗弥0926: ボスマジで何もしてんやん
[12689.516] oshousantotanbo: wwww
[12689.523] (S)sakusakurano: www
[12689.696] もるかえぬ: おい
[12690.295] コア21: おＣ
[12690.493] yume_1103: お前が言うな
[12690.670] nastumigitya: ボス？？？？？
[12690.716] 00kurosuke: かわいそうすぎた
[12690.844] many7575: おまいうwww
[12690.906] (S)usakanono1030: wwwwwwwww
[12690.914] nonoami0702: おまいうｗ
[12691.605] nekodama2155: 8！？w
[12691.848] ネギ犬: 8！？
[12691.867] honekara: ボスなにしてた？？
[12691.890] _りおん: 0キルが言うなww
[12692.011] akane_iroirosuki: ボスー...
[12692.011] MORIYA_37: wwww
[12692.173] mbando55: 8キル！？
[12692.268] Halu0401: それはそうw
[12692.297] oruka_kun: おまいう笑
[12692.318] エンデラ: ボスは情報落としてたから・・・・
[12692.433] (S)ni_ha218: wwwww
[12692.530] (S)kokone0927: えええええ
[12692.877] koumekomugi: radaoHatena2
[12692.987] 逢碧はる: ぺんwwww
[12693.187] seruta0822: ボス？？？
[12693.458] Ichigo_Strawberry15: 8！？w
[12693.706] ドミノくん: www
[12694.204] しゃわしゃわかれー: ボスどこいた？
[12694.333] an_do121: 3戦0キルさん？
[12694.497] スペルタン: 仲間割れはげしい
[12694.531] おが0428: お前が言うな
[12694.704] akayayee2: おまいう
[12694.748] (S)おはおはお: wwwwwwww
[12694.939] kuzuboshi: ぺ！？
[12694.952] (S)yumesawa: ぺん！？w
[12695.248] あみる: おまえがいうなww
[12695.564] kurageru: ペンちゃんすごいｗｗ
[12696.142] suwabeyuki: ボス？？？
[12696.338] tokoroten29: しすこさんうめぇ
[12696.342] (S)chokemimi: やばｗ
[12696.528] (S)黒ごまソフト: 8！？
[12696.553] りゅい: 8キル！？！？
[12696.567] あるみ屋: ぺいんw
[12696.621] hima_norita: うっま
[12696.670] kinakomochi_1210: ぺんえぐwwwwww
[12696.799] テトりる: お前は何も言えん
[12696.804] anything01125: ぺいん？
[12696.958] shi__409: ボス弱くね？w
[12697.539] 冷たい南風: 3試合0キルま？
[12697.577] (S)やなちゃそ: なーにやってんだ！どこにいた？！
[12698.103] mitsuxx00: 0キルさん?
[12698.189] himazinn_com: IGLしかしてない人が言っとる
[12698.281] rikuya114: 11キル？
[12698.319] 877kuskus: ぺいんとまじかw
[12698.712] しああき: つっよｗｗｗｗ
[12698.721] 科座車: は？？
[12698.961] (S)suzunone_: ぼす？
[12699.017] ムラさん: 8！？
[12699.034] コア21: ぺん
[12699.361] (S)らいちょむ: ぺん！？！
[12699.487] shiroinuno_roa: 0キルもいます
[12700.216] (S)うぷしろ: おまいう
[12700.442] のらごま: ぺんちゃんえぐい
[12700.484] (S)tabasukomothi: ｗｗｗｗ
[12700.493] harou_momiji: ｗｗｗ
[12700.705] にわすずめ: wwwww
[12700.789] isaco135: ぺんつよ
[12700.794] takenokomusi: ぺいん？？
[12701.532] (S)ura__5: ぺんちゃんすご
[12701.686] (S)momonokko: らっだぁ……
[12701.767] yasutamu: 連射しようか
[12702.803] ゆき2525: ボス、、、
[12703.003] nastumigitya: ぺんてゃんすごいな
[12703.170] suiha_7: radaoW
[12703.256] uruma_1213: wwwwww
[12703.268] (S)hakurin12: それはそうwww
[12703.356] akane_iroirosuki: 味方殺すのやめようww
[12703.422] nobume0v0: wwwww
[12703.446] エンデラ: それはきつくないかｗｗｗｗ
[12703.574] sayatk1022: wwww
[12703.681] あるみ屋: wwwwwwwwwwwwwwwwwwwwwwww
[12703.883] raiz2331: 味方注意
[12703.889] (S)いぬひよこ: ボスいた？
[12704.251] ayaka12578: ぺいん、、、？
[12705.545] (S)おはおはお: wwwwww
[12706.078] kir1mi_343: 8マ！？
[12706.216] (S)マロン_: wwwwww
[12706.425] (S)八坂乃宮: ボスなんもできてないw
[12706.507] (S)ac111807: へったぁ
[12706.607] (S)ゆう1151: ｗｗｗｗｗ
[12706.727] (S)ウルトラ戦士: wwwwwww
[12707.006] (S)syamuneb: wwwwwwwwwww
[12707.420] honekara: でも強い
[12707.550] 逢碧はる: wwwwwwww
[12707.578] (S)yunyun7171: それなw
[12707.770] 雨傘ライ: www
[12708.276] ばのさん: それはそうm
[12709.593] an_do121: wwwwww
[12709.658] あるみ屋: ガチw
[12709.819] ゆずシフォン: wwww
[12710.005] ~MISSING_COMMENTER_INFO~: ぽまえは誰かやれwwwwwwww
[12710.025] goriie1222: 味方殺し多すぎｗ
[12710.162] many7575: 一旦FFがねwww
[12710.566] akane_iroirosuki: 確かにそれなではあるww
[12711.251] (S)suuchaaa: まじのやつwww
[12711.655] mia20831: ボス？？
[12711.790] あらんえむかーびぃ: wwwwwwwwww
[12712.273] Hana_305: 笑笑笑笑
[12713.195] nekodama2155: wwwwww
[12713.326] (S)syamuneb: 味方で稼いでるwwwwwww
[12713.932] hima_norita: wwwwwww
[12714.155] akayayee2: 敵殺してないよねぼす
[12714.374] りゅい: そうだわ
[12714.863] pazyuruu: なお0キル
[12715.052] (S)さわタイ焼き: www
[12715.267] にわすずめ: wwwwwwwwww
[12715.267] gawrib: wwww
[12715.303] temmie_555: 11キルｗ
[12715.562] (S)ねこねこお嬢: 計算が合わんなあ…
[12715.791] あるみ屋: wwwwwwwwwwww
[12716.822] mayoeru0116: wwwwwwww
[12716.958] kanthia_: ゆぐどらのキル数あわせると11なんよｗｗｗｗ
[12717.137] (S)ura__5: wwww
[12717.239] (S)ウルトラ戦士: wwwwww
[12717.538] tukky1208: アミーゴさぁww
[12717.627] しゃわしゃわかれー: ぺいんff強いなw
[12717.802] スペルタン: www
[12717.882] ベニマル: ふわぺんwww
[12717.883] 冷たい南風: 0キル…
[12718.753] key_1950: wwwww
[12718.784] miyamiya138: wwww
[12718.803] (S)ぱわ一: wwwwww
[12718.944] りゅい: www
[12719.335] yume_1103: www
[12719.424] ネギ犬: 青しかおらん
[12719.539] re0mi1283: 一旦ねwww
[12720.050] nastumigitya: wwwwwww
[12720.152] (S)suuchaaa: ふわっちwww
[12720.254] touya_821: マイクラ利用者さん…w
[12720.716] sora_mameee: wwwwwww
[12720.850] (S)suzunone_: www
[12722.554] an_do121: アミーゴコンビw
[12722.576] harou_momiji: ｗｗｗｗｗ
[12722.627] 如月望満きさらぎのぞみ: 誤射のぺいんと…w
[12722.843] raiz2331: wwwww
[12723.124] nekotanu65: wwwwww
[12723.672] many7575: ふわぺんwww
[12723.700] (S)TaichiTakedaJPN: アミーゴｗｗｗ
[12723.898] hakatamaa: ずっと0なんよ
[12724.226] akane_iroirosuki: まず味方殺すのやめようなんwwおもろ
[12724.280] sento2308: らっだぁ、毎回一瞬で死ぬの虚しいなw
[12724.280] りゅい: アミーゴまじwww
[12724.736] 逢碧はる: wwwwwwwwww
[12724.891] sjindoa: wwwwwwww
[12724.893] yume_1103: アミーゴwww
[12726.308] poverrr98765: らっだぁヘリないと無理かw
[12726.362] biglovei: 殺気立ってるな笑笑
[12726.483] raiz2331: ころしすぎw
[12727.284] 877kuskus: ゆぐどらwww
[12727.488] ごっちお: ぺんちゃん普段からそういう企画してるからうまいなぁ
[12727.786] nonoami0702: 青春アミーゴ
[12728.777] 音々: 3連0キルっす
[12729.896] kaminoryu_zeno: 誤射兄弟
[12731.451] many7575: 第三勢力www
[12731.583] nobume0v0: 自分たちの首絞めてる ww
[12731.995] oredayo_takeshidayo: マイクラおじさん……
[12732.109] (S)ゆう1151: １ＶＳ１９かｗ
[12732.867] (S)hishaku_o0: コミュニティリーダーさん…
[12733.357] harou_momiji: https://clips.twitch.tv/EnticingAltruisticButterflyCorgiDerp-i8Iosqaf-uf8JK9u
[12734.090] ~MISSING_COMMENTER_INFO~: ボスううううう
[12734.474] (S)syamuneb: ここでも誤射のぺいんマジかwwwwwww
[12735.957] (S)suzunone_: らだおはヘリ必須か
[12736.232] しゃわしゃわかれー: えぐいww
[12736.373] yuzuwo62: ボス何してた
[12738.056] スペルタン: 未だいいとこなし！
[12738.277] akayayee2: wwwwww
[12738.579] goriie1222: 合計キル数１０超えてるのおかしいｗ
[12738.915] gawrib: radaoFight
[12739.497] (S)るでぃにあ: ボスちな0キルやね？
[12740.472] re0mi1283: 流石にこいちwww
[12741.208] 877kuskus: さすがにw
[12741.326] チョコミルクティ: 誤射が消えないゆぐどらしるwwwww
[12741.969] (S)ラウド25: radaoW
[12742.219] 雨傘ライ: radaoFight
[12742.593] game_damasii: 負けてんのに11キルて
[12742.662] (S)kin6100: 11キル（2は仲間）
[12743.605] kuro_300: 飼わないで
[12743.741] hanamaru_chan323: 青が勝つまでやろ
[12743.953] Halu0401: 1キルしたいね
[12743.960] にわすずめ: 飼うな
[12744.061] 冷たい南風: 3試合0キルえぐいw
[12744.345] しゃわしゃわかれー: 青春アミーゴえぐいw
[12744.393] (S)そら_1907: wwwwwwww
[12745.029] (S)yamato333kaki: 地上弱いか
[12745.271] りゅい: ボス今のところいい所なしね
[12745.455] シルキス: らっだぁだけ単発打ちなの笑う
[12745.639] Ichigo_Strawberry15: 誤字w
[12745.985] しああき: だせえｗｗｗｗｗ
[12745.991] 猫又01: ？
[12746.051] (S)syamuneb: 飼っちゃうwwwwwww
[12746.260] (S)ame_sui_ryu_8150: 飼うのかｗ
[12746.485] あるみ屋: wwwwwwwwwwww
[12746.560] (S)hakurin12: 飼うな
[12746.682] (S)enemyacc: wwwww
[12746.726] (S)おはおはお: wwww
[12747.141] Hana_305: 笑笑
[12747.354] an_do121: wwww
[12747.874] ちびでび: 飼うな
[12747.971] (S)きなこ117: ８６８
[12747.973] many7575: 飼っちゃうのよ
[12748.031] (S)ぱわ一: wwwww
[12748.100] mizumoti_42: wwwww
[12748.184] (S)ura__5: wwwww
[12748.203] raiz2331: 飼うw
[12748.633] (S)そら_1907: 868
[12748.843] ~MISSING_COMMENTER_INFO~: 飼うwwwwwwww
[12748.845] (S)suuchaaa: 飼うんだよ
[12748.892] sayorin25256: Wwwwww
[12749.147] (S)suzunone_: やろや！
[12749.176] sjindoa: wwwww
[12749.355] すいぺりあ: 誤字するなwww
[12749.442] 紗弥0926: wwww
[12749.583] (S)rukan_x3: wwwwwwwww
[12749.770] kurageru: やろやｗｗｗ
[12749.789] key_1950: 飼うな
[12749.814] hakuro_same: wwwww
[12749.973] kir1mi_343: 飼われるww
[12750.032] tukky1208: あ
[12750.265] あらんえむかーびぃ: wwwwwwwwwwww
[12750.353] あるみ屋: やろやwww
[12750.523] (S)tabasukomothi: あｗ
[12750.711] れなぽんぽん: やろや
[12750.713] nonoami0702: う
[12750.731] yume_1103: やろや
[12750.745] (S)syamuneb: あ
[12751.099] koko_chan55: 868
[12751.506] charlotte0ra: wwwwww
[12751.544] (S)chokemimi: wwwwwwww
[12751.608] sunomon_o: wwww
[12751.745] 雨傘ライ: 飼うwwww
[12751.825] らんぱに: やろや
[12751.900] (S)さわタイ焼き: あ
[12752.221] tarabaaaa: あｗ
[12752.421] (S)ベスプラ: あ
[12752.470] yunoooa: めっちゃ連射してなぺいんお
[12752.478] mitsuxx00: 飼っちゃうよ
[12752.485] ﾏﾙﾏﾙ: おっと
