[4.024] ゆかりんりん: わこらだ！！！！！
[4350.979] minto13579: やっぱり…
[4351.059] kurono1627: 事実だろ
[4351.101] yuu_915: wwwwwwww
[4351.196] や5: がれきさんやろ
[4351.366] kuusan2: www
[4352.098] かかおしてます: wwwwwww
[4352.128] suke0423: wwwwww
[4352.284] (S)tsuM6G1_: 主催者さんさすがw
[4352.331] binsen_0707: wwwwwww
[4352.360] ぱんだぁぁぁ: www
[4352.382] itigomirukolm: wwwwwww
[4352.787] huku_mm: だよ？
[4352.984] kittyrxxy: wwwwwwwwww
[4353.141] すわずし: wwwwwwwww
[4353.224] (S)にゃんねね: wwwww
[4353.301] dky_i111027: wwwwwwwww
[4353.907] atuono: 見たまんまだよ
[4354.088] あずき_: せんせー！らだおくんが魔女っ子泣かせたー！
[4354.141] (S)sofutokurimu: もんすたーww
[4354.312] momo_0430_: まさちゃん？
[4354.333] sol_8787_: www
[4354.373] rarirarurarua: wwwwww
[4354.525] kaesaru713: ｗｗｗ
[4354.671] アキレゐト: おい
[4354.932] Ruria00: wwwwwwww
[4355.040] (S)dia11313: wwwwwwwwww
[4355.201] Vana_xx: 1番右！
[4355.239] kazushan: 主催さんが
[4355.246] inku_0808: モンスターwww
[4355.252] ut_ren: モンスターw
[4355.278] mofu_0816: カボチャのモンスターw
[4355.302] chiara_1016: 終身名誉おっさん一択
[4355.355] (S)nashu_noike: マサおじ
[4355.548] アストモ: wwwwwwwww
[4355.985] や5: wwwwww
[4356.119] agrqua: wwwwww
[4356.246] さつまいもおいしい: wwwwww
[4356.276] 雪寺: ぬかすな
[4356.417] mimipaadesu0428: まさちゃんでしょ
[4356.501] かがやきみけ: とばしたねぇ
[4356.853] 縮緬雑魚: ちゃんと一人目から見ろよ
[4356.968] (S)remon1503: 決まってるやろ？
[4357.182] 雪狐0143: 事実だろ
[4357.493] ivvvvvvvvvvii: まささん?
[4357.738] (S)ずーねちゃん: がれきさん
[4357.964] i_iiiiiip: 1番右でしょ
[4357.991] 夢現: 一番右から観て差し上げろ
[4358.072] (S)遊島うゅじ: 僕……
[4358.400] shoooootingstar: おい
[4358.776] maccha_dethtoroy: おい
[4359.333] panndaman1: wwwwwwwww
[4360.679] (S)そふぃ3: おいｗｗｗｗｗｗｗｗｗｗ
[4360.915] (S)sjindoa: おい
[4361.401] kitu2456: おい
[4361.869] (S)tarakobb: 瓦礫さんだろ
[4361.932] rinne_o0: おい
[4361.985] (S)drem_chan: まs……
[4362.179] nantara___: 主催者やろ
[4362.219] Ruria00: おい
[4362.407] niku_aburami: おち
[4362.588] アキレゐト: とばすな
[4362.680] シンガリ: 1人目も見ろ
[4362.803] (S)sofutokurimu: ぷろ？
[4362.887] (S)kiba_1129: 右も見ろ
[4363.022] piisuke0428: がれきさん！？
[4363.023] かぁまま: 主催者さん可愛い
[4363.027] mikan_san: まさおじは殿堂入りだからなぁ
[4363.075] asa_0322: おい
[4363.104] stotyan: まさちゃん
[4363.127] miyazawasinpei: 裁判のお姉さんも可愛いね
[4363.314] なななこな: 一番右見ろ
[4363.491] ri_10_: おい
[4363.553] shushushu0924: 1番右も吟味してあげろ
[4363.563] (S)masao0203: おい
[4363.601] hanadango823: おい
[4363.747] kairodi: おい
[4363.872] きのここ: おい
[4363.932] そはる: おい
[4364.059] hinakai_46: 最初から見ろ
[4364.060] rioapr03: ぽい
[4364.126] niku_aburami: おい
[4364.660] ねま_: 1番右の化け物も見てあげて
[4364.900] kurono1627: おい
[4365.019] huku_mm: 魔女裁判の子だよね？
[4365.066] (S)ゆきとよ: 1番右もみて
[4365.254] kiadaaaaa: えち
[4365.256] (S)あんころころもち: まささんかな
[4365.436] itoido: 終身名誉お座さんは？
[4365.593] (S)遊島うゅじ: 1人飛ばすな
[4365.605] ritoreto: おい
[4365.731] エリンナイル: おい
[4365.889] oooooooooto: 右一択
[4365.984] koya_cha: おい
[4366.107] 贄ﾁｬﾝ: マサちゃん一択だろ
[4366.238] しろ_さん: もう一人飛ばしてるもんなぁ
[4366.363] あーわ: ぬかすな
[4366.394] (S)レだん: おい
[4366.479] ラボア: おい
[4366.482] あれん3921: おい
[4366.573] toremoro_san: おい
[4366.595] atuono: おい
[4366.633] もぐつむり: おい
[4366.696] かがやきみけ: おい
[4366.726] (S)Zzz_jun: おい
[4366.789] onapai: とばすな！www
[4367.225] panndaman1: おい
[4367.236] (S)shige__maru: おい
[4367.441] ミッシぇる: Monster(人外)だもんな
[4367.794] mamed790312: おい
[4367.822] rarirarurarua: おい
[4368.127] rona0525: おい
[4368.145] hinakuma00: おい
[4368.254] 雪狐0143: おい
[4368.959] (S)evolblackhole555: 舐めますような感じて見んのやめろ
[4369.206] 小田野餅: 映したれよ
[4369.335] _紅茶: おい
[4369.560] remiiiii_28: おい
[4369.575] futunooryo: おい
[4369.798] myunn_0121: おい
[4370.001] アオミナ: おい
[4370.211] (S)baberuboburu3939: www
[4370.229] (S)ichigomilk_252: おい
[4370.430] (S)sofutokurimu: とばすな
[4370.691] (S)らむ麦: とばしたな
[4370.754] 礼紋: おい
[4370.803] kashiwa_ppz: おい
[4370.847] tonkatsu_3: 右泣いてるぞ
[4370.964] そはる: 見てやれよ
[4371.036] えんそ: おい
[4371.133] 尉鶲: おい
[4371.204] ayunosioyaki0223: おい
[4371.210] エリンナイル: しってた
[4371.235] (S)yoichimu: 1人飛ばすな
[4371.280] アストモ: おい
[4371.348] 五色椿: 見切れてるｗｗｗｗ
[4371.374] nagosaku: おい
[4371.490] みぞれシロップ: おい
[4371.525] (S)~MISSING_COMMENTER_INFO~: おい
[4371.622] liangshi32100: おい
[4371.718] 名無しの無し: おい
[4371.896] mofu_0816: おい
[4371.901] (S)ryotamk_2: おい
[4371.955] (S)ちよび: セクシーちゃん好みそう
[4372.133] (S)tsuM6G1_: おい
[4372.354] niku_aburami: ブスを飛ばすな
[4372.418] はぐりっと: 飛ばすな
[4372.551] 梨一: 見切れやめろｗ
[4372.700] (S)drem_chan: おい
[4372.731] や5: おい
[4372.896] omochi_uma_uma: 一番右もみろよ
[4372.935] i_iiiiiip: 飛ばすな
[4373.162] shina1116: 右の圧力w
[4373.338] mirucha_02100: 顔がモンスター
[4373.403] kobutada: ももちゃん可愛い
[4373.485] oooooooooto: ８８８８８８８８８８８８
[4374.304] (S)ナナシ_: とばしとんな
[4374.449] nagosaku: →
[4374.540] (S)dia11313: おい
[4374.585] remiiiii_28: はぶくな
[4374.694] すいろ: 衣装が凝っとるなぁ
[4375.164] ワタメル0324: 最初から見てやれ
[4375.230] (S)スパーズ: おー
[4375.379] waa39: 最初を飛ばすな
[4375.408] mofu_0816: 映したれよ
[4375.477] nijinora: おい
[4375.643] namatamago427: みてやれよ
[4375.831] riyuka_5439: 右飛ばすなし
[4375.865] minto13579: wwwwwwww
[4376.024] キョムうどん: らぶべり良い
[4376.973] ayunosioyaki0223: だよなぁ
[4377.033] (S)u_kurage: おい
[4377.238] (S)chun_taro2004: wwwwwwww
[4377.328] sein1204: wwwwwwwwwww
[4377.428] huku_mm: あー
[4377.673] (S)yuujyuufudann: 8888888888888
[4377.926] gaiantufan: おい
[4377.971] 梨一: 知ってた
[4378.157] minat1110: 飛ばすな
[4378.355] nihonngo: 右一択
[4378.508] acerolaaa3: おっさんか
[4378.852] (S)レだん: おー
[4378.865] asa_0322: 888888888888
[4379.274] wpj575: 8888888
[4379.328] (S)remon1503: かわいーん！
[4379.387] siiroda: 見切れとるぞ
[4379.437] stotyan: おい
[4379.494] KinakoMochi_06: おい
[4379.759] (S)sjindoa: wwwwww
[4379.808] エリンナイル: 8888888888888888
[4379.906] hanadango823: 888888888
[4380.414] ritoreto: さすプロ
[4380.602] huku_mm: ここね
[4380.640] (S)sayu2456: まさちゃん
[4380.733] (S)liri_san: おー
[4380.846] (S)なつおよ: radaoKawaiin
[4380.916] (S)yona_0724: さすプロ
[4380.926] 燐だよ: うおおおおおおおおおおお
[4380.964] (S)ゆきとよ: 88888888
[4380.967] きのここ: 88888888888888888888
[4381.109] oooooooooto: ８８８８８８８８８８
[4381.185] amehuriyuudaci: 二択だったな
[4381.327] yuki_snowdrop: 888888888888
[4381.431] あーわ: かわいーん
[4381.481] haru_freezer: さすが
[4381.486] chiara_1016: 終身名誉おっさん一択やろ
[4381.547] あしゅ_1127_: wwwww
[4381.556] ｻｧｻ: 8888888888888888
[4381.614] (S)mokkun_fesiro: おっかく
[4381.937] piisuke0428: 88888888888888888
[4382.067] tonkatsu_3: 88888888888888888888
[4382.086] sunomono8: 8888888888888888888888
[4382.212] vvakan: おーー
[4382.214] myunn_0121: wwwww
[4382.256] (S)kiba_1129: 飛ばすな
[4382.307] 俺だよおれ: プロだった
[4382.315] (S)lightreft1250: 88888888888888888
[4382.434] yanoneko11299: 88888
[4382.569] momokiha: 8888888
[4382.574] (S)nonaru4637: 88888888888888
[4382.578] rioapr03: 888888888
[4382.706] そはる: ８８８８
[4382.815] syuan_141019: 右みぃや
[4382.831] (S)moris1013: わかってんなぁ
[4382.852] kashiwa_ppz: 888888888888
[4382.872] ruu_ha: 88888888888888
[4382.904] komitanara: やっぱまさちゃんか
[4383.975] kaesaru713: 8888888888888
[4383.989] (S)tsuM6G1_: うおおおおおおおおおおおおおおお
[4384.077] niku_aburami: ブスも見ろ
[4384.321] (S)nqta_coconut: 8888888888888
[4384.339] ｻｧｻ: 88888888
[4384.349] えんそ: さすが
[4384.379] 469646: 右ヤバい
[4384.570] ivvvvvvvvvvii: 888888888888888
[4384.571] さつまいもおいしい: 888888888
[4384.597] r_neko5rira: 888888888
[4384.780] (S)らむ麦: 半分切るな
[4384.782] suibotu_: 888888888888
[4384.877] chiara_1016: 888888888888888
[4384.962] aisathank: 888888888888
[4384.968] rinne_o0: 88888888888
[4385.036] liangshi32100: 8888888888
[4385.161] (S)蕪木りん: 88888888
[4385.170] (S)shige__maru: 8888888888888
[4385.188] kainn_1114: 888888
[4385.202] (S)ナナシ_: 終身名誉おっさん強い
[4385.246] ssss_mudkip: 888888888888888
[4385.392] parceee0711: ブスも入れろ
[4385.431] ritoreto: 888888888
[4385.501] luno_snow: 8888888
[4385.593] 咲虎: 8888888888888888
[4385.711] (S)鬼田: ここだよなー
[4385.786] (S)baruto837: 88888888888888
[4385.863] (S)nacha_86: 888888888888
[4385.940] (S)~MISSING_COMMENTER_INFO~: 流石終身名誉おっさん
[4386.134] ｺﾛﾆ: 8888888888
[4386.277] (S)lightreft1250: さすおっさん
[4386.300] (S)ほのぼの: 888888888888888888
[4386.347] mitsuxx00: 888888888888888888888888
[4386.462] かにょ: 888888
[4386.502] (S)liri_san: 888888888
[4386.530] (S)moris1013: 8888888
[4386.549] yuk_iha_d_esu: 888888888
[4386.558] ねぎカレー: 8888888888
[4386.659] (S)ryotamk_2: 8888888888
[4386.674] aso_beat: 8888888888
[4386.848] mikan_san: やっぱまさおじ強すぎるっぴ
[4386.906] riyuka_5439: 88888888888888
[4386.914] suke0423: 8888888888
[4386.930] 名無しの無し: さすプロ
[4387.990] nobume0v0: やはり
[4388.031] (S)kiba_1129: ８８８８８８８８８８８８８８
[4388.056] inku_0808: 右…ww
[4388.087] tubu_317: 88888
[4388.183] もぐつむり: 8888888888
[4388.225] (S)tsuM6G1_: 8888888888888888888
[4388.233] (S)howlin_0: 888888888８８８
[4388.274] yakiyakitori: かわいーん
[4388.276] niku_aburami: 888888888
[4388.314] 燐だよ: 8888888888888
[4388.316] yuimo_1823: ここが強すぎたわ
[4388.322] (S)にゃんねね: 888888888888888
[4388.387] rona0525: 88888888
[4388.417] おけなしぇえぇ: 888888888888888
[4388.481] (S)うもうくん: 8888888888888
[4391.026] asaborake0408: 8888888
[4391.099] (S)ナラ抹茶: さすプロ
[4391.190] (S)OmOtc: さすがプロ
[4391.241] みおん3078: 888888888
[4391.243] yuu_915: やっぱり
[4391.245] (S)SHIROMA_468: 888888888888
[4391.258] あれん3921: 888888888888
[4391.266] aachan_s: 8888888
[4391.299] (S)kanio319: 8888888
[4391.328] (S)ずーねちゃん: さすプロ
[4391.335] ラボア: 一番右も見てやれよ
[4391.440] (S)左手にきむ: 88888888888
[4391.512] (S)natsu_ren: さすプロ
[4391.553] mitsuxx00: さすまさ
[4391.590] (S)らむ麦: つえええ
[4391.744] あずき_: 8888888888888
[4391.867] mattya157: 8888888888
[4391.871] stotyan: 888888888888
[4392.296] hsskey: 888888888888888888888888888
[4392.312] koukoukoy: 88888888
[4392.327] ama_iro_: さすプロ
[4392.340] kairodi: さすが
[4392.349] kanikamadesu: 888888888888888
[4392.361] mofu_0816: やっぱりな
[4392.374] rrr_rion__04: 8888888888
[4392.466] hanadango823: さすプロ
[4392.511] ri_10_: 888888888888888
[4392.558] myunn_0121: さすプロ
[4392.704] (S)drem_chan: 88888888888888888
[4394.049] かぁまま: まぁ、ね
[4394.071] すわずし: わかってんな
[4394.080] えんそ: 888888888888888
[4394.156] mameko_7: さすプロ
[4394.167] a_mondoKojio: さすプロ
[4394.223] mihiro_1903: やはりおじさんはつよい
[4394.246] rarirarurarua: 8888888888
[4394.257] suibotu_: さすプロ
[4394.259] (S)~MISSING_COMMENTER_INFO~: まさお人強すぎ
[4394.311] nobume0v0: 888888888888
[4394.314] しーすら: 8888888888888
[4394.380] hoheto_168: さすプロ
[4394.388] kisi_00152: 8888888888888888888888
[4394.411] (S)yurun_62: 88888888888
[4394.434] sol_8787_: 88888888888
[4394.703] (S)sofutokurimu: 888888888
[4394.727] (S)そおお: やっぱプロおじ
[4394.741] (S)natune_0: 888888888888
[4394.742] (S)yoichimu: 888888888888
[4394.764] (S)monhana1147: 88888888888888888888888888
[4394.815] omochi_uma_uma: 8888888888888888888888
[4394.931] (S)ナナシ_: 8888888888
[4395.364] 51percentoff: さす最終名誉
[4395.447] owl317: 888888888
[4395.470] (S)8分19秒: おっさん界の重鎮
[4395.581] binsen_0707: 88888888888
[4395.612] cocoron2525: 8888888888888888
[4395.613] (S)u_kurage: 見切れるwww
[4395.721] siiroda: 888888888
[4395.786] liangshi32100: さすプロ
[4395.856] huku_mm: 888888888888888888888888
[4397.111] kairodi: 888888888
[4397.155] qwelty0202: おっかく
[4397.236] riooooo_0815: 88888888888
[4397.249] 咲虎: さすが終身名誉おっさん
[4397.328] ごんのすけ: 8888888
[4397.333] あずき_: さすマサ
[4397.341] (S)レだん: 8888888
[4397.383] (S)ナナシ_: 888888888888
[4397.470] (S)あげだし丸: さすプロ
[4397.535] rona0525: 888888888888
[4397.564] (S)りちゅる: 88888888888
[4397.603] 雪狐0143: 8888888888888
[4397.838] hinakuma00: さすが終身名誉おっさん
[4397.990] yaaanagi_09: 88888888
[4397.991] かかおしてます: 8888888888888
[4398.094] ラボア: 8888888888888888
[4398.228] (S)OmOtc: 8888888888
[4398.420] asa_0322: さすプロ
[4398.421] jam_ars: さすプロ
[4398.630] エリンナイル: さすが終身名誉おっさん
[4398.854] agrqua: さすおじ
[4399.084] cafe_moka91: 8888
[4399.086] (S)natsu_ren: 88888888888
[4399.094] ama_iro_: 88888888
[4399.125] asaborake0408: 右の子も可愛くない？
[4399.150] amehuriyuudaci: さすがプロ
[4399.169] (S)あんころころもち: さすプロ
[4399.169] koya_cha: さすプロ
[4399.285] mijyu_a: やはり格の差か
[4399.318] syuan_141019: さすオジ‼︎、
[4399.323] mihiro_1903: 888888888888888888
[4399.362] 月藍ちゃん: さすプロ
[4399.380] mimipaadesu0428: さすプロ
[4399.459] (S)dia11313: さすプロ
[4399.676] (S)suiha_7: さすプロ
[4399.712] rapi104: さすプロ
[4399.727] kohei20: 888888888888888
[4399.801] (S)evolblackhole555: さすプロ
[4399.822] なななこな: さすプロ
[4399.823] (S)chun_taro2004: 88888888
[4399.848] ut_ren: さすプロ
[4399.882] am4kumo: 8888888888888
[4401.062] (S)遊島うゅじ: さすプロおじ
[4401.296] bunchaan: さすプロ
[4401.311] (S)hikky7294: 性癖に刺さる
[4401.331] (S)nqta_coconut: さすプロ
[4401.425] (S)ichigomilk_252: 888888888
[4401.472] すわずし: 88888888888888
[4401.509] (S)らむ麦: 8888888
[4401.549] sobayu120: 88888888888888888888
[4401.560] stotyan: さすプロ
[4401.573] nagisa_0618: 888888888888888
[4401.587] rutti_san: 後ろに下がってんのプロ
[4401.685] mofu_0816: 88888888888
[4401.737] satou_036: 888888888
[4401.922] omochi_uma_uma: さすぷろ
[4402.131] rona0525: さすプロ
[4402.183] panndaman1: さすプロ
[4402.270] さたさた: 88888888
[4402.304] (S)ナナシ_: さすプロ
[4402.369] すいぺりあ: さすプロ
[4402.787] rima_0128: 88888888
[4402.821] risukao: 8888888
[4402.886] 縮緬雑魚: 別格な奴いるな
[4403.027] mitsuxx00: あ
[4403.247] yuu_915: 8888888
[4403.359] (S)sjindoa: さすプロ
[4403.474] くろざき: 8888888888888
[4403.695] サケカス: さすプロ
[4403.793] rrrnico: Wwwwwwwwwwwwwwwwwwwwwwww
[4403.945] gawrib: さすプロ
[4404.049] rioapr03: え
[4404.184] 甘酒大好き: 88888888888888888888
[4404.429] nijinora: 88888888888
[4404.501] 2リットルのスプライト: さすがおっさんやぜ
[4404.611] nagisa_0618: さすプロ
[4404.673] rinne_o0: さすプロ
[4404.742] えぬあい: おっ確レジェンド
[4404.899] mtsunoki: おめ
[4404.937] (S)gomako136: 88888888
[4405.046] (S)mary611: 1歩後ろなのが良い
[4405.056] すわずし: さすおじ
[4405.197] (S)Zzz_jun: おい
[4405.402] nichan1004: さすプロ
[4405.414] (S)sayu2456: たらちゃん？！
[4405.444] hinoki_dayo: 888888888
[4405.456] きるた: さすプロおじ
[4405.520] aeyuma: 888888888888888
[4405.555] (S)hime_ki: さすプロ
[4405.646] riooooo_0815: さすプロ
[4405.648] meso_1001: 就寝名誉おっさん
[4405.788] (S)ゆきとよ: プロおじ
[4405.802] mimitomimi: 8888888888888
[4406.237] itoido: 888888888888
[4406.243] (S)チュチュンバー: www
[4406.270] vvakan: え
[4406.367] teritama5: プロおっさん
[4406.451] cogetaoyu: 終身名誉おじさんのまさおじ強すぎる
[4406.517] (S)あんころころもち: ありがとう
[4406.848] suiryuu_01: ８８８８８８
[4406.918] minat1110: この子絶対妹やん
[4407.045] (S)ryotamk_2: wwwwwwwww
[4407.079] くろざき: さすプロ
[4407.103] mihiro_1903: 今年も
[4407.122] yamaziso: 最高だった
[4407.278] pipipinopi9966: 終身名誉おっさんはちがうな
[4407.308] (S)ふれーく: さすおっさん
[4407.502] ワタメル0324: 終身名誉おっさん
[4407.732] ゆかりんりん: www
[4407.774] hanadango823: おい
[4407.805] (S)aina___10812: さすプロ
[4407.834] (S)kanpan0346: 格がちげぇや
[4407.920] mattyan4545: ｗｗｗｗｗｗ
[4408.010] emitsin: 強すぎるー
[4408.088] (S)ずーねちゃん: 88888
[4408.290] kazushan: おい
[4408.337] ぬら_: さすがプロや
[4408.425] (S)なつおよ: あ
[4408.562] hoheto_168: え
[4408.665] kanikamadesu: さすプロ
[4408.930] (S)りちゅる: 888888888888
[4408.936] (S)u_kurage: 8888888888
[4409.171] kisi_00152: ピント合ってないぞ
[4409.364] (S)masao0203: さすプロ
[4409.389] satou_036: おめでとうございますー！
[4409.422] (S)レだん: さすぷろ
[4409.747] 469646: 888早くない？
[4409.912] エリンナイル: 後ろかわいい
[4409.945] (S)Meriel814: ギガンテスｗ
[4409.996] oooooooooto: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[4410.057] あーわ: え
[4410.279] mitsuxx00: え？
[4410.318] さたさた: さすがおっさん
[4410.602] tonkatsu_3: サイクロプスさん！？
[4410.680] mimipaadesu0428: wwwwwwww
[4410.814] 雪狐0143: さすが終身名誉おっさん
[4411.016] inku_0808: さすおじプロたん
[4411.112] おこあさん: ナンパすんな
[4411.117] huku_mm: え？
[4411.216] bunchaan: 殿堂入り
[4411.244] (S)タクトン: ギガンテス
[4411.343] kosuke25252: ギガンテス....
[4411.457] uzura_0412__: さすプロ
[4411.462] rioapr03: 焦点間違えてるぞ
[4411.533] 五色椿: こうやっておっさんに狂っていくのか
[4411.571] miyazawasinpei: サイクロプス？
[4411.580] なななこな: ｗｗｗ
[4411.581] (S)tsuM6G1_: wwwwwwwwwwww
[4411.668] mamed790312: なに見つけてんねんこら
[4411.766] itoido: さすプロ
[4411.767] シユウ: サイクロプスな
[4412.192] (S)chun_taro2004: wwwwww
[4412.254] なみお037: ？
[4412.296] momo_0430_: 両方可愛い！！！！
[4412.301] kenp1n_8: え
[4412.401] Kyouzin26: プロはちげーな
[4412.475] (S)あんころころもち: なんだろう。ありがとう
[4412.562] 夢現: どっちに言ってる？
[4412.659] さつまいもおいしい: wwwwww
[4412.728] ore_baka: あ
[4412.914] kuusan2: らっだぁのことわかってる
[4413.139] あずき_: wwwwww
[4413.342] ぬら_: 888888888888888
[4413.485] (S)sofutokurimu: かわいーん
[4413.543] 2リットルのスプライト: おあ
[4413.584] omochi_uma_uma: wwwwwwww
[4413.592] haku1219: さすぷろ
[4413.649] (S)ちよび: 前の子がそうでしょう！って顔してんの可愛い
[4413.682] (S)ナラ抹茶: ギガンテスwwwww
[4413.750] はぐりっと: え
[4413.878] rona0525: wwwwww
[4414.042] komitanara: だと思った
[4414.276] minto13579: 終身名誉おっさんの名は伊達じゃない
[4414.318] あーわ: え？？
[4414.350] しろ_さん: ギガンテスｗｗｗｗｗｗｗｗｗｗ
[4414.621] hoheto_168: あ
[4414.847] gawrib: ww
[4414.850] (S)sayu2456: どっちもそっち
[4415.092] ayunosioyaki0223: wwww
[4415.171] kairodi: wwwwwwwwwww
[4415.179] (S)yuujyuufudann: wwwwwww
[4415.399] meso_1001: さすプロ
[4415.437] torasantakurosu: 8888888888
[4415.492] (S)moris1013: 後ろ
[4415.628] cochi1919: 八百長か？
[4415.751] 甘酒大好き: ギガンテス！？
[4415.834] mikan1185: 流石っす、
[4415.866] sudoooooooo66: ギガンテスな
[4415.911] (S)lesser2525: 8888
[4416.220] (S)azu_moti: wwww
[4416.367] suibotu_: 一歩下がってんのがいいね
[4416.408] koukoukoy: ドラクエの
[4416.430] (S)tomomo252: wwwwwwww
[4416.617] huku_mm: どっちもどっち
[4416.677] (S)うわ3: え？
[4416.716] asa_0322: wwwwww
[4417.240] えんそ: え？
[4417.245] (S)うもうくん: ギガンテス！？
[4417.675] (S)rioniku1515: いいかんじに豚がライトアップｗｗｗｗ
[4417.875] シンガリ: ギガンテスwww
[4417.876] 哀れな人の子: ギガンテス
[4418.104] (S)dars39: wwwww
[4418.275] mikan_san: かわいいいいいいいいいいいい
[4418.335] (S)鉛筆びー: wwwwwww
[4418.336] (S)レだん: オーガｗｗｗ
[4418.345] yuimo_1823: 筋肉フェチなのか？
[4418.541] syuan_141019: 可愛い！！
[4418.835] ritoreto: wwwwwww
[4419.058] ししち: 控えめオッドアイいいな
[4419.234] アオミナ: ギガンテスwww
[4419.323] mozu2626: ギガンテス
[4419.325] kyonsuke_25: 終身名誉おっさん
[4419.363] (S)evolblackhole555: ギガンテスwwww
[4419.403] kaesaru713: ギガンデス
[4419.437] kisi_00152: wwwwwwwww
[4419.443] ssss_mudkip: wwwww
[4419.542] 椋榎: wwwwwww
[4419.673] かがやきみけ: www
[4419.789] kosuke25252: ギガンテスな
[4419.876] asaborake0408: そっちを見るな
[4419.914] ivvvvvvvvvvii: www
[4420.086] gaiantufan: 終身名誉おっさん
[4420.120] satou_036: そっち
[4420.221] (S)remon1503: wwwwwww
[4420.419] (S)とりーーも: wwwwwwww
[4420.446] ワタメル0324: ギガンテスだっけ？
[4420.506] shiki_maru: ギガンテスｗ
[4420.612] 名無しの無し: え？
[4420.708] (S)mimi_fuwa1489: ｗｗｗｗｗｗｗｗｗｗｗ
[4420.732] 稚魚ちゃん: www
[4421.108] necosisyamo: www
[4421.299] 夜句由: え？
[4421.350] hua_uoxou: かわいーん
[4421.690] (S)baberuboburu3939: なつ
[4421.792] siiroda: うしろwwwww
[4421.801] Kyouzin26: かわいーん
[4421.909] (S)sofutokurimu: Www
[4422.314] 2リットルのスプライト: さすが人外専
[4422.549] えんそ: ww
[4422.873] minto13579: wwwwwwwwwww
[4423.263] もぐつむり: wwwwwwwww
[4423.340] riyuka_5439: 後ろの子達がね
[4423.395] (S)aina___10812: www
[4423.494] (S)こけしやん: wwww
[4423.616] binsen_0707: wwwwwww
[4423.699] (S)rioniku1515: そっちかｗｗｗ
[4423.783] suke0423: wwwww
[4423.835] aisathank: wwwww
[4423.859] murasaki_chan: wwwwww
[4423.955] (S)あんころころもち: おまえじゃねぇよ
[4424.851] gawrib: wwwww
[4425.071] nobume0v0: wwwww
[4425.081] (S)ゆきゆた: おい
[4425.155] (S)そふぃ3: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[4425.236] stotyan: wwwwwwwwwwww
[4426.085] るかるかお: 今北～ペンライトすごい
[4426.156] 俺だよおれ: 感性どうなっとる
[4426.801] ore_baka: wwwwwwwwwwww
[4426.810] 神崎立夏: そっちwwwwww
[4427.018] 尉鶲: wwwwwwww
[4427.113] sakuraironohituji: それもおかしい
[4427.138] (S)~MISSING_COMMENTER_INFO~: サイクロプス
[4427.223] gaiantufan: wwwwwww
[4427.251] すわずし: うしろwwwwww
[4427.258] 礼紋: wwwwwww
[4427.318] 栩木さと: ｗｗｗｗｗ
[4427.329] (S)sofutokurimu: うしろwwww
[4427.330] (S)dia11313: ギガンテス！
[4427.540] なみお037: 中二病？
[4428.188] ama_iro_: wwwww
[4428.225] (S)yoichimu: wwwwwwwwwwwwwwww
[4428.436] mihiro_1903: 後ろは、可愛い
[4428.547] itigomirukolm: www
[4428.790] (S)ﾏｲﾁｮ: ｗｗｗｗｗｗｗｗｗｗｗｗ
[4429.059] noguttyan02: wwwwwww
[4429.196] itoido: wwwwwww
[4429.285] hua_uoxou: wwwwwwwwwww
[4429.292] torasantakurosu: wwwww
[4429.954] toremoro_san: wwwwwwww
[4430.198] (S)OmOtc: radaoCry2
[4430.348] manyyu: さいくろぷす
[4430.421] (S)かいろすくわがた: wwwww
[4430.462] mofu_0816: それな
[4430.520] (S)Zzz_jun: そっちwww
[4430.536] もぐつむり: か、かわいーん
[4430.646] れぢくす: ギガンテスｗ
[4431.489] ラムネ味: wwww
[4431.741] teritama5: あれに負けたの…？って顔してる
[4432.310] ri_10_: wwwwww
[4432.381] rinne_o0: wwwwww
[4432.452] maccha_dethtoroy: ｗｗｗｗｗｗｗｗｗ
[4432.507] ワタメル0324: わからんでもない
[4432.693] ut_ren: そっちw
[4432.888] 雪狐0143: ギガンテスwww
[4433.140] kobutada: ギカンテスw
[4433.424] nagisa_0618: wwwwwwwwwwww
[4433.721] kurono1627: wwww
[4433.770] rarirarurarua: wwwwww
[4433.791] mihiro_1903: 後ろ姿は
[4433.931] satouwaamai: wwwww
[4434.144] (S)monhana1147: ギガンテス？
[4434.913] yuu_915: wwww
[4434.977] nijinora: ギガンテスかよ
[4435.267] 月藍ちゃん: wwwwwwwww
[4435.492] Ruria00: wwwwwwww
[4436.058] (S)u_kurage: radaoCry2
[4436.187] nya0k0: 888888888
[4436.382] dky_i111027: wwwwww
[4436.618] meso_1001: wwwwww
[4436.845] かがやきみけ: いい反応だったな
[4436.851] (S)tsuM6G1_: 88888888888888
[4436.959] 甘酒大好き: 魔人斬りさん！？
[4437.316] sunomono8: 88888888888888888
[4437.801] (S)レだん: ８
[4437.832] (S)nakihai556: 88888888888888
[4438.584] uzura_0412__: 8888888
[4439.100] kitu2456: ギガンテスw
[4439.134] てらたく: サイクロプスじゃね？
[4439.160] (S)yona_0724: 88888888888888
[4439.368] るかるかお: 8
[4439.534] minat1110: 888888
[4440.349] onapai: 8888888
[4440.535] (S)ナナシ_: 8888888888
[4440.578] (S)OmOtc: wwwwww
