[29.644] shiroseitz: よ
[3407.685] 愛染愛染: 嫁がヤバいやつ過ぎる
[3412.699] 四五郎: 嫁と子供はまだわからん
[3438.091] watcher_japan: はっや
[3466.942] ta613: マッドマックスフュリオサと怒りのデスロードどっちが好きでしたか？？
[3470.973] 愛染愛染: ルーシー目がデカくて最初CGかと思った
[3592.494] ta613: アニャテイラージョイの坊主フュリオサくそかっこよかった
[3656.220] ta613: 🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️
[3657.705] ねはなななな: RaMuちゃんどこ？
[3799.762] すねーーく: く、くる
[3823.492] 四五郎: ramuzuNear
[3897.494] ヨーコはやきの熟練奴隷豚: 犬肉というやばいネーミングセンスホントすき
[4035.409] ヨーコはやきの熟練奴隷豚: めっちゃコレクションされてる
[4035.786] ヨモギ田モギ代: すごい量w
[4038.811] 四五郎: それDLCの敵キャラ
[4051.310] 四五郎: ？
[4087.807] shimashima1111: フォールアウト4何時間プレイした？
[4097.995] ginger973: かっけえ
[4120.336] Fred_worth: にょ、にょまれ〜✋🐮🤚にょ、にょまれ〜✋🐮🤚にょ、にょまれ〜✋🐮🤚にょ、にょまれ〜✋🐮🤚にょ、にょまれ〜✋🐮🤚にょ、にょまれ〜✋🐮🤚にょ、にょまれ〜✋🐮🤚にょ、にょまれ〜✋🐮🤚にょ、にょまれ〜✋🐮🤚
[4202.759] (S)kymoon5: RaMuちゃんこんばんは(´∀｀)
[4441.877] ヨーコはやきの熟練奴隷豚: アサルトロン低レベル時だと強敵だったなぁ
[4604.916] shoxxx1018: 武器はダウンロードの船でいく離島のとこがつよっかった記憶あります
[4782.426] ヨーコはやきの熟練奴隷豚: wwwwwww
[4796.929] ヨーコはやきの熟練奴隷豚: 犬に弾吸われとる
[4893.561] ヨーコはやきの熟練奴隷豚: 赤色のPA、シャア専用ザクっぽくてカッコいい
[4912.155] (S)ヒイロジーエム: ドラマで完全再現されてたやつか
[4972.045] (S)ヒイロジーエム: 硬いなー
[5011.929] (S)ヒイロジーエム: ビリビリ銃？
[5020.591] makunouchi_yutaka: それくそつよかった
[5050.819] (S)ヒイロジーエム: 捕まえて実験材料にでもするんかな
[5146.047] (S)ヒイロジーエム: もう話題に出てたらゴメンだけど、ドラマは全話観たの？
[5226.978] kidcapt12: こんばんは。かなり進みましたね。fallout4
[5230.874] (S)ヒイロジーエム: ロケーションめっちゃあるよね
[5250.060] kidcapt12: ロケラン？
[5255.467] (S)ヒイロジーエム: 範囲ダメージ？wヤバイw
[5293.069] (S)ヒイロジーエム: これ強化出来るんかな
[5332.364] kidcapt12: 一旦、野営地に置いてきては？
[5333.950] 堀北まかない: フォールアウト新シーズンはよ来ないかなあ
[5342.674] shoxxx1018: つよいですが 弾がてにはいりにくいです
[5385.951] (S)ヒイロジーエム: 重くてもファストトラベル出来るスキル取ってない？
[5409.062] manabu0417: こんちには。進んでますね
[5453.267] (S)ヒイロジーエム: ライン繋がっていてもBOX中は共有されないのよねw
[5465.148] kidcapt12: 一旦重いものを置いて行って、それの往復
[5466.466] (S)ヒイロジーエム: 建設時は共有されるけど
[5500.710] (S)ヒイロジーエム: だから武器とかはその拠点行かないと取り出せないのよね
[5561.984] kidcapt12: ジャンクジェットは置いておいた方がいい。重い
[5595.993] (S)ヒイロジーエム: レイダーの拠点を襲えばけっこう弾手に入るね
[5651.696] manabu0417: デリバラーは普通に強いよ
[5657.121] (S)ヒイロジーエム: 形は10mmピストルカッコいいんだけどね
[5658.427] kidcapt12: 10ミリ弾は結構使える
[5701.601] kidcapt12: 10ミリピストルにMOD入れたら最高になれます
[5705.051] (S)ヒイロジーエム: アルミは空き缶とかトレーをこまめに拾わないとすぐ無くなる
[5725.182] manabu0417: コンバットライフルには切り替えない？
[5729.171] (S)ヒイロジーエム: 添い寝w
[5735.236] ヨーコはやきの熟練奴隷豚: スタージェスＷ
[5735.921] eqless01: 夜這い
[5748.995] kidcapt12: アルミはカスタムに結構使うからなぁ
[5753.307] ヨーコはやきの熟練奴隷豚: のろのろ...
[5765.191] (S)ヒイロジーエム: 物理的に来られなくしないとNPCすーぐベッドぱくる
[5765.431] ヨーコはやきの熟練奴隷豚: このふてくされたように起きるのすき
[5782.745] (S)ヒイロジーエム: 草
[5794.094] kidcapt12: 赤の汚染は早めに無くした方が
[5794.136] ヨーコはやきの熟練奴隷豚: パイパー原型ないやん！
[5833.009] (S)ヒイロジーエム: お店番はネームドキャラにするとたまにバグるから一般人にした方が無難やね
[5882.468] (S)ヒイロジーエム: ナンパされた？
[5926.324] ヨーコはやきの熟練奴隷豚: そういえば昨日までだったけどフォールアウト4のアートブックがキンドルで4400円から500円の大セールやってたなぁ
[5961.359] ヨーコはやきの熟練奴隷豚: わぁ
[5961.906] (S)ヒイロジーエム: まさか！
[5987.741] どろかつ: やっぱりか
[5992.164] (S)ヒイロジーエム: 入れ替わってたのか
[5994.408] ヨーコはやきの熟練奴隷豚: 殺して中身見たら人造人間の部品あるんだっけ
[6005.736] どろかつ: よし撃とう
[6018.422] ヨーコはやきの熟練奴隷豚: 人狼みたいだなぁ
[6062.156] ヨーコはやきの熟練奴隷豚: ドッグミートも人造犬説
[6093.572] kidcapt12: とりあえず、アルミゲットしに行く？
[6142.302] kidcapt12: スピード重視で行くならナイフ？
[6204.869] うしとら_: アドビクトリアムおじさん
[6223.011] kidcapt12: スーツがいっぱい。
[6247.687] eqless01: w
[6259.553] kidcapt12: これだけのアーマーどこで？
[6261.998] manabu0417: コンバットナイフは攻撃スピードが速いから強いっちゃつよい
[6346.218] eqless01: ｗｗｗ
[6405.909] monchan_man: こんにちは、カツアゲですね
[6496.913] thermotogamaritima: タモリさん
[6522.464] monchan_man: ！！
[6543.124] toyop1925: 大胆な告白は女の子の特権
[6661.188] kidcapt12: アーマー着たら、カスタムできませんからね。ジャンク預けはできるけど
[6927.235] kidcapt12: カスタムに必要なの！
[7001.650] ちゃも3: やばいよねｗｗ
[7031.568] ちゃも3: 最悪４ぬｗｗ
[7033.794] ヨーコはやきの熟練奴隷豚: そんな欠陥仕様あったんかＷ
[7050.079] ヨーコはやきの熟練奴隷豚: ゲームだとセルなくても一応脱出できなかったっけ
[7059.246] kidcapt12: 欠陥やな。普通なら緊急ボタンある筈だけど
[7082.958] ちゃも3: あのシーンだいすき
[7109.539] gbmtp366: 指先付けたシーンが一番ビックリした
[7113.286] kidcapt12: ゲームには、一応、脱出するだけの余力があった筈
[7289.403] gbmtp366: 虫こわ
[7405.207] qwerty264nx: これファーハーバー？
[7449.028] 1111_kou: 豚の貯金箱で死にかけてる〜
[7462.410] kidcapt12: 貯金箱爆弾。怖い
[7481.231] gbmtp366: 家族と1話みてて初夜のシーンで気まずくなった
[7484.406] manabu0417: ヌカランチャーの貯金箱バージョン
[7498.160] kidcapt12: 恐らく。貯金箱に火薬詰めた
[7549.434] kidcapt12: アーマーの右腕無いよ
[7690.792] nekome0u0: 貯金箱のヌカランチャー拠点に飾ったらかわいいよー
[7885.642] (S)mimimiumiu1: うま
[8083.060] (S)mimimiumiu1: あつつ
[8205.395] エビワラーーー: BloodTrail
[8225.970] manabu0417: ヌカランチャーの音は怖い
[8234.874] (S)mimimiumiu1: 地味に硬い
[8303.964] (S)mimimiumiu1: ベーコンどこいった
[8704.087] (S)mimimiumiu1: 良くこんなアーマー野郎に勝負を挑むな
[8712.437] ヨーコはやきの熟練奴隷豚: まつもとひと死
[8766.493] gbmtp366: ポエマー日記
[8829.902] tsukushi2943: らむちゃん今日もかわよい
[8853.363] (S)mimimiumiu1: ﾎﾃｨｰｰ
[8891.693] (S)mimimiumiu1: 即死〜
[8893.621] gbmtp366: NotLikeThis
[8904.687] うしとら_: ill be back
[8947.056] (S)mimimiumiu1: シン･ディーコン
[8960.311] kidcapt12: 仲間もアーマー着ますよー
[8963.294] gbmtp366: マーシナリーディーコン
[9005.692] kidcapt12: 最初から付属だったのかも？
[9088.031] ヨーコはやきの熟練奴隷豚: これガチえぐいやつｗ
[9088.034] (S)mimimiumiu1: ダルマにして追放www
[9099.225] gbmtp366: 過激派すぎる
[9101.187] バンジュ: 今日の配信、いろいろヤバイな
[9115.672] (S)mimimiumiu1: 便利な炉だなおい
[9122.338] ヨーコはやきの熟練奴隷豚: ここまじでイカれてるんだよなぁ... 体育会系の極み
[9138.990] kidcapt12: そんな酷いことしたやつにお仕置きですね
[9139.454] うしとら_: こわこわこわ
[9145.371] (S)mimimiumiu1: ｲﾃﾃﾃ
[9164.624] 1111_kou: 少し緩くなった
[9171.613] ヨーコはやきの熟練奴隷豚: 焼印が優しく見えるやつｗｗｗ
[9173.927] バンジュ: こんなに過激なゲームだったんだね
[9176.723] ヨーコはやきの熟練奴隷豚: DV彼氏やん
[9178.630] (S)mimimiumiu1: 追放でじわる
[9204.211] gbmtp366: そして誰もいなくなりそう
[9211.440] バンジュ: モータルコンバット並みに残虐
[9214.072] ヨーコはやきの熟練奴隷豚: お笑い芸人かな？
[9235.273] ねこめんさん: 派閥どこになったの
[9247.999] ヨーコはやきの熟練奴隷豚: シグルイの「封建社会の完成形は少数のサディストと多数のマゾヒストによって構成されるのだ」を思い出す
[9265.639] kidcapt12: RaMuさん。そんな残虐なことした連中にぜひ償いをさせましょう
[9287.629] (S)mimimiumiu1: さっき自ら、炉に放り込んでたな
[9355.396] (S)mimimiumiu1: 溶けたかなぁ
[9468.842] (S)mimimiumiu1: どうやって脱がすんや
[9474.174] バンジュ: ジャイアンみたいなこと言い出したよ
[9478.199] kidcapt12: 話すを押して、続けたら脱がせれます
[9535.679] (S)mimimiumiu1: ほんで、炉に
[9616.205] (S)mimimiumiu1: 終わりと思います
[9619.122] kidcapt12: 終わり。
[9668.040] (S)mimimiumiu1: エラパーネルの目がでかすぎ
[9675.285] 愛染愛染: ドラマもっとヌカコーラ出してほしかった
[9706.318] 愛染愛染: あった
[9709.245] vwmtjtj: ラムちゃんはインディカ派？サティバ派？
[9789.399] (S)mimimiumiu1: 火炎放射は非人道の象徴的な武器やな
[9827.515] goraku_: こんにちは
[9848.447] 愛染愛染: ドラマはよシーズン2来てくれ
[9869.021] yoyofuxk: ramuzuYa
[9887.138] (S)mimimiumiu1: ゲームの新作も出て欲しいゾ
[9905.080] daiyankei: theboysもくるし今年のプライムはホクホクや
[9951.116] daiyankei: エンクレイヴのアーマーかっこいいね
[9985.667] バンジュ: Boysはグロ表現控えめだったら、もう少し観ていられたかもしれない。
[10042.091] daiyankei: もしかして近接武器強化のパークとってる？
[10105.055] goraku_: 最近いつお酒飲んだ？
[10119.401] (S)mimimiumiu1: 最強のディーコン爆誕
[10315.911] goraku_: フュリオサようやく明日観にいける
[10477.437] chiharu1988: なんだってぇ！？
[10489.240] goraku_: それは知っとるわ！
[10677.964] れをるはーと元親: こんばんは
[10743.318] れをるはーと元親: 最近らむさんのDVD集めてます
[10772.152] cvndgplan: ずっとパッドでやってたのか
[10772.369] (S)mimimiumiu1: 今回のは働き者ロボだな
[10823.070] れをるはーと元親: サルぅゥゥゥゥ
[10833.076] バンジュ: ヨドバシでよく見かけるサル
[10852.879] れをるはーと元親: ドンキにもある
[10921.947] れをるはーと元親: 売ってる
[10936.904] れをるはーと元親: あざといかわいい
[10957.648] バンジュ: 昔、ヨドバシ新宿西口店の入り口でよく見かけた
[11108.192] dainedark: ramuzuNear
[11422.606] ヨーコはやきの熟練奴隷豚: 草
[11428.959] ヨーコはやきの熟練奴隷豚: 世紀末童貞
[11440.989] うしとら_: 草
[11609.371] (S)mimimiumiu1: ラム･ガレリア
[11984.367] moharu13: やっぱタレットはタレットは楽しいぜ
[12019.557] dorako27: 要塞化していこ
[12073.843] moharu13: 敵だ
[12091.845] syyyow: 飯の時間だよ〜
[12386.551] (S)mimimiumiu1: ｳﾎ
[12508.493] dorako27: ｗ
[12523.400] (S)mimimiumiu1: 深手負ってるw
[12538.300] 愛染愛染: まずい
[12539.174] cvndgplan: お
[12545.551] donkoi_t: やべえやついるやん
[12546.740] せろた: 今きたら戦争起きとる
[12567.691] dorako27: 猫型ロボットも出てきそう
[12579.656] 愛染愛染: かっこいいロボット頼む
[12628.641] dorako27: ロボットセンス期待ｗ
[12792.199] バンジュ: アーマードコア並みのクオリティで、作れるのかな？
[12864.599] 愛染愛染: 何でこいつら夜なのに仕事してるんだ
[12941.192] ヨーコはやきの熟練奴隷豚: 満足度増えない原因知ってる
[12996.894] chiharu1988: エッチなお姉ちゃんが足りないのかも
[12998.784] ヨーコはやきの熟練奴隷豚: 確か集落に人造人間が紛れ込んでると満足度最高まで上がらなかった気がする
[13054.085] chiharu1988: バラモンが臭いのかも
[13065.120] donkoi_t: そうなんだ
[13068.586] 愛染愛染: アンチが紛れ込んでいる
[13073.879] 1111_kou: 突然の人狼
[13096.500] バンジュ: おつかれさまです。
[13105.576] ヨーコはやきの熟練奴隷豚: 調べたら人造人間の原因はデマくさかった すみません
[13111.788] (S)kymoon5: RaMuちゃんおつかれ
[13112.100] donkoi_t: おつ 
[13119.840] (S)kymoon5: 大好き
[13123.273] donkoi_t: でまかい
