[20.299] suhifire: おそーいｗ
[5383.409] sai927: うっま
[5383.950] Aretaikk: HungryPaimon
[5385.190] erisuk: 海鮮の旨みやばいよな
[5387.574] (S)gyu_nyuu_pann: いいなぁ
[5388.654] guruguruwan: ホタテオンリーとかラッコの食い方じゃん
[5388.972] nihonsyu_: ホタテって形状じゃなさそうなｗ
[5389.909] jigen0104: うまそう
[5390.240] chikachikabonito: karubisWa
[5390.493] tanishi45: ホタテもらったんですか？
[5391.499] hiro_chan: 次はアワビやな
[5392.072] (S)fikat_0702: ホタテそんなに頬張ることある？ｗ
[5392.179] (S)sinanana1: sinanana1 subscribed with Prime. They've subscribed for 7 months! 
[5392.255] じゃむじゃむお: もっきゅもっきゅ
[5392.819] isekai7153: 酒なくて大丈夫？
[5393.686] despera_lk: おい目の前で食うなよ食べたくなるだろ
[5394.527] mack_yy: 音するホタテはやーーばい
[5394.856] (S)binbougachiyaba: うまそー
[5394.871] naginagi99: ASMR・・・
[5395.187] 宮藤ｨｨｨ: 日本酒…地酒…
[5395.634] hiruanndonn: Kreygasm
[5395.818] one596: ホタテの音か？
[5396.092] hanamarukii: うまそうに食うじゃんねぇぇ
[5396.151] Papapadad: 試合よりウメちゃんの食事が気になってしまう
[5396.320] すーさん22: 飯テロ
[5396.638] (S)hitmehitme: karubisDebu
[5397.619] (S)wabaraa_: wabaraa_ subscribed with Prime. 
[5399.016] spring__thief: ホタテってそんな口いっぱい食うもんだっけかｗ
[5400.187] ilm0806: ゆなっこ からの貢物ですか
[5400.577] rutyen: 大会見ながら食うホタテはうまい
[5400.818] ebikatsu39: ホタテ？
[5400.926] ガマトト: karubisDebu
[5401.139] suginaka56: コリッ…コリッ…
[5401.363] rozaxtu: うまそうに食うな
[5402.568] burisuke: 今のヒモの部分？
[5402.746] korekitwitch: 海鮮ダイエットだな
[5403.589] umetyaahan: 戦国時代は好きか？
[5403.958] nihonsyu_: バター
[5404.090] aoisukisuki: 貝ひもをラーメンみたいにw
[5404.915] KronoKat: ASMR すぎる
[5404.915] Ceciltaisa: ウメ
[5405.079] yamanashi_sp: 酢味噌
[5405.182] えこえこ: 七味
[5405.419] ありのままのままのまま: 塩レモン
[5406.361] 肉球クリーム: ホタ中
[5406.764] casita226: 天ぷら
[5406.918] vungo_mr: ポン酢など
[5407.263] godiva_matsui: 青のり
[5407.944] かべ_娘は双子: あまだれ
[5408.531] (S)凪水: オリーブオイル
[5408.598] pondenring0930: レモン汁ないの？
[5408.891] hanamarukii: バター焼きとか？
[5408.952] 陰の実力者: めんつゆ
[5409.109] (S)gyu_nyuu_pann: わさび醤油は？
[5409.236] nanakusan793: んめ…んめ…
[5409.568] milanor03: フォーク
[5409.575] rk54george: バター
[5410.707] suginaka56: 味噌
[5410.752] hayabow_yossy: 塩レモン
[5411.138] ドア裏最高: 塩焼き
[5411.296] tanishi45: マヨネーズ
[5411.341] あり0221: 塩レモンは美味そうや
[5411.396] 5don: 塩＆レモン
[5412.181] sengoku_iori: ポン酢
[5412.886] ありのままのままのまま: 薬味欲しいな
[5413.114] ケングー: 北海道はマヨ
[5413.430] ryougi_99: バター醤油以外にあるか？
[5413.565] bokaaan: マヨネーズ
[5413.691] usa451: 紐ってどうしたの？
[5413.791] サガットの卵: 味の素+塩
[5413.805] tarako7016: バター醤油
[5414.065] kunisan92: スト６見ながら食う飯は美味いか？
[5414.150] TB2117: ゆずこしょう
[5414.582] hiro_chan: マヨネーズ
[5415.322] mashe1748: 海苔巻くとかどう？
[5415.449] ひろみつー: バター買ってきて
[5416.289] erisuk: 塩試すなら醤油前じゃないかｗ
[5416.507] どじさん: バター焼き
[5416.768] をかし: 柚子胡椒
[5416.821] puertoescondidomota: 北海道のほたてでしょ美味くないはありえないよな
[5416.838] oimo: バター醤油
[5416.900] レプトン: クリーム煮
[5416.989] chichichichiro: タルタルソース
[5417.461] nex_poni: バター醤油
[5417.598] rere0: 酒蒸し
[5417.782] 犬舐めんなよ: 電子レンジでバター醤油溶かしてぴっぴっぴ
[5417.870] isekai7153: バターほしいね
[5418.069] ガチくんコス転売ヤー: ガチくんもホタテ食ってるな
[5418.167] fone777: ぽんず
[5419.738] yamanashi_sp: ホタテは酢味噌
[5419.876] mack_yy: 焼くならバター醤油だなぁ
[5420.140] (S)wonodera_105: オリーブオイルはあり
[5420.354] naginagi99: 天ぷらできたらそりゃいいけどなあ
[5420.389] cha_ske: ゆず塩
[5422.967] kumihachan: 塩レモンて炙り専用だと思ってた
[5423.792] (S)junjamaica: まよしちみ
[5424.342] (S)ババシャツ: タバスコ
[5424.630] gumi69: 家にあるものとりあえずかけよう
[5424.673] ddb365: 女子力高い
[5425.177] Ceciltaisa: レモンないとか
[5426.142] mine_dance: 醤油
[5426.168] heterotopia3: バーナーであぶりたい
[5427.050] (S)yamato925925: 応援配信とは
[5427.354] pullup_nakano: ホタテで応援
[5427.374] 宮藤ｨｨｨ: けーにぃ、レモンだそうだぞ
[5428.453] isekai7153: 味変
[5429.035] banjo_03: ホタテ堪能配信
[5429.156] ryougi_99: バター醤油しかないでしょあなたさぁ
[5429.206] (S)dalhi: 酢味噌最高
[5430.153] (S)gyu_nyuu_pann: オリーブオイルおいしそう
[5430.998] life270: 何だかんだ焼いてバター醤油よな
[5431.698] nihonsyu_: ゲームよりホタテのほうがコメントもりってるｗ
[5431.858] hiro_chan: タバスコ
[5434.331] gorilla_osaka: なにもつけず、日本酒をおてもとに
[5434.605] 5don: カルパッチョっぽくなりそう
[5434.978] sengoku_iori: オリーブオイルに胡椒とか？
[5434.984] uroitann: 二枚貝はちゃんと火を通さないとマジで当たるんだよなあ
[5435.073] twitchyarutch: ホタテ応援
[5435.581] ドリアンくん: 腰が軽いね
[5436.079] (S)tati_tuteto: バーナーで炙ろう
[5439.219] tatsu0000: 納豆
[5439.398] albeec21: 薬味と食うのめっちゃうまいっすよ
[5440.037] puertoescondidomota: バター炒めもうまいだろうな
[5440.703] pondenring0930: ポッカレモン常備しな？
[5443.111] yamanashi_sp: 酢味噌ですよ
[5443.252] (M)(S)Moobot: ＊＊新ヘッドセット登場＊＊ HyperX Cloud III -- ヘッドホンクッションが大きくて柔らかいので耳が痛くならないよ！ → https://hyperx.gg/42XVwOf
[5443.852] rt340: 七味マヨネーズはありだねぇ
[5445.689] TB2117: ラー油
[5445.885] hiro_chan: デスソース
[5446.933] AREA_Yuchiku: カルパッチョおいしい
[5447.107] ケングー: マヨネーズ
[5449.393] sovianix: ポン酢さいきょう
[5449.780] (S)hitmehitme: カレー
[5452.994] nikukuisugi333: あの量のホタテ食ってみてえわ
[5453.208] hayabow_yossy: これだけ喜んで食べてくれたらゆなっこさんも嬉しいだろうに
[5454.021] sengoku_iori: マヨネーズは？
[5456.847] xxzoids: レッドブル帆立も盛り上がってる。
[5458.253] 5don: 冷蔵庫の奥に置いときましょ
[5458.606] 霧月むげつ: わさび醤油は？
[5459.146] おりっち: しかも公式に迫る視聴者数
[5460.165] 新福菜館マン: ホタテ＞＞＞＞＞＞ケンミラー
[5461.103] mikaze0001: パンくわない？
[5461.641] izumih71128: マヨもないんだよね、ウメさんち…
[5461.742] shizuto123: 炙りとか
[5462.015] ガヤン0521: 生でうますぎるホタテは火入れると逆にがっかりするかも
[5462.336] (S)sulwaole: アルミホイルに包んで蒸す
[5463.371] yamanashi_sp: 酢味噌かポン酢
[5464.037] desugage: バターはいいぞお！
[5465.531] ネコマタギ: ODバター
[5467.571] rere0: まよ
[5468.170] hiro_chan: 麻の実
[5469.381] 宮藤ｨｨｨ: 柚子七味とかいう何でも屋
[5469.460] 麻雀打ち: ホタテフライとか
[5469.995] かべ_娘は双子: すっごい食べる
[5471.049] izumih71128: たらこかー
[5471.771] nex_poni: 七味マヨ焼き
[5471.853] (S)gyu_nyuu_pann: いいね
[5471.930] kireboshibasyato: バターは凍らせて常備してるわ
[5472.515] カブトシロ: ポン酢とかは？
[5472.580] (S)morinagasyuya: うまそう
[5472.825] bokaaan: たらこｗ
[5472.830] (S)fikat_0702: ｗｗ
[5473.343] mako6912: 七味ポン酢うまい
[5474.965] (S)gazesd: 普通のマヨはないのか
[5475.390] (S)dohyaaaa: ちぢれたラーメンにしか見えないｗ
[5475.464] 19ze: なに食ってんねん
[5475.469] サガットの卵: いいじゃんたらこマヨ
[5476.283] mike__neko: またもぐもぐしてる
[5476.490] suginaka56: モニュ...モニュ...
[5476.517] puertoescondidomota: 合いそうだね
[5476.852] jigokunonekomatu: 貝食べるとお腹下す人誰だっけ？
[5476.889] domontyan: なんて？
[5477.588] reklats12: 飯テロ
[5477.610] guest324438: ゲーミングホタテ
[5478.492] (S)マンゴスチン: バター醤油っしょ！
[5478.817] chin_56_: マッ！
[5479.227] gumi69: 七味マヨ醤油海苔
[5479.992] kfto9zax: バター無いのは損してるパスタでも使える
[5480.315] sengoku_iori: 七味たらこマヨにする？
[5483.140] 肉球クリーム: はまってもうてるやん
[5483.390] nex_poni: 痛風まっしぐら
[5483.920] twitchyarutch: ちょっとくどすぎるか？
[5484.471] pondenring0930: モニュ勢
[5486.056] pandasan_power: ありすさんつええ
[5486.349] kunisan92: たらこマヨからたらこを取り除く配信してくれ
[5486.616] nibiru_brave: ホタテで試合コメントが無になったw
[5487.182] をかし: うまぞー
[5487.355] umetyaahan: ﾝﾝﾝｯマ
[5489.418] isekai7153: 色々試すねえ
[5489.671] moto357: ひもはさすがに噛もう
[5491.087] (S)凪水: 体が喜んでる
[5491.265] 宮藤ｨｨｨ: 飛ぶぞ！？
[5491.312] あり0221: 日本の魚介類は世界一ぃぃぃぃ
[5491.643] ichi_gatsu: へーオリーブオイル
[5492.810] (S)roytaly: オリーブの葉
[5493.688] bokaaan: オリーブはあるんかいｗｗ
[5493.782] (S)vivfiw: umeYay
[5493.788] 肉球クリーム: もう画面みてねえ
[5494.052] tyapa95: 食え どんどん食え
[5494.421] どじさん: トラボにバター買ってこさせよう
[5494.626] desugage: オリーブオイル万能説
[5495.209] 天然ベニテングダケ: 出汁も美味いのよなぁ、ホタテは
[5495.223] hiro_chan: モニュモニュ
[5497.989] (S)ゆなっこ: トリュフドレッシングはもうないんですか？
[5498.618] rt340: ＞＜
[5500.526] hanamarukii: ケン同キャラおわりました
[5501.040] TB2117: 晩飯もホタテ？
[5501.186] hayabow_yossy: 試合そっちのけ
[5501.603] (S)fikat_0702: たこといいホタテといいどうしてこんなにおいしいのか
[5502.337] yamanashi_sp: ガツガツ帆立を食う配信
[5502.654] Beyyy0nd: PanicVis
[5502.700] aoisukisuki: 日本酒いきたくなるねw
[5503.432] 残り8万: 試合終わりました
[5503.856] すーさん22: ホタテ応援配信
[5506.619] ukir02: 油がうめえ
[5507.139] CARNO_JPN: ホタテレッパ
[5507.721] twitchyarutch: かつねえ
[5508.588] 1550kcal: 酒欲しいなぁ
[5508.694] (S)yamato925925: ウメちゃん試合おわたったよ？
[5508.724] zyangara2: 試合内容覚えてる？
[5509.244] ram_doggo: どっちのやばいなのｗ
[5509.408] cha_ske: オリーブと黒胡椒
[5510.446] umetyaahan: 応援配信×食レポ配信○
[5511.641] (S)morinagasyuya: オリーブティア1だったか
[5512.741] kireboshibasyato: オリーブとパーマンどっちがヤバい？
[5514.638] (S)~MISSING_COMMENTER_INFO~: ホタテ勝利
[5515.387] 何も知らないジョンスノウ: いい音
[5515.442] sarah_0519: 応援配信？
[5515.990] nex_poni: 応援配信www
[5516.768] lita_amz: 試合終わっちゃったｗｗ
[5517.000] ドリアンくん: 心底美味そう
[5518.865] suginaka56: オリーブ調整されそう
[5519.477] jtbgm: 盛り上げる気ないよねw凄いわ
[5522.364] nikukuisugi333: ホタテ追加しない？
[5523.191] (S)Arcaster42: Arcaster42 is gifting 5 Tier 1 Subs to DaigoTheBeasTV's community! They've gifted a total of 35 in the channel! 
[5523.796] (S)Arcaster42: Arcaster42 gifted a Tier 1 sub to SoraTheNoob! 
[5523.813] (S)Arcaster42: Arcaster42 gifted a Tier 1 sub to ast_sweety! 
[5523.837] (S)Arcaster42: Arcaster42 gifted a Tier 1 sub to shioim0_jp! 
[5523.842] (S)Arcaster42: Arcaster42 gifted a Tier 1 sub to 松本慈鳥! 
[5523.862] (S)Arcaster42: Arcaster42 gifted a Tier 1 sub to ぴーげお! 
[5524.035] Yoko4580: そりゃポパイも惚れるわ
[5524.274] banjo_03: オリーヴがやばい配信
[5524.557] chin_56_: ホタテ応援
[5525.887] サラバア: うんミラー向いてないｗ
[5526.408] (S)fortis600: ワイプと試合画面逆に仕様
[5526.618] jagajaga1943: 飯レポ配信
[5527.356] ichi_gatsu: まだまだ食っちゃう
[5527.703] desugage: わあ
[5529.624] LKXY: The Beast's eating stream?
[5529.910] 宮藤ｨｨｨ: 酒…酒…
[5530.086] despera_lk: ホタテの応援してるから問題ないだろ
[5530.325] Len_3: うおおおおお
[5530.847] guest324438: 味覚王の試練内容決まったな
[5531.123] nex_poni: 追い石油
[5532.069] (S)~MISSING_COMMENTER_INFO~: 翔ｖｓほたて
[5533.665] sengoku_iori: フレンチ感、増してきたな
[5534.222] jitaabagu: 大丈夫か
[5535.066] (S)gyu_nyuu_pann: おおおお
[5535.158] pandasan_power: オリーブはティア1
[5535.646] zyangara2: ミラーでこれを許されるのは王
[5536.181] tarako7016: 今気づいたんだけど、レッドブルジャパンの視聴者が1.1万人でウメちゃんのホタテ食べてる配信が9300人でほとんど差がないっていう・・・
[5538.747] Beyyy0nd: Squid2
[5539.428] suginaka56: 岸田…
[5539.752] 残り8万: ここ見てないの草
[5541.388] v_harumi_v: アーカスターさん、ありがとーーー
[5541.645] umetyaahan: ホタテの美味さを伝える配信
[5542.121] rozaxtu: うおおおおお
[5542.288] (S)凪水: 大会をつまみに
[5543.140] tabibitox: ミラー配信の意味がないｗ
[5543.306] nakao1976: アーカスターさんいつもありがとう♪
[5543.569] banjo_03: 岸田は？
[5544.493] をかし: SabaPing
[5545.151] tsubame0614: アーキャス兄ありがとーー
[5545.323] maddy2623: フレッシュすぎるメンツ
[5545.450] tamanegi30: ホタテ食ってる間に決まってる
[5546.128] real_momokan: ウメハラvsホタテ
[5546.180] King_Fuudo: ありがとーー
[5546.972] desugage: あったけえ
[5547.039] 超フォカッチャ: ホタテ応援配信ここですか？
[5547.234] (S)もっこすおじさん: ごま油
[5548.301] 天然ベニテングダケ: ノーブル君生き残ってる
[5548.677] roval789: ｗｗｗｗｗ
[5548.906] thethezero: ca you speak english like everybody in the world
[5549.259] xxzoids: ノーブルくん、やるね。
[5549.374] yamanashi_sp: 日本人は縄文時代から海で貝を採って食って生きてきた
[5549.526] izumih71128: ｗｗ
[5550.204] (S)vivfiw: umeYay
[5550.268] iwaisi: みずはきたか
[5550.711] ネコマタギ: 大事なとこなのにw
[5550.729] (S)fikat_0702: ｗｗｗ
[5550.973] (M)(S)Moobot: That's a tad too many emotes, @DENDENoden (warning)
[5551.766] sai927: ｗｗｗｗｗｗｗｗｗｗ
[5552.808] twitchyarutch: 4人決まった
[5553.621] nex_poni: カスにい
[5554.199] (S)poto2panapa: アーカスターにぃありがとーー
[5554.244] mako6912: umeYay
[5554.455] suginaka56: ｗｗｗｗｗ
[5554.618] usa451: 岸田は
[5555.029] pullup_nakano: 応援   応援
[5555.053] 雅人さん: ww
[5555.444] のりゆき0125: 盛り上げる気ない、で9400人…公式1万ちょい…
[5555.672] (M)(S)Moobot: ～ 新ヘッドセット登場 ～ HyperX Cloud III → 空間オーディオの臨場感で楽しくゲーム出来てます https://hyperx.gg/42XVwOf
[5555.682] naginagi99: トップ４決まったよ！ ウメさん！ でもホタテのほうが大事だ
[5556.118] chocolat1234: LUL
[5556.774] hanamarukii: 幸せそうｗ
[5557.031] kinkinouzi: www
[5557.667] (S)gyu_nyuu_pann: www
[5558.468] (S)junjamaica: オリーブオイルレモン黒胡椒で完璧なドレッシング
[5558.847] v_harumi_v: そのドレッシング美味しいですよね
[5559.076] nnmdfs: みせて
[5559.108] chin_56_: ｽﾝ
[5559.372] isekai7153: うわあああ
[5559.441] ヘクタ: ｗｗｗｗ
[5559.952] cubespin: 新鮮なメンツですな
[5560.023] suginaka56: ガン無視配信ｗ
[5560.172] akira_s_: ホタテ配信
[5560.597] aka9: nomnomnomnomnom
[5561.226] sengoku_iori: ごま油？
[5561.304] 残り8万: 大事な画面
[5562.051] 宮藤ｨｨｨ: kenkiWaa
[5562.192] pyamaaaa: アーカスター！アーカスター！
[5562.647] zyangara2: トップ４に興味なしｗｗ
[5563.215] TB2117: 試合見てないｗ
[5563.548] umetyaahan: かわいい
[5563.653] ランメルモールのルチア: アーカスターさんもホタテ飯テロに
[5563.668] (S)sulwaole: 最強きたか？
[5564.255] (S)haicro_zm: ホタテに夢中
[5564.262] (S)gyu_nyuu_pann: 幸せそう
[5564.412] vesiter: ほたて！
[5564.578] intaisita: ｗｗｗｗｗｗ
[5565.935] 何も知らないジョンスノウ: ４人決まったのスルーw
[5566.001] tsubame0614: 白ワインいこうぜ
[5566.278] 麻雀打ち: トップ4出揃ったよ！
[5566.527] sarah_0519: 帆立応援
[5568.180] をかし: 海と山
[5569.770] desugage: ホタテ全力配信w
[5569.825] (S)yamato925925: ウメちゃんwww
[5571.947] iryo19850206: 応援とは
[5572.595] 宮藤ｨｨｨ: トぶぞ？
[5573.035] caruvi: うめえぞー
[5573.193] ヘクタ: メインはホタテッ！
[5573.579] (S)gyu_nyuu_pann: 王はホタテに夢中
[5574.661] ukir02: ホタテに夢中
[5575.016] 赤まるマン: かおwwww
[5575.910] kunisan92: 酢飯作って握ってくれ
[5575.915] nex_poni: こーれ切り抜きです
[5579.096] yamanashi_sp: 酢味噌も最高だよ
[5579.285] lita_amz: うまそおおお
[5579.353] aoisukisuki: それかけたらなんでも美味い
[5580.351] 157655: 良い音で食べるじゃねえか
[5581.258] (S)fikat_0702: ホタテスープもおいしそうじゃない？
[5583.246] ryuga00: シャキシャキしてるの何？
[5583.318] vungo_mr: 貝はうまい
[5583.999] niemalsaufgeben: ホタテ送ってもらって良かったね
[5584.424] ネコマタギ: ホタテの圧勝
[5586.512] あり0221: がや配信なんていつもこんなんやで？
[5586.833] ヤサイマシアブラカタマリ: shakaGorilla
[5587.077] chichichichiro: ホタテの方が大事よそりゃ
[5587.139] ライム_: ホタテトップ4決まった？
[5587.712] Ceciltaisa: かくげよりメシ
[5588.067] nanakusan793: うううますぎる
[5588.374] (S)~MISSING_COMMENTER_INFO~: ホタテ強い
[5588.518] nibiru_brave: ホタテ全一w
[5589.606] maddy2623: ホタテうまいうまい配信を見る9000人
[5589.671] jigen0104: ホタテ最強
[5591.034] Beyyy0nd: KPOPTT
[5591.563] (S)gyu_nyuu_pann: フーリアスここだぞ
[5591.856] chin_56_: 私は貝になりたい
[5592.241] 天然ベニテングダケ: 魚介に合う酒はなんだろ？
[5593.062] (S)blueplanet96: 試合興味なくて草
[5594.954] one596: 他人の試合に興味ないのいつもの事だから...
[5596.574] pullup_nakano: コイツ
[5597.305] nihonsyu_: かおり
[5597.781] ddb365: ひもを麺のように
[5597.801] (S)tasuminn: それだけ食って飽きないってすごいね
[5597.832] (S)Jasminexxx2525: きのこ
[5597.875] ouufaw: 弱体化いるんじゃない？これ
[5598.683] (S)蝉時雨: きのこです
[5598.725] sarah_0519: ホタテサイッキョッ
[5598.796] sengoku_iori: キノコ
[5598.912] falandc: なんかキノコらしいねえ
[5599.409] ライム_: キノコ
[5599.503] (S)おやつハンター: キノコ
[5600.199] hiro_chan: きのこ
[5600.528] isekai7153: こいつやるよ
[5600.674] (S)ゆなっこ: きのこの一種ですねｗ
[5600.780] nex_poni: キノコ
[5600.822] メタルぱんだ: え？
[5601.127] v_harumi_v: トリュフやりますよね
[5601.267] zyangara2: 結構やるよ
[5602.171] roval789: こいつやるよ「
[5602.297] izumih71128: キノコさいきょ
[5602.854] をかし: あいつ結構やるよ
[5602.979] ありのままのままのまま: きのこ
[5603.776] (S)morinagasyuya: やるね
[5603.970] (S)gyu_nyuu_pann: 香りのあるキノコ
[5604.143] ~MISSING_COMMENTER_INFO~: トリュフTier1
[5604.143] aoisukisuki: トリュフはきのこ
[5604.226] naginagi99: 何なんだろうってキノコだが？
[5604.654] inkgran: 彼やるよね
[5605.360] nanakusan793: コイツやるよ
[5606.317] Beyyy0nd: KPOPTT
[5606.939] burisuke: 世界三大珍味ですから
[5607.575] intaisita: ｗｗｗｗｗｗｗ
[5608.107] 宮藤ｨｨｨ: トップティアきのこ
[5608.469] nex_poni: やるw
[5608.669] 桜風かなた: 松茸的な？
[5608.926] twitchyarutch: ヒモ刻んで味噌汁おいしいらしい
[5609.132] tamanegi30: 存在が謎だよな～
[5609.268] chichichichiro: 香りは最高
[5609.311] suginaka56: コイツけっこうやるよ
[5609.887] (S)yamato925925: ウメちゃんトップ4だよー
[5610.125] spring__thief: 高いきのこ
[5610.716] usa451: あいつやるよ
[5610.907] ymdmad: それうちにもあるw
[5610.959] (S)haicro_zm: 香り高いよね
[5611.728] kunisan92: あいつはかなりやる
[5612.557] nakao1976: 菌類
[5612.925] chocolat1234: 試合
[5613.315] 天然ベニテングダケ: 地中に埋まってるキノコ
[5613.584] sistersguitarreplica: 豚が探してきたキノコっす
[5614.837] YubaBTW: yubabtSponge
[5614.982] (S)aliyome: でもトリュフは全部トリュフの味になっちゃわない？
[5615.078] (S)gyu_nyuu_pann: あいつ結構やるよ
[5615.154] あり0221: CCの時ですら雑談メインだったしなw
[5616.076] 1550kcal: 実はその辺に生えてたりする
[5616.650] カブトシロ: きのこじゃないの？
[5618.605] (S)quwrof_sb: 何食ってだ
[5618.715] (S)omega312312: むしろ今日はよく解説してるほうｗ
[5619.246] Ceciltaisa: トリュフ1億一閃
[5619.752] TB2117: 食レポして
[5620.990] ランメルモールのルチア: 応援配信とはw
[5621.954] suginaka56: んま
[5622.432] おりっち: 全一キノコ
[5623.354] zakkn: んまんま
[5625.776] yamanashi_sp: 酢味噌も美味しいよホタテ
[5626.249] izumih71128: 食べ方ｗｗ
[5627.645] (S)latenight000: こいつ、おまえなんなんだ？
[5630.808] tsubomaru: トリュフ塩とか美味しいよ
[5631.048] tarako7016: なんでホタテ食べてるの？
[5632.384] isekai7153: あーあ
[5632.661] chin_56_: ｽﾞﾎﾞﾎﾞﾎﾞﾎﾞ
[5633.702] (S)vivfiw: BibleThump
[5633.932] nanakusan793: ホタテ応援配信
[5634.181] niemalsaufgeben: 世界三大なんちゃら
[5634.247] rk54george: WutFace
[5634.515] 雅人さん: トリュフは豚🐷で見つけるやつ
[5634.833] (S)fikat_0702: お茶漬けみたいな食べ方ｗ
[5635.044] sussy_int: お茶漬けみたいに食うじゃん
[5635.069] (S)gyu_nyuu_pann: 音がw
[5635.079] zakkn: そらそうよ
[5635.143] nihonsyu_: ｗｗｗ
[5635.520] olivemocomichi: 噛んでねーｗ
[5635.653] 麻雀打ち: ホタテ応援配信
[5636.024] nnmdfs: なくなっちゃった...
[5636.557] 宮藤ｨｨｨ: あぁ…
[5636.624] kunisan92: 感想戦いこう
[5637.014] ~MISSING_COMMENTER_INFO~: BibleThump
[5637.493] chocolat1234: またつくろｗ
[5638.463] nex_poni: CMかな
[5638.810] BobyMario: うまそうにくうねぇ
[5638.861] Aatyu: ﾜｧ…
[5639.105] jigen0104: www
[5639.314] (S)gyu_nyuu_pann: umeSad
[5639.324] valhalla5555: ドカ食い
[5639.328] kinkinouzi: www
[5640.408] mako6912: umeFail
[5640.535] himeguma_ma: BibleThump
[5640.699] (S)おやつハンター: umeYay
[5641.099] tetete06: うーばー
[5641.361] suginaka56: この勢いで食ってるのがホタテだって思う人あんまりいないよ
[5641.394] naryuhama: 食べたら無くなるのなんで
[5641.578] zyangara2: 飲み込むからだよ
[5642.329] gumi69: マジック
[5642.433] kinkinouzi: BibleThump
[5643.125] (S)aliyome: なくなっちゃった 🥲
[5643.588] kinakobuta: なんで早送りみたいになるん
[5644.504] ガヤン0521: とてもじゃないけど食べきれない言ってたのにｗｗ
[5645.036] zakkn: あなたさー
[5645.401] (S)quwrof_sb: しかし美味そうに食うな
[5645.558] vespa127g: ゆなっこありがとー
[5645.600] Qtr1214: 食べたらなくなるよ
[5645.628] lesxpaulx: おかわりしよう
[5645.803] ネコマタギ: ホタテありがとー
[5645.938] nakao1976: 完食！
[5646.292] real_momokan: おかわり
[5646.347] chin_56_: 無
[5646.911] nibiru_brave: やはりホタテに全部持ってかれたw
[5647.030] 000105: 結構 食べたね
[5648.243] 5don: ペヤング、試しますか？
[5649.716] (S)yamato925925: umeSnooze
[5649.797] naginagi99: いつも瞬殺なんだよなあ、食べ物
[5650.487] ドリアンくん: 足りないねぇ
[5650.756] 何も知らないジョンスノウ: ホタテは何でもらったの？
[5650.914] sarah_0519: すぐなくなっちゃう
[5651.247] aoisukisuki: 貝ひも食い過ぎ
[5651.433] sovianix: はえぇ
[5652.689] yamanashi_sp: タウリン補給
[5652.811] ランメルモールのルチア: お酒と醤油だけでも美味しいよ
[5653.573] (S)hakuchi11: お茶漬けみたいに掻きこむじゃん
[5655.356] rt340: 冷蔵庫にホタテが...
[5656.379] onyancoscratch: またぶちまけなきゃ
[5658.094] condol456: ウメちゃんランクマやらないの？
[5659.182] sin19070765: ホタテってかきこむもの？
[5660.062] すーさん22: じゃあ終わるか
[5660.735] Beyyy0nd: NiceTry
[5661.436] サラバア: この休憩で食べたらよかったのにｗ
[5662.793] isekai7153: ｗｗｗｗｗ
[5662.902] ilm0806: 追加で9000人が、見届けてくれてるからな。十分応援さ
[5663.244] usa451: 仕込みって全部終わってるの？
[5664.434] カブトシロ: 冷蔵庫にまだあるよ？
[5664.539] マルい: 消失
[5664.555] pullup_nakano: 知らん
[5665.322] roval789: 知らん
[5665.623] gumi69: www
[5667.324] nnmdfs: 貢物
[5667.490] (S)gyu_nyuu_pann: 知らん
[5667.991] izumih71128: へー
[5669.150] nex_poni: ホタテバター味噌ラーメン
[5669.478] akira_s_: えw
[5669.729] zyangara2: ゆなっこなんだｗ
[5670.757] (S)vivfiw: umeWhat
[5670.873] suginaka56: ゆなっこありがとおおおおおおおおお
[5670.961] LogicalDashGG: ゆなっこなんだ
[5671.087] ukir02: ありがと〜
[5671.323] nikukuisugi333: しらんってｗ
[5671.611] isekai7153: 献上
[5671.898] 温かいやさむぎ: ゆなっこってだれ
[5672.316] herumann: ゆなっこありがとーーー
[5672.786] (S)fikat_0702: くれたｗ
[5674.658] 5don: 王ゆえ
[5675.538] donekofg: ありがとー
[5675.698] niemalsaufgeben: ゆなっこありがとー
[5675.820] (S)haicro_zm: 貢ぎ物か
[5675.920] (S)おやつハンター: ゆなっこありがと～
[5676.108] 157655: ゆなっこの献上品強いな
[5676.172] kunisan92: じゃあ俺にもくれよ
[5676.627] 宮藤ｨｨｨ: 納品されてきたのか
[5677.971] tarako7016: もらった理由ｍわからずｗ
[5678.759] izumih71128: いい贈り物
[5678.931] 何も知らないジョンスノウ: 知らんのかw
[5679.096] 天然ベニテングダケ: 献上品
[5679.316] (S)gyu_nyuu_pann: ゆなっこさんありがとーーー！！！
[5679.837] teruharu_: 北海道からありがとー
[5679.904] だいこん_: ゆなっこねぇありがとーーー
[5680.610] からもこ: 年貢
[5680.719] burisuke: 献上品ってわけ～
[5681.413] OGPG_mendokusai: 献上品
[5682.002] tony_goround: 知ってるやんw
[5682.352] くおお: ゆなっこありがとー
[5682.673] mememe10: ゆなっこありがとー
[5682.972] usa451: 年貢
[5684.045] mack_yy: 年貢
[5684.931] chichichichiro: 道産子？
[5686.187] nurupo2: 王がそんなこといちいち把握してるわけないだろ！！！
[5687.242] Loytory: ゆなっこありがとー
[5687.845] gloomymario: 貢ぎ物
[5688.339] (S)sulwaole: ゆなっこさんありがとーー
[5689.010] mahoro_ch: ゆなっこありがと～
