[66.152] vovovoooooo: ぐへへ
[10090.659] (S)millioniwashi: 発動絡みはどうしてもなあ
[10107.687] une3333: 先に発動してるならお手玉コンボでいいんすよね結局
[10116.025] 記入漏れ: ときどさん強気すぎんだよなぁｗ
[10124.973] une3333: 2ゲージなら400以上いきますけど
[10126.060] 残機なな: ときど「ボク勝っちゃうんですよ」
[10128.601] (S)blackmark2: 瞬間5あればマッチングするみたい
[10133.031] Kanquez05: ときどは強気だねいつも
[10143.396] (S)墾田永年私財砲: 自キャラが強いに決まってるという自負は好感が持てんす
[10145.728] sgtt_mid: ときどさんFMラジオ出てたな
[10153.074] (S)takk_frosty: ヒトボでもお手玉出来るのが凄い(小並感)
[10167.057] Kanquez05: ウメちゃんも強気だね
[10167.863] une3333: 「いやー勝手に勝っちゃうんすよねー」
[10177.224] (S)millioniwashi: 豪鬼は実際あっさり行けちゃったりするのがまた
[10197.824] (S)zappnn: NN
[10206.432] une3333: お、vリバからダイブソニックという新しい選択肢。
[10267.119] (S)asdtzg: 本当にもんじゃやってる
[10275.569] une3333: exテンコとか鳳凰拳とかでは抜けられないんですかね？
[10312.842] (S)masmas999: ふーどまでグラブル始めてる
[10314.913] junichitanaka: 高目のパームレスト付ければいいんじゃない？ 安定するし指立てられる
[10344.514] 小室友里: グラブルに甘えないウメちゃん 
[10356.594] (S)tukumi07: パームレストってどこで買うのがいいの？
[10358.893] (S)tencooooooooooo: ぶっちゃけ誰が何やろうと自由なんだよ！！
[10372.116] une3333: レストは初期の頃ついてたんすけど「邪魔だぁ！」ってウメちゃん自らドライバーを持って外しちゃったんですよ...w
[10373.513] 小室友里: せやな 
[10375.050] (S)墾田永年私財砲: ふにゃべえやってるプロだって居るんだぞ！
[10385.142] たあぼ0126: umeBoom
[10411.200] une3333: そうあれはcpt精神に抵触するよりも前の話...。
[10412.112] take00to: PorscheWIN
[10419.966] Amazin9: whats his fightstick
[10421.885] Kanquez05: あーそうだったなｗ
[10430.710] 小室友里: MercyWing1
[10433.168] junichitanaka: レスト外したのってガフロコンじゃなかったっけ。
[10451.552] une3333: うん、まぁどちらにせよ邪魔だという結論に。
[10467.827] junichitanaka: 設置条件によると思うけどなぁ
[10486.356] une3333: ガイル多いなぁ今日は
[10486.653] (S)かべ_娘は双子: ウメさんギルティ新作は触るかな？
[10519.660] えたーなるぶるー: やらなさそうな気が
[10525.000] une3333: レストつけると強制的に手首の位置上がるからあんまし慣れなさそう
[10539.442] メタラー2764: サマソのときもジャンプは左手でおしてますか？
[10545.565] 真理に至った: 好きだから
[10550.320] prisira: 前半でＣＣ決めたらやれそう？
[10552.421] mameneko1124: 悲しい
[10553.181] une3333: あなたのことがーすきだからー
[10557.512] iwasawa_kazuki: ほんとにぃ？
[10560.548] (S)cac_gwd: そっかー残念
[10569.435] take00to: umeGuile_HF
[10569.640] ~MISSING_COMMENTER_INFO~: Anyone else eat ass?
[10573.533] (S)かべ_娘は双子: そっかぁ 返答ありがとうです
[10574.956] junichitanaka: コンボブレイカー前にめっちゃ God of War やってたことあったよねｗ
[10589.336] s_h_o_u_t_a: 仕事でも好きなことをやれるのは素晴らしいと思います。
[10591.577] shourai555: 息抜きでやってほしい
[10595.103] みっかぼうず: 寂しい
[10611.326] Umechan55: それってつまり・・・ずっとやらないってことじゃないですかー
[10615.057] highspeedwarakia: プロがギルティやりながらストV勝つのは大変そうだなぁかなり器用じゃないと
[10615.631] meganesandesuyo: スト5勝ってくれればいい
[10620.310] (S)zappnn: ほ～
[10621.252] Kanquez05: ウメちゃんは天然型じゃなくて努力型だからね・・・
[10626.433] qin_liangyu: これが本物のプロゲーマー
[10632.887] Umechan55: ウメちゃんは天然だよ？
[10632.966] (S)yamasa141414: いま企画いっぱいやってるもんね
[10637.441] shibazatsu: 梅原さんは裸眼ですか？
[10640.052] (S)zappnn: じゃあグラブルは、、、
[10645.233] (S)19ze: 天然w
[10646.083] prisira: スト５はマルチゲーム無理っぽいしな
[10660.421] akiaki0612: 昔ゲーセンでは格ゲー以外のシューティングや体感ゲームとかやってた？
[10662.245] (S)tencooooooooooo: うめちゃんはこれでいいんだよ
[10673.339] (S)curemikan: ガイル増えてりゅぅ
[10677.820] (S)tencooooooooooo: テトリスだっけ？めっちゃうまかったの
[10686.220] niobite: あー
[10688.228] (S)rexmckrueger: @Amazin9 It looks like a qanba obsidian converted to a hitbox
[10690.773] junichitanaka: 企画考えてくれる人は見つけてないんか。ウメさん以上は他人には難しいだろうけど
[10694.755] (S)ジャンクばっち: 最近マルチゲーマー結果出せなくなってきたっぽいからなぁプロって大変だなぁ
[10695.799] 001162: 1hp
[10695.891] shourai555: ウメハラソル見たいけどね～
[10700.229] (S)wahaha7788: 2ｄ格げスト5一強は何とかしないといけないと思うけどなぁ
[10701.871] あたたか毛布: umeGuile
[10704.410] (S)ukeosan: サイゲｴ・・・
[10708.809] scp_000w: あ
[10712.197] take00to: umeGuile_HF
[10720.192] Kanquez05: 今の残り体力がいくつだったとかリプレイで見れたら面白いのに
[10721.453] shomarusan: ウメさんがやりたいことをやってくれたら嬉しいよ
[10725.250] 残機なな: こんな日にスト5やってる若手でも見よう、と思ってたらウメちゃんだった
[10729.112] (S)tencooooooooooo: 割と他も伸びてきてるとおもうけどね
[10738.601] (S)curemikan: 次はプリコネの格ゲー頼むわ
[10739.192] (S)rexmckrueger: umeBoom
[10753.340] niobite: まさかスト５が一番バランス取れてるシーズンが来るとは思わんかった
[10754.824] (S)かべ_娘は双子: 自分ぜんぜんギルティできなくて、S久保配信勢が「ギルティはゴチャって見えるけど意外とシンプルだから初心者でもやれる」って言われたから、ウメさんとかやるならやってみようかなぁと思ってね
[10767.772] ShinYakimura: Pog
[10775.418] shupii097: うまい
[10778.171] highspeedwarakia: ガイルＶリバ無敵長いから生き残ったかな
[10779.869] (S)naien3: うまい
[10788.063] (S)yamasa141414: まいう
[10789.216] omar_sf_: @DaigoTheBeasTV Do you agree with TOPANGA placing Ryu low tier ?
[10790.794] Kanquez05: ガイル使いならではのVリバのタイミング
[10795.118] une3333: ガイル戦でvリバ後にすぐソニック撃ってくる人にはCAとかでお返しできませんかね？
[10796.717] (S)NURCUGDSO: :))
[10797.717] bareboru114: 体力多かったから？
[10798.626] (S)masmas999: システムの穴を付いた回避
[10800.813] Gumi_Inaba: Umehara-san! Greetings from Venezuela! I really hope I can be as good as you someday!
[10801.040] だわさワサワサ: 途中Vリバで生き残れるのか
[10802.608] shupii097: うめちゃんも練習しよ？
[10810.011] kmrider0707: 初めてあれで抜けられたw
[10824.651] (S)yamasa141414: また南米
[10824.740] junichitanaka: ベネズエラからこにゃにゃちわですって
[10830.329] (S)lunasolnars: うめさん昼飯食べた？
[10835.236] (S)ジャンクばっち: 前ステはやっ
[10837.911] (S)かべ_娘は双子: ベネ（よし）
[10843.628] vaio_s: 体力多い時は遅らせVリバで抜けられる
[10869.213] (S)19ze: 世界中にファンがいるって凄えなぁ
[10876.246] junichitanaka: 今日ラーメントレモあるのかな
[10883.296] une3333: 最後の爆発までガードしない+vリバの無敵終わりにca食らわないようにしたらca削りは回避できる
[10885.826] Gumi_Inaba: @junichitanaka ありがとうｗｗｗｗ
[10896.770] bareboru114: カッコいい色のバーディやな
[10898.498] junichitanaka: De nada
[10909.848] (S)zappnn: えぐい
[10912.146] ukyooo: de nada
[10912.741] qko0: PogChamp
[10913.517] une3333: 四天王の中でも最弱そうこのバーディ
[10919.526] Rhyohan: PogChamp
[10919.677] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[10924.106] neojapan01010: ウメ配信硬派すぎるｗ
[10924.253] Gumi_Inaba: スペイン語できるぞっ！かっこいい！
[10925.610] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[10929.664] Misaelmil30: de nada
[10949.126] junichitanaka: 日本語できるんじゃねーか
[10952.002] junichitanaka: ｗ
[10959.177] une3333: 相変わらずジャンプ中pは強いのねーバーディ
[10962.958] (S)curemikan: でか過ぎるだろ
[10969.177] ukyooo: de nada = you're welcome
[10984.353] Gumi_Inaba: 私の日本語はあまり良くないですよｗｗｗｗｗｗ
[10984.681] (M)Moobot: Twitch Prime に登録すると無料でたくさんの特典が得られます。未登録のかたは こちら参照ください → https://bit.ly/2YE2nLB
[10998.107] take00to: NICEplay MR plumfield 
[11001.222] Kanquez05: 草生やしまくっとるわ
[11004.127] une3333: めっちゃ草はやしとるが！
[11010.465] junichitanaka: ｗｗの数が多すぎて失格
[11013.315] Misaelmil30: Daigo god
[11016.823] une3333: 失格w
[11023.327] WrathAndSloth: tyrantMurica
[11032.463] asibasu: ガイル天敵いんの？
[11032.482] (S)may0nn_aaaisee: 草生やしてると上手く見える不思議さ
[11036.066] shomarusan: 昨日のトパンガではガイルは１０強以上５強怒って評価だったよ
[11040.033] (S)naien3: なんの練習？？
[11040.481] niobite: 気づき
[11040.571] shupii097: 一つだけ強くなった？
[11047.827] une3333: うおお予備動作ない！w
[11055.381] bareboru114: おっけいおっけい
[11058.600] Gumi_Inaba: ごめんなさい
[11062.829] (S)ジャンクばっち: ウメちゃん教えて〜
[11079.866] (S)naien3: ヒトボ使ってるから勉強になるます
[11080.177] AimbotPharah: ***
[11091.443] (S)lunasolnars: 今日も一つ強くなってしまった
[11093.524] une3333: また1日500回ステップの練習を...
[11097.833] shomarusan: 気づきを得た
[11103.713] (S)ジャンクばっち: スライドする方向か
[11114.876] une3333: 今のすごい、ほんとに予備動作ほとんどなしでヌルっと前ステしてきた
[11133.280] shomarusan: 気づきを得るってことは常にいろいろ試してるんか
[11143.793] (S)curemikan: ケツ
[11152.250] kimie_white: いいケツしとる
[11171.001] une3333: ルシアのcaって根性値削り性能高いのかな
[11215.691] une3333: 遅らせー
[11219.343] bareboru114: 熱い地上戦してるねー
[11274.621] niobite: あー
[11276.655] une3333: 堅いルシアさんだこと
[11280.795] ReLoSeR: owned
[11281.767] kanegon7237: ウメガイルの進化は止まらない
[11285.422] bareboru114: 硬いね！
[11287.899] 001162: 火玉 potatoos
[11289.363] ResFGC: umeCatSleep
[11293.514] mikurut: たまらず、飛んできたか根性ねーなｗ
[11311.712] bareboru114: ルシアいいキャラだよね
[11315.167] une3333: アチアチアチ
[11337.780] une3333: めっちゃライン上げてますけどw
[11349.203] kanegon7237: やっぱコンボかーー
[11366.770] dantunado: HahaGingercat
[11375.980] envy_______________: hi
[11388.497] cousinmikex: Hi
[11394.839] dantunado: hi
[11395.717] ReLoSeR: hi
[11401.957] フﾄ: hi
[11406.862] (S)tukumi07: hi
[11409.653] une3333: hi
[11414.139] (S)may0nn_aaaisee: hi
[11414.697] shomarusan: hi
[11415.444] DiegoDono12: hi
[11417.706] (S)lunasolnars: hi
[11417.821] educationiskeyik: when daigo does sonic hurricane, you quit sfv lol
[11425.397] 残機なな: shakaHi
[11427.860] highspeedwarakia: ７F昇竜だから遅すぎて巻き込まれたか屈中P
[11428.362] educationiskeyik: @headrococo hi
[11436.627] DrBoatCaptain: LUL
[11437.027] ~MISSING_COMMENTER_INFO~: lol
[11446.219] (S)guile_head: LUL
[11446.662] dantunado: lol
[11448.266] une3333: 投げまーす
[11449.818] envy_______________: no kage?
[11450.253] ARN013: ルシアの無敵遅いんだよな
[11450.724] 001162: 4 
[11458.046] bareboru114: 投げ捨てばれてるw
[11480.520] une3333: あんましスラ使ってこないルシアさんですな
[11480.990] ARN013: i think he's practicing for topanga cup
[11516.299] ~MISSING_COMMENTER_INFO~: again
[11549.842] OrlanditoDR: everyone said Lucia was the best of the 3 characters and no one uses her...
[11551.693] attyan21: ぼんちゃん今シーズンキツイですかね？
[11555.341] OrlanditoDR: did I miss something?
[11574.988] olderhue: no grab escape wtf
[11582.904] une3333: 春麗同様スラでソニックを濁されるのが厄介そうなもんだけども
[11586.914] Panic___________: Panic_exe_ subscribed with Twitch Prime. 
[11587.025] (M)Moobot: @PANIC_EXE_さんTwitch Prime登録ありがとうございます！
[11589.699] (S)kxiaofen: umeCatHope
[11599.015] (S)lunasolnars: かに座1位ga
[11601.841] (S)Panic___________: :)
[11603.598] olderhue: throw i mean, not one at least, wtf was that
[11626.998] あたたか毛布: ＠panic_exe_さん、LuvSignをありがとう。
[11635.738] (S)~MISSING_COMMENTER_INFO~: ウメちゃんのヒットボックスボタン小さいやつ？
[11641.996] (S)19ze: umeGrin
[11668.458] une3333: 軸ズレの時のコンボ選択ですか
[11689.040] lucentsnow: おっきいのもあるよ天板かえるだけ
[11689.534] une3333: 滝ぃ
[11690.719] jabathemutt: can't hear his voice
[11693.151] goroutai: あら^～
[11708.939] saltttttttttt: 梅さんおはよー
[11720.316] lastdragon01: What is he saying about Guile
[11723.869] une3333: こちとら島根の妖怪とやってんだよ！
[11736.673] フﾄ: そのコンボ好き
[11737.352] (S)curemikan: かっけぇ
[11743.064] hiisan: 最期まじかぁ
[11748.977] azukikikichan: うめちゃ〜ん、大好きで〜す（╹◡╹）
[11774.498] (S)elunomonado: ウメちゃんは相変わらずストVでいいね
[11786.343] ~MISSING_COMMENTER_INFO~: this Sims not bad
[11789.761] (S)lunasolnars: 梅餅さんの10先って見てる方も満足度高い
[11801.371] ~MISSING_COMMENTER_INFO~: h3s no Ino
[11803.482] 001162: 長いい
[11811.934] ~MISSING_COMMENTER_INFO~: Inu*
[11827.300] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[11837.727] comega_naoki: comega_naoki subscribed with Twitch Prime. They've subscribed for 22 months, currently on a 22 month streak! 
[11837.834] (M)Moobot: @COMEGA_NAOKI with the 22 months re-sub! 
[11845.165] olderhue: sick
[11845.351] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[11872.869] tabibitox: まぁ滝はな
[11877.055] comega_naoki: コメントしないですｗ
[11889.502] junichitanaka: ネットシャイ
[11895.813] une3333: 画面端バンストクラカンサマーってどれくらいの距離まで入るんすかね
[11897.536] (S)Dance220: Dance220 subscribed with Twitch Prime. 
[11897.648] (M)Moobot: @DANCE220さんTwitch Prime登録ありがとうございます！
[11900.426] (S)tukumi07: スマホとかだとあんましないイメージ
[11903.563] comega_naoki: ネットコミュ障です。。
[11907.586] (S)lunasolnars: コメが無いき
[11910.685] (S)ha66yt1me7t7t: よく覚えてるんだね梅ちゃんも
[11911.833] tsubuchoco: 配信ラジオ代わりにするときはある
[11920.070] (S)may0nn_aaaisee: ROM勢か
[11926.058] une3333: コメントせずにじっと見てられる人すごいと思う...w
[11928.206] junichitanaka: 恐れることなんてあらへんで
[11928.550] 記入漏れ: リアルコミュ障じゃなきゃOKOK
[11932.088] shomarusan: umeGuile
[11938.425] なるかみ_: ウメちゃんの配信はラジオにしやすい
[11938.588] 001162: HahaCat
[11943.367] ~MISSING_COMMENTER_INFO~: Daigo, why no Kage?
[11952.218] (S)~MISSING_COMMENTER_INFO~: umeSalute
[11956.176] junichitanaka: He's done with Kage today
[11957.589] 雨男: すごい
[11958.848] 将門ゴルゴロ: 流石です
[11959.777] (S)curemikan: ウメちゃんはロム専
[11960.818] qin_liangyu: すーぐ嘘つく
[11962.271] recycle4: そもそもPCに触っていないのでは
[11962.525] みかずきーん: リアルコミュ症です
[11966.885] shomarusan: 他配信すら見ないでしょ
[11969.514] girotin89: どぐらのコメント欄荒らしにいこうよ
[11973.964] 記入漏れ: sakoさんの配信に思い切ってカゲの質問しましょか
[11975.464] (S)ダブルやっくん: それがいいよ
[11976.165] ~MISSING_COMMENTER_INFO~: @junichitanaka 
[11980.028] meganesandesuyo: まず配信みなさそう
[11980.142] azukikikichan: 頑張ってねうめりゃん
[11981.473] une3333: なおくんですらコメントするのに...
[11982.732] kanegon7237: オレの事は覚えてないでしょ？？
[11984.145] (S)麻雀打ち: sakoさんに訊きにいくと面白い
[11994.391] (S)ha66yt1me7t7t: なおくん荒らして欲しい笑笑
[11994.562] (S)tukumi07: そもそもウメさんタッチタイピングできなさそう
[12011.309] junichitanaka: ウメさん YouTube のサブスク動画のコメ欄で何回かコメント返ししてたよね
[12013.056] (S)ダブルやっくん: ゲームに全振りだから
[12017.588] (S)lunasolnars: 長州力ですらツイッター頑張ってるのに
[12025.387] mameneko1124: sakoさんの動画見ながら叫んでたけどね
[12027.785] ~MISSING_COMMENTER_INFO~: the comfirm Pog
[12054.465] azukikikichan: カップル揃って応援しています！
[12057.830] だわさワサワサ: ウメちゃんも毎日ツイートしてるやん！
[12062.488] avmajvm: コメントはしないけど、動画に対してお返事はする
[12068.863] なるかみ_: タイピングが上手くなったら、スト５しますBOTがよく喋るBOTになるのか･･･
[12081.241] (S)naien3: 初歩的なのですが壁際のJ大P→大P→下中P→弱ソニ→ハイキック→サマソのコンボの時にハイキックが入らない事があるのですが、間に合わない理由がよく分からないです。基本連打してるのですが連打じゃダメなんですかね。
[12091.418] lastdragon01: !!!!!!!!!
[12093.060] 001162: AA 
[12094.797] azukikikichan: Ko yeeeeee
[12096.586] ~MISSING_COMMENTER_INFO~: insane...
[12113.452] (S)墾田永年私財砲: ほー
[12123.640] Dablackone: ludwigCroc
[12123.726] nomitora1234: 「サイレントマジョリティ（静かな大衆・物言わぬ大衆）
[12139.551] 記入漏れ: タイピング上手くなったらそらもう スト５配信します になるよ
[12154.328] 壱万円札: 今年はウメガイルの優勝が見たいです
[12166.714] (S)tukumi07: ツイッターのスト５botはスマホだからセーフ
[12172.685] lastdragon01: This is a bad matchup for Guile, but you wouldn't know watching Daigo
[12188.606] ~MISSING_COMMENTER_INFO~: the Rog costume reminds me of El Fuerte LU
[12188.804] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[12192.620] ~MISSING_COMMENTER_INFO~: LUL
[12206.797] (S)naien3: 連打しまくりなのでキーディス確認します！ありがとうございます
[12209.212] niobite: お見事
[12214.940] azukikikichan: 勝った
[12217.834] (S)tukumi07: ていうかウメさんの携帯"す"って打ったら「スト５します」って出てきそう
[12219.495] junichitanaka: かっこいい
[12221.032] (S)zappnn: おお
[12221.519] (S)墾田永年私財砲: 期待しちゃう
[12225.377] kyler_950: Daigo, how was your day
[12225.480] (S)ダブルやっくん: 応援してまっせ
[12227.357] 壱万円札: 応援してます！ 
[12228.935] DRsolipsismo: @daigothebeastv is Tokido Free?
[12230.696] azukikikichan: Yeyeye!
[12232.858] メタラー2764: ヒトボの見慣れない位置にでかいボタンが、と思ったらメタルラックの柱の頭がそう見えるのか笑
[12241.292] shupii097: いまだに辻式でおしちゃう
[12247.001] (S)とりあえずちさと: ガイルって対策されてしまったって感じることない？
[12261.055] (S)actkamii: みんなグラブルやってるのに硬派すぎる
[12279.278] DRsolipsismo: @daigothebeastv is Tokido free?
[12285.702] (S)Hitode_noko: グラブルは案件まで取っておく形？
[12286.063] 平和太郎: 中Pの離し入力でソニック出てるのかね？
[12286.808] (S)ha66yt1me7t7t: 本当うめちゃん真面目だよね
[12287.408] (S)zappnn: グラブル結構視聴者いるし人気あるんだな
[12290.994] junichitanaka: 今日の予定は？ 練習部屋？
[12309.194] (S)ﾃﾄﾗﾝ: グラブルのコメントは大体スルーされるで
[12322.205] gabrielforever: sonic boom
[12326.693] chubbyn00b: sonic boom
[12329.164] (S)actkamii: ララ側めっちゃやりにくそ
[12335.612] (S)墾田永年私財砲: ソニブマシーン
[12340.625] beastbeast: ソニック50発の練習かと思ったｗ
[12345.809] tsubuchoco: ララも飛んで打てるんじゃないのか？
[12352.016] azukikikichan: 筋肉女子がセックシ〜
[12360.567] avmajvm: ガイルも目のやり場に困ってやりにくいからセーフ
[12363.106] (S)Hitode_noko: 沈黙が答えなのかな. . .
[12366.961] (S)墾田永年私財砲: ララはVS2よりも１が強すぎる
[12372.648] (S)とりあえずちさと: ハイタニと同じコスかな
[12377.275] shupii097: 空投げ狙ってみて思うのが思ったより短い
[12407.444] azukikikichan: のおおおおお
[12411.195] johnsouth893: umeSalute
[12423.407] av6969: hi daigo, do you like wands?
[12426.888] shupii097: ウメちゃんの空投げは職人やったんやなって
[12445.243] girotin89: ｗｗｗｗ
[12446.435] ~MISSING_COMMENTER_INFO~: LUL
[12450.124] niobite: あちゃー
[12454.160] 平和太郎: 欲張りさんw
[12455.708] azukikikichan: Nooooo
[12460.753] (S)curemikan: umeCat2
[12467.555] (S)Hitode_noko: 欲でたーw
[12467.651] nia_yasuraka: どっかんおっぱい
[12469.981] ~MISSING_COMMENTER_INFO~: greatest day of that guys life
[12471.909] junichitanaka: 業が深すぎるよぉ
[12473.378] (S)acdcfandesu: umeSad
[12486.847] av6969: hi daigo. do you like x-japan?
[12491.585] (S)zappnn: 疲れそう
[12498.723] 平和太郎: めくるかどうかくらいの距離？
[12507.363] shupii097: とっさにだすのはさすがにできないし
[12524.719] shomarusan: 常に距離意識してるのか
[12557.523] (S)tyatyakuro: 空投げよく決まる試合は勝ってる印象ある
[12564.620] akiaki0612: スト2時代、空投げ職人っていた？
[12582.763] なるかみ_: 対空昇竜と空投げってどういう理由で使い分けてるの？
[12583.555] (S)ricardopara: umeBoom
[12588.612] azukikikichan: よくやったあ
[12598.388] azukikikichan: 嬉しいいい
[12599.206] dragonlordx10: Hello umehara-san
[12608.413] (S)ジャンクばっち: 確認すげぇ
[12608.703] 記入漏れ: サマーで落とす方がリターン高い
[12612.200] shupii097: アッパーが弱いってのもあるのかな
[12621.816] secretofman: are Americans allowed here?
[12626.605] 88ctr: 太刀川さん
[12631.906] junichitanaka: Not quite sorry
[12640.848] secretofman: ok see yall later. GL daigo
[12647.309] だわさワサワサ: 初代スト2だったら春の空投げ範囲すごく広かった
[12650.161] akiaki0612: 空投げは強い弱い別にして憧れたなぁ
[12659.166] dragonlordx10: Everyone is but just show some respect
[12660.331] azukikikichan: アッパーは何ですか
[12660.485] secretofman: please play ryu again
[12663.708] shupii097: なるほど
[12674.796] 001162: HahaCat
[12675.897] (S)naien3: なるほど
[12677.999] 平和太郎: 食らっても空くらいだしね
[12689.712] nanmi__: www
[12693.514] shupii097: アッパー狙っててもつぶされたりしてしんどい
[12697.897] lushif: Daigo you are boss
[12699.254] (S)とりあえずちさと: ついやっちゃうんだ
[12704.037] ~MISSING_COMMENTER_INFO~: @dragonlordx10 
[12704.540] (S)zappnn: クセでやっちゃうよね
[12706.755] shupii097: ガードして投げられたほうがね
[12707.128] (S)tukumi07: 押さない方がいいとかあるのか
[12713.153] 残機なな: スト２ガイルは、低空2000点投げでハイスコアを狙う手段
[12713.366] junichitanaka: 今日のお出かけは何時？
[12713.744] SarriPotterNAP: 日に日に痩せていってる気がするんだけど気のせい？
[12718.887] lastdragon01: Free
[12725.338] (S)kxiaofen: best～ 
[12729.103] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[12730.825] 平和太郎: そんなにリターンあるの？
[12741.796] loderunners73: catsenTea
[12744.074] shupii097: 密着のリターン増えたし、今シーズンはねらっていきたいよなー
[12744.358] azukikikichan: パンツがチラチラ見えそう(o^^o)
[12745.632] recycle4: びたーんってなる
[12745.816] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[12745.847] junichitanaka: ナッシュの空投げとは雲泥の差
[12752.706] (S)157655: そしてかっこいい
[12758.487] (S)~MISSING_COMMENTER_INFO~: ﾋﾞﾀｰﾝからのセットプレイがローリスクハイリターンすぎる
[12758.594] sh1zuku716: びたーん
[12760.304] lastdragon01: I 
[12768.713] メタラー2764: 大足対空もかっこいいです。ガイル以外のキャラでもやったら効果的ですかね？
[12773.568] (S)naien3: わかる
[12779.792] shupii097: わかりみ
[12781.409] 平和太郎: ほー
[12788.150] (S)ジャンクばっち: マジかー空投げ練習しよ
[12792.389] (S)Hitode_noko: ソニック飛ばれて逆転される形めっちゃ多いよね
[12801.366] 記入漏れ: そういえば意識してなかったけど、元祖の空投げから技変わってるのか
[12803.101] (S)zappnn: ふーん
[12806.077] akiaki0612: ニュートラル戦法はヒットボックスになって意味なくなったんでしたっけ？
[12808.605] niobite: 精神的にも優位に立てる
[12809.607] shupii097: 練習するか
[12817.455] junichitanaka: ナッシュの空投げにも起き攻め付けて・・
[12829.068] sly9882: Daigo you rock
[12856.266] (S)TEIKETTO: 今更だけどソニックの食らい判定すげぇ前に出る
[12868.685] (S)tukumi07: 見てた当時めちゃくちゃビビったニュートラル戦法も今は昔か
[12888.414] azukikikichan: 気をつけ〜
[12890.130] キタロー1500: こんにちわ。フォローしてる格ゲーマーみんなグラブルなのにもはや孤高ですね
[12905.654] shupii097: ４ｆキャラにはやっぱニーバズか
[12906.361] junichitanaka: ニュートラル戦法は集中力消費やばそう
[12934.375] tabibitox: ミートさん安定
[12944.881] (S)tukumi07: 相変わらず戦法をコロコロ変える速さに恐れ入るなぁ
[12950.157] (S)cubgasukidesu: オリジナルのグラブルってプレイヤー多いんですか？
[12957.196] ヘルプさん: ヒットボクスウメハラＶＳレバーウメハラはどっちが強い？
[12975.594] azukikikichan: K o
[12994.048] shupii097: ｗｗ
[12996.550] junichitanaka: まぁ焦らずｗ
[13002.769] (S)lunasolnars: ガチくんフォローしてあげて
[13003.845] (S)tukumi07: そうなんだよなー
[13017.675] meganesandesuyo: 実はレバーの方が勝てたりしてね
[13020.261] チョコミんト: 一年やってないと考えればすごい
[13021.095] (S)tukumi07: 去年の準優勝もレバーだし
[13021.547] azukikikichan: ハマるね うめちゃんのチャンネルに
[13024.696] (S)zappnn: レバーの時の方が攻めてた
[13035.263] niobite: たしかに
[13037.542] 平和太郎: やっぱ歴の差かな？
[13042.609] shupii097: 大会だと勝手も変わってくるのかね
[13050.785] Kanquez05: ちょっとでも「操作」に意識割かれると弱体化だからね
[13052.592] (S)acdcfandesu: umeGuile
[13055.212] 96473785: 未来のヒトボだけど、スト5終わる前に間に合うか
[13066.411] azukikikichan: 彼女が居ますか うめちゃん〜
[13097.650] ヘルプさん: むかし影王っていたの覚えてる？
[13105.069] 001162: HahaCat
[13107.151] 平和太郎: つーことはヒットボックスが手足になればまだ伸びるのか
[13129.095] (S)tukumi07: つーことはやっぱりヒットボックス足に乗せるか
[13140.713] mameneko1124: ガイル眼力すげぇ
[13141.994] だわさワサワサ: サマーとソニックエフェクト重なるの格好いい
[13157.272] 記入漏れ: 手がヒトボになったらボタン押せない・・・
[13177.303] 孤獨美食雞: = =
[13185.121] ヘルプさん: 影王ウメハラになってほっしい
[13192.446] Shado18x: LUL
[13201.237] shupii097: ガイルってなんで眉毛ないの
[13218.069] 平和太郎: 足にのせるのはレバーあってもなくても一緒
[13240.319] (S)墾田永年私財砲: 音速の負荷で眉毛なくなった
[13251.468] azukikikichan: よわ
[13263.081] (S)tukumi07: ソニックの衝撃波で眉毛なくなった説
[13286.621] (S)Hitode_noko: ソニックで眉毛チリチリになるから剃った
[13302.440] チョコミんト: 髪整える時にクシこすりすぎた説
[13316.263] らみはい: こんだけ頭に毛があるのに
[13337.665] ~MISSING_COMMENTER_INFO~: このガタイで眉無しは実際出会ったら漏らしそう
[13340.364] mameneko1124: 空気抵抗あるから剃った
[13340.622] (S)~MISSING_COMMENTER_INFO~: あの髪型もソニックテンペストで刈り取られた説ある
[13347.650] ホナウド: 今日は対戦会はなし？
[13353.359] idiot_tanuki: 88
[13362.922] なるかみ_: 全ての毛を髪に移植してるんだぞ
[13369.731] (S)とりあえずちさと: みんなグラブルやってそう
[13371.306] (S)墾田永年私財砲: 寒すぎるんや・・・
[13371.572] (S)tukumi07: みんなグラブルやってるからなぁ
[13373.027] (S)Hitode_noko: そりゃみんなバーサスやってる
[13375.686] ヘルプさん: みんなグラブル
[13376.650] だわさワサワサ: みなGBVSか
[13379.028] (S)zappnn: 今日は集まり悪いだろうね
[13388.101] 001162: 集まっていない 
[13400.264] Deemora: LUL
