[23.788] (S)かげでん: な、な、な、なぜ今ｗｗｗ
[2381.380] scottiever06: ヒット２８は運ゲー
[2386.999] (S)takeiteasy55: なぜこれをやろうと思ったのかの経緯は聴きたいな
[2393.103] YamaoP: 最近(20年前)
[2393.567] (S)komine58: 最近のではないｗ
[2398.206] メンタム: なんでだよww
[2403.067] (S)avmajvm: 囲む効果あったっけ？ｗ
[2408.763] BendingMachineX: 私紋章の謎しかやったことないので
[2409.166] Valask: LUL
[2409.703] (S)Kanquez05: つっよｗｗｗ
[2409.946] (S)takeiteasy55: はい
[2412.777] beehive3: つええ
[2413.234] hal90000: OUTPLAY 
[2413.309] (S)diego_ohunabara: wwwww
[2414.006] ガイギー: ｗｗｗｗ
[2414.610] (S)あと1983: つよーい
[2414.756] (S)Papapadad: ｗｗｗ
[2415.222] saron00: おそらく建物効果をみていない！
[2415.351] pesca_on_air: ｗｗｗ
[2415.642] lineline999: 3連發
[2415.792] (S)kumatedd: ｗｗ
[2415.934] Banana_Cake_xd_: ｗｗｗｗ
[2416.322] mgs_faye: 必殺出てもうた
[2416.488] zakkn: つーよ
[2416.489] (S)takeiteasy55: 別に大丈夫
[2417.051] (S)Aatyu: umeFail
[2417.408] メンタム: いいよ
[2417.545] stvfang: 忍者武雷伝説思い出すな
[2417.741] (S)natoooji: 公開するぞ
[2418.070] カメタロウ: いいよ
[2418.180] denden173: ｗｗｗｗｗ
[2418.461] (S)diego_ohunabara: umeYay
[2418.756] おじキッズ兄: 後悔するぞ
[2418.833] shochann: 有能ｗ
[2419.282] Banana_Cake_xd_: つよすぎぃ！
[2419.318] (S)ttp_hayato: 後悔するぞ
[2420.726] (S)nukaduke91: いいよ
[2422.392] ガイギー: OK
[2423.080] (S)varoshi: いいよべつひ
[2423.412] (S)komine58: いいよ
[2424.588] mgs_faye: 殺して大丈夫
[2426.323] gazesd: LUL
[2426.602] yuiyui1991: ビビりすぎｗ
[2427.014] goodguy3: Nice.
[2427.163] hal90000: wwwwwwwwwww
[2427.783] えすけーえふ: wwwwwwww
[2428.477] rilyuuseitilya: こいつ仲間になったのに
[2428.655] zakkn: ｗｗｗ
[2428.842] shichousha72: わっかんねーｗ
[2429.102] moromororo: さぁどっちかな～ｗ
[2430.917] (S)avmajvm: 後悔するぞ
[2431.549] zakkn: 疑心暗鬼
[2432.388] umechin: やっちゃった・・
[2432.880] scottiever06: ジェイガンじゃないからねｗｗ
[2434.040] (S)kobi3070: umeYay
[2434.407] ulbaha: どっちだよｗｗ
[2434.706] auroradon5: 人狼湧いてきたな
[2435.550] tamago0326: WutFace
[2435.633] debimaru72: SeemsGood
[2435.807] (S)hiisan: まぁ大丈夫っしょ 知らんけど
[2437.196] beehive3: LUL
[2439.533] (S)komine58: ok
[2439.911] 東北のスロカス: 翻弄されるウメ
[2439.991] (S)takeo_onakasuita: ww
[2440.126] (S)atsu_240: 慌てるウメちゃんwww
[2443.206] (S)varoshi: 武器がもったいなかった。
[2445.030] yakianagoda: 焦るウメちゃんかわいいｗ
[2445.064] (S)nukaduke91: ちょっとレベル稼ぎできました
[2446.010] gtm555: 好きにやろうよ
[2446.897] Banana_Cake_xd_: まるでウメちゃんが操作してるようなキャラの華麗な動き！
[2447.658] えすけーえふ: どっちかなー
[2449.083] hal90000: Hard read into DP 
[2450.259] (S)diego_ohunabara: MercyWing1
[2453.044] yusan090: 詰まってリセットまでがテンプレ
[2453.393] (S)henrietta19: 剣には槍、槍には斧、斧には剣で戦うと良いぞ
[2453.439] yuiyui1991: どっちかなぁｗ後悔するかなぁｗ
[2453.637] vcdva: ポケモンかよ
[2454.715] Banana_Cake_xd_: ｗｗｗ
[2458.020] debimaru72: ボスチクできるからね
[2458.967] (S)atsu_240: 後悔するってアイツがゆってただけw
[2459.351] (S)ttp_hayato: 仲間とか気にせず全員ソニックで八つ裂きにしよ？
[2460.012] メンタム: 会話しろよw
[2462.063] (S)mentp: そいつ勇者だよ
[2469.970] umechin: 気になるウメちゃん
[2470.900] zakkn: まあ好きにやろう
[2471.996] (S)takeiteasy55: 話すを華麗にスルーしたな
[2473.451] (S)varoshi: 理解できた？
[2475.340] (S)あと1983: グビーッ
[2476.060] BendingMachineX: なんかガバプレイだけど大丈夫？
[2476.453] (S)komine58: このゲームセンタ
[2476.533] Banana_Cake_xd_: おーわりと余裕ですねえ
[2479.218] (S)avmajvm: このゲーム、ソニックある？
[2480.962] tropical_juice_ichigo: この配信はBGMにも使えそうだな
[2483.811] okitakai: かなりいい感じ
[2485.554] (S)あと1983: 焦りすぎて心拍数が心配になるよ
[2497.469] uzumakikhan786: uzumakiChwaan
[2498.667] scottiever06: トラキアは３すくみはほとんど関係ないレベルよ
[2499.517] balthazar000: まるごと！
[2500.594] (S)prisira: 育成もしないといけないし大変だなぁｗ
[2503.033] zakkn: セーブっけい
[2503.439] goodguy3: Daigo ON
[2504.451] (S)onigiri21: 戦争に話し合いなど無用
[2505.675] Banana_Cake_xd_: まるごとバナナ！？
[2506.712] saron00: 完璧にボスとかも捕獲しつづけるなんてめちゃ難しいんで・・・
[2508.011] superyutori: この時間にレッドブルってすごいな
[2508.385] stvfang: その
[2508.607] (S)henrietta19: 盗賊王リーフ
[2515.636] メンタム: 上書きは危険だぞー
[2533.486] (S)mentp: ナンナはかなり重用したなあ
[2534.769] gibmoqtuczsw: マイクにめっちゃ鼻息が
[2536.965] balthazar000: 確かに、詰む言われている作品で上書きは危険だねw
[2538.677] pesca_on_air: やっぱFEはこのキャラデザだなー
[2540.428] stvfang: Tシャツがなんか戦えラーメンマンの戦闘服みたいだ
[2542.077] (S)komine58: 2章も対したことない
[2544.252] (S)prisira: クリア前とクリア後のセーブはわける方がいいんじゃないかなｗ
[2545.255] Banana_Cake_xd_: レイドリックとか悪そうなやつですね女の子助けにいきましょう
[2545.706] (S)henrietta19: あれ、トラキアからそうだったっけ？＞三すくみ
[2545.764] yusan090: まさか聖戦やってないの
[2554.441] jony_avion: 三すくみは聖戦から
[2557.799] (S)avmajvm: 最後、リーフがぁマップはじぃ、ってなって終わりそう
[2557.846] rilyuuseitilya: トラキアの３すくみは命中５％変わるぐらいしか変化なかった気がする
[2559.632] (S)komine58: 問題は次、、、
[2564.911] zakkn: この顔は悪人だなまちがいない！
[2568.627] debimaru72: ツイッターハラ
[2575.954] tk3333: ガイルどこ？
[2579.578] zenzen108: PS2がもうすぐい発売されるってときにスーファミで発売されるとは思わなかった
[2582.309] (S)henrietta19: 聖戦30％位なかったっけ
[2599.032] goodguy3: Rude!
[2602.441] balthazar000: 昔は高額ソフトやった
[2605.159] Banana_Cake_xd_: 村という焦らせオブジェクト！
[2606.330] loq901: 結構ハードな世界観ね
[2607.097] stvfang: 芸が細かいな
[2615.525] gtm555: スーファミ後期だからこんなにドット綺麗なのか
[2621.690] jony_avion: 敵の盗賊が村を破壊する
[2622.349] rilyuuseitilya: このゲームコンビニで買うの恥ずかしかった
[2622.371] メンタム: とらえなくていいよ
[2624.231] (S)onigiri21: 上半身裸のガチムチ男がいっぱい
[2626.634] mgs_faye: 武器がほしい時とかは捕らえる
[2626.861] (S)ttp_hayato: 正義のダブルサマーでしばき上げろ！
[2629.050] (S)avmajvm: この頃、もう１本１万くらいいってた？
[2634.660] (S)Kanquez05: 武器が欲しければとらえrう
[2634.907] zakkn: 捉えるのはまあ金か武器のためやで
[2635.183] (S)varoshi: 斧もほしくない？
[2636.013] BendingMachineX: 捕らえる利点はなに？
[2640.531] (S)takeiteasy55: しかもこれロム書き換え専用だったはず
[2642.599] (S)yunyun_ada: 自分もわからんからリスナーさん達に教えてもらお
[2644.341] mitarashi458: 余裕があったら捕らえた方がいいですよ
[2644.601] コル: 全員とらえる必要はないよ
[2644.696] terrabattle: ステージ終わらせる前に武器交換はしといた方が…
[2644.907] debimaru72: 斧欲しかったら
[2645.320] batorubaa: 相手の武器奪える
[2645.794] saron00: 自軍の使用装備みて必要なら捕らえる感じで
[2650.000] (S)komine58: 書き換えだね
[2650.718] 1up_kinoko: こんばんは、なんでこのタイミングでトラキア？ｗ
[2653.772] (S)henrietta19: 相手のアイテム確認してほしいのあったら奪いましょう
[2656.566] balthazar000: ローソン
[2661.026] BendingMachineX: なるほど
[2664.426] (S)komine58: ロッピーだっけ
[2666.396] jony_avion: フィンは長い付き合いになります
[2666.500] えすけーえふ: まあこの頃は初日定価から30%オフとか普通だったから言うほど高くは無いかな。
[2669.289] (S)henrietta19: ながいよ
[2669.560] (S)takeiteasy55: コメ見てねぇなこいつｗ
[2671.512] mattarisk: ああこれレアなソフトのやつか
[2672.295] mgs_faye: ネタバレして良いなら言うケド
[2673.370] (S)henrietta19: 長い
[2678.376] (S)varoshi: 一応専用カセットもあったはず。
[2680.498] zakkn: そやねー
[2683.685] (S)ttp_hayato: ウメちゃん聖戦は？
[2684.992] (S)komine58: フィンは重要人物
[2686.402] lavel214: 最後まで主力になりえます
[2686.774] BendingMachineX: てつのおのとかいらないでしょ
[2689.522] (S)natoooji: ゆうしゃのやりって普通終盤手に入る武器じゃない？
[2690.649] scottiever06: 捕獲してステ下がるの知らないようだ
[2691.596] balthazar000: 白いカセット懐かしいな
[2698.633] jony_avion: 最初は書き換え専用でその後カセット版も出たんだっけなトラキア
[2698.640] メンタム: ライブリング使ってねえな
[2700.210] (S)onigiri21: 傷薬嬉しいウメちゃん
[2702.810] (S)haniwa09: 読むのはや
[2707.274] (S)prisira: 強い武器はなるべく使わないほうがいいんでない
[2707.375] nekodorakunn: これ専用のキャラで家行かないとアイテムもらえないとかなかった？
[2707.576] (S)varoshi: ローソンでダウンロードした。
[2711.725] shiroyashazd: GunRun
[2720.388] gazesd: 生きたぁ！
[2722.609] stvfang: 捕虜は増槽タンクか
[2724.593] Ceciltaisa: しなやす
[2724.609] (S)komine58: 勇者の槍は聖戦時に既にね
[2726.502] (S)ttp_hayato: 体力１０００
[2729.187] Banana_Cake_xd_: おいしそうな斧だなあ！
[2730.611] jony_avion: ならないんすわ
[2733.441] ガイギー: フィンは前世代で主君のキュアンに勇者の槍をもらって、それを愛用している
[2734.309] saron00: 捕らえてる敵兵士を別の味方に押し付けることも可
[2736.842] mgs_faye: プレイヤー側はならない
[2736.995] (M)Moobot: 音声別れてます。The audio in this channel is split. 「Left= English, 右＝日本語」 Playback Devices > Properties > Levels > Balance to change (or take out one earphone).
[2745.218] (S)takeiteasy55: 初見なのに２章で既にホバッキーなの草
[2745.900] カメタロウ: 捕らえるは基本武器調達やな
[2747.516] goodguy3: ”てやり”は投げるものね？ そうなら英語で"javelin"
[2752.849] (S)henrietta19: 敵はなるっけトラキア
[2754.723] (S)varoshi: ナイス判断
[2754.810] メンタム: 殺していいよ
[2761.345] zakkn: さすがに？
[2770.567] jony_avion: 攻撃-防御が与ダメ
[2770.967] (S)henrietta19: おっけ
[2772.124] mgs_faye: 聖戦はあるけどトラキアは無いっけか
[2784.644] (S)gomeeeeeeen: cc目前にして賊から村を守る格ゲーマーおるぅ？
[2787.349] (S)komine58: 魔法剣は間接できる
[2789.810] ryuken93829: ウメちゃん軍師だねー
[2825.186] benjino6: スーファミ？
[2828.633] (S)henrietta19: クラスチェンジに見えた
[2830.607] yusan090: しかし往々にしてドーピングゲーあまり上げても辛い
[2832.629] une3333: 軍師ウメハラ
[2833.099] メンタム: 手斧いらんけどねw
[2840.915] (S)varoshi: 下の攻速も意識するとよいよ。
[2841.667] Ceciltaisa: ｗｗ
[2841.821] カメタロウ: クソ
[2842.660] shichousha72: ｗｗｗｗｗ
[2843.414] (S)diego_ohunabara: umeYay
[2843.804] goodguy3: lmao
[2844.692] gazesd: LUL
[2844.915] (S)prisira: ゴミｗｗｗ
[2845.318] ガイギー: ｗｗｗ
[2846.116] roytaly: びびったｗ
[2846.634] stvfang: ｗｗｗｗ
[2847.831] sagatdeganbaru: wwwwwwwwww
[2847.856] ulbaha: ｗｗｗ
[2848.656] zakkn: リセットや！
[2849.687] (S)nukaduke91: んっｗ
[2850.544] (S)okamasa456: ござ
[2850.558] (S)体調不良は背中をほぐせ: ｗｗｗｗｗ
[2852.465] ryuken93829: イケメンだけを信じろ
[2852.878] tagane6: マイク近いかも
[2853.839] tamago0326: WutFace
[2855.068] (S)henrietta19: 見捨てないでｗｗｗ
[2855.954] (S)体調不良は背中をほぐせ: umeStare
[2856.802] (S)kobi3070: umeFail
[2857.813] (S)gomeeeeeeen: 昔のFEってこんなもんじゃね？
[2858.383] scottiever06: 力が上がっただけ十分
[2860.759] cassissoda: 声でびびった
[2860.984] BendingMachineX: イケメンは絶対強い
[2862.511] (S)natoooji: 顔で判断しろ
[2862.718] isfpnpvajpjof: 成長率高そうな顔してるか？
[2863.283] gtm555: 勝敗は顔で決まる
[2864.680] (S)takeiteasy55: マーティーは体格育つよ！
[2865.430] loq901: 攻撃あがったからよしとしないわけｗ
[2867.460] (S)kumatedd: 絶叫プレイだこれ
[2868.602] mitarashi458: マーティは強い
[2872.630] メンタム: マーティは体力だけ
[2872.679] (S)komine58: ハルヴァン強いよ、今のはたまたま
[2872.811] (S)Aatyu: ダグダが愛した男
[2875.461] 多抜深夜: マーティのマサ感
[2879.595] ooooo0ooooooo: オーシンは一軍
[2882.647] debimaru72: イケメンは死なない(名言)
[2882.797] (S)takeo_onakasuita: マーティ顔がやさしそう
[2886.184] BendingMachineX: カイジみたいな顔してんな
[2886.346] メンタム: それ最強武器
[2887.122] yusan090: そういえば体格の悪夢があった
[2888.772] mgs_faye: スト5のキャラをこのゲームにあてはめると是空(若)が異様に強いという流れになる
[2889.339] scottiever06: ハルヴァンオーシンは最後までいける
[2890.046] (S)okamasa456: マゴさんどれよ？
[2891.986] Nijat93: evoMindBlown
[2895.171] (S)henrietta19: オーシンハルヴァンはいい奴らよｗｗｗ
[2895.502] zakkn: プージはそうとうつよい
[2895.818] (S)nukaduke91: それ貴重
[2896.916] (S)takeo_onakasuita: イケメンはつよそう
[2904.334] カメタロウ: プージは後半でも重宝するからな～
[2906.802] debimaru72: プージクッソ強いんだよな
[2911.806] une3333: マゴさんは敵
[2914.180] (S)takeiteasy55: 基本システム把握してないのかｗｗ
[2916.386] loq901: このゲームも顔で決まるのか…
[2918.688] (S)natoooji: このゲーム序盤から最強武器持ってるの？
[2923.659] mgs_faye: 勇者系の武器は2回攻撃
[2924.105] (S)komine58: 勇者じゃないから
[2925.885] メンタム: 捕えるはステータス半分なるからね？
[2932.343] scottiever06: オーシンは後攻で１００パー必殺やで
[2941.133] yusan090: 味方に渡すんだ
[2945.437] (S)prisira: 人交換すればよかったんじゃ
[2946.561] zakkn: 調子乗って使ってるとすーぐなくなるぞ
[2947.757] カメタロウ: 使えない
[2949.176] mitarashi458: 物交換何度でもできるから今じゃなくても
[2952.274] sora_neko09: 味方に武器渡せばいい
[2953.168] げろげろまる: レトロなゲームだな
[2953.200] (S)nukaduke91: 味方に渡しな
[2953.754] batorubaa: あの画面でたしかLかR押せば隣接する味方にアイテム渡せたはず
[2956.111] gibmoqtuczsw: なぜ味方に渡さない
[2959.833] (S)komine58: 他の人に敵を渡せばいい
[2981.735] yusan090: 謎の自身
[2984.087] (S)takeiteasy55: ４１％の恐怖をウメちゃんはまだ知らない
[2985.336] (S)prisira: アイテム整理いるな
[2996.255] saron00: いやいや まずそこまで発想いかんでしょう。別の味方にアイテムおしつければいいっていうのはなかなか
[3001.121] (S)henrietta19: プージってもう一本取れたっけ？
[3001.377] (S)komine58: 上急いでね
[3001.496] est8jujube: 今来たけど、ホントにトラキアやってるのか
[3006.842] stvfang: human traffic
[3012.901] beehive3: LUL
[3017.004] ガイギー: ｗｗｗｗ
[3017.191] カメタロウ: ひどい
[3017.619] mgs_faye: wwww
[3017.873] Ceciltaisa: ｗｗｗｗ
[3018.160] (S)あと1983: はわわ
[3018.282] 東北のスロカス: うっせぇｗ
[3018.405] zakkn: ・・・
[3018.502] balthazar000: またこやつw
[3018.617] loq901: ウメちゃん悲鳴あげないでｗ
[3019.317] ryuken93829: ゴミッ！
[3019.576] (S)takeiteasy55: 良いの育ったじゃねーか
[3020.065] (S)kumatedd: だめか・・・
[3020.142] (S)prisira: ひっどｗｗ
[3022.814] (S)体調不良は背中をほぐせ: ｗｗｗｗ
[3023.137] Kaeede: wwww
[3025.230] (S)ぶどうぱん: umeFail
[3025.522] (S)takeo_onakasuita: wwwあかん
[3025.628] (S)gomeeeeeeen: オーシンどうして・・・
[3027.324] tamago0326: WutFace
[3027.338] (S)varoshi: いやたまたまだよ。
[3027.797] may0nn_aaaisee: リアクションおもろいなｗ
[3028.928] メンタム: いやそいつは強い
[3030.754] balthazar000: 弟子にはしたくない
[3030.831] (S)illmatic_buddha: なんつー声出してんのｗｗ
[3031.381] scottiever06: こんなもんやで
[3031.808] (S)ttp_hayato: 勇者のソニックでPank倒して？
[3031.997] hondata12: ジェイガン
[3032.190] BendingMachineX: あと若いのは大体強い
[3033.926] (S)naoppe: 弱キャラ
[3034.583] Ceciltaisa: ウメちゃんこの先何回叫ぶことになるか・・・
[3035.587] (S)henrietta19: 頼む見捨てないで
[3036.755] zenzen108: 折笠じゃーん
[3039.034] debimaru72: YouWHY
[3040.084] (S)やさいもん: トラキアは平民の物語だからこんなもんだよ
[3040.325] ooooo0ooooooo: オーシンはエース級だぞｗ
[3040.427] (S)komine58: 珍しい
[3041.098] (S)prisira: ランダム要素ないっけ
[3043.197] hoehoeR: こんなに楽しそうにゲームやってるのはじめてみたｗ
[3045.069] ulbaha: ゴザおったか
[3045.651] (S)varoshi: オーシンは武器と、スキルがいいよ。
[3046.321] (S)takeo_onakasuita: イケメンなのに
[3046.714] gtm555: ゴザ・・・
[3047.838] (S)okamasa456: ござなのかそいつ？
[3048.954] カメタロウ: 乱数酷いなぁ
[3049.528] (S)ememeume: 録音しときたいわー
[3049.920] mic7777jpjp: だいこく
[3050.119] (S)ttp_hayato: ランダム要素あったとおもう
[3050.601] scottiever06: オーシンは鬼神です
[3051.855] ｾﾀﾒﾝ: 手強いシミュレーションだなぁ
[3053.654] mitarashi458: こんなもんです
[3054.282] mattarisk: かなしい人
[3055.749] tamago0326: ウメちゃんマイクもう少し離して
[3056.092] kireboshibasyato: ゴザ成長
[3057.025] (S)henrietta19: 主力になりうる人材だよ
[3062.161] (S)kumanobed: 見捨てないで
[3065.081] mgs_faye: たまたまが続いてそしていつかネタキャラが出来上がる流れ
[3067.955] (S)komine58: 光は間接できる
[3076.194] zakkn: ダグダはしないねーｗ
[3078.676] (S)varoshi: そう
[3078.852] (S)gomeeeeeeen: 覚醒とかと比べるとずいぶん慎ましいな
[3080.887] (S)prisira: レベルアップガチャあった気がしたけど
[3082.321] (S)takeiteasy55: マーティーへの恩寵来たｗｗ
[3082.869] loq901: こんな凡人顔成長しないでしょ
[3083.924] (S)sagatdeganbaru: w
[3085.712] metalface_05: 今来たか、まさかのトラキア７７６！！
[3090.524] stvfang: しかしゴザって言い得て妙だなぁ
[3093.815] scottiever06: マーティ育てようぜｗｗ
[3096.931] (S)varoshi: マーティは、、、
[3100.748] メンタム: 逆だろー
[3101.271] (S)henrietta19: マーティ技成長死んでなかったっけ
[3104.336] BendingMachineX: ウメちゃんマイクの音割れてるからちょっと近いよ
[3104.464] yusan090: 来れはスマブラガチる為の予習ですか
[3107.900] est8jujube: 御免今来たばっかなんだけど、なんでトラキアやってんの？個人的にはすごい嬉しいけど
[3109.573] kireboshibasyato: ゴザ
[3110.089] (S)yunyun_ada: こういうゲームやってわざと昼夜逆転して時差ボケなくす感じなのかな
[3111.036] カメタロウ: ｗｗｗｗｗ
[3115.284] (S)あと1983: 辛いねー
[3115.531] メンタム: いいほう
[3118.117] (S)モンゴル: 何かスパロボやりたくなりますね
[3123.094] factor0n: Squid1
[3126.470] jony_avion: 若手か顔が良くないと成長率は低い
[3128.645] (S)komine58: ところがマーティで体格上がるとすごいことに
[3129.163] Ceciltaisa: まぁゼロピンもあるしなぁ
[3129.173] mattarisk: うめちゃんの人選を信じて
[3129.580] scottiever06: 力上がればいいほう
[3130.015] しみてん: 上限オール20だしねー
[3130.741] (S)takeiteasy55: さすがマーティー！
[3130.954] zakkn: リーフの移動力あがるまでリセットしなあ？
[3133.771] inkeyshai: トラキアはマジ難しいよね。詰め将棋みたい
[3135.746] 1up_kinoko: これシリーズでも屈指の難易度の奴だよね
[3137.318] (S)やさいもん: リーフはいつだって残念な感じ
[3139.664] (S)gomeeeeeeen: ０ピン普通にある感じだ
[3145.623] stvfang: 座布団でもなく敷物ほど粗末でなく ゴザ
[3153.698] hoehoeR: 1マップ長いな
[3153.759] (S)varoshi: 主人公は微妙だよ。だから、育てないときつい。
[3161.115] (S)komine58: 屈指というか抜けてる
[3161.892] jony_avion: トラキアはまぁシリーズ最難関だな
[3169.110] gibmoqtuczsw: ゆうしゃ系の武器って強制二回攻撃だっけか？
[3181.817] zakkn: せやな
[3184.866] jony_avion: 聖戦のリーフはウルトラつえーだろうがｗ
[3186.564] 1up_kinoko: ベルウィックとどっちが難しいかな、あれ投げたわ…
[3189.862] batorubaa: 主人公の移動力あがるとかなり助かるけどな
[3192.693] sora_neko09: マーティーは体格とHPばかりあがってく木偶の坊さん
[3196.116] gorb12: hyubT
[3197.322] zakkn: さすがにベルサガかなｗ
[3200.277] ガイギー: リーフが強いっていうか、クラスが強いｗ
[3207.666] stvfang: 斧を振りかぶって訪ねる
[3208.011] saron00: 何いってんだ！ある程度すすんだらリーフ様の大事さがわかんだろい！
[3208.113] (S)takeiteasy55: マスターナイトはっぱは強かったねぇ
[3211.592] batorubaa: ベルサガはお使いのほとんどを諦めたら簡単
[3217.599] jony_avion: リーフはまぁ大器晩成型。序盤は弱い
[3221.783] そろもん1: まったりシミュレーションゲームもええな
[3224.077] chizurizangetsu: トラキアは全クラス成長上限一緒なんだよなあ
[3226.892] しみてん: 残念ということもないが成長率はほどほど疲労が溜まらないのが一番の強み
[3227.604] (S)henrietta19: でも40回成長の機会あるからリーフ
[3233.961] (S)takeo_onakasuita: 女の子総じてかわいい
[3235.850] (S)varoshi: リングは使わないと意味ないよ。
[3237.510] (S)komine58: 体格20になるとなんとボスまで...
[3248.254] sora_neko09: ライブリングは最大HP上がる
[3249.198] scottiever06: リーフは絶倫です
[3261.892] shichousha72: ウメ波動
[3264.090] jony_avion: 弓は育てて損なし
[3264.857] Ceciltaisa: やはり弾キャラか
[3268.452] (S)henrietta19: そうだブラック企業で休みなく働くリーダーだったリーフ
[3269.836] hosp1990: 撃ちたがり
[3270.167] (S)ttp_hayato: ウメアロー
[3271.137] jupi_gagaga: 斧のコスプレしながら配信してくれ
[3272.116] zakkn: 弾うち
[3284.299] stvfang: 聖闘士星矢
[3285.315] そろもん1: これでも弾好きか
[3288.864] inkeyshai: セティ登場まで頑張って欲しい
[3304.029] jony_avion: 俺は気づいちまったんだよ。このゲームは”弓”だってナ
[3304.729] (S)komine58: 弓は一人でいいですね、このゲームは弓微妙
[3304.744] (S)henrietta19: 終盤やんけセティ
[3330.493] (S)takeiteasy55: 再行動
[3332.405] (S)varoshi: 武器の相性悪いよ。槍は、斧には。
[3349.066] メンタム: ておのはやめたほうがいい
[3350.805] (S)komine58: 三すくみ無いよ
[3352.881] (S)henrietta19: 明らか魔法、杖ゲー
[3359.144] jony_avion: 剣は斧に強く 斧は槍に強く 槍は剣に強い
[3361.306] しみてん: 勇者の弓は歴代でも最強クラスの性能だぞただ弓は捕獲攻撃できないからね・・・
[3362.711] zakkn: このゲームは杖ゲーだなたしかにｗ
[3380.844] mgs_faye: シーッ！杖の話はシーッ！
[3389.162] (S)apapa1031: トラキアだ！！！
[3389.832] scottiever06: 最終的にておのやら杖が活躍する
[3391.026] 記入漏れ: ウメハラさんトラキアは・・・トラキアはいかん・・・
[3400.024] メンタム: 重さは昔からあるじゃーん
[3415.885] メンタム: 弱いよ
[3417.751] batorubaa: トラキアの３すくみは補正弱いからあんま気にしないでいいな、それより重さ
[3424.179] stvfang: イケメンは正義
[3425.476] jony_avion: それひどくなーい？
[3426.380] kireboshibasyato: 母が病気で…
[3426.441] (S)takeiteasy55: カシムは知ってんのかｗｗ
[3427.761] (S)henrietta19: 言うて杖なしでクリアおぼつかないよこれ
[3427.986] dante64899: ウメちゃんまさかいきなりトラキアからなの...？
[3428.879] Ceciltaisa: ウメちゃんの好きな弾キャラやぞ
[3429.644] (S)khide05: 一緒にするなｗ
[3430.485] (S)diego_ohunabara: umeRoad
[3430.643] yukisekka: なぜよりによってトラキア
[3430.844] miruisan: トラキアはほんとやりがいあって面白かった
[3432.686] est8jujube: 騎兵系の剣レベル上げとこうね
[3434.678] (S)gomeeeeeeen: ウメちゃん結構知ってんだな
[3434.876] クズ220: ボウマージ
[3436.071] (S)takeo_onakasuita: イケメンだからな
[3436.726] げろげろまる: 由美好きやな
[3438.420] しみてん: 魔導士に生まれるべきだったやつ
[3438.501] (S)komine58: 体格-重さ=攻速 だったかな
[3438.735] scottiever06: ボウマージ
[3442.622] (S)メピパラ: PrimeUWot
[3443.160] (S)nukaduke91: ピコンは再行動
[3444.105] call49: 腹立つ顔のカシムさん
[3447.167] 記入漏れ: トラキアの難易度を知った上で選んだのであろうか
[3456.371] すだちー: よくわかってるじゃーん
[3457.077] (S)takeiteasy55: 初代をプレイして聖戦飛ばしてトラナナって感じかな
[3462.198] (S)komine58: 漁師で魔法使いもどきの弓兵
[3473.853] (S)thefrozensun_: このゲームそんなに難しいんだｗ
[3476.050] debimaru72: 初代はいつやったの？
[3482.758] jony_avion: このゲームはマジでむずいよ
[3486.062] すだちー: かった
[3486.204] dante64899: 初代やってるなら順当か
[3493.172] loq901: おとなしくスマブラでマウス使わない？
[3497.439] しゅあ君: かった
[3498.943] (S)takeiteasy55: 武器が本体です
[3499.213] loq901: マルス
[3500.868] inkeyshai: 専用武器的なの持ってるやつは大体強いイメージがある。
[3501.448] sora_neko09: 正解
[3502.910] カメタロウ: 序盤にゆうしゃのやりは勿体ない
[3506.371] batorubaa: 忘れられた外伝
[3509.657] freed0m_ride: スマブラって誰？
[3512.068] (S)icyblue1985: 激ムズ
[3516.260] mgs_faye: 勇者の槍は強い
[3516.276] ZombieKabuto: 斧 >槍
[3517.148] scottiever06: 捕らえるはステ下がってるよ
[3518.709] stvfang: 武器に使われるキャラか
[3522.878] (S)komine58: 鳳翼戦ブロッキングよりムズいよ
[3524.827] メンタム: いや全部ゆうしゃのやりでいいよ
[3535.174] しゅあ君: もったいない感じ？
[3542.644] Ceciltaisa: ゲージ運用、考えていけ
[3543.667] FZ250: 武器の三竦みが結構キツいからねぇ
[3548.180] scottiever06: まぁリペアすればね
[3553.067] (S)henrietta19: だがﾕｳｼｬの槍なしで捕らえるがおぼつかないジレンマ
[3553.914] しみてん: 勇者の槍は捕獲専用武器と思っていい捕獲攻撃は幸運だけステ下がらない
[3558.539] stvfang: やばい
[3558.571] ガイギー: イッテ！！
[3558.976] batorubaa: トラキアは３すくみほぼないよ
[3559.209] (S)takeiteasy55: はっぱぴーんち
[3559.816] shichousha72: やばない？
[3560.745] (S)varoshi: あ
[3561.627] コル: 最弱主人公
[3561.704] (S)metal_hellion: 光の剣使ってもいいよ
[3563.045] call49: 半端ないピンチ
[3563.338] mgs_faye: リーフ死なないか……？
[3566.050] すだちー: やばくない？
[3566.762] jony_avion: 自分だけー
[3568.966] (S)komine58: 三すくみほぼ意味無いよ
[3570.472] scottiever06: ３すくみはほぼ影響ない
[3570.773] カメタロウ: つかえない
[3570.842] h2hiroyuki: 直しても即倒されそうなんだが
[3571.015] (S)icyblue1985: やば９
[3571.750] zakkn: 捕獲はフィンだったなー
[3571.918] (S)varoshi: つかえない
[3573.464] (S)prisira: お膳立てしないとｗ
[3573.893] メンタム: かついで逃したほうがいい
[3575.375] コル: 救出するしかない
