[10.153] (S)くろばれお: わこさかーーーー
[4586.211] (S)neet_master: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[4586.246] (S)ゆてぃ_: wwwwww
[4586.439] (S)kuro_nekotan: wwwww
[4586.451] (S)亜弥ノエル: wwwwwwwww
[4586.453] (S)ひばり1226: ｗｗｗｗ
[4586.591] sapasa: ｗｗｗｗｗｗ
[4586.599] (S)naeko1123: www
[4586.679] (S)新鮮なシャコ: wwwwww
[4586.967] (S)maru_a_s_: wwwwwwwwww
[4586.996] トリテイ: ｗｗｗｗｗ
[4587.776] (S)brocco_lin: wwwwwwww
[4587.964] (S)megezoo: ぷてちwww
[4588.267] (S)りあ㌨: wwwwwww
[4588.389] (S)oji1chan: ぷてち激怒www
[4588.416] (S)ねるる__: wwwwwwwwwwww
[4588.629] (S)96wuroncha: www
[4588.633] (S)sudachim: wwww
[4589.493] (S)sazanami28: wwwwwww
[4589.740] sapiiiiio: 𝗐𝗐𝗐𝗐𝗐𝗐𝗐𝗐𝗐
[4589.955] (S)ふき__: wwwwww
[4589.962] (S)ぱらぱら__: wwwwwwww
[4590.157] (S)ゆうひ__: ｗｗｗｗｗ
[4590.181] (S)kitanohou08: ｗｗｗ
[4590.505] hound444: wwwwwwwwwwww
[4591.419] (S)b_chizu: wwww
[4591.616] (S)misa0915: wwwww
[4592.581] you0zeromus: www
[4594.377] (S)youazz4242: www
[4594.408] (S)Sekiha_C: wwwww
[4595.020] (S)neet_master: ぷてちｗｗｗｗｗｗｗｗ
[4596.272] (S)くろばれお: wwwww
[4596.522] MIZUNO_o0: かなしww
[4597.280] pemogu10: wwwwww
[4597.510] __紬: ぷてちwww
[4597.520] (S)96wuroncha: ぷてち…w
[4598.371] (S)ksnt007: オコだw
[4600.596] (S)希乃0107: 切り抜きあったの見たwwww
[4600.853] (S)ゆてぃ_: 確定されてるww
[4603.057] (S)seseri_salt: wwww
[4605.290] nasunasuuuuuuu: www
[4605.949] まっささん: wwwwwwwww
[4608.001] (S)にゃるろーる: 確ｗ
[4609.072] sapasa: ブチギレぷてち好き
[4610.345] (S)___みー: いるわけねぇだろww
[4610.434] (S)youazz4242: リーチでしたかw
[4614.829] (S)oji1chan: 圧wwwww
[4614.986] (S)希乃0107: wwww
[4615.467] tk_77777: うーん
[4616.458] hound444: ありさん内定ですw
[4616.664] tachanreg: wwwww
[4618.452] (S)ksnt007: もう？w
[4620.491] (S)ぱらぱら__: wwww
[4620.782] (S)brocco_lin: wwwww
[4622.289] (S)くろばれお: もう逃がしてもらえないww
[4622.449] yusakani: ｗｗｗ
[4622.506] (S)___みー: 圧すっごいなw
[4623.205] (S)yuri_404n: wwwww
[4624.387] (S)亜弥ノエル: にっこにこｗ
[4625.370] (S)にゃるろーる: 娘だからねｗｗ
[4625.719] mouhuu: 人居なかったら...
[4628.028] (S)ゆてぃ_: いないんだよww
[4628.079] MIZUNO_o0: 人いなかったらwww
[4628.587] (S)megezoo: 人いなかったらw
[4633.088] pemogu10: いないんだよねw
[4638.569] (S)にゃるろーる: たまたま？ｗｗｗ
[4640.883] (S)neet_master: たまたま36時間？ｗｗｗｗ
[4641.627] (S)sudachim: たまたまの定義とは
[4644.305] yusakani: すっご！ｗ
[4645.535] hikarino_ow: あれほんまびっくりしたw
[4648.044] (S)brocco_lin: たまたま36時間w
[4649.243] (S)ふき__: 36時間でお馴染み
[4649.506] nemodesudoumo: 36時間！？w
[4654.718] (S)neet_master: ｗｗｗｗｗｗｗ
[4656.564] (S)にゃるろーる: なんでぇｗｗ
[4657.927] (S)ぱらぱら__: wwwwwwww
[4661.655] (S)ひばり1226: wwwww
[4661.874] hound444: どういうことだってばよ
[4662.121] nemodesudoumo: 36時間さん
[4663.112] tachanreg: 36時間なんよね
[4671.598] sapasa: 一生36時間さん言われるやつ
[4678.168] (S)希乃0107: wwww
[4699.246] tachanreg: 36時間は伝説よ
[4716.587] hikarino_ow: まだやってんだって驚きが6回に分かれてやってきたの覚えてるわ
[4717.116] (S)kuro_nekotan: おおーないす！
[4719.429] (S)ぱらぱら__: つよ！
[4733.935] 桃の葉: わこさか〜
[4738.717] tk_77777: 新作のやつは？
[4739.041] sapasa: あっ
[4741.993] tachanreg: 36時間は伝説よあ
[4745.489] (S)くろばれお: 36時間てYouTube何回ちぎれるんだよ
[4746.632] (S)___みー: あ…
[4748.362] tachanreg: あ
[4749.381] mattsun_0503: APEXは？？ｗ
[4749.735] you0zeromus: 圧がwww
[4754.210] (S)kuro_nekotan: 言わされてるww
[4773.128] (S)亜弥ノエル: ないす
[4786.029] (S)田中ちゃんあ: わこさかー
[4792.151] (S)ぱらぱら__: おおお！
[4793.790] (S)___みー: こかげちゃんつよ～
[4794.923] hound444: ないす！
[4805.778] (S)yukidayo8: www
[4806.735] (S)亜弥ノエル: ｗｗｗ２
[4809.586] (S)ぱらぱら__: wwwwwww
[4810.458] sapasa: おじいおる
[4812.333] (S)sudachim: じいちゃん……
[4812.338] (S)misa0915: wwww
[4812.439] (S)ksnt007: おじいちゃんw
[4814.170] __紬: wwww
[4814.676] (S)brocco_lin: おじいwww
[4848.091] you0zeromus: いいウルト！
[4862.735] sirasu_party: やっぱありさんのow見てて楽しいな
[4866.317] (S)亜弥ノエル: www
[4904.131] you0zeromus: 阻害最高や
[4906.789] (S)youazz4242: うんま
[4910.415] (S)___みー: つよ
[4911.022] (S)michikaaa_: ないす
[4911.036] (S)kuro_nekotan: つよー！
[4911.191] (S)ねるる__: ないすぅー
[4911.956] (S)oji1chan: つよー！
[4913.497] (S)はるさんさん_: つよ
[4914.270] (S)brocco_lin: ナイス！
[4914.616] hound444: きもちええ
[4915.189] psyduck1127: 鉄壁すぎやろ
[4915.465] _ひゅーす: ないすう
[4940.910] (S)neet_master: ｗｗｗｗｗｗｗ
[4944.285] (S)ひばり1226: wwwww
[4944.798] sapasa: ｗｗｗｗｗ
[4945.440] (S)misa0915: wwww
[4949.178] (S)sazanami28: wwww
[4949.508] _ひゅーす: wwwww
[4950.965] (S)michikaaa_: wwww
[4951.364] (S)brocco_lin: wwwww
[4951.465] (S)亜弥ノエル: www
[4952.861] (S)かるぼなーら: wwww
[4952.978] (S)kuro_nekotan: wwww
[4954.478] (S)nugget3150: wwwwww
[4955.356] (S)misa0915: wwwwww
[4955.736] (S)yukidayo8: www
[4956.320] __紬: wwww
[4958.572] (S)kitanohou08: ｗｗｗ
[4959.027] you0zeromus: モイラの玉がwwww
[4999.458] sapasa: 迷子ｗ
[5036.023] まっすべ: プライドバトル
[5098.371] (S)___みー: 助かる
[5101.381] gacha_sukumizu: 助かる
[5122.735] (S)にぃぃぃ: わこさか〜
[5145.637] (S)youazz4242: マウガが走っていくー
[5252.307] (S)yukidayo8: ww
[5254.557] _ひゅーす: ｗｗｗｗ
[5255.818] (S)maru_a_s_: www
[5256.159] アナベル_バトー: www
[5256.803] (S)kuro_nekotan: www
[5257.282] (S)yukidayo8: ないすー！
[5258.017] (S)neet_master: ｗｗｗｗｗｗｗ
[5258.065] (S)亜弥ノエル: GG
[5258.200] (S)misa0915: www
[5259.108] yusakani: ないす！
[5259.361] (S)かるぼなーら: GG
[5259.504] ママチリ: ﾄﾞﾀﾄﾞﾀﾄﾞﾀ
[5259.734] (S)ねるる__: ないすぅー
[5259.796] (S)michikaaa_: ないすー
[5260.009] (S)kuro_nekotan: ないす！
[5260.460] (S)おるた_: gg
[5260.633] hound444: ないす！！
[5261.040] (S)sazanami28: ないすgg！
[5261.095] (S)ksnt007: ナイス！
[5262.052] アナベル_バトー: GG
[5262.161] (S)ぱらぱら__: ないすー！gg
[5262.377] _ひゅーす: ないすう！
[5262.410] sapasa: ｗｗｗｗ
[5262.709] ichimi_togarash1: ないすー
[5262.764] (S)misa0915: ないす
[5262.969] (S)maru_a_s_: ないすぅGG
[5263.637] (S)ksnt007: GG
[5263.662] (S)ゆうひ__: GG
[5263.789] (S)sudachim: 鬼ごっこ
[5263.841] (S)nugget3150: GG
[5264.033] (S)brocco_lin: ないす！GG
[5264.640] (S)ねるる__: gg
[5265.824] (S)ゆてぃ_: gg
[5265.850] (S)misa0915: GG
[5265.926] you0zeromus: ないすー！
[5267.411] (S)くろばれお: wwwww
[5268.140] (S)b_chizu: gg
[5268.422] (S)michikaaa_: gg
[5269.809] (S)くろばれお: gg
[5270.263] (S)みにとーま: gg
[5270.526] (S)mitasomam: ないすGG！
[5272.093] (S)kitanohou08: gg
[5284.903] (S)くろばれお: ん
[5290.164] (S)kuro_nekotan: wwww
[5290.181] _ひゅーす: ｗｗｗｗ
[5291.047] (S)oavow: 静かw
[5292.289] hikarino_ow: じ、み
[5292.435] (S)ゆてぃ_: wwwww
[5293.557] アナベル_バトー: ｗｗｗｗｗ
[5293.760] (S)ksnt007: 良かった！
[5294.765] (S)misa0915: www
[5295.323] (S)ren4299: まあ...
[5295.436] (S)yuri_404n: wwwww
[5295.488] (S)かぐらちゃん_: wwwwww
[5296.104] sapasa: ｗｗｗｗ
[5296.420] (S)brocco_lin: wwwww
[5296.479] yusakani: ｗｗｗｗｗ
[5297.039] (S)亜弥ノエル: ｗｗｗｗ
[5297.767] (S)neet_master: ｗｗｗｗｗｗｗｗ
[5298.713] (S)michikaaa_: wwww
[5298.903] (S)sazanami28: wwww
[5299.179] (S)maru_a_s_: www
[5300.425] (S)b_chizu: wwwwww
[5300.695] (S)ぱらぱら__: wwwwwww
[5301.521] (S)kuro_nekotan: 壁みてた？w
[5301.679] ojou_43: wwwwww
[5301.712] _ひゅーす: てきとーすぎｗｗｗｗｗ
[5305.335] (S)megezoo: ww
[5305.494] (S)___みー: wwwww
[5314.805] hound444: 壁チルしてたな
[5357.385] tokpakuo: どうしたせききになるぞ
[5367.400] tk_77777: あ
[5367.913] oki4353: wwwww
[5368.501] (S)ゆてぃ_: wwwwe
[5368.528] (S)maru_a_s_: wwwwwwwwww
[5368.577] _ひゅーす: ｗｗｗｗｗｗｗｗｗ
[5369.045] (S)kuro_nekotan: wwwww
[5369.194] sapasa: ｗｗｗｗｗｗ
[5369.365] (S)neet_master: ｗｗｗｗｗｗ
[5369.724] hi_na__31: wwwwwww
[5369.820] (S)まめ___: あwww
[5369.868] (S)___みー: wwwwwwww
[5370.052] (S)ksnt007: www
[5370.052] tachanreg: あ
[5370.062] アナベル_バトー: あ
[5370.265] (S)新鮮なシャコ: wwwww
[5370.288] (S)michikaaa_: wwww
[5370.294] どんどーん: ｗｗｗｗｗｗ
[5371.053] (S)ちゃらこ: wwwww
[5371.057] (S)みにとーま: www
[5371.062] (S)pi_enn: あー
[5371.150] さく_らば: ｗｗｗｗｗ
[5371.995] (S)ゆうひ__: ｗｗｗ
[5372.008] (S)brocco_lin: wwwwwwwww
[5372.023] (S)まこよ: wwwwwww
[5372.097] (S)07FZK: www
[5372.119] 新玉です: wwwwww
[5372.845] (S)sudachim: ﾁｸﾁｸ
[5372.927] (S)ksnt007: なんかw
[5372.976] (S)yum1xx0219: wwwwww
[5373.000] (S)みか_미카: ww
[5373.048] pote_r: wwwwww
[5373.291] (S)ぱらぱら__: wwwwwwww
[5373.488] (S)misa0915: あ
[5373.544] (S)ねるる__: wwwwww
[5374.230] (S)nugget3150: wwwwww
[5374.332] (S)亜弥ノエル: あ
[5374.423] (S)ふき__: www
[5374.457] hound444: ﾁｸﾁｸ
[5375.006] ruki36: wwwww
[5375.261] shunnaa7: BibleThump
[5375.527] (S)はるさんさん_: wwwwwww
[5375.651] (S)b_chizu: wwwwww
[5376.187] yusakani: ｗｗｗｗ
[5376.385] (S)くろばれお: wwwww
[5377.847] (S)misa0915: wwwwwwww
[5378.398] ojou_43: 言うねぇ！
[5378.570] syodo2: ｗｗ
[5378.788] (S)sazanami28: wwwww
[5379.091] (S)かぐらちゃん_: wwwwwwwwwwww
[5379.978] (S)かるぼなーら: wwwwwww
[5380.008] 新玉です: あ
[5380.056] (S)ksnt007: まじかw
[5380.506] アナベル_バトー: 言ったｗｗｗ
[5380.586] oki4353: いったああｗｗ
[5381.289] (S)ひばり1226: wwwww
[5381.796] (S)___みー: ぷてちwwwwww
[5382.128] tachanreg: グサァ
[5382.486] さく_らば: 言うとるｗｗ
[5382.698] __紬: wwww
[5383.283] (S)kuro_nekotan: 言ったよww
[5383.723] (S)ゆてぃ_: 言ったなぁwww
[5383.977] (S)はるさんさん_: 言ったwwww
[5384.006] (S)neet_master: 言うたｗｗｗｗｗｗｗ
[5384.792] (S)sudachim: 心が苦しいよお
[5385.861] pote_r: いったー！wwwwww
[5386.353] (S)いないいないばあー: はっきりと
[5386.410] (S)ren4299: 言ったなぁw
[5386.781] (S)michikaaa_: 言っちゃったww
[5386.865] 新玉です: wwwwww
[5387.221] (S)ふき__: おっとwww
[5388.282] ken8196: まんまではあるw
[5389.693] (S)brocco_lin: 言ったwww
[5390.515] (S)WARUGI12257: wwww
[5391.975] sapasa: 言いますやんｗｗ
[5393.624] (S)亜弥ノエル: ぷちょｗ
[5394.831] (S)ksnt007: ナイフ研いでるなw
[5395.756] ri___tu: www
[5397.400] pokerface_1223: ちゃんと回してるんだねってことよ
[5397.549] MIZUNO_o0: かわいいwww
[5407.584] ruki36: やって無いと思われてんだよ
[5407.771] tachanreg: ナイフ切れ味良すぎw
[5409.893] tk_77777: 誘いなさいよ
[5412.389] (S)oavow: やってるイメージない割にわってねw
[5416.920] トリテイ: ｗｗ
[5417.079] (S)kuro_nekotan: 誘いなさいよw
[5418.256] (S)ゆてぃ_: ﾁｸﾁｸすぎww
[5420.171] (S)oji1chan: wwwww
[5430.807] hound444: 誘うならこかげさんかwww
[5431.161] (S)亜弥ノエル: wwwww
[5433.590] 新玉です: wwww
[5433.998] (S)neet_master: ｗｗｗｗｗｗｗｗｗｗｗ
[5434.371] sapasa: まだｗｗｗ
[5434.819] トリテイ: まだｗｗ
[5435.061] (S)yukidayo8: www
[5435.191] (S)新鮮なシャコ: まだwwww
[5435.322] _ひゅーす: まだｗ
[5436.520] (S)みにとーま: まだww
[5436.541] (S)ゆてぃ_: まだ…ねww
[5436.556] (S)misa0915: wwww
[5436.984] (S)ksnt007: まだw
[5437.009] アナベル_バトー: まだｗｗｗ
[5437.046] (S)michikaaa_: まだww
[5437.537] (S)ゆうひ__: まだｗｗ
[5438.631] (S)youazz4242: まだwww
[5438.667] (S)ぱらぱら__: wwwwww
[5439.087] yusakani: まだｗｗｗ
[5439.115] (S)brocco_lin: まだwww
[5439.994] (S)b_chizu: まだwww
[5445.980] hound444: あ、まだwww
[5453.007] pokerface_1223: サポの切れ味鋭いかwww
[5455.498] さく_らば: ｗｗｗ
[5458.319] (S)ksnt007: 怖いなw
[5486.498] gacha_sukumizu: まくりー
[5492.452] (S)ぱらぱら__: 今環境だよね
[5507.153] you0zeromus: 耐久力があるからなあ
[5516.964] pokerface_1223: やっぱワンショットでワンピック取れるキャラは強いよ
[5521.313] tachanreg: ソジョンとキャスの二台巨頭
[5563.600] _ひゅーす: ｗｗ
[5565.441] (S)yukidayo8: ww
[5566.536] (S)かぐらちゃん_: wwwwww
[5567.223] tk_77777: おじさんおるw
[5567.880] アナベル_バトー: ｗｗｗ
[5568.643] (S)misa0915: www
[5569.188] (S)ぱらぱら__: wwww
[5569.366] ojou_43: しよってからに！
[5571.644] you0zeromus: www
[5571.670] (S)ねるる__: www
[5573.669] (S)sudachim: てやんでい！！
[5573.734] tachanreg: これぃ
[5575.612] (S)くろばれお: wwww
[5576.634] (S)亜弥ノエル: wwww
[5577.363] (S)ゆてぃ_: wwww
[5579.640] pokerface_1223: これぃ
[5582.377] (S)brocco_lin: wwww
[5612.702] tachanreg: 窓痛えんよ
[5647.799] you0zeromus: ないすー！
[5650.379] アナベル_バトー: なーいす！
[5650.792] (S)ぱらぱら__: ないすー！
[5650.802] (S)ゆてぃ_: ないす
[5651.509] (S)brocco_lin: つよー！
[5651.890] (S)亜弥ノエル: ないす
[5652.343] tachanreg: ギアゲンジつよ
[5698.803] gacha_sukumizu: あw
[5712.670] ken8196: （ ;  ; ）
[5717.817] (S)荒木なぎさ: ww
[5719.914] kokoa777: www
[5720.126] nissy_kke: w
[5721.622] rip_tg: あれ？ww ありさん？ww
[5724.138] aome1208: BibleThump
[5724.852] sirasu_party: ひっそりと交代
[5725.726] 01__dska: BibleThump
[5729.760] (S)荒木なぎさ: 静かに変えたw
[5730.602] (S)megezoo: 無言ww
[5730.995] (S)oavow: そっと
[5733.417] hound444: 実家のソルジャー
[5738.758] sapasa: サイレント交代
[5750.970] kimito8: うま
[5809.012] sirasu_party: 当てるぅ
[5914.501] さく_らば: ないす
[5914.685] aome1208: うまあ
[5916.204] (S)brocco_lin: うま
[5916.999] (S)megezoo: うま
[5917.234] you0zeromus: うま！
[5919.084] (S)ぱらぱら__: うま
[5919.515] hyappoda: ウッマ
[5919.573] (S)___みー: うま！！！！
[5920.582] (S)まこよ: うーま
[5927.645] ken8196: うっま
[5981.353] (S)亜弥ノエル: ないす
[6001.650] _ひゅーす: wwww
[6002.796] you0zeromus: さっきもきいたなw
[6003.835] (S)ゆうひ__: ｗｗｗ
[6005.864] (S)亜弥ノエル: ｗｗｗ
[6007.506] (S)みにとーま: www
[6007.723] __紬: www
[6007.934] (S)sazanami28: 聞いたなぁw
[6008.151] you0zeromus: wwww
[6008.181] (S)misa0915: www
[6008.511] (S)くろばれお: www
[6009.524] kodooji2nd: www
[6011.564] アナベル_バトー: ｗｗｗ
[6011.639] (S)ぱらぱら__: www
[6015.109] (S)亜弥ノエル: wwwwwww
[6016.301] (S)brocco_lin: wwww
[6027.268] (S)pi_enn: んｗ
[6029.611] ojou_43: www
[6029.850] (S)___みー: あ
[6030.150] (S)新鮮なシャコ: wwwww
[6031.740] _ひゅーす: んwwwwwwwwww
[6033.457] yusakani: ｗｗｗｗｗｗ
[6033.495] アナベル_バトー: あｗｗｗ
[6034.094] (S)ぱらぱら__: wwwwww
[6034.514] (S)くろばれお: んw
[6035.598] (S)亜弥ノエル: あ
[6036.707] (S)neet_master: ｗｗｗｗｗｗ
[6038.824] pokerface_1223: おいwww
[6038.950] (S)07FZK: んｗ
[6042.673] sapasa: ｗｗｗ
[6057.058] おはぎだいすき: ファントム持ちの弊害が…
[6072.015] pokerface_1223: ソルジャーでは無いみたい
[6077.409] nico253_: わこさかー！OW嬉しみ
[6079.021] (S)グリシー: 弓矢とかしゃばい
[6080.259] (S)亜弥ノエル: ｗｗｗｗｗｗ
[6085.127] アナベル_バトー: ｗｗｗ
[6095.492] アナベル_バトー: ええええ
[6096.006] さく_らば: ﾊｧｰ
[6098.901] yusakani: えええええ
[6150.015] (S)yuri_404n: wwwww
[6151.476] kao_ria825: www
[6153.067] (S)sudachim: 壁際だったww
[6153.374] (S)brocco_lin: www
[6155.402] yusakani: ｗｗｗ
[6246.503] さく_らば: ないす！
[6249.645] you0zeromus: えらー！
[6250.472] アナベル_バトー: ないすぅ！
[6251.423] (S)亜弥ノエル: ないす
[6252.331] 10_10___shiell: wwww
[6255.658] (S)megezoo: ないす
[6256.260] (S)くろばれお: www
[6261.280] you0zeromus: ないすなの～w
[6264.388] さく_らば: 相手のウルト何残ってるかな
[6271.105] (S)kitanohou08: ｗｗｗ
[6271.284] sapasa: ｗｗｗ
[6275.968] yusakani: かわいいｗｗ
[6277.815] _ひゅーす: www
[6278.023] gacha_sukumizu: 今キングボンビーいたw
[6281.551] pokerface_1223: いらいらのひなの？
[6329.184] (S)furifuriholiday: こんばんはー！
[6335.492] さく_らば: おお
[6336.174] you0zeromus: でか！
[6342.333] さく_らば: ないすーGG！
[6343.348] (S)brocco_lin: つよ！
[6343.369] (S)ねるる__: つよ
[6343.739] (S)yukidayo8: うおおおおおおおお
[6344.531] アナベル_バトー: おお
[6344.663] (S)新鮮なシャコ: つよ！
[6345.340] (S)youazz4242: つよすんぎ！
[6346.407] (S)ゆうひ__: すご
[6346.763] (S)yukidayo8: ないすー！
[6347.424] トリテイ: GG
[6347.488] (S)はるさんさん_: つよ！
[6347.847] (S)megezoo: つよー！
[6348.461] (S)b_chizu: つよ
[6348.469] yusakani: つよおおお！
[6349.216] (S)L__0u0: ないすー！
[6349.510] (S)ren4299: gg
[6349.744] (S)かるぼなーら: ないすGG
[6349.860] _ひゅーす: つよ～～！GG
[6350.104] (S)brocco_lin: GG
[6350.308] __紬: ないす
[6351.127] (S)亜弥ノエル: つよ
[6351.884] アナベル_バトー: GG
[6352.025] (S)sazanami28: ないすgg！
[6352.776] (S)はるさんさん_: GG
[6352.944] (S)みにとーま: gg
[6352.977] m_taromama: ないすー
[6353.076] (S)sudachim: さすがやなあ
[6354.536] (S)b_chizu: gg
[6354.631] (S)亜弥ノエル: GG
[6355.481] yusakani: ないす！
[6356.612] __紬: gg
[6356.738] (S)misa0915: GG
[6358.550] Jecikalba: axeumBlush
[6370.029] (S)まぐろっ: つっよ
[6372.414] (S)ゆてぃ_: おおおお
[6372.880] (S)___みー: うおおおおおお
[6373.146] (S)新鮮なシャコ: うわあああ
[6373.769] (S)おるた_: わあ
[6373.989] (S)sazanami28: おおおお
[6373.995] (S)b_chizu: おおお
[6374.597] you0zeromus: かっけえええ
[6374.608] (S)ねるる__: すげーー
[6375.548] (S)はるさんさん_: うおおおおお
[6375.727] (S)ren4299: かっこよ
[6376.551] (S)oavow: つよー
[6376.947] __紬: つっよ
[6377.329] アナベル_バトー: つっよおお
[6379.785] ryoma199811: うんま
[6379.864] (S)brocco_lin: かっけぇ！！
[6380.359] (S)maru_a_s_: wwwwwwwwww
[6383.302] (S)ゆてぃ_: wwwww
[6383.483] あなべるがとー: これは本人w
[6383.573] (S)sudachim: ﾍﾟﾁﾍﾟﾁ
[6383.653] アナベル_バトー: ｗｗｗｗｗ
[6384.611] _ひゅーす: ｗｗｗｗｗ
[6385.242] トリテイ: ｗｗｗ
[6385.977] (S)misa0915: wwww
[6386.567] (S)亜弥ノエル: ｗｗｗｗ
[6417.154] you0zeromus: おきつねゲンジいいねぇ
[6435.567] (S)まぐろっ: ね
[6442.667] (S)ゆうひ__: 大人気ゲームか
[6458.609] you0zeromus: プロも盛り上がってきてるよね
[6459.414] pokerface_1223: 配信者五人集まってこんな静かな瞬間あるんかw
[6478.574] qsoup777: Squid1
[6481.584] warainusan: ｼｰﾝ
[6484.027] you0zeromus: 精神統一タイム
[6500.582] (S)brocco_lin: wwwww
[6502.663] (S)亜弥ノエル: ｗｗｗ
[6508.311] (S)kuh_nel: キャスディがやっぱり一番腐りにくいのかな
[6517.495] you0zeromus: 今ボールも強いよねw
[6547.538] (S)ゆてぃ_: わぁ
[6559.172] you0zeromus: うわぁぁぁ
[6578.107] aome1208: つよ
[6599.179] 01__dska: うま
[6639.994] (S)sazanami28: わあ
[6640.805] (S)亜弥ノエル: いって
[6649.135] (S)oavow: なにがなんやら
[6656.975] tachanreg: イラリーウルトえぐあいなあ
[6727.034] (S)noaonnn: わこさかですー
[6972.093] you0zeromus: ゆるすなー！
[6979.044] (S)yukidayo8: ww
[6981.079] (S)亜弥ノエル: ｗｗｗｗｗｗ
[6981.573] (S)sazanami28: www
[6983.992] (S)まめ___: www
[6985.491] __紬: www
[6985.748] 01__dska: www
[7108.753] sapiiiiio: 𝗐𝗐𝗐
[7108.840] (S)亜弥ノエル: nf
[7110.035] _ひゅーす: nt
[7112.845] (S)brocco_lin: nf
[7115.142] (S)ゆてぃ_: nf
[7115.524] (S)sazanami28: nt
[7115.775] sapiiiiio: nt
[7118.336] yuguchishousa: プッシュきついなぁＷ
[7134.949] (S)にゃるろーる: ｗｗｗｗｗｗｗ
[7159.120] you0zeromus: ウルトのキャリー力でかいんよなあ
[7200.930] (S)kuh_nel: イラリーベンチャーの初見殺し力すごいな
[7218.211] (S)oji1chan: タイヨー…
[7220.675] _ひゅーす: wwwww
[7222.580] yusakani: ｗｗｗ
[7224.512] you0zeromus: wwww
[7226.874] (S)kuh_nel: ta1yoさんｗ
[7230.098] ひろゆきむ: ta1yoEee
[7252.953] Dopepsych0: TwitchConHYPE
[7284.272] (S)sasa_nha: ハムwwww
[7285.686] sapasa: ｗｗｗ
[7323.099] _なちゃん_: わこさか！こんばんはー！
[7328.726] ln_ln_06: TwitchConHYPE
[7331.860] you0zeromus: なーいす
[7402.059] hikarino_ow: 真正面ボール？
[7427.598] ken8196: ta1yoMcree
[7437.909] matiashigorou: ボールがコロコロしとるねww
[7455.654] (S)kuh_nel: ボールくんタフなんだねぇ
[7605.824] (S)kurooo__78: こんばんわ～✋
[7640.499] hikarino_ow: 第三で覚醒したなあボール
[7647.619] (S)kuh_nel: トレーサーボール神出鬼没だなぁ
[7679.071] さく_らば: ないすー
[7680.425] (S)sasa_nha: ナイス〜
[7681.868] _ひゅーす: ないすう
[7682.523] (S)ゆてぃ_: ないすー！
[7682.758] (S)brocco_lin: ないす！
[7683.007] you0zeromus: ないすー！
[7683.924] (S)新鮮なシャコ: ないすー
[7685.716] ken8196: ないすー
[7687.383] (S)sazanami28: ないすぅ
[7691.273] (S)kurooo__78: ないすー
[7695.656] (S)yuri_404n: ないすー！
[7713.250] _ひゅーす: きもいｗ
[7716.720] (S)かぐらちゃん_: wwwwww
[7717.901] (S)sazanami28: wwww
[7718.952] (S)brocco_lin: wwwww
[7797.599] (S)kuh_nel: 浅いぞてｗ
[7837.365] (S)亜弥ノエル: ｗｗｗｗｗ
[7843.313] (S)neet_master: ｗｗｗｗｗｗｗ
[7984.157] hagi0812: あ
[8166.329] Jecikalba: axeumBlush
[8206.017] さく_らば: なーいす耐えた!
[8218.150] soukun_tikuwa: こんばんは
[8272.519] (S)sasa_nha: まあまあワース
[8412.006] (S)sasa_nha: ナイス〜
[8413.549] (S)yukidayo8: ないすー！
[8414.793] (S)maru_a_s_: ないす
[8414.814] (S)かるぼなーら: ないすGG
[8415.999] さく_らば: GG~
[8416.070] (S)ren4299: gg
[8416.785] (S)ayu_tmm: ナイス
[8417.228] (S)おるた_: gg
[8417.264] (S)brocco_lin: ないす！GG
[8419.615] (S)はるさんさん_: GG
[8419.726] (S)ayu_tmm: gg
[8419.896] (S)ゆうひ__: GG
[8420.101] (S)ゆてぃ_: ないすgg
[8421.116] (S)megezoo: gg
[8421.266] naxxuB: ナイスゲーム！
[8422.256] (S)mitasomam: ないすGG
[8423.387] アナベル_バトー: ないすぅ！
[8423.859] (S)b_chizu: gg
[8425.989] you0zeromus: ないすー！
[8426.273] 01__dska: ナイスーーー
[8426.655] (S)くろばれお: gg
[8427.166] (S)nnk_pop: gg
[8427.258] sapiiiiio: ないす！
[8427.861] (S)にゃるろーる: ないす！
[8428.034] (S)sazanami28: ないすgg
[8447.972] (S)ren4299: かっこよw
[8451.303] (S)亜弥ノエル: www
[8451.475] (S)ゆてぃ_: すごww
[8451.688] hikarino_ow: おほほほ
[8488.050] (S)ゆてぃ_: wwwww
[8490.685] (S)かぐらちゃん_: wwwwww
[8490.715] (S)亜弥ノエル: ｗｗｗｗｗｗｗｗ
[8490.771] _ひゅーす: ｗｗｗｗ
[8490.908] (S)にゃるろーる: ｗｗｗｗ
[8492.894] (S)brocco_lin: wwww
[8492.990] (S)ren4299: wwww
[8493.763] ojou_43: wwwww
[8494.113] (S)96wuroncha: wwww
[8494.497] (S)maru_a_s_: 真剣www
[8494.621] (S)sazanami28: wwww
[8494.669] (S)b_chizu: wwwwww
[8495.446] (S)ゆうひ__: ｗｗｗｗ
[8495.826] (S)neet_master: ｗｗｗｗｗｗ
[8496.149] you0zeromus: wwwwwww
[8497.829] (S)sudachim: www
[8500.687] (S)kitanohou08: ｗｗw
[8505.045] (S)ren4299: ちょっとわかるw
[8508.104] (S)kuro_nekotan: 顔つかれるねw
[8511.450] (S)megezoo: www
[8512.659] (S)sudachim: ｽﾔｧ
