[13.129] 騙すカス鋼: にょっす
[6893.144] jama4man: テンパるって「あせる」って意味もあって不思議
[6894.994] sn0wf0x3: 麻雀はね〜
[6899.208] kaban1192: ｗｗ
[6899.861] hal0087: ？？？
[6900.763] のぞみくん: wwwwww
[6901.474] mikaze0001: スマブラは仕様も含めて独特だからね、裏当てとか
[6902.466] (S)てんとうむし55: www
[6902.946] nihonsyu_: ？？？？
[6903.437] シャンウー: ww
[6903.656] oiyoiyo6118: ？？？
[6903.657] BigbossJP: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[6906.649] taroumaruh: ？
[6908.456] ミジンコ隊長: Ｄもうやばいか？
[6909.285] bakedonion: ……
[6909.408] (S)moppu_gake: ？
[6909.444] ましゅダヨ: ？？
[6909.504] sarah_0519: wwww
[6910.228] (S)feel2525: 酒はうまいか？
[6911.007] sn0wf0x3: ？？？
[6911.456] kkshkk: やったなー
[6911.590] v_harumi_v: 酔ってきた？
[6911.907] tabibitox: やらかしたな
[6912.605] nako756: 時止まった？？
[6912.800] kitori_17: 民明じゃないですね？
[6913.340] 5don: ………
[6913.345] n242f45aa: ん？
[6913.540] kimie_white: ファイティン？
[6913.737] (S)moppu_gake: D？
[6915.266] tawashi00: ｗｗｗｗｗｗｗｗｗ
[6916.797] (S)chiichan2222: ！？
[6916.976] のぞみくん: なにわろw
[6917.582] yayayujin: やらかしたな
[6918.856] kamiyama_t: ちゃんと事故やめーや
[6919.728] Sunsun_the_Sunfish: やってくれたな
[6919.833] gokukeshi: 限界か？
[6922.962] (S)てんとうむし55: Dさんかわいいw
[6923.162] 5don: 闇がね
[6923.649] ましゅダヨ: 硬直止めてね？
[6924.140] ほねこっぷ: なんつー顔しとるんや・・
[6926.179] iwaisi: ｗｗｗｗｗ
[6926.772] てべす1103: 裏ジャスティスやんけ
[6928.158] n242f45aa: 時止め
[6928.225] tabibitox: 限界か
[6929.333] nihonsyu_: うーん・・・
[6932.182] シケモクスッパマン: なんかあのーーーー うーーーーん・・・・
[6933.011] 無心に: お酒がよくないのかな
[6933.832] ミジンコ隊長: ｗｗｗ
[6935.731] ddsato316: さすD
[6936.710] kyabetu_tarou4: ブライアン・ホークか
[6938.585] 勤務中: いまの発言がもうファイティン
[6940.669] hal0087: 完全にマイナスフレームからパナしたな
[6945.260] 佐藤つばくろ: ・・・
[6946.418] taroumaruh: 毎回Dは闇鍋をひっくり返してこぼす要員だから・・・
[6946.644] ant0n111: 中国麻雀無筋関係ないからつまんない上に多分ウソ
[6946.817] nako756: Dがいつも通りの調子になってきたね
[6948.079] raurakd: ウメちゃんがフォローできないレベル
[6949.700] (S)Opening_Runner: 大事故
[6951.824] kimie_white: 音楽業界もいっぱいありそう
[6958.657] ましゅダヨ: 感謝だけww
[6962.073] てべす1103: Dはこれでいいw
[6965.470] slade_hauser: DIOいた?
[6992.620] ましゅダヨ: あ、聞いたことあるわ！
[7001.210] kitori_17: 逆ダイブ的な
[7003.596] ミジンコ隊長: へー
[7005.569] sn0wf0x3: へー
[7008.340] ましゅダヨ: バンドあるある
[7011.007] (S)moppu_gake: へー
[7014.080] v_harumi_v: 怪我しそうな勢いね
[7020.682] erisuk: 最高潮に乗ってるってことではないのか
[7020.767] ましゅダヨ: めっちゃ押されてヤバいやつ
[7024.512] yo5hhhh: それはV系だけかな
[7025.867] v_harumi_v: 最前列とかやばそう
[7034.691] taroumaruh: ｗ
[7035.667] v_harumi_v: 💦
[7035.744] ましゅダヨ: 最前めっちゃお腹やられます
[7037.246] hal0087: www
[7038.115] バーニングチャーハン: ミートさんこういう話の時目が据わるw
[7040.706] iwaisi: ｗｗｗ
[7043.349] ましゅダヨ: にくぶとんww
[7048.425] ましゅダヨ: タンクwwwwww
[7050.275] sn0wf0x3: wwww
[7051.906] kimie_white: FPSのタンク
[7052.626] 5don: オーバーウォッチにもいましたね
[7054.773] ましゅダヨ: そゆこと！
[7056.181] taroumaruh: あーなるほどねｗ
[7060.193] tsubame0614: ラインハルトとかね
[7060.267] bakedonion: 布団ビルド
[7060.608] 勤務中: おもろいｗｗ
[7061.310] (S)moppu_gake: owの布団
[7063.015] kaomoji3: ふとんいいね
[7071.242] ましゅダヨ: それあるね
[7075.492] toshio0224: リーサル
[7078.676] 成吉大: 中段とかね
[7078.799] 勤務中: 習合するんやね
[7080.260] hidehide77777: EX
[7083.920] ましゅダヨ: リーサル知らなかった
[7086.146] tsubame0614: シャドバとかからかなー
[7090.748] gomesu: リニアじゃない？？
[7092.460] 再度落選の大統領マルモリ: 5分打ちとか
[7092.957] bakedonion: ふじどんいぶきのあたりで定着したね
[7093.031] karin11020530: チャカ
[7096.840] vungo_mr: OTPって何か未だに分からない
[7096.870] ましゅダヨ: 置き石
[7097.976] ta2_tattuu: スクリムかな
[7098.489] 紺青: リニア
[7098.969] kaban1192: インパクト
[7099.010] forjc3rd: BO
[7099.096] 5don: レールガン
[7099.188] fooza910: リニア
[7100.451] 成吉大: お茶とか
[7100.934] ましゅダヨ: バッタ
[7101.159] taroumaruh: 藤村式 は違うか
[7101.386] v_harumi_v: リニアｗ
[7101.435] jjzero777: レールガン
[7101.967] hairi0610: 茶番
[7102.033] 10fuchi: ウルトやめてねとか
[7104.947] 5don: チャカ
[7106.659] smile9104: スクリムとか
[7106.911] tsu_ki_yu_bi: かつひさ
[7107.428] taroumaruh: 虫
[7108.238] prisira: スクリムか
[7108.744] nikkou18: それスト6やない大須や
[7109.759] ちぶるすきー: 安全飛び
[7110.685] bakedonion: リニアね
[7111.199] pakupaku_koz: チーム戦でキャリーとか？
[7112.466] kitori_17: 全部大須ぷげラインww
[7114.839] 5don: 郵便受けにもやし
[7114.897] yayayujin: ウルト
[7116.388] ましゅダヨ: いってるよ、それ
[7117.331] 1192m: ないな
[7121.060] sasanqua1985: チャカ、リニア、オギャ
[7122.866] vungo_mr: 釈迦さん最近「具」って言ってました
[7123.027] erisuk: ＳＡのことめちゃくちゃウルトって言われる
[7123.903] hidehide77777: かつひさ
[7125.042] kyabetu_tarou4: でんがや
[7127.024] sharks_up: 前ステ
[7127.719] blackuma: 逆か？
[7127.917] ましゅダヨ: あー
[7128.891] nako756: 前ステとか？
[7130.037] hal0087: www
[7130.261] ましゅダヨ: wwww
[7130.434] kaban1192: ｗｗｗ
[7131.010] bakedonion: ｗｗｗ
[7131.173] (S)moppu_gake: それはおかしいやろw
[7131.251] 勤務中: ｗｗｗ
[7131.856] iwaisi: ｗｗｗｗ
[7131.868] domontyan: ｗｗｗ
[7131.884] taroumaruh: そりゃそうだろｗ
[7132.304] ミジンコ隊長: ｗｗｗｗ
[7132.713] v_harumi_v: そりゃそうだｗ
[7133.271] 再度落選の大統領マルモリ: 伝わんねえよｗ
[7133.347] prisira: 安いかｗｗｗ
[7133.734] erisuk: 当たり前
[7133.972] one596: あー
[7134.157] 軽く捻るか: ｗｗｗ
[7135.411] Papapadad: なるほどね
[7135.885] kaomoji3: 安いは草
[7136.091] からもこ: wwww
[7136.757] domontyan: あ
[7138.373] lobelia_c: 相当毒されてるｗｗ
[7138.408] torei_7: 当たり前やｗ
[7140.465] ましゅダヨ: 伝わんないんだよwww
[7140.883] kaban1192: ｗｗｗｗｗｗ
[7141.253] 5don: あー…
[7141.347] njpw2017: ドンキホーテかよ
[7141.499] 成吉大: あっ
[7142.702] からもこ: wwwww
[7142.768] kamiyama_t: ｗｗｗｗｗ
[7143.290] バーニングチャーハン: wwwwww
[7143.377] bakedonion: しなやす
[7144.348] kkshkk: w
[7144.532] sn0wf0x3: wwww
[7144.661] raurakd: 意味不明やもんw
[7145.951] ヨコグシ: あ
[7146.143] avareinu: wwwwww
[7146.521] ミジンコ隊長: ｗｗｗ
[7148.229] kamiyama_t: いやな方向ｗｗｗｗｗ
[7148.807] (S)noriyuki3: wwww
[7149.572] oiyoiyo6118: ｗｗｗｗｗｗ
[7149.736] nako756: 勘ぐりすぎだろｗｗｗ
[7150.480] nihonsyu_: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[7151.426] 5don: 日頃一閃！
[7151.931] taroumaruh: 日頃の行いｗ
[7152.380] からもこ: やばい解釈されてる
[7153.910] kaban1192: 嫌われすぎたミート
[7154.143] one596: 安い通じねーよなw
[7155.412] kooooge: 日頃の行いやね
[7156.048] v_harumi_v: 日頃の行いかあ
[7156.530] 無心に: いやな世界w
[7157.969] のぞみくん: 嫌な奴
[7158.348] sharks_up: ｗｗｗｗ
[7159.084] hairi0610: キャラ対
[7163.281] ましゅダヨ: あーあ……
[7163.410] kaomoji3: おもろすぎる
[7163.483] (S)johndoe6523rp: ｗｗ
[7165.025] ミジンコ隊長: （給料（やっすｗｗｗ
[7165.620] TEIKETTO: ガン処理は通じない？
[7166.063] 佐藤つばくろ: ｗｗｗｗｗｗｗｗｗｗｗ
[7166.635] からもこ: www
[7169.081] kitori_17: 合ってるなあw
[7169.664] brunoman1: おもれ
[7169.789] erisuk: 貧民を常にばかにしてるからな
[7178.005] ましゅダヨ: あ、つんれぇ
[7178.241] prisira: ぶっぱとか
[7180.864] pupurasu: ダイソーで買ったからしゃーないの精神
[7180.873] nako756: 卑屈すぎる
[7185.475] kaomoji3: ミート用語
[7187.333] tibusa8: 前ステとかどうだろう
[7190.351] もきち555: これはミートがわるい
[7191.728] kaban1192: 言う言う
[7192.801] のぞみくん: 丸いとか
[7193.160] avareinu: さすがに？は結構つかわれてる
[7194.122] 5don: 開幕！ わかりやすい
[7194.157] goto888: 一生
[7198.087] prisira: 二択
[7198.300] 無心に: まである
[7198.769] tsubame0614: 一生っていうよね
[7199.695] ta2_tattuu: ライン超えは良く使ってしまう
[7200.118] hidehide77777: フレーム
[7200.306] ましゅダヨ: 開幕は……使ってるわ……
[7202.307] 金ゆで玉太郎: 一生は言っちゃう
[7202.339] (S)moppu_gake: 開幕ビールで！w
[7202.717] kimie_white: 開幕前飛び
[7202.738] taroumaruh: 一生 こする は使っちゃう
[7204.849] てべす1103: ギア
[7206.877] kitori_17: 一生も
[7207.150] せんじ肉: 一生
[7207.341] gomesu: 前ステ
[7208.564] gokukeshi: いけんく
[7208.972] pakupaku_koz: 択
[7209.754] 5don: ピヨる 市民権ありますね
[7211.801] ryoteria03: こする
[7213.940] 5don: ポイポイ！
[7213.982] のぶとも: 日常に潜むストリートファイター(ノーモーション
[7214.020] nikkou18: ギアがあがる
[7215.356] prisira: ぶっぱとか
[7215.447] (S)moppu_gake: 前ステは使う
[7216.308] kimie_white: ヌキさんｗｗｗ
[7216.361] kaban1192: え
[7217.197] hal0087: ホッヒヒ
[7217.803] fooza910: 人形
[7217.961] tsubame0614: ｱｲｲｲ
[7218.974] のぞみくん: え
[7219.582] raurakd: あなたさぁ
[7219.912] からもこ: wwww
[7220.470] hairi0610: んっ
[7220.503] lljp: もうわっかったよ
[7220.598] kitori_17: みんなごめーんとかw
[7220.817] sekishou0000: ッケイ！
[7221.404] domontyan: ないない
[7221.523] kamiyama_t: あいい
[7222.145] 5don: 小中中！小中中！！
[7223.430] toshio0224: アイイイイイイイイ
[7224.041] tabibitox: ｱｲｲｲｲ
[7224.265] sarah_0519: wwww
[7224.265] もきち555: ッケイめちゃつかうｗ
[7224.360] 勤務中: 「誰前」が好きだな
[7225.275] wonderhit1: ありがとーーーーーーー
[7225.647] RKC48: 一生は普通に浸透してるよ
[7226.203] ましゅダヨ: ？？？？
[7227.516] pakupaku_koz: 意図はなんなの？
[7228.040] vungo_mr: いい加減気づきな？
[7228.258] kaomoji3: 草
[7228.301] w4m1_54: 鳴き声
[7228.994] てべす1103: いたあ！！
[7229.707] 5don: 人形！
[7229.845] ミジンコ隊長: してるか？
[7231.917] からもこ: 一部が擦ってるw
[7232.022] kimie_white: ッケイ！
[7232.076] v_harumi_v: そ、そうかな？
[7232.174] no_name_0521: っケイ
[7232.220] (S)moppu_gake: naru04Kei
[7232.250] prisira: まままもそうなるだろｗ
[7233.792] 成吉大: ｯｹｲ
[7234.454] taroumaruh: 通じないだろｗ
[7234.699] xxtidorixx: ッケイ！
[7234.751] スキマチェリー: haitaniAi
[7236.246] raurakd: ッ系！
[7236.445] 5don: OKと書きましょうw
[7236.469] sn0wf0x3: ッケイ
[7237.101] ましゅダヨ: ッケイ！！！
[7237.718] as6623: ｗｗｗｗｗ
[7239.639] RKC48: ッケイ！
[7239.764] もきち555: 普通のOKでしょｗ
[7240.278] nako756: 小中人形とか？
[7240.882] tabibitox: ﾎﾟｲﾎﾟｰｲ
[7243.930] (S)feel2525: ッケイ！
[7245.328] hairi0610: クイッ
[7246.048] kaban1192: ｗｗｗ
[7246.598] 無心に: 通じるわけなし
[7246.749] (S)moppu_gake: naru04Kei
[7251.777] v_harumi_v: ッケイ！は通じそう
[7257.735] sekishou0000: なんだかんだ使ってる人多くないか
[7260.317] kimie_white: ちっちゃいツがあるのが味噌
[7264.543] raskolnikov6666: ナイスコーヒーw
[7264.807] taroumaruh: ～～まである
[7265.246] ましゅダヨ: これヌキさんなの！？テリーだと思ったのに
[7265.483] 5don: お？
[7267.794] kaban1192: え
[7268.052] avareinu: 新しい用語でいうと おじチェックはスト６用語だと思う
[7270.092] 5don: 頼もしい！
[7270.303] ましゅダヨ: ほおおおお
[7271.507] からもこ: へー
[7271.682] nako756: へえ
[7272.418] ミジンコ隊長: おねがいします！
[7274.606] taroumaruh: へーー
[7275.283] nako756: そうなんだ
[7276.666] tsubame0614: ワンあるとか
[7278.687] gentarousdm: ワンチャンは？
[7279.744] (S)moppu_gake: これ配信者よくいうよね？
[7280.658] kaban1192: マンガンまである
[7280.848] 無心に: へー
[7281.339] w4m1_54: へー
[7284.626] 成吉大: へええ
[7287.641] kimie_white: 天か
[7288.568] ましゅダヨ: へぇー！
[7288.837] amadori3: どこまで伸ばせるかか
[7290.938] もきち555: 福本先生
[7291.740] からもこ: なるほど）
[7292.854] eronmask508: 納得
[7293.980] 5don: 父
[7297.992] vungo_mr: 源流
[7298.039] 5don: (ざわ…ざわざわ…)
[7298.331] w4m1_54: ｗ
[7299.138] sarah_0519: wwww
[7299.742] pupurasu: 源流
[7300.732] (S)すけりょー1011: 騒ぐのは良いけどアドバイスはやめて→ッケイ！
[7302.065] wonderhit1: 祖
[7302.117] kitori_17: まである！
[7302.330] (S)johndoe6523rp: おもろ
[7303.506] nozomi_sasaki: ワンチャンもまーじゃん
[7304.196] afuring: 漫画はつええよな
[7305.246] taroumaruh: 福本先生のおかげまである
[7312.110] ヘイヨー: 始祖まである
[7314.368] sn0wf0x3: www
[7316.674] Sunsun_the_Sunfish: ほえー
[7322.293] tsubame0614: ほー
[7322.779] 金ゆで玉太郎: もしかして安いも麻雀なのか？
[7323.117] からもこ: おもろいな
[7326.263] ミジンコ隊長: るつぼ
[7327.885] njpw2017: 連チャンとか
[7330.503] lljp: 自然交配
[7335.735] low_single: コレ相当面白いテーマになってきたぞ
[7338.342] kaban1192: しなやす
[7339.366] daizin0716: 目押しとかもか
[7339.597] バーニングチャーハン: 文明や
[7345.348] easel2011: パチとゲーセンも隣り合うし
[7346.525] kimie_white: レンチャンが連コになったのか
[7346.583] syan1114: スラングの習合
[7348.685] ましゅダヨ: バイリンガルってこと
[7350.461] taroumaruh: ｗｗｗｗｗｗｗｗｗｗｗ
[7350.462] ましゅダヨ: あ
[7351.941] kaban1192: ？？？
[7352.149] 5don: 変な空気を超えたw
[7353.194] taroumaruh: かわいそうだろｗ
[7353.249] ましゅダヨ: wwwwww
[7353.481] iwaisi: ｗｗｗｗ
[7357.500] (S)johndoe6523rp: おもろいな〜
[7357.745] v_harumi_v: パニック！
[7358.533] のぶとも: パニックになったw
[7358.643] erisuk: 正しい反応
[7359.262] ミジンコ隊長: PopNemo
[7359.549] 成吉大: ぜったいわからんだろｗ
[7360.701] manasvin13: それ伝わらないのかｗ
[7361.415] tabibitox: ワンチャン、まである
[7361.953] bakedonion: ひとつもわからない
[7363.040] 無心に: 何語？
[7363.142] kitori_17: まであるがむずいw
[7364.465] torei_7: 言い方が悪いだろｗ
[7367.684] pupurasu: それもう詰めてる時じゃん
[7368.909] Dynamite_Gotanda: 確かに安いは麻雀かも
[7369.536] hal0087: ワンチャンも麻雀だな
[7370.112] kamiyama_t: ちゃんと怒られてると思うやろｗ
[7370.582] prisira: いけんく
[7373.054] せんじ肉: 喋りの締めというか区切りで、⚪︎⚪︎〜なんだ。って言うのってどこ発祥？
[7377.126] ましゅダヨ: マジで詰めてるw
[7377.585] gokukeshi: ワロオメ
[7377.737] ヨコグシ: ｗｗｗ
[7377.771] wonderhit1: ワンチャンも正しい意味で使ってないよね
[7378.931] kaban1192: それな
[7380.607] 5don: チャンスじゃないときwwww
[7380.657] kkshkk: たしかに
[7380.957] siochan_jp: ｗｗｗｗｗｗ
[7382.102] one596: 使うわw
[7382.245] nihonsyu_: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[7384.246] sn0wf0x3: wwwww
[7384.461] シケモクスッパマン: わかるわからないじゃなくて言ってる内容が詰めすぎだよw
[7384.580] taroumaruh: それ指摘されたわｗ
[7384.613] のぶとも: めくってから入れ替えコンボやめてね
[7384.673] ましゅダヨ: ワンチャン…？
[7385.261] 勤務中: ワンチャンは麻雀だと不利局面だよね
[7385.379] amadori3: なんにもない時ね
[7386.681] pakupaku_koz: wwww
[7386.883] kitori_17: からの！？とか
[7387.547] (S)moppu_gake: ワンチャン無理だw
[7387.751] erisuk: ワンチャンの悪い使い方
[7389.315] prisira: ワンチャンなかった
[7389.508] 5don: 知らなかった
[7389.695] もきち555: 接続詞ｗ
[7390.472] wonderhit1: ワンチャンス
[7390.640] (S)noriyuki3: wwww
[7391.545] taroumaruh: ワンチャンス
[7395.908] hairi0610: ワンチャン死ぬわ
[7396.892] sarah_0519: ワンチャンス
[7400.600] (S)feel2525: ワンチャン汎用性たかい
[7403.930] domontyan: へーーそうだったんすね
[7409.559] ましゅダヨ: ワンチャンスなのは知ってたけど
[7410.196] tsu_ki_yu_bi: 半チャンとは関係ないの？
[7415.810] mikaze0001: 「全然いける」も本来おかしいらしいしね
[7418.237] v_harumi_v: へー
[7419.955] ましゅダヨ: 今はね
[7425.572] 5don: 「ともすれば」みたいな意味で運用
[7428.628] ましゅダヨ: うん、最近使われてる、一般で
[7430.052] からもこ: メタは回るんだなぁ
[7432.982] のぶとも: 若者のワンチャンは男女が一晩いけるかどうかのあれやろ
[7433.628] erisuk: ネットでつかわれすぎたんだろうな
[7433.732] sirokurorabbit: ワンチャンは格ゲー関係なく昔からあった気が
[7434.135] nako756: わんちゃん普通に使うもんな
[7435.342] blackuma: 20年くらい前から使われてたやろ
[7435.410] torei_7: 高校の時はやりだしたわ
[7436.678] ましゅダヨ: 配信者めっちゃ言うしね
[7436.780] manasvin13: ワンチャンは配信どこでもきいたね
[7437.183] balthazar000: One Chance ではなかったのか？
[7438.019] taroumaruh: 雀荘 格ゲー ゲーム 一般に浸透してくんよな
[7443.518] 無心に: 一般人、わんちゃんと間違えてない
[7443.723] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[7446.415] bakedonion: 4枚のうち自分から3枚見えてるっていう状況ね
[7447.579] ましゅダヨ: 使いやすいのある
[7448.630] バーニングチャーハン: あーそれあったな、ニコニコで使ってたのが今流行るのという
[7456.146] 157655: 本当にアホほどワンチャン連呼してた大学生
[7456.715] kaomoji3: 王貞治
[7457.418] 勤務中: 「まあいいでしょう」は誰発信なんだあれ
[7461.656] 5don: やわらかい言葉ですね
[7462.781] mikaze0001: 汎用性が高い
[7466.172] sharks_up: ギャルにオタク用語流行ったり
[7466.947] avareinu: ウメちゃん配信は新用語多くない？「闇の力」「心の隙間に」「セイ」「使うとして～」「武器商人」思いつくだけでもたくさんある
[7470.452] サルクモ: ファジーも通じなかった
[7471.536] もきち555: ワンチャンは普通に通じるイメージ
[7475.491] シャンウー: 語尾に  知らんけど  も便利よね。
[7480.820] ましゅダヨ: それあるよ
[7481.488] prisira: ぶっぱ
[7483.128] levee_breaks: 中足一閃
[7485.257] amadori3: 逆にね
[7487.575] kitori_17: 写真のポーズはみんなやるよね
[7490.286] sharks_up: 言葉じゃないけど片思いハート
[7491.471] ましゅダヨ: つかわないよ
[7496.556] のぶとも: ブッパは言うかも
[7498.551] (S)moppu_gake: 使うかなぁ
[7498.643] blackuma: つかわねーだろｗ
[7499.193] erisuk: ぶっぱまあまあしんとうしてる
[7499.713] くまたく: 「ワンチャン」はちゃんと調べた人がいて15年くらい前に初手が麻雀界隈、次が格ゲー界隈だった
[7499.851] ましゅダヨ: 前ステね！
[7500.611] manasvin13: ぱなしは他できかないな
[7503.336] tabibitox: 前ステはな
[7503.818] toshio0224: ジャスティンポーズはたしかに
[7505.145] nullpai: 絶対伝わらないわ
[7506.300] もきち555: 人権得てきた
[7508.747] ましゅダヨ: 前ステつかう人増えたよ
[7510.387] taroumaruh: FPS系のストリーマーさんが格ゲーやってくれてるから時間の問題だろうね
[7512.695] (S)feel2525: 板z用語は少しずつ浸透してる
[7514.524] amadori3: 前ステはそうやね
[7516.518] (S)moppu_gake: サムスからだよ
[7517.526] easel2011: 前ステははっきり格ゲー由来だね
[7517.541] brunoman1: すかし下段とか
[7518.335] syan1114: それスマブラのサムス
[7518.375] tabibitox: 概念
[7518.713] 軽く捻るか: 概念ｗ
[7519.609] one596: スマブラでしょあれ
[7519.902] balthazar000: 揶揄だからなぁｗ
[7519.988] nako756: 事実
[7520.330] 5don: 一長一短
[7520.370] domontyan: 事実
[7521.527] gekikaralove: スマブラだよね
[7522.906] 勤務中: いけんく、はたしかに
[7523.187] 157655: スマブラだっけ
[7524.153] gokukeshi: サムス構文
[7524.426] toshio0224: あれはスマブラのサムスだね
[7527.026] kitori_17: 概念ていうか本当なんでw
[7528.528] migiriugachi: 投げっぱなしジャーマン
[7530.577] mack_yy: 全部強いんかいっていう言い方よく見るなｗ
[7533.175] hypermaxcat: スマブラのサムス
[7536.340] Coedawg: 終わってる
[7537.383] ryoteria03: 顔がいい代わりに性格もいい
[7538.875] raurakd: きびしくね？
[7540.978] levee_breaks: ギアは？
[7542.289] torei_7: 一般には浸透してない
[7542.512] azuto_k_: ゲーマーだけ
[7543.008] ましゅダヨ: ストリーマーが言うのよ
[7543.221] isekai7153: 前ステはまだ早いかｗ
[7545.091] manasvin13: 浸透はしてないｗ
[7547.470] (S)moppu_gake: 言わないっす、、、
[7547.520] 5don: 格ゲー界隈の人が使ってるイメージ
[7550.808] kaomoji3: 言わないね
[7552.734] (S)Koooon__: 世間はいわないな
[7554.385] pupurasu: スト6やってるストリーマーぐらいか
[7554.552] blackuma: 浸透のステージが狭すぎる
[7557.184] kitori_17: まだ社会性は
[7559.510] sasanqua1985: いや、割とあるよ
[7559.600] のぶとも: 格ゲーが入ってくる前は、前ステのこと距離詰めって言ってた
[7559.740] ましゅダヨ: 若い子が真似するのよ
[7559.799] erisuk: ストリーマー＝ネットへ波及
[7560.033] balthazar000: 日常というか、配信内で使われるイメージが
[7562.353] hal0087: 前ステ使うJKとかやだな
[7563.039] もきち555: ネット用語は広まりそう
[7564.754] バーニングチャーハン: ヘイトとかマウントはすんごい浸透したな
[7566.882] 5don: 通じた！？
[7568.862] torei_7: wwwwwwww
[7569.454] kimie_white: ｗｗｗｗｗ
[7569.907] ましゅダヨ: ww
[7569.937] (S)まりえき: 上司に前ステ
[7571.777] taroumaruh: それは多分理解してないぞｗ
[7571.908] xxtidorixx: ニュアンスはなんとなく分かるから
[7572.382] shougik: ｗｗｗ
[7572.571] sn0wf0x3: wwww
[7573.954] kitori_17: 試さないでww
[7575.376] prisira: ｗｗｗｗ
[7575.952] bobby_420x: 使ってはないけど使い勝手良さそう
[7578.431] v_harumi_v: 何となくわかるだけかも
[7579.674] RKC48: （前ステ…？）
[7580.437] 軽く捻るか: ｗｗｗ
[7580.643] 無心に: 察したんだよ
[7581.714] afuring: ミートさんみたいなやつが広げるんだろうなｗｗｗ
[7583.626] blackuma: 流れで理解しただけやろなｗ
[7584.610] 5don: ミートさんの「試し」好きw
[7587.549] lobelia_c: ？・・そんなことないですよ！！！
[7588.236] agouwha: ミートさん普段なにやってんのｗ
[7589.038] balthazar000: Ｍステの事かな
[7589.069] shougik: 格ゲー用語抜き打ち試験
[7589.669] v_harumi_v: 聞き返したりはしないかも
[7590.664] (S)moppu_gake: えいぱとかねpら
[7596.049] karin11020530: ハメ
[7597.025] ましゅダヨ: ガー不はさすがき
[7597.725] もきち555: ガー不は試してみたい
[7598.784] yuyu09250925: トトロ
[7599.218] のぞみくん: ギアあがっていくう
[7601.590] のぶとも: 即死コンボは？
[7602.305] manasvin13: ガー不は言いたくなるけど絶対通じないｗ
[7604.145] korekitwitch: バックステージかもｗ
[7605.730] taroumaruh: ガー不 バクステはソウル系でも使うけどね
[7605.960] sn0wf0x3: ガー不ね
[7606.128] sasanqua1985: ハメやで、は？
[7606.999] tabibitox: 画面端ぃ
[7607.945] ましゅダヨ: 分かりやすいのよw
[7608.347] raurakd: ガード不能なら意味は通じるかな
[7615.231] no_name_0521: うめはらがぁ
[7616.637] shougik: 画面端ｗｗｗ
[7629.649] easel2011: 前ステ、バクステは２個セットでいつか流行りそう
[7629.770] yo5hhhh: ２ch用語とは絶対言わないのね
[7640.234] korekitwitch: それより先にＢダッシュかも
[7641.661] bakedonion: バクステはバックステージの略とされる場合もある
[7642.488] forjc3rd: コンボは使われてるかも
[7646.702] lljp: 音楽業界だと走るはまた違う意味が
[7647.189] sasanqua1985: え？歩いてますけど？って言われそう
[7649.744] kamiyama_t: 俺たちは泳いでる
[7649.832] prisira: 遠泳
[7650.011] nako756: 泳ぐだよな
[7650.039] 5don: プールだから
[7650.333] fuan4444: ステはステップなの分からんもんな
[7650.582] jackeryna: 遠泳
[7655.648] からもこ: なるほど
[7655.810] balthazar000: 溺れる とかね
[7656.883] tabibitox: プールに溺れる 泳ぐ
[7658.413] ましゅダヨ: おもしろいなー
[7658.750] kimie_white: 遠泳
[7662.182] amadori3: 遠泳とか言うね
[7662.201] 軽く捻るか: へー
[7662.611] ミジンコ隊長: プールだからなんだ
[7667.712] v_harumi_v: 圧がｗ
[7667.836] taroumaruh: ミートさんやらかしすぎだろｗ
[7668.722] ヨコグシ: ｗｗｗ
[7669.167] nihonsyu_: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[7669.322] kaban1192: さっきからなんなん？
[7669.537] ましゅダヨ: wwwwwwww
[7669.725] lobelia_c: あなたさぁ
[7670.723] amadori3: ん？
[7670.899] 成吉大: それはﾏｼﾞなんじゃｗ
[7670.982] prisira: 怖い人
[7671.237] nako756: 怖いよｗｗｗ
[7671.747] yut7xot8: wwwww
[7672.657] hidehide77777: パワハラ
[7673.201] sn0wf0x3: wwww
[7674.533] kitori_17: どう伝わってんのそれww
[7675.145] hal0087: どんだけやらかす奴多いんだよｗ
[7676.584] gokukeshi: 圧かけ過ぎじゃない？
[7677.147] vungo_mr: ハラスメントの告白やめてくれｗ
[7677.341] のぶとも: やだよこの人w
[7677.886] kamuyazule: フェードアウトさせられるｗ
[7677.935] erisuk: 崖の上とおもったんだろうな
[7678.401] isekai7153: おもろｗ
[7678.472] manasvin13: ｗｗｗ
[7678.589] v_harumi_v: 路地裏みたいなｗ
[7678.667] からもこ: www
[7679.017] jackeryna: なるほどね
[7679.176] amadori3: ｗｗｗ
[7679.816] nihonsyu_: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[7679.869] torei_7: さっきから言い方が悪いだけだろｗ
[7680.281] bakedonion: 若手に格ゲー語使いすぎじゃない？
