[34.083] eren_ackerman: lets gooooooo\
[35.590] kiku1133: ちゃあああああん
[4574.304] ssGRiDM4N: PS5版も結構良さそうだよね
[4578.728] はねやま: ghoti222 subscribed with Prime. 
[4591.678] berurusuko: スト６のBGMって今までとなんか毛色が違うよね
[4596.431] (S)jigokunonekomatu: 誰も実況使わなくなっちゃったね・・・
[4608.872] usa451: このゲーセン昼飯ありますか
[4619.882] prisira: そりゃプロの練習では使わないでしょ音聞こえなくなるし
[4623.346] 戸愚呂妹: ね
[4624.063] ギアふっしー: きゅうりどうぞ
[4624.577] berurusuko: 実況は異常者向けの狙いじゃないから・・・
[4630.187] 温かいやさむぎ: 飯食ってるの見たことない
[4640.485] めっとくん: 実況に、ずんだもん来たら課金する
[4644.234] pityutyunpa: 過去作流せるようにしてくれるでしょ
[4645.266] あるくです: ソロの配信だったらまだ使われるだろうけど対戦はさすがにね
[4645.388] niko_with_attitude: Friendly neighborhood stand heavy
[4654.532] prisira: 対戦会とかにはかなりいいんじゃない？
[4656.018] nabe_labo: アールさんは配信で実況使ってた
[4660.919] hato_pizza: このステージのBGM2種類あるのなんで？
[4666.149] prisira: 個人の大会とか
[4670.544] ギアふっしー: アールさんが二人！
[4670.590] 墾田永年私財砲: 普段本人に実況されてる人はね
[4673.490] siuva7: トレモとワールドツアーは過去曲流せるみたい
[4674.821] ssGRiDM4N: 配信で視聴者参加型とかやる時に観戦画面に実況あるのはめちゃくちゃありがたいと思う
[4698.801] mashe1748: ささも君思ってたより声低くない
[4702.159] hojihojidx: キャラ曲とステージ曲がランダム設定されてる
[4705.577] pityutyunpa: 2曲あるのはステージ用とキャラテーマかな？
[4709.534] kokusairengou: 真ん中のカメラ静止画かと思ったわ
[4710.608] wahaha7788: どんな筋トレすると腕こうなるん
[4711.537] (S)箸くれ: 店長がタコ手掴みで食べてるところ配信されたら保健所の監査入るかな
[4714.619] niemalsaufgeben: メーカー頑張ったらウメさんたちプレイヤー側は何するかな
[4726.033] hato_pizza: ありがとうございます！
[4730.439] BrainlessL: @hashikure rofl
[4733.690] ギアふっしー: ささも君自分の家みたいにくつろぐ
[4751.364] yamido2601: スマホがおもちゃみたいなサイズにみえる・・・
[4752.251] のってる: プレイヤーはすでに体験版で盛り上げてる
[4753.043] tarantarantaran: umeCossack
[4754.631] 36mgh: ブロッコリーの茹でが甘くて食中毒騒ぎになる可能性もある
[4757.206] mashe1748: ささも君のスマホの見方首痛めそう
[4771.406] (S)せんじ肉: 上の人だれ？
[4780.009] 温かいやさむぎ: ささもくん
[4782.552] usa451: RYU
[4784.481] toyplastics: ブロッコリーで食中毒はさすがに？
[4794.684] めっとくん: 首痛めると辛いよな。なかなか治らん。
[4799.553] shomarusan: 製品版でてもウメハウスゲームセンターは続いてほしいな
[4800.971] (S)せんじ肉: ありがとう
[4804.852] nabe_labo: ウメスレに夢中
[4814.025] itijiku111: 格ゲーの体験版でこんなに擦られたゲーム初めてじゃないかレベルのやりこみ
[4822.179] 36mgh: 首と腰は痛めると長引くし辛さが段違い
[4832.467] (S)箸くれ: みんな回線が不調で…って言い訳してゲーセンに集まろう
[4836.496] usa451: 体験版が発売前に出るってことが珍しいよな
[4840.844] グレートドラ: 実質無期限ロケテストみたいなもんだからね
[4856.755] (S)fahmy0825: Uzura is kinda like Momochi, both very good at punish & poke
[4857.619] au0724: ももちは200時間体験してる…
[4867.694] takahashiseigi: プロも格ゲーファンも、スト5に疲れてた…
[4871.079] itijiku111: ももちやば…
[4879.700] t_bato: チョコちゃんいる？
[4880.305] めっとくん: 普通の人間は30時間やったら満足する
[4886.428] ロミヲ: ももちは笑えないレベルで詰めてる
[4901.753] niko_with_attitude: Enjoyed that combo in the corner from Uzura 
[4906.408] prisira: 普通じゃないからプロだしなｗ
[4911.532] (S)デュララ: 7月にはリーグ始まるしねぇ
[4911.820] vudumagical: SHOOOORYUKEN!
[4912.200] ギアふっしー: まあｃｐｔがすぐ来るってのもあってプロはやるしかない
[4918.500] usa451: しかも大半は先生とのレッスンだからきちげえ
[4920.565] tabibitox: 3本たまらなかったｗ
[4929.291] 36mgh: ゆうすけは何のゲームやってもぶん回しが凄いから スマブラのときも24時間やった次の配信で20時間やるとかざらだった
[4929.949] (S)箸くれ: スト6グラもいいから配信映えする
[4962.521] ギアふっしー: キャミィかわいいけど、ザンギ対策大変そうだ
[4962.737] 戸愚呂妹: 足元の桜とかすごい
[4969.892] maddy2623: ももちは昨日はまだパリィは控えめにしたって配信で言ってた
[4999.671] hitmehitme: インパクト撃ちたかったじゃないっけ
[5008.328] au0724: パリィの匠 藤どんも来ないかなぁ
[5011.154] あばたあ: あばたあ subscribed with Prime. They've subscribed for 4 months! 
[5038.252] tabibitox: 波動をOD波動で相殺するとパニカンも取れてオトクだのぅ
[5041.347] maddy2623: ウメ波動にインパクトしたかったとも言ってたけどパリィも減らしたって
[5041.984] (S)熱田神宮: 今日も盛況だなぁ
[5053.041] prisira: 来年からでいいからまたＳＦＬのチームコスでないかな
[5064.808] hitmehitme: なるほど！
[5066.061] ギアふっしー: 大パンおじさん
[5097.384] hikky722: 削り好きおじさん
[5099.452] au0724: ここでBOはきちぃ
[5118.958] 36mgh: アバター用のチームジャージとか出そう
[5119.278] グレートドラ: 来年はいぶし銀もSFL出てチームコス追加しよう
[5120.839] ゆず胡椒うどん: 弾のパリィはいずれは8割ジャスト取れていい気がする
[5133.002] hojihojidx: 弾をラッシュで追って択るの好き
[5147.643] めっとくん: りゅうって空対空からCAルートあるんかな？
[5196.440] (S)brutal9998: いぶし銀が出る時はだまれTが公式でいいんじゃないか？
[5197.002] hitmehitme: 画面端なら中パンOD竜巻CA
[5198.915] クレちゃ: えろーい
[5201.721] hojihojidx: 弾ジャストは強弱つけられると安定しないっぽいよ。中波動の価値が出たと言ってた
[5211.384] (S)凪水: 開店はやい
[5228.483] ロミヲ: 店長ももちのせいで強くなってないか・・・
[5233.122] takahashiseigi: ウメさん、大Pブンブン丸を確かにやめたねw
[5243.282] berurusuko: ジャスト猶予２フレだっけ
[5251.326] 戸愚呂妹: うん
[5252.698] (S)brutal9998: むしろ強くなったと本人喜んでた
[5274.327] maddy2623: スト２してる
[5280.068] めっとくん: 格ゲーマーあるある、安すぎて謝る
[5291.999] (S)inu_33: ももち吸収
[5303.938] (S)箸くれ: @めっとくん ジャパネットみたいだな
[5308.650] 墾田永年私財砲: 安すぎてごーめーん
[5318.988] クレちゃ: 原始(スト２)の血が騒ぐ
[5324.184] prisira: 謝ったりやってねーって無意識言うと立派な格ゲーマー
[5324.438] berurusuko: 各ゲーマーになると謝れる人になれるぞ！
[5329.735] (S)jigokunonekomatu: 一日で変わるもんだね
[5334.209] のってる: さすがに今回のCCは日本勢勝って欲しいから教えあって強くなって欲しい
[5362.137] (S)brutal9998: 何がw
[5372.791] ロミヲ: 翔「……」
[5375.886] (S)poto2panapa: 修行のために来たら、修行相手も強くなっていた
[5379.679] めっとくん: 優勝は…パンクラッ君です！w
[5397.490] (S)箸くれ: イェーイ！イェーイ！があまりにも似合わない男リュウ
[5397.642] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[5411.870] niko_with_attitude: Daigo say anything about maining anybody besides ryu??
[5424.634] (S)mobageiskusoge: @niko_with_attitude yes multiple times
[5428.666] takahashiseigi: GO1襲来、ももち襲来は、店長にとって必須イベントだった…
[5445.044] niko_with_attitude: Gotcha I’ll look thanks
[5501.627] 温かいやさむぎ: いまだに成長してるんですか、店長
[5507.956] (S)fahmy0825: @niko_with_attitude He's Interested in Marisa, Aki, JP, Jamie, Lily. Besides Ryu & Guile.
[5521.112] めっとくん: はや
[5532.346] ロミヲ: ルーク相手きついのかなやっぱ
[5534.061] クレちゃ: リュウさんはクラブで用心棒とかもしてたんやで
[5548.714] (S)fahmy0825: But if Lily is exactly like T Hawk then he's not interested
[5574.597] niko_with_attitude: @fahmyabdul0825 wow a daigo Marisa sounds terrifying 
[5583.668] KaLam1ty: 4Head
[5612.890] breezernights: Dude I could eat so much chicken to this stage theme. 
[5622.719] telegonos: I cannot imagine Daigo use a throwing character. I always miss his Ryu or Ken
[5633.152] aranami0: ササモくんでっかいなぁ
[5641.527] tabibitox: バレてーた
[5698.281] 戸愚呂妹: Daigo likes big character like hugo in facts
[5712.570] 温かいやさむぎ: オープンβで春麗練習したんですがめちゃめちゃ難しい
[5713.643] (S)brutal9998: そういややないはもう帰ったのか
[5744.522] ロミヲ: 春麗は柔道つかないんかなあ
[5800.534] hikky722: OhMyDog
[5800.778] (S)inu_33: 椅子温め店長
[5805.458] 俺がピーポーくんだ: インパクトをパリィでとったときのフレーム教えてください
[5813.818] hato_pizza: 上着にぃはどなた？
[5834.017] のってる: +3で確定なし
[5841.902] teaeuaunofune: ささもはどのキャラでSFLに望むんだろか
[5858.127] kenitama: ノーブルくん
[5864.116] DrunkenTV: umeCat2
[5888.540] au0724: ささもくんは とりあえずディージェイさわるみたいだけど
[5888.700] tabibitox: ちゃんと作られてる
[5895.700] wahaha7788: ガチ君の口プ
[5898.762] balthazar000: そこを出来る新人類が出てくるんじゃない？ Punkみたいな
[5904.336] hikky722: ザンギまであと6日
[5924.615] hojihojidx: DJの弾フェイントどのくらい機能するか楽しみ
[5930.989] なるかみ_: 地球滅亡のようなザンギ表現
[5943.044] prisira: ネモさんの活動の結果だな
[5950.583] teaeuaunofune: ディジェイかー っぽいな。
[5987.346] KaLam1ty: LUL
[5996.453] hojihojidx: スーパー波動拳！
[6006.863] 紅べこ: インパクトで弾に確定取るのシビアだから、Jamieの弾抜けはかなり価値が高いと思った。
[6017.369] ロミヲ: 過去のザンギにターミネーター派遣しよ
[6032.780] atl4s_30: Hello. Who is The player 1?
[6044.787] niko_with_attitude: Big Sas
[6053.357] 温かいやさむぎ: www
[6057.435] prisira: ザンギよりダルシムを消す方が先じゃない？ｗ
[6067.290] atl4s_30: Is Competitivo player?
[6070.153] tarou316: デモ版エラー出てくるけど製品版だと直るのかなこれ
[6070.456] なるかみ_: 本田だっているぞ
[6086.426] 温かいやさむぎ: なんのエラーですか？
[6096.043] (S)ガヤン0521: スト6のザンギはキャミィ、豪鬼と体力が一緒だからぁ～でザンギ使いは何やっても許される免罪符手に入れた
[6115.034] niko_with_attitude: @atl4s_30 he’s playing daigo lol what do you think?
[6136.125] adriano_barbosaaa: Hi
[6138.643] wasabi00009: エラーとかメーカーに報告したら良いんじゃない。
[6140.589] serge_aruni: 体力落ちてる分立ち回りか平均火力が絶対すごいことになってる
[6142.130] hato_pizza: @kenitama ありがとう～
[6142.255] tarou316: D3Dです  オープンベータもプレーはできたんですよねぇ、無視して
[6147.650] adriano_barbosaaa: I'm from Brazil
[6156.020] なるかみ_: 6で時代進んだし、3のキャラ出せる土壌は5よかあるから3キャラ今後出て欲しいなあ
[6167.354] niko_with_attitude: Boa! 
[6169.548] tarou316: メーカーにはエラーのデータ送られてますね
[6177.239] adriano_barbosaaa: HeyGuys
[6192.946] 温かいやさむぎ: じゃあ多分大丈夫だと思う
[6195.356] niko_with_attitude: OSS!
[6205.180] (S)箸くれ: ｗｗｗｗ
[6206.000] tabibitox: 素直系中足
[6206.890] ロミヲ: むーり
[6207.292] atl4s_30: @niko_with_attitude man of competitive Japan Just i'm konw to Daigo, Mago and Momochi no more. Excuse me
[6209.244] iwaisi: ｗｗ
[6221.363] tarou316: ワールドツアーとかは出来るんですよね  スペックも足りてるし ありがとう
[6229.103] hitorinoyoruu: このゲームミスらないのまじで大事だなあ
[6231.691] (S)mojira_2222: 自分もDEMO版クラッシュ起きてたけどメモリとグラボのオーバークロック設定見直したら治ったよ
[6251.494] 豆の木ジャック: ゲージさえあればワンミスのお仕置きで6割とか行くし
[6254.544] prisira: ＰＣ版でると個人差でるからメーカーも大変だな
[6255.529] niko_with_attitude: @atl4s_30 just messin with you yeah 
[6267.410] vahlokdotiid: luke lvl 1 so good
[6267.674] tarou316: オーバークロック設定ですね  調べてみます ありがとう
[6284.471] 新ころりん: PC
[6286.337] balthazar000: PC版はプラットフォーム900通りとか記事出ましたね。大変。
[6293.493] 新ころりん: PCは環境が違うから大変だよなぁ
[6314.480] tarou316: スペック足りてても確実ってことも無いのが怖いですよね
[6318.729] (S)箸くれ: umeYay
[6327.752] tarou316: 買っても出来なかったらショックがデカすぎますw
[6335.623] prisira: 中に入ってるものが悪さするケースもあるからね
[6341.308] 豆の木ジャック: コンシューマーは環境を統一できるからメーカー側からするといろいろと楽なんだろうなって
[6342.965] 温かいやさむぎ: ノートPCの自分終わった。
[6366.305] tarou316: エラー出てるって言ってた私もノートなんです🤣
[6372.586] white13013: 流石にスト6はノートだと結構いいの買わなきゃきつそう
[6393.641] abura0: 外付けグラボとかあるけど高いからなぁ
[6406.854] tarou316: 3年半前に25万くらいしたやつでスペックは足りてるんですがね🤔
[6409.847] 温かいやさむぎ: ガレリアの最低スペックです 
[6410.409] ロミヲ: ゲーミングノートとか贅沢品ですな
[6440.198] imamu25: デモが動けば大丈夫だと思う
[6440.383] (M)Moobot: Twitch Prime に登録すると無料でたくさんの特典が得られます → https://bit.ly/2YE2nLB
[6443.448] 豆の木ジャック: スト6は結構スペック必要なんだっけ
[6446.443] (S)箸くれ: パーツ入れ替えつつ10年使ってるPCじゃこのゲームプレイできなさそう
[6449.992] tarou316: そのノート買ったらタダでスト5ついてきてお得でした笑
[6456.926] niko_with_attitude: Frame burn 
[6472.231] 温かいやさむぎ: デモ版とオープンベータは普通に遊べました
[6474.758] めっとくん: ゲーミングノートは東京遠征とかでもホテルで練習出来るのがええよなあ。欲しいけどたまにしか使わんと思うとコスパ悪い
[6476.897] prisira: できるかどうかは体験版で試せるから助かるよね
[6490.408] x_abu_xx: スト5が動くPCなら画質落とせば大丈夫だと思う
[6505.808] wahaha7788: 前回はウメちゃん負け越したっけ
[6533.949] poposuke: ワールドツアーを楽しみにしてるなら最低動作ないときついかもね。
[6536.552] Mookiemonstah: @hashikure you can try the demo out to see if it will run well for you
[6543.561] 戸愚呂妹: 結構負けてた気がする
[6545.503] 新ころりん: シノビの店長が強かった
[6553.675] Hitode_noko: ささも君デカすぎない？
[6557.456] yking0122: やっぱ昨日1日で動きが変わってまた強くなっちゃったわね
[6590.183] (S)ebifal: 今日は知らない人ばっかや
[6590.538] (S)箸くれ: @hashikure thx i will try 
[6608.570] howdoicomputer: now this is true ryu neutral
[6609.257] chin_56_: 撃ちまくり
[6613.579] abura0: 両者バーンアウトは熱い
[6618.791] Hitode_noko: 今日はパリィ取り入れてるんですかね？
[6621.187] めっとくん: スト6でここまで弾の打ち合いになるの珍しいな
[6650.741] takahashiseigi: ジリジリ展開からのお見事
[6666.665] yomogi0610: 昨日のももちさんとウメさんのタイムオーバーも珍しかった
[6674.043] abura0: インパクトに意識配分残してるの流石
[6675.057] 紅べこ: @atl4s_30 Player 1 was Sasamo. He is a professional player participating in this year's SFL Japan.  Now Player 1 is Kakeru, a pro player on the same team as Sasamo.
[6677.669] niko_with_attitude: Did someone say hadoken? 
[6685.953] imamu25: タイム切れあったんだ
[6693.432] 温かいやさむぎ: ももちさん鬼強かった
[6705.299] めっとくん: 弾打ってるのに上への意識0とかやってるんやろなあ
[6708.973] abura0: あ
[6714.611] (S)fahmy0825: wrong combo
[6724.289] (S)fahmy0825: wrong combo gone wrong
[6726.170] Mookiemonstah: @hashikure good luck!
[6726.780] (S)fahmy0825: hahaha
[6737.649] のってる: というか相手の足元見てれば飛んだかわかるから上見る必要ない
[6739.187] kdesign101: daigo the beast is still the beast
[6755.849] japonism: ささもくんしかわからない
[6796.826] abura0: おー
[6798.298] tabibitox: おお
[6799.559] au0724: ウメさんとやってるのが かけるくん(うずら) ささもくんとやってるのがノーブルくん
[6832.423] ドミ男: ゲーセンウメハラ 発売日まで営業
[6849.929] takahashiseigi: 今日は店長、スト6内でスト2をやってるね…
[6855.870] japonism: 噂のノーブルくんか
[6887.043] prisira: 通常技が強いからなー
[6890.024] esutark: グレたシュート
[6897.201] agouwha: 体験版を史上一番やり込んでいる男達
[6897.568] (S)箸くれ: かけるくんさんの白Tかっこいい どこの？
[6909.893] tanuma_19_19: 近づいて有利取れるのが大ゴスぐらいだもんなぁ
[6911.647] 温かいやさむぎ: 確かにしゅーとさん似てるw
[6913.736] 豆の木ジャック: 足刀も強いけど強ナックルが強すぎる
[6914.431] ドミ男: ゲージ残ってる時とバーンアウト時の強さで評価変わるかぁ
[6975.865] めっとくん: 当身持ってるマリーザはバーンアウトに強いんじゃないかって言われてるよね
[6978.776] japonism: ルークもかなり凌ぎやすいとおもう
[6988.788] dillle623: BOはケンとか春とか一生有利で固めれるから大分差はあるな
[7013.481] のってる: ルークはSAのどのレベルも腐りにくい
[7018.415] julianchen87: I would love to see Daigo trying guile
[7019.454] poposuke: きつねかわいい
[7019.922] めっとくん: 今の所リュウ全一ってウメちゃんなんかな？
[7026.246] Matellan: Matellan subscribed with Prime. 
[7028.686] 墾田永年私財砲: かめもかわいい
[7045.052] 豆の木ジャック: sa3の弾抜けと状況がちょっと破格だよなぁ
[7049.682] tabibitox: βは半年前の調整だし製品版では別ゲーになってそう
[7057.221] esutark: ウメちゃんより水派、水派よりもけ なイメージ
[7063.070] prisira: ケンも結構強そうだし楽しみ
[7072.599] wahaha7788: リュウの足が短くなってる可能性もあるのがこわいな
[7078.558] ta3z_: 製品版も楽しみ。ガチでやる人はしばらくトレモにこもるんだろうなぁ・・・
[7113.011] prisira: 体験版からの修正ははほぼないでしょ
[7118.361] (S)ぺりんご: サブがササモ観察カメラと化している
[7124.233] tanuma_19_19: ガイルがどうなるかだけ心配
[7127.092] 温かいやさむぎ: ww
[7128.580] esutark: ルークとリュウはみんなのサブキャラになりそう
[7131.460] scuta3: 指だけ動いてる置物
[7143.374] doldono: ササモ こっちむいて
[7149.094] agouwha: ササモの貫録すごいな
[7155.649] scuta3: みとるんかいｗｗ
[7156.107] めっとくん: 草
[7156.211] hitosyura1: こたろ-
[7156.787] 墾田永年私財砲: ファンサきたー！！！
[7157.283] ぷよまん: ww
[7158.412] 温かいやさむぎ: www
[7162.122] japonism: リュウルークはみんなのメインまである
[7162.158] kenitama: ノシ
[7163.565] tanuma_19_19: スト6はコンボの展開とか早いからサブキャラむずそうだけどどうなんかなぁ
[7165.260] poposuke: 個性的なIDの彼
[7168.693] (S)ぺりんご: umeCossack
[7185.676] esutark: ウメちゃんはきっとガイルに帰ってくる
[7187.368] tarou316: あとはザンギのモダンがどれほどのものか…
[7187.736] prisira: 判断するところ多いからサブは相当器用じゃないときつそう
[7193.874] iPhail_87: vegeta?
[7195.558] tanuma_19_19: でない
[7200.885] scuta3: でなーい
[7202.589] うろすも: システム強いから複数キャラ触りやすい可能性もあると思う
[7205.241] porukaoruka: サブカメラ一瞬バグったのかと思った
[7205.763] 温かいやさむぎ: w
[7211.940] 戸愚呂妹: www
[7217.693] めっとくん: ザンギのダッシュスクリュー強そうだった
[7218.132] 豆の木ジャック: ごめーん！
[7243.943] (S)mart_00_: 今日ささもにいきてるー！
[7246.353] scuta3: ハメや
[7247.888] tanuma_19_19: チラッ
[7253.326] (S)ぺりんご: クラシックとモダンで1キャラづつとかどうなんだろう
[7253.488] niko_with_attitude: cthypeD
[7262.131] (S)tominaga0331: コンボ妥協しないとサブは相当大変な気がしなくもない
[7275.508] tarou316: 小技からダッシュしてワンボタン強制二択とかもうね
[7275.667] tabibitox: 無敵技全部読まれてるｗ
[7277.052] dillle623: ６は全員滑るから実質コーリン
[7283.252] 墾田永年私財砲: パラベラムはDIに強い
[7288.154] tanuma_19_19: 全部返されてるねｗ
[7293.796] manamolike: 王がそんな姑息なことしないよ
[7298.072] mako_sc2: daigo play some luke
[7304.120] (S)箸くれ: ペンキまみれ
[7318.254] 墾田永年私財砲: ！！
[7321.139] tanuma_19_19: 横プレイの場合はボタンの音は聞かれると思ったほうがいいけどねｗ
[7323.894] (S)箸くれ: よくないｗｗｗｗ
[7334.678] esutark: ウメちゃんが触るキャラでジェイミーが弱そうだからガイルに帰る
[7335.803] aranami0: ｗｗｗ
[7337.455] scuta3: 草
[7338.424] Mookiemonstah: hahaha
[7340.077] wahaha7788: 見てたねぇ
[7340.258] 墾田永年私財砲: 王のぼっ立ち
[7341.340] ayohermit: LUL
[7342.774] niko_with_attitude: umeSad
[7343.086] mako6912: www
[7344.427] (S)箸くれ: ｗｗｗｗｗｗ
[7347.563] (S)buretan555: 詰めが甘かったぁｗ
[7348.328] 戸愚呂妹: 立ったぁ
[7351.840] toro0524: 0-3
[7367.247] esutark: カワイイ
[7374.421] れいんぼーう: この外国人の方はどなたですか？
[7377.010] WILLYFALCON3D: Noble san 😁
[7377.239] のってる: スタンの補正あまり考えてなかったかんじだ
[7382.372] japonism: 喝負け
[7392.441] (S)箸くれ: ささもくんとウメちゃんほぼ20歳離れてるのか こわい
[7394.404] dillle623: 攻略メモ
[7408.207] tanuma_19_19: 草
[7410.711] ぷよまん: 弁当を2つ用意してください
[7411.060] 新ころりん: ササモくん掘り深いから
[7412.013] v_harumi_v: ｗ
[7415.008] balthazar000: そんな深刻に言わないで
[7416.160] mako6912: ささもにぃ！
[7420.741] siuva7: メナの親戚
[7423.625] (S)brutal9998: 切実t
[7425.717] めっとくん: スト6のメモ帳、もう1000文字以上は書いてるわ。発売前なのに
[7425.801] agouwha: 流石に国籍がほしいｗｗ
[7426.060] kaigaizei: 日本語が下手なえいたのぶんあげよう
[7426.337] のな: 笑っていいのかわかんねえｗ
[7426.565] esutark: 真面目に
[7434.969] sdy_hs: 大使館いくかー
[7444.907] (S)brutal9998: テストって何のテストがいるんだろ？
[7446.937] knd312: 日本語上手ですね
[7447.107] esutark: 本当にお腹すくだろうな
[7447.454] (S)箸くれ: えいたのぶんあげようは草
[7450.517] toro0524: 国際化の波が
[7457.634] 新ころりん: 日本国籍取るの大変なんだよなぁ
[7460.052] 戸愚呂妹: 理科かな？
[7463.643] 墾田永年私財砲: SFL出場でなんとかならんか
[7463.776] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[7464.415] v_harumi_v: なかなか難しいみたいですね
[7465.450] 売れないバンドマン41: えいたのぶん草
[7471.467] yking0122: SFLで頑張ったらさすがに信用得れるべ
[7479.648] kobayan86BRZ: ささも君痩せたら俳優の宇梶さんみたいになりそう
[7483.383] JustinHit: is this a rerun?
[7486.051] (S)fahmy0825: nowadays they rarely play on the ps5 because they just want to train with Daigo's Ryu 
[7496.063] めっとくん: SFLってギャラどれくらいなんだろう。出てたら余裕で生活できるレベル？
[7503.409] れいんぼーう: 失礼しました‥
[7513.186] Formica45: 顔小さいなー
[7537.446] wahaha7788: 優勝できなきゃチームからのスポンサー料だけじゃない？
[7554.333] 残り8万: 優勝賞金ってそのまま貰えるのかな
[7568.100] SpicyStinkyTOFU: wwww
[7573.390] G00L: this game is so tight
[7574.585] tanuma_19_19: よくばりさん
[7578.864] のってる: あったとしとも契約上言えないだろうしなぁ
[7587.020] manamolike: ゲーマーにとっては事業所得になるので所得税かかるでしょうね
[7591.006] tarou316: 税金はとられるのでは
[7609.603] wahaha7788: 草
[7625.408] shin_akito: パリィで受けさせてインパクトドーンは意外と対応しづらそう
[7642.468] tanuma_19_19: はえーｗ
[7651.239] (S)akiraku07: こーれ強いなあ
[7659.139] shin_akito: ああああぁ～ｗ
[7659.807] balthazar000: うぇーい
[7660.328] SpicyStinkyTOFU: wwwww
[7660.695] めっとくん: よっしゃーい
[7662.433] (S)gazesd: umeYay
[7668.275] niko_with_attitude: umeSad
[7681.990] (S)buretan555: サブは研究中か
[7687.336] (S)箸くれ: ささも君のしゃべり方柔らかくて和む
[7697.994] Umeholdy: Umeholdy subscribed with Prime. 
[7710.744] nosveral: Orewa
[7720.698] aranami0: ｗｗｗｗｗ
[7722.068] 温かいやさむぎ: wwww
[7722.716] tanuma_19_19: 楽しそうｗ
[7723.058] wahaha7788: ｗｗｗ
[7725.363] SpicyStinkyTOFU: wwww
[7727.538] yking0122: ｗｗｗ
[7730.524] ta3z_: 声がｗｗ
[7733.528] derwace_lifolve: 断末魔が
[7734.449] (S)箸くれ: ﾍｧｧｺﾞﾒﾝﾅｻｲ!
[7740.960] 温かいやさむぎ: ww 
[7745.677] (S)buretan555: 梅さん相手だれでも楽しそうｗ
[7745.851] 新ころりん: ささも君からはマイナスイオン出てそう
[7748.173] tanuma_19_19: 力がありすぎるw
[7776.706] au0724: BO
[7782.264] tabibitox: なんでぇ！？
[7785.808] au0724: のためにＳＡ３とといたのか
[7786.066] 温かいやさむぎ: 暴走してる
[7786.557] tanuma_19_19: おしｗ
[7786.656] takahashiseigi: SFLは、SFL限定選手会も出来たし、色々と待遇面で話し合ってるらしい
[7793.347] aranami0: ｗｗｗ
[7794.908] LGA2011: ｗｗｗｗｗｗ
[7798.297] tukumi07: ｗｗｗ
[7799.599] yking0122: 詰んでたｗ
[7800.158] (S)brutal9998: w
[7803.864] SpicyStinkyTOFU: www
[7804.771] agouwha: 楽しそうやなぁ
[7804.849] imamu25: なんでそんなひどいことをｗｗｗ
[7808.955] AtomPeter: ウメちゃん楽しそうw
[7810.424] のってる: 路頭に迷う
[7810.877] 温かいやさむぎ: wwwwwwww
[7815.586] (S)oceanp08: ササモのリアクション面白いw
[7827.864] (S)brutal9998: 今日は他に誰か来るのかな？
[7837.484] (S)buretan555: 若いエキス吸収しとるなぁ
[7839.768] ざら: ささもくん推せるな
[7850.214] nosveral: Taijin Kyofusho
[7854.297] abura0: 製品版始まっても定期的にオフ対戦楽しんで欲しい
[7856.503] (S)neojapan01010: wayaRedbull
[7877.635] (S)inu_33: umeCossack
[7887.631] tanuma_19_19: リーグ始まると露出は減るかもねぇ
[7902.904] 売れないバンドマン41: 若手で酒飲みってカワノ以外おらんのかな。若手がウメちゃんと仲良くなってるとこもっとみたい
[7904.219] au0724: あと じゃじいくんかな
[7917.128] ta3z_: この店だけは、SFLのチーム関係なしに人が集まる可能性も
[7943.540] のな: ウメちゃんとリーガーのキャラ次第で行列出来るかもなあ
[7951.017] (S)brutal9998: でも最高のスパー相手できちゃうからこの人の使用キャラ使いたくないって思っちゃいそうw
[7965.432] delafun: te amo lana
[7972.609] tabibitox: OD電刃は飛べないｗ
[7974.575] ラテラテ0210: ベータでラグとか皆無だったし発売したらたぶん見られなくなる光景
[7990.286] tasukete: 対戦画面はTwitchで配信、外野のトーク配信はYouTubeで、みたいにやってほしいな
[8009.904] のってる: 情報交換もdisco繋ぎながらやればできるしな
[8056.709] v401: 集まってやるのは格別に楽しいから普通に人来そうやけどな
[8083.031] jack_saaan: 左肘強いなリュウ
[8140.009] (S)poto2panapa: Ｖで覚えた当身ってわけ
[8172.800] tanuma_19_19: ずらし中パンうめー
[8204.580] izawa2001: ゲストはいぶし銀のササモ、翔、かべで合ってる？
[8206.635] tanuma_19_19: うまい
[8218.739] au0724: かべくんじゃなくノーブルくん
[8225.334] takahashiseigi: 歩きジャスパって、怖い…
[8228.922] sengoku_iori: かべくんはまだおらず
[8241.087] izawa2001: ノーブルさんか ありがとー
[8244.299] v401: ささもくん愛くるしいな
[8297.886] ジャンクばっち: うんま
[8302.498] poposuke: 名前と顔を売りたいプレイヤーはでっかいゼッケンに名前かいて、TwitterのQRコード付けない？ 
[8315.958] wahaha7788: どかした
[8323.739] tanuma_19_19: ついに店長が
[8470.213] shin_akito: ササモくんそういやバイソンいなくなったけど誰使うんだろう
[8504.115] au0724: とりあえずデージェイさわるらしい
[8504.305] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[8593.253] shin_akito: DJ
[8648.677] ジャンクばっち: 攻めるねぇ
[8648.823] shin_akito: 店長は昼飯食いに行ったのかな？
[8688.561] tondemonaiyo: 稼働早っ
